E-VBM_eV,comp1_total_perfu,modelc_total_perfu
-3.420,5.7946,3.0666
-3.410,7.2160,4.0472
-3.400,7.7880,5.2664
-3.390,7.5988,4.7392
-3.380,8.1113,4.2822
-3.370,8.7905,4.8806
-3.360,9.0676,5.5974
-3.350,10.5130,5.9590
-3.340,11.8266,5.7918
-3.330,13.5313,6.2560
-3.320,17.6089,7.9956
-3.310,17.2562,7.4220
-3.300,13.9858,7.2844
-3.290,14.6315,8.6854
-3.280,12.5974,10.1538
-3.270,10.3012,10.2142
-3.260,6.0155,10.6854
-3.250,1.9592,11.1562
-3.240,0.6583,10.2666
-3.230,0.0000,8.9958
-3.220,0.0000,8.0614
-3.210,0.0000,11.0096
-3.200,0.0000,15.1282
-3.190,0.0000,13.4614
-3.180,0.0000,8.8624
-3.170,0.0000,7.8058
-3.160,0.0000,8.1988
-3.150,0.0000,7.3074
-3.140,0.0000,7.3942
-3.130,0.0000,11.2844
-3.120,0.0000,11.6656
-3.110,0.0000,9.2894
-3.100,0.0000,11.9438
-3.090,0.0000,12.6062
-3.080,0.0000,10.3590
-3.070,0.0000,13.5868
-3.060,0.0000,15.3616
-3.050,0.0000,12.4066
-3.040,0.0000,10.5768
-3.030,0.0000,10.3346
-3.020,0.0692,14.3694
-3.010,0.9252,17.9106
-3.000,4.5413,15.9896
-2.990,20.4257,12.9190
-2.980,41.4570,10.0102
-2.970,47.7830,15.6158
-2.960,41.8785,18.9002
-2.950,32.1080,16.2142
-2.940,33.6193,15.6540
-2.930,24.2472,20.1898
-2.920,20.0346,19.5292
-2.910,18.6791,13.6912
-2.900,15.0538,14.7454
-2.890,11.4040,14.5508
-2.880,8.9939,8.8514
-2.870,11.5019,5.8275
-2.860,13.3050,15.0863
-2.850,11.8241,19.5856
-2.840,11.2318,17.4924
-2.830,10.8889,14.1782
-2.820,9.2694,8.0522
-2.810,6.3756,4.5870
-2.800,4.0807,5.1932
-2.790,2.2100,10.4288
-2.780,0.6371,12.0350
