E-EF_eV,comp1_LPSCl_total_perfu,modelc_LPSCl16_total_perfu
-2.630,9.4505,8.5620
-2.620,8.1840,7.5640
-2.610,8.2757,7.7700
-2.600,8.1430,9.2970
-2.590,8.0075,9.1880
-2.580,9.2857,8.1680
-2.570,11.9957,7.3680
-2.560,11.1540,7.3390
-2.550,10.5590,6.8120
-2.540,10.1130,6.7110
-2.530,9.7717,8.0520
-2.520,9.2038,8.6410
-2.510,8.3015,8.4640
-2.500,7.5275,7.3810
-2.490,8.9395,6.4390
-2.480,8.9350,6.8040
-2.470,9.1693,7.9590
-2.460,7.3280,9.9980
-2.450,4.4718,9.7440
-2.440,3.4422,6.5460
-2.430,3.5650,5.8990
-2.420,3.6987,7.6470
-2.410,3.9220,8.6120
-2.400,4.4580,8.4450
-2.390,6.8600,7.7290
-2.380,8.4970,6.0530
-2.370,9.6337,4.7620
-2.360,11.5365,4.5790
-2.350,14.5213,5.1050
-2.340,13.8370,7.6040
-2.330,13.0582,8.4710
-2.320,13.0365,7.3300
-2.310,11.6140,7.3410
-2.300,10.2292,7.7350
-2.290,10.3022,7.7410
-2.280,11.4455,8.8700
-2.270,13.7912,9.3410
-2.260,16.9285,7.9410
-2.250,17.3765,7.5340
-2.240,14.4737,8.1910
-2.230,16.3533,8.4110
-2.220,14.1750,7.2480
-2.210,12.6875,6.8120
-2.200,12.6907,7.1880
-2.190,16.5670,7.2970
-2.180,16.5802,7.0690
-2.170,16.7515,6.3360
-2.160,17.0557,5.4050
-2.150,18.5413,4.8950
-2.140,15.5038,4.4060
-2.130,14.2940,4.5510
-2.120,15.3205,4.9680
-2.110,15.8630,4.8640
-2.100,15.4087,4.4060
-2.090,17.1988,4.0530
-2.080,19.2895,4.0080
-2.070,17.8670,5.0240
-2.060,17.4635,6.6490
-2.050,21.0117,7.7500
-2.040,19.4928,6.9780
-2.030,17.8625,5.2650
-2.020,16.2340,4.4340
-2.010,15.1965,4.8650
-2.000,13.7070,6.1380
-1.990,12.3280,7.2550
-1.980,10.6503,8.1440
-1.970,12.1973,7.1150
-1.960,12.8547,5.4280
-1.950,12.1570,6.3360
-1.940,12.7085,7.8770
-1.930,13.8598,8.6870
-1.920,13.8363,8.9070
-1.910,14.1265,9.1500
-1.900,14.9185,9.8260
-1.890,15.8207,9.6260
-1.880,15.2815,9.7270
-1.870,12.9880,9.4360
-1.860,15.0612,9.9250
-1.850,18.2378,11.2840
-1.840,17.7712,10.7230
-1.830,18.1617,9.6190
-1.820,20.7465,9.0210
-1.810,14.7805,9.9240
-1.800,11.5760,11.5870
-1.790,9.5053,11.0950
-1.780,8.2735,9.7530
-1.770,6.9528,11.1780
-1.760,5.6338,12.0590
-1.750,4.8575,11.6430
-1.740,4.6297,12.2610
-1.730,4.3827,12.2950
-1.720,4.2073,12.0420
-1.710,4.2007,11.4390
-1.700,3.9462,10.7090
-1.690,3.8122,10.7480
-1.680,3.7313,11.6820
-1.670,3.8205,13.0230
-1.660,3.6955,12.9050
-1.650,3.5543,13.3530
-1.640,3.4855,13.6980
-1.630,1.8400,11.8680
-1.620,1.1197,11.8030
-1.610,0.6532,11.6350
-1.600,0.2595,10.6280
-1.590,0.0044,10.8150
-1.580,0.0000,12.7900
-1.570,0.0000,14.5330
-1.560,0.0000,13.8440
-1.550,0.0000,13.8090
-1.540,0.0000,13.3800
-1.530,0.0000,12.9880
-1.520,0.0000,15.4870
-1.510,0.0000,14.6400
-1.500,0.0000,11.5220
-1.490,0.0000,11.0110
-1.480,0.0000,11.3550
-1.470,0.0000,11.1310
-1.460,0.0000,9.8720
-1.450,0.0000,9.2050
-1.440,0.0000,9.1050
-1.430,0.0000,9.2350
-1.420,0.0000,9.1080
-1.410,0.0000,9.0980
-1.400,0.0000,10.3330
-1.390,0.0000,11.2760
-1.380,0.0000,11.7640
-1.370,0.0000,10.8230
-1.360,0.0000,8.2510
-1.350,0.0000,7.0960
-1.340,0.0000,6.9320
-1.330,0.0000,6.2990
-1.320,0.0000,5.6810
-1.310,0.0000,5.1800
-1.300,0.0000,4.5340
-1.290,0.0000,4.1820
-1.280,0.0000,4.0380
-1.270,0.0000,4.1200
-1.260,0.0000,4.3160
-1.250,0.0000,4.4840
-1.240,0.0000,4.6210
-1.230,0.0000,4.8300
-1.220,0.0000,4.2490
-1.210,0.0000,3.5370
-1.200,0.0000,3.6950
-1.190,0.0000,3.6720
-1.180,0.0000,3.2510
-1.170,0.0000,2.2025
-1.160,0.0000,1.2817
-1.150,0.0000,1.1143
-1.140,0.0000,1.0727
-1.130,0.0000,0.9773
