E-EF_eV,total,Cl,Li,P,S
6.770,0.5547,0.0136,0.3130,0.0123,0.0505
6.780,0.4875,0.0119,0.2747,0.0108,0.0444
6.790,0.4268,0.0104,0.2403,0.0095,0.0388
6.800,0.3725,0.0090,0.2095,0.0083,0.0339
6.810,0.3239,0.0078,0.1819,0.0073,0.0295
6.820,0.2806,0.0068,0.1575,0.0063,0.0255
6.830,0.2423,0.0058,0.1358,0.0055,0.0220
6.840,0.2085,0.0050,0.1167,0.0047,0.0190
6.850,0.1787,0.0043,0.0999,0.0041,0.0162
6.860,0.1526,0.0036,0.0852,0.0035,0.0139
6.870,0.1299,0.0031,0.0724,0.0030,0.0118
6.880,0.1101,0.0026,0.0613,0.0025,0.0100
6.890,0.0931,0.0022,0.0518,0.0022,0.0084
6.900,0.0783,0.0018,0.0435,0.0018,0.0071
6.910,0.0657,0.0015,0.0364,0.0015,0.0060
6.920,0.0549,0.0013,0.0304,0.0013,0.0050
6.930,0.0457,0.0011,0.0252,0.0011,0.0041
6.940,0.0378,0.0009,0.0209,0.0009,0.0034
6.950,0.0312,0.0007,0.0172,0.0007,0.0028
6.960,0.0257,0.0006,0.0141,0.0006,0.0023
6.970,0.0210,0.0005,0.0116,0.0005,0.0019
6.980,0.0171,0.0004,0.0094,0.0004,0.0016
6.990,0.0139,0.0003,0.0076,0.0003,0.0013
7.000,0.0112,0.0003,0.0061,0.0003,0.0010
7.010,0.0090,0.0002,0.0049,0.0002,0.0008
7.020,0.0072,0.0002,0.0039,0.0002,0.0007
7.030,0.0057,0.0001,0.0031,0.0001,0.0005
7.040,0.0045,0.0001,0.0025,0.0001,0.0004
7.050,0.0036,0.0001,0.0019,0.0001,0.0003
7.060,0.0028,0.0001,0.0015,0.0001,0.0002
7.070,0.0021,0.0000,0.0011,0.0001,0.0002
7.080,0.0016,0.0000,0.0009,0.0000,0.0001
7.090,0.0012,0.0000,0.0007,0.0000,0.0001
7.100,0.0009,0.0000,0.0005,0.0000,0.0001
7.110,0.0007,0.0000,0.0004,0.0000,0.0001
7.120,0.0005,0.0000,0.0003,0.0000,0.0000
7.130,0.0004,0.0000,0.0002,0.0000,0.0000
7.140,0.0003,0.0000,0.0001,0.0000,0.0000
7.150,0.0002,0.0000,0.0001,0.0000,0.0000
7.160,0.0001,0.0000,0.0001,0.0000,0.0000
7.170,0.0001,0.0000,0.0000,0.0000,0.0000
7.180,0.0001,0.0000,0.0000,0.0000,0.0000
7.190,0.0000,0.0000,0.0000,0.0000,0.0000
7.200,0.0000,0.0000,0.0000,0.0000,0.0000
7.210,0.0000,0.0000,0.0000,0.0000,0.0000
7.220,0.0000,0.0000,0.0000,0.0000,0.0000
7.230,0.0000,0.0000,0.0000,0.0000,0.0000
7.240,0.0000,0.0000,0.0000,0.0000,0.0000
7.250,0.0000,0.0000,0.0000,0.0000,0.0000
7.260,0.0000,0.0000,0.0000,0.0000,0.0000
7.270,0.0000,0.0000,0.0000,0.0000,0.0000
7.280,0.0000,0.0000,0.0000,0.0000,0.0000
7.290,0.0000,0.0000,0.0000,0.0000,0.0000
7.300,0.0000,0.0000,0.0000,0.0000,0.0000
7.310,0.0000,0.0000,0.0000,0.0000,0.0000
7.320,0.0000,0.0000,0.0000,0.0000,0.0000
7.330,0.0000,0.0000,0.0000,0.0000,0.0000
7.340,0.0000,0.0000,0.0000,0.0000,0.0000
7.350,0.0000,0.0000,0.0000,0.0000,0.0000
7.360,0.0000,0.0000,0.0000,0.0000,0.0000
7.370,0.0000,0.0000,0.0000,0.0000,0.0000
7.380,0.0000,0.0000,0.0000,0.0000,0.0000
7.390,0.0000,0.0000,0.0000,0.0000,0.0000
7.400,0.0000,0.0000,0.0000,0.0000,0.0000
7.410,0.0000,0.0000,0.0000,0.0000,0.0000
7.420,0.0000,0.0000,0.0000,0.0000,0.0000
7.430,0.0000,0.0000,0.0000,0.0000,0.0000
7.440,0.0000,0.0000,0.0000,0.0000,0.0000
7.450,0.0000,0.0000,0.0000,0.0000,0.0000
7.460,0.0000,0.0000,0.0000,0.0000,0.0000
7.470,0.0000,0.0000,0.0000,0.0000,0.0000
7.480,0.0000,0.0000,0.0000,0.0000,0.0000
7.490,0.0000,0.0000,0.0000,0.0000,0.0000
7.500,0.0000,0.0000,0.0000,0.0000,0.0000
7.510,0.0000,0.0000,0.0000,0.0000,0.0000
7.520,0.0000,0.0000,0.0000,0.0000,0.0000
7.530,0.0000,0.0000,0.0000,0.0000,0.0000
7.540,0.0000,0.0000,0.0000,0.0000,0.0000
7.550,0.0000,0.0000,0.0000,0.0000,0.0000
7.560,0.0000,0.0000,0.0000,0.0000,0.0000
7.570,0.0000,0.0000,0.0000,0.0000,0.0000
7.580,0.0000,0.0000,0.0000,0.0000,0.0000
7.590,0.0000,0.0000,0.0000,0.0000,0.0000
