time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,native_query_coordinate_first_m,native_query_coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.1,N,20,0.000004333333333333333,0.000004333333333333333,0.000004333333333333333,0.000004333333333333333,0.011991086251718176,0.01199108631954753,6.7829354E-11,0.01172323114508541,0.011723231145751837,6.66427E-13,1.3960997923149374,1.396099788062218,-4.2527194E-9,-0.05422440710134824,-0.054224402849644804,4.251703436E-9,-1.3418729869377803,-1.3418729869367643,1.0160E-12
0.1,N,21,0.00000455,0.00000455,0.00000455,0.00000455,0.011991091547105434,0.011991091479434559,-6.7670875E-11,0.011723231197106967,0.011723231196442146,-6.64821E-13,1.3960994603083137,1.396099464551097,4.2427833E-9,-0.05422510171010053,-0.05422510595390495,-4.24380442E-9,-1.3418718458319534,-1.3418718458309322,1.0212E-12
0.1,N,22,0.000004766666666666666,0.000004766666666666666,0.000004766666666666666,0.000004766666666666666,0.011991096854242055,0.011991096921783975,6.7541920E-11,0.011723231249243961,0.01172323124990756,6.63599E-13,1.3960991275650367,1.396099123330339,-4.2346977E-9,-0.05422585176845729,-0.05422584753477433,4.23368296E-9,-1.3418706490564267,-1.341870649055412,1.0147E-12
0.1,N,23,0.000004983333333333334,0.000004983333333333334,0.000004983333333333334,0.000004983333333333334,0.011991102713992896,0.011991102646609176,-6.7383720E-11,0.01172323130681024,0.011723231306148225,-6.62015E-13,1.3960987601743258,1.3960987643991047,4.2247789E-9,-0.05422662336665662,-0.05422662759245833,-4.22580171E-9,-1.3418693966101911,-1.3418693966091684,1.0227E-12
0.1,N,24,0.0000052,0.0000052,0.0000052,0.0000052,0.011991108586669236,0.011991108653924283,6.7255047E-11,0.011723231364503503,0.011723231365164295,6.60792E-13,1.3960983919732204,1.3960983877565085,-4.2167119E-9,-0.054227450342869465,-0.05422744612717145,4.215698015E-9,-1.3418680884921255,-1.3418680884911116,1.0139E-12
0.1,N,25,0.000005416666666666667,0.000005416666666666667,0.000005416666666666667,0.000005416666666666667,0.011991115010841335,0.011991114943744137,-6.7097198E-11,0.011723231427615107,0.011723231426955912,-6.59195E-13,1.3960979891948053,1.3960979934016202,4.2068149E-9,-0.05422829893129899,-0.05422830313913751,-4.20783852E-9,-1.3418667247011218,-1.3418667247000982,1.0236E-12
0.1,N,26,0.000005633333333333333,0.000005633333333333334,0.000005633333333333333,0.000005633333333333333,0.011991121449115426,0.011991121516084231,6.6968805E-11,0.011723231490865267,0.011723231491523255,6.57988E-13,1.396097585532233,1.396097581333468,-4.198765E-9,-0.05422920282634802,-0.05422919862859521,4.19775281E-9,-1.3418653052359413,-1.3418653052349288,1.0125E-12
0.1,N,27,0.000005849999999999999,0.000005849999999999999,0.000005849999999999999,0.000005849999999999999,0.011991128437772064,0.011991128370960804,-6.6811260E-11,0.011723231559522878,0.011723231558866476,-6.56402E-13,1.3960971473621466,1.396097151551034,4.1888874E-9,-0.05423012840587704,-0.054230132595790126,-4.189913086E-9,-1.3418638300953774,-1.3418638300943517,1.0257E-12
0.1,N,28,0.000006066666666666666,0.000006066666666666666,0.000006066666666666666,0.000006066666666666666,0.011991135441707578,0.011991135508390734,6.6683156E-11,0.011723231628330598,0.011723231628985782,6.55184E-13,1.3960967082341158,1.39609670405326,-4.1808558E-9,-0.05423110922082608,-0.054231105040981165,4.179844915E-9,-1.3418622992780724,-1.3418622992770615,1.0109E-12
0.1,N,29,0.000006283333333333333,0.000006283333333333333,0.000006283333333333333,0.000006283333333333333,0.011991142994917551,0.011991142928391634,-6.6525917E-11,0.011723231702534932,0.011723231701881335,-6.53597E-13,1.3960962346680446,1.3960962388390419,4.1709973E-9,-0.05423211179241405,-0.054232115964438776,-4.172024726E-9,-1.341860712782724,-1.3418607127816968,1.0272E-12
0.1,N,30,0.0000065,0.0000065,0.0000065,0.0000065,0.011991150564583709,0.011991150630981828,6.6398119E-11,0.011723231776900954,0.011723231777553338,6.52384E-13,1.3960957600702149,1.39609575590723,-4.1629849E-9,-0.05423316952841373,-0.05423316536643874,4.16197499E-9,-1.3418590706078548,-1.341859070606845,1.0098E-12
0.1,N,31,0.000006716666666666666,0.000006716666666666666,0.000006716666666666666,0.000006716666666666666,0.011991158682421413,0.011991158616180272,-6.6241141E-11,0.01172323185665281,0.011723231856002004,-6.50806E-13,1.3960952511034943,1.396095255256637,4.1531427E-9,-0.05423424909310404,-0.05423425324727549,-4.15417145E-9,-1.3418573727520664,-1.341857372751038,1.0284E-12
0.1,N,32,0.000006933333333333333,0.000006933333333333333,0.000006933333333333333,0.000006933333333333333,0.011991166817893077,0.01199116688400671,6.6113633E-11,0.011723231936577908,0.011723231937227513,6.49605E-13,1.396094741031172,1.396094736886024,-4.145148E-9,-0.05423538375138559,-0.05423537960724589,4.14413970E-9,-1.341855619213762,-1.3418556192127538,1.0082E-12
0.1,N,33,0.000007149999999999999,0.000007149999999999999,0.000007149999999999999,0.000007149999999999999,0.011991175500438463,0.011991175434481525,-6.5956938E-11,0.01172323202187812,0.0117232320212301,-6.4802E-13,1.39609419665879,1.3960942007941137,4.1353237E-9,-0.05423654031030911,-0.054236544446662815,-4.136353705E-9,-1.3418538099914474,-1.3418538099904174,1.0300E-12
0.1,N,34,0.000007366666666666666,0.000007366666666666666,0.000007366666666666666,0.000007366666666666666,0.01199118420179608,0.011991184267625804,6.5829724E-11,0.011723232107363177,0.011723232108009995,6.46818E-13,1.3960936511069313,1.3960936469795837,-4.1273476E-9,-0.05423775189218949,-0.05423774776584822,4.12634127E-9,-1.3418519450834059,-1.3418519450823994,1.0065E-12
0.1,N,35,0.0000075833333333333324,0.0000075833333333333324,0.0000075833333333333324,0.0000075833333333333324,0.011991193449134635,0.011991193383461326,-6.5673309E-11,0.011723232198212651,0.011723232197567407,-6.45244E-13,1.3960930713235278,1.3960930754410685,4.1175407E-9,-0.05423898544656214,-0.0542389895651354,-4.11857326E-9,-1.341850024488049,-1.3418500244870166,1.0324E-12
0.1,N,36,0.0000078,0.0000078,0.0000078,0.0000078,0.011991202716464228,0.011991202782010584,6.5546356E-11,0.011723232289258553,0.011723232289902593,6.44040E-13,1.3960924902867393,1.396092486177158,-4.1095813E-9,-0.05424027395344333,-0.054240269844867184,4.108576146E-9,-1.3418480482035373,-1.3418480482025321,1.0052E-12
0.1,N,37,0.000008016666666666666,0.000008016666666666666,0.000008016666666666666,0.000008016666666666666,0.011991212528687066,0.01199121246329684,-6.5390226E-11,0.011723232385658268,0.011723232385015792,-6.42476E-13,1.396091875086601,1.3960918791863932,4.0997922E-9,-0.0542415845045654,-0.054241588605391744,-4.100826344E-9,-1.3418460162281893,-1.3418460162271555,1.0338E-12
0.1,N,38,0.000008233333333333333,0.000008233333333333333,0.000008233333333333333,0.000008233333333333333,0.011991222362080311,0.011991222427343884,6.5263573E-11,0.011723232482265982,0.011723232482907263,6.41281E-13,1.3960912585591352,1.3960912544672837,-4.0918515E-9,-0.054242949937929774,-0.054242945847081225,4.090848549E-9,-1.3418439285600443,-1.341843928559041,1.0033E-12
0.1,N,39,0.000008449999999999999,0.000008449999999999999,0.000008449999999999999,0.000008449999999999999,0.01199123273928404,0.011991232674176332,-6.5107708E-11,0.011723232584216946,0.01172323258357725,-6.39696E-13,1.396090607936206,1.3960906120182848,4.0820788E-9,-0.054244337487191485,-0.054244341570306664,-4.083115179E-9,-1.3418417851973277,-1.3418417851962914,1.0363E-12
0.1,N,40,0.000008666666666666666,0.000008666666666666666,0.000008666666666666666,0.000008666666666666666,0.01199124313883815,0.011991243203819493,6.4981343E-11,0.011723232686387525,0.011723232687026033,6.38508E-13,1.396089955911967,1.396089951837811,-4.074156E-9,-0.054245779848608455,-0.05424577577545331,4.073155145E-9,-1.3418395861379542,-1.341839586136953,1.0012E-12
0.1,N,41,0.000008883333333333332,0.000008883333333333332,0.000008883333333333332,0.000008883333333333332,0.011991254081125032,0.011991254016299326,-6.4825706E-11,0.01172323279389082,0.01172323279325388,-6.3694E-13,1.3960892698598348,1.3960892739242334,4.0643986E-9,-0.05424724439748019,-0.054247248462917286,-4.065437096E-9,-1.3418373313800585,-1.3418373313790202,1.0383E-12
0.1,N,42,0.0000091,0.0000091,0.0000091,0.0000091,0.011991265046942907,0.011991265111642509,6.4699602E-11,0.011723232901625334,0.011723232902261085,6.35751E-13,1.3960885823323725,1.3960885782758805,-4.0564920E-9,-0.05424876368859888,-0.0542487596331056,4.05549328E-9,-1.3418350209214318,-1.3418350209204328,9.990E-13
