cathode,electrolyte,voltage_V,x_atomic_frac,reaction_energy_eV_per_atom,is_minimum,forms_Nd_phosphate,reaction
LiCoO2,comp1,3.0,0.684211,-0.75494,0,0,0.6 LiCoO2 + 0.4 Li6PS5Cl -> 2 Li + 0.6 CoS2 + 0.4 LiPO3 + 0.4 LiCl + 0.2 LiS4
LiCoO2,comp1,3.0,1.0,-0.479554,0,0,Li6PS5Cl -> 4.625 Li + 0.5 P2S7 + LiCl + 0.375 LiS4
LiCoO2,comp1,3.5,0.0,-0.013345,0,0,LiCoO2 -> 0.5 Li + 0.5 Li(CoO2)2
LiCoO2,comp1,3.5,0.082803,-0.38234,0,0,0.973 LiCoO2 + 0.02703 Li6PS5Cl -> 0.7568 Li + 0.02703 Li3PO4 + 0.3243 Co3O4 + 0.1351 Li2SO4 + 0.02703 LiCl
LiCoO2,comp1,3.5,0.087248,-0.400962,0,0,0.9714 LiCoO2 + 0.02857 Li6PS5Cl -> 0.8 Li + 0.02857 LiCoPO4 + 0.3143 Co3O4 + 0.1429 Li2SO4 + 0.02857 LiCl
LiCoO2,comp1,3.5,0.089655,-0.409034,0,0,0.9706 LiCoO2 + 0.02941 Li6PS5Cl -> 0.8235 Li + 0.02941 LiCoPO4 + 0.01471 CoCl2 + 0.3088 Co3O4 + 0.1471 Li2SO4
LiCoO2,comp1,3.5,0.092199,-0.417567,0,0,0.9697 LiCoO2 + 0.0303 Li6PS5Cl -> 0.8485 Li + 0.01515 Co3(PO4)2 + 0.01515 CoCl2 + 0.303 Co3O4 + 0.1515 Li2SO4
LiCoO2,comp1,3.5,0.107438,-0.465808,0,0,0.9643 LiCoO2 + 0.03571 Li6PS5Cl -> Li + 0.08929 Li2Co(SO4)2 + 0.01786 Co3(PO4)2 + 0.01786 CoCl2 + 0.2679 Co3O4
LiCoO2,comp1,3.5,0.128713,-0.532757,0,0,0.9565 LiCoO2 + 0.04348 Li6PS5Cl -> 1.217 Li + 0.02174 Co3(PO4)2 + 0.2174 CoSO4 + 0.02174 CoCl2 + 0.2174 Co3O4
LiCoO2,comp1,3.5,0.160494,-0.630676,0,0,0.9444 LiCoO2 + 0.05556 Li6PS5Cl -> 1.278 Li + 0.5556 CoO + 0.02778 Co3(PO4)2 + 0.2778 CoSO4 + 0.02778 CoCl2
LiCoO2,comp1,3.5,0.308229,-0.828689,0,0,0.8794 LiCoO2 + 0.1206 Li6PS5Cl -> 1.603 Li + 0.06028 Co3(PO4)2 + 0.3191 CoSO4 + 0.03546 Co9S8 + 0.06028 CoCl2
LiCoO2,comp1,3.5,0.340824,-0.860524,0,0,0.8627 LiCoO2 + 0.1373 Li6PS5Cl -> 1.686 Li + 0.06863 Co3(PO4)2 + 0.2941 CoSO4 + 0.09804 Co3S4 + 0.06863 CoCl2
LiCoO2,comp1,3.5,0.378641,-0.889142,0,0,0.8421 LiCoO2 + 0.1579 Li6PS5Cl -> 1.789 Li + 0.07895 Co3(PO4)2 + 0.2632 CoSO4 + 0.2632 CoS2 + 0.07895 CoCl2
LiCoO2,comp1,3.5,0.40625,-0.906758,0,0,0.8261 LiCoO2 + 0.1739 Li6PS5Cl -> 1.87 Li + 0.08696 Co2P2O7 + 0.2609 CoSO4 + 0.3043 CoS2 + 0.08696 CoCl2
LiCoO2,comp1,3.5,0.451737,-0.934872,0,0,0.7978 LiCoO2 + 0.2022 Li6PS5Cl -> 1.944 Li + 0.06742 LiCo(PO3)3 + 0.2472 CoSO4 + 0.382 CoS2 + 0.1011 CoCl2
LiCoO2,comp1,3.5,0.493671,-0.958901,0,0,0.7692 LiCoO2 + 0.2308 Li6PS5Cl -> 1.865 Li + 0.07692 LiCo(PO3)3 + 0.1058 Li2Co(SO4)2 + 0.4712 CoS2 + 0.1154 CoCl2
LiCoO2,comp1,3.5,0.522788,-0.975225,0,0,0.7479 LiCoO2 + 0.2521 Li6PS5Cl -> 1.807 Li + 0.08403 LiCo(PO3)3 + 0.5378 CoS2 + 0.1261 CoCl2 + 0.1849 Li2SO4
LiCoO2,comp1,3.5,0.558739,-0.991983,0,0,0.7196 LiCoO2 + 0.2804 Li6PS5Cl -> 1.729 Li + 0.09346 LiCo(PO3)3 + 0.6262 CoS2 + 0.1495 Li2SO4 + 0.2804 LiCl
LiCoO2,comp1,3.5,0.585586,-1.001973,0,0,0.697 LiCoO2 + 0.303 Li6PS5Cl -> 1.667 Li + 0.697 CoS2 + 0.1212 Li2SO4 + 0.303 LiPO3 + 0.303 LiCl
LiCoO2,comp1,3.5,0.631068,-1.010837,1,0,0.6552 LiCoO2 + 0.3448 Li6PS5Cl -> 2.241 Li + 0.3448 SCl + 0.6552 CoS2 + 0.06897 Li2SO4 + 0.3448 LiPO3
LiCoO2,comp1,3.5,0.684211,-1.006403,0,0,0.6 LiCoO2 + 0.4 Li6PS5Cl -> 2.6 Li + 0.4 SCl + 0.6 CoS2 + 0.4 LiPO3 + 0.4 S
LiCoO2,comp1,3.5,1.0,-0.858114,0,0,Li6PS5Cl -> 6 Li + 0.5 P2S7 + SCl + 0.5 S
LiCoO2,comp1,4.0,0.0,-0.096678,0,0,LiCoO2 -> 0.5 Li + 0.5 Li(CoO2)2
LiCoO2,comp1,4.0,0.069202,-0.442786,0,0,0.9776 LiCoO2 + 0.02236 Li6PS5Cl -> 0.8435 Li + 0.02236 LiClO4 + 0.02236 LiCoPO4 + 0.04153 Co23O32 + 0.1118 Li2SO4
LiCoO2,comp1,4.0,0.08046,-0.498113,0,0,0.9738 LiCoO2 + 0.02622 Li6PS5Cl -> 0.8165 Li + 0.02622 LiCoPO4 + 0.0412 Co23O32 + 0.1311 Li2SO4 + 0.02622 LiCl
LiCoO2,comp1,4.0,0.082803,-0.509435,0,0,0.973 LiCoO2 + 0.02703 Li6PS5Cl -> 0.8378 Li + 0.02703 LiCoPO4 + 0.04054 Co23O32 + 0.1351 Li2SO4 + 0.01351 CoCl2
LiCoO2,comp1,4.0,0.085286,-0.521446,0,0,0.9721 LiCoO2 + 0.02789 Li6PS5Cl -> 0.8606 Li + 0.03984 Co23O32 + 0.01394 Co3(PO4)2 + 0.1394 Li2SO4 + 0.01394 CoCl2
LiCoO2,comp1,4.0,0.100331,-0.591642,0,0,0.9668 LiCoO2 + 0.03318 Li6PS5Cl -> Li + 0.08294 Li2Co(SO4)2 + 0.03555 Co23O32 + 0.01659 Co3(PO4)2 + 0.01659 CoCl2
LiCoO2,comp1,4.0,0.107438,-0.624899,0,0,0.9643 LiCoO2 + 0.03571 Li6PS5Cl -> Li + 0.2679 Co3O4 + 0.08929 Li2Co(SO4)2 + 0.01786 Co3(PO4)2 + 0.01786 CoCl2
LiCoO2,comp1,4.0,0.128713,-0.724537,0,0,0.9565 LiCoO2 + 0.04348 Li6PS5Cl -> 1.217 Li + 0.2174 Co3O4 + 0.02174 Co3(PO4)2 + 0.2174 CoSO4 + 0.02174 CoCl2
LiCoO2,comp1,4.0,0.160494,-0.828952,0,0,0.9444 LiCoO2 + 0.05556 Li6PS5Cl -> 1.278 Li + 0.02778 Co3(PO4)2 + 0.2778 CoSO4 + 0.5556 CoO + 0.02778 CoCl2
LiCoO2,comp1,4.0,0.308229,-1.058831,0,0,0.8794 LiCoO2 + 0.1206 Li6PS5Cl -> 1.603 Li + 0.06028 Co3(PO4)2 + 0.3191 CoSO4 + 0.03546 Co9S8 + 0.06028 CoCl2
LiCoO2,comp1,4.0,0.340824,-1.098093,0,0,0.8627 LiCoO2 + 0.1373 Li6PS5Cl -> 1.686 Li + 0.06863 Co3(PO4)2 + 0.2941 CoSO4 + 0.06863 CoCl2 + 0.09804 Co3S4
LiCoO2,comp1,4.0,0.378641,-1.135519,0,0,0.8421 LiCoO2 + 0.1579 Li6PS5Cl -> 1.789 Li + 0.07895 Co3(PO4)2 + 0.2632 CoSO4 + 0.07895 CoCl2 + 0.2632 CoS2
LiCoO2,comp1,4.0,0.40625,-1.159699,0,0,0.8261 LiCoO2 + 0.1739 Li6PS5Cl -> 1.87 Li + 0.08696 Co2P2O7 + 0.2609 CoSO4 + 0.08696 CoCl2 + 0.3043 CoS2
LiCoO2,comp1,4.0,0.45614,-1.194823,0,0,0.7949 LiCoO2 + 0.2051 Li6PS5Cl -> 2.026 Li + 0.2564 CoSO4 + 0.1026 CoCl2 + 0.3846 CoS2 + 0.05128 CoP4O11
LiCoO2,comp1,4.0,0.516556,-1.23441,0,0,0.7526 LiCoO2 + 0.2474 Li6PS5Cl -> 2.237 Li + 0.2062 CoSO4 + 0.4845 CoS2 + 0.06186 SCl4 + 0.06186 CoP4O11
LiCoO2,comp1,4.0,0.59542,-1.285124,0,0,0.6883 LiCoO2 + 0.3117 Li6PS5Cl -> 2.558 Li + 0.2597 SO2 + 0.6104 CoS2 + 0.07792 SCl4 + 0.07792 CoP4O11
LiCoO2,comp1,4.0,0.624,-1.301036,0,0,0.662 LiCoO2 + 0.338 Li6PS5Cl -> 2.69 Li + 0.1972 SO2 + 0.338 SCl + 0.5775 CoS2 + 0.08451 CoP4O11
LiCoO2,comp1,4.0,0.702703,-1.315007,1,0,0.5789 LiCoO2 + 0.4211 Li6PS5Cl -> 3.105 Li + 0.4211 SCl + 0.4737 CoS2 + 0.1053 CoP4O11 + 0.7368 S
LiCoO2,comp1,4.0,1.0,-1.286686,0,0,Li6PS5Cl -> 6 Li + 0.5 P2S7 + SCl + 0.5 S
LiCoO2,comp1,4.3,0.0,-0.17822,0,0,LiCoO2 -> Li + CoO2
LiCoO2,comp1,4.3,0.097744,-0.683503,0,0,0.9677 LiCoO2 + 0.03226 Li6PS5Cl -> 1.161 Li + 0.01613 Co3(PO4)2 + 0.01613 Co(ClO4)2 + 0.03226 Co23O32 + 0.1613 CoSO4
LiCoO2,comp1,4.3,0.104478,-0.717938,0,0,0.9653 LiCoO2 + 0.03465 Li6PS5Cl -> 1.173 Li + 0.01733 Co3(PO4)2 + 0.03218 Co23O32 + 0.03465 ClO2 + 0.1733 CoSO4
LiCoO2,comp1,4.3,0.121821,-0.806156,0,0,0.9591 LiCoO2 + 0.04094 Li6PS5Cl -> 1.205 Li + 0.02047 Co3(PO4)2 + 0.02924 Co23O32 + 0.02047 CoCl2 + 0.2047 CoSO4
LiCoO2,comp1,4.3,0.128713,-0.839606,0,0,0.9565 LiCoO2 + 0.04348 Li6PS5Cl -> 1.217 Li + 0.02174 Co3(PO4)2 + 0.02174 CoCl2 + 0.2174 Co3O4 + 0.2174 CoSO4
LiCoO2,comp1,4.3,0.160494,-0.947917,0,0,0.9444 LiCoO2 + 0.05556 Li6PS5Cl -> 1.278 Li + 0.02778 Co3(PO4)2 + 0.02778 CoCl2 + 0.5556 CoO + 0.2778 CoSO4
LiCoO2,comp1,4.3,0.308229,-1.196917,0,0,0.8794 LiCoO2 + 0.1206 Li6PS5Cl -> 1.603 Li + 0.06028 Co3(PO4)2 + 0.03546 Co9S8 + 0.06028 CoCl2 + 0.3191 CoSO4
LiCoO2,comp1,4.3,0.340824,-1.240635,0,0,0.8627 LiCoO2 + 0.1373 Li6PS5Cl -> 1.686 Li + 0.06863 Co3(PO4)2 + 0.06863 CoCl2 + 0.09804 Co3S4 + 0.2941 CoSO4
LiCoO2,comp1,4.3,0.378641,-1.283345,0,0,0.8421 LiCoO2 + 0.1579 Li6PS5Cl -> 1.789 Li + 0.07895 Co3(PO4)2 + 0.07895 CoCl2 + 0.2632 CoS2 + 0.2632 CoSO4
LiCoO2,comp1,4.3,0.40625,-1.311464,0,0,0.8261 LiCoO2 + 0.1739 Li6PS5Cl -> 1.87 Li + 0.08696 Co2P2O7 + 0.08696 CoCl2 + 0.3043 CoS2 + 0.2609 CoSO4
LiCoO2,comp1,4.3,0.45614,-1.353884,0,0,0.7949 LiCoO2 + 0.2051 Li6PS5Cl -> 2.026 Li + 0.05128 CoP4O11 + 0.1026 CoCl2 + 0.3846 CoS2 + 0.2564 CoSO4
LiCoO2,comp1,4.3,0.516556,-1.402627,0,0,0.7526 LiCoO2 + 0.2474 Li6PS5Cl -> 2.237 Li + 0.06186 SCl4 + 0.06186 CoP4O11 + 0.4845 CoS2 + 0.2062 CoSO4
LiCoO2,comp1,4.3,0.59542,-1.465858,0,0,0.6883 LiCoO2 + 0.3117 Li6PS5Cl -> 2.558 Li + 0.07792 SCl4 + 0.07792 CoP4O11 + 0.6104 CoS2 + 0.2597 SO2
LiCoO2,comp1,4.3,0.624,-1.486472,0,0,0.662 LiCoO2 + 0.338 Li6PS5Cl -> 2.69 Li + 0.338 SCl + 0.08451 CoP4O11 + 0.5775 CoS2 + 0.1972 SO2
LiCoO2,comp1,4.3,0.702703,-1.513883,0,0,0.5789 LiCoO2 + 0.4211 Li6PS5Cl -> 3.105 Li + 0.4211 SCl + 0.1053 CoP4O11 + 0.4737 CoS2 + 0.7368 S
LiCoO2,comp1,4.3,1.0,-1.543829,1,0,Li6PS5Cl -> 6 Li + SCl + 0.5 P2S7 + 0.5 S
LiCoO2,comp1,4.5,0.0,-0.244886,0,0,LiCoO2 -> Li + CoO2
LiCoO2,comp1,4.5,0.097744,-0.75773,0,0,0.9677 LiCoO2 + 0.03226 Li6PS5Cl -> 1.161 Li + 0.01613 Co(ClO4)2 + 0.03226 Co23O32 + 0.01613 Co3(PO4)2 + 0.1613 CoSO4
LiCoO2,comp1,4.5,0.104478,-0.792702,0,0,0.9653 LiCoO2 + 0.03465 Li6PS5Cl -> 1.173 Li + 0.03218 Co23O32 + 0.01733 Co3(PO4)2 + 0.03465 ClO2 + 0.1733 CoSO4
LiCoO2,comp1,4.5,0.121821,-0.882311,0,0,0.9591 LiCoO2 + 0.04094 Li6PS5Cl -> 1.205 Li + 0.02924 Co23O32 + 0.02047 Co3(PO4)2 + 0.02047 CoCl2 + 0.2047 CoSO4
LiCoO2,comp1,4.5,0.128713,-0.916318,0,0,0.9565 LiCoO2 + 0.04348 Li6PS5Cl -> 1.217 Li + 0.02174 Co3(PO4)2 + 0.02174 CoCl2 + 0.2174 Co3O4 + 0.2174 CoSO4
LiCoO2,comp1,4.5,0.160494,-1.027228,0,0,0.9444 LiCoO2 + 0.05556 Li6PS5Cl -> 1.278 Li + 0.02778 Co3(PO4)2 + 0.5556 CoO + 0.02778 CoCl2 + 0.2778 CoSO4
LiCoO2,comp1,4.5,0.308229,-1.288974,0,0,0.8794 LiCoO2 + 0.1206 Li6PS5Cl -> 1.603 Li + 0.03546 Co9S8 + 0.06028 Co3(PO4)2 + 0.06028 CoCl2 + 0.3191 CoSO4
LiCoO2,comp1,4.5,0.340824,-1.335662,0,0,0.8627 LiCoO2 + 0.1373 Li6PS5Cl -> 1.686 Li + 0.06863 Co3(PO4)2 + 0.06863 CoCl2 + 0.09804 Co3S4 + 0.2941 CoSO4
LiCoO2,comp1,4.5,0.378641,-1.381896,0,0,0.8421 LiCoO2 + 0.1579 Li6PS5Cl -> 1.789 Li + 0.2632 CoS2 + 0.07895 Co3(PO4)2 + 0.07895 CoCl2 + 0.2632 CoSO4
LiCoO2,comp1,4.5,0.40625,-1.41264,0,0,0.8261 LiCoO2 + 0.1739 Li6PS5Cl -> 1.87 Li + 0.08696 Co2P2O7 + 0.3043 CoS2 + 0.08696 CoCl2 + 0.2609 CoSO4
LiCoO2,comp1,4.5,0.45614,-1.459924,0,0,0.7949 LiCoO2 + 0.2051 Li6PS5Cl -> 2.026 Li + 0.05128 CoP4O11 + 0.3846 CoS2 + 0.1026 CoCl2 + 0.2564 CoSO4
LiCoO2,comp1,4.5,0.516556,-1.514771,0,0,0.7526 LiCoO2 + 0.2474 Li6PS5Cl -> 2.237 Li + 0.06186 CoP4O11 + 0.4845 CoS2 + 0.06186 SCl4 + 0.2062 CoSO4
LiCoO2,comp1,4.5,0.59542,-1.586347,0,0,0.6883 LiCoO2 + 0.3117 Li6PS5Cl -> 2.558 Li + 0.07792 CoP4O11 + 0.6104 CoS2 + 0.2597 SO2 + 0.07792 SCl4
LiCoO2,comp1,4.5,0.624,-1.610097,0,0,0.662 LiCoO2 + 0.338 Li6PS5Cl -> 2.69 Li + 0.08451 CoP4O11 + 0.338 SCl + 0.5775 CoS2 + 0.1972 SO2
LiCoO2,comp1,4.5,0.702703,-1.646468,0,0,0.5789 LiCoO2 + 0.4211 Li6PS5Cl -> 3.105 Li + 0.1053 CoP4O11 + 0.4211 SCl + 0.4737 CoS2 + 0.7368 S
LiCoO2,comp1,4.5,1.0,-1.715257,1,0,Li6PS5Cl -> 6 Li + SCl + 0.5 P2S7 + 0.5 S
LiCoO2,modelc,2.5,0.0,0.0,0,0,LiCoO2 -> LiCoO2
LiCoO2,modelc,2.5,0.125506,-0.279564,0,0,0.9558 LiCoO2 + 0.04425 Li5.4P1S4.4Cl1.6 -> 0.6018 Li + 0.9558 CoO + 0.04425 Li3PO4 + 0.1947 Li2SO4 + 0.0708 LiCl
LiCoO2,modelc,2.5,0.443618,-0.592138,0,0,0.7954 LiCoO2 + 0.2046 Li5.4P1S4.4Cl1.6 -> 0.5728 Li + 0.08838 Co9S8 + 0.2046 Li3PO4 + 0.1931 Li2SO4 + 0.3273 LiCl
LiCoO2,modelc,2.5,0.512782,-0.616228,0,0,0.7465 LiCoO2 + 0.2535 Li5.4P1S4.4Cl1.6 -> 0.7097 Li + 0.2488 Co3S4 + 0.2535 Li3PO4 + 0.1198 Li2SO4 + 0.4055 LiCl
LiCoO2,modelc,2.5,0.589354,-0.623815,1,0,0.6835 LiCoO2 + 0.3165 Li5.4P1S4.4Cl1.6 -> 0.8861 Li + 0.3165 Li3PO4 + 0.6835 CoS2 + 0.02532 Li2SO4 + 0.5063 LiCl
LiCoO2,modelc,2.5,0.607843,-0.612301,0,0,0.6667 LiCoO2 + 0.3333 Li5.4P1S4.4Cl1.6 -> 0.9 Li + 0.3333 Li3PO4 + 0.6667 CoS2 + 0.5333 LiCl + 0.03333 LiS4
LiCoO2,modelc,2.5,1.0,-0.095208,0,0,Li5.4P1S4.4Cl1.6 -> 3.575 Li + 0.5 P2S7 + 1.6 LiCl + 0.225 LiS4
LiCoO2,modelc,3.0,0.0,0.0,0,0,LiCoO2 -> LiCoO2
LiCoO2,modelc,3.0,0.125506,-0.374271,0,0,0.9558 LiCoO2 + 0.04425 Li5.4P1S4.4Cl1.6 -> 0.6018 Li + 0.04425 Li3PO4 + 0.9558 CoO + 0.1947 Li2SO4 + 0.0708 LiCl
LiCoO2,modelc,3.0,0.130802,-0.386204,0,0,0.9537 LiCoO2 + 0.0463 Li5.4P1S4.4Cl1.6 -> 0.6759 Li + 0.0463 LiCoPO4 + 0.9074 CoO + 0.2037 Li2SO4 + 0.07407 LiCl
LiCoO2,modelc,3.0,0.135371,-0.391342,0,0,0.9519 LiCoO2 + 0.04808 Li5.4P1S4.4Cl1.6 -> 0.7404 Li + 0.04808 LiCoPO4 + 0.03846 CoCl2 + 0.8654 CoO + 0.2115 Li2SO4
LiCoO2,modelc,3.0,0.138393,-0.394733,0,0,0.9507 LiCoO2 + 0.04926 Li5.4P1S4.4Cl1.6 -> 0.7833 Li + 0.02463 Co3(PO4)2 + 0.03941 CoCl2 + 0.8374 CoO + 0.2167 Li2SO4
LiCoO2,modelc,3.0,0.36643,-0.618211,0,0,0.8428 LiCoO2 + 0.1572 Li5.4P1S4.4Cl1.6 -> 1.164 Li + 0.07862 Co3(PO4)2 + 0.1258 CoCl2 + 0.05346 Co9S8 + 0.2642 Li2SO4
LiCoO2,modelc,3.0,0.380835,-0.631448,0,0,0.8344 LiCoO2 + 0.1656 Li5.4P1S4.4Cl1.6 -> 1.06 Li + 0.1656 LiCoPO4 + 0.1325 CoCl2 + 0.0596 Co9S8 + 0.2517 Li2SO4
LiCoO2,modelc,3.0,0.406397,-0.655124,0,0,0.8191 LiCoO2 + 0.1809 Li5.4P1S4.4Cl1.6 -> 0.8683 Li + 0.1809 LiCoPO4 + 0.07091 Co9S8 + 0.2287 Li2SO4 + 0.2894 LiCl
LiCoO2,modelc,3.0,0.457718,-0.683306,0,0,0.786 LiCoO2 + 0.214 Li5.4P1S4.4Cl1.6 -> 1.027 Li + 0.1907 Co3S4 + 0.214 LiCoPO4 + 0.179 Li2SO4 + 0.3424 LiCl
LiCoO2,modelc,3.0,0.512782,-0.704632,0,0,0.7465 LiCoO2 + 0.2535 Li5.4P1S4.4Cl1.6 -> 0.7097 Li + 0.2488 Co3S4 + 0.2535 Li3PO4 + 0.1198 Li2SO4 + 0.4055 LiCl
LiCoO2,modelc,3.0,0.518631,-0.706836,0,0,0.7421 LiCoO2 + 0.2579 Li5.4P1S4.4Cl1.6 -> 0.9156 Li + 0.2474 Co3S4 + 0.129 Li4P2O7 + 0.1454 Li2SO4 + 0.4127 LiCl
LiCoO2,modelc,3.0,0.59501,-0.729977,1,0,0.6785 LiCoO2 + 0.3215 Li5.4P1S4.4Cl1.6 -> 1.141 Li + 0.6785 CoS2 + 0.1608 Li4P2O7 + 0.05788 Li2SO4 + 0.5145 LiCl
LiCoO2,modelc,3.0,0.639175,-0.702659,0,0,0.6364 LiCoO2 + 0.3636 Li5.4P1S4.4Cl1.6 -> 1.209 Li + 0.6364 CoS2 + 0.1818 Li4P2O7 + 0.5818 LiCl + 0.08182 LiS4
LiCoO2,modelc,3.0,0.673913,-0.676424,0,0,0.6 LiCoO2 + 0.4 Li5.4P1S4.4Cl1.6 -> 1.58 Li + 0.6 CoS2 + 0.4 LiPO3 + 0.64 LiCl + 0.14 LiS4
LiCoO2,modelc,3.0,1.0,-0.350565,0,0,Li5.4P1S4.4Cl1.6 -> 3.575 Li + 0.5 P2S7 + 1.6 LiCl + 0.225 LiS4
LiCoO2,modelc,3.5,0.0,-0.013345,0,0,LiCoO2 -> 0.5 Li + 0.5 Li(CoO2)2
LiCoO2,modelc,3.5,0.087324,-0.371081,0,0,0.9701 LiCoO2 + 0.02994 Li5.4P1S4.4Cl1.6 -> 0.7305 Li + 0.02994 Li3PO4 + 0.3234 Co3O4 + 0.1317 Li2SO4 + 0.0479 LiCl
LiCoO2,modelc,3.5,0.092537,-0.391063,0,0,0.9682 LiCoO2 + 0.03185 Li5.4P1S4.4Cl1.6 -> 0.7771 Li + 0.03185 LiCoPO4 + 0.3121 Co3O4 + 0.1401 Li2SO4 + 0.05096 LiCl
LiCoO2,modelc,3.5,0.097179,-0.405212,0,0,0.9664 LiCoO2 + 0.03356 Li5.4P1S4.4Cl1.6 -> 0.8188 Li + 0.03356 LiCoPO4 + 0.02685 CoCl2 + 0.302 Co3O4 + 0.1477 Li2SO4
LiCoO2,modelc,3.5,0.100324,-0.414808,0,0,0.9653 LiCoO2 + 0.03472 Li5.4P1S4.4Cl1.6 -> 0.8472 Li + 0.01736 Co3(PO4)2 + 0.02778 CoCl2 + 0.2951 Co3O4 + 0.1528 Li2SO4
LiCoO2,modelc,3.5,0.116981,-0.462727,0,0,0.959 LiCoO2 + 0.04098 Li5.4P1S4.4Cl1.6 -> Li + 0.09016 Li2Co(SO4)2 + 0.02049 Co3(PO4)2 + 0.03279 CoCl2 + 0.2582 Co3O4
LiCoO2,modelc,3.5,0.140271,-0.529291,0,0,0.95 LiCoO2 + 0.05 Li5.4P1S4.4Cl1.6 -> 1.22 Li + 0.025 Co3(PO4)2 + 0.22 CoSO4 + 0.04 CoCl2 + 0.205 Co3O4
