cathode,dopant,voltage_V,x_atomic_frac,reaction_energy_eV_per_atom,forms_M_phosphate,reaction
LiCoO2,Al,3.50,0.133929,-0.518099,0,0.04902 Li4.8Al0.2P1S4.4Cl1.6 + 0.951 LiCoO2 -> 1.186 Li + 0.02451 Co3(PO4)2 + 0.004902 Al2CoO4 + 0.2157 CoSO4 + 0.03922 CoCl2 + 0.2059 Co3O4
LiCoO2,Al,3.50,0.164835,-0.604955,0,0.06173 Li4.8Al0.2P1S4.4Cl1.6 + 0.9383 LiCoO2 -> 1.235 Li + 0.03086 Co3(PO4)2 + 0.006173 Al2CoO4 + 0.2716 CoSO4 + 0.5185 CoO + 0.04938 CoCl2
LiCoO2,Al,3.50,0.298595,-0.752263,0,0.1243 Li4.8Al0.2P1S4.4Cl1.6 + 0.8757 LiCoO2 -> 1.472 Li + 0.06213 Co3(PO4)2 + 0.01243 Al2CoO4 + 0.0307 Co9S8 + 0.3012 CoSO4 + 0.09942 CoCl2
LiCoO2,Al,3.50,0.310597,-0.763671,1,0.1306 Li4.8Al0.2P1S4.4Cl1.6 + 0.8694 LiCoO2 -> 1.496 Li + 0.05223 Co3(PO4)2 + 0.03379 Co9S8 + 0.3041 CoSO4 + 0.1045 CoCl2 + 0.02611 AlPO4
LiCoO2,Al,3.50,0.34202,-0.78616,1,0.1477 Li4.8Al0.2P1S4.4Cl1.6 + 0.8523 LiCoO2 -> 1.561 Li + 0.05907 Co3(PO4)2 + 0.2785 CoSO4 + 0.1181 CoCl2 + 0.02954 AlPO4 + 0.09283 Co3S4
LiCoO2,Al,3.50,0.378151,-0.80399,1,0.1685 Li4.8Al0.2P1S4.4Cl1.6 + 0.8315 LiCoO2 -> 1.64 Li + 0.06742 Co3(PO4)2 + 0.2472 CoSO4 + 0.2472 CoS2 + 0.1348 CoCl2 + 0.03371 AlPO4
LiCoO2,Al,3.50,0.414747,-0.818246,1,0.1911 Li4.8Al0.2P1S4.4Cl1.6 + 0.8089 LiCoO2 -> 1.726 Li + 0.03822 Co3(PO4)2 + 0.242 CoSO4 + 0.2994 CoS2 + 0.1529 CoCl2 + 0.03822 Al(PO3)3
LiCoO2,Al,3.50,0.428571,-0.82346,1,0.2 Li4.8Al0.2P1S4.4Cl1.6 + 0.8 LiCoO2 -> 1.76 Li + 0.04 Co2P2O7 + 0.24 CoSO4 + 0.32 CoS2 + 0.16 CoCl2 + 0.04 Al(PO3)3
LiCoO2,Al,3.50,0.449251,-0.830659,1,0.2138 Li4.8Al0.2P1S4.4Cl1.6 + 0.7862 LiCoO2 -> 1.784 Li + 0.0285 LiCo(PO3)3 + 0.2328 CoSO4 + 0.3539 CoS2 + 0.171 CoCl2 + 0.04276 Al(PO3)3
LiCoO2,Al,3.50,0.48913,-0.842329,1,0.2419 Li4.8Al0.2P1S4.4Cl1.6 + 0.7581 LiCoO2 -> 1.69 Li + 0.09879 Li2Co(SO4)2 + 0.03226 LiCo(PO3)3 + 0.4335 CoS2 + 0.1935 CoCl2 + 0.04839 Al(PO3)3
LiCoO2,Al,3.50,0.516648,-0.84982,1,0.2627 Li4.8Al0.2P1S4.4Cl1.6 + 0.7373 LiCoO2 -> 1.62 Li + 0.03503 LiCo(PO3)3 + 0.4921 CoS2 + 0.2102 CoCl2 + 0.05254 Al(PO3)3 + 0.1716 Li2SO4
LiCoO2,Al,3.50,0.580645,-0.861013,1,0.3158 Li4.8Al0.2P1S4.4Cl1.6 + 0.6842 LiCoO2 -> 1.442 Li + 0.04211 LiCo(PO3)3 + 0.6421 CoS2 + 0.06316 Al(PO3)3 + 0.1053 Li2SO4 + 0.5053 LiCl
LiCoO2,Al,3.50,0.592885,-0.862032,1,0.3268 Li4.8Al0.2P1S4.4Cl1.6 + 0.6732 LiCoO2 -> 1.405 Li + 0.6732 CoS2 + 0.06536 Al(PO3)3 + 0.0915 Li2SO4 + 0.1307 LiPO3 + 0.5229 LiCl
LiCoO2,Al,3.50,0.666667,-0.855408,1,0.4 Li4.8Al0.2P1S4.4Cl1.6 + 0.6 LiCoO2 -> 2.28 Li + 0.6 CoS2 + 0.56 SCl + 0.08 Al(PO3)3 + 0.16 LiPO3 + 0.08 LiCl
LiCoO2,Al,3.50,0.672269,-0.853566,1,0.4061 Li4.8Al0.2P1S4.4Cl1.6 + 0.5939 LiCoO2 -> 2.391 Li + 0.01015 PCl5 + 0.5939 CoS2 + 0.599 SCl + 0.08122 Al(PO3)3 + 0.1523 LiPO3
LiCoO2,Al,3.50,0.769231,-0.787013,1,0.5263 Li4.8Al0.2P1S4.4Cl1.6 + 0.4737 LiCoO2 -> 3 Li + 0.02477 PCl5 + 0.09288 P2S7 + 0.4737 CoS2 + 0.7183 SCl + 0.1053 Al(PO3)3
LiCoO2,Al,3.50,0.882353,-0.685683,1,0.7143 Li4.8Al0.2P1S4.4Cl1.6 + 0.2857 LiCoO2 -> 3.714 Li + 0.06723 PCl5 + 0.2521 P2S7 + 0.2857 CoS2 + 0.8067 SCl + 0.1429 AlPO4
LiCoO2,Al,3.50,0.95122,-0.620153,1,0.8667 Li4.8Al0.2P1S4.4Cl1.6 + 0.1333 LiCoO2 -> 4.293 Li + 0.1067 AlSCl7 + 0.4 P2S7 + 0.1333 CoS2 + 0.64 SCl + 0.06667 AlPO4
LiCoO2,Al,3.50,0.985401,-0.58574,1,0.9574 Li4.8Al0.2P1S4.4Cl1.6 + 0.04255 LiCoO2 -> 4.468 Li + 0.1702 LiAlCl4 + 0.4681 P2S7 + 0.04255 CoS2 + 0.8511 SCl + 0.02128 AlPO4
LiCoO2,Al,3.50,1.0,-0.570299,0,Li4.8Al0.2P1S4.4Cl1.6 -> 4.6 Li + 0.2 LiAlCl4 + 0.5 P2S7 + 0.8 SCl + 0.1 S
LiCoO2,Al,4.30,0.0,-0.17822,0,LiCoO2 -> Li + CoO2
LiCoO2,Al,4.30,0.087282,-0.599325,1,0.03089 Li4.8Al0.2P1S4.4Cl1.6 + 0.9691 LiCoO2 -> 1.117 Li + 0.01236 Co3(PO4)2 + 0.03354 Co23O32 + 0.02471 Co(ClO4)2 + 0.006178 AlPO4 + 0.1359 CoSO4
LiCoO2,Al,4.30,0.096953,-0.644632,1,0.03455 Li4.8Al0.2P1S4.4Cl1.6 + 0.9654 LiCoO2 -> 1.131 Li + 0.01382 Co3(PO4)2 + 0.03356 Co23O32 + 0.00691 AlPO4 + 0.05528 ClO2 + 0.152 CoSO4
LiCoO2,Al,4.30,0.125749,-0.778647,1,0.04575 Li4.8Al0.2P1S4.4Cl1.6 + 0.9542 LiCoO2 -> 1.174 Li + 0.0183 Co3(PO4)2 + 0.02876 Co23O32 + 0.0366 CoCl2 + 0.00915 AlPO4 + 0.2013 CoSO4
LiCoO2,Al,4.30,0.132743,-0.809634,1,0.04854 Li4.8Al0.2P1S4.4Cl1.6 + 0.9515 LiCoO2 -> 1.184 Li + 0.01942 Co3(PO4)2 + 0.03883 CoCl2 + 0.009709 AlPO4 + 0.2136 Co3O4 + 0.2136 CoSO4
LiCoO2,Al,4.30,0.133929,-0.814124,0,0.04902 Li4.8Al0.2P1S4.4Cl1.6 + 0.951 LiCoO2 -> 1.186 Li + 0.02451 Co3(PO4)2 + 0.004902 Al2CoO4 + 0.03922 CoCl2 + 0.2059 Co3O4 + 0.2157 CoSO4
LiCoO2,Al,4.30,0.164835,-0.907985,0,0.06173 Li4.8Al0.2P1S4.4Cl1.6 + 0.9383 LiCoO2 -> 1.235 Li + 0.03086 Co3(PO4)2 + 0.006173 Al2CoO4 + 0.04938 CoCl2 + 0.5185 CoO + 0.2716 CoSO4
LiCoO2,Al,4.30,0.298595,-1.086676,0,0.1243 Li4.8Al0.2P1S4.4Cl1.6 + 0.8757 LiCoO2 -> 1.472 Li + 0.06213 Co3(PO4)2 + 0.01243 Al2CoO4 + 0.0307 Co9S8 + 0.09942 CoCl2 + 0.3012 CoSO4
LiCoO2,Al,4.30,0.310597,-1.100987,1,0.1306 Li4.8Al0.2P1S4.4Cl1.6 + 0.8694 LiCoO2 -> 1.496 Li + 0.05223 Co3(PO4)2 + 0.03379 Co9S8 + 0.1045 CoCl2 + 0.02611 AlPO4 + 0.3041 CoSO4
LiCoO2,Al,4.30,0.34202,-1.131148,1,0.1477 Li4.8Al0.2P1S4.4Cl1.6 + 0.8523 LiCoO2 -> 1.561 Li + 0.05907 Co3(PO4)2 + 0.1181 CoCl2 + 0.02954 AlPO4 + 0.09283 Co3S4 + 0.2785 CoSO4
LiCoO2,Al,4.30,0.378151,-1.157929,1,0.1685 Li4.8Al0.2P1S4.4Cl1.6 + 0.8315 LiCoO2 -> 1.64 Li + 0.06742 Co3(PO4)2 + 0.1348 CoCl2 + 0.03371 AlPO4 + 0.2472 CoS2 + 0.2472 CoSO4
LiCoO2,Al,4.30,0.414747,-1.181395,1,0.1911 Li4.8Al0.2P1S4.4Cl1.6 + 0.8089 LiCoO2 -> 1.726 Li + 0.03822 Co3(PO4)2 + 0.03822 Al(PO3)3 + 0.1529 CoCl2 + 0.2994 CoS2 + 0.242 CoSO4
LiCoO2,Al,4.30,0.428571,-1.190127,1,0.2 Li4.8Al0.2P1S4.4Cl1.6 + 0.8 LiCoO2 -> 1.76 Li + 0.04 Co2P2O7 + 0.04 Al(PO3)3 + 0.16 CoCl2 + 0.32 CoS2 + 0.24 CoSO4
LiCoO2,Al,4.30,0.451128,-1.200519,1,0.2151 Li4.8Al0.2P1S4.4Cl1.6 + 0.7849 LiCoO2 -> 1.817 Li + 0.02151 CoP4O11 + 0.04301 Al(PO3)3 + 0.172 CoCl2 + 0.3548 CoS2 + 0.2366 CoSO4
LiCoO2,Al,4.30,0.564263,-1.246039,1,0.3015 Li4.8Al0.2P1S4.4Cl1.6 + 0.6985 LiCoO2 -> 2.146 Li + 0.03015 CoP4O11 + 0.0603 Al(PO3)3 + 0.5377 CoS2 + 0.1206 SCl4 + 0.1307 CoSO4
LiCoO2,Al,4.30,0.614334,-1.265061,1,0.3468 Li4.8Al0.2P1S4.4Cl1.6 + 0.6532 LiCoO2 -> 2.318 Li + 0.03468 CoP4O11 + 0.06936 Al(PO3)3 + 0.6185 CoS2 + 0.1503 SO2 + 0.1387 SCl4
LiCoO2,Al,4.30,0.669145,-1.280829,1,0.4027 Li4.8Al0.2P1S4.4Cl1.6 + 0.5973 LiCoO2 -> 2.53 Li + 0.04027 CoP4O11 + 0.08054 Al(PO3)3 + 0.557 CoS2 + 0.6443 SCl + 0.01342 SO2
LiCoO2,Al,4.30,0.674157,-1.280558,1,0.4082 Li4.8Al0.2P1S4.4Cl1.6 + 0.5918 LiCoO2 -> 2.551 Li + 0.04082 CoP4O11 + 0.08163 Al(PO3)3 + 0.551 CoS2 + 0.6531 SCl + 0.04082 S
LiCoO2,Al,4.30,0.691244,-1.27519,1,0.4274 Li4.8Al0.2P1S4.4Cl1.6 + 0.5726 LiCoO2 -> 2.624 Li + 0.03419 CoP4O11 + 0.08547 Al(PO3)3 + 0.01709 P2S7 + 0.5385 CoS2 + 0.6838 SCl
LiCoO2,Al,4.30,0.769231,-1.24762,1,0.5263 Li4.8Al0.2P1S4.4Cl1.6 + 0.4737 LiCoO2 -> 3 Li + 0.1053 Al(PO3)3 + 0.09288 P2S7 + 0.4737 CoS2 + 0.7183 SCl + 0.02477 PCl5
LiCoO2,Al,4.30,0.882353,-1.180922,1,0.7143 Li4.8Al0.2P1S4.4Cl1.6 + 0.2857 LiCoO2 -> 3.714 Li + 0.2521 P2S7 + 0.1429 AlPO4 + 0.2857 CoS2 + 0.8067 SCl + 0.06723 PCl5
LiCoO2,Al,4.30,0.95122,-1.137422,1,0.8667 Li4.8Al0.2P1S4.4Cl1.6 + 0.1333 LiCoO2 -> 4.293 Li + 0.1067 AlSCl7 + 0.4 P2S7 + 0.06667 AlPO4 + 0.1333 CoS2 + 0.64 SCl
LiCoO2,Al,4.30,1.0,-1.102692,0,Li4.8Al0.2P1S4.4Cl1.6 -> 4.8 Li + 0.03333 AlSCl7 + 0.5 P2S7 + 0.8667 SCl + 0.1667 AlCl3
LiCoO2,Al,4.50,0.0,-0.244886,0,LiCoO2 -> Li + CoO2
LiCoO2,Al,4.50,0.087282,-0.670729,1,0.03089 Li4.8Al0.2P1S4.4Cl1.6 + 0.9691 LiCoO2 -> 1.117 Li + 0.03354 Co23O32 + 0.01236 Co3(PO4)2 + 0.02471 Co(ClO4)2 + 0.006178 AlPO4 + 0.1359 CoSO4
LiCoO2,Al,4.50,0.096953,-0.716572,1,0.03455 Li4.8Al0.2P1S4.4Cl1.6 + 0.9654 LiCoO2 -> 1.131 Li + 0.03356 Co23O32 + 0.01382 Co3(PO4)2 + 0.00691 AlPO4 + 0.05528 ClO2 + 0.152 CoSO4
LiCoO2,Al,4.50,0.125749,-0.852194,1,0.04575 Li4.8Al0.2P1S4.4Cl1.6 + 0.9542 LiCoO2 -> 1.174 Li + 0.02876 Co23O32 + 0.0183 Co3(PO4)2 + 0.0366 CoCl2 + 0.00915 AlPO4 + 0.2013 CoSO4
LiCoO2,Al,4.50,0.132743,-0.883573,1,0.04854 Li4.8Al0.2P1S4.4Cl1.6 + 0.9515 LiCoO2 -> 1.184 Li + 0.01942 Co3(PO4)2 + 0.03883 CoCl2 + 0.009709 AlPO4 + 0.2136 Co3O4 + 0.2136 CoSO4
LiCoO2,Al,4.50,0.133929,-0.88813,0,0.04902 Li4.8Al0.2P1S4.4Cl1.6 + 0.951 LiCoO2 -> 1.186 Li + 0.02451 Co3(PO4)2 + 0.004902 Al2CoO4 + 0.03922 CoCl2 + 0.2059 Co3O4 + 0.2157 CoSO4
LiCoO2,Al,4.50,0.164835,-0.983742,0,0.06173 Li4.8Al0.2P1S4.4Cl1.6 + 0.9383 LiCoO2 -> 1.235 Li + 0.5185 CoO + 0.03086 Co3(PO4)2 + 0.006173 Al2CoO4 + 0.04938 CoCl2 + 0.2716 CoSO4
LiCoO2,Al,4.50,0.298595,-1.170279,0,0.1243 Li4.8Al0.2P1S4.4Cl1.6 + 0.8757 LiCoO2 -> 1.472 Li + 0.06213 Co3(PO4)2 + 0.01243 Al2CoO4 + 0.09942 CoCl2 + 0.0307 Co9S8 + 0.3012 CoSO4
LiCoO2,Al,4.50,0.310597,-1.185316,1,0.1306 Li4.8Al0.2P1S4.4Cl1.6 + 0.8694 LiCoO2 -> 1.496 Li + 0.05223 Co3(PO4)2 + 0.1045 CoCl2 + 0.03379 Co9S8 + 0.02611 AlPO4 + 0.3041 CoSO4
LiCoO2,Al,4.50,0.34202,-1.217395,1,0.1477 Li4.8Al0.2P1S4.4Cl1.6 + 0.8523 LiCoO2 -> 1.561 Li + 0.05907 Co3(PO4)2 + 0.1181 CoCl2 + 0.02954 AlPO4 + 0.09283 Co3S4 + 0.2785 CoSO4
LiCoO2,Al,4.50,0.378151,-1.246414,1,0.1685 Li4.8Al0.2P1S4.4Cl1.6 + 0.8315 LiCoO2 -> 1.64 Li + 0.06742 Co3(PO4)2 + 0.1348 CoCl2 + 0.03371 AlPO4 + 0.2472 CoS2 + 0.2472 CoSO4
LiCoO2,Al,4.50,0.414747,-1.272182,1,0.1911 Li4.8Al0.2P1S4.4Cl1.6 + 0.8089 LiCoO2 -> 1.726 Li + 0.03822 Al(PO3)3 + 0.03822 Co3(PO4)2 + 0.1529 CoCl2 + 0.2994 CoS2 + 0.242 CoSO4
LiCoO2,Al,4.50,0.428571,-1.281793,1,0.2 Li4.8Al0.2P1S4.4Cl1.6 + 0.8 LiCoO2 -> 1.76 Li + 0.04 Co2P2O7 + 0.04 Al(PO3)3 + 0.16 CoCl2 + 0.32 CoS2 + 0.24 CoSO4
LiCoO2,Al,4.50,0.451128,-1.293632,1,0.2151 Li4.8Al0.2P1S4.4Cl1.6 + 0.7849 LiCoO2 -> 1.817 Li + 0.04301 Al(PO3)3 + 0.02151 CoP4O11 + 0.172 CoCl2 + 0.3548 CoS2 + 0.2366 CoSO4
LiCoO2,Al,4.50,0.564263,-1.346628,1,0.3015 Li4.8Al0.2P1S4.4Cl1.6 + 0.6985 LiCoO2 -> 2.146 Li + 0.0603 Al(PO3)3 + 0.03015 CoP4O11 + 0.5377 CoS2 + 0.1206 SCl4 + 0.1307 CoSO4
LiCoO2,Al,4.50,0.614334,-1.369081,1,0.3468 Li4.8Al0.2P1S4.4Cl1.6 + 0.6532 LiCoO2 -> 2.318 Li + 0.06936 Al(PO3)3 + 0.03468 CoP4O11 + 0.6185 CoS2 + 0.1503 SO2 + 0.1387 SCl4
LiCoO2,Al,4.50,0.669145,-1.388698,1,0.4027 Li4.8Al0.2P1S4.4Cl1.6 + 0.5973 LiCoO2 -> 2.53 Li + 0.08054 Al(PO3)3 + 0.04027 CoP4O11 + 0.557 CoS2 + 0.6443 SCl + 0.01342 SO2
LiCoO2,Al,4.50,0.674157,-1.388783,1,0.4082 Li4.8Al0.2P1S4.4Cl1.6 + 0.5918 LiCoO2 -> 2.551 Li + 0.08163 Al(PO3)3 + 0.04082 CoP4O11 + 0.551 CoS2 + 0.6531 SCl + 0.04082 S
LiCoO2,Al,4.50,0.691244,-1.384637,1,0.4274 Li4.8Al0.2P1S4.4Cl1.6 + 0.5726 LiCoO2 -> 2.624 Li + 0.08547 Al(PO3)3 + 0.03419 CoP4O11 + 0.01709 P2S7 + 0.5385 CoS2 + 0.6838 SCl
LiCoO2,Al,4.50,0.769231,-1.362771,1,0.5263 Li4.8Al0.2P1S4.4Cl1.6 + 0.4737 LiCoO2 -> 3 Li + 0.1053 Al(PO3)3 + 0.09288 P2S7 + 0.4737 CoS2 + 0.7183 SCl + 0.02477 PCl5
LiCoO2,Al,4.50,0.882353,-1.304731,1,0.7143 Li4.8Al0.2P1S4.4Cl1.6 + 0.2857 LiCoO2 -> 3.714 Li + 0.1429 AlPO4 + 0.2521 P2S7 + 0.2857 CoS2 + 0.8067 SCl + 0.06723 PCl5
LiCoO2,Al,4.50,0.95122,-1.266739,1,0.8667 Li4.8Al0.2P1S4.4Cl1.6 + 0.1333 LiCoO2 -> 4.293 Li + 0.1067 AlSCl7 + 0.06667 AlPO4 + 0.4 P2S7 + 0.1333 CoS2 + 0.64 SCl
LiCoO2,Al,4.50,1.0,-1.236026,0,Li4.8Al0.2P1S4.4Cl1.6 -> 4.8 Li + 0.03333 AlSCl7 + 0.5 P2S7 + 0.8667 SCl + 0.1667 AlCl3
NMC811,Al,2.50,0.0,-0.025971,0,Li1Mn0.1Co0.1Ni0.8O2 + 0.7 Li -> 0.1 Li2MnO3 + 0.8 NiO + 0.1 LiCoO2 + 0.7 Li2O
NMC811,Al,2.50,0.085714,-0.38256,0,0.9697 Li1Mn0.1Co0.1Ni0.8O2 + 0.0303 Li4.8Al0.2P1S4.4Cl1.6 -> 0.3879 Li + 0.006061 Li5AlO4 + 0.09697 Li2MnO3 + 0.7758 NiO + 0.09697 LiCoO2 + 0.0303 Li3PO4 + 0.1333 Li2SO4 + 0.04848 LiCl
NMC811,Al,2.50,0.087137,-0.388069,0,0.9692 Li1Mn0.1Co0.1Ni0.8O2 + 0.03084 Li4.8Al0.2P1S4.4Cl1.6 -> 0.407 Li + 0.006167 LiAlO2 + 0.09692 Li2MnO3 + 0.7753 NiO + 0.09692 LiCoO2 + 0.03084 Li3PO4 + 0.1357 Li2SO4 + 0.04934 LiCl
NMC811,Al,2.50,0.098361,-0.412524,0,0.9649 Li1Mn0.1Co0.1Ni0.8O2 + 0.03509 Li4.8Al0.2P1S4.4Cl1.6 -> 0.4632 Li + 0.007018 LiAlO2 + 0.09649 CoO + 0.09649 Li2MnO3 + 0.7719 NiO + 0.03509 Li3PO4 + 0.1544 Li2SO4 + 0.05614 LiCl
NMC811,Al,2.50,0.109312,-0.436425,0,0.9607 Li1Mn0.1Co0.1Ni0.8O2 + 0.0393 Li4.8Al0.2P1S4.4Cl1.6 -> 0.5188 Li + 0.09607 LiMnO2 + 0.00786 LiAlO2 + 0.09607 CoO + 0.7686 NiO + 0.0393 Li3PO4 + 0.1729 Li2SO4 + 0.06288 LiCl
NMC811,Al,2.50,0.114688,-0.447978,0,0.9586 Li1Mn0.1Co0.1Ni0.8O2 + 0.04139 Li4.8Al0.2P1S4.4Cl1.6 -> 0.5943 Li + 0.04793 Mn2CoO4 + 0.008279 LiAlO2 + 0.04793 CoO + 0.7669 NiO + 0.04139 Li3PO4 + 0.1821 Li2SO4 + 0.06623 LiCl
NMC811,Al,2.50,0.115152,-0.448902,0,0.9584 Li1Mn0.1Co0.1Ni0.8O2 + 0.04158 Li4.8Al0.2P1S4.4Cl1.6 -> 0.6009 Li + 0.004158 Al2CoO4 + 0.04792 Mn2CoO4 + 0.04376 CoO + 0.7667 NiO + 0.04158 Li3PO4 + 0.1829 Li2SO4 + 0.06652 LiCl
NMC811,Al,2.50,0.116935,-0.451194,0,0.9577 Li1Mn0.1Co0.1Ni0.8O2 + 0.04227 Li4.8Al0.2P1S4.4Cl1.6 -> 0.5942 Li + 0.004227 Al2CoO4 + 0.03192 Mn3O4 + 0.09155 CoO + 0.7662 NiO + 0.04227 Li3PO4 + 0.186 Li2SO4 + 0.06764 LiCl
NMC811,Al,2.50,0.194853,-0.514427,0,0.9254 Li1Mn0.1Co0.1Ni0.8O2 + 0.07465 Li4.8Al0.2P1S4.4Cl1.6 -> 0.2834 Li + 0.007465 Al2CoO4 + 0.03085 Mn3O4 + 0.08507 CoO + 0.07465 Li3PO4 + 0.3285 Li2SO4 + 0.7403 Ni + 0.1194 LiCl
NMC811,Al,2.50,0.348214,-0.644378,0,0.8488 Li1Mn0.1Co0.1Ni0.8O2 + 0.1512 Li4.8Al0.2P1S4.4Cl1.6 -> 0.4543 Li + 0.01512 Al2CoO4 + 0.02829 Mn3O4 + 0.2264 Ni3S2 + 0.06977 CoO + 0.1512 Li3PO4 + 0.2124 Li2SO4 + 0.2419 LiCl
NMC811,Al,2.50,0.368883,-0.661657,0,0.8369 Li1Mn0.1Co0.1Ni0.8O2 + 0.1631 Li4.8Al0.2P1S4.4Cl1.6 -> 0.4471 Li + 0.01631 Al2CoO4 + 0.0279 Mn3O4 + 0.2232 Ni3S2 + 0.007488 Co9S8 + 0.1631 Li3PO4 + 0.2112 Li2SO4 + 0.2609 LiCl
NMC811,Al,2.50,0.37066,-0.662927,0,0.8359 Li1Mn0.1Co0.1Ni0.8O2 + 0.1641 Li4.8Al0.2P1S4.4Cl1.6 -> 0.4356 Li + 0.01641 Al2CoO4 + 0.2229 Ni3S2 + 0.007464 Co9S8 + 0.1641 Li3PO4 + 0.2165 Li2SO4 + 0.08359 MnO + 0.2626 LiCl
NMC811,Al,2.50,0.375475,-0.665734,0,0.8331 Li1Mn0.1Co0.1Ni0.8O2 + 0.1669 Li4.8Al0.2P1S4.4Cl1.6 -> 0.434 Li + 0.01669 MnAl2O4 + 0.2221 Ni3S2 + 0.009256 Co9S8 + 0.1669 Li3PO4 + 0.2162 Li2SO4 + 0.06661 MnO + 0.2671 LiCl
