time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V,prior_radial_same_time_available,prior_radial_R320H0250_minus_R160H0250_V_V,prior_radial_R320H0250_minus_R160H0250_delta_Eeq_V,prior_radial_R320H0250_minus_R160H0250_delta_etaMid_V,prior_radial_R320H0250_minus_R160H0250_delta_phiL_V,time_cap_abs_difference_divided_by_prior_radial_same_time_abs_difference
0.71,2.275546370319425,2.275546370183765,-1.35660E-10,-1.381983E-10,2.568166E-12,-3.00E-14,1.34E-16,True,0.000033675730991,0.0000345668879700,-8.91093987930E-7,-6.29907E-11,0.000004028420349249605989050288289
0.72,2.2758655593694535,2.2758655592384645,-1.309890E-10,-1.334436E-10,2.485564E-12,-3.09E-14,-6.4E-17,True,0.0000334408630655,0.0000343257804743,-8.84848272653E-7,-6.91367E-11,0.000003917034071262881832095099938
0.73,2.2761825899322194,2.2761825898056833,-1.265361E-10,-1.289137E-10,2.406080E-12,-2.87E-14,2.20E-16,True,0.0000332108543577,0.0000340896509992,-8.78721672540E-7,-7.49689E-11,0.000003810082650603728403944275263
0.74,2.276497506220649,2.2764975060983517,-1.222973E-10,-1.245965E-10,2.331912E-12,-3.31E-14,3.88E-16,True,0.000032985539645,0.0000338583305500,-8.72710413048E-7,-8.04918E-11,0.000003707603432176620980669118897
0.75,2.2768103509584128,2.2768103508401625,-1.182503E-10,-1.204786E-10,2.258861E-12,-3.07E-14,1.39E-16,True,0.0000327647614453,0.0000336316580568,-8.66810884846E-7,-8.57265E-11,0.000003609069463161393670908553197
0.76,2.2771211654492385,2.2771211653348513,-1.143872E-10,-1.165496E-10,2.187806E-12,-2.53E-14,-1.06E-16,True,0.0000325483695760,0.0000334094799060,-8.61019633147E-7,-9.06968E-11,0.000003514375727266689802318103063
0.77,2.27742998964213,2.2774299895314263,-1.107037E-10,-1.127965E-10,2.123411E-12,-3.09E-14,2.89E-16,True,0.000032336220744,0.0000331916495031,-8.55333361030E-7,-9.53981E-11,0.000003423520048196761530618279478
0.78,2.277736862192748,2.277736862085569,-1.07179E-10,-1.092121E-10,2.059239E-12,-2.59E-14,-2.39E-16,True,0.000032128178093,0.0000329780268618,-8.49748903684E-7,-9.98650E-11,0.000003335981258873557751228816310
0.79,2.278041820521321,2.27804182041751,-1.03811E-10,-1.057849E-10,1.997960E-12,-2.44E-14,3.40E-16,True,0.0000319241109036,0.0000327684782271,-8.44263238430E-7,-1.040847E-10,0.000003251805518201401190298300703
0.8,2.278344900867195,2.2783449007666072,-1.005878E-10,-1.025066E-10,1.942007E-12,-2.30E-14,-2.07E-16,True,0.000031723894173,0.000032562875725,-8.38873465580E-7,-1.080863E-10,0.000003170726754145133366442717518
0.81,2.278646138340391,2.278646138242887,-9.7504E-11,-9.93679E-11,1.886710E-12,-2.32E-14,3.90E-16,True,0.000031527408364,0.0000323610970312,-8.33576794698E-7,-1.118725E-10,0.000003092674122600456700196659400
0.82,2.2789455669702474,2.2789455668756933,-9.45541E-11,-9.63622E-11,1.831865E-12,-2.31E-14,-6.65E-16,True,0.0000313345390444,0.0000321630250691,-8.28370566139E-7,-1.154592E-10,0.000003017567926115650977997956076
0.83,2.2792432197514416,2.279243219659716,-9.17256E-11,-9.34831E-11,1.780801E-12,-2.34E-14,9.9E-17,True,0.0000311451766550,0.0000319685477182,-8.23252211071E-7,-1.188524E-10,0.000002945098081030614722644282269
0.84,2.2795391286874986,2.279539128598485,-8.90136E-11,-9.07226E-11,1.731948E-12,-2.25E-14,-4.48E-16,True,0.0000309592162168,0.0000317775575522,-8.18219274555E-7,-1.220608E-10,0.000002875189067341337396928851569
0.85,2.2798333248319835,2.2798333247455713,-8.64122E-11,-8.8075E-11,1.684657E-12,-2.19E-14,4.3E-17,True,0.0000307765571035,0.0000315899515874,-8.13269394944E-7,-1.250887E-10,0.000002807727963508073881588325597
0.86,2.280125838327519,2.280125838243602,-8.3917E-11,-8.55343E-11,1.640246E-12,-2.25E-14,-4.46E-16,True,0.000030597102802,0.0000314056310503,-8.08400297370E-7,-1.279508E-10,0.000002742645293675148531142945434
0.87,2.280416698442758,2.2804166983612393,-8.15187E-11,-8.30950E-11,1.596945E-12,-2.11E-14,4.55E-16,True,0.0000304207607064,0.0000312245011564,-8.03609793823E-7,-1.306558E-10,0.000002679706164706455895623894845
