time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V,prior_radial_same_time_available,prior_radial_R320H0250_minus_R160H0250_V_V,prior_radial_R320H0250_minus_R160H0250_delta_Eeq_V,prior_radial_R320H0250_minus_R160H0250_delta_etaMid_V,prior_radial_R320H0250_minus_R160H0250_delta_phiL_V,time_cap_abs_difference_divided_by_prior_radial_same_time_abs_difference
0.017000000000000005,2.237424082682214,2.237423952303921,-1.30378293E-7,-1.323788552E-7,2.031945501E-9,-3.13830E-11,-3.01E-16,True,0.0002406593292485,0.0002453537477068,-0.000004732105509665,3.76870512E-8,0.0005417545765091615780972835167
0.017250000000000005,2.2374751708591893,2.237475043169831,-1.276893583E-7,-1.296488134E-7,1.990187570E-9,-3.07326E-11,1.30E-16,True,0.0002384310096423,0.0002430907903187,-0.000004696940213211,3.71595373E-8,0.0005355400645728199578473357929
0.017500000000000005,2.2375258832733462,2.2375257581821413,-1.250912049E-7,-1.270109424E-7,1.949840735E-9,-3.01025E-11,-7.35E-16,True,0.0002362638451452,0.0002408898774380,-0.000004662679970789,3.66476778E-8,0.0005294555534856509832635775365
0.017750000000000005,2.2375762281334026,2.237576105553777,-1.225796256E-7,-1.244609636E-7,1.910831941E-9,-2.94940E-11,5.9E-17,True,0.0002341552597649,0.0002387483976300,-0.000004629288634652,3.61507699E-8,0.0005234972117349582259176611233
0.018000000000000006,2.237626213353159,2.23762609320251,-1.20150649E-7,-1.219948471E-7,1.873107666E-9,-2.89097E-11,1.34E-16,True,0.000232102809777,0.0002366638734096,-0.000004596731792095,3.56681588E-8,0.0005176613291128981867654954098
0.018250000000000006,2.2376758465661473,2.2376757287656157,-1.178005316E-7,-1.196087987E-7,1.836607532E-9,-2.83402E-11,-2.32E-16,True,0.0002301041763899,0.0002346339538712,-0.000004564976692435,3.51992109E-8,0.0005119443438540328808778880212
0.018500000000000006,2.2377251351393532,2.2377250196135976,-1.155257556E-7,-1.172992398E-7,1.801274463E-9,-2.77905E-11,2.37E-16,True,0.0002281571588907,0.0002326564077051,-0.000004533992158824,3.47433445E-8,0.0005063428917229078841453922195
0.018750000000000006,2.2377740861860724,2.237773972863078,-1.133229944E-7,-1.15062794E-7,1.767055612E-9,-2.72560E-11,-1.2E-17,True,0.0002262596680626,0.0002307291165766,-0.000004503748503693,3.42999895E-8,0.0005008537110053858900343778604
0.019000000000000006,2.2378227065779908,2.2378225953888853,-1.111891055E-7,-1.128962739E-7,1.733906575E-9,-2.67379E-11,-2.75E-16,True,0.0002244097200462,0.0002288500688761,-0.000004474217460749,3.38686306E-8,0.0004954736607536835609134034813
0.019250000000000007,2.2378710029565405,2.237870893835414,-1.091211265E-7,-1.107966696E-7,1.701783826E-9,-2.62406E-11,-1.26E-16,True,0.0002226054304732,0.0002270173538145,-0.000004445372096430,3.34487554E-8,0.0004901997505992440436715210340
0.019500000000000007,2.23791898174356,2.2379188746273107,-1.071162493E-7,-1.087611315E-7,1.670635628E-9,-2.57530E-11,-4.28E-16,True,0.0002208450089706,0.0002252291558275,-0.000004417186753703,3.30398962E-8,0.0004850290699313918145009241270
0.02,2.238014011192067,2.2380139079067356,-1.032853314E-7,-1.048716213E-7,1.611117685E-9,-2.48280E-11,2.15E-16,True,0.000217449047608,0.0002217794936564,-0.000004362699484340,3.22534361E-8,0.0004749863590398181588893813795
0.02025,2.2380610736867843,2.2380609722323896,-1.014543947E-7,-1.030126828E-7,1.582673990E-9,-2.43865E-11,6.10E-16,True,0.0002158103515049,0.0002201148285286,-0.000004336352032336,3.18750090E-8,0.0004701090285638891874935709142
0.0205,2.2381078422737484,2.2381077425969873,-9.96767611E-8,-1.012078587E-7,1.555051862E-9,-2.39544E-11,1.38E-16,True,0.0002142092019574,0.0002184882694639,-0.000004310573435303,3.15059286E-8,0.0004653243660364451476419419334
0.02075,2.238154322416405,2.2381542244661183,-9.79502867E-8,-9.94549747E-8,1.528225542E-9,-2.35372E-11,-3.42E-16,True,0.0002126442060445,0.0002168984036854,-0.000004285343474521,3.11458333E-8,0.0004606299344902064621275682086
0.021,2.238200519410874,2.2382004231379318,-9.62729422E-8,-9.77519717E-8,1.502165279E-9,-2.31359E-11,1.21E-16,True,0.000211114037687,0.0002153438861684,-0.000004260642864739,3.07943837E-8,0.0004560234044821563481387956634
0.02125,2.238246438393045,2.238246343750253,-9.4642792E-8,-9.60968869E-8,1.476834651E-9,-2.27397E-11,-5.1E-17,True,0.000209617433976,0.0002138234359265,-0.000004236453180931,3.04512310E-8,0.0004515024833804427717645404748
0.021500000000000002,2.2382920843453125,2.2382919912873023,-9.30580102E-8,-9.44878624E-8,1.452207247E-9,-2.23550E-11,-4.7E-17,True,0.0002081531917582,0.0002123358325236,-0.000004212756846477,3.01160810E-8,0.0004470650169424272921871835588
0.021750000000000002,2.238337462102882,2.238337370586032,-9.1516850E-8,-9.29231272E-8,1.428259289E-9,-2.19828E-11,7.11E-16,True,0.0002067201643354,0.0002108799127705,-0.000004189537071927,2.97886372E-8,0.0004427088682626792303855630945
0.022000000000000002,2.2383825763598337,2.238382486342174,-9.00176597E-8,-9.14009978E-8,1.404960364E-9,-2.16225E-11,2.36E-16,True,0.0002053172584313,0.0002094545676255,-0.000004166777803456,2.94686095E-8,0.0004384320168103173828169384222
0.022250000000000002,2.2384274316747974,2.2384273431159483,-8.85588491E-8,-8.99198724E-8,1.382289614E-9,-2.12662E-11,-1.14E-16,True,0.0002039434312894,0.0002080587392667,-0.000004144463703115,2.91557261E-8,0.0004342324169996587853829856746
0.022500000000000003,2.2384720324763903,2.238471945337462,-8.71389283E-8,-8.84782254E-8,1.360225264E-9,-2.09277E-11,-4.64E-16,True,0.0002025976879683,0.0002066914183384,-0.000004122580117504,2.88497470E-8,0.0004301082069289676699550898880
0.022750000000000003,2.2385163830683243,2.23851629731187,-8.57564543E-8,-8.70746027E-8,1.338739341E-9,-2.05913E-11,3.59E-16,True,0.0002012790787486,0.0002053516413527,-0.000004101113015633,2.85504116E-8,0.0004260574662462105513424836995
0.023000000000000003,2.2385604876343166,2.238560403224245,-8.44100716E-8,-8.57076189E-8,1.317813859E-9,-2.02660E-11,-5.59E-16,True,0.0001999866967546,0.0002040384882462,-0.000004080048988665,2.82574973E-8,0.0004220784330648655469024422420
0.023250000000000003,2.2386043502427038,2.2386042671442308,-8.30984730E-8,-8.43759519E-8,1.297430835E-9,-1.99519E-11,-3.5E-17,True,0.0001987196756568,0.0002027510800671,-0.000004059375191992,2.79707817E-8,0.0004181693268436876526144980348
0.023500000000000004,2.2386479748508537,2.238647893030439,-8.18204147E-8,-8.30783399E-8,1.277564942E-9,-1.96400E-11,2.58E-16,True,0.0001974771875264,0.0002014885768124,-0.000004039079334993,2.76900490E-8,0.0004143284382610610616981163354
