time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.06,N,10,0.0000021666666666666665,0.0000021666666666666665,0.01188087814573025,0.011880875064897455,-3.080832795E-9,0.01172220914726679,0.011722209147397683,1.30893E-13,1.403009545908636,1.4030097390686156,1.931599796E-7,-0.05435290330166587,-0.05435290477443111,-1.47276524E-9,-1.3486554176127536,-1.3486556092999655,-1.916872119E-7
0.06,N,11,0.000002383333333333333,0.000002383333333333333,0.011880879842731734,0.011880876761842537,-3.080889197E-9,0.011722209163617327,0.011722209163748103,1.30776E-13,1.4030094395111803,1.4030096326746957,1.931635154E-7,-0.05435326100066784,-0.054353262476914965,-1.476247125E-9,-1.3486548338539996,-1.348655025541265,-1.916872654E-7
0.06,N,12,0.0000026,0.0000026,0.011880881543762888,0.01188087846281716,-3.080945728E-9,0.0117222091800067,0.01172220918013735,1.3065E-13,1.4030093328610749,1.4030095260281346,1.931670597E-7,-0.054353674559738385,-0.05435367603947072,-1.479732335E-9,-1.348654194498382,-1.3486543861857059,-1.916873239E-7
0.06,N,13,0.0000028166666666666667,0.0000028166666666666667,0.011880883627869317,0.0118808805468543,-3.081015017E-9,0.011722209200087113,0.011722209200217621,1.30508E-13,1.4030092021931737,1.4030093953645781,1.931714044E-7,-0.054354120214272994,-0.05435412169828657,-1.484013576E-9,-1.3486534995453643,-1.3486536912327511,-1.916873868E-7
0.06,N,14,0.000003033333333333333,0.000003033333333333333,0.011880885716811621,0.011880882635727154,-3.081084467E-9,0.01172220922021413,0.011722209220344495,1.30365E-13,1.4030090712220764,1.4030092643978347,1.931757583E-7,-0.054354621679491455,-0.054354623167789606,-1.488298151E-9,-1.3486527489943325,-1.348652940681788,-1.916874555E-7
0.06,N,15,0.0000032499999999999994,0.0000032499999999999994,0.011880888188049096,0.011880885106882464,-3.081166632E-9,0.011722209244024673,0.011722209244154872,1.30199E-13,1.4030089162820936,1.4030091094630035,1.931809099E-7,-0.05435515529038004,-0.05435515678375613,-1.49337609E-9,-1.348651942844617,-1.3486521345321456,-1.916875286E-7
0.06,N,16,0.0000034666666666666664,0.0000034666666666666664,0.01188089066492881,0.011880887583679821,-3.081248989E-9,0.011722209267889588,0.011722209268019609,1.30021E-13,1.403008760988358,1.4030089541744313,1.931860733E-7,-0.05435574466283244,-0.05435574616129224,-1.49845980E-9,-1.348651081095464,-1.3486512727830715,-1.916876075E-7
0.06,N,17,0.000003683333333333333,0.000003683333333333333,0.011880893523328374,0.011880890441984322,-3.081344052E-9,0.011722209295430573,0.011722209295560395,1.29822E-13,1.4030085817743474,1.403008774966381,1.931920336E-7,-0.05435636623112594,-0.05435636773546215,-1.50433621E-9,-1.3486501637460815,-1.348650355433772,-1.916876905E-7
0.06,N,18,0.0000039,0.0000039,0.011880896388176722,0.0118808933067374,-3.081439322E-9,0.011722209323033687,0.011722209323163313,1.29626E-13,1.4030084021560152,1.4030085953540226,1.931980074E-7,-0.05435704351210968,-0.0543570450223303,-1.51022062E-9,-1.3486491907955818,-1.3486493824833607,-1.916877789E-7
0.06,N,19,0.0000041166666666666665,0.0000041166666666666665,0.011880899633774268,0.011880896552226987,-3.081547281E-9,0.011722209354305463,0.011722209354434857,1.29394E-13,1.4030081986657266,1.4030083918705023,1.932047757E-7,-0.0543577530390662,-0.054357754555961035,-1.516894835E-9,-1.348648162243056,-1.3486483539309284,-1.916878724E-7
0.06,N,20,0.000004333333333333333,0.000004333333333333333,0.011880902886627376,0.011880899804971897,-3.081655479E-9,0.011722209385647143,0.011722209385776311,1.29168E-13,1.4030079947205336,1.403008187932093,1.932115594E-7,-0.05435851823007587,-0.05435851975365491,-1.52357904E-9,-1.3486470780874853,-1.3486472697754563,-1.916879710E-7
0.06,N,21,0.00000455,0.00000455,0.011880906519463658,0.011880903437687341,-3.081776317E-9,0.011722209420650104,0.01172220942077902,1.28916E-13,1.4030077669514112,1.403007960170547,1.932191358E-7,-0.05435931571714736,-0.054359317248198424,-1.531051064E-9,-1.3486459383278455,-1.3486461300159198,-1.916880743E-7
0.06,N,22,0.000004766666666666666,0.000004766666666666666,0.011880910160362527,0.011880907078465106,-3.081897421E-9,0.01172220945573075,0.011722209455859408,1.28658E-13,1.4030075386767866,1.4030077319035152,1.932267286E-7,-0.05436016881986849,-0.05436017035840246,-1.53853397E-9,-1.3486447429629869,-1.34864493465117,-1.916881831E-7
0.06,N,23,0.000004983333333333334,0.000004983333333333334,0.011880914180483197,0.011880911098452037,-3.082031160E-9,0.011722209494465346,0.011722209494593726,1.28380E-13,1.4030072866259686,1.4030074798610823,1.932351137E-7,-0.05436105426869586,-0.05436105581550077,-1.54680491E-9,-1.3486434919917718,-1.3486436836800682,-1.916882964E-7
0.06,N,24,0.0000052,0.0000052,0.011880918209473764,0.01188091512730857,-3.082165194E-9,0.011722209533285411,0.011722209533413509,1.28098E-13,1.403007034019032,1.4030072272625493,1.932435173E-7,-0.05436199528499741,-0.05436199684008636,-1.55508895E-9,-1.3486421854129191,-1.348642377101334,-1.916884149E-7
0.06,N,25,0.000005416666666666667,0.000005416666666666667,0.011880922616929308,0.011880919534617465,-3.082311843E-9,0.011722209575752141,0.011722209575879928,1.27787E-13,1.4030067576833531,1.403006950936065,1.932527119E-7,-0.054362968697411196,-0.05436297026157,-1.564158804E-9,-1.348640823225179,-1.3486410149137174,-1.916885384E-7
0.06,N,26,0.000005633333333333333,0.000005633333333333333,0.011880927034062372,0.011880923951603551,-3.082458821E-9,0.011722209618312116,0.011722209618439597,1.27481E-13,1.4030064807409197,1.4030066740028466,1.932619269E-7,-0.0543639976293524,-0.0543639992025966,-1.5732442E-9,-1.348639405427137,-1.3486395971158036,-1.916886666E-7
0.06,N,27,0.000005849999999999999,0.000005849999999999999,0.011880931828908165,0.011880928746289791,-3.082618374E-9,0.011722209664511523,0.011722209664638666,1.27143E-13,1.403006180116908,1.4030063733888383,1.932719303E-7,-0.05436505900736921,-0.05436506059048285,-1.58311364E-9,-1.3486379320174333,-1.3486381237062328,-1.916887995E-7
0.06,N,28,0.000006066666666666666,0.000006066666666666666,0.011880936634239439,0.011880933551461163,-3.082778276E-9,0.011722209710811959,0.011722209710938767,1.26808E-13,1.4030058788354847,1.4030060721174407,1.932819560E-7,-0.05436617585719339,-0.054366177450192676,-1.592999286E-9,-1.348636402994518,-1.348636594683456,-1.91688938E-7
0.06,N,29,0.000006283333333333333,0.000006283333333333333,0.011880941816535732,0.011880938733584992,-3.082950740E-9,0.011722209760744633,0.011722209760871077,1.26444E-13,1.4030055539193624,1.4030057472121313,1.932927689E-7,-0.054367325203019234,-0.0543673268066871,-1.603667866E-9,-1.3486348183569223,-1.3486350100460036,-1.916890813E-7
0.06,N,30,0.0000065,0.0000065,0.011880947010125844,0.011880943927002263,-3.083123581E-9,0.011722209810786133,0.01172220981091221,1.26077E-13,1.4030052282951477,1.4030054215987535,1.933036058E-7,-0.05436852997315378,-0.05436853158750954,-1.61435576E-9,-1.3486331781029621,-1.3486333697921908,-1.916892287E-7
0.06,N,31,0.000006716666666666666,0.000006716666666666666,0.011880952579937725,0.01188094949662878,-3.083308945E-9,0.011722209864452712,0.011722209864578398,1.25686E-13,1.4030048790828344,1.4030050723980618,1.933152274E-7,-0.0543697672891843,-0.05436976891500711,-1.62582281E-9,-1.348631482231058,-1.34863167392044,-1.91689382E-7
0.06,N,32,0.000006933333333333333,0.000006933333333333333,0.011880958161852168,0.011880955078357456,-3.083494712E-9,0.011722209918235903,0.011722209918361204,1.25301E-13,1.4030045291117226,1.403004722438597,1.933268744E-7,-0.054371059982247116,-0.05437106161955785,-1.637310734E-9,-1.348629730739391,-1.3486299224289306,-1.916895396E-7
0.06,N,33,0.000007149999999999999,0.000007149999999999999,0.01188096411924964,0.011880961035556636,-3.083693004E-9,0.01172220997563708,0.011722209975761967,1.24887E-13,1.4030041555988289,1.4030043489381354,1.933393065E-7,-0.05437238527106092,-0.05437238692064028,-1.64957936E-9,-1.3486279236262744,-1.348628115315976,-1.916897016E-7
0.06,N,34,0.000007366666666666666,0.000007366666666666666,0.011880970089558851,0.01188096700566713,-3.083891721E-9,0.011722210033162669,0.011722210033287132,1.24463E-13,1.4030037812764031,1.4030039746281693,1.933517662E-7,-0.05437376588985199,-0.05437376755172174,-1.66186975E-9,-1.3486260608897505,-1.3486262525796195,-1.916898690E-7
0.06,N,35,0.0000075833333333333324,0.0000075833333333333324,0.011880976434616764,0.01188097335051383,-3.084102934E-9,0.011722210094299173,0.011722210094423192,1.24019E-13,1.4030033834582363,1.4030035768232445,1.933650082E-7,-0.0543751791542193,-0.054375180829158154,-1.674938854E-9,-1.348624142528027,-1.3486243342180677,-1.916900407E-7
0.06,N,36,0.0000078,0.0000078,0.011880982793396062,0.011880979709081455,-3.084314607E-9,0.011722210155567889,0.01172221015569146,1.23571E-13,1.4030029847797751,1.403003178158055,1.933782799E-7,-0.05437664770172668,-0.05437664938975817,-1.68803149E-9,-1.3486221685390072,-1.348622360229225,-1.916902178E-7
0.06,N,37,0.000008016666666666666,0.000008016666666666666,0.01188098952619416,0.011880986441655425,-3.084538735E-9,0.011722210220440513,0.011722210220563611,1.23098E-13,1.4030025626513354,1.403002756043667,1.933923316E-7,-0.05437814894460513,-0.054378150646505086,-1.701899956E-9,-1.3486201389207928,-1.3486203306111924,-1.916903996E-7
0.06,N,38,0.000008233333333333333,0.000008233333333333333,0.011880996273523783,0.011880993188760436,-3.084763347E-9,0.011722210285453147,0.011722210285575779,1.22632E-13,1.4030021396118075,1.403002333018222,1.934064145E-7,-0.0543797054240005,-0.05437970713979512,-1.71579462E-9,-1.3486180536711496,-1.3486182453617355,-1.916905859E-7
0.06,N,39,0.000008449999999999999,0.000008449999999999999,0.011881003394146685,0.011881000309146265,-3.085000420E-9,0.011722210354062703,0.011722210354184836,1.22133E-13,1.403001693167789,1.4030018865890674,1.934212784E-7,-0.05438129464853336,-0.05438129637899869,-1.73046533E-9,-1.348615912788073,-1.3486161044788503,-1.916907773E-7
