t_ps,comp1_600K,comp1_800K,comp1_1000K,modelc_600K,modelc_800K,modelc_1000K
1.699999999999999956e+00,1.968970000000000109e+00,4.735829999999999984e+00,5.147199999999999775e+00,1.456169999999999964e+00,6.470629999999999882e+00,7.787930000000000241e+00
1.800000000000000044e+00,1.834759999999999946e+00,5.092970000000000219e+00,6.490350000000000286e+00,1.351410000000000000e+00,7.687879999999999825e+00,8.050100000000000477e+00
1.899999999999999911e+00,2.254700000000000149e+00,5.073809999999999931e+00,6.487169999999999881e+00,1.931200000000000028e+00,8.252800000000000580e+00,9.936799999999999855e+00
2.000000000000000000e+00,2.111650000000000027e+00,5.037139999999999951e+00,8.858480000000000132e+00,2.004950000000000010e+00,8.727029999999999177e+00,9.549580000000000624e+00
2.100000000000000089e+00,2.522699999999999942e+00,5.976950000000000429e+00,8.814569999999999794e+00,2.275250000000000217e+00,8.956870000000000331e+00,9.456099999999999284e+00
2.200000000000000178e+00,3.209830000000000183e+00,6.360369999999999635e+00,9.410560000000000258e+00,2.725159999999999805e+00,9.183709999999999596e+00,9.224410000000000664e+00
2.299999999999999822e+00,3.790589999999999904e+00,6.504789999999999850e+00,8.573439999999999728e+00,1.920039999999999969e+00,9.813060000000000116e+00,9.676310000000000855e+00
2.399999999999999911e+00,4.331550000000000011e+00,6.726960000000000051e+00,8.711619999999999919e+00,1.714299999999999935e+00,9.761070000000000135e+00,9.530139999999999390e+00
2.500000000000000000e+00,5.127849999999999575e+00,6.982960000000000278e+00,9.155060000000000642e+00,1.745460000000000012e+00,1.112780000000000058e+01,8.060140000000000526e+00
2.600000000000000089e+00,4.802690000000000126e+00,6.482649999999999579e+00,8.797510000000000829e+00,1.677980000000000027e+00,1.153110000000000035e+01,7.861489999999999867e+00
2.700000000000000178e+00,5.129679999999999573e+00,6.818279999999999674e+00,9.308540000000000703e+00,2.331729999999999858e+00,1.191259999999999941e+01,8.438420000000000698e+00
2.799999999999999822e+00,6.070619999999999905e+00,6.882259999999999600e+00,1.019969999999999999e+01,2.159450000000000092e+00,1.196790000000000020e+01,9.017319999999999780e+00
2.899999999999999911e+00,5.471619999999999706e+00,6.080479999999999663e+00,1.024469999999999992e+01,1.914109999999999978e+00,1.175099999999999945e+01,9.084609999999999630e+00
3.000000000000000000e+00,5.209740000000000038e+00,5.650900000000000034e+00,1.050479999999999947e+01,1.658779999999999921e+00,1.347920000000000051e+01,9.203659999999999286e+00
3.100000000000000089e+00,4.287700000000000067e+00,6.343880000000000408e+00,1.134409999999999918e+01,2.176369999999999916e+00,1.523789999999999978e+01,9.554299999999999571e+00
3.200000000000000178e+00,5.074670000000000236e+00,7.403080000000000105e+00,9.758499999999999730e+00,2.767319999999999780e+00,1.631169999999999831e+01,1.064610000000000056e+01
3.299999999999999822e+00,5.363889999999999603e+00,6.726029999999999731e+00,1.018410000000000082e+01,2.568480000000000096e+00,1.812959999999999994e+01,1.077159999999999940e+01
3.399999999999999911e+00,5.327340000000000408e+00,6.712019999999999875e+00,1.018590000000000018e+01,2.641220000000000123e+00,1.695100000000000051e+01,1.164520000000000088e+01
3.500000000000000000e+00,5.597050000000000303e+00,6.110890000000000377e+00,1.092459999999999987e+01,2.532579999999999831e+00,1.624200000000000088e+01,1.228149999999999942e+01
3.600000000000000089e+00,5.471359999999999779e+00,6.157130000000000436e+00,1.154589999999999961e+01,2.626040000000000152e+00,1.512129999999999974e+01,1.222540000000000049e+01
3.700000000000000178e+00,5.139929999999999666e+00,6.402849999999999930e+00,1.281479999999999997e+01,2.738700000000000134e+00,1.485510000000000019e+01,1.308649999999999913e+01
3.799999999999999822e+00,5.426350000000000229e+00,6.521440000000000126e+00,1.334759999999999991e+01,2.901740000000000208e+00,1.558220000000000027e+01,1.401820000000000022e+01
3.899999999999999911e+00,5.320850000000000080e+00,6.959430000000000227e+00,1.331329999999999991e+01,2.565290000000000070e+00,1.654619999999999891e+01,1.408070000000000022e+01
4.000000000000000000e+00,5.774409999999999599e+00,6.867300000000000182e+00,1.326019999999999932e+01,3.025650000000000173e+00,1.637229999999999919e+01,1.401600000000000001e+01
4.099999999999999645e+00,5.782650000000000290e+00,6.815879999999999939e+00,1.275760000000000005e+01,2.983260000000000023e+00,1.635539999999999949e+01,1.357140000000000057e+01
4.200000000000000178e+00,6.069119999999999848e+00,6.341050000000000075e+00,1.388209999999999944e+01,4.414189999999999614e+00,1.650250000000000128e+01,1.471780000000000044e+01
4.299999999999999822e+00,6.775199999999999889e+00,6.659600000000000186e+00,1.293389999999999951e+01,3.241319999999999979e+00,1.628369999999999962e+01,1.465549999999999997e+01
4.400000000000000355e+00,6.987239999999999895e+00,6.292440000000000033e+00,1.362500000000000000e+01,3.614590000000000192e+00,1.699540000000000006e+01,1.426270000000000060e+01
4.500000000000000000e+00,7.197560000000000180e+00,6.204310000000000436e+00,1.484370000000000012e+01,4.104879999999999640e+00,1.822090000000000032e+01,1.466239999999999988e+01
4.599999999999999645e+00,7.417769999999999975e+00,6.378309999999999924e+00,1.505439999999999934e+01,4.578199999999999825e+00,1.737369999999999948e+01,1.371429999999999971e+01
4.700000000000000178e+00,7.092719999999999914e+00,6.799059999999999881e+00,1.366970000000000063e+01,4.876039999999999708e+00,1.680150000000000077e+01,1.426629999999999932e+01
4.799999999999999822e+00,7.705099999999999838e+00,6.589339999999999975e+00,1.471000000000000085e+01,4.862639999999999851e+00,1.740319999999999823e+01,1.405180000000000007e+01
4.900000000000000355e+00,8.260020000000000806e+00,7.404469999999999885e+00,1.554550000000000054e+01,4.187750000000000306e+00,1.800659999999999883e+01,1.401539999999999964e+01
5.000000000000000000e+00,8.160410000000000608e+00,7.050849999999999618e+00,1.545700000000000074e+01,4.524479999999999613e+00,1.927990000000000137e+01,1.535100000000000087e+01
5.099999999999999645e+00,7.885930000000000106e+00,7.632880000000000109e+00,1.471419999999999995e+01,5.136350000000000193e+00,1.876300000000000168e+01,1.551800000000000068e+01
5.200000000000000178e+00,8.506919999999999149e+00,7.217730000000000423e+00,1.466360000000000063e+01,5.247959999999999958e+00,1.810389999999999944e+01,1.457900000000000063e+01
5.299999999999999822e+00,9.649490000000000123e+00,6.931269999999999598e+00,1.487299999999999933e+01,4.949939999999999785e+00,1.819679999999999964e+01,1.613510000000000133e+01
5.400000000000000355e+00,9.108990000000000364e+00,6.217649999999999899e+00,1.607910000000000039e+01,4.777790000000000425e+00,1.734949999999999903e+01,1.792180000000000106e+01
5.500000000000000000e+00,9.685069999999999624e+00,6.512470000000000425e+00,1.688650000000000162e+01,4.331680000000000419e+00,1.721480000000000032e+01,1.772329999999999828e+01
5.599999999999999645e+00,9.988099999999999312e+00,7.317420000000000258e+00,1.475719999999999921e+01,5.073940000000000339e+00,1.744490000000000052e+01,1.616359999999999886e+01
5.700000000000000178e+00,1.017769999999999975e+01,8.828950000000000742e+00,1.495710000000000051e+01,4.506920000000000037e+00,1.684580000000000055e+01,1.591779999999999973e+01
5.799999999999999822e+00,1.034680000000000000e+01,8.862600000000000477e+00,1.712199999999999989e+01,4.945000000000000284e+00,1.743799999999999883e+01,1.538850000000000051e+01
5.900000000000000355e+00,1.000389999999999979e+01,8.768280000000000740e+00,1.714470000000000027e+01,4.908850000000000158e+00,1.723359999999999914e+01,1.587379999999999924e+01
6.000000000000000000e+00,1.055509999999999948e+01,9.825900000000000745e+00,1.625580000000000069e+01,5.461030000000000051e+00,1.771780000000000044e+01,1.625440000000000040e+01
6.099999999999999645e+00,1.067590000000000039e+01,8.921670000000000655e+00,1.532319999999999993e+01,5.266049999999999898e+00,1.691959999999999908e+01,1.633299999999999841e+01
6.200000000000000178e+00,1.023969999999999914e+01,8.679019999999999513e+00,1.641260000000000119e+01,5.077729999999999855e+00,1.682450000000000045e+01,1.688719999999999999e+01
6.299999999999999822e+00,1.001759999999999984e+01,1.000869999999999926e+01,1.557530000000000037e+01,5.525240000000000151e+00,1.766219999999999857e+01,1.713200000000000145e+01
6.400000000000000355e+00,9.957459999999999312e+00,9.631669999999999732e+00,1.611240000000000094e+01,6.460410000000000430e+00,1.773999999999999844e+01,1.851399999999999935e+01
6.500000000000000000e+00,9.927979999999999805e+00,9.627829999999999444e+00,1.564199999999999946e+01,5.775619999999999976e+00,1.698440000000000083e+01,1.857989999999999853e+01
6.599999999999999645e+00,1.025450000000000017e+01,1.061679999999999957e+01,1.558689999999999998e+01,6.227070000000000327e+00,1.668519999999999825e+01,1.956769999999999854e+01
6.700000000000000178e+00,1.015859999999999985e+01,9.209770000000000678e+00,1.707260000000000133e+01,6.484510000000000218e+00,1.703900000000000148e+01,2.094389999999999930e+01
6.799999999999999822e+00,1.111989999999999945e+01,9.316140000000000754e+00,1.669650000000000034e+01,6.750609999999999999e+00,1.652969999999999828e+01,2.101970000000000027e+01
6.900000000000000355e+00,1.032060000000000066e+01,9.751099999999999213e+00,1.688400000000000034e+01,7.784970000000000390e+00,1.622220000000000084e+01,2.099719999999999942e+01
7.000000000000000000e+00,1.027779999999999916e+01,1.044270000000000032e+01,1.761060000000000159e+01,7.205250000000000377e+00,1.615919999999999845e+01,1.959890000000000043e+01
7.099999999999999645e+00,1.003519999999999968e+01,1.099329999999999963e+01,1.611339999999999861e+01,7.714100000000000179e+00,1.635900000000000176e+01,2.008340000000000103e+01
7.200000000000000178e+00,1.024310000000000009e+01,1.115509999999999913e+01,1.517890000000000050e+01,7.775970000000000049e+00,1.636479999999999890e+01,2.089399999999999835e+01
7.299999999999999822e+00,1.057130000000000081e+01,1.103480000000000061e+01,1.565179999999999971e+01,7.332160000000000011e+00,1.573600000000000065e+01,2.348079999999999856e+01
7.400000000000000355e+00,1.031869999999999976e+01,9.884180000000000632e+00,1.667310000000000159e+01,7.955070000000000086e+00,1.703979999999999961e+01,2.536929999999999907e+01
7.500000000000000000e+00,1.085560000000000080e+01,1.020589999999999975e+01,1.562040000000000006e+01,8.886229999999999407e+00,1.816310000000000002e+01,2.565020000000000167e+01
7.599999999999999645e+00,1.086829999999999963e+01,9.708759999999999835e+00,1.583089999999999975e+01,8.648320000000000007e+00,1.804189999999999827e+01,2.494369999999999976e+01
7.700000000000000178e+00,1.075949999999999918e+01,9.466580000000000439e+00,1.589310000000000045e+01,8.490439999999999543e+00,1.895240000000000080e+01,2.607199999999999918e+01
7.799999999999999822e+00,1.087310000000000088e+01,9.799450000000000216e+00,1.782379999999999853e+01,8.850080000000000169e+00,1.901050000000000040e+01,2.585579999999999856e+01
7.900000000000000355e+00,1.028209999999999980e+01,1.010469999999999935e+01,1.815909999999999869e+01,8.250909999999999300e+00,1.882019999999999982e+01,2.740220000000000056e+01
8.000000000000000000e+00,1.058440000000000047e+01,1.055250000000000021e+01,1.814049999999999940e+01,7.836140000000000327e+00,1.815769999999999840e+01,2.616979999999999862e+01
8.099999999999999645e+00,1.043430000000000035e+01,9.690480000000000871e+00,1.824530000000000030e+01,7.274930000000000341e+00,1.863830000000000098e+01,2.640230000000000032e+01
8.199999999999999289e+00,1.118340000000000067e+01,9.494719999999999160e+00,1.801749999999999829e+01,7.708540000000000170e+00,1.807600000000000051e+01,2.734169999999999945e+01
8.300000000000000711e+00,1.010360000000000014e+01,9.869830000000000325e+00,1.708370000000000033e+01,7.820820000000000327e+00,1.897200000000000131e+01,2.841939999999999955e+01
8.400000000000000355e+00,1.038649999999999984e+01,9.138619999999999521e+00,1.769450000000000145e+01,7.647240000000000038e+00,1.938749999999999929e+01,2.831879999999999953e+01
8.500000000000000000e+00,9.965859999999999275e+00,9.156900000000000261e+00,1.868140000000000001e+01,7.305340000000000167e+00,1.955790000000000006e+01,3.027730000000000032e+01
8.599999999999999645e+00,1.016060000000000052e+01,8.974470000000000169e+00,1.710259999999999891e+01,7.504459999999999908e+00,1.959140000000000015e+01,2.922269999999999968e+01
8.699999999999999289e+00,1.081949999999999967e+01,8.937110000000000554e+00,1.764349999999999952e+01,7.881719999999999615e+00,1.932649999999999935e+01,2.830659999999999954e+01
8.800000000000000711e+00,1.100259999999999927e+01,8.598349999999999937e+00,1.683399999999999963e+01,7.424750000000000405e+00,1.991659999999999897e+01,2.861019999999999897e+01
8.900000000000000355e+00,1.079250000000000043e+01,8.416779999999999262e+00,1.787989999999999924e+01,7.883119999999999905e+00,1.917640000000000100e+01,2.756869999999999976e+01
9.000000000000000000e+00,1.038030000000000008e+01,8.385170000000000456e+00,1.806019999999999825e+01,8.096650000000000347e+00,2.029850000000000065e+01,2.859459999999999980e+01
9.099999999999999645e+00,9.933889999999999887e+00,8.389699999999999491e+00,2.034250000000000114e+01,6.872569999999999624e+00,2.061189999999999856e+01,2.914359999999999928e+01
9.199999999999999289e+00,1.078519999999999968e+01,8.114029999999999632e+00,2.025339999999999918e+01,7.842760000000000176e+00,2.001869999999999905e+01,2.910389999999999944e+01
9.300000000000000711e+00,1.079780000000000051e+01,7.663450000000000095e+00,2.086380000000000123e+01,7.738579999999999792e+00,2.044669999999999987e+01,3.165609999999999857e+01
9.400000000000000355e+00,1.071110000000000007e+01,8.027409999999999712e+00,2.103040000000000020e+01,8.301920000000000854e+00,1.942830000000000013e+01,3.143059999999999832e+01
9.500000000000000000e+00,1.137250000000000050e+01,8.309300000000000352e+00,2.113950000000000173e+01,8.819620000000000459e+00,1.954009999999999891e+01,3.228199999999999648e+01
9.599999999999999645e+00,1.155470000000000041e+01,8.905530000000000612e+00,2.187430000000000163e+01,8.720909999999999940e+00,1.934530000000000172e+01,3.038200000000000145e+01
9.699999999999999289e+00,1.090399999999999991e+01,8.802590000000000359e+00,2.111349999999999838e+01,8.675219999999999487e+00,2.055180000000000007e+01,3.057000000000000028e+01
9.800000000000000711e+00,1.146529999999999916e+01,8.441480000000000317e+00,2.119079999999999941e+01,8.068490000000000606e+00,2.053209999999999980e+01,2.961499999999999844e+01
9.900000000000000355e+00,1.116939999999999955e+01,8.299490000000000478e+00,2.308530000000000015e+01,7.624939999999999607e+00,2.009410000000000096e+01,2.951040000000000063e+01
1.000000000000000000e+01,1.116949999999999932e+01,9.291169999999999263e+00,2.273489999999999966e+01,7.971930000000000405e+00,1.948260000000000147e+01,2.871790000000000020e+01
1.009999999999999964e+01,1.199489999999999945e+01,7.957169999999999632e+00,2.279289999999999949e+01,9.032220000000000582e+00,2.028659999999999997e+01,2.956709999999999994e+01
1.019999999999999929e+01,1.216699999999999982e+01,8.889699999999999491e+00,2.403790000000000049e+01,8.988799999999999457e+00,1.991880000000000095e+01,2.943659999999999854e+01
1.030000000000000071e+01,1.177219999999999978e+01,8.471790000000000376e+00,2.457669999999999888e+01,9.881850000000000023e+00,2.081109999999999971e+01,3.028979999999999961e+01
1.040000000000000036e+01,1.144089999999999918e+01,8.724009999999999820e+00,2.432890000000000086e+01,9.262359999999999260e+00,2.089590000000000103e+01,2.989359999999999928e+01
1.050000000000000000e+01,1.162599999999999945e+01,9.072179999999999467e+00,2.403440000000000154e+01,9.061479999999999535e+00,1.996809999999999974e+01,2.983589999999999876e+01
1.059999999999999964e+01,1.143079999999999963e+01,8.081500000000000128e+00,2.349970000000000070e+01,8.481320000000000192e+00,2.175939999999999941e+01,3.121130000000000138e+01
1.069999999999999929e+01,1.053800000000000026e+01,8.483710000000000306e+00,2.365850000000000009e+01,8.382799999999999585e+00,2.197560000000000002e+01,3.182519999999999882e+01
1.080000000000000071e+01,1.075699999999999967e+01,8.980249999999999844e+00,2.227609999999999957e+01,9.209350000000000591e+00,2.138439999999999941e+01,3.178859999999999886e+01
1.090000000000000036e+01,1.126270000000000060e+01,8.454689999999999372e+00,2.123799999999999955e+01,8.696039999999999992e+00,2.200400000000000134e+01,3.138820000000000121e+01
1.100000000000000000e+01,1.146920000000000073e+01,7.893600000000000172e+00,2.246969999999999956e+01,9.401590000000000558e+00,2.180389999999999873e+01,3.195919999999999916e+01
1.109999999999999964e+01,1.162509999999999977e+01,7.906320000000000014e+00,2.137399999999999878e+01,1.020550000000000068e+01,2.140899999999999892e+01,3.147159999999999869e+01
1.119999999999999929e+01,1.135180000000000078e+01,8.516890000000000072e+00,2.061720000000000041e+01,1.058150000000000013e+01,2.211179999999999879e+01,3.284109999999999729e+01
1.130000000000000071e+01,1.169400000000000084e+01,8.364890000000000825e+00,1.973250000000000171e+01,1.072369999999999912e+01,2.357779999999999987e+01,3.644619999999999749e+01
1.140000000000000036e+01,1.243720000000000070e+01,8.145129999999999981e+00,2.008830000000000027e+01,1.058489999999999931e+01,2.487730000000000175e+01,3.529800000000000182e+01
1.150000000000000000e+01,1.289780000000000015e+01,9.059630000000000294e+00,2.044190000000000040e+01,1.028669999999999973e+01,2.424589999999999890e+01,3.285909999999999798e+01
1.159999999999999964e+01,1.231530000000000058e+01,9.467959999999999710e+00,2.049180000000000135e+01,1.048199999999999932e+01,2.422060000000000102e+01,3.443289999999999651e+01
1.169999999999999929e+01,1.222719999999999985e+01,9.305059999999999221e+00,2.085279999999999845e+01,1.012160000000000082e+01,2.375199999999999889e+01,3.416510000000000247e+01
1.180000000000000071e+01,1.267820000000000036e+01,8.883380000000000720e+00,2.081230000000000047e+01,1.031240000000000023e+01,2.353330000000000055e+01,3.319950000000000045e+01
1.190000000000000036e+01,1.248429999999999929e+01,9.827849999999999753e+00,2.020080000000000098e+01,1.009769999999999968e+01,2.504169999999999874e+01,3.243299999999999983e+01
1.200000000000000000e+01,1.141159999999999997e+01,9.093450000000000699e+00,1.948010000000000019e+01,1.004349999999999987e+01,2.614110000000000156e+01,3.260130000000000194e+01
1.209999999999999964e+01,1.147499999999999964e+01,8.469079999999999941e+00,1.943090000000000117e+01,1.011120000000000019e+01,2.350270000000000081e+01,3.442249999999999943e+01
1.219999999999999929e+01,1.094560000000000066e+01,8.341039999999999566e+00,1.983239999999999981e+01,9.473580000000000112e+00,2.501699999999999946e+01,3.302680000000000149e+01
1.230000000000000071e+01,1.175270000000000081e+01,9.038330000000000197e+00,2.065930000000000177e+01,1.034350000000000058e+01,2.674739999999999895e+01,3.334199999999999875e+01
1.240000000000000036e+01,1.136720000000000041e+01,8.926429999999999865e+00,2.075230000000000175e+01,9.580590000000000828e+00,2.628399999999999892e+01,3.345459999999999923e+01
1.250000000000000000e+01,1.120250000000000057e+01,8.963770000000000238e+00,2.142239999999999966e+01,1.004850000000000065e+01,2.631230000000000047e+01,3.053979999999999961e+01
1.259999999999999964e+01,1.175600000000000023e+01,8.333360000000000767e+00,2.192889999999999873e+01,1.004790000000000028e+01,2.580020000000000024e+01,3.083599999999999852e+01
1.269999999999999929e+01,1.136800000000000033e+01,8.572490000000000165e+00,2.063909999999999911e+01,9.867150000000000531e+00,2.665500000000000114e+01,3.128079999999999927e+01
1.280000000000000071e+01,1.131470000000000020e+01,8.872650000000000148e+00,2.192289999999999850e+01,9.683410000000000295e+00,2.577609999999999957e+01,3.207739999999999725e+01
1.290000000000000036e+01,1.107939999999999969e+01,9.187099999999999156e+00,2.307700000000000173e+01,8.680110000000000881e+00,2.476480000000000103e+01,3.255579999999999785e+01
1.300000000000000000e+01,1.194100000000000072e+01,9.188860000000000028e+00,2.342460000000000164e+01,9.210760000000000502e+00,2.408719999999999928e+01,3.272690000000000055e+01
1.309999999999999964e+01,1.144549999999999912e+01,9.090650000000000119e+00,2.183350000000000080e+01,8.894320000000000448e+00,2.567310000000000159e+01,3.295819999999999794e+01
1.319999999999999929e+01,1.168730000000000047e+01,9.485649999999999693e+00,2.094480000000000075e+01,9.822770000000000223e+00,2.682069999999999865e+01,3.361440000000000339e+01
1.330000000000000071e+01,1.123780000000000001e+01,9.096790000000000376e+00,2.082019999999999982e+01,9.903280000000000527e+00,2.712809999999999988e+01,3.251850000000000307e+01
1.340000000000000036e+01,1.095640000000000036e+01,9.230480000000000018e+00,2.243870000000000076e+01,9.298959999999999226e+00,2.759219999999999828e+01,3.224609999999999843e+01
1.350000000000000000e+01,1.173659999999999926e+01,9.870839999999999392e+00,2.092490000000000094e+01,8.724220000000000752e+00,2.648560000000000159e+01,3.209980000000000189e+01
1.359999999999999964e+01,1.196969999999999956e+01,1.020500000000000007e+01,2.142680000000000007e+01,8.258029999999999760e+00,2.677240000000000109e+01,3.324009999999999820e+01
1.369999999999999929e+01,1.157809999999999917e+01,9.832800000000000651e+00,2.250410000000000110e+01,9.630689999999999529e+00,2.776950000000000074e+01,3.362980000000000302e+01
1.380000000000000071e+01,1.108559999999999945e+01,1.014390000000000036e+01,2.133310000000000173e+01,1.026539999999999964e+01,2.749589999999999890e+01,3.413259999999999650e+01
1.390000000000000036e+01,1.095229999999999926e+01,9.995189999999999131e+00,2.150609999999999999e+01,1.087969999999999970e+01,2.698329999999999984e+01,3.579299999999999926e+01
1.400000000000000000e+01,1.083230000000000004e+01,1.023109999999999964e+01,2.104139999999999944e+01,1.125830000000000020e+01,2.783630000000000138e+01,3.482970000000000255e+01
1.409999999999999964e+01,1.078899999999999970e+01,1.078570000000000029e+01,2.091209999999999880e+01,1.088719999999999999e+01,2.761240000000000094e+01,3.674020000000000152e+01
1.419999999999999929e+01,1.039739999999999931e+01,1.100569999999999915e+01,1.940549999999999997e+01,1.078560000000000052e+01,2.741900000000000048e+01,3.689609999999999701e+01
1.430000000000000071e+01,1.058210000000000051e+01,1.141249999999999964e+01,2.094269999999999854e+01,1.074039999999999928e+01,2.691819999999999879e+01,3.773279999999999745e+01
1.440000000000000036e+01,9.973200000000000287e+00,1.027539999999999942e+01,2.147579999999999956e+01,1.098140000000000072e+01,2.857440000000000069e+01,3.606430000000000291e+01
1.450000000000000000e+01,1.037449999999999939e+01,9.707319999999999283e+00,2.265530000000000044e+01,1.033099999999999952e+01,2.904690000000000083e+01,3.686520000000000152e+01
1.459999999999999964e+01,1.049789999999999957e+01,9.901300000000000878e+00,2.206370000000000076e+01,1.067730000000000068e+01,2.790429999999999922e+01,3.759749999999999659e+01
1.469999999999999929e+01,1.059730000000000061e+01,1.134750000000000014e+01,2.124449999999999861e+01,1.074230000000000018e+01,2.737399999999999878e+01,3.876370000000000005e+01
1.480000000000000071e+01,1.033150000000000013e+01,1.053090000000000082e+01,2.199439999999999884e+01,1.030940000000000012e+01,2.790409999999999968e+01,3.882609999999999673e+01
1.490000000000000036e+01,1.057649999999999935e+01,1.122049999999999947e+01,2.066069999999999851e+01,1.002299999999999969e+01,2.893680000000000163e+01,3.929229999999999734e+01
1.500000000000000000e+01,1.035609999999999964e+01,1.130439999999999934e+01,2.125199999999999889e+01,1.040380000000000038e+01,2.867539999999999978e+01,3.890229999999999677e+01
1.509999999999999964e+01,1.090540000000000020e+01,1.115850000000000009e+01,1.904429999999999978e+01,9.517699999999999605e+00,2.842989999999999995e+01,3.517090000000000316e+01
1.519999999999999929e+01,1.033009999999999984e+01,1.052480000000000082e+01,2.074070000000000036e+01,1.040249999999999986e+01,2.776679999999999993e+01,3.618209999999999837e+01
1.530000000000000071e+01,1.052159999999999940e+01,1.122519999999999918e+01,2.116789999999999949e+01,1.065220000000000056e+01,2.727309999999999945e+01,3.471629999999999683e+01
1.540000000000000036e+01,1.034549999999999947e+01,1.138189999999999991e+01,2.132049999999999912e+01,1.024060000000000059e+01,2.647769999999999868e+01,3.705440000000000111e+01
1.550000000000000000e+01,9.998250000000000526e+00,1.135219999999999985e+01,2.045959999999999823e+01,1.001580000000000048e+01,2.572109999999999985e+01,3.879899999999999949e+01
1.559999999999999964e+01,1.019270000000000032e+01,1.090210000000000079e+01,2.014099999999999824e+01,1.026050000000000040e+01,2.595799999999999841e+01,3.897399999999999665e+01
1.569999999999999929e+01,1.031000000000000050e+01,1.174649999999999928e+01,1.981909999999999883e+01,9.951610000000000511e+00,2.660760000000000147e+01,3.800569999999999737e+01
1.580000000000000071e+01,1.013470000000000049e+01,1.069589999999999996e+01,2.004629999999999868e+01,9.646729999999999805e+00,2.771189999999999998e+01,3.790670000000000073e+01
1.590000000000000036e+01,1.059009999999999962e+01,9.381349999999999412e+00,2.058840000000000003e+01,1.017759999999999998e+01,2.765129999999999910e+01,3.688960000000000150e+01
1.600000000000000000e+01,1.076120000000000054e+01,1.036389999999999922e+01,1.927149999999999963e+01,9.736330000000000595e+00,2.798639999999999972e+01,3.745589999999999975e+01
1.610000000000000142e+01,1.127490000000000059e+01,9.787449999999999761e+00,2.087300000000000111e+01,9.924020000000000508e+00,2.835500000000000043e+01,4.048340000000000316e+01
1.619999999999999929e+01,1.142539999999999978e+01,9.418139999999999290e+00,2.068209999999999837e+01,9.961650000000000560e+00,2.915469999999999828e+01,4.310079999999999956e+01
1.630000000000000071e+01,1.090799999999999947e+01,9.585100000000000620e+00,2.071450000000000102e+01,9.711510000000000531e+00,2.927619999999999933e+01,4.131860000000000355e+01
1.639999999999999858e+01,1.114750000000000085e+01,9.484209999999999141e+00,2.049350000000000094e+01,1.027699999999999925e+01,2.906050000000000111e+01,4.376530000000000342e+01
