case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,sigma_ratio_A,sigma_ratio_B,delta_pct
lhs00_110,thermal,OK,direct,19894,spsolve,spsolve,,,,,1.5537746695301808e-06,1.5537746695301808e-06,0.0
lhs00_111,ionic,SOLVE_NONE,none,1570,none,none,,,,,,,
lhs00_111,electronic,OK,direct,796,spsolve,spsolve,,,,,2.22339362909921e-07,2.22339362909921e-07,0.0
lhs00_111,thermal,OK,direct,2366,spsolve,spsolve,,,,,1.4564843489938667e-06,1.4564843489938667e-06,0.0
lhs00_112,ionic,SOLVE_NONE,none,26525,none,none,,,,,,,
lhs00_112,electronic,OK,direct,12434,spsolve,spsolve,,,,,1.689470155257572e-07,1.689470155257572e-07,0.0
lhs00_112,thermal,OK,iterative,38959,cg,cg,atol,1e-08,1e-09,0,1.4121453943611271e-06,1.4121453943611271e-06,0.0
lhs00_113,ionic,OK,iterative,42128,cg,cg,atol,1e-08,1e-09,0,2.122398701061353e-08,2.122398701061353e-08,0.0
lhs00_113,electronic,OK,direct,1555,spsolve,spsolve,,,,,1.7066165244469063e-07,1.7066165244469063e-07,0.0
lhs00_113,thermal,OK,iterative,43683,cg,cg,atol,1e-08,1e-09,0,1.6834525282159246e-06,1.6834525282159246e-06,0.0
lhs00_114,ionic,OK,direct,23578,spsolve,spsolve,,,,,1.3180431898607594e-07,1.3180431898607594e-07,0.0
lhs00_114,electronic,OK,direct,796,spsolve,spsolve,,,,,1.1479888160721158e-07,1.1479888160721158e-07,0.0
lhs00_114,thermal,OK,direct,24374,spsolve,spsolve,,,,,2.550642169420693e-06,2.550642169420693e-06,0.0
lhs00_115,ionic,OK,direct,7454,spsolve,spsolve,,,,,3.958202448143444e-08,3.958202448143444e-08,0.0
lhs00_115,electronic,OK,direct,30,spsolve,spsolve,,,,,2.1750987089955066e-07,2.1750987089955066e-07,0.0
lhs00_115,thermal,OK,direct,7484,spsolve,spsolve,,,,,2.3281982054052512e-06,2.3281982054052512e-06,0.0
lhs00_116,ionic,OK,direct,7460,spsolve,spsolve,,,,,8.15976090704524e-08,8.15976090704524e-08,0.0
lhs00_116,electronic,OK,direct,75,spsolve,spsolve,,,,,2.145465215872973e-07,2.145465215872973e-07,0.0
lhs00_116,thermal,OK,direct,7535,spsolve,spsolve,,,,,2.8104166244269097e-06,2.8104166244269097e-06,0.0
lhs00_117,ionic,OK,direct,26451,spsolve,spsolve,,,,,1.0258754100065275e-08,1.0258754100065275e-08,0.0
lhs00_117,electronic,OK,direct,100,spsolve,spsolve,,,,,2.878373756628159e-07,2.878373756628159e-07,0.0
lhs00_117,thermal,OK,direct,26551,spsolve,spsolve,,,,,2.1419259108081147e-06,2.1419259108081147e-06,0.0
lhs00_118,ionic,OK,direct,12788,spsolve,spsolve,,,,,2.2874719729611833e-07,2.2874719729611833e-07,0.0
lhs00_118,electronic,OK,direct,461,spsolve,spsolve,,,,,8.636316843872203e-08,8.636316843872203e-08,0.0
lhs00_118,thermal,OK,direct,13249,spsolve,spsolve,,,,,2.756996106646954e-06,2.756996106646954e-06,0.0
lhs00_119,ionic,OK,direct,5264,spsolve,spsolve,,,,,2.1336272107103207e-08,2.1336272107103207e-08,0.0
lhs00_119,electronic,OK,direct,75,spsolve,spsolve,,,,,2.4607559886382343e-07,2.4607559886382343e-07,0.0
lhs00_119,thermal,OK,direct,5339,spsolve,spsolve,,,,,2.1921760108181203e-06,2.1921760108181203e-06,0.0
lhs00_120,ionic,OK,iterative,42091,cg,cg,atol,1e-08,1e-09,0,4.004254987463518e-08,4.004254987463518e-08,0.0
lhs00_120,electronic,OK,direct,100,spsolve,spsolve,,,,,2.241629681832154e-07,2.241629681832154e-07,0.0
lhs00_120,thermal,OK,iterative,42191,cg,cg,atol,1e-08,1e-09,0,2.198085768053808e-06,2.198085768053808e-06,0.0
lhs00_121,ionic,OK,iterative,30314,cg,cg,atol,1e-08,1e-09,0,2.492654571440506e-07,2.492654571440506e-07,0.0
lhs00_121,electronic,OK,direct,195,spsolve,spsolve,,,,,9.210082186020308e-08,9.210082186020308e-08,0.0
lhs00_121,thermal,OK,iterative,30509,cg,cg,atol,1e-08,1e-09,0,2.704770931326921e-06,2.704770931326921e-06,0.0
lhs00_122,ionic,OK,direct,7858,spsolve,spsolve,,,,,4.584400658418801e-09,4.584400658418801e-09,0.0
lhs00_122,electronic,OK,direct,137,spsolve,spsolve,,,,,2.5794744256531507e-07,2.5794744256531507e-07,0.0
lhs00_122,thermal,OK,direct,7995,spsolve,spsolve,,,,,1.8222408804094464e-06,1.8222408804094464e-06,0.0
lhs00_123,ionic,OK,direct,12507,spsolve,spsolve,,,,,5.190114339504931e-10,5.190114339504931e-10,0.0
lhs00_123,electronic,OK,direct,137,spsolve,spsolve,,,,,2.8014199142382637e-07,2.8014199142382637e-07,0.0
lhs00_123,thermal,OK,direct,12644,spsolve,spsolve,,,,,1.6865922089712302e-06,1.6865922089712302e-06,0.0
lhs00_124,ionic,OK,direct,7859,spsolve,spsolve,,,,,2.927563268496181e-09,2.927563268496181e-09,0.0
lhs00_124,electronic,OK,direct,461,spsolve,spsolve,,,,,2.3019629880995893e-07,2.3019629880995893e-07,0.0
lhs00_124,thermal,OK,direct,8320,spsolve,spsolve,,,,,1.7394922027760038e-06,1.7394922027760038e-06,0.0
lhs00_125,ionic,OK,iterative,79577,cg,cg,atol,1e-08,1e-09,0,1.3375766073024382e-07,1.3375766073024382e-07,0.0
lhs00_125,electronic,OK,direct,290,spsolve,spsolve,,,,,1.1553968740124425e-07,1.1553968740124425e-07,0.0
lhs00_125,thermal,OK,iterative,79867,cg,cg,atol,1e-08,1e-09,0,2.2727229364137684e-06,2.2727229364137684e-06,0.0
lhs00_126,ionic,SOLVE_NONE,none,3722,none,none,,,,,,,
lhs00_126,electronic,OK,direct,795,spsolve,spsolve,,,,,2.1698165175995077e-07,2.1698165175995077e-07,0.0
lhs00_126,thermal,OK,direct,4517,spsolve,spsolve,,,,,1.3713658281745255e-06,1.3713658281745255e-06,0.0
lhs00_127,ionic,OK,direct,12479,spsolve,spsolve,,,,,2.016924395947091e-08,2.016924395947091e-08,0.0
lhs00_127,electronic,OK,direct,58,spsolve,spsolve,,,,,2.486383010657862e-07,2.486383010657862e-07,0.0
lhs00_127,thermal,OK,direct,12537,spsolve,spsolve,,,,,2.3877227110301234e-06,2.3877227110301234e-06,0.0
lhs00_128,ionic,SOLVE_NONE,none,1561,none,none,,,,,,,
lhs00_128,electronic,OK,direct,37,spsolve,spsolve,,,,,4.937544641189708e-07,4.937544641189708e-07,0.0
lhs00_128,thermal,OK,direct,1598,spsolve,spsolve,,,,,2.780529622324536e-06,2.780529622324536e-06,0.0
lhs00_129,ionic,OK,iterative,79539,cg,cg,atol,1e-08,1e-09,0,1.49309271017329e-07,1.49309271017329e-07,0.0
lhs00_129,electronic,OK,direct,46,spsolve,spsolve,,,,,1.5957752038450095e-07,1.5957752038450095e-07,0.0
lhs00_129,thermal,OK,iterative,79585,cg,cg,atol,1e-08,1e-09,0,2.4861604445653463e-06,2.4861604445653463e-06,0.0
