case,channel,status,rho_kind,n_nodes,path_A,path_B,kwarg,tol_A,tol_B,cg_info_A,rtol_A,rtol_B,atol_A,binding_A,sigma_ratio_A,sigma_ratio_B,delta_pct,delta_perm_pct,perm_status,perm_n_moved,perm_path,rho_registered_pct,rho_source
lhs00_095,thermal,OK,iterative,47264,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.8786327883584823e-06,2.8786327669692415e-06,7.43034711433108e-07,1.4465379809846504e-07,OK,47263,cg,7.43034711433108e-07,tighten
lhs00_096,ionic,OK,direct,7460,spsolve,spsolve,,,,,,,,,1.9194415038097758e-08,1.9194415038097758e-08,0.0,1.1675362668856084e-08,OK,7457,spsolve,1.1675362668856084e-08,permutation
lhs00_096,electronic,OK,iterative,49732,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,9.693334286055793e-08,9.693334224892822e-08,6.309796900212488e-07,1.2593735522606075e-07,OK,49730,cg,6.309796900212488e-07,tighten
lhs00_096,thermal,OK,iterative,57192,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.7787169913970777e-06,2.7787169641518195e-06,9.804977712568037e-07,2.0777061961035768e-07,OK,57192,cg,9.804977712568037e-07,tighten
lhs00_097,ionic,OK,direct,12482,spsolve,spsolve,,,,,,,,,2.5293065904582458e-08,2.5293065904582458e-08,0.0,8.163207792929273e-09,OK,12481,spsolve,8.163207792929273e-09,permutation
lhs00_097,electronic,OK,direct,602,spsolve,spsolve,,,,,,,,,7.143254283876609e-08,7.143254283876609e-08,0.0,6.636663540544069e-11,OK,602,spsolve,6.636663540544069e-11,permutation
lhs00_097,thermal,OK,direct,13084,spsolve,spsolve,,,,,,,,,2.492821861002461e-06,2.492821861002461e-06,0.0,4.408929566542871e-10,OK,13083,spsolve,4.408929566542871e-10,permutation
lhs00_099,ionic,OK,direct,7459,spsolve,spsolve,,,,,,,,,6.742468775417268e-08,6.742468775417268e-08,0.0,1.4462165244462176e-09,OK,7457,spsolve,1.4462165244462176e-09,permutation
lhs00_099,electronic,OK,direct,197,spsolve,spsolve,,,,,,,,,3.240114424466262e-08,3.240114424466262e-08,0.0,2.2874310340740565e-12,OK,194,spsolve,2.2874310340740565e-12,permutation
lhs00_099,thermal,OK,direct,7656,spsolve,spsolve,,,,,,,,,3.3142603344104506e-06,3.3142603344104506e-06,0.0,1.6044825409915842e-10,OK,7656,spsolve,1.6044825409915842e-10,permutation
lhs00_100,ionic,OK,iterative,30315,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.2207325455265538e-07,2.2207325398860852e-07,2.539913525423764e-07,6.492253910762468e-09,OK,30315,cg,2.539913525423764e-07,tighten
lhs00_100,electronic,OK,direct,796,spsolve,spsolve,,,,,,,,,7.942927856309311e-08,7.942927856309311e-08,0.0,8.064641627737325e-11,OK,796,spsolve,8.064641627737325e-11,permutation
lhs00_100,thermal,OK,iterative,31111,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,2.5793782834332183e-06,2.579378273494544e-06,3.853127817448469e-07,1.0695958037816411e-08,OK,31109,cg,3.853127817448469e-07,tighten
lhs00_101,ionic,OK,direct,17684,spsolve,spsolve,,,,,,,,,1.5235863742634192e-08,1.5235863742634192e-08,0.0,2.0410261513910436e-08,OK,17684,spsolve,2.0410261513910436e-08,permutation
lhs00_101,electronic,OK,direct,12434,spsolve,spsolve,,,,,,,,,1.2216177106006045e-07,1.2216177106006045e-07,0.0,1.4713742589317198e-09,OK,12433,spsolve,1.4713742589317198e-09,permutation
lhs00_101,thermal,OK,iterative,30118,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.7351420763277696e-06,1.735142062039298e-06,8.234756062472202e-07,1.7402172809884768e-09,OK,30117,cg,8.234756062472202e-07,tighten
lhs00_102,ionic,OK,iterative,42129,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.4675909771914913e-08,1.4675909738924398e-08,2.2479366540613774e-07,2.241805131619791e-08,OK,42128,cg,2.2479366540613774e-07,tighten
lhs00_102,electronic,OK,direct,3684,spsolve,spsolve,,,,,,,,,1.5981909123792324e-07,1.5981909123792324e-07,0.0,8.731665095780039e-10,OK,3684,spsolve,8.731665095780039e-10,permutation
lhs00_102,thermal,OK,iterative,45813,cg,cg,atol,1e-08,1e-09,0,1e-05,1.0000000000000002e-06,1e-08,rtol,1.6809614773983719e-06,1.6809614693392305e-06,4.79436409463592e-07,1.7081382737538581e-09,OK,45813,cg,4.79436409463592e-07,tighten
