# LHS 코호트 **실측** 이온 퍼콜레이션 — 설계 라벨의 운용 특성을 고정한다 (원장 LHS-01)
# 생산 솔버 legacy 팔(기본값) · 2026-09-15 · ⚠ S3 결과가 아니다 (ρ 런의 부산물)
# rho_s3_trial_20260915.csv  sha256 ae180b770f45b638226384a0636d64b45079d8e49943ec55c3ec8bb955a67c98
# lhs_design_20260818.csv    sha256 cb35ba5a5c8e2842d6042b7e97f82e146d44b509079fa3fa6665a894ca6ad99f
# finite_size_flag_geom_only = 설계 CSV 의 finite_size_flag 에서 se_* 조각을 뺀 것
case_id,block,am_pct,phi_se_est,se_percolation_est_meanfield,thick_over_d_am_max,rve_over_d_am_max,d_am_max_um,finite_size_flag_geom_only,ionic_status,ionic_percolates,ionic_path,ionic_n_nodes,ionic_sigma_ratio,electronic_status,thermal_status
lhs00_023,bimodal,95.0000,0.0916,BELOW_phic,2.8706,5.0000,10.0000,thin,SOLVE_NONE,False,none,12559,,OK,OK
lhs00_024,bimodal,75.0000,0.3631,OK,3.2769,3.5714,14.0000,,OK,True,spsolve,23570,1.4846668422392464e-07,OK,OK
lhs00_025,bimodal,70.0000,0.4143,OK,8.6170,8.3333,6.0000,,OK,True,cg,30314,2.2373745820216125e-07,OK,OK
lhs00_026,bimodal,95.0000,0.0916,BELOW_phic,2.6097,4.5455,11.0000,thin+n_am_p_low,SOLVE_NONE,False,none,12564,,OK,OK
lhs00_027,bimodal,70.0000,0.4143,OK,5.7447,5.5556,9.0000,,OK,True,spsolve,12788,9.905669911461952e-08,OK,OK
lhs00_028,bimodal,75.0000,0.3631,OK,9.1753,10.0000,5.0000,,OK,True,spsolve,23578,5.2144249166468275e-08,OK,OK
lhs00_029,bimodal,80.0000,0.3064,OK,4.5310,5.5556,9.0000,n_am_p_low,OK,True,spsolve,17683,6.714260650463702e-09,OK,OK
lhs00_030,bimodal,90.0000,0.1720,BELOW_phic,2.4834,3.8462,13.0000,thin+n_am_p_CRIT,SOLVE_NONE,False,none,3315,,OK,OK
lhs00_031,bimodal,70.0000,0.4143,OK,3.9771,3.8462,13.0000,n_am_p_low,OK,True,cg,30314,2.3779953436759144e-07,OK,OK
lhs00_032,bimodal,85.0000,0.2431,OK,2.5915,3.5714,14.0000,thin+n_am_p_low,OK,True,cg,42125,3.265788985233958e-08,OK,OK
lhs00_033,bimodal,70.0000,0.4143,OK,10.3404,10.0000,5.0000,,OK,True,cg,30315,2.3194002032203646e-07,OK,OK
lhs00_035,bimodal,75.0000,0.3631,OK,5.0974,5.5556,9.0000,,OK,True,spsolve,23577,1.2628661872623902e-07,OK,OK
lhs00_036,bimodal,80.0000,0.3064,OK,8.1558,10.0000,5.0000,,OK,True,spsolve,17683,4.216080919028063e-08,OK,OK
lhs00_037,bimodal,95.0000,0.0916,BELOW_phic,2.3922,4.1667,12.0000,thin+n_am_p_low,SOLVE_NONE,False,none,1570,,OK,OK
lhs00_038,bimodal,80.0000,0.3064,OK,3.3983,4.1667,12.0000,n_am_p_low,OK,True,spsolve,7459,6.038440469240754e-08,OK,OK
lhs00_039,bimodal,80.0000,0.3064,OK,4.0779,5.0000,10.0000,,OK,True,cg,59676,7.874691195607657e-08,OK,OK
lhs00_040,bimodal,90.0000,0.1720,BELOW_phic,4.0354,6.2500,8.0000,n_am_p_low,OK,True,spsolve,26523,6.5078306688328e-09,OK,OK
lhs00_041,bimodal,95.0000,0.0916,BELOW_phic,2.2082,3.8462,13.0000,thin+n_am_p_low,SOLVE_NONE,False,none,1570,,OK,OK
lhs00_042,bimodal,75.0000,0.3631,OK,4.1706,4.5455,11.0000,,OK,True,cg,79572,1.3559623732766276e-07,OK,OK
lhs00_043,bimodal,70.0000,0.4143,OK,7.3860,7.1429,7.0000,,OK,True,spsolve,12789,2.2089751306060661e-07,OK,OK
lhs00_044,bimodal,85.0000,0.2431,OK,7.2563,10.0000,5.0000,,OK,True,cg,42128,2.3003891040828153e-08,OK,OK
lhs00_045,bimodal,85.0000,0.2431,OK,3.2983,4.5455,11.0000,,OK,True,spsolve,5265,1.67082223446388e-08,OK,OK
lhs00_046,bimodal,90.0000,0.1720,BELOW_phic,2.6903,4.1667,12.0000,thin+n_am_p_low,OK,True,spsolve,26525,2.3265590798429046e-10,OK,OK
lhs00_047,bimodal,90.0000,0.1720,BELOW_phic,2.3060,3.5714,14.0000,thin+n_am_p_low,OK,True,spsolve,7859,2.4444663394640496e-09,OK,OK
lhs00_048,bimodal,80.0000,0.3064,OK,2.7186,3.3333,15.0000,thin+n_am_p_CRIT,OK,True,cg,59683,7.0751492472072e-08,OK,OK
lhs00_049,bimodal,85.0000,0.2431,OK,3.6282,5.0000,10.0000,,OK,True,spsolve,12479,2.1842156662865308e-08,OK,OK
lhs00_050,bimodal,80.0000,0.3064,OK,6.7965,8.3333,6.0000,,OK,True,spsolve,17683,5.6003529386574033e-08,OK,OK
lhs00_051,bimodal,75.0000,0.3631,OK,4.5877,5.0000,10.0000,,OK,True,spsolve,23578,1.6724123146802228e-07,OK,OK
lhs00_052,bimodal,85.0000,0.2431,OK,5.1831,7.1429,7.0000,,OK,True,cg,42125,3.2509557696513504e-08,OK,OK
lhs00_053,bimodal,90.0000,0.1720,BELOW_phic,2.9349,4.5455,11.0000,thin+n_am_p_low,SOLVE_NONE,False,none,3315,,OK,OK
lhs00_054,bimodal,70.0000,0.4143,OK,5.7447,5.5556,9.0000,,OK,True,spsolve,12788,2.0721102940241957e-07,OK,OK
lhs00_055,bimodal,90.0000,0.1720,BELOW_phic,2.6903,4.1667,12.0000,thin,OK,True,spsolve,3313,3.7049990297233494e-09,OK,OK
lhs00_056,bimodal,75.0000,0.3631,OK,7.6461,8.3333,6.0000,,OK,True,spsolve,9947,7.862002289920671e-08,OK,OK
lhs00_057,bimodal,70.0000,0.4143,OK,3.6930,3.5714,14.0000,n_am_p_low,OK,True,cg,30314,2.5991091253168573e-07,OK,OK
lhs00_058,bimodal,85.0000,0.2431,OK,3.0235,4.1667,12.0000,n_am_p_CRIT,OK,True,spsolve,5265,6.446750593744347e-10,OK,OK
lhs00_059,bimodal,90.0000,0.1720,BELOW_phic,3.5871,5.5556,9.0000,n_am_p_low,OK,True,spsolve,26525,5.863335814367822e-09,OK,OK
lhs00_060,bimodal,85.0000,0.2431,OK,6.0469,8.3333,6.0000,,OK,True,spsolve,5265,5.673875142565483e-09,OK,OK
lhs00_061,bimodal,75.0000,0.3631,OK,7.6461,8.3333,6.0000,,OK,True,cg,79577,1.2304331738619619e-07,OK,OK
lhs00_062,bimodal,95.0000,0.0916,BELOW_phic,4.7844,8.3333,6.0000,,SOLVE_NONE,False,none,12563,,OK,OK
lhs00_063,bimodal,90.0000,0.1720,BELOW_phic,4.0354,6.2500,8.0000,,OK,True,spsolve,7858,5.769761522999492e-09,OK,OK
lhs00_064,bimodal,70.0000,0.4143,OK,5.7447,5.5556,9.0000,,OK,True,cg,30315,2.3736740508455482e-07,OK,OK
lhs00_065,bimodal,90.0000,0.1720,BELOW_phic,5.3806,8.3333,6.0000,,OK,True,spsolve,26524,4.779973732420899e-09,OK,OK
lhs00_066,bimodal,80.0000,0.3064,OK,5.0974,6.2500,8.0000,,OK,True,cg,59680,8.008722196311367e-08,OK,OK
lhs00_067,bimodal,80.0000,0.3064,OK,3.1369,3.8462,13.0000,n_am_p_low,OK,True,spsolve,17683,5.421553066510522e-08,OK,OK
lhs00_068,bimodal,70.0000,0.4143,OK,7.3860,7.1429,7.0000,,OK,True,spsolve,12788,2.201741166082783e-07,OK,OK
lhs00_069,bimodal,75.0000,0.3631,OK,7.6461,8.3333,6.0000,,OK,True,spsolve,23578,1.316746835223524e-07,OK,OK
lhs00_070,bimodal,80.0000,0.3064,OK,4.5310,5.5556,9.0000,,OK,True,spsolve,17683,3.1793056706426335e-08,OK,OK
lhs00_071,bimodal,80.0000,0.3064,OK,3.1369,3.8462,13.0000,,OK,True,cg,59674,8.417874836144932e-08,OK,OK
lhs00_072,bimodal,85.0000,0.2431,OK,3.6282,5.0000,10.0000,,OK,True,spsolve,12482,2.2670653793047915e-08,OK,OK
lhs00_073,bimodal,75.0000,0.3631,OK,9.1753,10.0000,5.0000,,OK,True,spsolve,23578,1.2580820369087361e-07,OK,OK
lhs00_074,bimodal,95.0000,0.0916,BELOW_phic,2.0505,3.5714,14.0000,thin+n_am_p_low,SOLVE_NONE,False,none,12564,,OK,OK
lhs00_075,bimodal,95.0000,0.0916,BELOW_phic,1.9138,3.3333,15.0000,thin+n_am_p_CRIT,SOLVE_NONE,False,none,3722,,OK,OK
lhs00_076,bimodal,75.0000,0.3631,OK,5.7346,6.2500,8.0000,,OK,True,spsolve,23578,1.0564096650276184e-07,OK,OK
lhs00_077,bimodal,90.0000,0.1720,BELOW_phic,2.6903,4.1667,12.0000,thin+n_am_p_low,OK,True,spsolve,7858,4.437286152955415e-09,OK,OK
lhs00_078,bimodal,75.0000,0.3631,OK,3.0584,3.3333,15.0000,n_am_p_low,OK,True,spsolve,9947,1.1493666352397699e-07,OK,OK
lhs00_079,bimodal,95.0000,0.0916,BELOW_phic,4.1009,7.1429,7.0000,n_am_p_low,SOLVE_NONE,False,none,3722,,OK,OK
lhs00_080,bimodal,90.0000,0.1720,BELOW_phic,4.6119,7.1429,7.0000,,OK,True,spsolve,26525,1.1131606130369567e-10,OK,OK
lhs00_081,bimodal,70.0000,0.4143,OK,5.7447,5.5556,9.0000,n_am_p_low,OK,True,cg,30314,1.8695644417029718e-07,OK,OK
lhs00_082,bimodal,95.0000,0.0916,BELOW_phic,4.1009,7.1429,7.0000,,SOLVE_NONE,False,none,12561,,OK,OK
lhs00_083,bimodal,95.0000,0.0916,BELOW_phic,2.0505,3.5714,14.0000,thin+n_am_p_CRIT,SOLVE_NONE,False,none,12564,,OK,OK
lhs00_084,bimodal,80.0000,0.3064,OK,4.5310,5.5556,9.0000,n_am_p_low,OK,True,cg,59682,3.2304892460634525e-08,OK,OK
lhs00_085,bimodal,75.0000,0.3631,OK,4.5877,5.0000,10.0000,n_am_p_CRIT,OK,True,spsolve,23578,5.666398535435666e-08,OK,OK
lhs00_086,bimodal,85.0000,0.2431,OK,2.4188,3.3333,15.0000,thin+n_am_p_CRIT,OK,True,spsolve,5266,2.2970048610642178e-10,OK,OK
lhs00_087,bimodal,95.0000,0.0916,BELOW_phic,2.2082,3.8462,13.0000,thin+n_am_p_low,SOLVE_NONE,False,none,3721,,OK,OK
lhs00_088,bimodal,70.0000,0.4143,OK,4.3085,4.1667,12.0000,,OK,True,cg,30314,1.7797193377130447e-07,OK,OK
lhs00_090,bimodal,75.0000,0.3631,OK,3.8231,4.1667,12.0000,,OK,True,spsolve,9946,1.6448975193334868e-07,OK,OK
lhs00_091,bimodal,90.0000,0.1720,BELOW_phic,2.4834,3.8462,13.0000,thin+n_am_p_CRIT,OK,True,spsolve,3315,1.2937118563076255e-09,OK,OK
lhs00_092,bimodal,85.0000,0.2431,OK,2.4188,3.3333,15.0000,thin+n_am_p_CRIT,OK,True,spsolve,5265,9.576225710599163e-10,OK,OK
lhs00_093,bimodal,95.0000,0.0916,BELOW_phic,4.1009,7.1429,7.0000,,SOLVE_NONE,False,none,1570,,OK,OK
lhs00_094,bimodal,85.0000,0.2431,OK,7.2563,10.0000,5.0000,,OK,True,cg,42128,9.72877311116752e-09,OK,OK
lhs00_095,bimodal,80.0000,0.3064,OK,4.5310,5.5556,9.0000,,OK,True,spsolve,7460,2.2549905666015428e-08,OK,OK
lhs00_096,bimodal,80.0000,0.3064,OK,4.0779,5.0000,10.0000,,OK,True,spsolve,7460,1.9194415038097758e-08,OK,OK
lhs00_097,bimodal,85.0000,0.2431,OK,4.5352,6.2500,8.0000,,OK,True,spsolve,12482,2.5293065904582458e-08,OK,OK
lhs00_099,bimodal,80.0000,0.3064,OK,3.1369,3.8462,13.0000,,OK,True,spsolve,7459,6.742468775417268e-08,OK,OK
lhs00_100,mono_AM_S,70.0000,0.4143,OK,10.3404,10.0000,5.0000,,OK,True,cg,30315,2.2207325455265538e-07,OK,OK
lhs00_101,mono_AM_S,80.0000,0.3064,OK,20.3896,25.0000,2.0000,,OK,True,spsolve,17684,1.5235863742634192e-08,OK,OK
lhs00_102,mono_AM_S,85.0000,0.2431,OK,12.0938,16.6667,3.0000,,OK,True,cg,42129,1.4675909771914913e-08,OK,OK
lhs00_103,mono_AM_S,75.0000,0.3631,OK,11.4692,12.5000,4.0000,,OK,True,cg,79576,1.1839321588006606e-07,OK,OK
lhs00_104,mono_AM_S,85.0000,0.2431,OK,18.1408,25.0000,2.0000,,OK,True,cg,42129,4.9466289409898446e-09,OK,OK
lhs00_105,mono_AM_S,90.0000,0.1720,BELOW_phic,8.0709,12.5000,4.0000,,SOLVE_NONE,False,none,3315,,OK,OK
lhs00_106,mono_AM_S,70.0000,0.4143,OK,17.2341,16.6667,3.0000,,OK,True,cg,30315,1.575927557271918e-07,OK,OK
lhs00_107,mono_AM_S,95.0000,0.0916,BELOW_phic,14.3532,25.0000,2.0000,,SOLVE_NONE,False,none,3722,,OK,OK
lhs00_108,mono_AM_S,90.0000,0.1720,BELOW_phic,10.7612,16.6667,3.0000,,SOLVE_NONE,False,none,3315,,OK,OK
lhs00_109,mono_AM_S,70.0000,0.4143,OK,17.2341,16.6667,3.0000,,OK,True,spsolve,12789,1.195937374478618e-07,OK,OK
lhs00_110,mono_AM_S,80.0000,0.3064,OK,20.3896,25.0000,2.0000,,OK,True,spsolve,7460,8.336567273811334e-09,OK,OK
lhs00_111,mono_AM_S,95.0000,0.0916,BELOW_phic,5.7413,10.0000,5.0000,,SOLVE_NONE,False,none,1570,,OK,OK
lhs00_112,mono_AM_S,90.0000,0.1720,BELOW_phic,16.1418,25.0000,2.0000,,SOLVE_NONE,False,none,26525,,OK,OK
lhs00_113,mono_AM_S,85.0000,0.2431,OK,9.0704,12.5000,4.0000,,OK,True,cg,42128,2.122398701061353e-08,OK,OK
lhs00_114,mono_AM_S,75.0000,0.3631,OK,9.1753,10.0000,5.0000,,OK,True,spsolve,23578,1.3180431898607594e-07,OK,OK
lhs00_115,mono_AM_P,80.0000,0.3064,OK,2.7186,3.3333,15.0000,thin+n_am_p_low,OK,True,spsolve,7454,3.958202448143444e-08,OK,OK
lhs00_116,mono_AM_P,80.0000,0.3064,OK,3.7072,4.5455,11.0000,,OK,True,spsolve,7460,8.15976090704524e-08,OK,OK
lhs00_117,mono_AM_P,90.0000,0.1720,BELOW_phic,3.2284,5.0000,10.0000,,OK,True,spsolve,26451,1.0258754100065275e-08,OK,OK
lhs00_118,mono_AM_P,70.0000,0.4143,OK,8.6170,8.3333,6.0000,,OK,True,spsolve,12788,2.2874719729611833e-07,OK,OK
lhs00_119,mono_AM_P,85.0000,0.2431,OK,3.2983,4.5455,11.0000,,OK,True,spsolve,5264,2.1336272107103207e-08,OK,OK
lhs00_120,mono_AM_P,85.0000,0.2431,OK,3.6282,5.0000,10.0000,,OK,True,cg,42091,4.004254987463518e-08,OK,OK
lhs00_121,mono_AM_P,70.0000,0.4143,OK,6.4628,6.2500,8.0000,,OK,True,cg,30314,2.492654571440506e-07,OK,OK
lhs00_122,mono_AM_P,90.0000,0.1720,BELOW_phic,3.5871,5.5556,9.0000,,OK,True,spsolve,7858,4.584400658418801e-09,OK,OK
lhs00_123,mono_AM_P,95.0000,0.0916,BELOW_phic,3.1896,5.5556,9.0000,,OK,True,spsolve,12507,5.190114339504931e-10,OK,OK
lhs00_124,mono_AM_P,90.0000,0.1720,BELOW_phic,5.3806,8.3333,6.0000,,OK,True,spsolve,7859,2.927563268496181e-09,OK,OK
lhs00_125,mono_AM_P,75.0000,0.3631,OK,6.5538,7.1429,7.0000,,OK,True,cg,79577,1.3375766073024382e-07,OK,OK
lhs00_126,mono_AM_P,95.0000,0.0916,BELOW_phic,5.7413,10.0000,5.0000,,SOLVE_NONE,False,none,3722,,OK,OK
lhs00_127,mono_AM_P,85.0000,0.2431,OK,3.0235,4.1667,12.0000,,OK,True,spsolve,12479,2.016924395947091e-08,OK,OK
lhs00_128,mono_AM_P,95.0000,0.0916,BELOW_phic,2.0505,3.5714,14.0000,thin,SOLVE_NONE,False,none,1561,,OK,OK
lhs00_129,mono_AM_P,75.0000,0.3631,OK,3.5290,3.8462,13.0000,,OK,True,cg,79539,1.49309271017329e-07,OK,OK
