id,stratum,ntype,kind,pdd_SE,w_AM_P,w_AM_S,rP_um,rS_um,rSE_um,rSE_lo_um,rSE_truncated,volfrac,phi_AM,n_AM_est,n_SE_est,n_total_est,lhs_cell,seed
lhsx_038,4,3,bimodal,0.529002,0.381129,0.089869,4.11,1.3123,0.6022,0.5,0,0.242219,0.270595,502,64493,64995,"4,3,2,1",21661
lhsx_039,4,3,bimodal,0.520977,0.256268,0.222755,6.1282,1.7042,0.6507,0.5,0,0.279201,0.276993,594,58417,59011,"3,5,5,2",22367
lhsx_040,4,3,bimodal,0.512666,0.11734,0.369994,5.2001,0.9091,0.5075,0.5,0,0.249227,0.283708,5706,108904,114610,"2,4,4,0",29851
lhsx_041,5,3,bimodal,0.593976,0.34705,0.058974,3.1692,2.4585,0.605,0.5,0,0.292903,0.221681,190,82068,82257,"7,6,1,1",29437
lhsx_042,5,3,bimodal,0.576406,0.321251,0.102343,4.5466,1.1452,0.8532,0.5,0,0.301467,0.234423,952,29631,30584,"4,7,3,5",29527
lhsx_043,5,3,bimodal,0.559336,0.241308,0.199356,6.0937,1.246,0.8941,0.5,0,0.268539,0.247138,1250,22555,23805,"1,5,5,6",29399
lhsx_044,5,3,bimodal,0.585463,0.088182,0.326355,6.6201,1.5505,0.6673,0.5,0,0.210115,0.227812,809,43536,44345,"5,1,6,2",22171
lhsx_045,5,3,bimodal,0.551869,0.140962,0.307169,7.4287,2.0612,0.5178,0.5,0,0.178486,0.252808,284,76577,76861,"0,0,7,0",21893
lhsx_046,5,3,bimodal,0.562953,0.176567,0.26048,4.3005,0.6756,0.7068,0.5,0,0.251102,0.244415,9484,42851,52335,"2,4,2,3",27017
lhsx_047,5,2,mono_AM_S,0.590983,0.409017,0.0,1.8989,,0.8113,0.5,0,0.246292,0.223827,642,28545,29187,"6,3,4,4",23039
lhsx_048,5,2,mono_AM_P,0.571161,0.428839,0.0,2.7189,,0.9748,0.5,0,0.21478,0.238293,203,14082,14285,"3,2,0,7",21317
lhsx_049,6,3,bimodal,0.610436,0.321726,0.067838,6.2463,1.4208,0.5225,0.5,0,0.204455,0.210052,220,90305,90525,"1,1,5,0",27239
lhsx_050,6,3,bimodal,0.632514,0.198526,0.168961,2.8372,1.7351,0.6541,0.5,0,0.187886,0.194899,326,43102,43428,"5,0,0,2",22147
lhsx_051,6,3,bimodal,0.642262,0.251127,0.106611,5.5048,2.2136,0.8226,0.5,0,0.305472,0.188366,145,35520,35666,"6,7,4,5",26119
lhsx_052,6,2,mono_AM_S,0.600307,0.399693,0.0,1.5818,,0.8922,0.5,0,0.237037,0.217174,1037,20835,21872,"0,3,3,6",20639
lhsx_053,6,3,bimodal,0.62696,0.180851,0.192189,4.3158,2.0707,0.733,0.5,0,0.215737,0.198664,219,35008,35227,"4,2,2,3",29803
lhsx_054,6,2,mono_AM_P,0.649681,0.350319,0.0,7.3547,,0.7928,0.5,0,0.280501,0.183456,10,36647,36657,"7,5,7,4",28181
lhsx_055,6,3,bimodal,0.619421,0.086188,0.294391,3.6308,0.8997,0.9545,0.5,0,0.297166,0.203825,5152,21697,26849,"3,6,1,7",24281
lhsx_056,6,3,bimodal,0.612637,0.105125,0.282238,6.3105,0.6108,0.6198,0.5,0,0.249036,0.208519,13246,66021,79267,"2,4,6,1",26813
lhsx_057,7,3,bimodal,0.684877,0.160813,0.15431,5.7659,1.0889,0.556,0.5,0,0.229461,0.160873,1124,89314,90439,"5,3,5,0",20269
lhsx_058,7,3,bimodal,0.650432,0.078511,0.271057,2.8892,0.5831,0.5631,0.5,0,0.215522,0.182962,12329,78645,90974,"0,2,0,1",23663
lhsx_059,7,3,bimodal,0.665336,0.122409,0.212254,4.8068,1.1842,0.6715,0.5,0,0.251117,0.173269,1336,54661,55998,"2,4,3,2",23993
lhsx_060,7,2,mono_AM_S,0.699412,0.300588,0.0,2.408,,0.8675,0.5,0,0.267416,0.151875,232,27700,27932,"7,5,7,5",26339
lhsx_061,7,3,bimodal,0.692349,0.133658,0.173992,6.8124,1.8253,0.8841,0.5,0,0.308443,0.156224,363,30033,30396,"6,7,6,6",21839
lhsx_062,7,2,mono_AM_P,0.678268,0.321732,0.0,3.8022,,0.7209,0.5,0,0.183934,0.165027,44,32689,32733,"4,0,2,3",23227
lhsx_063,7,3,bimodal,0.669243,0.22938,0.101376,5.4163,2.0469,0.985,0.5,0,0.287051,0.170763,157,19861,20018,"3,6,4,7",23251
lhsx_064,7,3,bimodal,0.661533,0.298503,0.039964,3.697,2.3409,0.7713,0.5,0,0.195119,0.175722,73,27952,28025,"1,1,1,4",22501
