name,r_AM_P,r_AM_S,r_SE,ratio_P,ratio_S,phi_am,phi_se,AM_wt,PS,mAh,thickness_um,P_MPa,dem_porosity,e_se_gpa
260601_122943_db554b,6.0,2.0,0.5,12.0,4.0,0.6568049578676244,0.13958141978680277,91.9,7:3,,,300,20.361,1.35
260601_123022_9b65c0,6.0,0,0.5,12.0,0.0,0.5841866176638667,0.12263524048476204,92.0,10:0,,,300,29.318,1.35
260602_101606_6349f5,0,2.0,0.5,0.0,4.0,0.5406974293728528,0.2919357650773922,81.6,0:10,,,300,16.737,1.35
260602_101621_02b353,6.0,2.0,0.5,12.0,4.0,0.5663280644694398,0.3045674059948309,81.7,3:7,,,300,12.91,1.35
260602_101637_25371a,6.0,2.0,0.5,12.0,4.0,0.567092593759524,0.3028084170998894,81.8,5:5,,,300,13.01,1.35
260602_101653_9c31f7,6.0,2.0,0.5,12.0,4.0,0.562472779083006,0.30285668351316564,81.7,7:3,,,300,13.467,1.35
260602_101710_25de00,6.0,0,0.5,12.0,0.0,0.5352599546746312,0.287267397058151,81.7,10:0,,,300,17.747,1.35
260602_133418_532f61,6.0,2.0,0.5,12.0,4.0,0.5997766930028835,0.21843597618568472,86.8,3:7,,,300,18.179,1.35
260602_133434_1fed3c,6.0,2.0,0.5,12.0,4.0,0.6130282936886152,0.22501002605721615,86.7,5:5,,,300,16.196,1.35
260602_133451_efb737,6.0,2.0,0.5,12.0,4.0,0.6225309463300923,0.22733029848252098,86.8,7:3,,,300,15.014,1.35
260603_161607_0b27be,5.0,0,0.5,10.0,0.0,0.5362608060121228,0.22767123666333475,85.0,10:0,,,300,23.607,1.35
260603_161707_293884,5.0,0,0.5,10.0,0.0,0.5483106708873386,0.2328453761755634,85.0,10:0,,,300,21.884,1.35
260603_233847_6f7d33,6.0,2.0,0.5,12.0,4.0,0.6695842431428465,0.13951926042324017,92.0,7:3,,,300,19.09,1.35
260604_145526_5c8d13,6.0,0,0.5,12.0,0.0,0.6002587634971127,0.12714875923625465,91.9,10:0,,,300,27.259,1.35
260605_092556_89e61a,6.0,2.0,0.5,12.0,4.0,0.5523753883234257,0.29752275775575415,81.7,7:3,,,300,15.01,2.0
260605_182014_ba3b42,6.0,2.0,0.5,12.0,4.0,0.5677638964580555,0.30587034825420945,81.7,7:3,,,300,12.637,1.5
260606_214802_125f92,6.0,2.0,0.5,12.0,4.0,0.5641984862992018,0.30388151146392295,81.7,7:3,,,300,13.192,1.5
260606_223337_45310e,6.0,2.0,0.5,12.0,4.0,0.5688528268239182,0.3064756978728065,81.7,7:3,,,300,12.467,1.5
260608_135447_956e5c,0,2.0,0.5,0.0,4.0,0.4981346176616147,0.36652321370998875,76.5,0:10,,,300,13.534,1.35
260608_135711_b4a5e8,6.0,2.0,0.5,12.0,4.0,0.5117903718740097,0.3760912500805676,76.6,3:7,,,300,11.212,1.35
260608_140120_6a233d,6.0,2.0,0.5,12.0,4.0,0.5176790631521277,0.37753025557714315,76.7,5:5,,,300,10.479,1.35
260608_140810_ce2762,6.0,2.0,0.5,12.0,4.0,0.5605071719662041,0.40614875156137714,76.8,7:3,,,300,3.334,1.35
260608_141422_d19131,6.0,0,0.5,12.0,0.0,0.5167559237188465,0.3809314500578823,76.5,10:0,,,300,10.231,1.35
