time_s_exact,electrode,sample_index,coordinate_m,x_old2,x_control16,x_A16,x_control_minus_old,x_A_minus_control,x_A_minus_old,signed_identity_residual_x,x_old2_raw,x_control16_raw,x_A16_raw
0.002,N,14,0.000003033333333333333,0.011754671665067747,0.011754671665067749,0.011754671665067749,2E-18,0E-18,2E-18,0E-18,0.011754671665067747,0.011754671665067749,0.011754671665067749
0.002,N,15,0.0000032499999999999994,0.011754672246373839,0.01175467224637384,0.01175467224637384,1E-18,0E-17,1E-18,0E-18,0.011754672246373839,0.01175467224637384,0.01175467224637384
0.002,N,16,0.0000034666666666666664,0.011754672829007485,0.011754672829007485,0.011754672829007485,0E-18,0E-18,0E-18,0E-18,0.011754672829007485,0.011754672829007485,0.011754672829007485
0.002,N,17,0.000003683333333333333,0.011754673501409702,0.011754673501409702,0.011754673501409702,0E-18,0E-18,0E-18,0E-18,0.011754673501409702,0.011754673501409702,0.011754673501409702
0.002,N,18,0.0000039,0.01175467417532927,0.01175467417532927,0.01175467417532927,0E-17,0E-17,0E-17,0E-17,0.01175467417532927,0.01175467417532927,0.01175467417532927
0.002,N,19,0.0000041166666666666665,0.01175467493883767,0.01175467493883767,0.01175467493883767,0E-17,0E-17,0E-17,0E-17,0.01175467493883767,0.01175467493883767,0.01175467493883767
0.002,N,20,0.000004333333333333333,0.011754675704053275,0.011754675704053277,0.011754675704053275,2E-18,-2E-18,0E-18,0E-18,0.011754675704053275,0.011754675704053277,0.011754675704053275
0.002,N,21,0.00000455,0.011754676558679282,0.011754676558679284,0.011754676558679282,2E-18,-2E-18,0E-18,0E-18,0.011754676558679282,0.011754676558679284,0.011754676558679282
0.002,N,22,0.000004766666666666666,0.011754677415202424,0.011754677415202424,0.011754677415202424,0E-18,0E-18,0E-18,0E-18,0.011754677415202424,0.011754677415202424,0.011754677415202424
0.002,N,23,0.000004983333333333334,0.01175467836095882,0.011754678360958823,0.011754678360958823,3E-18,0E-18,3E-18,0E-18,0.01175467836095882,0.011754678360958823,0.011754678360958823
0.002,N,24,0.0000052,0.01175467930880236,0.011754679308802361,0.011754679308802361,1E-18,0E-18,1E-18,0E-18,0.01175467930880236,0.011754679308802361,0.011754679308802361
0.002,N,25,0.000005416666666666667,0.01175468034570329,0.01175468034570329,0.01175468034570329,0E-17,0E-17,0E-17,0E-17,0.01175468034570329,0.01175468034570329,0.01175468034570329
0.002,N,26,0.000005633333333333333,0.011754681384881458,0.01175468138488146,0.01175468138488146,2E-18,0E-17,2E-18,0E-18,0.011754681384881458,0.01175468138488146,0.01175468138488146
0.002,N,27,0.000005849999999999999,0.011754682512942443,0.011754682512942443,0.011754682512942443,0E-18,0E-18,0E-18,0E-18,0.011754682512942443,0.011754682512942443,0.011754682512942443
0.002,N,28,0.000006066666666666666,0.011754683643470855,0.011754683643470855,0.011754683643470855,0E-18,0E-18,0E-18,0E-18,0.011754683643470855,0.011754683643470855,0.011754683643470855
0.002,N,29,0.000006283333333333333,0.011754684862708772,0.011754684862708772,0.011754684862708772,0E-18,0E-18,0E-18,0E-18,0.011754684862708772,0.011754684862708772,0.011754684862708772
0.002,N,30,0.0000065,0.011754686084604414,0.011754686084604414,0.011754686084604414,0E-18,0E-18,0E-18,0E-18,0.011754686084604414,0.011754686084604414,0.011754686084604414
0.002,N,31,0.000006716666666666666,0.0117546873950375,0.011754687395037499,0.011754687395037499,-1E-18,0E-18,-1E-18,0E-18,0.0117546873950375,0.011754687395037499,0.011754687395037499
0.002,N,32,0.000006933333333333333,0.011754688708318719,0.011754688708318717,0.011754688708318717,-2E-18,0E-18,-2E-18,0E-18,0.011754688708318719,0.011754688708318717,0.011754688708318717
