time_s_exact,electrode,sample_index,coordinate_first_m,coordinate_second_m,x_surface_first,x_surface_second,x_surface_difference_second_minus_first,x_particle_average_first,x_particle_average_second,x_particle_average_difference_second_minus_first,Eeq_V_first,Eeq_V_second,Eeq_V_difference_second_minus_first,etaMid_V_first,etaMid_V_second,etaMid_V_difference_second_minus_first,phil_V_first,phil_V_second,phil_V_difference_second_minus_first
0.22,P,25,0.00008158333333333333,0.00008158333333333333,0.923962633940608,0.92396264204426,8.103652E-9,0.9240599469062539,0.924059946906246,-7.9E-15,3.578441104943906,3.5784411005956227,-4.3482833E-9,0.005382129216010778,0.005382129092732502,-1.23278276E-10,-1.3317641772111752,-1.331766189124913,-0.0000020119137378
0.22,P,26,0.00008176666666666667,0.00008176666666666667,0.9239626775342927,0.9239626856345722,8.1002795E-9,0.92405994859656,0.9240599485965362,-2.38E-14,3.5784410815522696,3.5784410772057957,-4.3464739E-9,0.005379868305472435,0.005379868139346211,-1.66126224E-10,-1.3317589669233503,-1.331760978796102,-0.0000020118727517
0.22,P,27,0.00008195,0.00008195,0.9239627159388549,0.9239627240360585,8.0972036E-9,0.9240599500870089,0.9240599500869691,-3.98E-14,3.5784410609450283,3.5784410566002056,-4.3448227E-9,0.0053777468778379856,0.005377746672392991,-2.054449946E-10,-1.3317537851432906,-1.3317557969784344,-0.0000020118351438
0.22,P,28,0.00008213333333333333,0.00008213333333333333,0.9239627543434173,0.9239627624375449,8.0941276E-9,0.9240599515774572,0.9240599515774014,-5.58E-14,3.5784410403377875,3.578441035994615,-4.3431725E-9,0.005375766701569695,0.005375766460543385,-2.41026310E-10,-1.331748630899968,-1.3317506427012509,-0.0000020118012829
0.22,P,29,0.00008231666666666667,0.00008231666666666667,0.9239627876024609,0.9239627956938309,8.0913700E-9,0.9240599528692275,0.9240599528691558,-7.17E-14,3.5784410224915457,3.5784410181498525,-4.3416932E-9,0.005373924092536342,0.005373923820088056,-2.72448286E-10,-1.3317435033123832,-1.3317455150838045,-0.0000020117714213
0.22,P,30,0.0000825,0.0000825,0.9239628208615046,0.9239628289501169,8.0886123E-9,0.9240599541609976,0.924059954160909,-8.86E-14,3.578441004645303,3.57844100030509,-4.340213E-9,0.005372220987673426,0.0053722206879180945,-2.997553315E-10,-1.3317384015954672,-1.331740413341153,-0.0000020117456858
0.22,P,31,0.00008268333333333333,0.00008268333333333333,0.9239628490088111,0.9239628570950063,8.0861952E-9,0.924059955254975,0.9240599552548716,-1.034E-13,3.5784409895419325,3.578440985203016,-4.3389165E-9,0.005370653900681255,0.00537065357794031,-3.22740945E-10,-1.3317333250420502,-1.331735336766151,-0.0000020117241008
0.22,P,32,0.00008286666666666667,0.00008286666666666667,0.9239628771561178,0.9239628852398956,8.0837778E-9,0.9240599563489527,0.924059956348834,-1.187E-13,3.5784409744385623,3.578440970100943,-4.3376193E-9,0.005369224916315751,0.005369224574648612,-3.41667139E-10,-1.3317282730271662,-1.3317302847337544,-0.0000020117065882
0.22,P,33,0.00008304999999999999,0.00008304999999999999,0.9239629002175168,0.9239629082992404,8.0817236E-9,0.9240599572457974,0.9240599572456654,-1.320E-13,3.578440962064204,3.5784409577276874,-4.3365166E-9,0.005367930716225988,0.005367930359731599,-3.56494389E-10,-1.3317232449919176,-1.3317252566849098,-0.0000020116929922
0.22,P,34,0.00008323333333333331,0.00008323333333333331,0.9239629232789159,0.9239629313585853,8.0796694E-9,0.924059958142643,0.9240599581424961,-1.469E-13,3.578440949689846,3.5784409453544312,-4.3354148E-9,0.005366773512237355,0.005366773144588777,-3.67648578E-10,-1.3317182404464798,-1.331720252129562,-0.0000020116830822
0.22,P,35,0.00008341666666666667,0.00008341666666666667,0.9239629412738715,0.9239629493518707,8.0779992E-9,0.924059958842842,0.9240599588426825,-1.595E-13,3.578440940034056,3.5784409356995375,-4.3345185E-9,0.005365750126249402,0.00536574975104509,-3.75204312E-10,-1.331713258955992,-1.331715270632569,-0.000002011676577
0.22,P,36,0.0000836,0.0000836,0.9239629592688268,0.9239629673451559,8.0763291E-9,0.9240599595430392,0.9240599595428685,-1.707E-13,3.5784409303782665,3.578440926044644,-4.3336225E-9,0.005364862877295984,0.005364862497603262,-3.79692722E-10,-1.3317083001425376,-1.3317103118156906,-0.0000020116731530
0.22,P,37,0.00008378333333333333,0.00008378333333333333,0.9239629722117543,0.923962980286814,8.0750597E-9,0.924059960046941,0.9240599600467599,-1.811E-13,3.5784409234333094,3.5784409191003683,-4.3329411E-9,0.005364108702567538,0.005364108321319172,-3.81248366E-10,-1.3317033636730797,-1.3317053753455403,-0.0000020116724606
0.22,P,38,0.00008396666666666667,0.00008396666666666667,0.9239629851546818,0.9239629932284721,8.0737903E-9,0.9240599605508438,0.9240599605506531,-1.907E-13,3.5784409164883524,3.578440912156093,-4.3322594E-9,0.005363490010048544,0.005363489629598206,-3.80450338E-10,-1.331698449260672,-1.3317004609348082,-0.0000020116741362
0.22,P,39,0.00008415,0.00008415,0.9239629930560248,0.9239630011289596,8.0729348E-9,0.9240599608586982,0.9240599608584985,-1.997E-13,3.5784409122486256,3.5784409079168245,-4.3318011E-9,0.005363003830306301,0.005363003452866888,-3.77439413E-10,-1.3316935566543537,-1.3316955683321678,-0.0000020116778141
0.22,P,40,0.00008433333333333333,0.00008433333333333333,0.9239630009573678,0.9239630090294473,8.0720795E-9,0.9240599611665509,0.9240599611663428,-2.081E-13,3.5784409080088975,3.578440903677556,-4.3313415E-9,0.005362652644044896,0.005362652271245771,-3.72799125E-10,-1.331688685639811,-1.331690697322947,-0.000002011683136
0.22,P,41,0.00008451666666666667,0.00008451666666666667,0.9239630038244558,0.923963011896103,8.0716472E-9,0.9240599612785221,0.9240599612783069,-2.152E-13,3.5784409064704668,3.5784409021393566,-4.3311102E-9,0.005362433556447943,0.005362433189804783,-3.66643160E-10,-1.3316838360310854,-1.331685847720845,-0.0000020116897596
0.22,P,42,0.0000847,0.0000847,0.9239630066915441,0.9239630147627588,8.0712147E-9,0.9240599613904942,0.9240599613902709,-2.233E-13,3.578440904932035,3.5784409006011577,-4.3308773E-9,0.005362349106955211,0.00536234874743613,-3.59519081E-10,-1.3316790076708624,-1.3316810193682276,-0.0000020116973652
0.22,P,43,0.00008488333333333333,0.00008488333333333333,0.9239630045292706,0.9239630126004813,8.0712107E-9,0.9240599613066869,0.9240599613064587,-2.282E-13,3.578440906092275,3.5784409017613994,-4.3308756E-9,0.005362396459653862,0.005362396108164802,-3.51489060E-10,-1.3316742004237991,-1.331676212129458,-0.0000020117056589
0.22,P,44,0.00008506666666666667,0.00008506666666666667,0.923963002366997,0.9239630104382042,8.0712072E-9,0.9240599612228785,0.9240599612226453,-2.332E-13,3.578440907252514,3.5784409029216406,-4.3308734E-9,0.005362578201012713,0.005362577857967121,-3.43045592E-10,-1.3316694141765766,-1.331671425890956,-0.0000020117143794
