E-EF,total,Li,P,S,Cl,O,Nd,Nd1_4f,Nd2_4f   # Gaussian 0.1 eV smoothed
-6.5490,24.845,1.8481,6.4965,12.149,0.18824,3.2465,0.73432,0.26643,0.037689
-6.5090,26.682,1.9734,7.0333,13.277,0.20936,3.2473,0.74558,0.26158,0.038456
-6.4690,27.829,2.0269,7.3671,14.006,0.22439,3.2536,0.74768,0.25703,0.03821
-6.4290,28.538,2.0301,7.5633,14.465,0.23507,3.2885,0.74722,0.25494,0.037619
-6.3890,29.123,2.0155,7.7167,14.859,0.24572,3.3319,0.7434,0.25393,0.037349
-6.3490,29.919,2.0184,7.9331,15.418,0.26265,3.3422,0.7302,0.24927,0.037951
-6.3090,31.284,2.0726,8.3231,16.375,0.29298,3.2958,0.70454,0.23706,0.039864
-6.2690,33.538,2.2042,8.9794,17.911,0.34217,3.1984,0.671,0.21738,0.04343
-6.2290,36.746,2.4188,9.9199,20.048,0.41078,3.0596,0.63809,0.19354,0.048773
-6.1890,40.507,2.6898,11.034,22.543,0.49208,2.8633,0.61029,0.16869,0.055503
-6.1490,43.986,2.9608,12.089,24.908,0.57346,2.5728,0.58435,0.14362,0.062553
-6.1090,46.263,3.166,12.825,26.593,0.64176,2.1682,0.55344,0.11753,0.068437
-6.0690,46.804,3.2606,13.082,27.256,0.68968,1.6785,0.51451,0.09033,0.071898
-6.0290,45.72,3.2392,12.878,26.915,0.71878,1.1761,0.4717,0.063813,0.072523
-5.9890,43.638,3.132,12.375,25.91,0.73702,0.7388,0.43311,0.040785,0.070833
-5.9490,41.317,2.985,11.778,24.681,0.75321,0.41404,0.40449,0.023351,0.0678
-5.9090,39.287,2.839,11.234,23.559,0.77233,0.20678,0.38529,0.011915,0.064177
-5.8690,37.719,2.7195,10.79,22.672,0.79455,0.092535,0.36923,0.0054181,0.060107
-5.8290,36.517,2.6355,10.424,21.982,0.81744,0.038008,0.34812,0.0022173,0.05523
-5.7890,35.488,2.5827,10.089,21.385,0.83912,0.015512,0.31619,0.00084816,0.049118
-5.7490,34.483,2.5479,9.753,20.793,0.8608,0.0075821,0.27271,0.00033997,0.041724
-5.7090,33.478,2.5165,9.4189,20.19,0.88908,0.00535,0.22238,0.00017738,0.033599
-5.6690,32.597,2.4816,9.1266,19.646,0.93848,0.0053766,0.17373,0.0001376,0.025768
-5.6290,32.081,2.4496,8.9394,19.294,1.0351,0.007594,0.13675,0.00015207,0.019428
-5.5890,32.185,2.4369,8.9137,19.261,1.2206,0.015233,0.12089,0.00023804,0.01564
-5.5490,33.055,2.462,9.0609,19.585,1.5553,0.036655,0.13393,0.00048914,0.015163
-5.5090,34.637,2.5372,9.3233,20.16,2.1147,0.088265,0.18111,0.0010962,0.01837
-5.4690,36.678,2.6679,9.5793,20.75,2.9748,0.19627,0.26361,0.0023632,0.025128
-5.4290,38.802,2.8534,9.6782,21.054,4.1849,0.39344,0.3765,0.0046714,0.034645
-5.3890,40.618,3.0877,9.4895,20.814,5.7365,0.70776,0.50779,0.0083556,0.045404
-5.3490,41.832,3.3574,8.9512,19.907,7.5477,1.1452,0.64033,0.013516,0.055445
-5.3090,42.342,3.6415,8.0988,18.401,9.4796,1.6765,0.75701,0.019873,0.062981
-5.2690,42.291,3.9183,7.0623,16.55,11.385,2.2404,0.84697,0.026786,0.067065
-5.2290,42.037,4.1756,6.0243,14.713,13.164,2.7653,0.90871,0.033476,0.067863
-5.1890,42.013,4.4166,5.154,13.222,14.791,3.1982,0.94762,0.039314,0.066294
-5.1490,42.524,4.6569,4.5443,12.25,16.302,3.5197,0.96919,0.043987,0.063294
-5.1090,43.597,4.9121,4.1847,11.76,17.746,3.7376,0.97352,0.047456,0.059272
-5.0690,44.977,5.1873,3.9807,11.546,19.153,3.8679,0.9558,0.0498,0.054164
-5.0290,46.305,5.4762,3.8072,11.353,20.546,3.9216,0.91277,0.051101,0.047978
-4.9890,47.37,5.7737,3.5643,11.004,21.987,3.9043,0.84975,0.051463,0.04129
-4.9490,48.297,6.0946,3.209,10.463,23.639,3.8258,0.78193,0.05111,0.035215
-4.9090,49.549,6.4821,2.757,9.8261,25.771,3.7067,0.72854,0.050416,0.030864
-4.8690,51.735,6.9937,2.2641,9.2589,28.666,3.5744,0.70352,0.049787,0.028727
-4.8290,55.262,7.6645,1.7988,8.9105,32.454,3.4513,0.70866,0.049439,0.02845
-4.7890,60.031,8.4669,1.4171,8.8466,36.943,3.3445,0.73282,0.049231,0.029083
-4.7490,65.335,9.2953,1.1448,9.0216,41.579,3.2471,0.75757,0.048749,0.02956
-4.7090,70.075,9.9938,0.97438,9.3061,45.585,3.1503,0.76605,0.047631,0.0291
-4.6690,73.222,10.42,0.87679,9.5555,48.255,3.0572,0.75079,0.045906,0.027381
-4.6290,74.305,10.516,0.81829,9.682,49.277,2.9855,0.71638,0.044079,0.02453
-4.5890,73.676,10.344,0.77449,9.6936,48.919,2.9561,0.67617,0.042861,0.021028
-4.5490,72.4,10.073,0.73506,9.6818,47.972,2.9783,0.64558,0.042757,0.017569
-4.5090,71.815,9.9042,0.70055,9.7705,47.441,3.0415,0.63618,0.043796,0.014875
-4.4690,72.949,9.9807,0.67596,10.052,48.132,3.1217,0.65317,0.045568,0.013497
-4.4290,76.105,10.327,0.66522,10.543,50.325,3.1959,0.69622,0.04752,0.013649
-4.3890,80.807,10.85,0.66891,11.185,53.708,3.258,0.76194,0.04931,0.015158
-4.3490,86.101,11.395,0.68494,11.883,57.569,3.3244,0.84577,0.051,0.017575
-4.3090,90.968,11.823,0.71005,12.554,61.09,3.4262,0.94191,0.052943,0.020359
-4.2690,94.596,12.049,0.74059,13.156,63.573,3.5903,1.0418,0.055427,0.023065
-4.2290,96.443,12.042,0.77216,13.683,64.525,3.8229,1.1336,0.058341,0.025422
-4.1890,96.231,11.798,0.79975,14.154,63.684,4.1093,1.2053,0.061157,0.027339
-4.1490,94.013,11.335,0.8193,14.621,61.065,4.4279,1.2496,0.063268,0.028871
-4.1090,90.282,10.703,0.82964,15.175,57.031,4.7641,1.2678,0.064384,0.030173
-4.0690,85.959,9.9958,0.833,15.943,52.281,5.109,1.2675,0.064648,0.031432
-4.0290,82.166,9.3363,0.83301,17.039,47.704,5.4456,1.2559,0.064405,0.032761
-3.9890,79.814,8.8369,0.83187,18.498,44.088,5.74,1.2349,0.06389,0.034123
-3.9490,79.227,8.5524,0.8286,20.246,41.828,5.9479,1.2016,0.063072,0.035352
-3.9090,80.036,8.4586,0.81976,22.12,40.789,6.0312,1.154,0.061742,0.036293
-3.8690,81.403,8.4716,0.80153,23.941,40.424,5.9674,1.0961,0.059686,0.036977
-3.8290,82.455,8.495,0.77164,25.591,40.075,5.7488,1.0379,0.05682,0.037696
-3.7890,82.658,8.465,0.73037,27.057,39.276,5.3789,0.99034,0.053248,0.038885
-3.7490,81.965,8.3692,0.68043,28.427,37.874,4.8751,0.9588,0.049269,0.040899
-3.7090,80.679,8.235,0.62627,29.827,35.978,4.2749,0.94111,0.045301,0.043819
-3.6690,79.184,8.0998,0.57277,31.346,33.789,3.6344,0.9297,0.041702,0.047408
-3.6290,77.704,7.9865,0.52379,32.974,31.459,3.0128,0.91663,0.038575,0.051263
-3.5890,76.249,7.8984,0.48156,34.626,29.041,2.4534,0.89796,0.035711,0.055028
-3.5490,74.788,7.8364,0.44727,36.25,26.53,1.9762,0.8757,0.032806,0.058545
-3.5090,73.473,7.818,0.42238,37.941,23.953,1.5853,0.85669,0.029815,0.061819
-3.4690,72.695,7.8782,0.40891,39.932,21.417,1.2821,0.8492,0.027144,0.064835
-3.4290,72.859,8.0425,0.40805,42.425,19.084,1.0691,0.85883,0.025492,0.067412
-3.3890,74.036,8.2921,0.41812,45.377,17.093,0.94446,0.88604,0.025424,0.069253
-3.3490,75.778,8.5507,0.43401,48.398,15.491,0.89404,0.92606,0.026977,0.070127
-3.3090,77.273,8.711,0.44892,50.888,14.228,0.89227,0.97099,0.02962,0.070017
-3.2690,77.761,8.6878,0.45765,52.332,13.195,0.91183,1.0124,0.032566,0.069063
-3.2290,76.94,8.4637,0.45886,52.572,12.295,0.93562,1.0431,0.035207,0.067395
-3.1890,75.082,8.0982,0.45476,51.874,11.476,0.96136,1.0584,0.037307,0.065055
-3.1490,72.806,7.6923,0.44826,50.748,10.726,0.99676,1.0556,0.03883,0.062116
-3.1090,70.69,7.3368,0.44019,49.673,10.039,1.0509,1.0342,0.039643,0.05886
-3.0690,69.019,7.0773,0.42874,48.906,9.3864,1.1304,0.99682,0.039449,0.055838
-3.0290,67.823,6.9172,0.41168,48.504,8.7308,1.242,0.95055,0.038066,0.053729
-2.9890,67.129,6.8469,0.38922,48.493,8.0602,1.3947,0.90783,0.035796,0.05315
-2.9490,67.151,6.8703,0.36513,49.02,7.4121,1.5949,0.88453,0.033494,0.054529
-2.9090,68.248,7.0062,0.34517,50.333,6.8601,1.8338,0.89482,0.032222,0.058068
-2.8690,70.666,7.2643,0.33407,52.614,6.4745,2.0781,0.94489,0.032713,0.063688
-2.8290,74.275,7.6199,0.33322,55.778,6.2854,2.2735,1.0289,0.035003,0.070942
-2.7890,78.495,8.0077,0.34031,59.412,6.2698,2.3653,1.13,0.038462,0.078985
-2.7490,82.495,8.3406,0.35077,62.896,6.3625,2.324,1.2269,0.0422,0.086746
-2.7090,85.523,8.543,0.36002,65.656,6.4806,2.1601,1.3031,0.045574,0.093301
-2.6690,87.186,8.5783,0.3652,67.385,6.5496,1.9179,1.3529,0.048476,0.098216
-2.6290,87.532,8.4578,0.36568,68.112,6.5217,1.6532,1.3806,0.051192,0.10159
-2.5890,86.92,8.2291,0.36242,68.115,6.3821,1.4092,1.3934,0.053975,0.10374
-2.5490,85.804,7.9532,0.35683,67.746,6.1441,1.2051,1.3947,0.056701,0.10481
-2.5090,84.571,7.683,0.35007,67.304,5.8389,1.0394,1.383,0.058884,0.10462
-2.4690,83.488,7.4526,0.34301,66.994,5.5033,0.90194,1.3563,0.060038,0.10284
-2.4290,82.741,7.2776,0.33642,66.95,5.1696,0.78431,1.3169,0.060055,0.099322
-2.3890,82.446,7.1609,0.33105,67.259,4.8593,0.68469,1.2723,0.05932,0.094314
-2.3490,82.632,7.0974,0.32728,67.931,4.5807,0.60586,1.2313,0.058499,0.088337
-2.3090,83.18,7.0758,0.3248,68.856,4.3319,0.55036,1.1983,0.05818,0.081937
-2.2690,83.812,7.0768,0.32256,69.793,4.1051,0.51638,1.1709,0.058601,0.075434
-2.2290,84.142,7.0747,0.31909,70.41,3.8916,0.49693,1.1414,0.059606,0.068843
-2.1890,83.803,7.0437,0.31326,70.394,3.6847,0.48256,1.102,0.060876,0.06199
-2.1490,82.583,6.966,0.30483,69.564,3.4827,0.46558,1.0491,0.062228,0.054722
-2.1090,80.499,6.8384,0.29452,67.936,3.2873,0.4431,0.98549,0.063725,0.047112
-2.0690,77.772,6.6681,0.28358,65.71,3.1005,0.41669,0.91705,0.065455,0.039546
-2.0290,74.711,6.4647,0.27296,63.175,2.9204,0.38947,0.84909,0.067182,0.032681
-1.9890,71.607,6.2325,0.26289,60.619,2.7394,0.36314,0.78407,0.068254,0.027252
-1.9490,68.681,5.9724,0.25303,58.272,2.5498,0.33732,0.7228,0.067948,0.023778
-1.9090,66.079,5.6881,0.24289,56.276,2.3491,0.31088,0.66702,0.065987,0.022291
-1.8690,63.842,5.3894,0.23215,54.658,2.1423,0.28361,0.6199,0.062766,0.022225
-1.8290,61.872,5.0873,0.2206,53.297,1.9376,0.2563,0.58359,0.059061,0.022576
-1.7890,59.923,4.7871,0.20809,51.941,1.74,0.22968,0.55624,0.055509,0.022305
-1.7490,57.701,4.4857,0.19457,50.306,1.5497,0.20365,0.53188,0.052306,0.020763
-1.7090,55.025,4.1779,0.18043,48.223,1.3649,0.1778,0.50407,0.049347,0.017916
-1.6690,51.933,3.8642,0.16659,45.732,1.1869,0.15267,0.47032,0.046566,0.014255
-1.6290,48.668,3.5534,0.15418,43.048,1.0219,0.13015,0.43352,0.044134,0.010478
-1.5890,45.524,3.2583,0.14395,40.435,0.87846,0.11255,0.39935,0.042327,0.0071674
-1.5490,42.681,2.9872,0.13583,38.05,0.76296,0.10107,0.37203,0.041267,0.0046222
-1.5090,40.099,2.7378,0.12879,35.858,0.6758,0.094829,0.35175,0.040779,0.0028639
-1.4690,37.552,2.4986,0.12135,33.66,0.61101,0.091397,0.33515,0.040458,0.0017479
-1.4290,34.775,2.2567,0.11229,31.224,0.5589,0.088062,0.31774,0.039842,0.0010799
-1.3890,31.622,2.0063,0.10129,28.428,0.51017,0.083077,0.29598,0.038532,0.00068965
-1.3490,28.16,1.7532,0.089053,25.338,0.4594,0.076102,0.26812,0.036234,0.00045727
-1.3090,24.636,1.5114,0.076979,22.185,0.40604,0.067902,0.23416,0.032806,0.00031021
-1.2690,21.371,1.2965,0.066522,19.266,0.35322,0.059733,0.19571,0.028348,0.00020973
-1.2290,18.637,1.1187,0.058638,16.832,0.30532,0.052809,0.15583,0.023269,0.00013738
-1.1890,16.568,0.98048,0.05351,15.004,0.26565,0.047896,0.11838,0.018199,8.5143e-05
-1.1490,15.107,0.87568,0.050577,13.728,0.23498,0.045027,0.086704,0.013745,4.909e-05
-1.1090,14.015,0.79152,0.048742,12.781,0.21117,0.04341,0.062389,0.010252,2.6091e-05
-1.0690,12.952,0.71191,0.046692,11.848,0.19006,0.041703,0.045013,0.0077113,1.2788e-05
-1.0290,11.614,0.62307,0.043309,10.648,0.16743,0.038619,0.032848,0.0058786,5.8572e-06
-0.9890,9.8653,0.51914,0.038051,9.0583,0.14098,0.033564,0.023981,0.0044661,2.5832e-06
-0.9490,7.798,0.4045,0.031148,7.1667,0.11128,0.026895,0.01708,0.0032863,1.1448e-06
-0.9090,5.6665,0.29093,0.023473,5.2104,0.081205,0.019661,0.011555,0.0022797,5.2612e-07
-0.8690,3.756,0.19142,0.016147,3.4543,0.054276,0.013035,0.007273,0.0014624,2.4918e-07
-0.8290,2.2593,0.11452,0.010074,2.0779,0.033014,0.0078111,0.0042017,0.00085722,1.1735e-07
-0.7890,1.2289,0.062034,0.0056725,1.13,0.01819,0.0042217,0.0022095,0.00045592,5.2985e-08
-0.7490,0.60266,0.03032,0.0028709,0.55409,0.0090435,0.0020544,0.001052,0.00021903,2.2263e-08
-0.7090,0.26577,0.013331,0.0013014,0.24429,0.0040433,0.00089844,0.00045176,9.472e-05,8.5152e-09
-0.6690,0.10508,0.0052564,0.00052665,0.096563,0.00162,0.00035226,0.00017434,3.6755e-05,2.9285e-09
-0.6290,0.037087,0.0018504,0.00018954,0.034072,0.00057902,0.00012329,6.0163e-05,1.2739e-05,8.9703e-10
-0.5890,0.011589,0.00057671,6.0284e-05,0.010644,0.00018325,3.8198e-05,1.8394e-05,3.9086e-06,2.4042e-10
-0.5490,0.0031624,0.00015692,1.673e-05,0.0029039,5.0704e-05,1.0327e-05,4.9044e-06,1.0451e-06,5.4937e-11
-0.5090,0.00073391,3.628e-05,3.9274e-06,0.00067371,1.1941e-05,2.3735e-06,1.1106e-06,2.369e-07,1.0504e-11
-0.4690,0.00013573,6.6773e-06,7.2486e-07,0.00012459,2.2382e-06,4.3523e-07,2.0116e-07,4.28e-08,1.6378e-12
-0.4290,1.7856e-05,8.7367e-07,9.3823e-08,1.6404e-05,2.9737e-07,5.6979e-08,2.6142e-08,5.5255e-09,1.9188e-13
-0.3890,1.48e-06,7.2017e-08,7.6045e-09,1.3597e-06,2.4801e-08,4.726e-09,2.1605e-09,4.5258e-10,1.4848e-14
-0.3490,7.0559e-08,3.4138e-09,3.5465e-10,6.486e-08,1.1877e-09,2.2613e-10,1.0351e-10,2.149e-11,6.7881e-16
-0.3090,1.8325e-09,8.8402e-11,9.0026e-12,1.6852e-09,3.0919e-11,5.8871e-12,2.7009e-12,5.5712e-13,1.7137e-17
-0.2690,2.5065e-11,1.2042e-12,1.2081e-13,2.3062e-11,4.2314e-13,8.0826e-14,3.7203e-14,7.6122e-15,2.2957e-19
-0.2290,1.7729e-13,8.4954e-15,8.407e-16,1.6312e-13,2.9951e-15,5.7316e-16,2.6459e-16,5.3936e-17,1.6003e-21
-0.1890,6.419e-16,3.0375e-17,2.9775e-18,5.8565e-16,1.0744e-17,2.0675e-18,9.5396e-19,1.9336e-19,5.6692e-24
-0.1490,1.1801e-18,0,0,0,0,0,0,0,0
-0.1090,1.2059e-20,0,0,0,0,0,0,0,0
-0.0690,9.1668e-18,1.1472e-18,2.5862e-18,4.6419e-18,3.8956e-20,4.8239e-20,4.6049e-20,3.8228e-21,4.6927e-21
-0.0290,3.8492e-15,4.8448e-16,1.0911e-15,1.9597e-15,1.6447e-17,2.0387e-17,1.944e-17,1.6138e-18,1.9786e-18
0.0110,8.1415e-13,1.0243e-13,2.3062e-13,4.1457e-13,3.4793e-15,4.3115e-15,4.1112e-15,3.4163e-16,4.1851e-16
0.0510,8.7169e-11,1.0975e-11,2.4675e-11,4.439e-11,3.7217e-13,4.6162e-13,4.4015e-13,3.6584e-14,4.49e-14
0.0910,4.775e-09,6.0126e-10,1.3535e-09,2.4319e-09,2.039e-11,2.5282e-11,2.4221e-11,1.9997e-12,2.47e-12
0.1310,1.3671e-07,1.7206e-08,3.8744e-08,6.9651e-08,5.8381e-10,7.2281e-10,7.025e-10,5.732e-11,7.2286e-11
0.1710,2.1283e-06,2.6778e-07,6.0312e-07,1.0836e-06,9.0861e-09,1.1248e-08,1.1329e-08,8.9104e-10,1.1999e-09
0.2110,1.936e-05,2.4343e-06,5.483e-06,9.8543e-06,8.2641e-08,1.0193e-07,1.1308e-07,8.0734e-09,1.2758e-08
0.2510,0.00011509,1.4439e-05,3.2554e-05,5.8532e-05,4.9093e-07,6.0006e-07,8.0347e-07,4.753e-08,9.9597e-08
0.2910,0.00051071,6.3852e-05,0.00014418,0.00025945,2.1753e-06,2.6205e-06,4.4937e-06,2.0756e-07,6.0814e-07
0.3310,0.0018749,0.00023345,0.00052817,0.0009513,7.9721e-06,9.4335e-06,2.0445e-05,7.4725e-07,2.9272e-06
0.3710,0.0059649,0.00073959,0.0016767,0.0030226,2.5318e-05,2.9405e-05,7.763e-05,2.3294e-06,1.1502e-05
0.4110,0.016675,0.002058,0.0046762,0.0084378,7.065e-05,8.0357e-05,0.00025575,6.3662e-06,3.885e-05
0.4510,0.041175,0.005052,0.011513,0.020796,0.00017413,0.00019287,0.00075094,1.5282e-05,0.00011638
0.4910,0.090102,0.010971,0.0251,0.045393,0.00038037,0.00040671,0.0019846,3.2232e-05,0.0003122
0.5310,0.17537,0.021135,0.04862,0.088037,0.00073946,0.00075377,0.0047426,5.9763e-05,0.00075292
0.5710,0.30524,0.036278,0.084102,0.15245,0.001288,0.0012288,0.010332,9.7538e-05,0.0016442
0.6110,0.47956,0.055885,0.13103,0.23762,0.0020339,0.0017656,0.020798,0.00014055,0.003291
0.6510,0.69073,0.078255,0.18664,0.33799,0.0029707,0.0022472,0.039325,0.00018026,0.0061289
0.6910,0.93568,0.10188,0.24917,0.44905,0.0041426,0.0025684,0.070936,0.00021022,0.010779
0.7310,1.2357,0.12786,0.32348,0.57694,0.0057419,0.0027298,0.12318,0.00023482,0.018086
0.7710,1.6505,0.16186,0.42511,0.74585,0.0081684,0.0029066,0.20579,0.00027611,0.029012
0.8110,2.2681,0.21355,0.57786,0.99425,0.011961,0.0034309,0.32792,0.00037273,0.044228
0.8510,3.1612,0.29226,0.80224,1.3557,0.017554,0.0046617,0.49294,0.00056656,0.06349
0.8910,4.3252,0.40016,1.0986,1.8305,0.024938,0.0067719,0.69306,0.00087889,0.085141
0.9310,5.6343,0.52669,1.4349,2.3652,0.033404,0.0095518,0.90764,0.0012872,0.10629
0.9710,6.8568,0.64879,1.7499,2.8586,0.04162,0.012373,1.1074,0.0017242,0.12376
1.0110,7.7394,0.73934,1.976,3.2005,0.04809,0.014416,1.2636,0.0021158,0.13556
1.0510,8.1245,0.78021,2.0711,3.3245,0.051862,0.015101,1.3576,0.002451,0.14224
1.0910,8.0356,0.77269,2.0419,3.2453,0.053105,0.014473,1.3887,0.0028415,0.1478
1.1310,7.68,0.73866,1.9436,3.057,0.053231,0.013252,1.3777,0.003515,0.16047
1.1710,7.3716,0.71181,1.8573,2.8932,0.054463,0.012491,1.3659,0.0047278,0.19356
1.2110,7.4189,0.72421,1.8582,2.8753,0.059039,0.013064,1.4108,0.0066439,0.2677
1.2510,8.0332,0.79502,1.9899,3.0717,0.068356,0.015293,1.579,0.0092836,0.41564
1.2910,9.2885,0.92504,2.253,3.4821,0.082402,0.018911,1.9425,0.01262,0.69007
1.3310,11.133,1.0975,2.6078,4.043,0.09967,0.023288,2.5811,0.016827,1.1712
1.3710,13.437,1.2835,2.9875,4.6492,0.11767,0.027726,3.5849,0.022684,1.9638
1.4110,16.046,1.4516,3.3193,5.1858,0.13386,0.031688,5.039,0.032349,3.1704
1.4510,18.816,1.5783,3.5497,5.5673,0.14657,0.034935,6.9763,0.051279,4.8325
1.4910,21.607,1.6566,3.6645,5.7688,0.15558,0.037626,9.307,0.092552,6.8568
1.5310,24.248,1.6976,3.6921,5.8312,0.16182,0.040344,11.773,0.18469,8.9676
1.5710,26.514,1.7236,3.6841,5.8322,0.16672,0.044008,13.984,0.38246,10.736
1.6110,28.174,1.7557,3.6857,5.8392,0.17155,0.049628,15.567,0.77624,11.707
1.6510,29.126,1.8061,3.7145,5.877,0.17726,0.058003,16.358,1.4896,11.584
1.6910,29.519,1.8772,3.7633,5.9315,0.18474,0.069518,16.522,2.6514,10.372
1.7310,29.753,1.9682,3.8216,5.9834,0.19511,0.084203,16.488,4.3342,8.3904
1.7710,30.307,2.083,3.9005,6.0434,0.20955,0.10206,16.701,6.47,6.1339
1.8110,31.475,2.2339,4.0417,6.1667,0.22898,0.12343,17.335,8.7866,4.0657
1.8510,33.204,2.4405,4.3068,6.4349,0.25384,0.14908,18.162,10.823,2.4651
1.8910,35.138,2.7208,4.7462,6.9131,0.284,0.17959,18.681,12.063,1.3955
1.9310,36.801,3.0772,5.3619,7.6015,0.31859,0.21407,18.416,12.146,0.76953
1.9710,37.811,3.4856,6.085,8.4074,0.3556,0.24915,17.192,11.038,0.4453
2.0110,37.994,3.8947,6.7894,9.1671,0.39174,0.2792,15.215,9.0593,0.29517
2.0510,37.404,4.2462,7.3446,9.7169,0.42335,0.29845,12.931,6.7332,0.23274
2.0910,36.297,4.504,7.6827,9.9789,0.44837,0.30418,10.8,4.5574,0.21047
2.1310,35.077,4.6768,7.834,10.003,0.46797,0.29879,9.1255,2.8393,0.20663
2.1710,34.182,4.8138,7.9038,9.9326,0.4865,0.28907,8.012,1.6608,0.21295
2.2110,33.926,4.975,8.0038,9.9134,0.50907,0.28301,7.4131,0.94599,0.22658
2.2510,34.338,5.1921,8.1806,10.006,0.53816,0.28588,7.2033,0.55819,0.24609
2.2910,35.128,5.4457,8.3885,10.155,0.57142,0.29808,7.2313,0.36862,0.27046
2.3310,35.819,5.6742,8.5222,10.235,0.6025,0.31561,7.3564,0.28392,0.30008
2.3710,36.002,5.8117,8.4905,10.134,0.62446,0.33259,7.4747,0.24681,0.33858
2.4110,35.568,5.8321,8.2835,9.8364,0.63398,0.34417,7.5359,0.22667,0.39364
2.4510,34.786,5.7731,7.9937,9.4389,0.63349,0.34866,7.5426,0.20993,0.47542
2.4910,34.171,5.7227,7.7769,9.1078,0.63015,0.34784,7.5338,0.19311,0.59383
2.5310,34.233,5.7793,7.7778,8.9954,0.63245,0.34575,7.5619,0.17805,0.75812
2.5710,35.25,6.0068,8.0631,9.1714,0.64661,0.34647,7.6745,0.16828,0.98244
2.6110,37.186,6.4131,8.5997,9.601,0.67488,0.35214,7.9099,0.16648,1.2971
2.6510,39.785,6.9595,9.2839,10.179,0.71623,0.36253,8.3044,0.17339,1.7587
