E-EF,total,Li,P,S,Cl,O,Nd,Nd1_4f,Nd2_4f
-6.309,29.62,1.873,7.753,15.11,0.2319,3.583,0.8532,0.3281,0.04155
-6.269,24.52,1.616,6.605,13.4,0.2085,2.027,0.4952,0.1603,0.03797
-6.229,25.81,1.686,6.972,14.17,0.2545,2.184,0.3816,0.1019,0.03282
-6.189,38.2,2.429,10.21,20.63,0.4435,3.671,0.5594,0.1569,0.04188
-6.149,54.09,3.493,14.61,29.86,0.7085,4.294,0.7593,0.2077,0.0657
-6.109,61.55,4.124,17.02,35.36,0.8531,3.041,0.7453,0.1699,0.09151
-6.069,57.64,4.026,16.28,34.32,0.8187,1.271,0.5448,0.08074,0.09777
-6.029,47.45,3.461,13.56,28.7,0.7166,0.3107,0.3587,0.02165,0.08045
-5.989,38.43,2.933,11,23.22,0.6517,0.04633,0.3069,0.003262,0.06503
-5.949,35.98,2.79,10.3,21.58,0.6854,0.006181,0.3499,0.0003335,0.06263
-5.909,37.89,2.835,10.91,22.68,0.7757,0.002179,0.386,6.864e-05,0.06221
-5.869,38.22,2.668,11.08,22.95,0.8284,0.001761,0.3986,5.148e-05,0.0613
-5.829,36.1,2.352,10.44,21.77,0.834,0.001802,0.4195,5.676e-05,0.06323
-5.789,34.88,2.331,9.962,21.08,0.8391,0.002695,0.4091,8.604e-05,0.06125
-5.749,35.45,2.635,9.94,21.42,0.8727,0.004435,0.3258,0.0001313,0.04891
-5.709,35.28,2.816,9.815,21.28,0.8995,0.006241,0.2115,0.0001642,0.03189
-5.669,32.79,2.653,9.144,19.79,0.8717,0.00674,0.1127,0.0001616,0.01726
-5.629,28.81,2.304,8.014,17.41,0.8272,0.005054,0.05332,0.0001198,0.008209
-5.589,26.52,2.093,7.367,15.98,0.8772,0.002798,0.03186,7.355e-05,0.004615
-5.549,29.16,2.238,8.108,17.54,1.047,0.001824,0.03261,5.726e-05,0.004112
-5.509,33.74,2.468,9.435,20.36,1.203,0.001789,0.04507,5.985e-05,0.004948
-5.469,36.63,2.546,10.22,22.02,1.499,0.002382,0.09506,7.308e-05,0.009116
-5.429,39.34,2.62,10.7,23.02,2.473,0.007386,0.2469,0.0001641,0.02257
-5.389,43.65,2.863,11.36,24.36,4.245,0.05067,0.4854,0.0007568,0.04516
-5.349,46.01,3.179,11,23.8,6.672,0.3165,0.7251,0.003979,0.07031
-5.309,45.81,3.673,9.16,20.45,10.06,1.215,0.9554,0.01433,0.09026
-5.269,45.04,4.309,6.961,16.46,13.21,2.726,1.075,0.03129,0.0897
-5.229,41.27,4.483,4.884,12.47,14.35,3.778,0.9917,0.0432,0.07151
-5.189,36.21,4.283,3.237,9.172,14.6,3.801,0.857,0.04477,0.05693
-5.149,36.68,4.429,2.798,8.637,16.09,3.591,0.8805,0.04558,0.05624
-5.109,41.68,4.739,3.588,10.74,17.62,3.713,1.036,0.04915,0.06347
-5.069,47.18,5.011,4.595,13.18,18.84,4.068,1.187,0.05286,0.06977
-5.029,50.62,5.505,4.729,13.6,21.01,4.293,1.162,0.05523,0.0639
-4.989,50.62,6.083,4.059,12.04,23,4.216,0.8918,0.0555,0.03843
-4.949,49.53,6.383,3.569,10.84,23.72,4.104,0.6308,0.05498,0.01595
-4.909,46.76,6.138,3.185,9.968,22.85,3.811,0.5264,0.05064,0.01301
-4.869,43.18,5.887,2.163,8.085,23,3.284,0.5137,0.0435,0.02139
-4.829,44.5,6.369,1.107,6.577,26.57,3.079,0.5771,0.04264,0.02888
-4.789,52.83,7.655,0.6829,6.936,33.34,3.247,0.7154,0.04842,0.03272
-4.749,67.17,9.683,0.7119,8.719,43.38,3.487,0.9047,0.05664,0.03528
-4.709,81.25,11.66,0.8478,10.41,53.43,3.539,1.016,0.05955,0.03554
-4.669,87.17,12.56,0.9088,10.88,58.51,3.083,0.8992,0.04948,0.03238
-4.629,85.73,12.38,0.8848,10.58,58.37,2.496,0.6802,0.03563,0.0279
-4.589,78.96,11.19,0.8135,10.03,53.56,2.5,0.567,0.03241,0.02215
-4.549,68.5,9.33,0.7298,9.248,45.51,2.846,0.5459,0.03677,0.01455
-4.509,58.96,7.801,0.6442,8.461,38.2,3.027,0.5336,0.04128,0.007941
-4.469,56.2,7.53,0.5718,8.259,35.84,3.18,0.5396,0.04571,0.00473
-4.429,66.45,9.182,0.5807,9.458,42.84,3.443,0.6176,0.05173,0.006274
-4.389,83.9,11.69,0.6596,11.68,55.15,3.569,0.7516,0.05626,0.0125
-4.349,94.31,13.02,0.7051,13.13,62.84,3.339,0.8366,0.05336,0.01919
-4.309,95.08,12.72,0.681,12.96,64.57,2.879,0.852,0.04441,0.02263
-4.269,96.49,12.22,0.6749,12.65,66.79,2.798,0.9477,0.04227,0.02416
-4.229,103.4,12.5,0.7614,13.59,71.31,3.52,1.221,0.0557,0.02654
-4.189,107.9,12.86,0.8823,14.92,72.73,4.551,1.483,0.07373,0.0296
-4.149,103.5,12.41,0.92,15.21,68.09,4.856,1.467,0.0771,0.03098
-4.109,94.51,11.41,0.8681,14.75,61.25,4.46,1.269,0.06594,0.03034
-4.069,84.39,10.05,0.805,14.36,53.04,4.486,1.159,0.05872,0.02976
-4.029,72.57,8.292,0.7777,14.47,41.94,5.398,1.188,0.06168,0.02968
-3.989,65.37,7.084,0.8132,16.25,33,6.395,1.29,0.0659,0.03274
-3.949,68.64,7.183,0.8648,19.76,32.18,6.701,1.367,0.06624,0.0387
-3.909,80.53,8.298,0.8818,23.6,39.19,6.544,1.315,0.06516,0.04218
-3.869,89.41,9.172,0.8542,25.72,45.52,6.283,1.109,0.06285,0.03935
-3.829,88.46,9.089,0.7998,26.09,44.83,6.024,0.8804,0.05861,0.03399
-3.789,86.66,8.862,0.7691,27.64,41.77,6.003,0.8198,0.05616,0.03273
-3.749,85.62,8.636,0.7257,29.32,39.46,5.742,0.9025,0.053,0.03552
-3.709,80.31,8.051,0.6244,28.77,36.48,4.612,0.9706,0.04332,0.04017
-3.669,73.63,7.5,0.5108,28.13,32.7,3.11,0.9571,0.03214,0.04609
-3.629,73.56,7.619,0.4638,31.45,30.03,2.27,0.9505,0.03159,0.05424
-3.589,80.15,8.235,0.4816,37.46,29.91,2.184,0.9841,0.04069,0.06135
-3.549,82.31,8.392,0.4702,40.25,29.32,2.017,0.9102,0.0432,0.06003
-3.509,74.42,7.747,0.3963,38.1,25.02,1.466,0.7665,0.03332,0.05658
-3.469,64.04,6.936,0.3238,35.01,19.32,0.8953,0.7186,0.02104,0.06128
-3.429,61.89,6.903,0.3184,35.89,16.61,0.5994,0.7685,0.01433,0.0713
-3.389,67.99,7.775,0.3739,41.99,15.53,0.5417,0.8461,0.0133,0.0787
-3.349,77.02,9.042,0.4533,50.84,13.95,0.6746,0.9181,0.01869,0.0777
-3.309,85.64,10.07,0.5218,58.48,13.33,0.964,0.9864,0.03153,0.0701
-3.269,89.81,10.31,0.5414,61.56,13.8,1.183,1.062,0.044,0.0646
-3.229,85.04,9.43,0.4911,58.49,13.14,1.085,1.121,0.0435,0.0675
-3.189,73.84,7.854,0.4112,51.46,11.06,0.7918,1.124,0.03283,0.073
-3.149,65.33,6.67,0.3831,46.05,9.388,0.7034,1.094,0.0297,0.0697
-3.109,64.4,6.416,0.434,45.21,9.251,0.9562,1.085,0.04106,0.0577
-3.069,69.25,6.871,0.5048,48.34,10.05,1.274,1.094,0.05461,0.04828
-3.029,72.26,7.236,0.4991,51.09,9.976,1.26,1.027,0.05194,0.04693
-2.989,68.26,6.934,0.4052,49.53,8.37,1.083,0.8421,0.03528,0.04781
-2.949,62.41,6.424,0.3198,46.08,6.651,1.228,0.6978,0.02438,0.04798
-2.909,59.72,6.177,0.283,44.32,5.791,1.554,0.6838,0.02144,0.05014
-2.869,61.3,6.362,0.272,45.58,5.523,1.989,0.7418,0.02038,0.0549
-2.829,69.38,7.271,0.2893,51.72,5.533,2.81,0.888,0.02625,0.0632
-2.789,80.88,8.449,0.3328,60.83,5.787,3.426,1.148,0.04056,0.0769
-2.749,89.99,9.175,0.3788,68.51,6.346,3.122,1.459,0.05305,0.0976
-2.709,94.07,9.405,0.4012,72.38,6.912,2.314,1.584,0.05442,0.1105
-2.669,93.97,9.367,0.3924,72.74,7.175,1.712,1.438,0.04862,0.1058
-2.629,90.39,8.936,0.3695,70.3,7.061,1.346,1.262,0.04198,0.0978
-2.589,85.03,8.104,0.3516,66.48,6.649,1.118,1.279,0.0441,0.0985
-2.549,84.33,7.624,0.3576,66.41,6.359,1.089,1.47,0.0602,0.1076
-2.509,85.97,7.55,0.3649,68.35,6.042,1.074,1.577,0.0726,0.1156
-2.469,83.25,7.302,0.346,66.93,5.376,0.9175,1.471,0.0688,0.1134
-2.429,79.82,7.018,0.3245,64.72,4.849,0.7405,1.308,0.061,0.106
-2.389,80.04,6.999,0.3208,65.32,4.738,0.6133,1.214,0.0591,0.0974
-2.349,80.71,6.977,0.3182,66.36,4.577,0.4937,1.14,0.0559,0.0863
-2.309,81.17,6.886,0.3165,67.38,4.234,0.4105,1.101,0.04984,0.0777
-2.269,84.15,6.973,0.325,70.42,4.01,0.4277,1.166,0.0516,0.0745
-2.229,87.61,7.195,0.3364,73.56,3.909,0.5023,1.247,0.061,0.0713
-2.189,89.07,7.402,0.3365,74.95,3.757,0.5628,1.233,0.0685,0.065
-2.149,88.07,7.398,0.321,74.32,3.539,0.5626,1.137,0.0685,0.0577
-2.109,82.91,6.952,0.2891,70.35,3.208,0.4616,0.9649,0.0582,0.0496
-2.069,76.71,6.482,0.2645,65.24,2.904,0.3488,0.815,0.0513,0.0391
-2.029,73.21,6.395,0.2631,61.95,2.841,0.3343,0.7992,0.0633,0.02755
-1.989,71.46,6.454,0.2692,60.05,2.891,0.3757,0.831,0.0823,0.01763
-1.949,69.39,6.316,0.266,58.26,2.793,0.3858,0.7901,0.088,0.01213
-1.909,64.52,5.822,0.2461,54.48,2.428,0.3405,0.651,0.0749,0.01219
-1.869,59.23,5.178,0.2235,50.56,1.981,0.2697,0.5086,0.0576,0.01878
-1.829,59.28,4.828,0.2179,51.35,1.75,0.215,0.458,0.0477,0.02936
-1.789,63.14,4.828,0.2203,55.17,1.739,0.2051,0.5127,0.0484,0.03485
-1.749,63.06,4.689,0.208,55.15,1.664,0.2321,0.6309,0.0578,0.03001
-1.709,57.96,4.293,0.1822,50.78,1.405,0.2211,0.6481,0.0593,0.01975
-1.669,52.3,3.886,0.1574,46.16,1.131,0.1482,0.4918,0.04519,0.01117
-1.629,47.36,3.476,0.1391,42.06,0.9351,0.08646,0.3546,0.03509,0.00615
-1.589,42.58,3.067,0.1284,37.96,0.7544,0.06673,0.3264,0.03685,0.003311
-1.549,39.13,2.764,0.1259,35.03,0.5994,0.06949,0.3211,0.03869,0.001747
-1.509,38.85,2.637,0.1306,34.85,0.5525,0.0875,0.3385,0.04006,0.001068
-1.469,40.44,2.635,0.1372,36.35,0.5912,0.1113,0.3832,0.045,0.000799
-1.429,39.31,2.5,0.132,35.34,0.6137,0.1117,0.3583,0.0439,0.000597
-1.389,33.91,2.089,0.1109,30.55,0.5666,0.09,0.2883,0.03763,0.0004125
-1.349,27.62,1.626,0.08457,24.92,0.4765,0.07444,0.2771,0.03853,0.0003126
-1.309,23.14,1.343,0.06513,20.82,0.3986,0.06861,0.2851,0.04244,0.0002616
-1.269,19.3,1.161,0.05314,17.34,0.3339,0.05808,0.2286,0.03609,0.0001695
-1.229,15.52,0.9743,0.04604,13.96,0.2654,0.04283,0.1352,0.02183,6.58e-05
-1.189,13.22,0.833,0.04467,11.95,0.212,0.03275,0.07002,0.01097,1.484e-05
-1.149,12.46,0.7516,0.04549,11.33,0.1882,0.03174,0.04274,0.00671,3.043e-06
-1.109,13.17,0.7338,0.04709,12.06,0.1914,0.04081,0.03536,0.00612,1.712e-06
-1.069,15.66,0.8176,0.05436,14.4,0.2175,0.05561,0.03556,0.0067,1.565e-06
-1.029,16.4,0.8354,0.05889,15.1,0.2237,0.05969,0.03356,0.00663,1.238e-06
-0.989,12.47,0.631,0.05041,11.48,0.1734,0.04457,0.02393,0.004888,6.88e-07
-0.949,7.225,0.3647,0.03465,6.651,0.1064,0.02487,0.01276,0.002687,2.557e-07
-0.909,3.387,0.1695,0.0181,3.111,0.05309,0.01122,0.005424,0.001162,6.98e-08
-0.869,1.107,0.05481,0.006022,1.015,0.01803,0.003572,0.001666,0.0003571,1.517e-08
-0.829,0.2115,0.01038,0.001125,0.1943,0.00351,0.0006747,0.0003102,6.589e-05,2.358e-09
-0.789,0.02173,0.001059,0.0001123,0.01996,0.0003637,6.932e-05,3.168e-05,6.652e-06,2.204e-10
-0.749,0.001163,5.629e-05,5.863e-06,0.001069,1.957e-05,3.726e-06,1.705e-06,3.543e-07,1.123e-11
-0.709,3.21e-05,1.549e-06,1.579e-07,2.952e-05,5.416e-07,1.031e-07,4.729e-08,9.76e-09,3.006e-13
-0.669,4.531e-07,2.177e-08,2.185e-09,4.169e-07,7.649e-09,1.461e-09,6.724e-10,1.376e-10,4.152e-15
-0.629,3.257e-09,1.561e-10,1.545e-11,2.997e-09,5.503e-11,1.053e-11,4.861e-12,9.91e-13,2.941e-17
-0.589,1.189e-11,5.674e-13,5.562e-14,1.094e-11,2.007e-13,3.862e-14,1.782e-14,3.612e-15,1.059e-19
-0.549,2.195e-14,0,0,0,0,0,0,0,0
-0.509,2.046e-17,0,0,0,0,0,0,0,0
-0.469,9.608e-21,0,0,0,0,0,0,0,0
-0.429,2.27e-24,0,0,0,0,0,0,0,0
-0.389,2.696e-28,0,0,0,0,0,0,0,0
-0.349,1.608e-32,0,0,0,0,0,0,0,0
-0.309,4.811e-37,0,0,0,0,0,0,0,0
-0.269,7.221e-42,0,0,0,0,0,0,0,0
-0.229,5.434e-47,0,0,0,0,0,0,0,0
-0.189,2.05e-52,0,0,0,0,0,0,0,0
-0.149,3.874e-58,0,0,0,0,0,0,0,0
-0.109,3.86e-62,0,0,0,0,0,0,0,0
-0.069,3.21e-56,0,0,0,0,0,0,0,0
-0.029,1.35e-50,0,0,0,0,0,0,0,0
0.011,2.843e-45,0,0,0,0,0,0,0,0
0.051,3e-40,0,0,0,0,0,0,0,0
0.091,1.585e-35,0,0,0,0,0,0,0,0
0.131,4.194e-31,0,0,0,0,0,0,0,0
0.171,5.557e-27,0,0,0,0,0,0,0,0
0.211,3.689e-23,0,0,0,0,0,0,0,0
0.251,1.226e-19,0,0,0,0,0,0,0,0
0.291,2.042e-16,0,0,0,0,0,0,0,0
0.331,1.703e-13,2.143e-14,4.831e-14,8.671e-14,7.277e-16,9.011e-16,8.602e-16,7.141e-17,8.766e-17
0.371,7.112e-11,8.952e-12,2.016e-11,3.621e-11,3.039e-13,3.767e-13,3.592e-13,2.982e-14,3.656e-14
0.411,1.488e-08,1.872e-09,4.215e-09,7.577e-09,6.359e-11,7.88e-11,7.514e-11,6.244e-12,7.649e-12
0.451,1.559e-06,1.963e-07,4.413e-07,7.939e-07,6.656e-09,8.256e-09,7.872e-09,6.543e-10,8.031e-10
0.491,8.18e-05,1.03e-05,2.319e-05,4.166e-05,3.493e-07,4.331e-07,4.151e-07,3.425e-08,4.233e-08
0.531,0.002151,0.0002707,0.0006096,0.001096,9.186e-06,1.137e-05,1.108e-05,9.021e-07,1.142e-06
0.571,0.02837,0.003569,0.008039,0.01444,0.0001211,0.0001499,0.0001531,1.187e-05,1.639e-05
0.611,0.1885,0.02369,0.05336,0.09593,0.0008046,0.0009891,0.001189,7.833e-05,0.0001404
0.651,0.641,0.08001,0.1808,0.3254,0.00273,0.003268,0.006117,0.0002589,0.0008516
0.691,1.179,0.1442,0.3288,0.5949,0.004972,0.005438,0.02371,0.0004306,0.003787
0.731,1.38,0.1598,0.375,0.6854,0.005694,0.004594,0.06376,0.0003652,0.01065
0.771,1.307,0.1401,0.3428,0.6358,0.005228,0.002065,0.1039,0.0001647,0.01721
0.811,1.08,0.1077,0.2764,0.5121,0.004432,0.000577,0.1171,4.725e-05,0.01884
0.851,1.138,0.09573,0.2778,0.4912,0.005713,0.0001891,0.2021,1.829e-05,0.0313
0.891,2.427,0.1854,0.5791,0.9821,0.0137,0.000609,0.5236,7.42e-05,0.07712
0.931,5.133,0.4179,1.259,2.105,0.02928,0.003682,1.007,0.0004643,0.1368
0.971,8.547,0.7795,2.186,3.621,0.04937,0.01338,1.359,0.001738,0.1643
1.011,11.51,1.149,3.018,4.951,0.06883,0.02734,1.546,0.003669,0.1643
1.051,11.87,1.214,3.091,4.995,0.07432,0.03091,1.677,0.004292,0.1642
1.091,9.227,0.9051,2.325,3.664,0.06142,0.019,1.654,0.00271,0.1528
1.131,6.713,0.6085,1.639,2.499,0.04752,0.006327,1.486,0.000968,0.126
1.171,5.628,0.4913,1.372,2.059,0.04021,0.001579,1.308,0.000464,0.1044
1.211,4.674,0.4195,1.165,1.759,0.03387,0.002633,0.9943,0.001754,0.09703
1.251,4.821,0.4744,1.252,1.932,0.03907,0.008979,0.7977,0.00677,0.1466
1.291,7.123,0.7378,1.86,2.875,0.0639,0.01895,1.096,0.01462,0.2756
1.331,9.922,1.039,2.511,3.849,0.09613,0.02609,1.748,0.01863,0.4846
1.371,12.52,1.312,3.053,4.694,0.1285,0.02892,2.499,0.01701,0.776
1.411,15.95,1.683,3.853,6.013,0.1606,0.03373,3.202,0.01686,1.177
1.451,19.4,2.018,4.61,7.244,0.1771,0.04114,4.113,0.02447,2.089
1.491,21.3,1.941,4.375,6.888,0.1653,0.04276,6.748,0.0419,4.668
1.531,23.68,1.637,3.528,5.579,0.1515,0.03867,11.75,0.05933,9.15
1.571,27.58,1.498,3.067,4.898,0.157,0.03451,16.94,0.06522,13.66
1.611,32.8,1.583,3.252,5.203,0.1723,0.03688,21.5,0.08078,17.86
1.651,36.1,1.776,3.751,5.983,0.1831,0.04526,23.19,0.1616,19.55
1.691,32.27,1.909,4.06,6.463,0.1815,0.05602,18.4,0.4918,14.74
1.731,25.73,1.965,4.081,6.44,0.177,0.07591,11.79,1.517,7.24
1.771,23.33,1.999,3.888,6.055,0.181,0.09991,9.914,3.813,2.682
1.811,26.11,2.087,3.649,5.652,0.2044,0.1175,13.15,7.789,0.9605
1.851,32.45,2.248,3.609,5.559,0.2468,0.1336,19.35,13.43,0.4126
1.891,39.24,2.368,3.71,5.628,0.2818,0.1507,25.66,19.33,0.2605
1.931,41.55,2.476,4.055,5.964,0.29,0.175,27.12,21.13,0.2193
1.971,39.88,3.072,5.491,7.739,0.3184,0.2307,21.17,15.64,0.2002
2.011,40.14,4.286,7.982,10.88,0.408,0.3313,13.76,7.86,0.1995
2.051,41.44,5.243,9.63,12.76,0.4976,0.4182,9.869,3.235,0.2043
2.091,38.55,5.283,9.209,11.85,0.5135,0.4049,8.3,1.569,0.1933
2.131,33.15,4.837,7.854,9.856,0.4806,0.311,7.132,0.8274,0.1823
2.171,29.72,4.482,6.997,8.677,0.4535,0.2333,6.375,0.3922,0.186
2.211,28.53,4.269,6.759,8.339,0.4377,0.2051,6.049,0.2159,0.1971
2.251,30.09,4.431,7.231,8.877,0.4587,0.216,6.239,0.1888,0.2209
2.291,35.48,5.309,8.627,10.47,0.5564,0.2705,7.099,0.224,0.2662
2.331,41.34,6.487,10.1,12.06,0.6859,0.3406,8.014,0.2576,0.3211
2.371,42.74,7.022,10.38,12.24,0.7443,0.3814,8.23,0.2594,0.3474
2.411,38.79,6.581,9.176,10.77,0.7035,0.3875,7.808,0.2476,0.3221
2.451,33.45,5.799,7.503,8.849,0.6417,0.385,7.447,0.2347,0.2912
2.491,29.52,5.018,6.238,7.509,0.5873,0.3664,7.369,0.2075,0.3607
2.531,27.74,4.506,5.774,6.99,0.5426,0.3148,7.256,0.1526,0.6073
2.571,29.96,4.915,6.578,7.678,0.5635,0.282,7.147,0.1059,0.9325
2.611,35.35,6.016,8.256,9.257,0.6381,0.3134,7.327,0.1091,1.156
2.651,41.09,7.089,9.889,10.82,0.7128,0.3756,7.936,0.1547,1.261
2.691,44.8,7.843,10.84,11.69,0.7684,0.4131,8.548,0.1999,1.379
2.731,45.95,8.273,11.11,11.77,0.7998,0.4038,8.804,0.2163,1.854
2.771,46.78,8.665,11.23,11.67,0.8395,0.374,9.108,0.2086,2.977
2.811,49.77,9.372,11.66,12.01,0.9261,0.3696,10.28,0.2071,4.874
2.851,55.2,10.37,12.24,12.66,1.056,0.4276,12.97,0.2532,7.651
2.891,62.92,11.58,12.86,13.47,1.214,0.5318,17.4,0.3476,11.77
2.931,70.17,12.6,13.49,14.25,1.332,0.5932,21.71,0.4625,15.97
2.971,69.93,12.41,13.5,14.27,1.291,0.5537,21.62,0.6085,16.07
3.011,62.43,11.36,12.74,13.46,1.172,0.4751,17.35,0.9949,11.67
3.051,54.74,10.44,11.57,12.28,1.11,0.4325,13.4,2.045,6.6
3.091,51.37,9.846,10.68,11.37,1.08,0.4223,12.69,4.197,3.566
3.131,53.31,9.636,10.55,11.19,1.063,0.4199,15.09,7.917,2.223
3.171,57.86,9.742,10.61,11.24,1.07,0.4113,19.32,13.05,1.692
3.211,61.68,10.18,10.46,11.17,1.131,0.3995,22.87,17.45,1.386
3.251,63.94,11.41,10.71,11.59,1.311,0.4196,22.83,17.74,1.232
3.291,62.6,12.68,11.12,12.18,1.492,0.4662,18.78,13.45,1.195
3.331,57.28,12.8,10.98,12.1,1.505,0.4995,13.54,7.93,1.109
3.371,52.81,12.66,10.76,11.77,1.466,0.5421,9.733,3.992,1.025
3.411,51.87,13.33,10.81,11.79,1.534,0.6148,7.72,1.964,1.037
3.451,52.54,14.37,10.88,11.92,1.669,0.6802,6.779,1.134,1.111
3.491,54.95,15.64,11.27,12.46,1.837,0.7247,6.465,0.7959,1.194
3.531,58.04,16.57,11.89,13.22,1.949,0.7605,6.711,0.6527,1.309
3.571,59.56,16.78,12.15,13.58,1.956,0.7961,7.176,0.6218,1.593
3.611,59.92,16.84,11.85,13.46,1.955,0.8167,8.047,0.6394,2.475
3.651,60.06,16.8,11.09,12.88,1.958,0.8141,9.868,0.6634,4.527
3.691,60.51,16.37,10.38,12.09,1.912,0.7901,12.57,0.6741,7.68
3.731,61.63,15.8,10.09,11.62,1.837,0.7548,15.19,0.7022,10.74
3.771,61.49,15.27,9.864,11.38,1.76,0.7162,16.25,0.8244,11.94
3.811,56.48,14.29,8.904,10.56,1.61,0.6554,14.61,1.063,10.34
3.851,47.36,13,7.285,9.028,1.41,0.579,11.07,1.499,6.841
3.891,38.89,12.05,5.747,7.456,1.283,0.5081,7.677,2.222,3.251
3.931,33.36,11.24,4.589,6.176,1.217,0.4407,6.185,3.336,1.122
3.971,28.73,9.531,3.536,4.866,1.061,0.3581,6.571,4.998,0.3344
4.011,23.22,6.965,2.47,3.438,0.7949,0.2666,7.24,6.338,0.1058
4.051,15.78,4.312,1.464,2.061,0.5019,0.1732,6.002,5.517,0.03496
4.091,7.676,2.042,0.6422,0.923,0.2425,0.08431,3.145,2.938,0.01072
4.131,2.387,0.6482,0.1842,0.2721,0.07836,0.0272,0.993,0.9334,0.002531
4.171,0.4484,0.1261,0.0323,0.04893,0.01546,0.005434,0.1851,0.1745,0.0003836
4.211,0.04896,0.01421,0.003326,0.005134,0.001762,0.0006387,0.02008,0.01895,3.381e-05
4.251,0.002994,0.0008889,0.0001945,0.0003035,0.0001109,4.165e-05,0.00122,0.001153,1.668e-06
