r_A,g_PS,g_SS,g_LiS,g_LiCl,g_ClCl
5.07500,1.45217,0.45380,0.81684,0.72608,0.00000
5.12500,2.22495,0.40049,1.02348,1.15698,0.00000
5.17500,1.83302,0.48008,1.00380,1.57116,0.00000
5.22500,1.79811,0.55656,0.83483,1.36999,0.00000
5.27500,1.84819,0.58806,0.98710,0.84009,0.00000
5.32500,1.89608,0.57707,0.96865,0.90682,0.00000
5.37500,1.78006,0.36410,1.07208,1.13276,0.64729
5.42500,1.27083,0.31771,0.85384,1.11198,0.63542
5.47500,2.57344,0.50689,1.26722,1.63764,0.62386
5.52500,1.22525,0.19144,1.32097,0.61262,0.00000
5.57500,1.35379,0.63929,1.20337,1.05295,0.00000
5.62500,1.47759,0.62797,1.45912,1.55147,0.59104
5.67500,1.37908,0.43550,1.36094,1.45167,0.00000
5.72500,1.28378,0.46359,1.28378,1.71170,0.57057
5.77500,0.70091,0.80605,0.99880,1.33174,0.56073
5.82500,0.82672,0.75783,1.01618,1.51565,0.00000
5.87500,1.48996,0.54180,0.86350,1.35451,0.00000
5.92500,0.86564,0.83234,1.03210,1.46492,0.53270
5.97500,0.78573,0.62204,1.03127,1.37503,0.00000
6.02500,1.22351,0.96593,0.94983,1.60988,0.51516
6.07500,0.95010,1.26679,0.83925,1.64683,1.01343
6.12500,0.81003,1.05927,1.02811,1.68236,0.99696
6.17500,0.42913,1.13414,0.99620,1.10349,1.96175
6.22500,0.66356,1.02551,1.17632,1.38745,0.48259
6.27500,0.65303,1.45448,1.09828,1.12796,0.47493
6.32500,0.64275,1.16863,0.90569,1.51922,0.46745
6.37500,0.40263,1.38045,1.03533,0.80526,0.92030
6.42500,0.56627,1.38736,0.79278,0.96266,1.81206
6.47500,0.27878,1.61691,0.83633,0.94785,2.23023
6.52500,0.71376,1.31771,0.97455,0.93338,1.31771
6.57500,0.32444,1.43292,0.94627,0.91923,1.29774
6.62500,0.63911,1.83745,1.02524,0.74563,0.85215
6.67500,0.31479,1.39031,0.69516,0.94436,1.25915
6.72500,0.67193,1.16296,0.85284,0.51687,0.82700
6.77500,0.45834,1.34957,0.73844,0.96762,2.44451
6.82500,1.05386,1.60588,0.95349,0.70257,3.21176
6.87500,0.54402,1.45897,0.75421,0.84076,1.97826
6.92500,0.73117,1.60858,0.68243,0.53619,1.16988
6.97500,0.57658,1.51353,0.87689,0.57658,0.76878
7.02500,0.89997,1.13681,0.66314,0.52104,1.13681
7.07500,1.02740,1.28425,0.85227,0.84060,1.12080
7.12500,1.05907,1.15117,0.66768,0.64465,1.10512
7.17500,0.95355,1.27140,0.63570,0.40866,0.36326
7.22500,0.94040,0.82845,0.96279,0.62693,1.43299
7.27500,1.10419,0.90543,0.80606,0.79501,1.06002
7.32500,1.69910,1.06738,0.83866,0.87133,0.34853
7.37500,1.46125,0.81658,0.81658,0.73062,1.37529
7.42500,0.80562,0.93282,0.84802,0.63601,1.35683
7.47500,1.25507,1.17140,1.07727,0.83671,1.67342
7.52500,1.23844,0.84627,1.12492,1.19716,0.66050
7.57500,0.85550,0.81477,1.03883,0.69255,0.97772
7.62500,1.36700,0.80412,1.04535,0.72370,0.32165
7.67500,1.26988,0.79367,1.07146,1.11114,0.95241
7.72500,1.25349,1.03805,1.02825,0.82260,0.94012
7.77500,1.62412,1.06341,1.14075,0.92807,2.16549
7.82500,1.10713,0.82080,1.12622,0.95442,0.91624
7.87500,1.47005,0.99888,1.18735,1.24389,0.30155
7.92500,1.41434,0.87466,1.10728,1.45156,0.59551
7.97500,1.13938,0.82697,1.12100,1.28640,1.17613
