case_id,campaign,am_wt,se_wt,p_vol,s_vol,n_AM_P,r_AM_P_um,n_AM_S,r_AM_S_um,n_SE,r_SE_um,scale,porosity_pct
input_6mAh_real_4,후막(6mAh),82.0,18.0,7.0,3.0,126,6000.0,1372,2000.0,158688,500.0,1000,14.276
input_6mAh_real_5,후막(6mAh),82.0,18.0,10.0,0.0,175,6000.0,,,158730,500.0,1000,16.254
input_6mAh_real_6,후막(6mAh),82.0,18.0,0.0,10.0,,,4584,2000.0,5880,1500.0,1000,20.894
input_6mAh_real_7,후막(6mAh),82.0,18.0,3.0,7.0,52,6000.0,3209,2000.0,5879,1500.0,1000,17.794
input_6mAh_real_8,후막(6mAh),82.0,18.0,5.0,5.0,87,6000.0,2291,2000.0,5879,1500.0,1000,15.927
input_6mAh_real_9,후막(6mAh),82.0,18.0,7.0,3.0,120,6000.0,1376,2000.0,5878,1500.0,1000,15.494
input_8mAh_1,후막(8mAh),75.0,25.0,3.0,7.0,124,5000.0,2203,2500.0,314318,500.0,1000,18.855
input_8mAh_2,후막(8mAh),76.0,24.0,5.0,5.0,209,5000.0,1568,2500.0,314322,500.0,1000,18.221
input_8mAh_3,후막(8mAh),75.0,25.0,7.0,3.0,283,5000.0,941,2500.0,314314,500.0,1000,17.963
input_8mAh_4,후막(8mAh),80.0,20.0,3.0,7.0,127,5000.0,2198,2500.0,235498,500.0,1000,17.805
input_8mAh_5,후막(8mAh),80.0,20.0,5.0,5.0,207,5000.0,1565,2500.0,235493,500.0,1000,16.609
input_8mAh_5_AMP,후막(8mAh),80.0,20.0,10.0,0.0,394,5000.0,,,235493,500.0,1000,16.37
input_8mAh_5_AMS,후막(8mAh),80.0,20.0,0.0,10.0,,,3141,2500.0,235510,500.0,1000,18.924
input_8mAh_6,후막(8mAh),80.0,20.0,7.0,3.0,287,5000.0,937,2500.0,235497,500.0,1000,16.296
input_8mAh_7,후막(8mAh),85.0,15.0,3.0,7.0,120,5000.0,2197,2500.0,166081,500.0,1000,17.468
input_8mAh_8,후막(8mAh),85.0,15.0,5.0,5.0,197,5000.0,1570,2500.0,166078,500.0,1000,16.771
input_8mAh_8_AMP,후막(8mAh),85.0,15.0,10.0,0.0,393,5000.0,,,166077,500.0,1000,17.681
input_8mAh_8_AMS,후막(8mAh),85.0,15.0,0.0,10.0,,,3138,2500.0,166085,500.0,1000,19.831
input_8mAh_9,후막(8mAh),85.0,15.0,7.0,3.0,277,5000.0,940,2500.0,166067,500.0,1000,15.718
input_8mAh_real40_2,후막(8mAh),82.0,18.0,3.0,7.0,46,6000.0,2749,2000.0,136043,500.0,1000,17.537
input_8mAh_real40_4,후막(8mAh),82.0,18.0,7.0,3.0,103,6000.0,1178,2000.0,136011,500.0,1000,15.237
input_8mAh_real40_7,후막(8mAh),82.0,18.0,3.0,7.0,44,6000.0,2705,2000.0,4961,1500.0,1000,17.141
input_8mAh_real40_9,후막(8mAh),82.0,18.0,7.0,3.0,101,6000.0,1158,2000.0,4961,1500.0,1000,14.318
