"# Li MSD (A^2) vs time, MLIP-MD. Common 0-199 ps @ 1 ps grid (linear interpolation, display only)."
"# D = slope/6 over 2-50 ps. Raw single-seed MSD = ILLUSTRATIVE HIERARCHY ONLY. Quantitative D/Ea/sigma: the multiseed *_md_arrhenius.json files."
"# LPSCl1.6 600K ← d0.00_cfg0/T600/msd.json (D=1.4151e-05 cm2/s, traj 200 ps)"
"# LPSCl1.6 800K ← d0.00_cfg0/T800/msd.json (D=1.8611e-05 cm2/s, traj 200 ps)"
"# LPSCl1.6 1000K ← d0.00_cfg0/T1000/msd.json (D=4.2178e-05 cm2/s, traj 200 ps)"
"# b2o3 600K ← d0.00_cfg0/T600/msd.json (D=1.1196e-05 cm2/s, traj 200 ps)"
"# b2o3 800K ← d0.00_cfg0/T800/msd.json (D=2.4137e-05 cm2/s, traj 200 ps)"
"# b2o3 1000K ← d0.00_cfg0/T1000/msd.json (D=4.2671e-05 cm2/s, traj 200 ps)"
t_ps,LPSCl_600K,LPSCl_800K,LPSCl_1000K,lpsocl_600K,lpsocl_800K,lpsocl_1000K,LPSCl1.6_600K,LPSCl1.6_800K,LPSCl1.6_1000K,b2o3_600K,b2o3_800K,b2o3_1000K
72.0,9.960,41.514,105.295,29.245,104.573,196.399,49.301,87.683,172.389,49.415,106.669,187.824
73.0,9.329,41.805,110.688,28.913,114.026,198.220,47.387,92.203,160.184,50.836,111.951,186.804
74.0,8.644,45.186,112.886,29.561,102.293,194.855,45.562,92.723,161.330,48.421,110.758,198.302
75.0,7.044,42.137,114.056,29.444,101.455,195.607,47.062,100.188,158.537,51.811,110.912,197.360
76.0,7.527,43.354,113.992,31.934,107.794,194.403,45.514,97.707,161.399,54.469,110.558,206.930
77.0,8.415,40.211,106.945,36.153,109.257,193.090,48.293,96.755,171.324,53.530,116.210,197.693
78.0,7.349,39.951,115.454,37.609,106.138,194.581,49.317,98.359,172.836,54.073,124.618,199.194
79.0,9.088,38.384,117.499,40.379,108.115,197.556,44.382,92.660,177.183,54.063,128.193,194.832
80.0,7.824,42.248,119.157,43.366,111.589,208.513,44.724,103.564,179.848,55.066,132.015,194.311
81.0,8.684,41.551,118.725,45.159,120.335,207.016,48.388,115.019,184.230,54.355,135.007,198.316
82.0,8.949,41.234,114.108,44.566,114.909,198.683,47.855,110.019,196.806,58.357,139.851,192.479
83.0,8.110,41.093,117.102,52.627,118.892,198.036,44.752,103.048,196.422,53.842,143.086,188.769
84.0,8.200,37.581,127.414,51.332,133.275,190.350,51.125,103.504,200.816,55.126,152.758,205.845
85.0,8.522,39.122,136.225,51.809,126.238,184.579,49.918,108.690,203.436,55.115,152.117,208.010
86.0,8.647,38.808,137.172,55.488,134.568,172.244,48.146,117.144,203.916,54.652,154.249,202.778
87.0,9.783,39.261,144.944,55.372,129.521,169.024,47.829,115.633,215.861,57.995,155.287,210.835
88.0,10.035,40.342,145.834,53.132,127.478,180.507,44.562,121.666,212.326,61.140,154.769,212.128
89.0,10.038,44.857,144.550,54.229,124.815,173.311,45.657,127.730,214.162,60.063,151.697,213.522
90.0,10.357,41.571,137.848,55.193,126.068,179.320,47.823,143.522,212.384,55.193,154.564,211.634
91.0,11.856,39.142,128.402,56.188,121.663,188.912,48.726,143.239,235.949,56.323,154.026,214.383
92.0,12.057,42.835,133.434,53.033,124.577,191.702,49.642,143.860,233.549,60.549,157.601,222.820
93.0,12.179,41.474,141.666,59.690,130.564,192.111,51.831,137.671,236.520,63.702,160.450,230.431
94.0,12.075,42.463,149.625,56.135,128.584,201.150,50.686,136.653,239.747,63.937,164.443,230.439
95.0,13.039,46.419,146.177,62.283,128.204,197.212,51.260,136.224,239.969,66.493,171.186,239.983
96.0,10.475,51.871,147.353,63.374,116.023,198.114,53.251,137.599,243.736,66.997,174.406,237.506
97.0,10.043,48.984,141.726,66.645,116.837,203.884,50.878,134.561,252.111,67.830,184.966,234.075
98.0,10.561,49.779,140.357,63.798,118.797,195.111,48.617,132.242,262.276,68.837,183.795,242.594
99.0,10.377,48.275,140.267,68.119,119.333,192.929,51.640,132.882,240.431,69.834,184.517,253.807
100.0,10.160,45.262,144.089,78.372,118.852,203.863,50.294,134.086,249.520,73.212,182.278,256.796
101.0,10.878,41.944,139.832,76.558,113.521,204.433,52.513,142.121,261.393,78.200,177.635,265.322
102.0,10.491,46.615,143.721,80.510,116.812,207.530,55.329,143.885,263.743,75.697,184.434,261.576
103.0,10.734,47.227,132.888,79.694,116.419,212.946,57.835,143.632,263.566,78.119,187.688,269.213
104.0,10.350,49.035,150.688,81.843,114.293,226.709,56.131,145.649,282.344,76.954,187.452,272.234
105.0,10.553,48.235,160.301,80.819,127.480,225.457,53.498,147.308,297.696,80.357,180.987,274.374
106.0,12.431,49.530,158.991,84.620,124.277,214.709,53.330,149.939,288.104,80.304,174.403,268.089
107.0,12.893,50.885,160.792,82.131,123.600,228.320,55.576,141.640,284.754,76.138,180.352,278.072
108.0,12.188,48.057,157.135,82.277,124.217,223.532,54.902,134.281,282.613,84.378,177.030,269.384
109.0,13.945,46.457,159.416,80.365,124.163,228.921,57.541,127.714,269.532,82.310,172.296,277.427
110.0,13.319,45.233,153.242,80.572,121.315,248.283,52.089,132.239,268.909,79.749,170.173,290.126
111.0,12.288,49.404,157.770,76.163,125.183,261.364,53.605,132.306,270.438,81.476,177.150,293.893
112.0,13.245,48.190,161.851,81.186,124.020,255.807,55.316,147.114,286.921,88.074,171.645,299.031
113.0,13.606,44.690,168.557,81.162,123.731,277.528,54.447,147.392,297.187,90.758,179.108,305.294
114.0,14.189,45.984,181.938,87.502,129.006,286.296,53.424,150.720,291.917,91.075,183.961,308.389
115.0,12.119,47.671,174.786,86.665,124.274,280.856,54.703,154.909,295.097,92.099,184.530,306.620
116.0,12.355,50.247,190.822,85.156,129.339,286.714,60.739,152.568,298.229,88.108,187.109,306.076
117.0,12.086,49.031,186.921,86.289,136.006,299.042,59.149,151.217,311.324,90.250,189.636,318.390
118.0,12.710,49.590,183.767,83.320,136.942,302.061,60.941,157.843,306.176,91.627,193.278,323.868
119.0,12.615,49.945,191.348,83.661,139.720,302.888,65.881,158.571,321.857,88.503,192.672,313.558
120.0,13.030,51.277,195.828,86.038,145.052,305.137,68.275,155.137,326.096,91.266,198.013,316.133
121.0,12.950,49.513,208.745,85.700,144.378,305.835,70.176,154.407,334.974,92.452,195.640,326.363
122.0,13.214,55.901,206.974,87.825,144.231,303.548,66.457,154.570,338.509,91.633,191.814,335.335
123.0,12.208,54.023,206.306,84.877,145.701,297.087,67.508,155.091,350.012,92.858,192.818,339.578
124.0,12.457,51.630,219.837,86.148,142.396,290.715,68.158,156.917,348.989,98.339,189.424,334.542
125.0,11.719,52.557,209.673,89.252,136.625,294.559,71.242,152.389,358.698,95.857,190.655,342.439
126.0,11.941,51.266,204.782,93.067,133.972,284.728,72.342,162.866,357.991,97.557,193.027,353.686
127.0,11.865,50.168,214.860,93.591,132.993,288.205,71.227,160.073,393.030,98.017,188.020,344.438
128.0,12.622,52.078,214.065,95.974,127.214,290.897,73.160,167.147,386.958,100.145,191.856,346.310
129.0,12.353,52.470,212.322,97.670,139.726,302.387,71.326,164.499,398.807,97.272,194.075,353.579
130.0,11.823,55.398,210.871,101.182,137.196,302.352,71.247,171.541,404.860,98.005,203.325,353.418
131.0,13.236,54.764,219.285,106.045,144.558,303.446,70.445,163.051,409.440,97.153,205.824,356.675
132.0,13.467,56.329,219.646,103.514,143.643,309.830,72.479,172.791,387.333,98.913,207.992,358.713
133.0,11.515,61.826,210.387,103.663,141.210,317.807,73.222,167.956,396.196,98.635,210.419,360.920
134.0,13.586,61.734,207.966,105.181,144.533,327.072,70.116,165.801,410.787,94.933,213.678,364.684
135.0,13.648,59.278,213.979,103.364,143.134,328.027,74.061,176.845,411.356,102.653,215.640,365.818
136.0,14.347,60.936,221.660,107.912,135.832,325.990,79.759,181.002,415.433,101.653,211.852,371.747
137.0,14.286,63.562,233.260,108.888,129.512,340.454,80.992,181.589,414.733,105.533,211.496,385.852
138.0,14.205,64.756,228.214,113.291,126.324,338.050,83.926,179.575,409.898,107.022,213.424,384.754
139.0,14.215,60.767,225.634,112.803,121.966,342.517,80.770,181.413,410.537,106.595,216.955,394.555
140.0,14.504,61.704,232.143,116.640,122.436,348.554,82.282,197.493,409.471,109.330,217.837,399.078
141.0,15.514,55.524,229.078,112.239,123.443,344.859,82.189,187.220,426.451,107.708,216.487,407.234
142.0,14.313,58.809,243.645,115.626,129.016,352.887,78.814,189.454,428.348,109.849,220.753,418.833
143.0,13.745,57.829,243.037,109.627,138.876,341.464,79.075,198.305,416.291,109.105,227.724,418.378
144.0,13.710,59.175,248.388,108.579,137.100,343.119,77.716,196.482,430.995,109.125,230.216,424.566
145.0,14.359,58.041,249.487,109.386,138.712,338.479,79.558,201.555,431.285,113.946,227.213,417.958
146.0,15.203,57.967,253.475,116.033,134.545,351.091,78.916,199.101,439.915,113.126,224.849,421.089
147.0,15.633,57.664,260.875,117.166,135.567,355.126,80.662,211.599,437.325,112.826,228.885,431.377
148.0,14.745,56.662,246.751,111.151,130.467,348.483,77.633,212.242,427.572,113.443,232.018,440.182
149.0,13.853,55.557,263.827,117.947,129.414,365.725,81.346,215.738,429.295,110.912,235.247,434.601
150.0,13.906,51.976,269.787,120.159,125.640,361.640,79.191,215.524,429.734,115.875,235.344,442.358
151.0,13.438,54.916,271.795,120.514,120.838,373.748,80.627,212.043,443.549,115.072,242.953,440.951
152.0,12.607,50.930,280.648,121.271,121.598,369.603,82.153,216.504,454.356,118.615,239.820,436.545
153.0,14.606,49.273,284.690,128.399,121.604,383.940,82.471,218.217,444.482,116.639,238.070,444.329
154.0,13.900,49.518,275.708,125.171,127.149,377.671,79.449,222.412,461.596,115.968,236.367,454.176
155.0,13.585,50.444,273.984,135.366,128.926,379.844,79.707,225.873,453.395,118.705,241.172,464.412
156.0,13.552,49.881,276.338,139.164,134.865,422.105,75.787,222.276,467.047,118.591,236.368,458.019
157.0,14.120,53.719,273.890,140.217,138.201,397.234,81.185,230.419,484.478,116.238,242.707,457.821
158.0,13.830,59.748,266.973,139.368,131.754,398.714,78.298,233.755,481.738,117.895,237.189,482.355
159.0,17.616,64.969,262.742,139.283,131.701,394.071,83.639,219.962,478.298,114.631,238.446,491.258
160.0,15.826,64.824,252.771,136.980,139.745,398.134,81.628,233.466,476.378,116.511,246.905,479.885
161.0,15.989,68.285,265.524,139.195,141.451,388.005,82.342,227.775,491.016,117.241,240.787,496.186
162.0,14.854,68.290,259.220,137.819,147.977,397.289,85.022,236.461,474.053,121.340,248.350,488.785
163.0,15.742,68.714,268.530,137.797,149.671,402.547,92.204,228.835,487.618,117.440,241.856,503.969
164.0,15.474,66.755,269.187,141.232,150.446,401.955,88.776,245.196,488.248,124.094,254.489,499.548
165.0,14.851,69.746,271.312,150.157,153.653,402.502,89.914,260.306,495.143,121.502,251.225,509.602
166.0,13.664,68.240,281.857,147.047,154.544,407.073,90.511,268.621,504.980,120.152,254.025,506.945
167.0,13.590,71.641,267.579,150.546,163.358,407.689,94.312,268.623,494.764,119.739,253.949,533.878
168.0,13.994,65.298,265.337,147.250,159.319,409.517,97.796,278.144,481.558,120.482,251.004,542.234
169.0,14.707,63.785,269.692,147.578,162.613,416.951,96.550,270.857,514.963,121.779,256.912,536.805
170.0,14.744,65.805,282.917,145.847,165.352,411.441,98.082,287.288,546.301,117.495,259.788,548.039
171.0,15.487,64.192,287.695,149.904,171.857,406.311,96.892,286.955,564.707,122.544,258.291,556.608
172.0,14.109,60.103,283.926,151.031,172.591,415.327,97.778,294.926,574.293,121.638,257.016,558.424
173.0,13.462,65.969,277.239,144.321,167.922,412.500,98.328,289.491,562.202,116.262,262.562,549.965
174.0,12.730,65.263,287.093,150.291,165.639,422.699,102.748,300.577,550.253,116.212,272.993,556.318
175.0,13.204,64.600,281.003,151.820,178.480,414.300,102.180,302.987,579.415,115.305,276.249,564.550
176.0,13.601,68.910,300.077,151.702,174.298,410.976,103.942,308.535,587.396,115.873,275.196,554.069
177.0,14.583,63.798,311.377,158.127,173.241,420.891,105.934,309.105,589.334,118.458,280.693,560.710
178.0,15.816,59.802,323.682,156.877,174.269,432.891,108.832,302.143,598.870,120.584,281.890,576.957
179.0,14.519,61.776,326.834,157.691,184.615,445.650,105.243,299.374,609.891,119.919,277.019,590.441
180.0,14.791,64.047,327.262,150.465,178.171,433.297,106.449,292.552,616.693,119.877,289.215,599.577
181.0,16.353,66.035,334.543,146.258,180.145,441.346,107.568,284.627,614.394,119.528,276.857,580.988
182.0,16.436,72.214,319.869,148.248,183.092,440.779,113.116,294.035,610.201,122.570,275.233,586.746
183.0,16.455,71.574,314.180,147.027,183.902,434.067,110.721,295.698,611.669,122.691,268.210,593.443
184.0,16.855,75.865,314.124,150.217,191.524,436.442,105.938,295.764,617.397,121.406,280.264,589.790
185.0,17.835,71.024,313.005,153.541,192.978,444.348,112.900,284.603,628.192,122.571,290.176,595.149
186.0,17.107,73.291,312.349,148.682,191.847,456.839,110.035,275.952,617.668,120.053,287.105,601.426
187.0,17.844,73.785,325.076,149.545,197.701,458.400,112.618,284.999,625.533,124.314,293.526,609.056
188.0,17.483,78.698,329.203,152.608,201.283,470.961,111.808,289.348,644.218,120.072,301.836,603.908
189.0,18.044,79.452,328.033,154.807,199.548,466.092,110.008,293.987,658.818,120.625,299.013,613.212
190.0,17.597,82.387,345.419,150.015,194.965,462.077,115.989,299.439,646.343,121.271,304.666,624.865
191.0,17.403,80.861,338.138,144.322,196.126,460.829,112.991,292.122,649.110,124.276,308.428,649.587
192.0,17.243,78.422,343.423,148.232,192.540,461.069,115.903,300.349,644.390,123.571,314.132,645.622
193.0,16.931,80.508,348.543,148.568,190.875,457.243,113.190,306.749,677.440,123.787,322.766,664.107
194.0,16.965,81.939,361.579,147.504,181.711,476.093,114.712,303.814,656.638,122.328,318.660,687.312
195.0,18.679,82.027,366.157,147.844,185.778,463.687,118.430,302.787,676.945,128.670,325.314,685.746
196.0,18.537,81.303,348.983,150.297,184.815,454.852,118.259,308.886,657.892,123.093,322.118,694.963
197.0,15.935,79.953,341.504,150.592,185.559,436.817,118.245,314.601,649.843,125.482,318.190,712.603
198.0,15.697,77.628,359.840,148.718,189.583,461.040,113.258,307.363,646.010,123.456,325.889,706.140
199.0,16.072,78.906,361.415,152.524,190.986,461.260,110.356,316.040,656.187,122.689,330.449,720.197
