# SEI decomposition phases — DOS / PDOS — total DOS as plotted (Gaussian 0.1 eV, E referenced to each phase's own VBM). Gaps are fixed-occ nscf eigenvalues, NOT read off these curves. QE/PBE — our calculation, do not mix with Materials Project values.
E_minus_VBM_eV,licl_DOS_states_per_eV,li3po4_DOS_states_per_eV,li3po4g_DOS_states_per_eV,li2o_DOS_states_per_eV,li2s_DOS_states_per_eV,li3p_DOS_states_per_eV
-7.570,5.739e-85,1.1318e-08,0.00015552,2.623e-85,2.623e-85,1.3069e-25
-7.560,5.739e-85,2.1976e-08,0.00023336,2.623e-85,2.623e-85,3.0535e-26
-7.550,5.739e-85,4.1917e-08,0.00034604,2.623e-85,2.623e-85,6.9841e-27
-7.540,5.739e-85,7.8564e-08,0.00050734,2.623e-85,2.623e-85,1.5635e-27
-7.530,5.739e-85,1.4474e-07,0.0007358,2.623e-85,2.623e-85,3.426e-28
-7.520,5.739e-85,2.6218e-07,0.0010561,2.623e-85,2.623e-85,7.3471e-29
-7.510,5.739e-85,4.6708e-07,0.0015007,2.623e-85,2.623e-85,1.5422e-29
-7.500,5.739e-85,8.1872e-07,0.0021124,2.623e-85,2.623e-85,3.1694e-30
-7.490,5.739e-85,1.4122e-06,0.0029462,2.623e-85,2.623e-85,6.3741e-31
-7.480,5.739e-85,2.3984e-06,0.0040733,2.623e-85,2.623e-85,1.2547e-31
-7.470,5.739e-85,4.0116e-06,0.0055841,2.623e-85,2.623e-85,2.4166e-32
-7.460,5.739e-85,6.6112e-06,0.0075932,2.623e-85,2.623e-85,4.5562e-33
-7.450,5.739e-85,1.074e-05,0.010244,2.623e-85,2.623e-85,8.4068e-34
-7.440,5.739e-85,1.7204e-05,0.013716,2.623e-85,2.623e-85,1.518e-34
-7.430,5.739e-85,2.7188e-05,0.018228,2.623e-85,2.623e-85,2.6831e-35
-7.420,5.739e-85,4.2406e-05,0.024051,2.623e-85,2.623e-85,4.6397e-36
-7.410,5.739e-85,6.531e-05,0.031511,2.623e-85,2.623e-85,7.8521e-37
-7.400,5.739e-85,9.9363e-05,0.041001,2.623e-85,2.623e-85,1.3003e-37
-7.390,5.739e-85,0.00014941,0.052989,2.623e-85,2.623e-85,2.1075e-38
-7.380,5.739e-85,0.00022212,0.068028,2.623e-85,2.623e-85,3.3428e-39
-7.370,5.739e-85,0.00032668,0.086765,2.623e-85,2.623e-85,5.188e-40
-7.360,5.739e-85,0.00047546,0.10995,2.623e-85,2.623e-85,7.8798e-41
-7.350,5.739e-85,0.0006851,0.13844,2.623e-85,2.623e-85,1.1709e-41
-7.340,5.739e-85,0.00097774,0.17322,2.623e-85,2.623e-85,1.703e-42
-7.330,5.739e-85,0.0013826,0.21537,2.623e-85,2.623e-85,2.4235e-43
-7.320,5.739e-85,0.0019377,0.26614,2.623e-85,2.623e-85,3.3743e-44
-7.310,5.739e-85,0.0026928,0.32684,2.623e-85,2.623e-85,4.5976e-45
-7.300,5.739e-85,0.0037113,0.39894,2.623e-85,2.623e-85,6.1299e-46
-7.290,5.739e-85,0.0050748,0.484,2.623e-85,2.623e-85,7.9973e-47
-7.280,5.739e-85,0.006886,0.58365,2.623e-85,2.623e-85,1.0207e-47
-7.270,5.739e-85,0.0092744,0.69961,2.623e-85,2.623e-85,1.2747e-48
-7.260,5.739e-85,0.012401,0.8336,2.623e-85,2.623e-85,1.5578e-49
-7.250,5.739e-85,0.016466,0.98737,2.623e-85,2.623e-85,1.863e-50
-7.240,5.739e-85,0.021713,1.1626,2.623e-85,2.623e-85,2.1794e-51
-7.230,5.739e-85,0.028441,1.3609,2.623e-85,2.623e-85,2.4951e-52
-7.220,5.739e-85,0.037008,1.5838,2.623e-85,2.623e-85,2.795e-53
-7.210,5.739e-85,0.047846,1.8325,2.623e-85,2.623e-85,3.0626e-54
-7.200,5.739e-85,0.061464,2.108,2.623e-85,2.623e-85,3.2836e-55
-7.190,5.739e-85,0.078463,2.4112,2.623e-85,2.623e-85,3.4453e-56
-7.180,5.739e-85,0.099546,2.7423,2.623e-85,2.623e-85,3.5361e-57
-7.170,5.739e-85,0.12552,3.1014,2.623e-85,2.623e-85,3.5507e-58
-7.160,5.739e-85,0.15732,3.488,2.623e-85,2.623e-85,3.4893e-59
-7.150,5.739e-85,0.19599,3.9013,2.623e-85,2.623e-85,3.3539e-60
-7.140,5.739e-85,0.24273,4.3399,2.623e-85,2.623e-85,3.1547e-61
-7.130,5.739e-85,0.29883,4.802,2.623e-85,2.623e-85,2.9027e-62
-7.120,5.739e-85,0.36575,5.2852,2.623e-85,2.623e-85,2.6134e-63
-7.110,5.739e-85,0.44506,5.7869,2.623e-85,2.623e-85,2.3015e-64
-7.100,5.739e-85,0.53844,6.3041,2.623e-85,2.623e-85,1.9837e-65
-7.090,5.739e-85,0.64766,6.8332,2.623e-85,2.623e-85,1.6726e-66
-7.080,5.739e-85,0.77459,7.3708,2.623e-85,2.623e-85,1.3795e-67
-7.070,5.739e-85,0.92111,7.9132,2.623e-85,2.623e-85,1.1134e-68
-7.060,5.739e-85,1.0891,8.4564,2.623e-85,2.623e-85,8.7889e-70
-7.050,5.739e-85,1.2805,8.997,2.623e-85,2.623e-85,6.7881e-71
-7.040,5.739e-85,1.4971,9.5313,2.623e-85,2.623e-85,5.1301e-72
-7.030,5.739e-85,1.7404,10.056,2.623e-85,2.623e-85,3.7926e-73
-7.020,5.739e-85,2.0119,10.568,2.623e-85,2.623e-85,2.7429e-74
-7.010,5.739e-85,2.3128,11.066,2.623e-85,2.623e-85,1.9409e-75
-7.000,5.739e-85,2.6438,11.546,2.623e-85,2.623e-85,1.3439e-76
-6.990,5.739e-85,3.0053,12.008,2.623e-85,2.623e-85,9.0998e-78
-6.980,5.739e-85,3.3972,12.451,2.623e-85,2.623e-85,6.0291e-79
-6.970,5.739e-85,3.8189,12.873,2.623e-85,2.623e-85,3.908e-80
-6.960,5.739e-85,4.2689,13.276,2.623e-85,2.623e-85,2.4782e-81
-6.950,5.739e-85,4.7454,13.659,2.623e-85,2.623e-85,1.5418e-82
-6.940,5.739e-85,5.2458,14.022,2.623e-85,2.623e-85,9.7587e-84
-6.930,5.739e-85,5.7666,14.367,2.623e-85,2.623e-85,9.8029e-85
-6.920,5.739e-85,6.3038,14.693,2.623e-85,2.623e-85,4.5848e-85
-6.910,5.739e-85,6.8526,15.002,2.623e-85,2.623e-85,4.2813e-85
-6.900,5.739e-85,7.4076,15.295,2.623e-85,2.623e-85,4.264e-85
-6.890,5.739e-85,7.9627,15.571,2.623e-85,2.623e-85,4.2631e-85
-6.880,5.739e-85,8.5116,15.829,2.623e-85,2.623e-85,4.263e-85
-6.870,5.739e-85,9.0472,16.07,2.623e-85,2.623e-85,4.263e-85
-6.860,5.739e-85,9.5625,16.292,2.623e-85,2.623e-85,4.263e-85
-6.850,5.739e-85,10.05,16.492,2.623e-85,2.623e-85,4.263e-85
-6.840,5.739e-85,10.503,16.67,2.623e-85,2.623e-85,4.263e-85
-6.830,5.739e-85,10.914,16.821,2.623e-85,2.623e-85,4.263e-85
-6.820,5.739e-85,11.277,16.943,2.623e-85,2.623e-85,4.263e-85
-6.810,5.739e-85,11.585,17.033,2.623e-85,2.623e-85,4.263e-85
-6.800,5.739e-85,11.834,17.085,2.623e-85,2.623e-85,4.263e-85
-6.790,5.739e-85,12.019,17.098,2.623e-85,2.623e-85,4.263e-85
-6.780,5.739e-85,12.136,17.067,2.623e-85,2.623e-85,4.263e-85
-6.770,5.739e-85,12.184,16.989,2.623e-85,2.623e-85,4.263e-85
-6.760,5.739e-85,12.161,16.86,2.623e-85,2.623e-85,4.263e-85
-6.750,5.739e-85,12.068,16.68,2.623e-85,2.623e-85,4.263e-85
-6.740,5.739e-85,11.905,16.446,2.623e-85,2.623e-85,4.263e-85
-6.730,5.739e-85,11.676,16.157,2.623e-85,2.623e-85,4.263e-85
-6.720,5.739e-85,11.384,15.814,2.623e-85,2.623e-85,4.263e-85
-6.710,5.739e-85,11.034,15.417,2.623e-85,2.623e-85,4.263e-85
-6.700,5.739e-85,10.631,14.969,2.623e-85,2.623e-85,4.263e-85
-6.690,5.739e-85,10.182,14.472,2.623e-85,2.623e-85,4.263e-85
-6.680,5.739e-85,9.6942,13.93,2.623e-85,2.623e-85,4.263e-85
-6.670,5.739e-85,9.1741,13.349,2.623e-85,2.623e-85,4.263e-85
-6.660,5.739e-85,8.6298,12.732,2.623e-85,2.623e-85,4.263e-85
-6.650,5.739e-85,8.0689,12.086,2.623e-85,2.623e-85,4.263e-85
-6.640,5.739e-85,7.4987,11.418,2.623e-85,2.623e-85,4.263e-85
-6.630,5.739e-85,6.9265,10.733,2.623e-85,2.623e-85,4.263e-85
-6.620,5.739e-85,6.359,10.039,2.623e-85,2.623e-85,4.263e-85
-6.610,5.739e-85,5.8023,9.3413,2.623e-85,2.623e-85,4.263e-85
-6.600,5.739e-85,5.2619,8.6474,2.623e-85,2.623e-85,4.263e-85
-6.590,5.739e-85,4.7424,7.963,2.623e-85,2.623e-85,4.263e-85
-6.580,5.739e-85,4.2479,7.2939,2.623e-85,2.623e-85,4.263e-85
-6.570,5.739e-85,3.7813,6.6451,2.623e-85,2.623e-85,4.263e-85
-6.560,5.739e-85,3.3451,6.0212,2.623e-85,2.623e-85,4.263e-85
-6.550,5.739e-85,2.9408,5.426,2.623e-85,2.623e-85,4.263e-85
-6.540,5.739e-85,2.5692,4.8627,2.623e-85,2.623e-85,4.263e-85
-6.530,5.739e-85,2.2305,4.3336,2.623e-85,2.623e-85,4.263e-85
-6.520,5.739e-85,1.9243,3.8404,2.623e-85,2.623e-85,4.263e-85
-6.510,5.739e-85,1.6497,3.3842,2.623e-85,2.623e-85,4.263e-85
-6.500,5.739e-85,1.4053,2.9652,2.623e-85,2.623e-85,4.263e-85
-6.490,5.739e-85,1.1896,2.5832,2.623e-85,2.623e-85,4.263e-85
-6.480,5.739e-85,1.0006,2.2375,2.623e-85,2.623e-85,4.263e-85
-6.470,5.739e-85,0.83622,1.9268,2.623e-85,2.623e-85,4.263e-85
-6.460,5.739e-85,0.69441,1.6497,2.623e-85,2.623e-85,4.263e-85
-6.450,5.739e-85,0.57295,1.4041,2.623e-85,2.623e-85,4.263e-85
-6.440,5.739e-85,0.46969,1.1881,2.623e-85,2.623e-85,4.263e-85
-6.430,5.739e-85,0.38255,0.9994,2.623e-85,2.623e-85,4.263e-85
-6.420,5.739e-85,0.30956,0.83568,2.623e-85,2.623e-85,4.263e-85
-6.410,5.739e-85,0.24886,0.69461,2.623e-85,2.623e-85,4.263e-85
-6.400,5.739e-85,0.19875,0.5739,2.623e-85,2.623e-85,4.263e-85
-6.390,5.739e-85,0.15768,0.47132,2.623e-85,2.623e-85,4.263e-85
-6.380,5.739e-85,0.12427,0.38473,2.623e-85,2.623e-85,4.263e-85
-6.370,5.739e-85,0.097269,0.31214,2.623e-85,2.623e-85,4.263e-85
-6.360,5.739e-85,0.075617,0.25169,2.623e-85,2.623e-85,4.263e-85
-6.350,5.739e-85,0.058378,0.2017,2.623e-85,2.623e-85,4.263e-85
-6.340,5.739e-85,0.04475,0.16063,2.623e-85,2.623e-85,4.263e-85
-6.330,5.739e-85,0.034056,0.12712,2.623e-85,2.623e-85,4.263e-85
-6.320,5.739e-85,0.025726,0.099967,2.623e-85,2.623e-85,4.263e-85
-6.310,5.739e-85,0.019286,0.078109,2.623e-85,2.623e-85,4.263e-85
-6.300,5.739e-85,0.014345,0.060632,2.623e-85,2.623e-85,4.263e-85
-6.290,5.739e-85,0.010583,0.046756,2.623e-85,2.623e-85,4.263e-85
-6.280,5.739e-85,0.0077424,0.035812,2.623e-85,2.623e-85,4.263e-85
-6.270,5.739e-85,0.0056147,0.027242,2.623e-85,2.623e-85,4.263e-85
-6.260,5.739e-85,0.0040347,0.020577,2.623e-85,2.623e-85,4.263e-85
-6.250,5.739e-85,0.0028718,0.015431,2.623e-85,2.623e-85,4.263e-85
-6.240,5.739e-85,0.0020238,0.011487,2.623e-85,2.623e-85,4.263e-85
-6.230,5.739e-85,0.0014114,0.0084853,2.623e-85,2.623e-85,4.263e-85
-6.220,5.739e-85,0.00097371,0.0062189,2.623e-85,2.623e-85,4.263e-85
-6.210,5.739e-85,0.00066417,0.0045208,2.623e-85,2.623e-85,4.263e-85
-6.200,5.739e-85,0.0004477,0.0032588,2.623e-85,2.623e-85,4.263e-85
-6.190,5.739e-85,0.00029808,0.0023286,2.623e-85,2.623e-85,4.263e-85
-6.180,5.739e-85,0.00019594,0.0016489,2.623e-85,2.623e-85,4.263e-85
-6.170,5.739e-85,0.0001271,0.0011567,2.623e-85,2.623e-85,4.263e-85
-6.160,5.739e-85,8.1317e-05,0.00080347,2.623e-85,2.623e-85,4.263e-85
-6.150,5.739e-85,5.1293e-05,0.00055249,2.623e-85,2.623e-85,4.263e-85
-6.140,5.739e-85,3.1883e-05,0.00037593,2.623e-85,2.623e-85,4.263e-85
-6.130,5.739e-85,1.9522e-05,0.00025301,2.623e-85,2.623e-85,4.263e-85
-6.120,5.739e-85,1.177e-05,0.00016837,2.623e-85,2.623e-85,4.263e-85
-6.110,5.739e-85,6.9841e-06,0.00011073,2.623e-85,2.623e-85,4.263e-85
-6.100,5.739e-85,4.0776e-06,7.1948e-05,2.623e-85,2.623e-85,4.263e-85
-6.090,5.739e-85,2.3415e-06,4.6165e-05,2.623e-85,2.623e-85,4.263e-85
-6.080,5.739e-85,1.3221e-06,2.924e-05,2.623e-85,2.623e-85,4.263e-85
-6.070,5.739e-85,7.3374e-07,1.8275e-05,2.623e-85,2.623e-85,4.263e-85
-6.060,5.739e-85,4.0016e-07,1.1265e-05,2.623e-85,2.623e-85,4.263e-85
-6.050,5.739e-85,2.144e-07,6.8467e-06,2.623e-85,2.623e-85,4.263e-85
-6.040,5.739e-85,1.1283e-07,4.1014e-06,2.623e-85,2.623e-85,4.263e-85
-6.030,5.739e-85,5.8302e-08,2.4206e-06,2.623e-85,2.623e-85,4.263e-85
-6.020,5.739e-85,2.9577e-08,1.4071e-06,2.623e-85,2.623e-85,4.263e-85
-6.010,5.739e-85,1.4727e-08,8.0526e-07,2.623e-85,2.623e-85,4.263e-85
-6.000,5.739e-85,7.1965e-09,4.5357e-07,2.623e-85,2.623e-85,4.263e-85
-5.990,5.739e-85,3.4504e-09,2.5137e-07,2.623e-85,2.623e-85,4.263e-85
-5.980,5.739e-85,1.623e-09,1.3703e-07,2.623e-85,2.623e-85,4.263e-85
-5.970,5.739e-85,7.4883e-10,7.3453e-08,2.623e-85,2.623e-85,4.263e-85
-5.960,5.739e-85,3.3887e-10,3.8706e-08,2.623e-85,2.623e-85,4.263e-85
-5.950,5.739e-85,1.5038e-10,2.0047e-08,2.623e-85,2.623e-85,4.263e-85
-5.940,5.739e-85,6.5438e-11,1.0202e-08,2.623e-85,2.623e-85,4.263e-85
-5.930,5.739e-85,2.7914e-11,5.0998e-09,2.623e-85,2.623e-85,4.263e-85
-5.920,5.739e-85,1.1674e-11,2.5038e-09,2.623e-85,2.623e-85,4.263e-85
-5.910,5.739e-85,4.7856e-12,1.2071e-09,2.623e-85,2.623e-85,4.263e-85
-5.900,5.739e-85,1.9226e-12,5.7135e-10,2.623e-85,2.623e-85,4.263e-85
-5.890,5.739e-85,7.5704e-13,2.6554e-10,2.623e-85,2.623e-85,4.263e-85
-5.880,5.739e-85,2.9212e-13,1.2131e-10,2.623e-85,2.623e-85,4.263e-85
-5.870,5.739e-85,1.1046e-13,5.4878e-11,2.623e-85,2.623e-85,4.263e-85
-5.860,5.739e-85,4.0924e-14,2.5549e-11,2.623e-85,2.623e-85,4.263e-85
-5.850,5.739e-85,1.4855e-14,1.4456e-11,2.623e-85,2.623e-85,4.263e-85
-5.840,5.739e-85,5.2832e-15,1.4092e-11,2.623e-85,2.623e-85,4.263e-85
-5.830,5.739e-85,1.8413e-15,2.3934e-11,2.623e-85,2.623e-85,4.263e-85
-5.820,5.739e-85,6.3018e-16,4.9919e-11,2.623e-85,2.623e-85,4.263e-85
-5.810,5.739e-85,2.1625e-16,1.0743e-10,2.623e-85,2.623e-85,4.263e-85
-5.800,5.739e-85,8.787e-17,2.2895e-10,2.623e-85,2.623e-85,4.263e-85
-5.790,5.739e-85,7.9237e-17,4.7941e-10,2.623e-85,2.623e-85,4.263e-85
-5.780,5.739e-85,1.7458e-16,9.8515e-10,2.623e-85,2.623e-85,4.263e-85
-5.770,5.739e-85,4.8348e-16,1.9866e-09,2.623e-85,2.623e-85,4.263e-85
-5.760,5.739e-85,1.3542e-15,3.9316e-09,2.623e-85,2.623e-85,4.263e-85
-5.750,5.739e-85,3.7272e-15,7.6385e-09,2.623e-85,2.623e-85,4.263e-85
-5.740,5.739e-85,1.0053e-14,1.4572e-08,2.623e-85,2.623e-85,4.263e-85
-5.730,5.739e-85,2.6564e-14,2.7304e-08,2.623e-85,2.623e-85,4.263e-85
-5.720,5.739e-85,6.8763e-14,5.0266e-08,2.623e-85,2.623e-85,4.263e-85
-5.710,5.739e-85,1.7437e-13,9.0949e-08,2.623e-85,2.623e-85,4.263e-85
-5.700,5.739e-85,4.3323e-13,1.618e-07,2.623e-85,2.623e-85,4.263e-85
-5.690,5.739e-85,1.0548e-12,2.8309e-07,2.623e-85,2.623e-85,4.263e-85
-5.680,5.739e-85,2.5171e-12,4.8736e-07,2.623e-85,2.623e-85,4.263e-85
-5.670,5.739e-85,5.8872e-12,8.2585e-07,2.623e-85,2.623e-85,4.263e-85
-5.660,5.739e-85,1.3498e-11,1.3781e-06,2.623e-85,2.623e-85,4.263e-85
-5.650,5.739e-85,3.0343e-11,2.2656e-06,2.623e-85,2.623e-85,4.263e-85
-5.640,5.739e-85,6.6886e-11,3.6714e-06,2.623e-85,2.623e-85,4.263e-85
-5.630,5.739e-85,1.4459e-10,5.8668e-06,2.623e-85,2.623e-85,4.263e-85
-5.620,5.739e-85,3.0662e-10,9.2496e-06,2.623e-85,2.623e-85,4.263e-85
-5.610,5.739e-85,6.3785e-10,1.4395e-05,2.623e-85,2.623e-85,4.263e-85
-5.600,5.739e-85,1.3023e-09,2.2125e-05,2.623e-85,2.623e-85,4.263e-85
-5.590,5.739e-85,2.6097e-09,3.3602e-05,2.623e-85,2.623e-85,4.263e-85
-5.580,5.739e-85,5.1339e-09,5.0449e-05,2.623e-85,2.623e-85,4.263e-85
-5.570,5.739e-85,9.918e-09,7.4915e-05,2.623e-85,2.623e-85,4.263e-85
-5.560,5.739e-85,1.8821e-08,0.00011008,2.623e-85,2.623e-85,4.263e-85
-5.550,5.739e-85,3.5093e-08,0.00016013,2.623e-85,2.623e-85,4.263e-85
-5.540,5.739e-85,6.4308e-08,0.00023069,2.623e-85,2.623e-85,4.263e-85
-5.530,5.739e-85,1.1586e-07,0.00032929,2.623e-85,2.623e-85,4.263e-85
-5.520,5.739e-85,2.0528e-07,0.00046587,2.623e-85,2.623e-85,4.263e-85
-5.510,5.739e-85,3.5785e-07,0.00065353,2.623e-85,2.623e-85,4.263e-85
-5.500,5.739e-85,6.1392e-07,0.00090927,2.623e-85,2.623e-85,4.263e-85
-5.490,5.739e-85,1.037e-06,0.0012551,2.623e-85,2.623e-85,4.263e-85
-5.480,5.739e-85,1.7251e-06,0.0017194,2.623e-85,2.623e-85,4.263e-85
-5.470,5.739e-85,2.8279e-06,0.002338,2.623e-85,2.623e-85,4.263e-85
-5.460,5.739e-85,4.5693e-06,0.0031566,2.623e-85,2.623e-85,4.263e-85
-5.450,5.739e-85,7.2811e-06,0.0042321,2.623e-85,2.623e-85,4.263e-85
-5.440,5.739e-85,1.1447e-05,0.0056357,2.623e-85,2.623e-85,4.263e-85
-5.430,5.739e-85,1.7761e-05,0.0074553,2.623e-85,2.623e-85,4.263e-85
-5.420,5.739e-85,2.7214e-05,0.0097988,2.623e-85,2.623e-85,4.263e-85
-5.410,5.739e-85,4.1193e-05,0.012798,2.623e-85,2.623e-85,4.263e-85
-5.400,5.739e-85,6.1624e-05,0.016611,2.623e-85,2.623e-85,4.263e-85
-5.390,5.739e-85,9.115e-05,0.021428,2.623e-85,2.623e-85,4.263e-85
-5.380,5.739e-85,0.00013336,0.027478,2.623e-85,2.623e-85,4.263e-85
-5.370,5.739e-85,0.0001931,0.035029,2.623e-85,2.623e-85,4.263e-85
-5.360,5.739e-85,0.00027679,0.044394,2.623e-85,2.623e-85,4.263e-85
-5.350,5.739e-85,0.00039294,0.055942,2.623e-85,2.623e-85,4.263e-85
-5.340,5.739e-85,0.00055268,0.070094,2.623e-85,2.623e-85,4.263e-85
-5.330,5.739e-85,0.00077046,0.087336,2.623e-85,2.623e-85,4.263e-85
-5.320,5.739e-85,0.0010649,0.10822,2.623e-85,2.623e-85,4.263e-85
-5.310,5.739e-85,0.0014597,0.13336,2.623e-85,2.623e-85,4.263e-85
-5.300,5.739e-85,0.001985,0.16345,2.623e-85,2.623e-85,4.263e-85
-5.290,5.739e-85,0.0026787,0.19927,2.623e-85,2.623e-85,4.263e-85
-5.280,5.739e-85,0.003588,0.24164,2.623e-85,2.623e-85,4.263e-85
-5.270,5.739e-85,0.0047715,0.29147,2.623e-85,2.623e-85,4.263e-85
-5.260,5.739e-85,0.0063009,0.34976,2.623e-85,2.623e-85,4.263e-85
-5.250,5.739e-85,0.0082638,0.41753,2.623e-85,2.623e-85,4.263e-85
-5.240,5.739e-85,0.010766,0.49589,2.623e-85,2.623e-85,4.263e-85
-5.230,5.739e-85,0.013934,0.58596,2.623e-85,2.623e-85,4.263e-85
-5.220,5.739e-85,0.01792,0.68891,2.623e-85,2.623e-85,4.263e-85
-5.210,5.739e-85,0.022899,0.80592,2.623e-85,2.623e-85,4.263e-85
-5.200,5.739e-85,0.029081,0.93814,2.623e-85,2.623e-85,4.263e-85
-5.190,5.739e-85,0.036706,1.0867,2.623e-85,2.623e-85,4.263e-85
-5.180,5.739e-85,0.046049,1.2527,2.623e-85,2.623e-85,4.263e-85
-5.170,5.739e-85,0.057426,1.4372,2.623e-85,2.623e-85,4.263e-85
-5.160,5.739e-85,0.071189,1.641,2.623e-85,2.623e-85,4.263e-85
-5.150,5.739e-85,0.087735,1.865,2.623e-85,2.623e-85,4.263e-85
-5.140,5.739e-85,0.1075,2.1097,2.623e-85,2.623e-85,4.263e-85
-5.130,5.739e-85,0.13096,2.3756,2.623e-85,2.623e-85,4.263e-85
-5.120,5.739e-85,0.15864,2.6631,2.623e-85,2.623e-85,4.263e-85
-5.110,5.739e-85,0.1911,2.9721,2.623e-85,2.623e-85,4.263e-85
-5.100,5.739e-85,0.22891,3.3025,2.623e-85,2.623e-85,4.263e-85
-5.090,5.739e-85,0.27271,3.654,2.623e-85,2.623e-85,4.263e-85
-5.080,5.739e-85,0.32312,4.026,2.623e-85,2.623e-85,4.263e-85
-5.070,5.739e-85,0.38081,4.4176,2.623e-85,2.623e-85,4.263e-85
-5.060,5.739e-85,0.44643,4.8278,2.623e-85,2.623e-85,4.263e-85
-5.050,5.739e-85,0.52063,5.2555,2.623e-85,2.623e-85,4.263e-85
-5.040,5.739e-85,0.60405,5.6993,2.623e-85,2.623e-85,4.263e-85
