candidate,family,campaign_phase,nominal_levels,attempted_executions,ingested_in_2026_06_25_snapshot,included_in_47_pool,pool_status,reason,roster_source,roster_source_snapshot
CoO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
NiO,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Al2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Sc2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Y2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
La2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Nd2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Sm2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Gd2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Ga2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
In2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Cr2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Fe2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
B2O3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SiO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
GeO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SnO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
TiO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ZrO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
HfO2,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
V2O5,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Nb2O5,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Ta2O5,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Sb2O5,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CrO3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MoO3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
WO3,Oxides,Phase 1A,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LiF,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgF2,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CaF2,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
AlF3,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
YF3,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LaF3,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
NdF3,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ZrF4,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
TiF4,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ScF3,Fluorides,Phase 1B,x002|x005|x010,3,1,1,versioned_47_snapshot,Present in the 2026-06-25 141-row champion snapshot,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LiCl,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgCl2,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CaCl2,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SrCl2,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
BaCl2,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
AlCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
GaCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
FeCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CrCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
YCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LaCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
NdCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SmCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ScCl3,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ZrCl4,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
HfCl4,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
TiCl4,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
NbCl5,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
TaCl5,Chlorides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LiBr,Bromides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgBr2,Bromides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CaBr2,Bromides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
AlBr3,Bromides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
ZrBr4,Bromides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
LiI,Iodides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
NaI,Iodides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgI2,Iodides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
AlI3,Iodides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Li3N,Nitrides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Mg3N2,Nitrides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Ca3N2,Nitrides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
AlN,Nitrides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
GaN,Nitrides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Li2S,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Na2S,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
MgS,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
CaS,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Al2S3,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Ga2S3,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SiS2,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
GeS2,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
SnS2,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
As2S3,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
Sb2S3,Sulfides,Phase 1B,x002|x005|x010,3,0,0,not_ingested_in_canonical_snapshot,Absent from the versioned canonical table; individual cause unverified and not a physical rejection,origin/claude/unified-2026-05-15:tools/doping/master_batch_273.sh,411194a66df90c91711aec3fcaab3be0d40c6899
