# Li3N(001) Li-adatom migration: OPTIMAL re-fit of NEB profile
# Fit = clamped cubic spline (zero slope at endpoint minima) through 7 NEB images
# reaction_coord 0..1 = image index/6 ; adatom_fx = lateral position (frac a)
# migstep barrier (spline peak) = 102.0 meV ; cosine-model Eb = 103.3 meV (R2=0.9491)
reaction_coord,adatom_fx,Li3N_migstep_meV,Li3N_migstep_eV,Li3N_migstep_cosfit_eV,Li3N_rawNEB_meV,Li3N_rawNEB_eV,LiC6_meV,LiC6_eV
0.07750,0.04987,-1.594,-0.00159,0.00601,-1.759,-0.00176,51.632,0.05163
0.08000,0.05150,-1.593,-0.00159,0.00639,-1.938,-0.00194,54.556,0.05456
0.08250,0.05314,-1.581,-0.00158,0.00679,-2.128,-0.00213,57.528,0.05753
0.08500,0.05478,-1.559,-0.00156,0.00719,-2.331,-0.00233,60.547,0.06055
0.08750,0.05643,-1.526,-0.00153,0.00761,-2.547,-0.00255,63.609,0.06361
0.09000,0.05808,-1.480,-0.00148,0.00804,-2.775,-0.00278,66.712,0.06671
0.09250,0.05973,-1.422,-0.00142,0.00848,-3.017,-0.00302,69.854,0.06985
0.09500,0.06138,-1.351,-0.00135,0.00893,-3.272,-0.00327,73.030,0.07303
0.09750,0.06304,-1.266,-0.00127,0.00940,-3.541,-0.00354,76.240,0.07624
0.10000,0.06470,-1.166,-0.00117,0.00987,-3.824,-0.00382,79.479,0.07948
0.10250,0.06637,-1.052,-0.00105,0.01035,-4.123,-0.00412,82.745,0.08275
0.10500,0.06803,-0.922,-0.00092,0.01084,-4.436,-0.00444,86.037,0.08604
0.10750,0.06971,-0.775,-0.00078,0.01134,-4.765,-0.00476,89.350,0.08935
0.11000,0.07138,-0.612,-0.00061,0.01186,-5.109,-0.00511,92.682,0.09268
0.11250,0.07306,-0.431,-0.00043,0.01238,-5.470,-0.00547,96.031,0.09603
0.11500,0.07474,-0.231,-0.00023,0.01291,-5.848,-0.00585,99.393,0.09939
0.11750,0.07643,-0.013,-0.00001,0.01345,-6.242,-0.00624,102.767,0.10277
0.12000,0.07812,0.224,0.00022,0.01400,-6.654,-0.00665,106.149,0.10615
0.12250,0.07981,0.481,0.00048,0.01456,-7.084,-0.00708,109.536,0.10954
0.12500,0.08151,0.759,0.00076,0.01513,-7.532,-0.00753,112.927,0.11293
0.12750,0.08321,1.059,0.00106,0.01571,-7.998,-0.00800,116.318,0.11632
0.13000,0.08492,1.380,0.00138,0.01630,-8.483,-0.00848,119.706,0.11971
0.13250,0.08663,1.724,0.00172,0.01689,-8.987,-0.00899,123.090,0.12309
0.13500,0.08835,2.090,0.00209,0.01750,-9.511,-0.00951,126.465,0.12647
0.13750,0.09007,2.481,0.00248,0.01811,-10.055,-0.01005,129.830,0.12983
0.14000,0.09179,2.896,0.00290,0.01873,-10.619,-0.01062,133.182,0.13318
0.14250,0.09352,3.336,0.00334,0.01936,-11.204,-0.01120,136.518,0.13652
0.14500,0.09525,3.801,0.00380,0.02000,-11.810,-0.01181,139.835,0.13983
0.14750,0.09699,4.293,0.00429,0.02064,-12.437,-0.01244,143.131,0.14313
0.15000,0.09874,4.811,0.00481,0.02130,-13.086,-0.01309,146.402,0.14640
0.15250,0.10049,5.357,0.00536,0.02196,-13.758,-0.01376,149.647,0.14965
0.15500,0.10224,5.931,0.00593,0.02263,-14.452,-0.01445,152.863,0.15286
0.15750,0.10400,6.534,0.00653,0.02330,-15.169,-0.01517,156.046,0.15605
0.16000,0.10577,7.166,0.00717,0.02398,-15.909,-0.01591,159.195,0.15919
0.16250,0.10754,7.828,0.00783,0.02467,-16.673,-0.01667,162.306,0.16231
0.16500,0.10931,8.521,0.00852,0.02537,-17.461,-0.01746,165.377,0.16538
0.16750,0.11109,9.245,0.00924,0.02607,-18.274,-0.01827,168.404,0.16840
0.17000,0.11288,10.000,0.01000,0.02678,-19.111,-0.01911,171.388,0.17139
0.17250,0.11467,10.785,0.01079,0.02749,-19.971,-0.01997,174.326,0.17433
0.17500,0.11647,11.600,0.01160,0.02821,-20.855,-0.02086,177.221,0.17722
0.17750,0.11827,12.444,0.01244,0.02894,-21.761,-0.02176,180.072,0.18007
0.18000,0.12007,13.315,0.01331,0.02967,-22.689,-0.02269,182.879,0.18288
0.18250,0.12188,14.213,0.01421,0.03041,-23.638,-0.02364,185.643,0.18564
0.18500,0.12369,15.137,0.01514,0.03115,-24.607,-0.02461,188.363,0.18836
0.18750,0.12550,16.086,0.01609,0.03189,-25.596,-0.02560,191.041,0.19104
0.19000,0.12731,17.060,0.01706,0.03265,-26.603,-0.02660,193.676,0.19368
0.19250,0.12912,18.056,0.01806,0.03340,-27.629,-0.02763,196.268,0.19627
0.19500,0.13094,19.076,0.01908,0.03417,-28.673,-0.02867,198.819,0.19882
0.19750,0.13275,20.116,0.02012,0.03493,-29.733,-0.02973,201.327,0.20133
0.20000,0.13456,21.178,0.02118,0.03570,-30.809,-0.03081,203.794,0.20379
0.20250,0.13637,22.259,0.02226,0.03647,-31.901,-0.03190,206.219,0.20622
0.20500,0.13818,23.359,0.02336,0.03725,-33.007,-0.03301,208.604,0.20860
0.20750,0.13999,24.477,0.02448,0.03803,-34.128,-0.03413,210.947,0.21095
0.21000,0.14179,25.612,0.02561,0.03882,-35.262,-0.03526,213.250,0.21325
0.21250,0.14359,26.763,0.02676,0.03961,-36.408,-0.03641,215.513,0.21551
0.21500,0.14539,27.930,0.02793,0.04040,-37.567,-0.03757,217.735,0.21773
0.21750,0.14718,29.111,0.02911,0.04119,-38.737,-0.03874,219.917,0.21992
0.22000,0.14897,30.305,0.03031,0.04199,-39.917,-0.03992,222.060,0.22206
0.22250,0.15075,31.513,0.03151,0.04278,-41.107,-0.04111,224.164,0.22416
0.22500,0.15252,32.732,0.03273,0.04358,-42.306,-0.04231,226.228,0.22623
0.22750,0.15429,33.962,0.03396,0.04439,-43.514,-0.04351,228.254,0.22825
0.23000,0.15606,35.201,0.03520,0.04519,-44.730,-0.04473,230.241,0.23024
0.23250,0.15781,36.451,0.03645,0.04600,-45.953,-0.04595,232.189,0.23219
0.23500,0.15956,37.708,0.03771,0.04680,-47.182,-0.04718,234.100,0.23410
0.23750,0.16130,38.973,0.03897,0.04761,-48.416,-0.04842,235.973,0.23597
0.24000,0.16303,40.244,0.04024,0.04842,-49.656,-0.04966,237.808,0.23781
0.24250,0.16475,41.520,0.04152,0.04923,-50.900,-0.05090,239.606,0.23961
0.24500,0.16646,42.802,0.04280,0.05004,-52.148,-0.05215,241.366,0.24137
0.24750,0.16816,44.087,0.04409,0.05086,-53.399,-0.05340,243.090,0.24309
0.25000,0.16984,45.375,0.04538,0.05167,-54.651,-0.05465,244.777,0.24478
0.25250,0.17152,46.665,0.04667,0.05248,-55.906,-0.05591,246.428,0.24643
0.25500,0.17319,47.956,0.04796,0.05329,-57.161,-0.05716,248.043,0.24804
0.25750,0.17484,49.248,0.04925,0.05410,-58.416,-0.05842,249.622,0.24962
0.26000,0.17648,50.539,0.05054,0.05491,-59.671,-0.05967,251.166,0.25117
0.26250,0.17810,51.828,0.05183,0.05572,-60.925,-0.06092,252.674,0.25267
0.26500,0.17971,53.115,0.05312,0.05653,-62.176,-0.06218,254.147,0.25415
0.26750,0.18131,54.399,0.05440,0.05734,-63.425,-0.06343,255.586,0.25559
0.27000,0.18289,55.678,0.05568,0.05814,-64.671,-0.06467,256.990,0.25699
0.27250,0.18445,56.952,0.05695,0.05895,-65.912,-0.06591,258.359,0.25836
0.27500,0.18600,58.221,0.05822,0.05975,-67.149,-0.06715,259.695,0.25969
0.27750,0.18754,59.483,0.05948,0.06055,-68.381,-0.06838,260.996,0.26100
0.28000,0.18905,60.736,0.06074,0.06135,-69.606,-0.06961,262.264,0.26226
0.28250,0.19055,61.982,0.06198,0.06214,-70.824,-0.07082,263.499,0.26350
0.28500,0.19203,63.217,0.06322,0.06294,-72.035,-0.07204,264.701,0.26470
0.28750,0.19349,64.443,0.06444,0.06373,-73.238,-0.07324,265.870,0.26587
0.29000,0.19493,65.657,0.06566,0.06452,-74.432,-0.07443,267.007,0.26701
0.29250,0.19635,66.859,0.06686,0.06530,-75.616,-0.07562,268.111,0.26811
0.29500,0.19775,68.047,0.06805,0.06608,-76.790,-0.07679,269.184,0.26918
0.29750,0.19913,69.222,0.06922,0.06686,-77.953,-0.07795,270.224,0.27022
0.30000,0.20049,70.382,0.07038,0.06763,-79.105,-0.07910,271.233,0.27123
0.30250,0.20182,71.527,0.07153,0.06840,-80.244,-0.08024,272.211,0.27221
0.30500,0.20314,72.655,0.07265,0.06917,-81.369,-0.08137,273.158,0.27316
0.30750,0.20443,73.765,0.07376,0.06993,-82.482,-0.08248,274.074,0.27407
0.31000,0.20570,74.857,0.07486,0.07069,-83.579,-0.08358,274.959,0.27496
0.31250,0.20694,75.929,0.07593,0.07144,-84.662,-0.08466,275.815,0.27581
0.31500,0.20816,76.982,0.07698,0.07219,-85.728,-0.08573,276.640,0.27664
0.31750,0.20935,78.013,0.07801,0.07293,-86.778,-0.08678,277.435,0.27744
0.32000,0.21052,79.023,0.07902,0.07367,-87.811,-0.08781,278.202,0.27820
0.32250,0.21166,80.009,0.08001,0.07440,-88.826,-0.08883,278.938,0.27894
0.32500,0.21278,80.972,0.08097,0.07512,-89.823,-0.08982,279.646,0.27965
0.32750,0.21387,81.911,0.08191,0.07584,-90.799,-0.09080,280.326,0.28033
0.33000,0.21493,82.824,0.08282,0.07656,-91.756,-0.09176,280.976,0.28098
0.33250,0.21596,83.710,0.08371,0.07727,-92.693,-0.09269,281.599,0.28160
0.33500,0.21697,84.570,0.08457,0.07797,-93.607,-0.09361,282.193,0.28219
0.33750,0.21794,85.402,0.08540,0.07866,-94.501,-0.09450,282.760,0.28276
0.34000,0.21889,86.207,0.08621,0.07935,-95.372,-0.09537,283.300,0.28330
0.34250,0.21981,86.986,0.08699,0.08003,-96.222,-0.09622,283.814,0.28381
0.34500,0.22071,87.740,0.08774,0.08071,-97.049,-0.09705,284.302,0.28430
0.34750,0.22158,88.467,0.08847,0.08138,-97.855,-0.09785,284.764,0.28476
0.35000,0.22243,89.170,0.08917,0.08204,-98.638,-0.09864,285.202,0.28520
0.35250,0.22325,89.847,0.08985,0.08269,-99.399,-0.09940,285.615,0.28562
0.35500,0.22406,90.501,0.09050,0.08333,-100.138,-0.10014,286.005,0.28600
0.35750,0.22484,91.131,0.09113,0.08397,-100.855,-0.10085,286.371,0.28637
0.36000,0.22560,91.738,0.09174,0.08460,-101.549,-0.10155,286.715,0.28672
0.36250,0.22634,92.322,0.09232,0.08522,-102.220,-0.10222,287.037,0.28704
0.36500,0.22706,92.883,0.09288,0.08583,-102.869,-0.10287,287.337,0.28734
0.36750,0.22776,93.422,0.09342,0.08644,-103.495,-0.10350,287.616,0.28762
0.37000,0.22845,93.940,0.09394,0.08703,-104.099,-0.10410,287.875,0.28787
0.37250,0.22912,94.437,0.09444,0.08762,-104.679,-0.10468,288.114,0.28811
0.37500,0.22978,94.913,0.09491,0.08820,-105.237,-0.10524,288.333,0.28833
0.37750,0.23042,95.368,0.09537,0.08877,-105.772,-0.10577,288.534,0.28853
0.38000,0.23105,95.804,0.09580,0.08933,-106.283,-0.10628,288.716,0.28872
0.38250,0.23166,96.221,0.09622,0.08988,-106.771,-0.10677,288.881,0.28888
0.38500,0.23226,96.618,0.09662,0.09042,-107.236,-0.10724,289.028,0.28903
0.38750,0.23285,96.997,0.09700,0.09095,-107.678,-0.10768,289.159,0.28916
0.39000,0.23344,97.358,0.09736,0.09148,-108.096,-0.10810,289.274,0.28927
0.39250,0.23401,97.702,0.09770,0.09199,-108.491,-0.10849,289.373,0.28937
0.39500,0.23457,98.028,0.09803,0.09249,-108.862,-0.10886,289.457,0.28946
0.39750,0.23513,98.337,0.09834,0.09298,-109.209,-0.10921,289.526,0.28953
0.40000,0.23567,98.630,0.09863,0.09347,-109.532,-0.10953,289.582,0.28958
0.40250,0.23622,98.908,0.09891,0.09394,-109.832,-0.10983,289.624,0.28962
0.40500,0.23676,99.169,0.09917,0.09440,-110.108,-0.11011,289.653,0.28965
0.40750,0.23729,99.416,0.09942,0.09485,-110.359,-0.11036,289.670,0.28967
0.41000,0.23782,99.649,0.09965,0.09529,-110.587,-0.11059,289.675,0.28968
0.41250,0.23835,99.867,0.09987,0.09572,-110.790,-0.11079,289.669,0.28967
0.41500,0.23887,100.071,0.10007,0.09614,-110.969,-0.11097,289.653,0.28965
0.41750,0.23940,100.262,0.10026,0.09655,-111.123,-0.11112,289.626,0.28963
0.42000,0.23992,100.441,0.10044,0.09694,-111.253,-0.11125,289.589,0.28959
0.42250,0.24045,100.607,0.10061,0.09733,-111.359,-0.11136,289.544,0.28954
0.42500,0.24098,100.761,0.10076,0.09770,-111.440,-0.11144,289.490,0.28949
0.42750,0.24151,100.903,0.10090,0.09806,-111.496,-0.11150,289.428,0.28943
0.43000,0.24204,101.035,0.10103,0.09842,-111.528,-0.11153,289.358,0.28936
0.43250,0.24258,101.156,0.10116,0.09876,-111.534,-0.11153,289.282,0.28928
0.43500,0.24312,101.266,0.10127,0.09908,-111.516,-0.11152,289.199,0.28920
0.43750,0.24367,101.367,0.10137,0.09940,-111.472,-0.11147,289.111,0.28911
0.44000,0.24423,101.459,0.10146,0.09971,-111.404,-0.11140,289.017,0.28902
0.44250,0.24480,101.542,0.10154,0.10000,-111.310,-0.11131,288.919,0.28892
0.44500,0.24537,101.616,0.10162,0.10028,-111.191,-0.11119,288.816,0.28882
0.44750,0.24595,101.682,0.10168,0.10055,-111.046,-0.11105,288.710,0.28871
0.45000,0.24654,101.741,0.10174,0.10080,-110.876,-0.11088,288.600,0.28860
0.45250,0.24715,101.792,0.10179,0.10105,-110.681,-0.11068,288.489,0.28849
0.45500,0.24776,101.837,0.10184,0.10128,-110.460,-0.11046,288.375,0.28837
0.45750,0.24839,101.876,0.10188,0.10150,-110.213,-0.11021,288.259,0.28826
0.46000,0.24904,101.909,0.10191,0.10171,-109.940,-0.10994,288.143,0.28814
0.46250,0.24969,101.936,0.10194,0.10191,-109.641,-0.10964,288.026,0.28803
0.46500,0.25037,101.959,0.10196,0.10209,-109.317,-0.10932,287.910,0.28791
0.46750,0.25106,101.977,0.10198,0.10226,-108.966,-0.10897,287.794,0.28779
0.47000,0.25176,101.991,0.10199,0.10242,-108.590,-0.10859,287.679,0.28768
0.47250,0.25249,102.001,0.10200,0.10256,-108.187,-0.10819,287.567,0.28757
0.47500,0.25323,102.008,0.10201,0.10270,-107.758,-0.10776,287.456,0.28746
0.47750,0.25400,102.012,0.10201,0.10282,-107.302,-0.10730,287.349,0.28735
0.48000,0.25478,102.015,0.10201,0.10293,-106.820,-0.10682,287.245,0.28724
0.48250,0.25559,102.015,0.10201,0.10302,-106.311,-0.10631,287.144,0.28714
0.48500,0.25641,102.013,0.10201,0.10310,-105.776,-0.10578,287.049,0.28705
0.48750,0.25727,102.011,0.10201,0.10317,-105.214,-0.10521,286.958,0.28696
0.49000,0.25814,102.008,0.10201,0.10323,-104.625,-0.10463,286.873,0.28687
0.49250,0.25904,102.005,0.10201,0.10328,-104.009,-0.10401,286.794,0.28679
0.49500,0.25997,102.003,0.10200,0.10331,-103.367,-0.10337,286.722,0.28672
0.49750,0.26092,102.001,0.10200,0.10333,-102.697,-0.10270,286.657,0.28666
0.50000,0.26190,102.000,0.10200,0.10333,-102.000,-0.10200,286.600,0.28660
0.50250,0.26291,102.001,0.10200,0.10333,-101.276,-0.10128,286.551,0.28655
0.50500,0.26394,102.003,0.10200,0.10331,-100.525,-0.10053,286.510,0.28651
0.50750,0.26501,102.005,0.10201,0.10328,-99.748,-0.09975,286.476,0.28648
0.51000,0.26610,102.008,0.10201,0.10323,-98.944,-0.09894,286.448,0.28645
0.51250,0.26721,102.011,0.10201,0.10317,-98.115,-0.09812,286.428,0.28643
0.51500,0.26835,102.013,0.10201,0.10310,-97.261,-0.09726,286.412,0.28641
0.51750,0.26952,102.015,0.10201,0.10302,-96.381,-0.09638,286.403,0.28640
0.52000,0.27070,102.015,0.10201,0.10293,-95.478,-0.09548,286.397,0.28640
0.52250,0.27191,102.012,0.10201,0.10282,-94.549,-0.09455,286.396,0.28640
0.52500,0.27315,102.008,0.10201,0.10270,-93.598,-0.09360,286.399,0.28640
0.52750,0.27440,102.001,0.10200,0.10256,-92.622,-0.09262,286.405,0.28641
0.53000,0.27568,101.991,0.10199,0.10242,-91.624,-0.09162,286.414,0.28641
0.53250,0.27697,101.977,0.10198,0.10226,-90.603,-0.09060,286.425,0.28642
0.53500,0.27829,101.959,0.10196,0.10209,-89.560,-0.08956,286.438,0.28644
0.53750,0.27962,101.936,0.10194,0.10191,-88.495,-0.08849,286.451,0.28645
0.54000,0.28097,101.909,0.10191,0.10171,-87.408,-0.08741,286.466,0.28647
0.54250,0.28234,101.876,0.10188,0.10150,-86.301,-0.08630,286.481,0.28648
0.54500,0.28372,101.837,0.10184,0.10128,-85.172,-0.08517,286.495,0.28649
0.54750,0.28512,101.792,0.10179,0.10105,-84.023,-0.08402,286.508,0.28651
0.55000,0.28654,101.741,0.10174,0.10080,-82.855,-0.08285,286.521,0.28652
0.55250,0.28797,101.682,0.10168,0.10055,-81.666,-0.08167,286.531,0.28653
0.55500,0.28942,101.616,0.10162,0.10028,-80.459,-0.08046,286.539,0.28654
0.55750,0.29088,101.542,0.10154,0.10000,-79.233,-0.07923,286.544,0.28654
0.56000,0.29235,101.459,0.10146,0.09971,-77.988,-0.07799,286.545,0.28655
0.56250,0.29383,101.367,0.10137,0.09940,-76.725,-0.07673,286.543,0.28654
0.56500,0.29532,101.266,0.10127,0.09908,-75.445,-0.07544,286.536,0.28654
0.56750,0.29683,101.156,0.10116,0.09876,-74.147,-0.07415,286.525,0.28652
0.57000,0.29834,101.035,0.10103,0.09842,-72.832,-0.07283,286.508,0.28651
0.57250,0.29986,100.903,0.10090,0.09806,-71.501,-0.07150,286.485,0.28648
0.57500,0.30139,100.761,0.10076,0.09770,-70.153,-0.07015,286.455,0.28646
0.57750,0.30293,100.607,0.10061,0.09733,-68.790,-0.06879,286.419,0.28642
0.58000,0.30448,100.441,0.10044,0.09694,-67.412,-0.06741,286.375,0.28638
0.58250,0.30603,100.262,0.10026,0.09655,-66.018,-0.06602,286.323,0.28632
0.58500,0.30759,100.071,0.10007,0.09614,-64.610,-0.06461,286.263,0.28626
0.58750,0.30915,99.867,0.09987,0.09572,-63.188,-0.06319,286.194,0.28619
0.59000,0.31072,99.649,0.09965,0.09529,-61.752,-0.06175,286.115,0.28611
0.59250,0.31229,99.416,0.09942,0.09485,-60.302,-0.06030,286.026,0.28603
0.59500,0.31386,99.169,0.09917,0.09440,-58.839,-0.05884,285.927,0.28593
0.59750,0.31544,98.908,0.09891,0.09394,-57.364,-0.05736,285.817,0.28582
0.60000,0.31702,98.630,0.09863,0.09347,-55.876,-0.05588,285.695,0.28569
0.60250,0.31860,98.337,0.09834,0.09298,-54.376,-0.05438,285.561,0.28556
0.60500,0.32017,98.028,0.09803,0.09249,-52.865,-0.05286,285.415,0.28541
0.60750,0.32175,97.702,0.09770,0.09199,-51.342,-0.05134,285.255,0.28526
0.61000,0.32333,97.358,0.09736,0.09148,-49.809,-0.04981,285.082,0.28508
0.61250,0.32490,96.997,0.09700,0.09095,-48.265,-0.04827,284.895,0.28489
0.61500,0.32647,96.618,0.09662,0.09042,-46.711,-0.04671,284.693,0.28469
0.61750,0.32804,96.221,0.09622,0.08988,-45.148,-0.04515,284.476,0.28448
0.62000,0.32961,95.804,0.09580,0.08933,-43.575,-0.04358,284.244,0.28424
0.62250,0.33117,95.368,0.09537,0.08877,-41.994,-0.04199,283.996,0.28400
0.62500,0.33272,94.912,0.09491,0.08820,-40.404,-0.04040,283.730,0.28373
0.62750,0.33427,94.437,0.09444,0.08762,-38.805,-0.03881,283.448,0.28345
0.63000,0.33581,93.940,0.09394,0.08703,-37.199,-0.03720,283.148,0.28315
0.63250,0.33734,93.422,0.09342,0.08644,-35.586,-0.03559,282.830,0.28283
0.63500,0.33887,92.883,0.09288,0.08583,-33.966,-0.03397,282.494,0.28249
0.63750,0.34039,92.322,0.09232,0.08522,-32.339,-0.03234,282.138,0.28214
0.64000,0.34189,91.738,0.09174,0.08460,-30.706,-0.03071,281.762,0.28176
0.64250,0.34339,91.131,0.09113,0.08397,-29.067,-0.02907,281.367,0.28137
0.64500,0.34488,90.501,0.09050,0.08333,-27.423,-0.02742,280.950,0.28095
0.64750,0.34635,89.847,0.08985,0.08269,-25.773,-0.02577,280.513,0.28051
0.65000,0.34782,89.170,0.08917,0.08204,-24.119,-0.02412,280.054,0.28005
0.65250,0.34926,88.467,0.08847,0.08138,-22.461,-0.02246,279.572,0.27957
0.65500,0.35070,87.740,0.08774,0.08071,-20.798,-0.02080,279.068,0.27907
0.65750,0.35212,86.986,0.08699,0.08003,-19.132,-0.01913,278.541,0.27854
0.66000,0.35353,86.207,0.08621,0.07935,-17.463,-0.01746,277.990,0.27799
0.66250,0.35492,85.402,0.08540,0.07866,-15.791,-0.01579,277.414,0.27741
0.66500,0.35629,84.570,0.08457,0.07797,-14.117,-0.01412,276.814,0.27681
0.66750,0.35765,83.710,0.08371,0.07727,-12.441,-0.01244,276.189,0.27619
0.67000,0.35899,82.824,0.08282,0.07656,-10.763,-0.01076,275.538,0.27554
0.67250,0.36031,81.911,0.08191,0.07584,-9.084,-0.00908,274.860,0.27486
0.67500,0.36162,80.972,0.08097,0.07512,-7.405,-0.00741,274.157,0.27416
0.67750,0.36291,80.009,0.08001,0.07440,-5.726,-0.00573,273.426,0.27343
0.68000,0.36418,79.023,0.07902,0.07367,-4.047,-0.00405,272.668,0.27267
0.68250,0.36544,78.013,0.07801,0.07293,-2.370,-0.00237,271.882,0.27188
0.68500,0.36668,76.982,0.07698,0.07219,-0.694,-0.00069,271.069,0.27107
0.68750,0.36791,75.929,0.07593,0.07144,0.980,0.00098,270.227,0.27023
0.69000,0.36912,74.857,0.07486,0.07069,2.651,0.00265,269.356,0.26936
0.69250,0.37032,73.765,0.07376,0.06993,4.319,0.00432,268.455,0.26846
0.69500,0.37151,72.655,0.07265,0.06917,5.983,0.00598,267.525,0.26753
0.69750,0.37268,71.527,0.07153,0.06840,7.642,0.00764,266.566,0.26657
0.70000,0.37383,70.382,0.07038,0.06763,9.297,0.00930,265.575,0.26558
0.70250,0.37498,69.222,0.06922,0.06686,10.946,0.01095,264.554,0.26455
0.70500,0.37611,68.047,0.06805,0.06608,12.589,0.01259,263.502,0.26350
0.70750,0.37723,66.859,0.06686,0.06530,14.226,0.01423,262.418,0.26242
0.71000,0.37834,65.657,0.06566,0.06452,15.855,0.01586,261.302,0.26130
0.71250,0.37944,64.443,0.06444,0.06373,17.477,0.01748,260.154,0.26015
0.71500,0.38053,63.217,0.06322,0.06294,19.091,0.01909,258.973,0.25897
0.71750,0.38160,61.982,0.06198,0.06214,20.696,0.02070,257.759,0.25776
0.72000,0.38267,60.736,0.06074,0.06135,22.292,0.02229,256.512,0.25651
0.72250,0.38372,59.483,0.05948,0.06055,23.878,0.02388,255.230,0.25523
0.72500,0.38477,58.221,0.05822,0.05975,25.454,0.02545,253.915,0.25391
0.72750,0.38580,56.952,0.05695,0.05895,27.019,0.02702,252.564,0.25256
0.73000,0.38683,55.678,0.05568,0.05814,28.572,0.02857,251.179,0.25118
0.73250,0.38785,54.399,0.05440,0.05734,30.114,0.03011,249.758,0.24976
0.73500,0.38886,53.115,0.05312,0.05653,31.643,0.03164,248.301,0.24830
0.73750,0.38986,51.828,0.05183,0.05572,33.159,0.03316,246.808,0.24681
0.74000,0.39086,50.539,0.05054,0.05491,34.662,0.03466,245.278,0.24528
0.74250,0.39185,49.248,0.04925,0.05410,36.151,0.03615,243.711,0.24371
0.74500,0.39283,47.956,0.04796,0.05329,37.625,0.03762,242.107,0.24211
0.74750,0.39380,46.665,0.04667,0.05248,39.083,0.03908,240.465,0.24047
0.75000,0.39477,45.375,0.04537,0.05167,40.526,0.04053,238.785,0.23879
0.75250,0.39574,44.087,0.04409,0.05086,41.953,0.04195,237.066,0.23707
0.75500,0.39669,42.802,0.04280,0.05004,43.363,0.04336,235.309,0.23531
0.75750,0.39765,41.520,0.04152,0.04923,44.756,0.04476,233.512,0.23351
0.76000,0.39860,40.244,0.04024,0.04842,46.131,0.04613,231.675,0.23167
