index,group,formula,sigma_RT_mS_cm,dE_int_LNO_meV,dE_int_NCM811_meV,dE_int_Li_meV,dE_H2S_eV,halogen_total,halogen_kinds,cation_core,net_charge
36,3,Li6Ge0.25Sb0.5Mo0.25S5I,0.21,-9.58,-354.18,-511.02,0.41,1,I,Ge0.25Sb0.5Mo0.25,+0.000
37,3,Li5.75Si0.25Sb0.25Mo0.5S5I,0.3,-36.2,-362.03,-504.43,0.02,1,I,Si0.25Sb0.25Mo0.5,+0.000
38,3,Li5.75Si0.25Sb0.25W0.5S5I,0.4,-36.2,-367.75,-500.3,0.02,1,I,Si0.25Sb0.25W0.5,+0.000
39,3,Li5.75Sn0.25Sb0.25Mo0.5S5I,0.81,-10.82,-349.22,-499.4,0.28,1,I,Sn0.25Sb0.25Mo0.5,+0.000
40,3,Li5.75Ge0.25Sb0.25Mo0.5S5I,0.86,-10.82,-352.04,-502.33,0.29,1,I,Ge0.25Sb0.25Mo0.5,+0.000
41,3,Li5.75Sn0.25Sb0.25W0.5S5I,0.95,-10.82,-354.76,-503.16,0.28,1,I,Sn0.25Sb0.25W0.5,+0.000
42,3,Li5.75Ge0.25Sb0.25W0.5S5I,1.27,-10.82,-357.57,-500.82,0.17,1,I,Ge0.25Sb0.25W0.5,+0.000
43,3,Li6.25Sn0.5Sb0.25Mo0.25S5Is,6.22,-9.47,-347.15,-464.85,0.38,1,I,Sn0.5Sb0.25Mo0.25,+0.000
44,3,Li6.25Sn0.5Sb0.25W0.25S5I,7.56,-9.47,-349.93,-466.64,0.38,1,I,Sn0.5Sb0.25W0.25,+0.000
45,3,Li6.25Ge0.5Sb0.25W0.25S5I,14.93,-9.47,-355.61,-461.04,0.28,1,I,Ge0.5Sb0.25W0.25,+0.000
46,3,Li6.25Ge0.5Sb0.25Mo0.25S5I,16.35,-9.47,-352.87,-463.1,0.40,1,I,Ge0.5Sb0.25Mo0.25,+0.000
47,3,Li6.25Si0.5Sb0.25Mo0.25S5I,33.05,-64.35,-372.99,-463.11,-0.07,1,I,Si0.5Sb0.25Mo0.25,+0.000
48,3,Li6.25Si0.5Sb0.25W0.25S5I,33.74,-64.35,-375.82,-458.92,-0.07,1,I,Si0.5Sb0.25W0.25,+0.000
49,4-1,Li6.25Ge0.5Sb0.25W0.25S5Br,13.84,-10.43,-356.29,-463.74,0.27,1,Br,Ge0.5Sb0.25W0.25,+0.000
50,4-1,Li6.5Ge0.75Mo0.25S5Br,16.41,-10.32,-352.23,-414.39,0.37,1,Br,Ge0.75Mo0.25,+0.000
51,4-1,Li6.25Si0.5Sb0.25Mo0.25S5Br,16.87,-63.36,-373.68,-456.89,-0.08,1,Br,Si0.5Sb0.25Mo0.25,+0.000
52,4-1,Li6.5Ge0.75W0.25S5Cl,18.4,-10.32,-354.97,-414.46,0.37,1,Cl,Ge0.75W0.25,+0.000
53,4-1,Li6.5Si0.75W0.25S5Br,19.82,-86.06,-386.19,-400.29,-0.15,1,Br,Si0.75W0.25,+0.000
54,4-1,Li6.25Ge0.5Sb0.25Mo0.25S5Cl,20.28,-10.43,-353.54,-465.88,0.38,1,Cl,Ge0.5Sb0.25Mo0.25,+0.000
55,4-1,Li6.25Ge0.5Sb0.25Mo0.25S5Br,20.57,-10.43,-353.54,-465.88,0.38,1,Br,Ge0.5Sb0.25Mo0.25,+0.000
56,4-1,Li6.25Si0.5Sb0.25W0.25S5Br,21.64,-63.36,-376.51,-461.7,-0.10,1,Br,Si0.5Sb0.25W0.25,+0.000
57,4-1,Li6.25Ge0.5Sb0.25W0.25S5Cl,21.75,-10.43,-356.29,-463.74,0.27,1,Cl,Ge0.5Sb0.25W0.25,+0.000
58,4-1,Li6.5Si0.75W0.25S5Cl,22.79,-86.06,-386.19,-400.29,-0.15,1,Cl,Si0.75W0.25,+0.000
59,4-1,Li6.5Ge0.75W0.25S5Br,24.87,-10.32,-354.97,-414.46,0.37,1,Br,Ge0.75W0.25,+0.000
60,4-1,Li6Si0.75W0.25S4.5Cl1.0Br0.5,26.09,-88.62,-389.51,-411.73,-0.05,1.5,Cl+Br,Si0.75W0.25,+0.000
61,4-1,Li6.5Si0.75Mo0.25S5Cl,26.24,-86.06,-382.82,-404.65,-0.15,1,Cl,Si0.75Mo0.25,+0.000
62,4-1,Li6Ge0.75W0.25S4.5Cl1.0Br0.5,30.5,-8.5,-354.05,-425.26,0.69,1.5,Cl+Br,Ge0.75W0.25,+0.000
63,4-1,Li6.25Si0.5Sb0.25W0.25S5Cl,30.6,-63.36,-376.51,-461.7,-0.10,1,Cl,Si0.5Sb0.25W0.25,+0.000
64,4-1,Li6.5Ge0.75Mo0.25S5Cl,31.24,-10.32,-352.23,-414.39,0.37,1,Cl,Ge0.75Mo0.25,+0.000
65,4-1,Li6.25Si0.5Sb0.25Mo0.25S5Cl,31.65,-63.36,-373.68,-465.89,-0.08,1,Cl,Si0.5Sb0.25Mo0.25,+0.000
66,4-1,Li6.5Si0.75Mo0.25S5Br,38.03,-86.06,-382.82,-404.65,-0.15,1,Br,Si0.75Mo0.25,+0.000
67,4-2,Li5.75Ge0.5Sb0.25Mo0.25S4.5Cl1.0Br0.5,38.28,-8.62,-352.49,-478.64,0.55,1.5,Cl+Br,Ge0.5Sb0.25Mo0.25,+0.000
68,4-2,Li5.75Ge0.5Sb0.25Mo0.25S4.5Cl0.5Br1.0,51.06,-8.62,-352.49,-478.64,0.55,1.5,Cl+Br,Ge0.5Sb0.25Mo0.25,+0.000
69,4-2,Li6Ge0.75Mo0.25S4.5Cl0.5Br1.0,51.61,-8.5,-351.05,-425.67,0.69,1.5,Cl+Br,Ge0.75Mo0.25,+0.000
70,4-2,Li5.75Ge0.5Sb0.25W0.25S4.5Cl0.5Br1.0,53.27,-8.62,-355.50,-476.11,0.55,1.5,Cl+Br,Ge0.5Sb0.25W0.25,+0.000
71,4-2,Li5.75Si0.5Sb0.25W0.25S4.5Br1.0Cl0.5,55.47,-65.43,-377.82,-474.35,-0.19,1.5,Cl+Br,Si0.5Sb0.25W0.25,+0.000
72,4-2,Li5.75Si0.5Sb0.25Mo0.25S4.5Br1.0Cl0.5,63.74,-65.43,-374.69,-478.65,-0.19,1.5,Cl+Br,Si0.5Sb0.25Mo0.25,+0.000
73,4-2,Li5.75Si0.5Sb0.25Mo0.25S4.5Cl1.0Br0.5,65.23,-65.43,-374.69,-478.65,-0.19,1.5,Cl+Br,Si0.5Sb0.25Mo0.25,+0.000
74,4-2,Li6Si0.75W0.25S4.5Cl0.5Br1.0,67.66,-88.62,-389.51,-411.73,-0.05,1.5,Cl+Br,Si0.75W0.25,+0.000
75,4-2,Li5.75Si0.5Sb0.25W0.25S4.5Cl1.0Br0.5,72.52,-65.43,-377.82,-474.35,-0.19,1.5,Cl+Br,Si0.5Sb0.25W0.25,+0.000
76,4-2,Li6Ge0.75W0.25S4.5Cl0.5Br1.0,72.85,-8.5,-354.05,-425.26,0.69,1.5,Cl+Br,Ge0.75W0.25,+0.000
77,4-2,Li5.75Ge0.5Sb0.25W0.25S4.5Cl1.0Br0.5,75.68,-8.62,-355.50,-476.11,0.55,1.5,Cl+Br,Ge0.5Sb0.25W0.25,+0.000
78,4-2,Li6Si0.75Mo0.25S4.5Cl1.0Br0.5,76.25,-88.62,-385.04,-416.21,-0.05,1.5,Cl+Br,Si0.75Mo0.25,+0.000
79,4-2,Li6Si0.75Mo0.25S4.5Cl0.5Br1.0,80.32,-88.62,-385.04,-416.21,-0.05,1.5,Cl+Br,Si0.75Mo0.25,+0.000
80,4-3,Li5.75Ge0.75Mo0.25S4.25Cl1.25Br0.5,0.03,-7.26,-350.37,-431.64,0.72,1.75,Cl+Br,Ge0.75Mo0.25,+0.000
81,4-3,Li5.5Ge0.5Sb0.25W0.25S4.25Cl1.25Br0.5,0.47,-7.37,-355.03,-482.54,0.54,1.75,Cl+Br,Ge0.5Sb0.25W0.25,+0.000
82,4-3,Li5.5Si0.5Sb0.25Mo0.25S4.25Cl1.25Br0.5,0.89,-66.52,-375.28,-485.3,-0.20,1.75,Cl+Br,Si0.5Sb0.25Mo0.25,+0.000
83,4-3,Li5.5Si0.5Sb0.25W0.25S4.25Cl1.25Br0.5,2.38,-66.52,-378.59,-480.93,-0.20,1.75,Cl+Br,Si0.5Sb0.25W0.25,+0.000
84,4-3,Li5.5Ge0.5Sb0.25Mo0.25S4.25Cl1.25Br0.5,7.72,-7.37,-351.84,-485.29,0.54,1.75,Cl+Br,Ge0.5Sb0.25Mo0.25,+0.000
