E_minus_VBM,Li,P,S,Cl,O
-2.7600,8.2939,0.5372,7.3265,53.0696,1.8872
-2.7400,7.7151,0.4998,6.8374,51.3155,1.8030
-2.7200,7.1494,0.4609,6.4396,48.9343,1.7650
-2.7000,6.6042,0.4251,6.1407,46.0419,1.8186
-2.6800,6.0718,0.3954,5.9149,42.8262,1.9935
-2.6600,5.5453,0.3719,5.7134,39.5270,2.2644
-2.6400,5.0255,0.3513,5.4732,36.3277,2.5323
-2.6200,4.5109,0.3276,5.1265,33.2299,2.6575
-2.6000,3.9921,0.2953,4.6258,30.0746,2.5350
-2.5800,3.4623,0.2527,3.9735,26.7117,2.1594
-2.5600,2.9244,0.2030,3.2280,23.1113,1.6288
-2.5400,2.3908,0.1525,2.4794,19.3470,1.0883
-2.5200,1.8771,0.1076,1.8132,15.5292,0.6597
-2.5000,1.4040,0.0725,1.2973,11.8138,0.4126
-2.4800,1.0025,0.0490,0.9943,8.4487,0.3839
-2.4600,0.7107,0.0384,0.9751,5.7416,0.6131
-2.4400,0.5592,0.0411,1.3109,3.9424,1.1519
-2.4200,0.5534,0.0567,2.0252,3.1160,2.0198
-2.4000,0.6614,0.0816,3.0232,3.0878,3.1242
-2.3800,0.8156,0.1084,4.0574,3.4853,4.2131
-2.3600,0.9349,0.1273,4.7957,3.8659,4.9350
-2.3400,0.9633,0.1305,4.9965,3.8964,5.0111
-2.3200,0.9006,0.1170,4.6749,3.4862,4.4045
-2.3000,0.8023,0.0929,4.1251,2.7917,3.3476
-2.2800,0.7464,0.0680,3.7642,2.0876,2.2002
-2.2600,0.7914,0.0501,3.9171,1.6008,1.2546
-2.2400,0.9516,0.0423,4.6862,1.4143,0.6300
-2.2200,1.2032,0.0435,5.9710,1.4823,0.2957
-2.2000,1.5052,0.0509,7.5731,1.7025,0.1577
-2.1800,1.8249,0.0621,9.3252,1.9879,0.1287
-2.1600,2.1546,0.0761,11.1804,2.3037,0.1550
-2.1400,2.5100,0.0931,13.2150,2.6615,0.2098
-2.1200,2.9098,0.1130,15.5225,3.0839,0.2809
-2.1000,3.3462,0.1342,18.0634,3.5611,0.3575
-2.0800,3.7744,0.1539,20.6045,4.0366,0.4293
-2.0600,4.1335,0.1690,22.8268,4.4336,0.4875
-2.0400,4.3862,0.1779,24.5354,4.7028,0.5277
-2.0200,4.5447,0.1816,25.7928,4.8530,0.5509
-2.0000,4.6606,0.1831,26.8609,4.9393,0.5634
-1.9800,4.7870,0.1856,27.9962,5.0202,0.5735
-1.9600,4.9447,0.1909,29.2748,5.1229,0.5881
-1.9400,5.1201,0.1993,30.6057,5.2449,0.6095
-1.9200,5.2954,0.2106,31.9127,5.3878,0.6362
-1.9000,5.4748,0.2246,33.2747,5.5807,0.6638
-1.8800,5.6814,0.2413,34.8732,5.8648,0.6868
-1.8600,5.9259,0.2596,36.7835,6.2506,0.6987
-1.8400,6.1852,0.2773,38.8478,6.6935,0.6939
-1.8200,6.4150,0.2920,40.7570,7.1135,0.6712
-1.8000,6.5823,0.3027,42.2568,7.4408,0.6364
-1.7800,6.6835,0.3100,43.2601,7.6434,0.5996
-1.7600,6.7353,0.3151,43.8005,7.7217,0.5695
