dopant,substituted_site,garnet_wt_pct,cubic_wt_pct,sigma_ionic_S_cm,sigma_electronic_S_cm,Vmax_V,HV_integrated_current_mAh_g,Vmin_V,CCD_mA_cm2,source
Mn,Zr,92.1,47.3,9.59e-06,3.15e-08,3.9,1.85,< 0.1,,paper SI Table S5
Mo,Zr,51.85,51.85,,,3.9,5.18,0.9,,paper SI Table S5
Na,La,95.19,68.43,4.81e-05,2.88e-08,3.9,3.85,< 0.1,> 0.50,paper SI Table S5
Nb,Zr,99.31,94.7,3.98e-05,4.83e-08,3.9,2.39,1.4,,paper SI Table S5
Nd,La,95.8,50.91,4.28e-06,2.96e-08,3.9,9.3,< 0.1,">0.55,<0.70",paper SI Table S5
Ni,Zr,93.13,93.13,9.33e-05,2.7e-08,3.9,1.7,< 0.1,,paper SI Table S5
P,Zr,95.91,61.61,3.39e-06,2.32e-08,3.9,1.54,< 0.1,,paper SI Table S5
Pb,Zr,97.2,97.04,2.04e-05,2.73e-08,3.9,3.54,< 0.1,,paper SI Table S5
Pd,Zr,26.91,26.91,8.25e-07,5.35e-08,3.9,2.68,< 0.1,,paper SI Table S5
Pr,La,96.42,42.45,5.36e-05,3.05e-08,3.9,2.12,< 0.1,,paper SI Table S5
Pt,Zr,100.0,34.87,1.27e-06,6.72e-08,3.9,0.83,0.8*,,paper SI Table S5
Rb,La,94.62,54.45,2.87e-05,2.53e-08,3.9,1.26,1.2,,paper SI Table S5
Re,Zr,100.0,96.67,7.32e-06,4.14e-08,3.9,0.95,1.3,,paper SI Table S5
Rh,Zr,65.53,56.11,2.58e-06,5.68e-08,3.9,7.12,< 0.1,,paper SI Table S5
Ru,Zr,97.64,97.64,6.26e-05,2.09e-07,3.9,6.09,< 0.1,> 0.30,paper SI Table S5
Sc,Zr,97.69,62.86,2.46e-05,2.05e-08,3.9,0.36,< 0.1,> 0.40,paper SI Table S5
Se,Zr,93.63,72.37,4.75e-06,2.6e-08,3.9,2.58,< 0.1,,paper SI Table S5
Si,Zr,91.37,25.79,1.16e-05,1.68e-08,3.9,0.67,1,,paper SI Table S5
Sm,La,97.83,97.33,2.92e-05,3.56e-08,3.9,3.34,< 0.1,,paper SI Table S5
Sn,Zr,98.44,82.99,9.34e-05,4.59e-08,3.9,1.11,< 0.1,,paper SI Table S5
Sr,La,96.87,94.49,4.18e-05,2.33e-08,3.9,3.11,0.9,,paper SI Table S5
Ta,Zr,94.48,70.93,0.000247,2.16e-08,3.9,1.47,1.2*,,paper SI Table S5
Tb,La,91.85,57.4,,,3.8,2.9,< 0.1,,paper SI Table S5
Te,Zr,4.7,4.7,,,3.9,5.38,,,paper SI Table S5
Ti,Zr,99.14,58.21,1.19e-05,2.66e-08,3.9,1.71,< 0.1,0.65,paper SI Table S5
Tl,Zr,95.44,75.73,2e-05,2.87e-08,3.9,6.77,< 0.1,,paper SI Table S5
Tm,La,96.25,96.25,5.81e-06,3.18e-08,3.9,2.55,< 0.1,,paper SI Table S5
V,Zr,97.44,97.44,8.86e-06,2.36e-08,3.9,2.48,0.8*,,paper SI Table S5
W,Zr,100.0,99.38,0.000273,3.08e-08,3.9,3.58,< 0.1,0.40,paper SI Table S5
Y,La,94.8,94.6,2.46e-05,3.14e-08,3.9,0.53,< 0.1,,paper SI Table S5
Yb,La,94.95,76.26,,,3.9,1.87,< 0.1,,paper SI Table S5
Zn,Li,99.01,98.27,2.42e-05,2.16e-08,3.8,6.6,0.8*,> 0.40,paper SI Table S5
Undoped,-,88.08,37.44,1.62e-06,1.66e-07,3.9,1.39,1,,paper SI Table S5
