# RAW values for Origin's Histogram tool (Statistics > Histogram).,
"# One value per structure: |screen_dV_over_V0| x 100, in percent.",
# Two columns of different length - blanks at the bottom of the shorter one are normal.,
"# In Origin: select BOTH columns > Plot > Statistics > Histogram, then set Bin Size = 2.",
"# ** Do NOT use this file with a Column chart, and do NOT use the pre-binned file with Histogram. **",
dV_pct_kept,dV_pct_dropped
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.423,
1.433,
1.436,
1.452,
1.534,
1.534,
1.560,
1.560,
1.560,
1.560,
1.560,
1.560,
1.561,
1.561,
1.561,
1.561,
1.561,
1.561,
1.562,
1.562,
1.562,
1.563,
1.564,
1.564,
1.565,
1.567,
1.573,
1.673,
1.678,
1.802,
1.828,
1.857,
1.857,
1.858,
1.859,
1.862,
1.885,
1.933,
1.949,
1.955,
1.963,
1.970,
1.972,
2.075,
2.075,
2.077,
2.155,
2.174,
2.179,
2.183,
2.308,
2.386,
2.453,
2.562,
2.584,
2.612,
2.614,
2.615,
2.615,
2.626,
2.651,
2.673,
2.824,
2.884,
2.888,
2.952,
2.968,
3.049,
3.049,
3.053,
3.198,
3.198,
3.198,
3.219,
3.231,
3.232,
3.250,
3.251,
3.271,
3.272,
3.272,
3.362,
3.372,
3.376,
3.377,
3.377,
3.390,
3.417,
3.488,
3.553,
3.572,
3.582,
3.596,
3.606,
3.645,
3.646,
3.646,
3.698,
3.707,
3.727,
3.727,
3.727,
3.732,
3.738,
3.738,
3.738,
3.755,
3.755,
3.756,
3.756,
3.760,
3.769,
3.773,
3.780,
3.780,
3.780,
3.784,
3.831,
3.835,
3.836,
3.980,
3.982,
3.982,
3.983,
3.983,
3.983,
4.109,
4.109,
4.109,
4.199,
4.200,
4.201,
4.267,
4.321,
4.323,
4.323,
4.326,
4.327,
4.327,
4.424,
4.425,
4.425,
4.426,
4.426,
4.429,
4.441,
4.441,
4.441,
4.477,
4.477,
4.477,
4.478,
4.478,
4.478,
4.478,
4.478,
4.478,
4.480,
4.490,
4.496,
4.555,
4.581,
4.581,
4.582,
4.662,
4.752,
4.754,
4.757,
4.851,
4.852,
4.852,
4.853,
4.893,
4.998,
4.998,
4.998,
5.021,
5.087,
5.088,
5.089,
5.089,
5.092,
5.093,
5.096,
5.096,
5.105,
5.110,
5.116,
5.116,
5.133,
5.140,
5.194,
5.195,
5.195,
5.195,
5.197,
5.247,
5.251,
5.305,
5.352,
5.354,
5.354,
5.356,
5.376,
5.376,
5.378,
5.436,
5.445,
5.462,
5.502,
5.502,
5.510,
5.531,
5.542,
5.542,
5.542,
5.549,
5.579,
5.583,
5.604,
5.610,
5.611,
5.612,
5.615,
5.617,
5.618,
5.618,
5.656,
5.657,
5.657,
5.661,
5.667,
5.668,
5.668,
5.673,
5.693,
5.693,
5.694,
5.730,
5.730,
5.731,
5.732,
5.732,
5.732,
5.745,
5.777,
5.777,
5.777,
5.782,
5.792,
5.814,
5.855,
5.855,
5.855,
5.885,
5.885,
5.914,
5.915,
5.915,
5.940,
5.940,
5.941,
5.953,
5.953,
5.953,
6.003,
6.003,
6.003,
6.041,
6.041,
6.041,
6.042,
6.042,
6.047,
6.047,
6.048,
6.105,
6.105,
6.106,
6.120,
6.121,
6.121,
6.136,
6.140,
6.140,
6.140,
6.140,
6.140,
6.140,
6.140,
6.148,
6.223,
6.223,
6.223,
6.227,
6.227,
6.228,
6.261,
6.270,
6.293,
6.293,
6.294,
6.294,
6.294,
6.295,
6.295,
6.295,
6.295,
6.304,
6.376,
6.377,
6.377,
6.433,
6.438,
6.438,
6.439,
6.441,
6.442,
6.444,
6.444,
6.444,
6.444,
6.454,
6.463,
6.464,
6.470,
6.480,
6.480,
6.480,
6.485,
6.492,
6.498,
6.540,
6.628,
6.645,
6.647,
6.703,
6.785,
6.787,
6.795,
6.797,
6.802,
6.802,
6.877,
6.893,
6.921,
6.932,
6.958,
6.961,
6.967,
6.970,
6.971,
6.973,
6.982,
6.983,
6.995,
6.995,
6.999,
7.003,
7.006,
7.010,
7.011,
7.015,
7.016,
7.026,
7.035,
7.038,
7.045,
7.048,
7.049,
7.049,
7.051,
7.055,
7.090,
7.091,
7.099,
7.130,
7.130,
7.130,
7.132,
7.136,
7.185,
7.185,
7.185,
7.220,
7.229,
7.236,
7.240,
7.240,
7.240,
7.261,
7.278,
7.286,
7.292,
7.292,
7.292,
7.292,
7.292,
7.292,
7.292,
7.292,
7.292,
7.296,
7.298,
7.310,
7.311,
7.311,
7.321,
7.330,
7.331,
7.369,
7.373,
7.375,
7.391,
7.395,
7.403,
7.404,
7.404,
7.405,
7.408,
7.413,
7.423,
7.468,
7.468,
7.468,
7.482,
7.483,
7.483,
7.483,
7.483,
7.483,
7.483,
7.484,
7.496,
7.496,
7.497,
7.509,
7.522,
7.522,
7.522,
7.523,
7.523,
7.523,
7.523,
7.524,
7.536,
7.539,
7.540,
7.543,
7.551,
7.565,
7.565,
7.565,
7.566,
7.566,
7.566,
7.586,
7.607,
7.607,
7.607,
7.607,
7.607,
7.607,
7.609,
7.609,
7.609,
7.625,
7.626,
7.630,
7.641,
7.668,
7.670,
7.670,
7.679,
7.680,
7.680,
7.680,
7.687,
7.688,
7.694,
7.767,
7.767,
7.768,
7.808,
7.817,
7.821,
7.827,
7.832,
7.834,
7.837,
7.839,
7.873,
7.877,
7.877,
7.885,
7.893,
7.896,
7.914,
7.923,
7.928,
7.939,
7.952,
7.999,
8.001,
8.014,
8.041,
8.044,
8.051,
8.058,
8.068,
8.075,
8.086,
8.087,
8.089,
8.103,
8.113,
8.113,
8.117,
8.131,
8.134,
8.177,
8.178,
8.178,
8.182,
8.182,
8.187,
8.217,
8.217,
8.217,
8.227,
8.250,
8.319,
8.322,
8.326,
8.326,
8.330,
8.332,
8.332,
8.337,
8.339,
8.348,
8.369,
8.375,
8.375,
8.375,
8.406,
8.412,
8.413,
8.414,
8.445,
8.446,
8.446,
8.446,
8.446,
8.523,
8.523,
8.523,
8.530,
8.530,
8.532,
8.547,
8.599,
8.599,
8.599,
8.600,
8.600,
8.600,
8.601,
8.606,
8.607,
8.625,
8.643,
8.656,
8.671,
8.677,
8.677,
8.677,
8.677,
8.677,
8.677,
8.686,
8.686,
8.687,
8.689,
8.689,
8.690,
8.691,
8.705,
8.709,
8.743,
8.750,
8.752,
8.757,
8.757,
8.758,
8.797,
8.797,
8.802,
8.803,
8.803,
8.840,
8.840,
8.840,
8.858,
8.858,
8.858,
8.876,
8.899,
8.908,
8.913,
8.913,
8.914,
8.929,
8.932,
8.966,
8.966,
8.966,
8.969,
8.969,
8.969,
8.969,
8.969,
8.970,
8.989,
8.990,
8.990,
9.020,
9.056,
9.085,
9.097,
9.098,
9.098,
9.098,
9.098,
9.098,
9.113,
9.113,
9.114,
9.131,
9.133,
9.142,
9.142,
9.142,
9.143,
9.144,
9.145,
9.147,
9.147,
9.147,
9.147,
9.150,
9.150,
9.151,
9.153,
9.154,
9.154,
9.154,
9.154,
9.154,
9.154,
9.154,
9.154,
9.157,
9.166,
9.201,
9.201,
9.202,
9.253,
9.254,
9.254,
9.256,
9.257,
9.257,
9.258,
9.259,
9.275,
9.275,
9.275,
9.277,
9.277,
9.278,
9.278,
9.278,
9.279,
9.279,
9.280,
9.281,
9.281,
9.282,
9.309,
9.309,
9.309,
9.317,
9.324,
9.324,
9.324,
9.341,
9.342,
9.353,
9.354,
9.354,
9.355,
9.366,
9.369,
9.371,
9.415,
9.439,
9.440,
9.440,
9.443,
9.443,
9.443,
9.473,
9.474,
9.490,
9.495,
9.495,
9.495,
9.520,
9.524,
9.526,
9.527,
9.527,
9.528,
9.528,
9.538,
9.538,
9.539,
9.539,
9.567,
9.568,
9.572,
9.572,
9.573,
9.573,
9.573,
9.574,
9.574,
9.574,
9.574,
9.574,
9.574,
9.574,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.575,
9.576,
9.576,
9.576,
9.576,
9.576,
9.576,
9.599,
9.601,
9.601,
9.607,
9.612,
9.618,
9.629,
9.636,
9.636,
9.636,
9.642,
9.646,
9.646,
9.664,
9.664,
9.709,
9.718,
9.762,
9.763,
9.766,
9.799,
9.816,
9.821,
9.836,
9.845,
9.846,
9.860,
9.862,
9.862,
9.870,
9.871,
9.876,
9.876,
9.879,
9.887,
9.888,
9.889,
9.889,
9.901,
9.901,
9.903,
9.914,
9.914,
9.919,
9.927,
9.931,
9.935,
9.947,
9.949,
9.950,
9.950,
9.951,
9.952,
9.952,
9.964,
9.977,
9.983,
9.984,
9.984,
9.987,
9.988,
9.990,
9.993,
10.020,
10.020,
10.029,
10.033,
10.034,
10.036,
10.043,
10.044,
10.044,
10.044,
10.044,
10.044,
10.044,
10.045,
10.045,
10.045,
10.046,
10.046,
10.046,
10.046,
10.047,
10.049,
10.055,
10.064,
10.064,
10.064,
10.098,
10.098,
10.098,
10.117,
10.119,
10.124,
10.131,
10.164,
10.165,
10.168,
10.209,
10.209,
10.209,
10.218,
10.218,
10.220,
10.227,
10.228,
10.235,
10.236,
10.243,
10.243,
10.243,
10.256,
10.256,
10.256,
10.264,
10.269,
10.275,
10.275,
10.276,
10.293,
10.331,
10.332,
10.332,
10.346,
10.362,
10.379,
10.379,
10.391,
10.398,
10.398,
10.399,
10.406,
10.407,
10.412,
10.422,
10.426,
10.427,
10.435,
10.442,
10.446,
10.461,
10.482,
10.486,
10.488,
10.488,
10.488,
10.495,
10.495,
10.495,
10.495,
10.495,
10.495,
10.506,
10.506,
10.507,
10.507,
10.515,
10.515,
10.516,
10.521,
10.540,
10.541,
10.542,
10.544,
10.546,
10.547,
10.547,
10.547,
10.556,
10.562,
10.564,
10.574,
10.574,
10.574,
10.589,
10.589,
10.589,
10.589,
10.589,
10.589,
10.589,
10.589,
10.590,
10.598,
10.598,
10.598,
10.598,
10.598,
10.598,
10.612,
10.612,
10.612,
10.619,
10.626,
10.631,
10.632,
10.632,
10.632,
10.632,
10.632,
10.632,
10.647,
10.648,
10.680,
10.682,
10.682,
10.682,
10.682,
10.682,
10.682,
10.692,
10.694,
10.740,
10.743,
10.745,
10.749,
10.766,
10.766,
10.766,
10.767,
10.768,
10.768,
10.768,
10.768,
10.768,
10.813,
10.814,
10.814,
10.820,
10.855,
10.857,
10.873,
10.874,
10.874,
10.912,
10.917,
10.919,
10.938,
10.948,
10.953,
10.957,
10.957,
10.957,
10.967,
10.975,
10.981,
10.989,
10.990,
10.992,
10.995,
11.003,
11.037,
11.047,
11.071,
11.095,
11.096,
11.104,
11.105,
11.105,
11.108,
11.108,
11.108,
11.109,
11.109,
11.118,
11.120,
11.134,
11.135,
11.135,
11.136,
11.137,
11.137,
11.144,
11.144,
11.145,
11.155,
11.163,
11.168,
11.169,
11.169,
11.171,
11.171,
11.188,
11.189,
11.200,
11.209,
11.216,
11.226,
11.226,
11.227,
11.230,
11.239,
11.239,
11.239,
11.239,
11.240,
11.240,
11.240,
11.240,
11.240,
11.240,
11.240,
11.247,
11.266,
11.268,
11.268,
11.268,
11.277,
11.278,
11.280,
11.282,
11.282,
11.289,
11.290,
11.316,
11.321,
11.322,
11.322,
11.325,
11.326,
11.326,
11.336,
11.336,
11.337,
11.337,
11.337,
11.337,
11.337,
11.338,
11.340,
11.344,
11.344,
11.361,
11.363,
11.364,
11.369,
11.370,
11.370,
11.377,
11.378,
11.379,
11.382,
11.435,
11.440,
11.442,
11.442,
11.442,
11.464,
11.471,
11.472,
11.483,
11.486,
11.490,
11.491,
11.491,
11.492,
11.503,
11.504,
11.511,
11.512,
11.519,
11.520,
11.521,
11.522,
11.533,
11.536,
11.537,
11.538,
11.538,
11.539,
11.558,
11.576,
11.580,
11.580,
11.580,
11.580,
11.584,
11.585,
11.591,
11.591,
11.592,
11.605,
11.620,
11.622,
11.622,
11.627,
11.631,
11.631,
11.631,
11.639,
11.648,
11.663,
11.666,
11.672,
11.682,
11.683,
11.685,
11.691,
11.702,
11.703,
11.703,
11.726,
11.726,
11.727,
11.737,
11.746,
11.747,
11.747,
11.748,
11.749,
11.753,
11.768,
11.784,
11.786,
11.792,
11.792,
11.799,
11.800,
11.802,
11.807,
11.810,
11.835,
11.835,
11.835,
11.836,
11.836,
11.836,
11.837,
11.856,
11.865,
11.881,
11.892,
11.892,
11.892,
11.901,
11.911,
11.913,
11.913,
11.922,
11.923,
11.923,
11.923,
11.924,
11.924,
11.925,
11.928,
11.928,
11.928,
11.934,
11.935,
11.941,
11.942,
11.942,
11.943,
11.943,
11.943,
11.943,
11.952,
11.957,
11.966,
11.968,
11.968,
11.968,
11.969,
11.973,
11.973,
11.980,
11.980,
11.980,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.998,
11.999,
11.999,
11.999,
11.999,
11.999,
11.999,
11.999,
12.006,
12.007,
12.009,
12.010,
12.010,
12.011,
12.012,
12.013,
12.013,
12.013,
12.014,
12.015,
12.016,
12.018,
12.020,
12.023,
12.025,
12.025,
12.025,
12.028,
12.030,
12.036,
12.038,
12.042,
12.043,
12.093,
12.101,
12.122,
12.123,
12.123,
12.130,
12.130,
12.130,
12.131,
12.131,
12.131,
12.151,
12.155,
12.157,
12.158,
12.179,
12.179,
12.179,
12.180,
12.185,
12.206,
12.206,
12.207,
12.224,
12.226,
12.226,
12.226,
12.236,
12.236,
12.236,
12.259,
12.261,
12.261,
12.271,
12.272,
12.272,
12.272,
12.273,
12.274,
12.282,
12.285,
12.285,
12.321,
12.324,
12.326,
12.345,
12.346,
12.346,
12.347,
12.347,
12.349,
12.357,
12.358,
12.358,
12.358,
12.358,
12.358,
12.375,
12.375,
12.375,
12.380,
12.393,
12.401,
12.405,
12.405,
12.405,
12.408,
12.408,
12.420,
12.420,
12.429,
12.436,
12.443,
12.458,
12.462,
12.463,
12.463,
12.463,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.464,
12.473,
12.473,
12.485,
12.485,
12.485,
12.485,
12.485,
12.485,
12.485,
12.485,
12.485,
12.541,
12.542,
12.543,
12.548,
12.553,
12.553,
12.553,
12.553,
12.556,
12.562,
12.583,
12.583,
12.583,
12.587,
12.615,
12.616,
12.616,
12.620,
12.620,
12.621,
12.621,
12.621,
12.621,
12.624,
12.624,
12.624,
12.634,
12.644,
12.645,
12.663,
12.663,
12.663,
12.663,
12.663,
12.663,
12.664,
12.664,
12.664,
12.676,
12.693,
12.703,
12.707,
12.722,
12.727,
12.728,
12.728,
12.745,
12.745,
12.745,
12.747,
12.773,
12.781,
12.794,
12.794,
12.794,
12.805,
12.805,
12.808,
12.809,
12.809,
12.817,
12.817,
12.820,
12.820,
12.821,
12.823,
12.824,
12.825,
12.829,
12.830,
12.830,
12.842,
12.856,
12.857,
12.866,
12.871,
12.871,
12.872,
12.878,
12.881,
12.883,
12.886,
12.888,
12.890,
12.893,
12.903,
12.951,
12.955,
12.957,
12.959,
12.961,
12.961,
12.962,
12.962,
12.968,
12.968,
12.968,
12.971,
12.972,
12.975,
12.976,
12.978,
12.990,
12.990,
13.000,
13.000,
13.001,
13.027,
13.027,
13.028,
13.033,
13.037,
13.050,
13.053,
13.056,
13.066,
13.066,
13.067,
13.071,
13.081,
13.101,
13.101,
13.101,
13.120,
13.145,
13.145,
13.145,
13.160,
13.160,
13.161,
13.162,
13.163,
13.163,
13.187,
13.193,
13.206,
13.206,
13.207,
13.223,
13.224,
13.224,
13.234,
13.235,
13.240,
13.240,
13.240,
13.242,
13.242,
13.243,
13.255,
13.256,
13.257,
13.257,
13.270,
13.274,
13.278,
13.301,
13.303,
13.307,
13.307,
13.308,
13.311,
13.325,
13.326,
13.327,
13.330,
13.330,
13.330,
13.331,
13.331,
13.332,
13.334,
13.336,
13.341,
13.344,
13.344,
13.345,
13.347,
13.349,
13.349,
13.366,
13.378,
13.383,
13.383,
13.383,
13.383,
13.384,
13.384,
13.387,
13.388,
13.388,
13.388,
13.392,
13.395,
13.399,
13.402,
13.404,
13.408,
13.408,
13.409,
13.412,
13.418,
13.422,
13.425,
13.427,
13.427,
13.428,
13.437,
13.437,
13.437,
13.440,
13.441,
13.446,
13.452,
13.453,
13.459,
13.460,
13.460,
13.473,
13.488,
13.489,
13.495,
13.501,
13.501,
13.501,
13.507,
13.518,
13.523,
13.523,
13.523,
13.535,
13.556,
13.556,
13.557,
13.565,
13.565,
13.565,
13.567,
13.567,
13.567,
13.583,
13.585,
13.586,
13.586,
13.586,
13.587,
13.587,
13.588,
13.591,
13.593,
13.594,
13.595,
13.596,
13.608,
13.608,
13.627,
13.636,
13.637,
13.638,
13.641,
13.642,
13.652,
13.654,
13.654,
13.665,
13.667,
13.668,
13.670,
13.671,
13.673,
13.674,
13.680,
13.682,
13.683,
13.703,
13.703,
13.703,
13.705,
13.709,
13.709,
13.718,
13.730,
13.733,
13.733,
13.733,
13.735,
13.736,
13.739,
13.745,
13.751,
13.753,
13.762,
13.773,
13.778,
13.788,
13.788,
13.789,
13.795,
13.797,
13.797,
13.815,
13.820,
13.825,
13.829,
13.831,
13.831,
13.831,
13.838,
13.852,
13.853,
13.856,
13.864,
13.871,
13.872,
13.875,
13.895,
13.895,
13.895,
13.911,
13.939,
13.984,
13.994,
13.996,
13.997,
14.004,
14.023,
14.043,
14.047,
14.047,
14.062,
14.088,
14.088,
14.088,
14.103,
14.120,
14.120,
14.121,
14.153,
14.173,
14.174,
14.180,
14.181,
14.181,
14.182,
14.186,
14.187,
14.201,
14.202,
14.203,
14.203,
14.207,
14.209,
14.219,
14.223,
14.228,
14.229,
14.230,
14.231,
14.232,
14.234,
14.235,
14.242,
14.244,
14.244,
14.247,
14.257,
14.258,
14.260,
14.260,
14.260,
14.262,
14.263,
14.266,
14.266,
14.279,
14.282,
14.283,
14.284,
14.307,
14.308,
14.311,
14.320,
14.320,
14.320,
14.326,
14.334,
14.341,
14.358,
14.362,
14.372,
14.372,
14.372,
14.373,
14.390,
14.390,
14.395,
14.396,
14.396,
14.396,
14.396,
14.396,
14.399,
14.405,
14.414,
14.414,
14.414,
14.415,
14.420,
14.420,
14.421,
14.433,
14.437,
14.445,
14.471,
14.472,
14.476,
14.483,
14.483,
14.487,
14.493,
14.497,
14.499,
14.503,
14.514,
14.523,
14.526,
14.529,
14.533,
14.552,
14.555,
14.559,
14.563,
14.563,
14.563,
14.570,
14.570,
14.572,
14.572,
14.572,
14.575,
14.583,
14.596,
14.600,
14.600,
14.601,
14.626,
14.628,
14.637,
14.638,
14.652,
14.655,
14.662,
14.668,
14.669,
14.670,
14.675,
14.679,
14.679,
14.679,
14.679,
14.679,
14.680,
14.680,
14.680,
14.681,
14.683,
14.687,
14.688,
14.688,
14.688,
14.700,
14.709,
14.746,
14.746,
14.747,
14.751,
14.754,
14.755,
14.755,
14.755,
14.773,
14.783,
14.783,
14.783,
14.788,
14.791,
14.793,
14.808,
14.811,
14.812,
14.821,
14.821,
14.839,
14.860,
14.860,
14.860,
14.860,
14.860,
14.860,
14.865,
14.865,
14.865,
14.865,
14.865,
14.865,
14.868,
14.868,
14.869,
14.870,
14.870,
14.871,
14.876,
14.890,
14.896,
14.897,
14.897,
14.897,
14.899,
14.905,
14.908,
14.908,
14.910,
14.910,
14.911,
14.912,
14.912,
14.913,
14.916,
14.917,
14.920,
14.922,
14.927,
14.929,
14.933,
14.934,
14.935,
14.935,
14.937,
14.941,
14.941,
14.941,
14.942,
14.951,
14.951,
14.951,
14.951,
14.951,
14.954,
14.955,
14.955,
14.963,
14.963,
14.963,
14.977,
14.978,
14.984,
14.985,
14.986,
14.995,
14.996,
14.996,
15.001,
15.001,
15.002,
15.004,
15.006,
15.008,
15.010,
15.010,
15.012,
15.016,
15.016,
15.017,
15.018,
15.019,
15.023,
15.024,
15.026,
15.033,
15.047,
15.048,
15.054,
15.060,
15.060,
15.060,
15.061,
15.061,
15.062,
15.071,
15.079,
15.084,
15.085,
15.087,
15.093,
15.094,
15.116,
15.119,
15.119,
15.119,
15.119,
15.121,
15.128,
15.128,
15.130,
15.136,
15.159,
15.160,
15.160,
15.161,
15.173,
15.176,
15.176,
15.177,
15.178,
15.179,
15.179,
15.179,
15.179,
15.185,
15.185,
15.193,
15.193,
15.195,
15.195,
15.195,
15.195,
15.198,
15.202,
15.204,
15.205,
15.207,
15.207,
15.207,
15.207,
15.208,
15.208,
15.209,
15.216,
15.237,
15.237,
15.237,
15.237,
15.248,
15.253,
15.261,
15.261,
15.261,
15.261,
15.262,
15.273,
15.275,
15.284,
15.293,
15.302,
15.308,
15.310,
15.312,
15.314,
15.322,
15.325,
15.329,
15.331,
15.353,
15.353,
15.356,
15.361,
15.374,
15.375,
15.377,
15.383,
15.412,
15.413,
15.415,
15.415,
15.419,
15.422,
15.430,
15.430,
15.431,
15.453,
15.455,
15.455,
15.472,
15.480,
15.480,
15.481,
15.525,
15.525,
15.525,
15.536,
15.537,
15.537,
15.537,
15.542,
15.547,
15.547,
15.547,
15.563,
15.571,
15.572,
15.573,
15.573,
15.574,
15.574,
15.575,
15.575,
15.577,
15.586,
15.589,
15.590,
15.598,
15.608,
15.608,
15.608,
15.613,
15.614,
15.614,
15.634,
15.635,
15.644,
15.645,
15.653,
15.655,
15.658,
15.673,
15.673,
15.674,
15.677,
15.677,
15.678,
15.679,
15.681,
15.681,
15.689,
15.689,
15.689,
15.690,
15.718,
15.723,
15.723,
15.723,
15.738,
15.751,
15.752,
15.752,
15.784,
15.794,
15.794,
15.794,
15.800,
15.803,
15.805,
15.805,
15.805,
15.806,
15.812,
15.814,
15.818,
15.826,
15.827,
15.827,
15.827,
15.827,
15.828,
15.828,
15.828,
15.829,
15.829,
15.829,
15.829,
15.843,
15.844,
15.853,
15.857,
15.858,
15.858,
15.858,
15.859,
15.867,
15.870,
15.886,
15.894,
15.894,
15.894,
15.895,
15.895,
15.897,
15.911,
15.917,
15.926,
15.926,
15.926,
15.929,
15.931,
15.937,
15.938,
15.953,
15.956,
15.960,
15.960,
15.960,
15.961,
15.961,
15.976,
15.982,
15.983,
15.983,
15.983,
15.983,
15.983,
15.983,
15.983,
15.984,
15.988,
15.990,
15.990,
15.990,
15.992,
16.005,
16.018,
16.018,
16.019,
16.026,
16.028,
16.028,
16.036,
16.036,
16.036,
16.038,
16.052,
16.061,
16.061,
16.062,
16.064,
16.109,
16.110,
16.111,
16.111,
16.112,
16.125,
16.130,
16.132,
16.132,
16.133,
16.134,
16.137,
16.140,
16.161,
16.161,
16.162,
16.162,
16.163,
16.163,
16.190,
16.194,
16.204,
16.205,
16.210,
16.210,
16.223,
16.227,
16.227,
16.229,
16.229,
16.236,
16.255,
16.255,
16.255,
16.256,
16.256,
16.256,
16.258,
16.277,
16.280,
16.280,
16.290,
16.290,
16.290,
16.292,
16.303,
16.303,
16.303,
16.306,
16.306,
16.306,
16.306,
16.306,
16.306,
16.316,
16.317,
16.317,
16.317,
16.317,
16.318,
16.319,
16.319,
16.319,
16.319,
16.320,
16.321,
16.321,
16.325,
16.325,
16.329,
16.335,
16.335,
16.337,
16.338,
16.343,
16.345,
16.350,
16.351,
16.351,
16.352,
16.352,
16.352,
16.355,
16.376,
16.392,
16.396,
16.401,
16.408,
16.410,
16.416,
16.420,
16.423,
16.428,
16.435,
16.436,
16.437,
16.454,
16.454,
16.455,
16.455,
16.457,
16.463,
16.472,
16.485,
16.485,
16.491,
16.492,
16.508,
16.508,
16.508,
16.508,
16.509,
16.509,
16.513,
16.517,
16.517,
16.517,
16.529,
16.540,
16.559,
16.559,
16.559,
16.559,
16.561,
16.562,
16.571,
16.577,
16.577,
16.578,
16.578,
16.578,
16.597,
16.597,
16.598,
16.614,
16.639,
16.674,
16.679,
16.701,
16.704,
16.704,
16.705,
16.706,
16.709,
16.709,
16.709,
16.710,
16.710,
16.711,
16.712,
16.712,
16.715,
16.726,
16.748,
16.759,
16.762,
16.766,
16.766,
16.766,
16.766,
16.766,
16.766,
16.770,
16.788,
16.793,
16.801,
16.805,
16.822,
16.823,
16.824,
16.828,
16.837,
16.839,
16.839,
16.839,
16.839,
16.839,
16.839,
16.845,
16.845,
16.845,
16.850,
16.871,
16.876,
16.880,
16.885,
16.885,
16.885,
16.893,
16.901,
16.901,
16.903,
16.904,
16.904,
16.910,
16.910,
16.910,
16.914,
16.926,
16.933,
16.938,
