# LPSCl1.6 (= undoped Li5.4PS4.4Cl1.6) element-projected DOS, VBM-aligned, states/eV, sigma=0.15 eV. Cols: Li P S Cl (no B/O = undoped)
E_minus_VBM,Li,P,S,Cl
-6.9600,0.0000,0.0000,0.0000,0.0000
-6.9500,0.0000,0.0000,0.0000,0.0000
-6.9400,0.0000,0.0000,0.0000,0.0000
-6.9300,0.0000,0.0000,0.0000,0.0000
-6.9200,0.0000,0.0000,0.0000,0.0000
-6.9100,0.0000,0.0000,0.0000,0.0000
-6.9000,0.0000,0.0000,0.0000,0.0000
-6.8900,0.0000,0.0000,0.0000,0.0000
-6.8800,0.0000,0.0000,0.0000,0.0000
-6.8700,0.0000,0.0000,0.0000,0.0000
-6.8600,0.0000,0.0000,0.0000,0.0000
-6.8500,0.0000,0.0000,0.0000,0.0000
-6.8400,0.0000,0.0000,0.0000,0.0000
-6.8300,0.0000,0.0000,0.0000,0.0000
-6.8200,0.0000,0.0000,0.0000,0.0000
-6.8100,0.0000,0.0000,0.0000,0.0000
-6.8000,0.0000,0.0000,0.0000,0.0000
-6.7900,0.0000,0.0000,0.0000,0.0000
-6.7800,0.0000,0.0000,0.0000,0.0000
-6.7700,0.0000,0.0000,0.0000,0.0000
-6.7600,0.0000,0.0000,0.0000,0.0000
-6.7500,0.0000,0.0000,0.0000,0.0000
-6.7400,0.0000,0.0000,0.0000,0.0000
-6.7300,0.0000,0.0000,0.0000,0.0000
-6.7200,0.0000,0.0000,0.0000,0.0000
-6.7100,0.0000,0.0000,0.0000,0.0000
-6.7000,0.0000,0.0000,0.0000,0.0000
-6.6900,0.0000,0.0000,0.0000,0.0000
-6.6800,0.0000,0.0000,0.0000,0.0000
-6.6700,0.0000,0.0000,0.0000,0.0000
-6.6600,0.0000,0.0000,0.0000,0.0000
-6.6500,0.0000,0.0000,0.0000,0.0000
-6.6400,0.0000,0.0000,0.0000,0.0000
-6.6300,0.0000,0.0000,0.0000,0.0000
-6.6200,0.0000,0.0000,0.0000,0.0000
-6.6100,0.0000,0.0000,0.0000,0.0000
-6.6000,0.0000,0.0000,0.0000,0.0000
-6.5900,0.0000,0.0000,0.0000,0.0000
-6.5800,0.0000,0.0000,0.0000,0.0000
-6.5700,0.0000,0.0000,0.0000,0.0000
-6.5600,0.0000,0.0000,0.0000,0.0000
-6.5500,0.0000,0.0000,0.0000,0.0000
-6.5400,0.0000,0.0000,0.0000,0.0000
-6.5300,0.0000,0.0000,0.0000,0.0000
-6.5200,0.0000,0.0000,0.0000,0.0000
-6.5100,0.0000,0.0000,0.0000,0.0000
-6.5000,0.0000,0.0000,0.0000,0.0000
-6.4900,0.0000,0.0000,0.0000,0.0000
-6.4800,0.0000,0.0000,0.0000,0.0000
-6.4700,0.0000,0.0000,0.0000,0.0000
-6.4600,0.0000,0.0000,0.0000,0.0000
-6.4500,0.0000,0.0000,0.0000,0.0000
-6.4400,0.0000,0.0000,0.0000,0.0000
-6.4300,0.0000,0.0000,0.0000,0.0000
-6.4200,0.0000,0.0000,0.0000,0.0000
-6.4100,0.0000,0.0000,0.0000,0.0000
-6.4000,0.0000,0.0000,0.0000,0.0000
-6.3900,0.0000,0.0000,0.0000,0.0000
-6.3800,0.0000,0.0000,0.0000,0.0000
-6.3700,0.0000,0.0000,0.0000,0.0000
-6.3600,0.0000,0.0000,0.0000,0.0000
-6.3500,0.0000,0.0000,0.0000,0.0000
-6.3400,0.0000,0.0000,0.0000,0.0000
-6.3300,0.0000,0.0000,0.0000,0.0000
-6.3200,0.0000,0.0000,0.0000,0.0000
-6.3100,0.0000,0.0000,0.0000,0.0000
-6.3000,0.0000,0.0000,0.0000,0.0000
-6.2900,0.0000,0.0000,0.0000,0.0000
-6.2800,0.0000,0.0000,0.0000,0.0000
-6.2700,0.0000,0.0000,0.0000,0.0000
-6.2600,0.0000,0.0000,0.0000,0.0000
-6.2500,0.0000,0.0000,0.0000,0.0000
-6.2400,0.0000,0.0000,0.0000,0.0000
-6.2300,0.0000,0.0000,0.0000,0.0000
-6.2200,0.0000,0.0000,0.0000,0.0000
-6.2100,0.0000,0.0000,0.0000,0.0000
-6.2000,0.0000,0.0000,0.0000,0.0000
-6.1900,0.0000,0.0000,0.0000,0.0000
-6.1800,0.0000,0.0000,0.0000,0.0000
-6.1700,0.0000,0.0000,0.0000,0.0000
-6.1600,0.0000,0.0000,0.0000,0.0000
-6.1500,0.0000,0.0000,0.0000,0.0000
-6.1400,0.0000,0.0000,0.0000,0.0000
-6.1300,0.0000,0.0000,0.0000,0.0000
-6.1200,0.0000,0.0000,0.0000,0.0000
-6.1100,0.0000,0.0000,0.0000,0.0000
-6.1000,0.0000,0.0000,0.0000,0.0000
-6.0900,0.0000,0.0000,0.0000,0.0000
-6.0800,0.0000,0.0000,0.0000,0.0000
-6.0700,0.0000,0.0000,0.0001,0.0000
-6.0600,0.0000,0.0001,0.0001,0.0000
-6.0500,0.0000,0.0001,0.0002,0.0000
-6.0400,0.0001,0.0001,0.0003,0.0000
-6.0300,0.0001,0.0002,0.0004,0.0000
-6.0200,0.0001,0.0003,0.0006,0.0000
-6.0100,0.0002,0.0004,0.0008,0.0000
-6.0000,0.0002,0.0006,0.0012,0.0000
-5.9900,0.0003,0.0008,0.0016,0.0000
-5.9800,0.0004,0.0010,0.0020,0.0000
-5.9700,0.0005,0.0013,0.0027,0.0000
-5.9600,0.0007,0.0017,0.0034,0.0000
-5.9500,0.0009,0.0021,0.0044,0.0000
-5.9400,0.0011,0.0027,0.0056,0.0001
-5.9300,0.0014,0.0034,0.0071,0.0001
-5.9200,0.0017,0.0043,0.0089,0.0001
-5.9100,0.0022,0.0054,0.0111,0.0001
-5.9000,0.0027,0.0067,0.0138,0.0001
-5.8900,0.0033,0.0083,0.0171,0.0002
-5.8800,0.0041,0.0103,0.0211,0.0002
-5.8700,0.0050,0.0126,0.0258,0.0002
-5.8600,0.0061,0.0154,0.0316,0.0003
-5.8500,0.0074,0.0187,0.0384,0.0004
-5.8400,0.0090,0.0227,0.0465,0.0004
-5.8300,0.0108,0.0273,0.0560,0.0005
-5.8200,0.0130,0.0328,0.0673,0.0006
-5.8100,0.0155,0.0393,0.0804,0.0008
-5.8000,0.0185,0.0468,0.0958,0.0009
-5.7900,0.0219,0.0556,0.1137,0.0011
-5.7800,0.0259,0.0657,0.1344,0.0013
-5.7700,0.0304,0.0774,0.1582,0.0015
-5.7600,0.0357,0.0908,0.1856,0.0018
-5.7500,0.0417,0.1061,0.2168,0.0021
-5.7400,0.0485,0.1235,0.2524,0.0024
-5.7300,0.0561,0.1433,0.2927,0.0028
-5.7200,0.0648,0.1656,0.3381,0.0033
-5.7100,0.0746,0.1906,0.3893,0.0038
-5.7000,0.0854,0.2187,0.4464,0.0043
-5.6900,0.0975,0.2499,0.5101,0.0050
-5.6800,0.1109,0.2846,0.5808,0.0057
-5.6700,0.1257,0.3229,0.6588,0.0064
-5.6600,0.1420,0.3651,0.7447,0.0073
-5.6500,0.1597,0.4113,0.8388,0.0082
-5.6400,0.1791,0.4618,0.9415,0.0092
-5.6300,0.2001,0.5166,1.0531,0.0103
-5.6200,0.2228,0.5759,1.1739,0.0115
-5.6100,0.2472,0.6399,1.3041,0.0128
-5.6000,0.2734,0.7086,1.4440,0.0142
-5.5900,0.3013,0.7821,1.5935,0.0158
-5.5800,0.3309,0.8604,1.7528,0.0174
-5.5700,0.3623,0.9434,1.9218,0.0191
-5.5600,0.3954,1.0312,2.1004,0.0209
-5.5500,0.4301,1.1235,2.2884,0.0229
-5.5400,0.4664,1.2204,2.4857,0.0250
-5.5300,0.5042,1.3216,2.6917,0.0271
-5.5200,0.5433,1.4269,2.9060,0.0294
-5.5100,0.5838,1.5359,3.1282,0.0318
-5.5000,0.6254,1.6486,3.3576,0.0343
-5.4900,0.6681,1.7645,3.5939,0.0369
-5.4800,0.7117,1.8833,3.8361,0.0396
-5.4700,0.7560,2.0047,4.0837,0.0425
-5.4600,0.8009,2.1283,4.3359,0.0454
-5.4500,0.8463,2.2537,4.5918,0.0484
-5.4400,0.8919,2.3804,4.8507,0.0515
-5.4300,0.9376,2.5081,5.1117,0.0547
-5.4200,0.9833,2.6364,5.3741,0.0580
-5.4100,1.0287,2.7648,5.6370,0.0614
-5.4000,1.0738,2.8930,5.8997,0.0649
-5.3900,1.1185,3.0207,6.1615,0.0685
-5.3800,1.1624,3.1474,6.4216,0.0722
-5.3700,1.2057,3.2729,6.6796,0.0760
-5.3600,1.2480,3.3968,6.9347,0.0798
-5.3500,1.2895,3.5190,7.1864,0.0838
-5.3400,1.3298,3.6391,7.4344,0.0879
-5.3300,1.3691,3.7570,7.6783,0.0922
-5.3200,1.4072,3.8726,7.9176,0.0965
-5.3100,1.4441,3.9856,8.1523,0.1010
-5.3000,1.4798,4.0962,8.3823,0.1056
-5.2900,1.5142,4.2041,8.6073,0.1105
-5.2800,1.5474,4.3094,8.8277,0.1155
-5.2700,1.5794,4.4123,9.0433,0.1207
-5.2600,1.6101,4.5126,9.2543,0.1261
-5.2500,1.6397,4.6106,9.4612,0.1318
-5.2400,1.6682,4.7065,9.6643,0.1377
-5.2300,1.6956,4.8005,9.8639,0.1440
-5.2200,1.7220,4.8927,10.0607,0.1506
-5.2100,1.7475,4.9835,10.2552,0.1575
-5.2000,1.7722,5.0731,10.4480,0.1649
-5.1900,1.7961,5.1619,10.6398,0.1726
-5.1800,1.8194,5.2502,10.8313,0.1809
-5.1700,1.8421,5.3384,11.0233,0.1896
-5.1600,1.8644,5.4269,11.2168,0.1988
-5.1500,1.8863,5.5161,11.4126,0.2086
-5.1400,1.9080,5.6065,11.6115,0.2190
-5.1300,1.9295,5.6985,11.8146,0.2300
-5.1200,1.9510,5.7925,12.0226,0.2416
-5.1100,1.9725,5.8890,12.2366,0.2540
-5.1000,1.9943,5.9883,12.4574,0.2670
-5.0900,2.0162,6.0911,12.6858,0.2808
-5.0800,2.0385,6.1975,12.9227,0.2953
-5.0700,2.0613,6.3081,13.1689,0.3105
-5.0600,2.0845,6.4232,13.4249,0.3265
-5.0500,2.1082,6.5430,13.6915,0.3432
-5.0400,2.1326,6.6679,13.9690,0.3607
-5.0300,2.1575,6.7980,14.2577,0.3789
-5.0200,2.1831,6.9334,14.5579,0.3978
-5.0100,2.2093,7.0743,14.8697,0.4173
-5.0000,2.2361,7.2207,15.1930,0.4375
-4.9900,2.2635,7.3725,15.5276,0.4582
-4.9800,2.2915,7.5296,15.8732,0.4795
-4.9700,2.3199,7.6918,16.2292,0.5012
-4.9600,2.3488,7.8588,16.5950,0.5233
-4.9500,2.3779,8.0303,16.9696,0.5457
-4.9400,2.4072,8.2057,17.3520,0.5683
-4.9300,2.4366,8.3846,17.7410,0.5911
-4.9200,2.4659,8.5664,18.1352,0.6139
-4.9100,2.4950,8.7503,18.5332,0.6366
-4.9000,2.5236,8.9356,18.9332,0.6592
-4.8900,2.5517,9.1215,19.3334,0.6816
-4.8800,2.5790,9.3072,19.7321,0.7036
-4.8700,2.6053,9.4916,20.1270,0.7251
-4.8600,2.6305,9.6737,20.5163,0.7461
-4.8500,2.6543,9.8527,20.8975,0.7664
-4.8400,2.6765,10.0273,21.2686,0.7860
-4.8300,2.6969,10.1965,21.6273,0.8047
-4.8200,2.7154,10.3593,21.9713,0.8225
-4.8100,2.7317,10.5144,22.2982,0.8392
-4.8000,2.7456,10.6609,22.6059,0.8549
-4.7900,2.7569,10.7976,22.8921,0.8694
-4.7800,2.7655,10.9235,23.1546,0.8826
-4.7700,2.7712,11.0375,23.3914,0.8945
-4.7600,2.7739,11.1387,23.6005,0.9051
-4.7500,2.7733,11.2262,23.7800,0.9143
-4.7400,2.7695,11.2991,23.9282,0.9221
-4.7300,2.7622,11.3566,24.0435,0.9284
-4.7200,2.7514,11.3979,24.1245,0.9332
-4.7100,2.7371,11.4226,24.1699,0.9365
-4.7000,2.7191,11.4300,24.1787,0.9383
-4.6900,2.6975,11.4197,24.1500,0.9385
-4.6800,2.6722,11.3913,24.0833,0.9372
-4.6700,2.6433,11.3447,23.9780,0.9344
-4.6600,2.6108,11.2797,23.8341,0.9301
-4.6500,2.5747,11.1963,23.6514,0.9243
-4.6400,2.5351,11.0945,23.4302,0.9171
-4.6300,2.4922,10.9747,23.1709,0.9085
-4.6200,2.4461,10.8369,22.8743,0.8985
-4.6100,2.3968,10.6818,22.5412,0.8873
-4.6000,2.3446,10.5097,22.1727,0.8748
-4.5900,2.2896,10.3212,21.7700,0.8612
-4.5800,2.2320,10.1171,21.3346,0.8467
-4.5700,2.1719,9.8981,20.8681,0.8308
-4.5600,2.1097,9.6651,20.3723,0.8139
-4.5500,2.0455,9.4189,19.8492,0.7961
-4.5400,1.9795,9.1606,19.3008,0.7775
-4.5300,1.9121,8.8911,18.7294,0.7583
-4.5200,1.8434,8.6117,18.1372,0.7386
-4.5100,1.7737,8.3233,17.5266,0.7186
-4.5000,1.7034,8.0274,16.9003,0.6983
-4.4900,1.6327,7.7249,16.2606,0.6781
-4.4800,1.5618,7.4172,15.6103,0.6580
-4.4700,1.4910,7.1056,14.9520,0.6384
-4.4600,1.4207,6.7912,14.2884,0.6194
-4.4500,1.3511,6.4754,13.6220,0.6014
-4.4400,1.2826,6.1594,12.9555,0.5849
-4.4300,1.2153,5.8444,12.2916,0.5702
-4.4200,1.1497,5.5316,11.6327,0.5573
-4.4100,1.0859,5.2222,10.9813,0.5469
-4.4000,1.0242,4.9172,10.3398,0.5392
-4.3900,0.9649,4.6178,9.7104,0.5348
-4.3800,0.9082,4.3250,9.0952,0.5341
-4.3700,0.8545,4.0397,8.4964,0.5378
-4.3600,0.8040,3.7627,7.9155,0.5461
-4.3500,0.7569,3.4949,7.3545,0.5598
-4.3400,0.7134,3.2369,6.8146,0.5794
-4.3300,0.6737,2.9893,6.2972,0.6055
-4.3200,0.6380,2.7527,5.8034,0.6386
-4.3100,0.6066,2.5274,5.3342,0.6792
-4.3000,0.5795,2.3139,4.8901,0.7281
-4.2900,0.5568,2.1122,4.4718,0.7858
-4.2800,0.5388,1.9225,4.0792,0.8526
-4.2700,0.5255,1.7448,3.7127,0.9292
-4.2600,0.5169,1.5791,3.3721,1.0161
-4.2500,0.5132,1.4253,3.0572,1.1137
-4.2400,0.5143,1.2831,2.7676,1.2221
-4.2300,0.5202,1.1523,2.5026,1.3421
-4.2200,0.5310,1.0324,2.2616,1.4734
-4.2100,0.5465,0.9233,2.0437,1.6166
-4.2000,0.5667,0.8242,1.8480,1.7714
-4.1900,0.5915,0.7348,1.6735,1.9382
-4.1800,0.6209,0.6546,1.5191,2.1170
-4.1700,0.6546,0.5829,1.3836,2.3076
-4.1600,0.6925,0.5194,1.2660,2.5096
-4.1500,0.7344,0.4633,1.1650,2.7229
-4.1400,0.7803,0.4141,1.0796,2.9474
-4.1300,0.8298,0.3714,1.0085,3.1828
-4.1200,0.8829,0.3344,0.9506,3.4286
-4.1100,0.9394,0.3028,0.9049,3.6847
-4.1000,0.9992,0.2761,0.8704,3.9510
-4.0900,1.0620,0.2536,0.8461,4.2269
-4.0800,1.1277,0.2350,0.8309,4.5123
-4.0700,1.1962,0.2198,0.8243,4.8072
-4.0600,1.2675,0.2077,0.8253,5.1113
-4.0500,1.3414,0.1983,0.8333,5.4247
-4.0400,1.4179,0.1913,0.8478,5.7477
-4.0300,1.4970,0.1863,0.8680,6.0802
-4.0200,1.5786,0.1831,0.8936,6.4225
-4.0100,1.6629,0.1814,0.9242,6.7750
-4.0000,1.7498,0.1810,0.9594,7.1384
-3.9900,1.8396,0.1819,0.9993,7.5135
-3.9800,1.9322,0.1837,1.0433,7.9005
-3.9700,2.0278,0.1863,1.0915,8.3004
-3.9600,2.1265,0.1898,1.1437,8.7137
-3.9500,2.2285,0.1938,1.1998,9.1414
-3.9400,2.3339,0.1984,1.2598,9.5849
-3.9300,2.4429,0.2034,1.3235,10.0441
-3.9200,2.5556,0.2088,1.3912,10.5203
-3.9100,2.6720,0.2146,1.4627,11.0140
-3.9000,2.7924,0.2208,1.5381,11.5265
-3.8900,2.9166,0.2272,1.6174,12.0573
-3.8800,3.0449,0.2339,1.7005,12.6074
-3.8700,3.1771,0.2408,1.7875,13.1769
-3.8600,3.3132,0.2480,1.8783,13.7661
-3.8500,3.4530,0.2553,1.9728,14.3743
-3.8400,3.5966,0.2628,2.0709,15.0020
-3.8300,3.7437,0.2705,2.1726,15.6492
-3.8200,3.8941,0.2784,2.2778,16.3144
-3.8100,4.0475,0.2865,2.3863,16.9975
-3.8000,4.2036,0.2946,2.4978,17.6970
-3.7900,4.3620,0.3029,2.6122,18.4122
-3.7800,4.5224,0.3112,2.7290,19.1419
-3.7700,4.6844,0.3196,2.8482,19.8850
-3.7600,4.8476,0.3280,2.9694,20.6404
-3.7500,5.0115,0.3365,3.0923,21.4062
-3.7400,5.1756,0.3449,3.2167,22.1813
-3.7300,5.3397,0.3532,3.3422,22.9647
-3.7200,5.5031,0.3615,3.4684,23.7539
-3.7100,5.6653,0.3697,3.5951,24.5480
-3.7000,5.8261,0.3779,3.7220,25.3455
-3.6900,5.9849,0.3859,3.8488,26.1452
-3.6800,6.1415,0.3938,3.9752,26.9458
-3.6700,6.2953,0.4015,4.1008,27.7460
-3.6600,6.4461,0.4091,4.2256,28.5448
-3.6500,6.5936,0.4166,4.3491,29.3412
-3.6400,6.7375,0.4238,4.4712,30.1342
-3.6300,6.8776,0.4309,4.5917,30.9230
-3.6200,7.0135,0.4378,4.7103,31.7068
-3.6100,7.1452,0.4445,4.8269,32.4845
-3.6000,7.2724,0.4510,4.9413,33.2557
-3.5900,7.3950,0.4573,5.0533,34.0197
-3.5800,7.5130,0.4634,5.1628,34.7758
-3.5700,7.6260,0.4693,5.2696,35.5230
-3.5600,7.7342,0.4750,5.3736,36.2606
-3.5500,7.8372,0.4805,5.4746,36.9877
-3.5400,7.9351,0.4858,5.5723,37.7033
-3.5300,8.0278,0.4908,5.6668,38.4063
-3.5200,8.1150,0.4956,5.7576,39.0954
-3.5100,8.1968,0.5002,5.8448,39.7692
-3.5000,8.2729,0.5045,5.9279,40.4262
-3.4900,8.3431,0.5085,6.0069,41.0647
-3.4800,8.4075,0.5122,6.0814,41.6828
-3.4700,8.4656,0.5155,6.1513,42.2786
-3.4600,8.5174,0.5185,6.2162,42.8499
-3.4500,8.5626,0.5212,6.2758,43.3943
-3.4400,8.6010,0.5234,6.3300,43.9095
-3.4300,8.6324,0.5251,6.3785,44.3930
-3.4200,8.6566,0.5264,6.4209,44.8421
-3.4100,8.6732,0.5272,6.4569,45.2544
-3.4000,8.6821,0.5275,6.4865,45.6272
-3.3900,8.6831,0.5272,6.5092,45.9581
-3.3800,8.6759,0.5263,6.5250,46.2445
-3.3700,8.6605,0.5248,6.5336,46.4841
-3.3600,8.6366,0.5227,6.5349,46.6749
-3.3500,8.6042,0.5199,6.5288,46.8146
-3.3400,8.5630,0.5164,6.5151,46.9014
-3.3300,8.5132,0.5123,6.4940,46.9336
-3.3200,8.4545,0.5076,6.4652,46.9098
-3.3100,8.3872,0.5021,6.4289,46.8290
-3.3000,8.3111,0.4960,6.3851,46.6902
-3.2900,8.2265,0.4892,6.3339,46.4931
-3.2800,8.1334,0.4818,6.2755,46.2372
-3.2700,8.0320,0.4738,6.2101,45.9228
-3.2600,7.9225,0.4653,6.1378,45.5502
-3.2500,7.8053,0.4561,6.0590,45.1199
-3.2400,7.6804,0.4465,5.9738,44.6330
-3.2300,7.5483,0.4364,5.8825,44.0905
-3.2200,7.4091,0.4258,5.7854,43.4940
-3.2100,7.2635,0.4149,5.6829,42.8453
-3.2000,7.1116,0.4036,5.5754,42.1463
-3.1900,6.9539,0.3921,5.4631,41.3992
-3.1800,6.7907,0.3802,5.3465,40.6062
-3.1700,6.6225,0.3682,5.2259,39.7696
-3.1600,6.4496,0.3560,5.1018,38.8923
-3.1500,6.2727,0.3437,4.9746,37.9769
-3.1400,6.0920,0.3313,4.8449,37.0264
-3.1300,5.9081,0.3189,4.7133,36.0437
-3.1200,5.7215,0.3065,4.5800,35.0318
-3.1100,5.5326,0.2942,4.4456,33.9940
-3.1000,5.3419,0.2819,4.3108,32.9333
-3.0900,5.1499,0.2697,4.1760,31.8530
-3.0800,4.9571,0.2577,4.0420,30.7564
-3.0700,4.7642,0.2458,3.9095,29.6468
-3.0600,4.5715,0.2341,3.7791,28.5275
-3.0500,4.3798,0.2227,3.6518,27.4019
-3.0400,4.1894,0.2115,3.5283,26.2731
-3.0300,4.0011,0.2005,3.4096,25.1447
-3.0200,3.8154,0.1899,3.2964,24.0197
-3.0100,3.6327,0.1795,3.1898,22.9017
-3.0000,3.4538,0.1694,3.0906,21.7935
-2.9900,3.2791,0.1597,2.9999,20.6985
-2.9800,3.1092,0.1503,2.9187,19.6196
-2.9700,2.9446,0.1413,2.8480,18.5596
-2.9600,2.7859,0.1326,2.7889,17.5214
-2.9500,2.6336,0.1243,2.7425,16.5081
-2.9400,2.4881,0.1164,2.7099,15.5218
-2.9300,2.3499,0.1089,2.6920,14.5650
-2.9200,2.2194,0.1018,2.6898,13.6399
-2.9100,2.0969,0.0951,2.7044,12.7485
-2.9000,1.9828,0.0888,2.7365,11.8925
-2.8900,1.8773,0.0829,2.7870,11.0734
-2.8800,1.7808,0.0775,2.8570,10.2928
-2.8700,1.6935,0.0724,2.9470,9.5518
-2.8600,1.6153,0.0678,3.0578,8.8508
-2.8500,1.5466,0.0636,3.1898,8.1910
-2.8400,1.4873,0.0598,3.3438,7.5724
-2.8300,1.4375,0.0564,3.5202,6.9950
-2.8200,1.3970,0.0534,3.7190,6.4589
-2.8100,1.3659,0.0508,3.9409,5.9638
-2.8000,1.3441,0.0486,4.1862,5.5090
-2.7900,1.3312,0.0467,4.4545,5.0936
-2.7800,1.3272,0.0453,4.7459,4.7164
-2.7700,1.3318,0.0441,5.0607,4.3767
-2.7600,1.3449,0.0433,5.3985,4.0730
-2.7500,1.3660,0.0428,5.7590,3.8039
-2.7400,1.3949,0.0426,6.1420,3.5677
-2.7300,1.4312,0.0428,6.5471,3.3624
-2.7200,1.4747,0.0431,6.9740,3.1870
-2.7100,1.5250,0.0438,7.4222,3.0392
-2.7000,1.5818,0.0447,7.8910,2.9174
-2.6900,1.6446,0.0459,8.3800,2.8193
-2.6800,1.7132,0.0472,8.8885,2.7442
-2.6700,1.7872,0.0488,9.4158,2.6892
-2.6600,1.8661,0.0505,9.9612,2.6531
-2.6500,1.9497,0.0525,10.5241,2.6341
-2.6400,2.0377,0.0546,11.1035,2.6307
-2.6300,2.1295,0.0569,11.6988,2.6409
-2.6200,2.2249,0.0593,12.3088,2.6630
-2.6100,2.3236,0.0618,12.9330,2.6965
-2.6000,2.4252,0.0644,13.5704,2.7395
-2.5900,2.5295,0.0672,14.2200,2.7912
-2.5800,2.6361,0.0700,14.8809,2.8503
-2.5700,2.7446,0.0730,15.5520,2.9157
-2.5600,2.8548,0.0760,16.2324,2.9863
-2.5500,2.9664,0.0791,16.9212,3.0611
-2.5400,3.0791,0.0822,17.6173,3.1400
-2.5300,3.1927,0.0855,18.3198,3.2219
-2.5200,3.3067,0.0887,19.0276,3.3060
-2.5100,3.4211,0.0920,19.7399,3.3926
-2.5000,3.5357,0.0953,20.4556,3.4807
-2.4900,3.6501,0.0987,21.1737,3.5701
-2.4800,3.7641,0.1021,21.8934,3.6602
-2.4700,3.8775,0.1055,22.6137,3.7509
-2.4600,3.9902,0.1089,23.3337,3.8419
-2.4500,4.1020,0.1123,24.0526,3.9331
-2.4400,4.2127,0.1157,24.7693,4.0241
-2.4300,4.3221,0.1192,25.4831,4.1150
-2.4200,4.4301,0.1226,26.1929,4.2055
-2.4100,4.5365,0.1261,26.8981,4.2957
-2.4000,4.6413,0.1296,27.5976,4.3854
-2.3900,4.7443,0.1330,28.2906,4.4744
-2.3800,4.8453,0.1365,28.9758,4.5625
-2.3700,4.9443,0.1400,29.6524,4.6497
-2.3600,5.0411,0.1434,30.3193,4.7359
-2.3500,5.1356,0.1469,30.9753,4.8209
-2.3400,5.2276,0.1503,31.6193,4.9046
-2.3300,5.3171,0.1537,32.2499,4.9867
-2.3200,5.4039,0.1571,32.8657,5.0670
-2.3100,5.4877,0.1605,33.4653,5.1453
-2.3000,5.5685,0.1639,34.0471,5.2213
-2.2900,5.6461,0.1672,34.6095,5.2946
-2.2800,5.7203,0.1705,35.1510,5.3651
-2.2700,5.7909,0.1738,35.6700,5.4324
-2.2600,5.8577,0.1770,36.1645,5.4962
-2.2500,5.9206,0.1801,36.6329,5.5561
-2.2400,5.9792,0.1832,37.0735,5.6119
-2.2300,6.0334,0.1862,37.4847,5.6632
-2.2200,6.0831,0.1891,37.8646,5.7098
-2.2100,6.1280,0.1919,38.2121,5.7514
-2.2000,6.1679,0.1946,38.5254,5.7876
-2.1900,6.2027,0.1971,38.8033,5.8184
-2.1800,6.2322,0.1996,39.0448,5.8434
-2.1700,6.2563,0.2018,39.2489,5.8626
-2.1600,6.2750,0.2039,39.4149,5.8758
-2.1500,6.2881,0.2059,39.5423,5.8828
-2.1400,6.2956,0.2077,39.6309,5.8838
-2.1300,6.2975,0.2092,39.6808,5.8788
-2.1200,6.2938,0.2106,39.6920,5.8677
-2.1100,6.2846,0.2118,39.6654,5.8507
-2.1000,6.2701,0.2128,39.6016,5.8280
-2.0900,6.2502,0.2136,39.5018,5.7997
-2.0800,6.2253,0.2142,39.3672,5.7662
-2.0700,6.1955,0.2146,39.1995,5.7278
-2.0600,6.1610,0.2148,39.0005,5.6847
-2.0500,6.1222,0.2148,38.7722,5.6374
-2.0400,6.0792,0.2146,38.5167,5.5861
