# Zhu & Mo, "Materials Design Principles for Air-Stable Lithium/Sodium Solid Electrolytes",
#   Angew. Chem. Int. Ed. 2020, 59, 17472-17476.  DOI 10.1002/anie.202007621
#   SOURCE FILE: anie_202007621_sm_miscellaneous_information.xlsx (SI spreadsheet), 전수 전사 2026-08-05.
#
# !! 이것은 문헌 소환값이다. 우리(Yonghoon-DEM-DFT) 계산이 아니다. !!
#   우리 db 절대값(db/properties/*.json, ESW/gap/sigma 등)과 같은 표·같은 축에 넣지 말 것.
#   인용할 때는 반드시 (a) 출처 (b) 계산 수준 (c) 부분압 조건을 함께 적는다.
#
# 계산 수준 (SI Methods):
#   - 고체 대부분 = Materials Project 형성에너지 직접 소환 (GGA-PBE + MP anion correction),
#     엔트로피/PV 항 무시. 대상은 MP convex hull 위 50 meV/atom 이내 화합물 전부(준안정 포함).
#   - 자체 DFT 4종만: Li3AsS4, Na3AsS4 (enargite-type Pmn2_1), Li3YCl6, Li2ZrCl6 (P-31m).
#     VASP + PAW, GGA-PBE, ecut 520 eV, pseudo Li_sv/Na_pv/P/S. k-mesh 미기재. entry id 칸이 빈 행이 이들.
#   - hydroxide 고체 19종 = NIST-JANAF 실험 표준생성엔탈피 (보정 스킴 없음).
#   - 기체 H2O/H2S/HCl = NIST-JANAF 실험 엔탈피+엔트로피, T = 300 K.
#   - 부분압 보정 dmu(x) = kB*T*ln(x);  preset: x(H2O)=0.1% (=300 K RH ~3%), x(H2S)=x(HCl)=1 ppm.
#   - 대표 가수분해 반응 = H2O 당 정규화 후 최저 dG 반응 (tracer-H2O 극한). SI Step 1-4 알고리즘.
#   -> DFT(고체) + 실험(기체/수산화물) 혼합 스킴. 절대값은 ~0.1 eV급 스킴 의존성 예상.
#
# !! 염화물 부분압 규약 불일치 (우리가 전사 중 발견, 2026-08-05) !!
#   Excel 의 sulfide 시트는 SI 본문값과 일치한다 (Li2S 0.225 = SI eq.(1); Li3PS4 -0.594 vs 본문 -0.608).
#   그러나 chloride 시트(M-Cl / Li-M-Cl / Na-M-Cl)는 SI 본문 이성분 식과 어긋난다:
#     Excel LiCl 1.335 vs SI 본문 +0.977 / Excel NaCl 1.880 vs SI 본문 +1.532.
#   차이 = 0.357 eV = kB*T*ln(1e6) @300 K = HCl 1 ppm 보정항, HCl 1개당.
#   교차검증 3건: (i) Fig 1 의 LiCl->LiOH 경계까지 거리가 0.977 로 읽힌다 (SI 본문 규약),
#                (ii) Fig S1 의 LiCl/NaCl 점선 기준선도 0.98/1.53 에 그려져 있다 (SI 본문 규약),
#                (iii) 그런데 Fig S1 의 LiCl/NaCl *데이터 점* 과 Fig 3c 의 14종은 Excel 값과 정확히 일치.
#   => 논문의 chloride 산점도/표는 HCl 1 ppm 보정을 빠뜨린 것으로 보인다 (H2O 0.1% 보정은 들어가 있음).
#      같은 그림(Fig S1) 안에서 기준선과 데이터 점의 규약이 다르다.
#   조치: 원본값을 'as_published' 로 그대로 두고, 우리가 유도한 preset 환산값을 별도 열로 병기한다.
#     dG_preset_corrected_OURS = dG_as_published - 0.35714 * n_gas_per_H2O   (chloride only)
#     sulfide 는 보정 0 (이미 preset).  ⚠ 이 환산은 우리 추론이다 - 논문이 제시한 값이 아니다.
#     인용 시 어느 열을 썼는지 반드시 밝힐 것.
#
# THIS FILE: SI xlsx 시트 'Li-M-S'(52) + 'Na-M-S'(65) + 'Li-M-Cl'(14) + 'Na-M-Cl'(39) = 170 행.
#   각 행에 0 V 환원 / 4.5 V 산화 / 가수분해가 함께 들어 있다 (원본 시트 구조 그대로 보존).
#
# ★ 본문에 없는 것 2가지가 이 시트에 있다 (2026-08-05 확인):
#   (1) 4.5 V 산화 반응식 + 반응에너지 - 논문 본문은 0 V(환원)만 논의한다.
#   (2) cathodic_limit_V / anodic_limit_V = 전기화학 안정성 창(ESW) 양끝, V vs Li/Li+ (또는 Na/Na+).
#       우리 grand-potential ESW 와 같은 방법(ref [1] Zhu/He/Mo 2015 ACS AMI · 2016 JMCA)의 산출물.
#       ⚠ 그래도 우리 ESW 값과 한 표에 넣지 말 것 - 그들은 MP-GGA ordered 상, 우리는 우리 구조/조건.
#
# 열 정의:
#   source_sheet / alkali / anion    원본 시트와 계열
#   row_in_sheet                     원본 시트 행 번호 (전사 대조용)
#   compound / cation / mp_entry_id  원본 그대로. n/a_own_DFT = 저자 자체 DFT (Li3AsS4/Na3AsS4/Li3YCl6/Li2ZrCl6)
#   reaction_0V / dE_0V_eV_per_alkali    Li(Na) 금속 접촉(0 V) 환원분해. eV per alkali. 음수 클수록 음극에서 잘 분해
#   reaction_4p5V / dE_4p5V_eV_per_alkali  4.5 V 탈리튬 산화분해. eV per alkali. (본문 미논의)
#   cathodic_limit_V / anodic_limit_V      ESW 하한/상한, V vs Li/Li+ (Na 시트는 vs Na/Na+)
#   hydrolysis_reaction .. dG_hyd_*        CSV 1 과 동일 정의 (아래 주의 동일)
#   dG_hyd_eV_per_H2O_as_published   ★ 논문 값 그대로
#   dG_hyd_eV_per_H2O_preset_OURS    ★★ 우리 유도값 (chloride 만 -0.35714*n_HCl) - 논문 값 아님
#
source_sheet,alkali,anion,row_in_sheet,compound,cation,mp_entry_id,reaction_0V,dE_0V_eV_per_alkali,reaction_4p5V,dE_4p5V_eV_per_alkali,cathodic_limit_V,anodic_limit_V,hydrolysis_reaction,gas_product,n_gas_per_H2O,h2o_coeff_check,dG_hyd_eV_per_H2O_as_published,preset_correction_eV_OURS,dG_hyd_eV_per_H2O_preset_OURS
Li-M-S,Li,S,17,Li14Mn2S9,Mn2+,mp-756198,0.25 Li14Mn2S9 + Li -> 2.25 Li2S + 0.5 Mn,-1.437,0.07143 Li14Mn2S9 -> 0.1429 MnS2 + 0.3571 S + Li,-2.384,1.436,1.741,0.5 Li14Mn2S9 + H2O -> H2S + 3.5 Li2S + MnO,H2S,1.0,1.0,0.202,0.0,0.202
Li-M-S,Li,S,18,Li3NbS4,Nb5+,mp-769032,0.2 Li3NbS4 + Li -> 0.8 Li2S + 0.2 Nb,-1.368,0.3333 Li3NbS4 -> 0.3333 NbS3 + 0.3333 S + Li,-2.29,2.07,2.095,1.167 Li3NbS4 + H2O -> H2S + 0.25 Li2SO4 + 0.1667 Li5(NbS2)7 + 1.083 Li2S,H2S,1.0,1.0,-0.243,0.0,-0.243
Li-M-S,Li,S,19,Li8Nb2S9,Nb5+,mp-769036,0.1 Li8Nb2S9 + Li -> 0.9 Li2S + 0.2 Nb,-1.444,0.125 Li8Nb2S9 -> 0.25 NbS3 + 0.375 S + Li,-2.371,2.07,2.095,0.5833 Li8Nb2S9 + H2O -> H2S + 0.1667 Li5(NbS2)7 + 1.667 Li2S + 0.25 Li2SO4,H2S,1.0,1.0,-0.689,0.0,-0.689
Li-M-S,Li,S,20,LiAlS2,Al3+,mp-1106183,0.2 LiAlS2 + Li -> 0.2 Li2Al + 0.4 Li2S,-0.677,LiAlS2 -> 0.5 Al2S3 + 0.5 S + Li,-1.758,0.966,2.671,0.625 LiAlS2 + H2O -> H2S + 0.125 LiAl5O8 + 0.25 Li2S,H2S,1.0,1.0,-0.631,0.0,-0.631
Li-M-S,Li,S,21,Li3VS4,V5+,mp-760375,0.2 Li3VS4 + Li -> 0.8 Li2S + 0.2 V,-1.432,0.3333 Li3VS4 -> 0.3333 VS2 + 0.6667 S + Li,-2.042,1.791,2.302,0.2791 Li3VS4 + H2O -> 0.6628 H2S + 0.0814 Li2SO4 + 0.09302 V3S4 + 0.6744 LiHO,H2S,0.6628,1.0,0.254,0.0,0.254
Li-M-S,Li,S,22,LiCrS2,Cr3+,mp-4226,0.3333 LiCrS2 + Li -> 0.6667 Li2S + 0.3333 Cr,-1.337,LiCrS2 -> CrS2 + Li,-1.938,1.337,2.562,0.5 LiCrS2 + H2O -> H2S + 0.5 LiCrO2,H2S,1.0,1.0,0.219,0.0,0.219
Li-M-S,Li,S,23,LiInS2,In3+,mp-1188392,0.1364 LiInS2 + Li -> 0.2727 Li2S + 0.04545 Li13In3,-0.733,LiInS2 -> 0.5 In2S3 + 0.5 S + Li,-1.836,1.428,2.583,LiInS2 + H2O -> 0.5 H2S + 0.5 In2S3 + LiHO,H2S,0.5,1.0,0.622,0.0,0.622
Li-M-S,Li,S,24,LiGaS2,Ga3+,mp-3647,0.2 LiGaS2 + Li -> 0.2 Li2Ga + 0.4 Li2S,-0.962,LiGaS2 -> 0.5 Ga2S3 + 0.5 S + Li,-1.789,1.304,2.636,0.5 LiGaS2 + H2O -> H2S + 0.5 LiGaO2,H2S,1.0,1.0,0.333,0.0,0.333
Li-M-S,Li,S,25,Li2Cu4S3,Cu+,mp-1178005,0.1875 Li2Cu4S3 + Li -> 0.25 LiCu3 + 0.5625 Li2S,-1.438,0.5 Li2Cu4S3 -> 0.1667 Cu7S4 + 0.8333 CuS + Li,-2.828,1.812,1.839,0.55 Li2Cu4S3 + H2O -> H2S + 0.2 Li3CuS2 + 0.25 Li2SO4 + 2 Cu,H2S,1.0,1.0,0.13,0.0,0.13
Li-M-S,Li,S,26,LiCuS,Cu+,mp-774736,0.75 LiCuS + Li -> 0.25 LiCu3 + 0.75 Li2S,-1.384,LiCuS -> CuS + Li,-2.679,1.812,1.839,LiCuS + H2O -> 0.5 H2S + 0.125 Cu7S4 + 0.125 Cu + LiHO,H2S,0.5,1.0,0.223,0.0,0.223
Li-M-S,Li,S,27,Li3CuS2,Cu+,mp-1177695,0.75 Li3CuS2 + Li -> 0.25 LiCu3 + 1.5 Li2S,-1.352,0.3333 Li3CuS2 -> 0.3333 CuS2 + Li,-2.511,1.757,1.864,0.3333 Li3CuS2 + H2O -> 0.5 H2S + 0.04167 Cu7S4 + 0.04167 Cu + LiHO,H2S,0.5,1.0,0.239,0.0,0.239
Li-M-S,Li,S,28,Li4SiS4,Si4+,n/a_own_DFT,0.122 Li4SiS4 + Li -> 0.4878 Li2S + 0.02439 Li21Si5,-0.692,0.25 Li4SiS4 -> 0.25 SiS2 + 0.5 S + Li,-1.86,1.124,2.555,0.3333 Li4SiS4 + H2O -> H2S + 0.3333 Li2S + 0.3333 Li2SiO3,H2S,1.0,1.0,-0.217,0.0,-0.217
Li-M-S,Li,S,29,Li2SnS3,Sn4+,mp-1190364,0.1212 Li2SnS3 + Li -> 0.3636 Li2S + 0.0303 Li17Sn4,-1.043,0.5 Li2SnS3 -> 0.5 SnS2 + 0.5 S + Li,-2.155,1.959,2.22,1.75 Li2SnS3 + H2O -> H2S + 0.75 Li4SnS4 + 0.25 Li2SO4 + SnS,H2S,1.0,1.0,0.169,0.0,0.169
Li-M-S,Li,S,30,Li4SnS4,Sn4+,mp-1195718,0.1212 Li4SnS4 + Li -> 0.4848 Li2S + 0.0303 Li17Sn4,-1.023,0.25 Li4SnS4 -> 0.25 SnS2 + 0.5 S + Li,-2.153,1.72,2.22,0.2222 Li4SnS4 + H2O -> 0.6111 H2S + 0.05556 Li2SO4 + 0.2222 SnS + 0.7778 LiHO,H2S,0.6111,1.0,0.276,0.0,0.276
Li-M-S,Li,S,31,Li4GeS4,Ge4+,mp-30249,0.129 Li4GeS4 + Li -> 0.5161 Li2S + 0.03226 Li15Ge4,-1.038,0.25 Li4GeS4 -> 0.25 GeS2 + 0.5 S + Li,-2.094,1.62,2.288,0.2 Li4GeS4 + H2O -> 0.8 H2S + 0.2 Li2GeO3 + 0.4 LiHO,H2S,0.8,1.0,0.235,0.0,0.235
Li-M-S,Li,S,32,LiBiS2,Bi3+,mp-1222404,0.1667 LiBiS2 + Li -> 0.3333 Li2S + 0.1667 Li3Bi,-1.197,LiBiS2 -> BiS2 + Li,-2.329,1.691,2.171,LiBiS2 + H2O -> 0.5 H2S + 0.5 Bi2S3 + LiHO,H2S,0.5,1.0,0.306,0.0,0.306
Li-M-S,Li,S,33,Li3BiS3,Bi3+,mp-753720,0.1667 Li3BiS3 + Li -> 0.5 Li2S + 0.1667 Li3Bi,-1.226,0.3333 Li3BiS3 -> 0.3333 BiS2 + 0.3333 S + Li,-2.323,1.691,2.129,0.5 Li3BiS3 + H2O -> 0.5 H2S + 0.5 LiBiS2 + LiHO,H2S,0.5,1.0,0.137,0.0,0.137
Li-M-S,Li,S,34,Li5BiS4,Bi3+,mp-755139,0.1667 Li5BiS4 + Li -> 0.6667 Li2S + 0.1667 Li3Bi,-1.272,0.2 Li5BiS4 -> 0.2 BiS2 + 0.4 S + Li,-2.342,1.691,2.129,0.25 Li5BiS4 + H2O -> 0.5 H2S + 0.25 LiBiS2 + LiHO,H2S,0.5,1.0,0.112,0.0,0.112
Li-M-S,Li,S,35,Li5B7S13,B3+,mp-532413,0.03571 Li5B7S13 + Li -> 0.25 LiB + 0.4643 Li2S,-1.282,0.2 Li5B7S13 -> BS2 + 0.2 B2S3 + Li,-2.391,1.607,2.109,0.09375 Li5B7S13 + H2O -> H2S + 0.07292 Li3BS3 + 0.08333 Li3B7O12,H2S,1.0,1.0,-0.908,0.0,-0.908
Li-M-S,Li,S,36,Li3BS3,B3+,mp-5614,0.25 Li3BS3 + Li -> 0.25 LiB + 0.75 Li2S,-1.276,0.3333 Li3BS3 -> 0.3333 BS2 + 0.3333 S + Li,-2.297,1.587,2.034,0.5833 Li3BS3 + H2O -> H2S + 0.08333 Li3B7O12 + 0.75 Li2S,H2S,1.0,1.0,-0.893,0.0,-0.893
Li-M-S,Li,S,37,Li3Sb17S27,Sb3+,mp-767137,0.009804 Li3Sb17S27 + Li -> 0.2647 Li2S + 0.1667 Li3Sb,-1.327,0.3333 Li3Sb17S27 -> 2.833 Sb2S3 + 0.5 S + Li,-2.372,1.851,2.063,0.3333 Li3Sb17S27 + H2O -> 0.5 H2S + 2.833 Sb2S3 + LiHO,H2S,0.5,1.0,0.085,0.0,0.085
Li-M-S,Li,S,38,Li3Sb11S18,Sb3+,mp-767088,0.01515 Li3Sb11S18 + Li -> 0.2727 Li2S + 0.1667 Li3Sb,-1.322,0.3333 Li3Sb11S18 -> 1.833 Sb2S3 + 0.5 S + Li,-2.215,1.851,2.063,0.3333 Li3Sb11S18 + H2O -> 0.5 H2S + 1.833 Sb2S3 + LiHO,H2S,0.5,1.0,0.243,0.0,0.243
Li-M-S,Li,S,39,LiSbS2,Sb3+,mp-1079885,0.1667 LiSbS2 + Li -> 0.3333 Li2S + 0.1667 Li3Sb,-1.314,LiSbS2 -> 0.5 Sb2S3 + 0.5 S + Li,-2.179,1.781,2.063,LiSbS2 + H2O -> 0.5 H2S + 0.5 Sb2S3 + LiHO,H2S,0.5,1.0,0.279,0.0,0.279
Li-M-S,Li,S,40,Li3SbS3,Sb3+,mp-1194339,0.1667 Li3SbS3 + Li -> 0.5 Li2S + 0.1667 Li3Sb,-1.313,0.3333 Li3SbS3 -> 0.1667 Sb2S3 + 0.5 S + Li,-2.213,1.777,1.959,0.5 Li3SbS3 + H2O -> 0.5 H2S + 0.5 LiSbS2 + LiHO,H2S,0.5,1.0,0.227,0.0,0.227
Li-M-S,Li,S,41,Li5SbS4,Sb3+,mp-776268,0.1667 Li5SbS4 + Li -> 0.6667 Li2S + 0.1667 Li3Sb,-1.392,0.2 Li5SbS4 -> 0.1 Sb2S3 + 0.5 S + Li,-2.316,1.777,1.957,0.6667 Li5SbS4 + H2O -> H2S + 1.417 Li2S + 0.25 Li2SO4 + 0.6667 Sb,H2S,1.0,1.0,0.026,0.0,0.026
Li-M-S,Li,S,42,Li3SbS4,Sb5+,mp-756316,0.125 Li3SbS4 + Li -> 0.5 Li2S + 0.125 Li3Sb,-1.474,0.3333 Li3SbS4 -> 0.1667 Sb2S3 + 0.8333 S + Li,-2.006,1.957,2.299,Li3SbS4 + H2O -> H2S + 0.75 Li3SbS3 + 0.25 LiSbS2 + 0.25 Li2SO4,H2S,1.0,1.0,-0.016,0.0,-0.016
Li-M-S,Li,S,43,Li2TeS3,Te4+,mp-558731,0.1667 Li2TeS3 + Li -> 0.5 Li2S + 0.1667 Li2Te,-1.844,0.5 Li2TeS3 -> 1.5 S + 0.5 Te + Li,-1.675,1.989,2.579,0.5 Li2TeS3 + H2O -> H2S + 0.25 Li2S + 0.25 Li2SO4 + 0.5 Te,H2S,1.0,1.0,-0.081,0.0,-0.081
Li-M-S,Li,S,44,LiAsS2,As3+,mp-555874,0.1667 LiAsS2 + Li -> 0.3333 Li2S + 0.1667 Li3As,-1.406,LiAsS2 -> AsS2 + Li,-2.274,2.224,2.389,0.875 LiAsS2 + H2O -> H2S + 0.25 Li2SO4 + 0.125 Li3AsS4 + 0.75 As,H2S,1.0,1.0,0.044,0.0,0.044
