# energy-resolved COHP curves — LPSOCl Li27P5S21OCl8 62at
# source /data/work/runs/lpsocl_dft/lobster_ext/COHPCAR.lobster  ·  Gaussian sigma 0.1 eV  ·  window [-12.0, 6.0] eV, stride 1
# sign: -pCOHP > 0 = BONDING, < 0 = ANTIBONDING;  E = E - E_F (E_F at 0)
# mean_ = per-bond average (integral to E_F == -ICOHP/bond); sum_ = family convention (plot_lobster_4panel.py)
# {"P-S": {"N": 19, "ICOHP_per_bond_eV": -6.0401, "ICOHP_in_window_eV": -4.8604, "window_coverage": 0.8047, "integral_to_EF_eV": 4.8604, "dmax_A": 2.6, "exclude": ["Li"]}, "P-O": {"N": 1, "ICOHP_per_bond_eV": -8.4127, "ICOHP_in_window_eV": -2.5355, "window_coverage": 0.3014, "integral_to_EF_eV": 2.5355, "dmax_A": null, "exclude": []}, "Li-S": {"N": 106, "ICOHP_per_bond_eV": -1.7672, "ICOHP_in_window_eV": -1.5781, "window_coverage": 0.893, "integral_to_EF_eV": 1.5781, "dmax_A": null, "exclude": []}, "Li-Cl": {"N": 42, "ICOHP_per_bond_eV": -2.1067, "ICOHP_in_window_eV": -0.9479, "window_coverage": 0.45, "integral_to_EF_eV": 0.9479, "dmax_A": null, "exclude": []}, "Li-O": {"N": 5, "ICOHP_per_bond_eV": -1.1545, "ICOHP_in_window_eV": -0.5446, "window_coverage": 0.4717, "integral_to_EF_eV": 0.5446, "dmax_A": null, "exclude": []}, "S-S": {"N": 54, "ICOHP_per_bond_eV": -0.1112, "ICOHP_in_window_eV": -0.1414, "window_coverage": 1.271, "integral_to_EF_eV": 0.1414, "dmax_A": null, "exclude": ["P", "Li", "Cl"]}}
# ⚠ window_coverage: 이 창 안에 담긴 ICOHP 비율. 1 보다 작으면 창 아래(deep) 결합 기여가 곡선에 없다 — 곡선 적분으로 ICOHP 를 재현할 수 없다.
E_minus_EF_eV,mean_pCOHP_P-S,mean_pCOHP_P-O,mean_pCOHP_Li-S,mean_pCOHP_Li-Cl,mean_pCOHP_Li-O,mean_pCOHP_S-S
3.7582,-0.9385,-3.7182,-0.0588,-0.2582,-0.1407,-0.0258
3.8083,-0.7966,-3.0699,-0.0772,-0.3328,-0.1041,-0.0232
3.8584,-0.7395,-2.4646,-0.0997,-0.4158,-0.0794,-0.0231
3.9085,-0.7223,-1.9582,-0.1246,-0.4864,-0.0774,-0.0244
3.9586,-0.7217,-1.5880,-0.1501,-0.5369,-0.0962,-0.0266
4.0087,-0.7293,-1.3997,-0.1737,-0.5698,-0.1278,-0.0291
4.0588,-0.7325,-1.3884,-0.1928,-0.5861,-0.1619,-0.0312
4.1089,-0.7194,-1.4562,-0.2077,-0.5844,-0.1880,-0.0321
4.1590,-0.6950,-1.4765,-0.2234,-0.5715,-0.2003,-0.0323
4.2092,-0.6765,-1.4001,-0.2447,-0.5628,-0.2022,-0.0328
4.2593,-0.6706,-1.2733,-0.2694,-0.5659,-0.2003,-0.0341
4.3094,-0.6617,-1.1634,-0.2883,-0.5704,-0.1958,-0.0354
4.3595,-0.6274,-1.0902,-0.2947,-0.5563,-0.1841,-0.0355
4.4096,-0.5625,-1.0309,-0.2936,-0.5154,-0.1647,-0.0342
4.4597,-0.4841,-0.9646,-0.2977,-0.4595,-0.1441,-0.0322
4.5098,-0.4136,-0.8912,-0.3149,-0.4086,-0.1291,-0.0303
4.5599,-0.3595,-0.8185,-0.3423,-0.3728,-0.1204,-0.0286
4.6100,-0.3184,-0.7497,-0.3725,-0.3498,-0.1149,-0.0269
4.6601,-0.2856,-0.6874,-0.4009,-0.3346,-0.1097,-0.0253
4.7102,-0.2609,-0.6354,-0.4256,-0.3275,-0.1036,-0.0243
4.7603,-0.2452,-0.5949,-0.4431,-0.3310,-0.0977,-0.0240
4.8105,-0.2378,-0.5637,-0.4491,-0.3428,-0.0947,-0.0242
4.8606,-0.2368,-0.5395,-0.4427,-0.3537,-0.0987,-0.0243
4.9107,-0.2412,-0.5216,-0.4274,-0.3538,-0.1128,-0.0241
4.9608,-0.2516,-0.5139,-0.4081,-0.3419,-0.1377,-0.0238
5.0109,-0.2675,-0.5267,-0.3874,-0.3261,-0.1725,-0.0231
5.0610,-0.2829,-0.5685,-0.3668,-0.3150,-0.2139,-0.0220
5.1111,-0.2902,-0.6307,-0.3490,-0.3120,-0.2539,-0.0205
5.1612,-0.2872,-0.6860,-0.3384,-0.3167,-0.2792,-0.0190
5.2113,-0.2793,-0.7068,-0.3360,-0.3279,-0.2805,-0.0179
5.2614,-0.2746,-0.6857,-0.3375,-0.3423,-0.2624,-0.0170
5.3116,-0.2778,-0.6366,-0.3363,-0.3545,-0.2417,-0.0163
5.3617,-0.2872,-0.5772,-0.3306,-0.3597,-0.2328,-0.0154
5.4118,-0.2967,-0.5153,-0.3224,-0.3564,-0.2376,-0.0145
5.4619,-0.3018,-0.4571,-0.3142,-0.3476,-0.2474,-0.0140
5.5120,-0.3058,-0.4196,-0.3070,-0.3391,-0.2533,-0.0140
5.5621,-0.3149,-0.4234,-0.3007,-0.3362,-0.2531,-0.0144
5.6122,-0.3292,-0.4724,-0.2954,-0.3396,-0.2504,-0.0148
5.6623,-0.3421,-0.5443,-0.2915,-0.3450,-0.2490,-0.0151
5.7124,-0.3482,-0.6038,-0.2903,-0.3464,-0.2475,-0.0152
5.7625,-0.3483,-0.6236,-0.2930,-0.3410,-0.2397,-0.0152
5.8126,-0.3451,-0.6002,-0.2982,-0.3307,-0.2213,-0.0150
5.8628,-0.3386,-0.5555,-0.3020,-0.3195,-0.1957,-0.0145
5.9128,-0.3294,-0.5198,-0.3013,-0.3100,-0.1710,-0.0136
5.9630,-0.3215,-0.5092,-0.2973,-0.3014,-0.1542,-0.0126
