"# lpsocl element PDOS normalized. _perTOT = /total atoms (62); _perEL = /count {'Li': 27, 'P': 5, 'S': 21, 'O': 1, 'Cl': 8}"
E_minus_VBM,Li_perTOT,P_perTOT,S_perTOT,Cl_perTOT,O_perTOT,Li_perEL,P_perEL,S_perEL,Cl_perEL,O_perEL
-4.8200,0.02514,0.07882,0.14926,0.00251,0.01917,0.05773,0.97732,0.44069,0.01946,1.18856
-4.8000,0.02134,0.06577,0.12763,0.00209,0.01159,0.04901,0.81557,0.37680,0.01620,0.71832
-4.7800,0.01830,0.05566,0.11046,0.00183,0.00668,0.04202,0.69024,0.32613,0.01416,0.41390
-4.7600,0.01594,0.04814,0.09733,0.00170,0.00400,0.03659,0.59696,0.28736,0.01314,0.24817
-4.7400,0.01415,0.04262,0.08749,0.00166,0.00281,0.03249,0.52852,0.25831,0.01285,0.17400
-4.7200,0.01301,0.03908,0.08124,0.00170,0.00247,0.02988,0.48461,0.23985,0.01321,0.15299
-4.7000,0.01282,0.03825,0.08019,0.00184,0.00265,0.02943,0.47435,0.23676,0.01427,0.16400
-4.6800,0.01399,0.04130,0.08668,0.00209,0.00321,0.03211,0.51216,0.25591,0.01617,0.19890
-4.6600,0.01684,0.04916,0.10254,0.00246,0.00411,0.03867,0.60962,0.30273,0.01906,0.25486
-4.6400,0.02128,0.06164,0.12748,0.00297,0.00526,0.04887,0.76438,0.37638,0.02302,0.32624
-4.6200,0.02656,0.07673,0.15775,0.00361,0.00646,0.06098,0.95148,0.46575,0.02798,0.40080
-4.6000,0.03137,0.09100,0.18684,0.00435,0.00746,0.07204,1.12837,0.55162,0.03368,0.46275
-4.5800,0.03458,0.10145,0.20901,0.00515,0.00811,0.07942,1.25800,0.61707,0.03992,0.50308
-4.5600,0.03597,0.10767,0.22338,0.00603,0.00853,0.08260,1.33514,0.65952,0.04673,0.52869
-4.5400,0.03636,0.11211,0.23455,0.00701,0.00901,0.08350,1.39022,0.69249,0.05436,0.55863
-4.5200,0.03696,0.11807,0.24865,0.00810,0.00980,0.08486,1.46403,0.73411,0.06279,0.60750
-4.5000,0.03842,0.12711,0.26849,0.00922,0.01081,0.08822,1.57618,0.79268,0.07142,0.67015
-4.4800,0.04054,0.13823,0.29192,0.01022,0.01165,0.09308,1.71402,0.86187,0.07922,0.72200
-4.4600,0.04262,0.14912,0.31450,0.01101,0.01186,0.09786,1.84907,0.92854,0.08536,0.73533
-4.4400,0.04416,0.15843,0.33378,0.01159,0.01126,0.10141,1.96455,0.98546,0.08983,0.69825
-4.4200,0.04527,0.16694,0.35154,0.01208,0.01003,0.10396,2.07004,1.03788,0.09361,0.62197
-4.4000,0.04647,0.17678,0.37215,0.01266,0.00858,0.10670,2.19208,1.09874,0.09809,0.53206
-4.3800,0.04814,0.18942,0.39844,0.01341,0.00729,0.11054,2.34875,1.17634,0.10394,0.45200
-4.3600,0.05016,0.20406,0.42860,0.01425,0.00632,0.11519,2.53033,1.26538,0.11044,0.39153
-4.3400,0.05190,0.21793,0.45680,0.01492,0.00559,0.11919,2.70229,1.34864,0.11567,0.34627
-4.3200,0.05271,0.22824,0.47735,0.01519,0.00495,0.12104,2.83013,1.40932,0.11769,0.30668
-4.3000,0.05237,0.23411,0.48855,0.01494,0.00430,0.12025,2.90295,1.44239,0.11578,0.26682
-4.2800,0.05120,0.23677,0.49306,0.01428,0.00366,0.11756,2.93600,1.45571,0.11067,0.22720
-4.2600,0.04965,0.23783,0.49431,0.01338,0.00310,0.11402,2.94915,1.45941,0.10373,0.19197
-4.2400,0.04789,0.23703,0.49189,0.01237,0.00265,0.10996,2.93921,1.45226,0.09585,0.16429
-4.2200,0.04551,0.23154,0.48007,0.01121,0.00232,0.10451,2.87108,1.41736,0.08691,0.14404
-4.2000,0.04193,0.21766,0.45131,0.00984,0.00207,0.09628,2.69900,1.33243,0.07625,0.12827
-4.1800,0.03687,0.19386,0.40240,0.00823,0.00183,0.08467,2.40390,1.18804,0.06375,0.11353
-4.1600,0.03073,0.16260,0.33829,0.00650,0.00158,0.07057,2.01621,0.99877,0.05039,0.09788
-4.1400,0.02442,0.12937,0.27017,0.00489,0.00131,0.05608,1.60425,0.79763,0.03790,0.08144
-4.1200,0.01884,0.09972,0.20925,0.00358,0.00106,0.04327,1.23656,0.61777,0.02778,0.06549
-4.1000,0.01443,0.07647,0.16125,0.00265,0.00083,0.03314,0.94821,0.47607,0.02053,0.05121
-4.0800,0.01110,0.05922,0.12536,0.00202,0.00063,0.02549,0.73437,0.37010,0.01564,0.03906
-4.0600,0.00847,0.04586,0.09724,0.00157,0.00047,0.01946,0.56861,0.28708,0.01214,0.02885
-4.0400,0.00625,0.03445,0.07305,0.00119,0.00033,0.01435,0.42715,0.21567,0.00922,0.02032
-4.0200,0.00432,0.02428,0.05143,0.00085,0.00022,0.00991,0.30105,0.15185,0.00659,0.01339
-4.0000,0.00273,0.01563,0.03308,0.00055,0.00013,0.00626,0.19386,0.09765,0.00429,0.00810
-3.9800,0.00155,0.00903,0.01908,0.00032,0.00007,0.00355,0.11199,0.05633,0.00250,0.00443
-3.9600,0.00078,0.00463,0.00977,0.00017,0.00003,0.00179,0.05740,0.02884,0.00129,0.00217
-3.9400,0.00035,0.00209,0.00440,0.00008,0.00002,0.00080,0.02589,0.01299,0.00058,0.00094
-3.9200,0.00014,0.00082,0.00173,0.00003,0.00001,0.00031,0.01021,0.00512,0.00023,0.00036
-3.9000,0.00005,0.00028,0.00059,0.00001,0.00000,0.00010,0.00349,0.00175,0.00008,0.00012
-3.8800,0.00001,0.00008,0.00017,0.00000,0.00000,0.00003,0.00102,0.00051,0.00002,0.00003
-3.8600,0.00000,0.00002,0.00004,0.00000,0.00000,0.00001,0.00025,0.00012,0.00001,0.00001
-3.8400,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00004,0.00002,0.00000,0.00000
-3.8200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-3.8000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001
-3.7800,0.00001,0.00000,0.00001,0.00004,0.00000,0.00002,0.00001,0.00002,0.00028,0.00009
-3.7600,0.00006,0.00000,0.00004,0.00021,0.00001,0.00014,0.00003,0.00013,0.00161,0.00055
-3.7400,0.00023,0.00001,0.00016,0.00080,0.00003,0.00053,0.00012,0.00049,0.00618,0.00211
-3.7200,0.00075,0.00003,0.00052,0.00257,0.00011,0.00171,0.00040,0.00155,0.01991,0.00681
-3.7000,0.00207,0.00009,0.00145,0.00715,0.00031,0.00476,0.00110,0.00427,0.05540,0.01892
-3.6800,0.00498,0.00021,0.00345,0.01722,0.00073,0.01142,0.00263,0.01018,0.13346,0.04540
-3.6600,0.01035,0.00044,0.00712,0.03593,0.00152,0.02376,0.00547,0.02101,0.27845,0.09405
-3.6400,0.01864,0.00080,0.01273,0.06500,0.00271,0.04281,0.00989,0.03760,0.50372,0.16821
-3.6200,0.02918,0.00126,0.01979,0.10224,0.00419,0.06701,0.01559,0.05843,0.79238,0.25982
-3.6000,0.03988,0.00175,0.02683,0.14071,0.00560,0.09158,0.02166,0.07922,1.09048,0.34706
-3.5800,0.04810,0.00218,0.03204,0.17147,0.00649,0.11045,0.02698,0.09460,1.32893,0.40212
-3.5600,0.05225,0.00250,0.03431,0.18932,0.00656,0.11997,0.03098,0.10130,1.46720,0.40698
-3.5400,0.05298,0.00276,0.03404,0.19683,0.00590,0.12166,0.03419,0.10050,1.52542,0.36578
-3.5200,0.05278,0.00305,0.03285,0.20268,0.00488,0.12120,0.03777,0.09700,1.57078,0.30273
-3.5000,0.05413,0.00343,0.03242,0.21505,0.00399,0.12430,0.04247,0.09570,1.66664,0.24744
-3.4800,0.05790,0.00386,0.03339,0.23575,0.00354,0.13297,0.04792,0.09859,1.82703,0.21945
-3.4600,0.06308,0.00426,0.03529,0.25946,0.00358,0.14485,0.05282,0.10418,2.01081,0.22198
-3.4400,0.06758,0.00449,0.03699,0.27742,0.00395,0.15518,0.05566,0.10920,2.14998,0.24501
-3.4200,0.06931,0.00447,0.03744,0.28182,0.00439,0.15917,0.05544,0.11053,2.18412,0.27247
-3.4000,0.06712,0.00419,0.03611,0.26929,0.00469,0.15413,0.05197,0.10660,2.08699,0.29066
-3.3800,0.06146,0.00372,0.03334,0.24317,0.00477,0.14113,0.04610,0.09843,1.88454,0.29600
-3.3600,0.05482,0.00321,0.03056,0.21430,0.00482,0.12588,0.03977,0.09023,1.66082,0.29901
-3.3400,0.05108,0.00286,0.02997,0.19822,0.00516,0.11729,0.03550,0.08848,1.53624,0.31972
-3.3200,0.05380,0.00285,0.03357,0.20865,0.00605,0.12354,0.03533,0.09912,1.61703,0.37525
-3.3000,0.06434,0.00321,0.04210,0.25056,0.00754,0.14774,0.03977,0.12430,1.94185,0.46746
-3.2800,0.08100,0.00383,0.05445,0.31721,0.00934,0.18600,0.04752,0.16076,2.45834,0.57929
-3.2600,0.09983,0.00454,0.06809,0.39305,0.01101,0.22924,0.05625,0.20102,3.04615,0.68260
