xi,Li3N_guide_eV,LiC6_DFT_eV,xi_DFTpoint,DFTpoint_eV,kT300_eV
0.21750,0.033730,0.219920,,,0.02585
0.22000,0.035120,0.222060,,,0.02585
0.22250,0.036511,0.224160,,,0.02585
0.22500,0.037925,0.226230,,,0.02585
0.22750,0.039350,0.228250,,,0.02585
0.23000,0.040787,0.230240,,,0.02585
0.23250,0.042235,0.232190,,,0.02585
0.23500,0.043695,0.234100,,,0.02585
0.23750,0.045155,0.235970,,,0.02585
0.24000,0.046626,0.237810,,,0.02585
0.24250,0.048110,0.239610,,,0.02585
0.24500,0.049593,0.241370,,,0.02585
0.24750,0.051088,0.243090,,,0.02585
0.25000,0.052582,0.244780,,,0.02585
0.25250,0.054077,0.246430,,,0.02585
0.25500,0.055572,0.248040,,,0.02585
0.25750,0.057066,0.249620,,,0.02585
0.26000,0.058561,0.251170,,,0.02585
0.26250,0.060056,0.252670,,,0.02585
0.26500,0.061551,0.254150,,,0.02585
0.26750,0.063034,0.255590,,,0.02585
0.27000,0.064517,0.256990,,,0.02585
0.27250,0.065989,0.258360,,,0.02585
0.27500,0.067460,0.259690,,,0.02585
0.27750,0.068920,0.261000,,,0.02585
0.28000,0.070380,0.262260,,,0.02585
0.28250,0.071817,0.263500,,,0.02585
0.28500,0.073254,0.264700,,,0.02585
0.28750,0.074667,0.265870,,,0.02585
0.29000,0.076081,0.267010,,,0.02585
0.29250,0.077471,0.268110,,,0.02585
0.29500,0.078850,0.269180,,,0.02585
0.29750,0.080206,0.270220,,,0.02585
0.30000,0.081550,0.271230,,,0.02585
0.30250,0.082883,0.272210,,,0.02585
0.30500,0.084180,0.273160,,,0.02585
0.30750,0.085466,0.274070,,,0.02585
0.31000,0.086741,0.274960,,,0.02585
0.31250,0.087981,0.275810,,,0.02585
0.31500,0.089197,0.276640,,,0.02585
0.31750,0.090391,0.277440,,,0.02585
0.32000,0.091561,0.278200,,,0.02585
0.32250,0.092708,0.278940,,,0.02585
0.32500,0.093821,0.279650,,,0.02585
0.32750,0.094910,0.280330,,,0.02585
0.33000,0.095964,0.280980,,,0.02585
0.33250,0.096996,0.281600,,,0.02585
0.33500,0.097992,0.282190,,,0.02585
0.33750,0.098954,0.282760,,,0.02585
0.34000,0.099892,0.283300,,,0.02585
0.34250,0.100796,0.283810,,,0.02585
0.34500,0.101665,0.284300,,,0.02585
0.34750,0.102511,0.284760,,,0.02585
0.35000,0.103322,0.285200,,,0.02585
0.35250,0.104110,0.285620,,,0.02585
0.35500,0.104863,0.286000,,,0.02585
0.35750,0.105593,0.286370,,,0.02585
0.36000,0.106300,0.286720,,,0.02585
0.36250,0.106972,0.287040,,,0.02585
0.36500,0.107621,0.287340,,,0.02585
0.36750,0.108247,0.287620,,,0.02585
0.37000,0.108849,0.287870,,,0.02585
0.37250,0.109429,0.288110,,,0.02585
0.37500,0.109973,0.288330,,,0.02585
0.37750,0.110506,0.288530,,,0.02585
0.38000,0.111004,0.288720,,,0.02585
0.38250,0.111491,0.288880,,,0.02585
0.38500,0.111955,0.289030,,,0.02585
0.38750,0.112395,0.289160,,,0.02585
0.39000,0.112812,0.289270,,,0.02585
0.39250,0.113206,0.289370,,,0.02585
0.39500,0.113588,0.289460,,,0.02585
0.39750,0.113948,0.289530,,,0.02585
0.40000,0.114284,0.289580,,,0.02585
0.40250,0.114608,0.289620,,,0.02585
0.40500,0.114909,0.289650,,,0.02585
0.40750,0.115199,0.289670,,,0.02585
0.41000,0.115465,0.289680,,,0.02585
0.41250,0.115720,0.289670,,,0.02585
0.41500,0.115952,0.289650,,,0.02585
0.41750,0.116172,0.289630,,,0.02585
0.42000,0.116381,0.289590,,,0.02585
0.42250,0.116578,0.289540,,,0.02585
0.42500,0.116752,0.289490,,,0.02585
0.42750,0.116914,0.289430,,,0.02585
0.43000,0.117064,0.289360,,,0.02585
0.43250,0.117215,0.289280,,,0.02585
0.43500,0.117343,0.289200,,,0.02585
0.43750,0.117458,0.289110,,,0.02585
0.44000,0.117563,0.289020,,,0.02585
0.44250,0.117655,0.288920,,,0.02585
0.44500,0.117748,0.288820,,,0.02585
0.44750,0.117818,0.288710,,,0.02585
0.45000,0.117887,0.288600,,,0.02585
0.45250,0.117945,0.288490,,,0.02585
0.45500,0.118003,0.288370,,,0.02585
0.45750,0.118049,0.288260,,,0.02585
0.46000,0.118084,0.288140,,,0.02585
0.46250,0.118119,0.288030,,,0.02585
0.46500,0.118142,0.287910,,,0.02585
0.46750,0.118165,0.287790,,,0.02585
0.47000,0.118177,0.287680,,,0.02585
0.47250,0.118188,0.287570,,,0.02585
0.47500,0.118200,0.287460,,,0.02585
0.47750,0.118200,0.287350,,,0.02585
0.48000,0.118200,0.287240,,,0.02585
0.48250,0.118200,0.287140,,,0.02585
0.48500,0.118200,0.287050,,,0.02585
0.48750,0.118200,0.286960,,,0.02585
0.49000,0.118200,0.286870,,,0.02585
0.49250,0.118200,0.286790,,,0.02585
0.49500,0.118188,0.286720,,,0.02585
0.49750,0.118188,0.286660,,,0.02585
0.50000,0.118188,0.286600,,,0.02585
0.50250,0.118188,0.286550,,,0.02585
0.50500,0.118188,0.286510,,,0.02585
0.50750,0.118200,0.286480,,,0.02585
0.51000,0.118200,0.286450,,,0.02585
0.51250,0.118200,0.286430,,,0.02585
0.51500,0.118200,0.286410,,,0.02585
0.51750,0.118200,0.286400,,,0.02585
0.52000,0.118200,0.286400,,,0.02585
0.52250,0.118200,0.286400,,,0.02585
0.52500,0.118200,0.286400,,,0.02585
0.52750,0.118188,0.286410,,,0.02585
0.53000,0.118177,0.286410,,,0.02585
0.53250,0.118165,0.286420,,,0.02585
0.53500,0.118142,0.286440,,,0.02585
0.53750,0.118119,0.286450,,,0.02585
0.54000,0.118084,0.286470,,,0.02585
0.54250,0.118049,0.286480,,,0.02585
0.54500,0.118003,0.286490,,,0.02585
0.54750,0.117945,0.286510,,,0.02585
0.55000,0.117887,0.286520,,,0.02585
0.55250,0.117818,0.286530,,,0.02585
0.55500,0.117748,0.286540,,,0.02585
0.55750,0.117655,0.286540,,,0.02585
0.56000,0.117563,0.286550,,,0.02585
0.56250,0.117458,0.286540,,,0.02585
0.56500,0.117343,0.286540,,,0.02585
0.56750,0.117215,0.286520,,,0.02585
0.57000,0.117064,0.286510,,,0.02585
0.57250,0.116914,0.286480,,,0.02585
0.57500,0.116752,0.286460,,,0.02585
0.57750,0.116578,0.286420,,,0.02585
0.58000,0.116381,0.286380,,,0.02585
0.58250,0.116172,0.286320,,,0.02585
0.58500,0.115952,0.286260,,,0.02585
0.58750,0.115720,0.286190,,,0.02585
0.59000,0.115465,0.286110,,,0.02585
0.59250,0.115199,0.286030,,,0.02585
0.59500,0.114909,0.285930,,,0.02585
0.59750,0.114608,0.285820,,,0.02585
0.60000,0.114284,0.285690,,,0.02585
0.60250,0.113948,0.285560,,,0.02585
0.60500,0.113588,0.285410,,,0.02585
0.60750,0.113206,0.285260,,,0.02585
0.61000,0.112812,0.285080,,,0.02585
0.61250,0.112395,0.284890,,,0.02585
0.61500,0.111955,0.284690,,,0.02585
0.61750,0.111491,0.284480,,,0.02585
0.62000,0.111004,0.284240,,,0.02585
0.62250,0.110506,0.284000,,,0.02585
0.62500,0.109973,0.283730,,,0.02585
0.62750,0.109429,0.283450,,,0.02585
0.63000,0.108849,0.283150,,,0.02585
0.63250,0.108247,0.282830,,,0.02585
0.63500,0.107621,0.282490,,,0.02585
0.63750,0.106972,0.282140,,,0.02585
0.64000,0.106300,0.281760,,,0.02585
0.64250,0.105593,0.281370,,,0.02585
0.64500,0.104863,0.280950,,,0.02585
0.64750,0.104110,0.280510,,,0.02585
0.65000,0.103322,0.280050,,,0.02585
0.65250,0.102511,0.279570,,,0.02585
0.65500,0.101665,0.279070,,,0.02585
0.65750,0.100796,0.278540,,,0.02585
0.66000,0.099892,0.277990,,,0.02585
0.66250,0.098954,0.277410,,,0.02585
0.66500,0.097992,0.276810,,,0.02585
0.66750,0.096996,0.276190,,,0.02585
0.67000,0.095964,0.275540,,,0.02585
0.67250,0.094910,0.274860,,,0.02585
0.67500,0.093821,0.274160,,,0.02585
0.67750,0.092708,0.273430,,,0.02585
0.68000,0.091561,0.272670,,,0.02585
0.68250,0.090391,0.271880,,,0.02585
0.68500,0.089197,0.271070,,,0.02585
0.68750,0.087981,0.270230,,,0.02585
0.69000,0.086741,0.269360,,,0.02585
0.69250,0.085466,0.268460,,,0.02585
0.69500,0.084180,0.267530,,,0.02585
0.69750,0.082883,0.266570,,,0.02585
0.70000,0.081550,0.265580,,,0.02585
0.70250,0.080206,0.264550,,,0.02585
0.70500,0.078850,0.263500,,,0.02585
0.70750,0.077471,0.262420,,,0.02585
0.71000,0.076081,0.261300,,,0.02585
0.71250,0.074667,0.260150,,,0.02585
0.71500,0.073254,0.258970,,,0.02585
0.71750,0.071817,0.257760,,,0.02585
0.72000,0.070380,0.256510,,,0.02585
0.72250,0.068920,0.255230,,,0.02585
0.72500,0.067460,0.253910,,,0.02585
0.72750,0.065989,0.252560,,,0.02585
0.73000,0.064517,0.251180,,,0.02585
0.73250,0.063034,0.249760,,,0.02585
0.73500,0.061551,0.248300,,,0.02585
0.73750,0.060056,0.246810,,,0.02585
0.74000,0.058561,0.245280,,,0.02585
0.74250,0.057066,0.243710,,,0.02585
0.74500,0.055572,0.242110,,,0.02585
0.74750,0.054077,0.240470,,,0.02585
0.75000,0.052571,0.238790,,,0.02585
0.75250,0.051088,0.237070,,,0.02585
0.75500,0.049593,0.235310,,,0.02585
0.75750,0.048110,0.233510,,,0.02585
0.76000,0.046626,0.231670,,,0.02585
0.76250,0.045155,0.229800,,,0.02585
0.76500,0.043695,0.227880,,,0.02585
0.76750,0.042235,0.225920,,,0.02585
0.77000,0.040787,0.223920,,,0.02585
0.77250,0.039350,0.221880,,,0.02585
0.77500,0.037925,0.219800,,,0.02585
0.77750,0.036511,0.217670,,,0.02585
0.78000,0.035120,0.215500,,,0.02585
0.78250,0.033730,0.213290,,,0.02585
0.78500,0.032363,0.211030,,,0.02585
0.78750,0.031007,0.208730,,,0.02585
0.79000,0.029675,0.206390,,,0.02585
0.79250,0.028365,0.204000,,,0.02585
0.79500,0.027067,0.201570,,,0.02585
0.79750,0.025793,0.199090,,,0.02585
0.80000,0.024541,0.196560,,,0.02585
0.80250,0.023313,0.193990,,,0.02585
0.80500,0.022108,0.191370,,,0.02585
0.80750,0.020926,0.188700,,,0.02585
0.81000,0.019768,0.185990,,,0.02585
0.81250,0.018644,0.183230,,,0.02585
0.81500,0.017543,0.180420,,,0.02585
0.81750,0.016465,0.177560,,,0.02585
0.82000,0.015422,0.174650,,,0.02585
0.82250,0.014414,0.171700,,,0.02585
0.82500,0.013441,0.168690,,,0.02585
0.82750,0.012502,0.165630,,,0.02585
0.83000,0.011587,0.162520,,,0.02585
0.83250,0.010706,0.159360,,,0.02585
0.83500,0.009872,0.156150,,,0.02585
0.83750,0.009073,0.152890,,,0.02585
0.84000,0.008308,0.149590,,,0.02585
0.84250,0.007566,0.146240,,,0.02585
0.84500,0.006871,0.142850,,,0.02585
0.84750,0.006211,0.139420,,,0.02585
0.85000,0.005573,0.135960,,,0.02585
0.85250,0.004971,0.132460,,,0.02585
0.85500,0.004403,0.128940,,,0.02585
0.85750,0.003870,0.125390,,,0.02585
0.86000,0.003360,0.121820,,,0.02585
0.86250,0.002874,0.118230,,,0.02585
0.86500,0.002422,0.114620,,,0.02585
0.86750,0.001993,0.111000,,,0.02585
0.87000,0.001599,0.107360,,,0.02585
0.87250,0.001228,0.103720,,,0.02585
0.87500,0.000881,0.100080,,,0.02585
0.87750,0.000556,0.096430,,,0.02585
0.88000,0.000255,0.092790,,,0.02585
0.88250,-0.000012,0.089150,,,0.02585
0.88500,-0.000267,0.085510,,,0.02585
0.88750,-0.000498,0.081890,,,0.02585
0.89000,-0.000707,0.078280,,,0.02585
0.89250,-0.000904,0.074680,,,0.02585
0.89500,-0.001066,0.071110,,,0.02585
0.89750,-0.001217,0.067550,,,0.02585
0.90000,-0.001356,0.064030,,,0.02585
0.90250,-0.001472,0.060530,,,0.02585
0.90500,-0.001564,0.057060,,,0.02585
0.90750,-0.001645,0.053620,,,0.02585
0.91000,-0.001715,0.050220,,,0.02585
0.91250,-0.001773,0.046870,,,0.02585
0.91500,-0.001808,0.043550,,,0.02585
0.91750,-0.001831,0.040280,,,0.02585
0.92000,-0.001842,0.037060,,,0.02585
0.92250,-0.001842,0.033900,,,0.02585
0.92500,-0.001842,0.030780,,,0.02585
0.92750,-0.001819,0.027730,,,0.02585
0.93000,-0.001784,0.024740,,,0.02585
0.93250,-0.001750,0.021810,,,0.02585
0.93500,-0.001703,0.018940,,,0.02585
0.93750,-0.001645,0.016150,,,0.02585
0.94000,-0.001587,0.013430,,,0.02585
0.94250,-0.001518,0.010790,,,0.02585
0.94500,-0.001448,0.008220,,,0.02585
0.94750,-0.001379,0.005740,,,0.02585
0.95000,-0.001298,0.003340,,,0.02585
0.95250,-0.001217,0.001030,,,0.02585
0.95500,-0.001124,-0.001190,,,0.02585
0.95750,-0.001043,-0.003320,,,0.02585
0.96000,-0.000950,-0.005340,,,0.02585
0.96250,-0.000857,-0.007270,,,0.02585
0.96500,-0.000776,-0.009100,,,0.02585
0.96750,-0.000684,-0.010820,,,0.02585
0.97000,-0.000603,-0.012430,,,0.02585
0.97250,-0.000521,-0.013930,,,0.02585
0.97500,-0.000440,-0.015320,,,0.02585
0.97750,-0.000371,-0.016580,,,0.02585
0.98000,-0.000301,-0.017730,,,0.02585
0.98250,-0.000232,-0.018750,,,0.02585
0.98500,-0.000174,-0.019650,,,0.02585
0.98750,-0.000127,-0.020420,,,0.02585
0.99000,-0.000081,-0.021050,,,0.02585
0.99250,-0.000046,-0.021550,,,0.02585
0.99500,-0.000023,-0.021910,,,0.02585
0.99750,-0.000000,-0.022130,,,0.02585
1.00000,0.000000,-0.022200,,,0.02585
