t_ps,comp1_600K,comp1_800K,comp1_1000K,comp2_600K,comp2_800K,comp2_1000K
86.00,14.0685,22.2516,110.0370,13.6081,30.9434,116.9612
86.50,12.8774,22.8342,109.5190,13.5070,31.9269,117.8051
87.00,13.0794,21.1879,112.3780,13.2025,31.8067,118.5349
87.50,14.2644,22.8754,112.8110,12.8981,31.6864,119.2647
88.00,13.8867,22.1822,112.3150,12.5936,31.5661,119.9945
88.50,13.3560,19.9677,115.3410,12.4990,31.3262,119.3291
89.00,12.6321,20.9418,117.7200,12.4045,31.0863,118.6637
89.50,12.3403,22.5316,115.3610,12.3099,30.8464,117.9983
90.00,12.5811,22.3277,113.5770,12.2770,30.6755,118.4741
90.50,13.3197,25.9979,104.1050,12.2595,30.5220,119.2353
91.00,12.5328,24.5648,106.1370,12.2420,30.3684,119.9964
91.50,13.0871,24.8867,100.6140,12.5960,30.0705,120.4426
92.00,12.9338,22.0236,99.2433,13.1977,29.6763,120.6788
92.50,11.8119,24.8596,101.5550,13.7995,29.2822,120.9149
93.00,13.0795,23.6750,107.5110,14.0255,28.9216,120.9948
93.50,13.5250,23.9963,111.1760,13.6881,28.6114,120.8403
94.00,12.9255,23.2183,110.8520,13.3507,28.3011,120.6858
94.50,12.7421,25.3789,107.4020,13.0329,28.1294,120.5624
95.00,11.0600,25.1527,107.2610,12.7939,28.5118,120.5631
95.50,10.7966,28.2405,108.8600,12.5550,28.8943,120.5639
96.00,11.2814,27.2831,112.1250,12.3160,29.2767,120.5647
96.50,11.8824,27.7871,113.9250,12.3667,30.4707,118.9629
97.00,9.9969,26.8921,105.6580,12.4174,31.6648,117.3611
97.50,9.9555,27.7013,112.3320,12.4682,32.8588,115.7594
98.00,11.0371,25.6224,115.0890,12.5385,33.1959,114.9989
98.50,12.2627,24.2750,115.5520,12.6136,33.3188,114.4488
99.00,11.9128,26.2247,121.7880,12.6888,33.4417,113.8987
99.50,11.6151,22.6137,121.5150,12.5875,33.0867,113.8618
100.00,11.1339,19.7397,114.5980,12.3685,32.4132,114.1669
