# Li3N(001) vs LiC6(0001) Li-adatom migration profile (Origin-ready)
"# Li3N_guide_eV = 0.1182 * sin^2(pi*xi): SYMMETRIC guide to the eye,"
#   peak exactly at xi=0.5 to match the on-N -> bridge -> on-N structure panel.
#   NOT a computed path - only xi=0 and the saddle are computed configurations.
# LiC6_DFT_eV = cubic spline through the 7 DFT-SCF image energies (diffusion.json lic6_0001_dft_scf).
"# Li3N_DFTpoint_eV: the two values that ARE computed, at xi = 0 and 0.5."
xi,Li3N_guide_eV,LiC6_DFT_eV,kT300_eV,xi_DFTpoint,Li3N_DFTpoint_eV
0.1450,0.02288,0.14623,0.02585,,
0.1475,0.02361,0.14871,0.02585,,
0.1500,0.02436,0.15118,0.02585,,
0.1525,0.02511,0.15364,0.02585,,
0.1550,0.02588,0.15610,0.02585,,
0.1575,0.02665,0.15854,0.02585,,
0.1600,0.02743,0.16097,0.02585,,
0.1625,0.02822,0.16339,0.02585,,
0.1650,0.02901,0.16580,0.02585,,
0.1675,0.02982,0.16820,0.02585,,
0.1700,0.03063,0.17058,0.02585,,
0.1725,0.03144,0.17296,0.02585,,
0.1750,0.03227,0.17532,0.02585,,
0.1775,0.03310,0.17767,0.02585,,
0.1800,0.03393,0.18000,0.02585,,
0.1825,0.03478,0.18232,0.02585,,
0.1850,0.03563,0.18462,0.02585,,
0.1875,0.03648,0.18692,0.02585,,
0.1900,0.03734,0.18919,0.02585,,
0.1925,0.03821,0.19145,0.02585,,
0.1950,0.03908,0.19370,0.02585,,
0.1975,0.03995,0.19592,0.02585,,
0.2000,0.04083,0.19813,0.02585,,
0.2025,0.04172,0.20033,0.02585,,
0.2050,0.04261,0.20251,0.02585,,
0.2075,0.04350,0.20467,0.02585,,
0.2100,0.04440,0.20681,0.02585,,
0.2125,0.04530,0.20893,0.02585,,
0.2150,0.04620,0.21103,0.02585,,
0.2175,0.04711,0.21312,0.02585,,
0.2200,0.04802,0.21518,0.02585,,
0.2225,0.04893,0.21723,0.02585,,
0.2250,0.04985,0.21925,0.02585,,
0.2275,0.05077,0.22125,0.02585,,
0.2300,0.05169,0.22324,0.02585,,
0.2325,0.05261,0.22520,0.02585,,
0.2350,0.05353,0.22714,0.02585,,
0.2375,0.05446,0.22905,0.02585,,
0.2400,0.05538,0.23095,0.02585,,
0.2425,0.05631,0.23282,0.02585,,
0.2450,0.05724,0.23466,0.02585,,
0.2475,0.05817,0.23649,0.02585,,
0.2500,0.05909,0.23829,0.02585,,
0.2525,0.06002,0.24006,0.02585,,
0.2550,0.06095,0.24181,0.02585,,
0.2575,0.06188,0.24353,0.02585,,
0.2600,0.06281,0.24523,0.02585,,
0.2625,0.06373,0.24690,0.02585,,
0.2650,0.06466,0.24855,0.02585,,
0.2675,0.06558,0.25017,0.02585,,
0.2700,0.06650,0.25176,0.02585,,
0.2725,0.06742,0.25332,0.02585,,
0.2750,0.06834,0.25486,0.02585,,
0.2775,0.06925,0.25636,0.02585,,
0.2800,0.07017,0.25784,0.02585,,
0.2825,0.07108,0.25929,0.02585,,
0.2850,0.07199,0.26071,0.02585,,
0.2875,0.07289,0.26210,0.02585,,
0.2900,0.07379,0.26346,0.02585,,
0.2925,0.07469,0.26479,0.02585,,
0.2950,0.07558,0.26608,0.02585,,
0.2975,0.07647,0.26735,0.02585,,
0.3000,0.07736,0.26858,0.02585,,
0.3025,0.07824,0.26978,0.02585,,
0.3050,0.07911,0.27095,0.02585,,
0.3075,0.07998,0.27209,0.02585,,
0.3100,0.08085,0.27319,0.02585,,
0.3125,0.08171,0.27426,0.02585,,
0.3150,0.08256,0.27529,0.02585,,
0.3175,0.08341,0.27629,0.02585,,
0.3200,0.08426,0.27726,0.02585,,
0.3225,0.08509,0.27819,0.02585,,
0.3250,0.08592,0.27908,0.02585,,
0.3275,0.08675,0.27994,0.02585,,
0.3300,0.08756,0.28076,0.02585,,
0.3325,0.08837,0.28155,0.02585,,
0.3350,0.08918,0.28229,0.02585,,
0.3375,0.08997,0.28300,0.02585,,
0.3400,0.09076,0.28368,0.02585,,
0.3425,0.09154,0.28432,0.02585,,
0.3450,0.09231,0.28492,0.02585,,
0.3475,0.09307,0.28549,0.02585,,
0.3500,0.09383,0.28603,0.02585,,
0.3525,0.09458,0.28654,0.02585,,
0.3550,0.09531,0.28701,0.02585,,
0.3575,0.09604,0.28746,0.02585,,
0.3600,0.09676,0.28787,0.02585,,
0.3625,0.09747,0.28825,0.02585,,
0.3650,0.09817,0.28861,0.02585,,
0.3675,0.09887,0.28894,0.02585,,
0.3700,0.09955,0.28924,0.02585,,
0.3725,0.10022,0.28951,0.02585,,
0.3750,0.10088,0.28976,0.02585,,
0.3775,0.10153,0.28999,0.02585,,
0.3800,0.10217,0.29019,0.02585,,
0.3825,0.10280,0.29036,0.02585,,
0.3850,0.10342,0.29052,0.02585,,
0.3875,0.10403,0.29065,0.02585,,
0.3900,0.10463,0.29077,0.02585,,
0.3925,0.10521,0.29086,0.02585,,
0.3950,0.10579,0.29093,0.02585,,
0.3975,0.10635,0.29099,0.02585,,
0.4000,0.10690,0.29102,0.02585,,
0.4025,0.10744,0.29104,0.02585,,
0.4050,0.10797,0.29105,0.02585,,
0.4075,0.10849,0.29103,0.02585,,
0.4100,0.10899,0.29101,0.02585,,
0.4125,0.10948,0.29097,0.02585,,
0.4150,0.10996,0.29091,0.02585,,
0.4175,0.11043,0.29085,0.02585,,
0.4200,0.11088,0.29077,0.02585,,
0.4225,0.11132,0.29068,0.02585,,
0.4250,0.11175,0.29058,0.02585,,
0.4275,0.11216,0.29047,0.02585,,
0.4300,0.11256,0.29035,0.02585,,
0.4325,0.11295,0.29023,0.02585,,
0.4350,0.11333,0.29009,0.02585,,
0.4375,0.11369,0.28995,0.02585,,
0.4400,0.11404,0.28981,0.02585,,
0.4425,0.11437,0.28966,0.02585,,
0.4450,0.11470,0.28950,0.02585,,
0.4475,0.11500,0.28935,0.02585,,
0.4500,0.11530,0.28919,0.02585,,
0.4525,0.11558,0.28902,0.02585,,
0.4550,0.11584,0.28886,0.02585,,
0.4575,0.11609,0.28870,0.02585,,
0.4600,0.11633,0.28853,0.02585,,
0.4625,0.11656,0.28837,0.02585,,
0.4650,0.11677,0.28821,0.02585,,
0.4675,0.11696,0.28805,0.02585,,
0.4700,0.11714,0.28790,0.02585,,
0.4725,0.11731,0.28775,0.02585,,
0.4750,0.11746,0.28761,0.02585,,
0.4775,0.11760,0.28747,0.02585,,
0.4800,0.11772,0.28733,0.02585,,
0.4825,0.11783,0.28721,0.02585,,
0.4850,0.11793,0.28709,0.02585,,
0.4875,0.11801,0.28698,0.02585,,
0.4900,0.11807,0.28689,0.02585,,
0.4925,0.11812,0.28680,0.02585,,
0.4950,0.11816,0.28672,0.02585,,
0.4975,0.11818,0.28665,0.02585,,
0.5000,0.11819,0.28660,0.02585,0.5000,0.11819
0.5025,0.11818,0.28656,0.02585,,
0.5050,0.11816,0.28653,0.02585,,
0.5075,0.11812,0.28652,0.02585,,
0.5100,0.11807,0.28651,0.02585,,
0.5125,0.11801,0.28652,0.02585,,
0.5150,0.11793,0.28653,0.02585,,
0.5175,0.11783,0.28656,0.02585,,
0.5200,0.11772,0.28659,0.02585,,
0.5225,0.11760,0.28663,0.02585,,
0.5250,0.11746,0.28668,0.02585,,
0.5275,0.11731,0.28673,0.02585,,
0.5300,0.11714,0.28679,0.02585,,
0.5325,0.11696,0.28685,0.02585,,
0.5350,0.11677,0.28691,0.02585,,
0.5375,0.11656,0.28698,0.02585,,
0.5400,0.11633,0.28705,0.02585,,
0.5425,0.11609,0.28713,0.02585,,
0.5450,0.11584,0.28720,0.02585,,
0.5475,0.11558,0.28727,0.02585,,
0.5500,0.11530,0.28734,0.02585,,
0.5525,0.11500,0.28741,0.02585,,
0.5550,0.11470,0.28748,0.02585,,
0.5575,0.11437,0.28755,0.02585,,
0.5600,0.11404,0.28761,0.02585,,
0.5625,0.11369,0.28766,0.02585,,
0.5650,0.11333,0.28772,0.02585,,
0.5675,0.11295,0.28776,0.02585,,
0.5700,0.11256,0.28780,0.02585,,
0.5725,0.11216,0.28783,0.02585,,
0.5750,0.11175,0.28785,0.02585,,
0.5775,0.11132,0.28787,0.02585,,
0.5800,0.11088,0.28787,0.02585,,
0.5825,0.11043,0.28787,0.02585,,
0.5850,0.10996,0.28785,0.02585,,
0.5875,0.10948,0.28782,0.02585,,
0.5900,0.10899,0.28778,0.02585,,
0.5925,0.10849,0.28772,0.02585,,
0.5950,0.10797,0.28765,0.02585,,
0.5975,0.10744,0.28757,0.02585,,
0.6000,0.10690,0.28747,0.02585,,
0.6025,0.10635,0.28735,0.02585,,
0.6050,0.10579,0.28722,0.02585,,
0.6075,0.10521,0.28707,0.02585,,
0.6100,0.10463,0.28690,0.02585,,
0.6125,0.10403,0.28671,0.02585,,
0.6150,0.10342,0.28650,0.02585,,
0.6175,0.10280,0.28627,0.02585,,
0.6200,0.10217,0.28602,0.02585,,
0.6225,0.10153,0.28574,0.02585,,
0.6250,0.10088,0.28544,0.02585,,
0.6275,0.10022,0.28512,0.02585,,
0.6300,0.09955,0.28478,0.02585,,
0.6325,0.09887,0.28440,0.02585,,
0.6350,0.09817,0.28401,0.02585,,
0.6375,0.09747,0.28358,0.02585,,
0.6400,0.09676,0.28313,0.02585,,
0.6425,0.09604,0.28265,0.02585,,
0.6450,0.09531,0.28214,0.02585,,
0.6475,0.09458,0.28160,0.02585,,
0.6500,0.09383,0.28103,0.02585,,
0.6525,0.09307,0.28043,0.02585,,
0.6550,0.09231,0.27980,0.02585,,
0.6575,0.09154,0.27913,0.02585,,
0.6600,0.09076,0.27843,0.02585,,
0.6625,0.08997,0.27770,0.02585,,
0.6650,0.08918,0.27693,0.02585,,
0.6675,0.08837,0.27613,0.02585,,
0.6700,0.08756,0.27529,0.02585,,
0.6725,0.08675,0.27441,0.02585,,
0.6750,0.08592,0.27350,0.02585,,
0.6775,0.08509,0.27255,0.02585,,
0.6800,0.08426,0.27157,0.02585,,
0.6825,0.08341,0.27056,0.02585,,
0.6850,0.08256,0.26951,0.02585,,
0.6875,0.08171,0.26842,0.02585,,
0.6900,0.08085,0.26731,0.02585,,
0.6925,0.07998,0.26615,0.02585,,
0.6950,0.07911,0.26497,0.02585,,
0.6975,0.07824,0.26376,0.02585,,
0.7000,0.07736,0.26251,0.02585,,
0.7025,0.07647,0.26123,0.02585,,
0.7050,0.07558,0.25992,0.02585,,
0.7075,0.07469,0.25857,0.02585,,
0.7100,0.07379,0.25720,0.02585,,
0.7125,0.07289,0.25580,0.02585,,
0.7150,0.07199,0.25436,0.02585,,
0.7175,0.07108,0.25290,0.02585,,
0.7200,0.07017,0.25141,0.02585,,
0.7225,0.06925,0.24989,0.02585,,
0.7250,0.06834,0.24834,0.02585,,
0.7275,0.06742,0.24676,0.02585,,
0.7300,0.06650,0.24515,0.02585,,
0.7325,0.06558,0.24351,0.02585,,
0.7350,0.06466,0.24185,0.02585,,
0.7375,0.06373,0.24016,0.02585,,
0.7400,0.06281,0.23844,0.02585,,
0.7425,0.06188,0.23670,0.02585,,
0.7450,0.06095,0.23493,0.02585,,
0.7475,0.06002,0.23314,0.02585,,
0.7500,0.05909,0.23132,0.02585,,
0.7525,0.05817,0.22947,0.02585,,
0.7550,0.05724,0.22760,0.02585,,
0.7575,0.05631,0.22571,0.02585,,
0.7600,0.05538,0.22379,0.02585,,
0.7625,0.05446,0.22184,0.02585,,
0.7650,0.05353,0.21988,0.02585,,
0.7675,0.05261,0.21789,0.02585,,
0.7700,0.05169,0.21588,0.02585,,
0.7725,0.05077,0.21384,0.02585,,
0.7750,0.04985,0.21178,0.02585,,
0.7775,0.04893,0.20970,0.02585,,
0.7800,0.04802,0.20760,0.02585,,
0.7825,0.04711,0.20548,0.02585,,
0.7850,0.04620,0.20334,0.02585,,
0.7875,0.04530,0.20118,0.02585,,
0.7900,0.04440,0.19900,0.02585,,
0.7925,0.04350,0.19679,0.02585,,
0.7950,0.04261,0.19457,0.02585,,
0.7975,0.04172,0.19233,0.02585,,
0.8000,0.04083,0.19007,0.02585,,
0.8025,0.03995,0.18779,0.02585,,
0.8050,0.03908,0.18549,0.02585,,
0.8075,0.03821,0.18318,0.02585,,
0.8100,0.03734,0.18085,0.02585,,
0.8125,0.03648,0.17850,0.02585,,
0.8150,0.03563,0.17613,0.02585,,
0.8175,0.03478,0.17375,0.02585,,
0.8200,0.03393,0.17135,0.02585,,
0.8225,0.03310,0.16894,0.02585,,
0.8250,0.03227,0.16651,0.02585,,
0.8275,0.03144,0.16406,0.02585,,
0.8300,0.03063,0.16160,0.02585,,
0.8325,0.02982,0.15913,0.02585,,
0.8350,0.02901,0.15664,0.02585,,
0.8375,0.02822,0.15414,0.02585,,
0.8400,0.02743,0.15162,0.02585,,
0.8425,0.02665,0.14909,0.02585,,
0.8450,0.02588,0.14655,0.02585,,
0.8475,0.02511,0.14400,0.02585,,
0.8500,0.02436,0.14143,0.02585,,
0.8525,0.02361,0.13885,0.02585,,
0.8550,0.02288,0.13626,0.02585,,
0.8575,0.02215,0.13366,0.02585,,
0.8600,0.02143,0.13105,0.02585,,
0.8625,0.02072,0.12843,0.02585,,
0.8650,0.02001,0.12580,0.02585,,
0.8675,0.01932,0.12315,0.02585,,
0.8700,0.01864,0.12050,0.02585,,
0.8725,0.01797,0.11784,0.02585,,
0.8750,0.01731,0.11517,0.02585,,
0.8775,0.01666,0.11249,0.02585,,
0.8800,0.01602,0.10981,0.02585,,
0.8825,0.01539,0.10711,0.02585,,
0.8850,0.01477,0.10441,0.02585,,
0.8875,0.01416,0.10170,0.02585,,
0.8900,0.01356,0.09899,0.02585,,
0.8925,0.01298,0.09626,0.02585,,
0.8950,0.01240,0.09354,0.02585,,
0.8975,0.01184,0.09080,0.02585,,
0.9000,0.01129,0.08806,0.02585,,
0.9025,0.01075,0.08532,0.02585,,
0.9050,0.01022,0.08257,0.02585,,
0.9075,0.00970,0.07981,0.02585,,
0.9100,0.00920,0.07706,0.02585,,
0.9125,0.00871,0.07429,0.02585,,
0.9150,0.00823,0.07153,0.02585,,
0.9175,0.00776,0.06876,0.02585,,
0.9200,0.00731,0.06599,0.02585,,
0.9225,0.00687,0.06321,0.02585,,
0.9250,0.00644,0.06044,0.02585,,
0.9275,0.00603,0.05766,0.02585,,
0.9300,0.00562,0.05488,0.02585,,
0.9325,0.00524,0.05210,0.02585,,
0.9350,0.00486,0.04932,0.02585,,
0.9375,0.00450,0.04654,0.02585,,
0.9400,0.00415,0.04375,0.02585,,
0.9425,0.00381,0.04097,0.02585,,
0.9450,0.00349,0.03819,0.02585,,
0.9475,0.00319,0.03541,0.02585,,
0.9500,0.00289,0.03263,0.02585,,
0.9525,0.00261,0.02985,0.02585,,
0.9550,0.00235,0.02708,0.02585,,
0.9575,0.00209,0.02430,0.02585,,
0.9600,0.00186,0.02153,0.02585,,
0.9625,0.00163,0.01876,0.02585,,
0.9650,0.00142,0.01600,0.02585,,
0.9675,0.00123,0.01324,0.02585,,
0.9700,0.00105,0.01048,0.02585,,
0.9725,0.00088,0.00772,0.02585,,
0.9750,0.00073,0.00497,0.02585,,
0.9775,0.00059,0.00223,0.02585,,
0.9800,0.00047,-0.00051,0.02585,,
0.9825,0.00036,-0.00324,0.02585,,
0.9850,0.00026,-0.00597,0.02585,,
0.9875,0.00018,-0.00869,0.02585,,
0.9900,0.00012,-0.01141,0.02585,,
0.9925,0.00007,-0.01412,0.02585,,
0.9950,0.00003,-0.01682,0.02585,,
0.9975,0.00001,-0.01951,0.02585,,
1.0000,0.00000,-0.02220,0.02585,1.0000,0.00000
