E_minus_VBM,total_DOS
4.1200,34.3542
4.1400,35.3799
4.1600,36.6200
4.1800,38.0347
4.2000,39.5710
4.2200,41.1723
4.2400,42.7873
4.2600,44.3736
4.2800,45.8976
4.3000,47.3305
4.3200,48.6451
4.3400,49.8153
4.3600,50.8188
4.3800,51.6411
4.4000,52.2772
4.4200,52.7299
4.4400,53.0057
4.4600,53.1112
4.4800,53.0527
4.5000,52.8378
4.5200,52.4775
4.5400,51.9872
4.5600,51.3839
4.5800,50.6846
4.6000,49.9042
4.6200,49.0569
4.6400,48.1572
4.6600,47.2217
4.6800,46.2682
4.7000,45.3146
4.7200,44.3771
4.7400,43.4692
4.7600,42.6021
4.7800,41.7861
4.8000,41.0317
4.8200,40.3505
4.8400,39.7539
4.8600,39.2526
4.8800,38.8563
4.9000,38.5754
4.9200,38.4215
4.9400,38.4077
4.9600,38.5452
4.9800,38.8398
5.0000,39.2899
5.0200,39.8868
5.0400,40.6181
5.0600,41.4705
5.0800,42.4315
5.1000,43.4873
5.1200,44.6209
5.1400,45.8108
5.1600,47.0326
5.1800,48.2612
5.2000,49.4742
5.2200,50.6531
5.2400,51.7830
5.2600,52.8510
5.2800,53.8445
5.3000,54.7511
5.3200,55.5603
5.3400,56.2657
5.3600,56.8664
5.3800,57.3657
5.4000,57.7696
5.4200,58.0840
5.4400,58.3141
5.4600,58.4651
5.4800,58.5435
5.5000,58.5570
5.5200,58.5144
5.5400,58.4242
5.5600,58.2952
5.5800,58.1371
5.6000,57.9622
5.6200,57.7861
5.6400,57.6273
5.6600,57.5046
5.6800,57.4346
5.7000,57.4285
5.7200,57.4919
5.7400,57.6256
5.7600,57.8276
5.7800,58.0951
5.8000,58.4245
5.8200,58.8113
5.8400,59.2479
5.8600,59.7242
5.8800,60.2284
5.9000,60.7488
5.9200,61.2761
5.9400,61.8045
5.9600,62.3324
5.9800,62.8619
6.0000,63.3974
6.0200,63.9443
6.0400,64.5075
6.0600,65.0901
6.0800,65.6929
6.1000,66.3146
6.1200,66.9527
6.1400,67.6046
6.1600,68.2676
6.1800,68.9399
6.2000,69.6199
6.2200,70.3064
6.2400,70.9976
6.2600,71.6908
6.2800,72.3805
6.3000,73.0562
6.3200,73.7005
6.3400,74.2876
6.3600,74.7836
6.3800,75.1497
6.4000,75.3452
6.4200,75.3279
6.4400,75.0530
6.4600,74.4630
6.4800,73.4765
6.5000,71.9772
6.5200,69.8054
6.5400,66.7576
6.5600,62.6088
6.5800,57.1717
6.6000,50.3963
6.6200,42.4777
6.6400,33.9048
6.6600,25.3923
6.6800,17.6971
6.7000,11.3968
6.7200,6.7418
6.7400,3.6456
6.7600,1.7950
6.7800,0.8020
6.8000,0.3241
6.8200,0.1180
6.8400,0.0384
6.8600,0.0108
6.8800,0.0023
6.9000,0.0000
6.9200,0.0000
6.9400,0.0000
6.9600,0.0000
6.9800,0.0000
