species_rank_by_mean,concentration_label,E_young_GPa,species_mean_GPa,species_range_GPa
32,x002,43.5913,46.4611,6.0464
32,x005,46.1543,46.4611,6.0464
32,x010,49.6377,46.4611,6.0464
33,x002,45.6949,46.5364,1.9748
33,x005,47.6697,46.5364,1.9748
33,x010,46.2446,46.5364,1.9748
34,x002,46.9868,46.9306,0.5930
34,x005,46.6060,46.9306,0.5930
34,x010,47.1990,46.9306,0.5930
35,x002,47.2134,47.1069,4.4393
35,x005,44.8340,47.1069,4.4393
35,x010,49.2733,47.1069,4.4393
36,x002,48.3464,47.4323,1.4404
36,x005,46.9060,47.4323,1.4404
36,x010,47.0446,47.4323,1.4404
37,x002,43.7659,47.6452,8.2549
37,x005,47.1489,47.6452,8.2549
37,x010,52.0208,47.6452,8.2549
38,x002,47.0640,47.8171,1.9892
38,x005,49.0532,47.8171,1.9892
38,x010,47.3341,47.8171,1.9892
39,x002,46.7509,47.8627,1.7883
39,x005,48.5392,47.8627,1.7883
39,x010,48.2980,47.8627,1.7883
40,x002,49.0663,47.8901,3.4861
40,x005,45.5801,47.8901,3.4861
40,x010,49.0238,47.8901,3.4861
41,x002,50.5385,47.9614,3.8736
41,x005,46.6649,47.9614,3.8736
41,x010,46.6807,47.9614,3.8736
42,x002,49.8504,48.0507,4.5249
42,x005,45.3255,48.0507,4.5249
42,x010,48.9762,48.0507,4.5249
43,x002,50.3609,48.1956,4.8704
43,x005,45.4905,48.1956,4.8704
43,x010,48.7354,48.1956,4.8704
44,x002,46.0281,48.5150,6.4960
44,x005,52.5241,48.5150,6.4960
44,x010,46.9928,48.5150,6.4960
45,x002,51.1824,48.5975,4.3617
45,x005,46.8208,48.5975,4.3617
45,x010,47.7892,48.5975,4.3617
46,x002,56.2750,48.6789,14.8409
46,x005,48.3276,48.6789,14.8409
46,x010,41.4341,48.6789,14.8409
47,x002,45.8424,49.1525,9.3398
47,x005,46.4331,49.1525,9.3398
47,x010,55.1822,49.1525,9.3398
48,x002,46.9184,49.2071,4.2814
48,x005,49.5029,49.2071,4.2814
48,x010,51.1999,49.2071,4.2814
49,x002,50.4779,49.4363,4.7780
49,x005,51.3046,49.4363,4.7780
49,x010,46.5265,49.4363,4.7780
50,x002,57.0088,49.6028,11.2934
50,x005,45.7154,49.6028,11.2934
50,x010,46.0842,49.6028,11.2934
51,x002,48.8639,49.6103,3.2892
51,x005,48.3389,49.6103,3.2892
51,x010,51.6281,49.6103,3.2892
52,x002,55.2317,50.0586,8.7105
52,x005,46.5211,50.0586,8.7105
52,x010,48.4231,50.0586,8.7105
53,x002,49.9376,50.0762,6.3940
53,x005,46.9485,50.0762,6.3940
53,x010,53.3425,50.0762,6.3940
54,x002,46.6104,50.3087,8.0277
54,x005,54.6382,50.3087,8.0277
54,x010,49.6774,50.3087,8.0277
55,x002,50.5928,50.5082,2.7106
55,x005,49.1105,50.5082,2.7106
55,x010,51.8211,50.5082,2.7106
56,x002,50.5951,50.7731,3.3451
56,x005,52.5346,50.7731,3.3451
56,x010,49.1895,50.7731,3.3451
57,x002,49.8911,50.8561,6.0829
57,x005,48.2972,50.8561,6.0829
57,x010,54.3801,50.8561,6.0829
58,x002,46.3827,50.9735,13.5571
58,x005,59.9399,50.9735,13.5571
58,x010,46.5980,50.9735,13.5571
59,x002,48.5454,51.0063,6.1639
59,x005,54.7093,51.0063,6.1639
59,x010,49.7643,51.0063,6.1639
60,x002,49.2389,51.5131,5.7775
60,x005,55.0164,51.5131,5.7775
60,x010,50.2838,51.5131,5.7775
61,x002,47.9993,51.6435,8.8740
61,x005,56.8732,51.6435,8.8740
61,x010,50.0581,51.6435,8.8740
62,x002,48.7692,52.1235,14.3268
62,x005,46.6372,52.1235,14.3268
62,x010,60.9640,52.1235,14.3268
63,x002,43.7719,52.1308,14.6163
63,x005,58.3883,52.1308,14.6163
63,x010,54.2322,52.1308,14.6163
64,x002,42.7769,52.2108,18.7969
64,x005,61.5739,52.2108,18.7969
64,x010,52.2815,52.2108,18.7969
65,x002,56.8562,52.5369,9.5198
65,x005,47.3364,52.5369,9.5198
65,x010,53.4180,52.5369,9.5198
66,x002,57.4606,53.0503,8.4657
66,x005,48.9949,53.0503,8.4657
66,x010,52.6954,53.0503,8.4657
67,x002,51.1397,53.4619,6.8109
67,x005,57.9506,53.4619,6.8109
67,x010,51.2954,53.4619,6.8109
68,x002,49.9926,53.6091,13.2532
68,x005,48.7907,53.6091,13.2532
68,x010,62.0439,53.6091,13.2532
69,x002,60.2318,53.6226,12.4957
69,x005,52.8998,53.6226,12.4957
69,x010,47.7361,53.6226,12.4957
70,x002,53.9878,53.7130,1.0698
70,x005,54.1105,53.7130,1.0698
70,x010,53.0407,53.7130,1.0698
71,x002,56.7559,54.9485,3.1013
71,x005,53.6546,54.9485,3.1013
71,x010,54.4349,54.9485,3.1013
72,x002,56.1676,55.0063,1.9351
72,x005,54.2325,55.0063,1.9351
72,x010,54.6190,55.0063,1.9351
73,x002,54.2224,55.6098,9.2570
73,x005,51.6751,55.6098,9.2570
73,x010,60.9321,55.6098,9.2570
74,x002,56.4985,55.7683,7.0701
74,x005,58.9383,55.7683,7.0701
74,x010,51.8682,55.7683,7.0701
75,x002,53.9428,55.8615,5.3140
75,x005,59.2568,55.8615,5.3140
75,x010,54.3850,55.8615,5.3140
76,x002,55.4823,56.2062,4.2951
76,x005,58.7157,56.2062,4.2951
76,x010,54.4206,56.2062,4.2951
77,x002,53.7236,56.6160,4.7189
77,x005,58.4425,56.6160,4.7189
77,x010,57.6819,56.6160,4.7189
78,x002,54.7293,56.6749,4.5999
78,x005,55.9663,56.6749,4.5999
78,x010,59.3292,56.6749,4.5999
79,x002,52.2738,56.9090,8.5392
79,x005,60.8129,56.9090,8.5392
79,x010,57.6404,56.9090,8.5392
80,x002,60.3401,57.1321,5.3219
80,x005,55.0182,57.1321,5.3219
80,x010,56.0380,57.1321,5.3219
81,x002,58.0244,57.1535,3.1977
81,x005,58.3169,57.1535,3.1977
81,x010,55.1192,57.1535,3.1977
82,x002,53.2853,57.4747,6.7473
82,x005,59.1061,57.4747,6.7473
82,x010,60.0326,57.4747,6.7473
83,x002,58.6718,57.8647,9.7739
83,x005,52.5741,57.8647,9.7739
83,x010,62.3480,57.8647,9.7739
84,x002,55.5123,58.1933,7.5456
84,x005,56.0095,58.1933,7.5456
84,x010,63.0579,58.1933,7.5456
85,x002,62.1918,58.2143,9.7101
85,x005,59.9693,58.2143,9.7101
85,x010,52.4817,58.2143,9.7101
86,x002,61.5649,62.0863,1.2156
86,x005,61.9136,62.0863,1.2156
86,x010,62.7805,62.0863,1.2156
87,x002,125.6587,68.2323,91.1757
87,x005,34.4830,68.2323,91.1757
87,x010,44.5551,68.2323,91.1757
