freq_cm-1,phonon_DOS
710.000,0.000
711.000,0.000
712.000,0.000
713.000,0.000
714.000,0.000
715.000,0.000
716.000,0.000
717.000,0.000
718.000,0.000
719.000,0.000
720.000,0.000
721.000,0.000
722.000,0.000
723.000,0.000
724.000,0.000
725.000,0.000
726.000,0.000
727.000,0.000
728.000,0.000
729.000,0.000
730.000,0.000
731.000,0.000
732.000,0.000
733.000,0.000
734.000,0.000
735.000,0.000
736.000,0.000
737.000,0.000
738.000,0.000
739.000,0.000
740.000,0.000
741.000,0.000
742.000,0.000
743.000,0.000
744.000,0.000
745.000,0.000
746.000,0.000
747.000,0.000
748.000,0.000
749.000,0.000
750.000,0.000
751.000,0.000
752.000,0.000
753.000,0.000
754.000,0.000
755.000,0.000
756.000,0.000
757.000,0.000
758.000,0.000
759.000,0.000
760.000,0.000
761.000,0.000
762.000,0.001
763.000,0.001
764.000,0.001
765.000,0.001
766.000,0.002
767.000,0.002
768.000,0.003
769.000,0.004
770.000,0.005
771.000,0.006
772.000,0.008
773.000,0.010
774.000,0.012
775.000,0.014
776.000,0.016
777.000,0.019
778.000,0.022
779.000,0.025
780.000,0.028
781.000,0.031
782.000,0.034
783.000,0.036
784.000,0.039
785.000,0.041
786.000,0.042
787.000,0.044
788.000,0.044
789.000,0.044
790.000,0.044
791.000,0.043
792.000,0.042
793.000,0.040
794.000,0.038
795.000,0.035
796.000,0.033
797.000,0.030
798.000,0.027
799.000,0.025
800.000,0.022
801.000,0.020
802.000,0.018
803.000,0.017
804.000,0.016
805.000,0.016
806.000,0.016
807.000,0.016
808.000,0.017
809.000,0.018
810.000,0.020
811.000,0.022
812.000,0.025
813.000,0.027
814.000,0.030
815.000,0.033
816.000,0.035
817.000,0.038
818.000,0.040
819.000,0.042
820.000,0.043
821.000,0.044
822.000,0.044
823.000,0.044
824.000,0.044
825.000,0.042
826.000,0.041
827.000,0.039
828.000,0.036
829.000,0.034
830.000,0.031
831.000,0.028
832.000,0.025
833.000,0.023
834.000,0.020
835.000,0.018
836.000,0.016
837.000,0.014
838.000,0.013
839.000,0.012
840.000,0.012
841.000,0.012
842.000,0.012
843.000,0.013
844.000,0.015
845.000,0.017
846.000,0.019
847.000,0.021
848.000,0.024
849.000,0.027
850.000,0.031
851.000,0.034
852.000,0.038
853.000,0.042
854.000,0.045
855.000,0.049
856.000,0.052
857.000,0.055
858.000,0.058
859.000,0.060
860.000,0.062
861.000,0.064
862.000,0.065
863.000,0.067
864.000,0.067
865.000,0.067
866.000,0.067
867.000,0.067
868.000,0.066
869.000,0.065
870.000,0.063
871.000,0.061
872.000,0.059
873.000,0.056
874.000,0.053
875.000,0.050
876.000,0.047
877.000,0.043
878.000,0.040
879.000,0.036
880.000,0.032
881.000,0.029
882.000,0.025
883.000,0.022
884.000,0.019
885.000,0.016
886.000,0.013
887.000,0.011
888.000,0.009
889.000,0.007
890.000,0.006
891.000,0.005
892.000,0.004
893.000,0.003
894.000,0.002
895.000,0.002
896.000,0.002
897.000,0.001
898.000,0.001
899.000,0.001
900.000,0.001
901.000,0.002
902.000,0.002
903.000,0.002
904.000,0.003
905.000,0.004
906.000,0.005
907.000,0.006
908.000,0.008
909.000,0.010
910.000,0.011
911.000,0.014
912.000,0.016
913.000,0.019
914.000,0.022
915.000,0.025
916.000,0.027
917.000,0.030
918.000,0.033
919.000,0.036
920.000,0.038
921.000,0.041
922.000,0.042
923.000,0.043
924.000,0.044
925.000,0.044
926.000,0.044
927.000,0.043
928.000,0.042
929.000,0.040
930.000,0.038
931.000,0.035
932.000,0.032
933.000,0.029
934.000,0.027
935.000,0.024
936.000,0.021
937.000,0.019
938.000,0.016
939.000,0.014
940.000,0.013
941.000,0.012
942.000,0.011
943.000,0.010
944.000,0.010
945.000,0.011
946.000,0.012
947.000,0.013
948.000,0.014
949.000,0.016
950.000,0.019
951.000,0.021
952.000,0.024
953.000,0.027
954.000,0.029
955.000,0.032
956.000,0.035
957.000,0.038
958.000,0.040
959.000,0.042
960.000,0.043
961.000,0.044
962.000,0.044
963.000,0.044
964.000,0.043
965.000,0.042
966.000,0.041
967.000,0.038
968.000,0.036
969.000,0.033
970.000,0.030
971.000,0.027
972.000,0.025
973.000,0.022
974.000,0.019
975.000,0.016
976.000,0.014
977.000,0.011
978.000,0.010
979.000,0.008
980.000,0.006
981.000,0.005
982.000,0.004
983.000,0.003
984.000,0.003
985.000,0.002
986.000,0.002
987.000,0.002
988.000,0.002
989.000,0.002
990.000,0.002
991.000,0.002
992.000,0.003
993.000,0.004
994.000,0.004
995.000,0.006
996.000,0.007
997.000,0.008
998.000,0.010
999.000,0.012
1000.000,0.015
1001.000,0.017
1002.000,0.020
1003.000,0.023
1004.000,0.026
1005.000,0.029
1006.000,0.032
1007.000,0.034
1008.000,0.037
1009.000,0.039
1010.000,0.041
1011.000,0.043
1012.000,0.044
1013.000,0.044
1014.000,0.044
1015.000,0.044
1016.000,0.043
1017.000,0.041
1018.000,0.039
1019.000,0.037
1020.000,0.034
1021.000,0.031
1022.000,0.028
1023.000,0.025
1024.000,0.022
1025.000,0.019
1026.000,0.017
1027.000,0.014
1028.000,0.012
1029.000,0.010
1030.000,0.008
1031.000,0.007
1032.000,0.005
1033.000,0.004
1034.000,0.003
1035.000,0.002
1036.000,0.002
1037.000,0.001
1038.000,0.001
1039.000,0.001
1040.000,0.001
1041.000,0.000
1042.000,0.000
1043.000,0.000
1044.000,0.000
1045.000,0.000
1046.000,0.000
1047.000,0.000
1048.000,0.000
1049.000,0.000
1050.000,0.000
1051.000,0.000
1052.000,0.000
1053.000,0.000
1054.000,0.000
1055.000,0.000
1056.000,0.000
1057.000,0.000
1058.000,0.000
1059.000,0.000
