# LPSCl1.6 (= undoped Li5.4PS4.4Cl1.6) total DOS, VBM-aligned (E-VBM), states/eV, Gaussian sigma=0.15 eV
E_minus_VBM,total_DOS
-0.9300,56.6834
-0.9200,56.4724
-0.9100,56.2059
-0.9000,55.8834
-0.8900,55.5046
-0.8800,55.0694
-0.8700,54.5778
-0.8600,54.0301
-0.8500,53.4269
-0.8400,52.7691
-0.8300,52.0576
-0.8200,51.2938
-0.8100,50.4793
-0.8000,49.6157
-0.7900,48.7051
-0.7800,47.7497
-0.7700,46.7519
-0.7600,45.7145
-0.7500,44.6403
-0.7400,43.5320
-0.7300,42.3927
-0.7200,41.2257
-0.7100,40.0341
-0.7000,38.8213
-0.6900,37.5908
-0.6800,36.3459
-0.6700,35.0900
-0.6600,33.8263
-0.6500,32.5584
-0.6400,31.2894
-0.6300,30.0227
-0.6200,28.7613
-0.6100,27.5082
-0.6000,26.2664
-0.5900,25.0387
-0.5800,23.8277
-0.5700,22.6360
-0.5600,21.4659
-0.5500,20.3197
-0.5400,19.1995
-0.5300,18.1071
-0.5200,17.0442
-0.5100,16.0125
-0.5000,15.0134
-0.4900,14.0481
-0.4800,13.1176
-0.4700,12.2229
-0.4600,11.3646
-0.4500,10.5434
-0.4400,9.7595
-0.4300,9.0133
-0.4200,8.3047
-0.4100,7.6335
-0.4000,6.9995
-0.3900,6.4023
-0.3800,5.8413
-0.3700,5.3157
-0.3600,4.8249
-0.3500,4.3678
-0.3400,3.9433
-0.3300,3.5504
-0.3200,3.1878
-0.3100,2.8541
-0.3000,2.5479
-0.2900,2.2680
-0.2800,2.0130
-0.2700,1.7812
-0.2600,1.5715
-0.2500,1.3822
-0.2400,1.2118
-0.2300,1.0593
-0.2200,0.9231
-0.2100,0.8018
-0.2000,0.6942
-0.1900,0.5991
-0.1800,0.5154
-0.1700,0.4419
-0.1600,0.3776
-0.1500,0.3216
-0.1400,0.2729
-0.1300,0.2308
-0.1200,0.1944
-0.1100,0.1632
-0.1000,0.1364
-0.0900,0.1137
-0.0800,0.0945
-0.0700,0.0782
-0.0600,0.0645
-0.0500,0.0530
-0.0400,0.0433
-0.0300,0.0353
-0.0200,0.0287
-0.0100,0.0232
0.0000,0.0187
0.0100,0.0150
0.0200,0.0119
0.0300,0.0094
0.0400,0.0074
0.0500,0.0057
0.0600,0.0044
0.0700,0.0034
0.0800,0.0026
0.0900,0.0019
0.1000,0.0014
0.1100,0.0010
0.1200,0.0008
0.1300,0.0006
0.1400,0.0004
0.1500,0.0003
0.1600,0.0002
0.1700,0.0001
0.1800,0.0001
0.1900,0.0001
0.2000,0.0000
0.2100,0.0000
0.2200,0.0000
0.2300,0.0000
0.2400,0.0000
0.2500,0.0000
0.2600,0.0000
0.2700,0.0000
0.2800,0.0000
0.2900,0.0000
0.3000,0.0000
0.3100,0.0000
0.3200,0.0000
0.3300,0.0000
0.3400,0.0000
0.3500,0.0000
0.3600,0.0000
0.3700,0.0000
0.3800,0.0000
0.3900,0.0000
0.4000,0.0000
0.4100,0.0000
0.4200,0.0000
0.4300,0.0000
0.4400,0.0000
0.4500,0.0000
0.4600,0.0000
0.4700,0.0000
0.4800,0.0000
0.4900,0.0000
0.5000,0.0000
0.5100,0.0000
0.5200,0.0000
0.5300,0.0000
0.5400,0.0000
0.5500,0.0000
0.5600,0.0000
0.5700,0.0000
0.5800,0.0000
0.5900,0.0000
0.6000,0.0000
0.6100,0.0000
0.6200,0.0000
0.6300,0.0000
0.6400,0.0000
0.6500,0.0000
0.6600,0.0000
0.6700,0.0000
0.6800,0.0000
0.6900,0.0000
0.7000,0.0000
0.7100,0.0000
0.7200,0.0000
0.7300,0.0000
0.7400,0.0000
0.7500,0.0000
0.7600,0.0000
0.7700,0.0000
0.7800,0.0000
0.7900,0.0000
0.8000,0.0000
0.8100,0.0000
0.8200,0.0000
0.8300,0.0000
0.8400,0.0000
0.8500,0.0000
0.8600,0.0000
0.8700,0.0000
0.8800,0.0000
0.8900,0.0000
0.9000,0.0000
0.9100,0.0000
0.9200,0.0000
0.9300,0.0000
0.9400,0.0000
0.9500,0.0000
0.9600,0.0000
0.9700,0.0000
0.9800,0.0000
0.9900,0.0000
1.0000,0.0000
1.0100,0.0000
1.0200,0.0000
1.0300,0.0000
1.0400,0.0000
1.0500,0.0000
1.0600,0.0000
1.0700,0.0000
1.0800,0.0000
1.0900,0.0000
1.1000,0.0000
1.1100,0.0000
1.1200,0.0000
1.1300,0.0000
1.1400,0.0000
1.1500,0.0000
1.1600,0.0000
1.1700,0.0000
1.1800,0.0001
1.1900,0.0001
1.2000,0.0001
1.2100,0.0001
1.2200,0.0002
1.2300,0.0003
1.2400,0.0003
1.2500,0.0004
1.2600,0.0006
1.2700,0.0007
1.2800,0.0009
1.2900,0.0011
1.3000,0.0014
1.3100,0.0017
1.3200,0.0022
1.3300,0.0026
1.3400,0.0032
1.3500,0.0039
1.3600,0.0048
1.3700,0.0058
1.3800,0.0070
1.3900,0.0084
1.4000,0.0100
1.4100,0.0119
1.4200,0.0140
1.4300,0.0166
1.4400,0.0195
1.4500,0.0228
1.4600,0.0266
1.4700,0.0309
1.4800,0.0358
1.4900,0.0413
1.5000,0.0475
1.5100,0.0544
1.5200,0.0620
1.5300,0.0705
1.5400,0.0798
1.5500,0.0901
1.5600,0.1013
1.5700,0.1136
1.5800,0.1269
1.5900,0.1413
1.6000,0.1568
1.6100,0.1734
1.6200,0.1912
1.6300,0.2102
1.6400,0.2303
1.6500,0.2517
1.6600,0.2742
1.6700,0.2978
