# LPSOCl (O-doped LPSCl1.6 modelC) DFT equation of state (QE PBE) + Birch-Murnaghan 3rd-order fit (ASE)
# B0=24.71 GPa  V0=1204.51 A3  B0'=0.50(ill-constrained)  E0=-1280.520622 Ry  fitRMS=4.42 meV  (7 pts, all bfgs-converged)
# reference: undoped modelC (DFT BM-EOS) B0=21.7 GPa ; B2O3-doped 24.48 -> O doping stiffens +3.0 GPa (+14%), matches B2O3 route
# kind: data = DFT-computed point ; fit = BM3 curve
kind,x_scale,volume_A3,volume_bohr3,E_Ry,E_minus_E0_meV
fit,,1207.106,8145.946,-1280.52059033,0.431
fit,,1207.920,8151.440,-1280.52056738,0.743
fit,,1208.734,8156.934,-1280.52053821,1.140
fit,,1209.548,8162.427,-1280.52050283,1.621
fit,,1210.362,8167.921,-1280.52046126,2.187
fit,,1211.176,8173.415,-1280.52041350,2.837
fit,,1211.990,8178.908,-1280.52035956,3.571
fit,,1212.804,8184.402,-1280.52029943,4.389
fit,,1213.618,8189.895,-1280.52023314,5.291
fit,,1214.432,8195.389,-1280.52016068,6.277
fit,,1215.246,8200.883,-1280.52008207,7.346
fit,,1216.060,8206.376,-1280.51999730,8.499
fit,,1216.874,8211.870,-1280.51990639,9.736
fit,,1217.688,8217.363,-1280.51980934,11.057
fit,,1218.503,8222.857,-1280.51970616,12.461
fit,,1219.317,8228.351,-1280.51959685,13.948
fit,,1220.131,8233.844,-1280.51948143,15.518
fit,,1220.945,8239.338,-1280.51935990,17.172
fit,,1221.759,8244.832,-1280.51923226,18.908
fit,,1222.573,8250.325,-1280.51909852,20.728
fit,,1223.387,8255.819,-1280.51895869,22.630
fit,,1224.201,8261.312,-1280.51881278,24.616
fit,,1225.015,8266.806,-1280.51866080,26.684
fit,,1225.829,8272.300,-1280.51850274,28.834
fit,,1226.643,8277.793,-1280.51833862,31.067
fit,,1227.457,8283.287,-1280.51816844,33.382
fit,,1228.271,8288.780,-1280.51799221,35.780
fit,,1229.085,8294.274,-1280.51780995,38.260
fit,,1229.899,8299.768,-1280.51762164,40.822
fit,,1230.714,8305.261,-1280.51742731,43.466
fit,,1231.528,8310.755,-1280.51722695,46.192
fit,,1232.342,8316.249,-1280.51702058,49.000
fit,,1233.156,8321.742,-1280.51680821,51.889
fit,,1233.970,8327.236,-1280.51658983,54.860
fit,,1234.784,8332.729,-1280.51636546,57.913
fit,,1235.598,8338.223,-1280.51613510,61.047
fit,,1236.412,8343.717,-1280.51589877,64.263
fit,,1237.226,8349.210,-1280.51565646,67.560
fit,,1238.040,8354.704,-1280.51540819,70.938
fit,,1238.854,8360.197,-1280.51515396,74.397
fit,,1239.668,8365.691,-1280.51489377,77.936
fit,,1240.482,8371.185,-1280.51462765,81.557
fit,,1241.296,8376.678,-1280.51435559,85.259
fit,,1242.111,8382.172,-1280.51407760,89.041
fit,,1242.925,8387.666,-1280.51379369,92.904
fit,,1243.739,8393.159,-1280.51350386,96.847
fit,,1244.553,8398.653,-1280.51320812,100.871
fit,,1245.367,8404.146,-1280.51290649,104.975
fit,,1246.181,8409.640,-1280.51259896,109.159
fit,,1246.995,8415.134,-1280.51228555,113.423
fit,,1247.809,8420.627,-1280.51196626,117.767
fit,,1248.623,8426.121,-1280.51164109,122.191
fit,,1249.437,8431.614,-1280.51131007,126.695
fit,,1250.251,8437.108,-1280.51097319,131.279
fit,,1251.065,8442.602,-1280.51063045,135.942
fit,,1251.879,8448.095,-1280.51028188,140.684
fit,,1252.693,8453.589,-1280.50992747,145.506
fit,,1253.508,8459.083,-1280.50956724,150.408
fit,,1254.322,8464.576,-1280.50920119,155.388
fit,,1255.136,8470.070,-1280.50882932,160.448
fit,,1255.950,8475.563,-1280.50845165,165.586
fit,,1256.764,8481.057,-1280.50806818,170.803
fit,,1257.578,8486.551,-1280.50767893,176.100
fit,,1258.392,8492.044,-1280.50728389,181.474
fit,,1259.206,8497.538,-1280.50688307,186.928
fit,,1260.020,8503.031,-1280.50647649,192.459
fit,,1260.834,8508.525,-1280.50606415,198.070
fit,,1261.648,8514.019,-1280.50564605,203.758
fit,,1262.462,8519.512,-1280.50522222,209.525
fit,,1263.276,8525.006,-1280.50479264,215.369
fit,,1264.090,8530.500,-1280.50435733,221.292
fit,,1264.905,8535.993,-1280.50391631,227.293
fit,,1265.719,8541.487,-1280.50346956,233.371
fit,,1266.533,8546.980,-1280.50301711,239.527
fit,,1267.347,8552.474,-1280.50255896,245.760
fit,,1268.161,8557.968,-1280.50209512,252.071
fit,,1268.975,8563.461,-1280.50162560,258.459
fit,,1269.789,8568.955,-1280.50115040,264.925
fit,,1270.603,8574.448,-1280.50066952,271.467
fit,,1271.417,8579.942,-1280.50018299,278.087
fit,,1272.231,8585.436,-1280.49969080,284.783
fit,,1273.045,8590.929,-1280.49919297,291.557
fit,,1273.859,8596.423,-1280.49868950,298.407
fit,,1274.673,8601.917,-1280.49818039,305.334
fit,,1275.487,8607.410,-1280.49766567,312.337
fit,,1276.302,8612.904,-1280.49714532,319.416
fit,,1277.116,8618.397,-1280.49661937,326.572
fit,,1277.930,8623.891,-1280.49608782,333.805
fit,,1278.744,8629.385,-1280.49555068,341.113
fit,,1279.558,8634.878,-1280.49500795,348.497
fit,,1280.372,8640.372,-1280.49445964,355.957
fit,,1281.186,8645.865,-1280.49390576,363.493
fit,,1282.000,8651.359,-1280.49334633,371.104
