frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,P_O,O_Li
41.000,8.200,3.000,4.048,2.200,32.000,1.000,2.000
42.000,8.400,3.000,3.857,2.000,32.000,1.000,2.000
43.000,8.600,3.000,4.095,2.400,33.000,1.000,2.000
44.000,8.800,3.000,4.000,2.800,33.000,1.000,2.000
45.000,9.000,3.000,3.714,2.800,33.000,1.000,2.000
46.000,9.200,3.000,3.952,2.000,33.000,1.000,2.000
47.000,9.400,3.000,4.095,2.400,33.000,1.000,2.000
48.000,9.600,3.000,3.810,2.200,32.000,1.000,2.000
49.000,9.800,3.000,4.333,2.400,32.000,1.000,2.000
50.000,10.000,3.000,4.048,2.400,32.000,1.000,2.000
51.000,10.200,3.000,4.190,2.000,33.000,1.000,2.000
52.000,10.400,3.000,3.857,2.000,33.000,1.000,2.000
53.000,10.600,3.000,3.952,2.200,32.000,1.000,2.000
54.000,10.800,3.000,4.143,2.200,32.000,1.000,2.000
55.000,11.000,3.000,3.810,1.600,32.000,1.000,2.000
56.000,11.200,3.000,3.857,2.400,33.000,1.000,2.000
57.000,11.400,2.800,3.762,2.400,33.000,1.000,2.000
58.000,11.600,2.800,3.905,2.200,33.000,1.000,2.000
59.000,11.800,2.800,4.238,3.200,33.000,1.000,2.000
60.000,12.000,2.800,4.333,2.000,33.000,1.000,1.000
61.000,12.200,2.800,4.000,2.800,33.000,1.000,2.000
62.000,12.400,2.800,4.190,2.000,33.000,1.000,1.000
63.000,12.600,2.800,4.143,2.600,32.000,1.000,1.000
64.000,12.800,2.800,4.095,2.600,32.000,1.000,1.000
65.000,13.000,2.800,4.095,2.400,34.000,1.000,2.000
66.000,13.200,2.800,4.143,2.200,33.000,1.000,2.000
67.000,13.400,2.600,4.333,1.800,33.000,1.000,2.000
68.000,13.600,2.600,4.238,2.000,34.000,1.000,2.000
69.000,13.800,2.600,4.286,3.200,32.000,1.000,1.000
70.000,14.000,2.600,4.286,2.000,32.000,1.000,2.000
71.000,14.200,2.600,4.333,3.000,34.000,1.000,2.000
72.000,14.400,2.600,4.190,2.200,34.000,1.000,2.000
73.000,14.600,2.600,4.238,3.200,34.000,1.000,2.000
74.000,14.800,2.600,4.286,2.400,34.000,1.000,2.000
75.000,15.000,2.600,4.524,3.000,33.000,1.000,2.000
76.000,15.200,2.600,4.476,3.200,33.000,1.000,2.000
77.000,15.400,2.600,4.381,3.600,33.000,1.000,2.000
78.000,15.600,2.600,4.333,3.000,33.000,1.000,2.000
79.000,15.800,2.600,4.238,3.400,33.000,1.000,2.000
80.000,16.000,2.400,4.381,3.600,34.000,1.000,1.000
81.000,16.200,2.400,4.286,3.000,33.000,1.000,3.000
82.000,16.400,2.400,4.238,2.600,33.000,1.000,2.000
83.000,16.600,2.400,4.476,3.600,33.000,1.000,2.000
84.000,16.800,2.400,4.286,3.600,33.000,1.000,2.000
85.000,17.000,2.200,4.524,3.600,34.000,1.000,2.000
86.000,17.200,2.200,4.714,4.400,33.000,1.000,2.000
87.000,17.400,2.400,4.524,3.000,35.000,1.000,2.000
88.000,17.600,2.400,4.524,3.200,33.000,1.000,2.000
89.000,17.800,2.400,4.619,3.600,34.000,1.000,2.000
90.000,18.000,2.400,4.571,4.000,34.000,1.000,2.000
91.000,18.200,2.200,4.667,4.400,34.000,1.000,2.000
92.000,18.400,2.400,4.476,3.800,35.000,1.000,2.000
93.000,18.600,2.400,4.476,4.000,35.000,1.000,2.000
94.000,18.800,2.400,4.476,3.400,34.000,1.000,2.000
95.000,19.000,2.400,4.286,3.800,35.000,1.000,2.000
96.000,19.200,2.400,4.571,4.000,35.000,1.000,2.000
97.000,19.400,2.400,4.667,3.800,35.000,1.000,2.000
98.000,19.600,2.400,4.667,3.800,35.000,1.000,2.000
99.000,19.800,2.400,4.381,3.000,35.000,1.000,2.000
100.000,20.000,2.400,4.667,3.800,35.000,1.000,2.000
101.000,20.200,2.400,4.762,3.200,35.000,1.000,2.000
102.000,20.400,2.400,4.667,3.600,36.000,1.000,2.000
103.000,20.600,2.400,4.333,3.800,36.000,1.000,2.000
104.000,20.800,2.400,4.571,2.800,35.000,1.000,2.000
105.000,21.000,2.400,4.619,3.400,35.000,1.000,2.000
106.000,21.200,2.400,4.476,3.600,35.000,1.000,2.000
107.000,21.400,2.400,4.238,3.600,37.000,1.000,2.000
108.000,21.600,2.400,4.714,2.800,36.000,1.000,2.000
109.000,21.800,2.400,4.810,3.200,36.000,1.000,2.000
110.000,22.000,2.400,4.905,3.200,36.000,1.000,2.000
111.000,22.200,2.400,4.905,3.800,37.000,1.000,2.000
112.000,22.400,2.400,4.857,3.200,36.000,1.000,2.000
113.000,22.600,2.400,4.810,3.400,36.000,1.000,2.000
114.000,22.800,2.400,4.857,3.600,36.000,1.000,2.000
115.000,23.000,2.400,4.905,4.000,37.000,1.000,2.000
116.000,23.200,2.400,4.714,4.200,36.000,1.000,1.000
117.000,23.400,2.400,4.619,3.600,37.000,1.000,1.000
118.000,23.600,2.400,4.905,4.200,37.000,1.000,2.000
119.000,23.800,2.400,4.714,3.200,37.000,1.000,2.000
120.000,24.000,2.400,5.095,3.800,37.000,1.000,3.000
121.000,24.200,2.400,4.952,3.400,37.000,1.000,3.000
122.000,24.400,2.400,4.810,3.000,37.000,1.000,2.000
123.000,24.600,2.400,4.714,3.200,37.000,1.000,1.000
124.000,24.800,2.400,4.619,3.000,37.000,1.000,2.000
125.000,25.000,2.400,4.667,3.800,37.000,1.000,2.000
126.000,25.200,2.400,4.667,3.400,37.000,1.000,2.000
127.000,25.400,2.200,4.857,3.600,37.000,1.000,2.000
128.000,25.600,2.400,4.619,3.400,37.000,1.000,2.000
129.000,25.800,2.400,4.905,3.400,37.000,1.000,1.000
130.000,26.000,2.400,4.810,4.000,37.000,1.000,2.000
131.000,26.200,2.400,4.952,3.400,37.000,1.000,2.000
132.000,26.400,2.400,4.905,3.800,38.000,1.000,2.000
133.000,26.600,2.400,5.190,3.400,40.000,1.000,2.000
134.000,26.800,2.400,4.762,3.600,39.000,1.000,2.000
135.000,27.000,2.400,5.000,3.800,38.000,1.000,2.000
136.000,27.200,2.400,4.714,3.200,38.000,1.000,2.000
137.000,27.400,2.400,4.857,3.200,37.000,1.000,2.000
138.000,27.600,2.400,4.857,3.400,37.000,1.000,2.000
139.000,27.800,2.400,4.762,3.600,37.000,1.000,3.000
140.000,28.000,2.400,4.810,4.000,37.000,1.000,3.000
141.000,28.200,2.400,4.667,3.800,38.000,1.000,3.000
142.000,28.400,2.400,5.000,3.800,38.000,1.000,3.000
143.000,28.600,2.400,4.810,3.600,37.000,1.000,3.000
144.000,28.800,2.400,4.762,3.800,37.000,1.000,2.000
145.000,29.000,2.400,4.905,3.800,37.000,1.000,2.000
146.000,29.200,2.400,4.762,3.200,37.000,1.000,2.000
147.000,29.400,2.400,4.810,3.600,37.000,1.000,2.000
148.000,29.600,2.400,4.810,3.400,37.000,1.000,2.000
149.000,29.800,2.400,4.571,3.000,38.000,1.000,2.000
150.000,30.000,2.400,5.000,2.800,39.000,1.000,2.000
151.000,30.200,2.400,4.571,4.000,38.000,1.000,2.000
152.000,30.400,2.400,4.762,3.200,38.000,1.000,2.000
153.000,30.600,2.400,5.048,3.200,37.000,1.000,2.000
154.000,30.800,2.400,4.667,3.200,37.000,1.000,2.000
155.000,31.000,2.400,4.762,4.400,37.000,1.000,3.000
156.000,31.200,2.400,4.762,3.800,37.000,1.000,3.000
157.000,31.400,2.400,5.095,3.800,37.000,1.000,2.000
158.000,31.600,2.200,4.905,3.600,37.000,1.000,3.000
159.000,31.800,2.200,4.762,3.800,37.000,1.000,3.000
160.000,32.000,2.200,4.952,3.200,37.000,1.000,3.000
161.000,32.200,2.200,4.810,3.400,37.000,1.000,2.000
162.000,32.400,2.200,5.000,3.000,37.000,1.000,2.000
163.000,32.600,2.200,4.952,4.000,37.000,1.000,2.000
164.000,32.800,2.200,4.714,3.200,37.000,1.000,2.000
165.000,33.000,2.200,4.619,3.200,37.000,1.000,2.000
166.000,33.200,2.200,5.048,3.600,36.000,1.000,2.000
167.000,33.400,2.200,4.905,3.200,36.000,1.000,2.000
168.000,33.600,2.200,4.857,4.000,37.000,1.000,2.000
169.000,33.800,2.200,5.000,3.600,36.000,1.000,2.000
170.000,34.000,2.200,4.619,4.200,37.000,1.000,2.000
171.000,34.200,2.200,4.857,3.400,37.000,1.000,2.000
172.000,34.400,2.200,4.905,4.000,37.000,1.000,2.000
173.000,34.600,2.200,4.952,4.200,37.000,1.000,2.000
174.000,34.800,2.200,4.714,3.800,36.000,1.000,2.000
175.000,35.000,2.200,4.905,3.800,37.000,1.000,2.000
176.000,35.200,2.200,5.095,3.600,35.000,1.000,1.000
177.000,35.400,2.200,5.143,4.000,36.000,1.000,2.000
178.000,35.600,2.200,4.762,3.600,36.000,1.000,2.000
179.000,35.800,2.200,4.905,3.600,36.000,1.000,2.000
180.000,36.000,2.200,4.857,4.200,35.000,1.000,2.000
181.000,36.200,2.200,5.000,3.000,36.000,1.000,2.000
182.000,36.400,2.200,5.095,3.600,35.000,1.000,2.000
183.000,36.600,2.200,4.810,3.800,35.000,1.000,2.000
184.000,36.800,2.200,5.286,3.400,35.000,1.000,2.000
185.000,37.000,2.200,4.905,4.000,35.000,1.000,2.000
186.000,37.200,2.200,5.048,4.200,35.000,1.000,2.000
187.000,37.400,2.200,4.905,3.400,35.000,1.000,2.000
188.000,37.600,2.200,4.810,3.400,35.000,1.000,2.000
189.000,37.800,2.200,4.857,3.400,35.000,1.000,2.000
190.000,38.000,2.200,5.000,3.800,35.000,1.000,2.000
191.000,38.200,2.200,4.810,4.200,35.000,1.000,2.000
192.000,38.400,2.200,5.095,4.000,35.000,1.000,2.000
193.000,38.600,2.200,4.810,3.600,35.000,1.000,2.000
194.000,38.800,2.200,5.095,3.400,35.000,1.000,2.000
195.000,39.000,2.200,4.857,3.800,35.000,1.000,2.000
196.000,39.200,2.200,4.810,3.400,35.000,1.000,2.000
197.000,39.400,2.200,4.762,3.600,35.000,1.000,2.000
198.000,39.600,2.200,4.667,3.600,35.000,1.000,2.000
199.000,39.800,2.200,5.048,3.200,35.000,1.000,2.000
200.000,40.000,2.200,4.857,3.800,35.000,1.000,2.000
201.000,40.200,2.200,4.857,4.400,35.000,1.000,2.000
202.000,40.400,2.200,5.000,3.200,35.000,1.000,2.000
203.000,40.600,2.200,5.190,4.400,35.000,1.000,2.000
204.000,40.800,2.200,5.190,3.400,35.000,1.000,2.000
205.000,41.000,2.200,5.000,3.600,35.000,1.000,2.000
206.000,41.200,2.200,5.000,3.200,35.000,1.000,2.000
207.000,41.400,2.200,4.905,3.800,35.000,1.000,2.000
208.000,41.600,2.200,4.857,3.200,35.000,1.000,2.000
209.000,41.800,2.200,4.952,4.200,35.000,1.000,1.000
210.000,42.000,2.200,4.714,4.000,35.000,1.000,2.000
211.000,42.200,2.200,4.762,3.400,35.000,1.000,2.000
212.000,42.400,2.200,5.143,3.600,35.000,1.000,2.000
213.000,42.600,2.200,4.762,4.000,35.000,1.000,2.000
214.000,42.800,2.200,4.857,4.000,35.000,1.000,2.000
215.000,43.000,2.200,4.905,4.000,35.000,1.000,2.000
216.000,43.200,2.200,5.143,4.400,35.000,1.000,2.000
217.000,43.400,2.200,5.000,4.000,35.000,1.000,2.000
218.000,43.600,2.200,5.095,4.200,35.000,1.000,2.000
219.000,43.800,2.200,4.952,4.200,35.000,1.000,2.000
220.000,44.000,2.200,5.095,4.000,35.000,1.000,2.000
221.000,44.200,2.200,4.952,4.200,35.000,1.000,2.000
222.000,44.400,2.200,5.000,3.600,35.000,1.000,2.000
223.000,44.600,2.200,4.905,4.000,35.000,1.000,2.000
224.000,44.800,2.200,4.857,4.000,35.000,1.000,2.000
225.000,45.000,2.200,4.762,4.000,35.000,1.000,2.000
226.000,45.200,2.200,4.810,3.400,35.000,1.000,2.000
227.000,45.400,2.200,5.048,4.000,36.000,1.000,2.000
228.000,45.600,2.200,4.952,3.400,35.000,1.000,1.000
229.000,45.800,2.200,4.857,3.600,35.000,1.000,2.000
230.000,46.000,2.200,4.952,3.600,35.000,1.000,2.000
231.000,46.200,2.200,4.905,3.600,35.000,1.000,2.000
232.000,46.400,2.200,4.905,3.200,35.000,1.000,1.000
233.000,46.600,2.200,4.810,4.200,35.000,1.000,1.000
234.000,46.800,2.200,4.810,4.600,35.000,1.000,2.000
235.000,47.000,2.200,4.905,3.800,35.000,1.000,2.000
236.000,47.200,2.200,4.714,4.400,35.000,1.000,2.000
237.000,47.400,2.200,4.857,4.000,35.000,1.000,2.000
238.000,47.600,2.200,5.000,4.000,35.000,1.000,2.000
239.000,47.800,2.200,5.238,3.800,35.000,1.000,2.000
240.000,48.000,2.200,5.048,3.400,35.000,1.000,2.000
241.000,48.200,2.200,4.857,3.800,35.000,1.000,2.000
242.000,48.400,2.200,4.905,4.000,35.000,1.000,2.000
243.000,48.600,2.200,5.048,3.600,35.000,1.000,2.000
244.000,48.800,2.200,4.905,3.400,35.000,1.000,1.000
245.000,49.000,2.200,4.667,4.600,35.000,1.000,2.000
246.000,49.200,2.200,4.762,3.600,35.000,1.000,2.000
247.000,49.400,2.200,4.905,4.600,35.000,1.000,2.000
248.000,49.600,2.200,4.714,3.800,35.000,1.000,2.000
249.000,49.800,2.200,5.143,4.400,35.000,1.000,2.000
250.000,50.000,2.200,4.762,3.800,35.000,1.000,2.000
251.000,50.200,2.200,4.857,3.800,35.000,1.000,2.000
252.000,50.400,2.200,4.952,3.800,35.000,1.000,2.000
253.000,50.600,2.200,4.762,3.800,35.000,1.000,2.000
254.000,50.800,2.000,5.000,4.200,35.000,1.000,2.000
255.000,51.000,2.200,4.619,4.000,35.000,1.000,2.000
256.000,51.200,2.200,5.048,3.800,35.000,1.000,2.000
257.000,51.400,2.200,5.095,3.400,35.000,1.000,2.000
258.000,51.600,2.200,4.952,3.600,35.000,1.000,1.000
259.000,51.800,2.200,5.286,4.200,35.000,1.000,2.000
260.000,52.000,2.200,5.143,4.400,35.000,1.000,2.000
261.000,52.200,2.200,5.238,3.600,35.000,1.000,2.000
262.000,52.400,2.200,5.048,4.200,35.000,1.000,2.000
263.000,52.600,2.200,5.000,2.800,35.000,1.000,2.000
264.000,52.800,2.200,5.095,4.200,35.000,1.000,2.000
265.000,53.000,2.200,5.048,3.600,35.000,1.000,2.000
266.000,53.200,2.200,5.286,3.600,35.000,1.000,2.000
267.000,53.400,2.200,5.333,3.400,35.000,1.000,2.000
268.000,53.600,2.200,4.905,4.000,35.000,1.000,2.000
269.000,53.800,2.200,4.857,3.400,35.000,1.000,2.000
270.000,54.000,2.200,5.000,3.600,35.000,1.000,2.000
271.000,54.200,2.200,5.000,4.000,35.000,1.000,2.000
272.000,54.400,2.200,5.000,3.400,35.000,1.000,2.000
273.000,54.600,2.200,5.190,3.600,35.000,1.000,2.000
274.000,54.800,2.200,5.095,4.200,35.000,1.000,2.000
275.000,55.000,2.200,4.952,2.800,35.000,1.000,3.000
276.000,55.200,2.200,4.905,3.800,35.000,1.000,2.000
277.000,55.400,2.200,4.810,3.800,35.000,1.000,3.000
278.000,55.600,2.200,5.048,4.400,35.000,1.000,2.000
279.000,55.800,2.200,4.810,3.600,35.000,1.000,2.000
280.000,56.000,2.200,4.810,3.200,35.000,1.000,2.000
281.000,56.200,2.200,5.143,2.600,35.000,1.000,1.000
282.000,56.400,2.200,5.048,3.400,35.000,1.000,2.000
283.000,56.600,2.200,5.048,3.800,35.000,1.000,2.000
284.000,56.800,2.200,4.905,4.200,35.000,1.000,2.000
285.000,57.000,2.200,4.905,3.200,35.000,1.000,3.000
286.000,57.200,2.200,4.905,3.200,35.000,1.000,2.000
287.000,57.400,2.200,5.000,3.400,35.000,1.000,2.000
288.000,57.600,2.200,5.048,3.200,35.000,1.000,2.000
289.000,57.800,2.200,4.810,3.800,35.000,1.000,3.000
290.000,58.000,2.200,5.000,3.200,35.000,1.000,2.000
291.000,58.200,2.200,5.048,3.400,35.000,1.000,2.000
292.000,58.400,2.200,4.810,3.800,35.000,1.000,2.000
293.000,58.600,2.200,4.905,3.800,35.000,1.000,2.000
294.000,58.800,2.200,5.048,3.600,35.000,1.000,1.000
295.000,59.000,2.200,5.048,3.200,35.000,1.000,2.000
296.000,59.200,2.200,5.190,3.800,35.000,1.000,2.000
297.000,59.400,2.200,4.905,2.800,35.000,1.000,2.000
298.000,59.600,2.200,4.762,3.600,35.000,1.000,2.000
299.000,59.800,2.200,4.905,3.800,35.000,1.000,2.000
300.000,60.000,2.200,4.952,2.400,35.000,1.000,2.000
301.000,60.200,2.200,4.810,4.000,35.000,1.000,2.000
302.000,60.400,2.200,4.619,3.600,34.000,1.000,2.000
303.000,60.600,2.200,4.762,3.400,35.000,1.000,2.000
304.000,60.800,2.200,4.952,3.400,35.000,1.000,2.000
305.000,61.000,2.200,5.000,3.400,35.000,1.000,2.000
306.000,61.200,2.200,5.095,3.400,34.000,1.000,1.000
307.000,61.400,2.200,4.810,3.600,35.000,1.000,2.000
308.000,61.600,2.200,4.952,3.400,35.000,1.000,2.000
309.000,61.800,2.200,4.810,3.600,35.000,1.000,2.000
310.000,62.000,2.200,4.952,3.600,35.000,1.000,2.000
311.000,62.200,2.200,5.048,3.400,36.000,1.000,2.000
312.000,62.400,2.200,4.667,3.400,36.000,1.000,2.000
313.000,62.600,2.200,4.810,4.000,36.000,1.000,2.000
314.000,62.800,2.200,4.905,3.600,36.000,1.000,2.000
315.000,63.000,2.200,5.095,3.400,36.000,1.000,2.000
316.000,63.200,2.200,4.905,3.400,36.000,1.000,2.000
317.000,63.400,2.200,4.905,3.400,36.000,1.000,2.000
318.000,63.600,2.200,5.048,3.000,36.000,1.000,2.000
319.000,63.800,2.200,4.905,3.200,36.000,1.000,2.000
320.000,64.000,2.200,4.714,3.200,36.000,1.000,3.000
321.000,64.200,2.200,5.143,3.600,36.000,1.000,1.000
322.000,64.400,2.200,4.952,3.000,36.000,1.000,3.000
323.000,64.600,2.200,5.095,3.600,36.000,1.000,3.000
324.000,64.800,2.000,4.857,3.400,36.000,1.000,2.000
325.000,65.000,2.200,5.143,3.800,36.000,1.000,2.000
326.000,65.200,2.200,4.952,4.200,36.000,1.000,2.000
327.000,65.400,2.200,4.952,3.800,36.000,1.000,2.000
328.000,65.600,2.200,4.810,3.400,36.000,1.000,2.000
329.000,65.800,2.000,5.048,3.000,36.000,1.000,2.000
330.000,66.000,2.200,5.000,3.400,36.000,1.000,2.000
331.000,66.200,2.200,5.238,3.600,36.000,1.000,2.000
332.000,66.400,2.200,5.190,3.400,36.000,1.000,2.000
333.000,66.600,2.200,5.095,3.000,36.000,1.000,2.000
334.000,66.800,2.200,5.000,3.600,36.000,1.000,2.000
335.000,67.000,2.000,5.381,3.400,36.000,1.000,1.000
336.000,67.200,2.200,4.857,3.400,36.000,1.000,3.000
337.000,67.400,2.200,5.286,4.200,36.000,1.000,2.000
338.000,67.600,2.200,4.952,3.200,36.000,1.000,2.000
339.000,67.800,2.200,5.095,4.000,36.000,1.000,3.000
340.000,68.000,2.200,5.048,3.400,36.000,1.000,3.000
341.000,68.200,2.200,5.095,3.600,36.000,1.000,3.000
342.000,68.400,2.200,4.905,3.800,36.000,1.000,3.000
343.000,68.600,2.200,5.048,4.000,38.000,1.000,3.000
344.000,68.800,2.200,5.000,3.800,36.000,1.000,2.000
345.000,69.000,2.200,5.238,4.000,37.000,1.000,2.000
346.000,69.200,2.200,5.143,4.600,36.000,1.000,2.000
347.000,69.400,2.200,5.143,3.200,36.000,1.000,2.000
348.000,69.600,2.200,5.143,3.200,37.000,1.000,2.000
349.000,69.800,2.200,5.143,3.800,37.000,1.000,2.000
350.000,70.000,2.200,5.048,3.600,39.000,1.000,2.000
351.000,70.200,2.200,5.190,3.400,37.000,1.000,2.000
352.000,70.400,2.200,5.190,3.000,39.000,1.000,3.000
353.000,70.600,2.200,4.952,4.000,38.000,1.000,3.000
354.000,70.800,2.000,5.095,3.600,39.000,1.000,3.000
355.000,71.000,2.200,5.190,3.800,39.000,1.000,2.000
356.000,71.200,2.200,5.190,3.800,39.000,1.000,2.000
357.000,71.400,2.200,5.143,3.400,38.000,1.000,2.000
358.000,71.600,2.200,5.143,3.400,37.000,1.000,3.000
359.000,71.800,2.200,5.048,4.200,38.000,1.000,3.000
360.000,72.000,2.000,5.048,4.600,39.000,1.000,3.000
361.000,72.200,2.000,5.190,4.200,36.000,1.000,3.000
362.000,72.400,2.000,5.143,3.800,36.000,1.000,3.000
363.000,72.600,2.000,5.286,3.800,38.000,1.000,2.000
364.000,72.800,2.000,4.952,3.200,38.000,1.000,2.000
365.000,73.000,2.000,4.952,3.400,37.000,1.000,2.000
366.000,73.200,2.000,4.952,3.200,37.000,1.000,2.000
367.000,73.400,2.000,5.190,3.200,38.000,1.000,2.000
368.000,73.600,2.000,5.381,3.800,37.000,1.000,1.000
369.000,73.800,2.000,4.952,3.600,37.000,1.000,2.000
370.000,74.000,2.000,4.905,3.400,36.000,1.000,2.000
371.000,74.200,2.000,5.143,4.000,38.000,1.000,2.000
372.000,74.400,2.000,5.000,4.000,39.000,1.000,2.000
373.000,74.600,2.000,5.095,3.400,38.000,1.000,2.000
374.000,74.800,2.000,5.000,4.000,40.000,1.000,1.000
375.000,75.000,2.000,5.048,3.400,38.000,1.000,2.000
376.000,75.200,2.000,5.048,3.800,38.000,1.000,2.000
377.000,75.400,2.000,5.000,3.600,37.000,1.000,2.000
378.000,75.600,2.000,5.048,3.800,37.000,1.000,2.000
379.000,75.800,2.000,4.952,4.000,37.000,1.000,2.000
380.000,76.000,2.000,5.238,4.000,37.000,1.000,3.000
381.000,76.200,2.000,5.095,4.000,37.000,1.000,2.000
382.000,76.400,2.000,5.095,3.200,37.000,1.000,2.000
383.000,76.600,2.000,5.190,3.800,37.000,1.000,2.000
384.000,76.800,2.000,5.333,4.200,37.000,1.000,2.000
385.000,77.000,2.000,5.190,4.000,37.000,1.000,2.000
386.000,77.200,1.800,5.048,4.800,37.000,1.000,2.000
387.000,77.400,2.000,5.048,4.200,37.000,1.000,2.000
388.000,77.600,2.000,5.095,4.000,37.000,1.000,2.000
389.000,77.800,2.000,5.286,4.600,37.000,1.000,2.000
390.000,78.000,2.000,5.143,4.000,37.000,1.000,2.000
391.000,78.200,1.800,5.333,4.000,38.000,1.000,2.000
392.000,78.400,1.800,5.333,4.400,38.000,1.000,2.000
393.000,78.600,1.800,5.381,4.200,39.000,1.000,1.000
394.000,78.800,1.800,5.238,4.400,38.000,1.000,3.000
395.000,79.000,1.800,5.381,4.000,39.000,1.000,2.000
396.000,79.200,1.800,5.476,4.200,39.000,1.000,2.000
397.000,79.400,1.800,5.238,4.200,39.000,1.000,2.000
398.000,79.600,1.800,5.143,4.000,39.000,1.000,2.000
399.000,79.800,1.800,5.333,5.000,39.000,1.000,3.000
400.000,80.000,1.800,5.143,4.400,39.000,1.000,2.000
401.000,80.200,1.800,5.381,4.200,39.000,1.000,2.000
402.000,80.400,1.800,5.238,4.400,39.000,1.000,2.000
403.000,80.600,1.800,5.286,4.400,39.000,1.000,2.000
404.000,80.800,1.800,5.190,4.200,38.000,1.000,2.000
405.000,81.000,1.800,5.238,4.400,39.000,1.000,2.000
406.000,81.200,1.800,5.238,4.400,39.000,1.000,2.000
407.000,81.400,1.800,5.381,4.400,39.000,1.000,2.000
408.000,81.600,1.800,5.476,4.800,39.000,1.000,3.000
409.000,81.800,1.800,5.190,4.200,39.000,1.000,2.000
410.000,82.000,1.600,5.333,4.600,39.000,1.000,1.000
411.000,82.200,1.800,5.381,4.400,39.000,1.000,2.000
412.000,82.400,1.800,5.476,4.200,39.000,1.000,2.000
413.000,82.600,1.800,5.476,4.200,39.000,1.000,2.000
414.000,82.800,1.800,5.238,4.200,39.000,1.000,2.000
415.000,83.000,1.800,5.238,4.400,39.000,1.000,2.000
416.000,83.200,1.800,5.095,4.600,39.000,1.000,2.000
417.000,83.400,1.800,5.571,4.400,39.000,1.000,2.000
418.000,83.600,1.800,5.143,4.800,39.000,1.000,2.000
419.000,83.800,1.800,5.524,5.200,39.000,1.000,2.000
420.000,84.000,1.800,5.095,4.600,39.000,1.000,2.000
421.000,84.200,1.600,5.381,5.000,40.000,1.000,2.000
422.000,84.400,1.800,5.476,4.600,39.000,1.000,2.000
423.000,84.600,1.800,5.095,4.200,39.000,1.000,3.000
424.000,84.800,1.800,5.429,4.400,39.000,1.000,2.000
425.000,85.000,1.800,5.476,4.200,40.000,1.000,2.000
426.000,85.200,1.800,5.286,4.600,39.000,1.000,2.000
427.000,85.400,1.800,5.333,4.600,39.000,1.000,3.000
428.000,85.600,1.800,5.333,4.200,39.000,1.000,2.000
429.000,85.800,1.800,5.286,4.000,39.000,1.000,2.000
430.000,86.000,1.800,5.381,4.400,39.000,1.000,2.000
431.000,86.200,1.800,5.619,4.000,40.000,1.000,2.000
432.000,86.400,1.800,5.333,4.800,39.000,1.000,2.000
433.000,86.600,1.800,5.429,4.400,39.000,1.000,2.000
434.000,86.800,1.800,5.286,4.400,40.000,1.000,2.000
