frame,t_ps,P_S,S_Li,P_Li,Li_penetrated
60.000,12.000,3.400,3.455,1.600,30.000
61.000,12.200,3.400,3.727,1.600,29.000
62.000,12.400,3.400,3.864,1.400,30.000
63.000,12.600,3.400,3.727,1.400,28.000
64.000,12.800,3.400,3.818,1.800,29.000
65.000,13.000,3.400,3.773,1.600,29.000
66.000,13.200,3.400,3.636,1.600,28.000
67.000,13.400,3.400,3.773,1.200,28.000
68.000,13.600,3.400,3.591,1.400,28.000
69.000,13.800,3.400,3.773,1.200,28.000
70.000,14.000,3.400,3.818,1.600,28.000
71.000,14.200,3.400,3.818,1.600,28.000
72.000,14.400,3.400,3.909,1.600,28.000
73.000,14.600,3.400,3.818,1.800,28.000
74.000,14.800,3.400,3.591,1.400,28.000
75.000,15.000,3.400,3.818,1.200,29.000
76.000,15.200,3.400,3.909,1.600,29.000
77.000,15.400,3.200,3.909,1.000,29.000
78.000,15.600,3.200,3.955,1.800,29.000
79.000,15.800,3.200,3.864,1.600,29.000
80.000,16.000,3.200,3.591,1.800,29.000
81.000,16.200,3.200,3.727,1.800,29.000
82.000,16.400,3.200,3.773,1.400,30.000
83.000,16.600,3.200,3.864,1.200,30.000
84.000,16.800,3.200,4.045,2.000,30.000
85.000,17.000,3.200,3.727,1.600,29.000
86.000,17.200,3.200,3.955,1.800,28.000
87.000,17.400,3.200,3.955,1.800,29.000
88.000,17.600,3.200,3.818,1.800,29.000
89.000,17.800,3.000,3.773,2.400,29.000
90.000,18.000,3.000,3.909,2.400,29.000
91.000,18.200,3.000,3.864,2.200,29.000
92.000,18.400,3.000,4.045,2.000,30.000
93.000,18.600,3.000,4.091,2.000,30.000
94.000,18.800,3.000,4.045,2.400,30.000
95.000,19.000,3.000,4.091,1.600,30.000
96.000,19.200,3.000,4.273,2.400,30.000
97.000,19.400,3.000,4.000,2.400,30.000
98.000,19.600,3.000,3.955,2.400,30.000
99.000,19.800,3.000,3.864,1.600,30.000
100.000,20.000,3.000,4.227,2.400,31.000
101.000,20.200,3.000,3.909,2.400,30.000
102.000,20.400,3.000,3.864,2.600,30.000
103.000,20.600,3.000,3.864,1.400,30.000
104.000,20.800,3.000,3.955,2.400,30.000
105.000,21.000,3.000,4.273,1.800,29.000
106.000,21.200,3.000,4.136,2.400,30.000
107.000,21.400,3.000,4.091,2.000,32.000
108.000,21.600,3.000,3.909,2.400,31.000
109.000,21.800,3.000,3.955,2.000,31.000
110.000,22.000,3.000,4.045,2.000,31.000
111.000,22.200,3.000,3.909,2.200,31.000
112.000,22.400,3.000,4.045,2.600,30.000
113.000,22.600,3.000,4.273,1.800,30.000
114.000,22.800,3.000,4.227,2.000,31.000
115.000,23.000,3.000,4.227,2.600,31.000
116.000,23.200,3.000,4.091,2.200,31.000
117.000,23.400,3.000,4.045,2.600,31.000
118.000,23.600,3.000,4.182,2.600,31.000
119.000,23.800,3.000,4.273,2.200,30.000
120.000,24.000,3.000,3.955,2.800,30.000
121.000,24.200,3.000,3.955,3.000,30.000
122.000,24.400,3.000,4.182,2.200,30.000
123.000,24.600,3.000,4.318,2.800,30.000
124.000,24.800,3.000,4.045,1.200,30.000
125.000,25.000,3.000,4.091,2.400,30.000
126.000,25.200,3.000,4.000,2.400,30.000
127.000,25.400,3.000,4.091,2.600,30.000
128.000,25.600,3.000,4.000,2.000,30.000
129.000,25.800,3.000,4.000,2.400,30.000
130.000,26.000,3.000,4.136,2.600,31.000
131.000,26.200,3.000,4.045,2.200,31.000
132.000,26.400,3.000,4.227,2.200,31.000
133.000,26.600,3.000,4.182,2.600,31.000
134.000,26.800,3.000,4.182,2.400,31.000
135.000,27.000,3.000,4.318,2.600,32.000
136.000,27.200,2.800,4.182,2.200,31.000
137.000,27.400,2.800,4.136,2.800,33.000
138.000,27.600,2.800,4.318,2.200,33.000
139.000,27.800,2.800,4.045,2.400,33.000
140.000,28.000,2.800,4.136,3.200,32.000
141.000,28.200,2.800,4.136,2.600,33.000
142.000,28.400,2.800,4.273,2.400,33.000
143.000,28.600,2.800,4.364,3.000,33.000
144.000,28.800,2.800,4.455,2.600,32.000
145.000,29.000,2.800,4.500,3.200,34.000
146.000,29.200,2.800,4.182,2.800,33.000
147.000,29.400,2.800,4.273,2.800,34.000
148.000,29.600,2.800,4.182,2.400,33.000
149.000,29.800,2.800,4.227,2.600,32.000
150.000,30.000,2.800,4.409,2.600,33.000
151.000,30.200,2.800,4.182,2.800,33.000
152.000,30.400,2.800,4.136,3.000,32.000
153.000,30.600,2.800,4.455,3.000,34.000
154.000,30.800,2.800,4.318,3.000,32.000
155.000,31.000,2.800,4.455,3.000,32.000
156.000,31.200,2.800,4.318,2.800,34.000
157.000,31.400,2.800,4.273,2.600,33.000
158.000,31.600,2.800,4.318,3.000,34.000
159.000,31.800,2.800,4.545,2.600,32.000
160.000,32.000,2.800,4.273,2.400,34.000
161.000,32.200,2.800,4.364,2.400,34.000
162.000,32.400,2.800,4.364,3.800,34.000
163.000,32.600,2.800,4.591,2.400,33.000
164.000,32.800,2.800,4.455,2.800,35.000
165.000,33.000,2.800,4.545,2.800,34.000
166.000,33.200,2.800,4.455,2.800,33.000
167.000,33.400,2.800,4.409,2.400,33.000
168.000,33.600,2.800,4.091,2.600,35.000
169.000,33.800,2.800,4.364,3.000,33.000
170.000,34.000,2.800,4.273,2.800,34.000
171.000,34.200,2.800,4.318,2.600,33.000
172.000,34.400,2.800,4.136,3.000,33.000
173.000,34.600,2.800,4.000,3.400,33.000
174.000,34.800,2.800,4.409,3.000,33.000
175.000,35.000,2.800,4.773,3.200,33.000
176.000,35.200,2.800,4.318,2.600,32.000
177.000,35.400,2.800,4.364,3.200,33.000
178.000,35.600,2.800,4.182,2.800,33.000
179.000,35.800,2.800,4.318,2.400,32.000
180.000,36.000,2.600,4.273,2.800,33.000
181.000,36.200,2.600,4.318,2.800,32.000
182.000,36.400,2.600,4.273,2.800,34.000
183.000,36.600,2.600,4.455,3.200,35.000
184.000,36.800,2.600,4.455,3.000,34.000
185.000,37.000,2.600,4.318,3.400,33.000
186.000,37.200,2.600,4.318,3.400,34.000
187.000,37.400,2.600,4.364,3.400,34.000
188.000,37.600,2.600,4.318,3.000,34.000
189.000,37.800,2.600,4.409,3.000,34.000
190.000,38.000,2.600,4.273,3.400,34.000
191.000,38.200,2.600,4.409,2.800,34.000
192.000,38.400,2.600,4.545,3.600,34.000
193.000,38.600,2.600,4.591,3.600,34.000
194.000,38.800,2.600,4.545,3.600,34.000
195.000,39.000,2.600,4.455,3.800,34.000
196.000,39.200,2.600,4.500,2.800,34.000
197.000,39.400,2.600,4.500,3.000,34.000
198.000,39.600,2.600,4.318,3.200,34.000
199.000,39.800,2.600,4.591,3.000,34.000
200.000,40.000,2.400,4.500,3.800,34.000
201.000,40.200,2.400,4.591,3.400,34.000
202.000,40.400,2.400,4.636,3.600,35.000
203.000,40.600,2.400,4.636,3.600,35.000
204.000,40.800,2.400,4.455,3.600,36.000
205.000,41.000,2.400,4.500,3.000,36.000
206.000,41.200,2.400,4.591,3.600,35.000
207.000,41.400,2.400,4.455,3.400,35.000
208.000,41.600,2.400,4.545,3.600,35.000
209.000,41.800,2.400,4.409,3.200,36.000
210.000,42.000,2.400,4.455,3.000,36.000
211.000,42.200,2.400,4.500,3.200,35.000
212.000,42.400,2.400,4.545,3.600,36.000
213.000,42.600,2.400,4.545,3.600,36.000
214.000,42.800,2.400,4.682,4.400,35.000
215.000,43.000,2.400,4.773,3.800,35.000
216.000,43.200,2.400,4.682,3.400,35.000
217.000,43.400,2.400,4.545,4.000,34.000
218.000,43.600,2.400,4.500,3.800,35.000
219.000,43.800,2.400,4.545,3.800,35.000
220.000,44.000,2.400,4.591,3.800,35.000
221.000,44.200,2.400,4.636,3.600,34.000
222.000,44.400,2.400,4.591,3.400,36.000
223.000,44.600,2.400,4.500,3.200,35.000
224.000,44.800,2.400,4.818,3.800,36.000
225.000,45.000,2.400,4.773,3.400,36.000
226.000,45.200,2.400,4.636,3.200,35.000
227.000,45.400,2.400,4.636,4.000,36.000
228.000,45.600,2.400,4.682,3.800,35.000
229.000,45.800,2.400,4.773,3.400,34.000
230.000,46.000,2.400,4.682,3.200,36.000
231.000,46.200,2.400,4.409,3.200,36.000
232.000,46.400,2.400,4.682,3.400,35.000
233.000,46.600,2.400,4.682,3.600,35.000
234.000,46.800,2.400,4.818,4.000,35.000
235.000,47.000,2.400,4.682,3.800,34.000
236.000,47.200,2.400,4.818,3.800,35.000
237.000,47.400,2.400,4.682,3.800,36.000
238.000,47.600,2.400,4.682,3.600,36.000
239.000,47.800,2.400,4.682,3.600,36.000
240.000,48.000,2.400,4.591,3.000,35.000
241.000,48.200,2.400,4.682,3.800,34.000
242.000,48.400,2.400,4.773,3.800,34.000
243.000,48.600,2.400,4.636,3.600,34.000
244.000,48.800,2.400,4.727,4.200,36.000
245.000,49.000,2.400,4.682,3.400,36.000
246.000,49.200,2.400,4.773,3.200,36.000
247.000,49.400,2.400,4.818,3.600,36.000
248.000,49.600,2.400,4.818,3.200,36.000
249.000,49.800,2.400,4.636,3.800,36.000
250.000,50.000,2.400,4.545,3.200,36.000
251.000,50.200,2.400,4.864,3.800,36.000
252.000,50.400,2.400,4.864,3.800,35.000
253.000,50.600,2.400,4.955,3.600,36.000
254.000,50.800,2.400,4.727,3.400,36.000
255.000,51.000,2.400,4.864,3.400,36.000
256.000,51.200,2.400,4.864,4.000,36.000
257.000,51.400,2.400,4.409,3.800,36.000
258.000,51.600,2.400,4.955,3.800,36.000
259.000,51.800,2.400,4.909,4.000,36.000
260.000,52.000,2.400,5.000,4.200,36.000
261.000,52.200,2.400,4.955,3.800,37.000
262.000,52.400,2.400,4.682,3.400,36.000
263.000,52.600,2.400,4.864,3.200,36.000
264.000,52.800,2.400,4.864,3.400,36.000
265.000,53.000,2.400,4.864,3.400,36.000
266.000,53.200,2.200,4.682,3.600,37.000
267.000,53.400,2.200,4.682,3.800,36.000
268.000,53.600,2.200,4.864,3.800,36.000
269.000,53.800,2.200,4.773,3.800,36.000
270.000,54.000,2.200,4.682,4.000,37.000
271.000,54.200,2.200,4.909,4.000,36.000
272.000,54.400,2.200,4.818,3.800,36.000
273.000,54.600,2.200,4.727,3.400,37.000
274.000,54.800,2.200,4.818,3.600,36.000
275.000,55.000,2.200,4.955,4.400,36.000
276.000,55.200,2.200,4.909,3.800,36.000
277.000,55.400,2.200,5.136,3.800,36.000
278.000,55.600,2.200,5.045,4.000,36.000
279.000,55.800,2.200,5.045,4.200,36.000
280.000,56.000,2.200,5.045,4.000,36.000
281.000,56.200,2.200,5.136,3.400,36.000
282.000,56.400,2.200,4.955,3.000,36.000
283.000,56.600,2.200,4.955,3.800,36.000
284.000,56.800,2.000,5.045,3.600,37.000
285.000,57.000,2.000,5.182,4.000,38.000
286.000,57.200,2.000,5.091,3.400,37.000
287.000,57.400,2.000,5.136,4.000,37.000
288.000,57.600,2.000,5.136,3.800,36.000
289.000,57.800,2.000,5.409,3.600,36.000
290.000,58.000,2.000,5.091,3.600,36.000
291.000,58.200,2.000,5.136,3.800,36.000
292.000,58.400,2.000,5.136,4.200,36.000
293.000,58.600,2.000,5.182,4.200,37.000
294.000,58.800,2.000,4.864,3.600,37.000
295.000,59.000,2.000,5.182,3.600,37.000
296.000,59.200,2.000,5.000,4.200,37.000
297.000,59.400,2.000,5.091,3.600,37.000
298.000,59.600,2.000,5.182,3.600,37.000
299.000,59.800,2.000,5.318,4.200,37.000
300.000,60.000,2.000,5.182,4.000,37.000
301.000,60.200,2.000,5.182,3.600,37.000
302.000,60.400,2.000,5.091,4.400,37.000
303.000,60.600,2.000,5.045,3.800,37.000
304.000,60.800,2.000,5.227,4.200,37.000
305.000,61.000,2.000,5.045,3.800,37.000
306.000,61.200,2.000,5.182,4.000,37.000
307.000,61.400,2.000,4.818,4.600,37.000
308.000,61.600,2.000,5.045,4.000,37.000
309.000,61.800,2.000,5.318,4.400,37.000
310.000,62.000,2.000,4.955,3.600,37.000
311.000,62.200,2.000,5.227,4.200,37.000
312.000,62.400,2.000,5.091,4.600,37.000
313.000,62.600,2.000,5.000,3.600,37.000
314.000,62.800,2.000,5.045,3.800,37.000
315.000,63.000,2.000,5.227,4.200,37.000
316.000,63.200,2.000,5.500,4.400,37.000
317.000,63.400,2.000,5.045,4.200,37.000
318.000,63.600,2.000,5.000,3.800,37.000
319.000,63.800,2.000,5.273,4.000,37.000
320.000,64.000,2.000,4.909,3.800,37.000
321.000,64.200,2.000,5.409,4.600,37.000
322.000,64.400,2.000,5.273,4.400,37.000
323.000,64.600,2.000,5.091,4.400,37.000
324.000,64.800,2.000,5.227,4.400,37.000
325.000,65.000,2.000,5.091,4.400,37.000
326.000,65.200,2.000,5.045,4.200,37.000
327.000,65.400,2.000,5.182,3.200,37.000
328.000,65.600,2.000,5.045,3.400,37.000
329.000,65.800,2.000,5.091,3.400,37.000
330.000,66.000,2.000,5.000,3.800,37.000
331.000,66.200,2.000,5.136,4.200,37.000
332.000,66.400,2.000,5.273,4.400,37.000
333.000,66.600,2.000,5.273,4.800,37.000
334.000,66.800,2.000,4.864,4.400,37.000
335.000,67.000,2.000,5.182,4.400,37.000
336.000,67.200,2.000,4.909,4.200,37.000
337.000,67.400,2.000,5.000,3.800,37.000
338.000,67.600,2.000,5.045,4.000,37.000
339.000,67.800,2.000,5.318,4.200,37.000
340.000,68.000,2.000,5.136,4.000,37.000
341.000,68.200,2.000,5.409,4.000,37.000
342.000,68.400,2.000,5.182,4.200,37.000
343.000,68.600,2.000,5.136,4.000,37.000
344.000,68.800,2.000,5.227,4.200,37.000
345.000,69.000,2.000,5.045,4.200,37.000
346.000,69.200,2.000,5.273,4.000,37.000
347.000,69.400,2.000,5.045,4.000,37.000
348.000,69.600,2.000,5.227,3.800,37.000
349.000,69.800,2.000,5.136,3.800,37.000
350.000,70.000,2.000,5.227,4.600,37.000
351.000,70.200,2.000,5.227,4.600,37.000
352.000,70.400,2.000,5.273,4.400,38.000
353.000,70.600,2.000,5.318,4.400,38.000
354.000,70.800,2.000,5.136,4.400,38.000
355.000,71.000,2.000,5.364,4.400,38.000
356.000,71.200,2.000,5.455,4.600,39.000
357.000,71.400,2.000,5.182,5.200,38.000
358.000,71.600,2.000,5.136,4.400,39.000
359.000,71.800,2.000,5.364,3.800,38.000
360.000,72.000,2.000,5.182,4.000,37.000
361.000,72.200,2.000,5.136,4.200,37.000
362.000,72.400,2.000,5.364,4.600,37.000
363.000,72.600,2.000,5.455,5.000,39.000
364.000,72.800,2.000,5.455,4.400,37.000
365.000,73.000,2.000,5.409,4.400,37.000
366.000,73.200,2.000,5.364,4.200,38.000
367.000,73.400,2.000,5.364,4.400,37.000
368.000,73.600,2.000,5.318,4.400,37.000
369.000,73.800,2.000,5.455,4.400,38.000
370.000,74.000,2.000,5.227,5.000,40.000
371.000,74.200,2.000,5.273,4.200,39.000
372.000,74.400,2.000,5.591,4.400,40.000
373.000,74.600,2.000,5.500,4.600,40.000
374.000,74.800,2.000,5.273,5.200,39.000
375.000,75.000,2.000,5.227,4.800,40.000
376.000,75.200,2.000,5.136,4.400,40.000
377.000,75.400,2.000,5.273,4.600,40.000
378.000,75.600,2.000,5.136,4.800,39.000
379.000,75.800,2.000,5.182,4.800,37.000
380.000,76.000,2.000,5.227,5.000,37.000
381.000,76.200,2.000,5.182,4.800,37.000
382.000,76.400,2.000,5.182,4.600,37.000
383.000,76.600,2.000,5.136,4.000,37.000
384.000,76.800,2.000,5.227,4.200,37.000
385.000,77.000,2.000,5.136,4.400,37.000
386.000,77.200,2.000,5.409,4.400,37.000
387.000,77.400,2.000,5.318,3.800,37.000
388.000,77.600,2.000,5.409,4.800,37.000
389.000,77.800,2.000,5.227,4.200,38.000
390.000,78.000,2.000,5.273,4.400,37.000
391.000,78.200,2.000,5.364,4.200,37.000
392.000,78.400,2.000,5.227,4.000,37.000
393.000,78.600,2.000,5.182,4.000,38.000
394.000,78.800,2.000,5.182,4.000,37.000
395.000,79.000,2.000,5.182,3.600,37.000
396.000,79.200,2.000,5.182,4.200,37.000
397.000,79.400,2.000,5.182,4.800,37.000
398.000,79.600,2.000,5.091,4.600,37.000
399.000,79.800,2.000,4.955,4.200,37.000
400.000,80.000,2.000,5.364,4.200,37.000
401.000,80.200,2.000,5.182,4.400,38.000
402.000,80.400,2.000,5.045,4.200,37.000
403.000,80.600,2.000,5.136,4.600,37.000
404.000,80.800,2.000,5.136,4.200,37.000
405.000,81.000,2.000,5.136,4.400,37.000
406.000,81.200,2.000,5.136,4.200,37.000
407.000,81.400,2.000,5.136,3.800,37.000
408.000,81.600,2.000,5.318,3.800,37.000
409.000,81.800,2.000,5.318,5.200,37.000
410.000,82.000,2.000,5.136,4.000,37.000
411.000,82.200,2.000,5.045,4.400,38.000
412.000,82.400,2.000,5.091,4.800,37.000
413.000,82.600,2.000,5.091,4.800,37.000
414.000,82.800,2.000,5.000,4.800,37.000
415.000,83.000,2.000,5.455,4.000,37.000
416.000,83.200,2.000,5.136,4.600,38.000
417.000,83.400,2.000,5.318,5.400,38.000
418.000,83.600,2.000,5.182,4.400,37.000
419.000,83.800,2.000,5.364,4.400,37.000
420.000,84.000,2.000,5.273,4.800,38.000
421.000,84.200,2.000,5.273,4.800,37.000
422.000,84.400,2.000,5.318,3.600,37.000
423.000,84.600,2.000,5.273,4.000,38.000
424.000,84.800,2.000,5.227,4.400,37.000
425.000,85.000,2.000,5.227,4.200,38.000
426.000,85.200,2.000,5.227,4.400,38.000
427.000,85.400,2.000,5.136,4.200,38.000
428.000,85.600,2.000,5.136,4.000,38.000
429.000,85.800,2.000,5.136,4.000,38.000
430.000,86.000,2.000,5.273,3.800,38.000
431.000,86.200,2.000,5.227,3.800,38.000
432.000,86.400,2.000,5.227,4.000,38.000
433.000,86.600,2.000,5.091,3.800,38.000
434.000,86.800,2.000,4.955,4.200,37.000
435.000,87.000,2.000,5.136,4.600,37.000
436.000,87.200,2.000,5.182,4.400,38.000
437.000,87.400,2.000,5.091,4.600,38.000
438.000,87.600,2.000,5.045,3.800,38.000
439.000,87.800,2.000,5.409,4.000,38.000
440.000,88.000,2.000,5.227,3.800,38.000
441.000,88.200,2.000,5.227,4.000,37.000
442.000,88.400,1.800,5.091,4.000,37.000
443.000,88.600,2.000,5.273,4.600,37.000
444.000,88.800,2.000,5.273,3.600,37.000
445.000,89.000,2.000,5.136,4.400,37.000
446.000,89.200,2.000,5.091,4.000,37.000
447.000,89.400,2.000,5.045,4.000,37.000
448.000,89.600,2.000,4.955,4.600,37.000
449.000,89.800,2.000,5.273,4.400,37.000
450.000,90.000,2.000,5.000,3.800,37.000
451.000,90.200,2.000,5.091,4.400,37.000
452.000,90.400,2.000,5.182,4.200,37.000
453.000,90.600,2.000,5.182,4.000,37.000
454.000,90.800,2.000,5.318,4.000,37.000
455.000,91.000,2.000,5.455,4.400,37.000
456.000,91.200,2.000,5.227,3.600,37.000
457.000,91.400,2.000,5.318,4.400,37.000
458.000,91.600,2.000,5.273,4.600,37.000
459.000,91.800,2.000,5.318,4.000,37.000
460.000,92.000,2.000,5.182,4.400,38.000
461.000,92.200,2.000,5.000,3.600,38.000
462.000,92.400,2.000,5.318,4.600,37.000
463.000,92.600,2.000,5.273,4.400,37.000
464.000,92.800,2.000,5.318,4.600,38.000
465.000,93.000,2.000,5.273,4.400,38.000
466.000,93.200,2.000,5.045,4.200,37.000
467.000,93.400,2.000,5.227,4.000,37.000
468.000,93.600,2.000,5.227,4.200,37.000
469.000,93.800,2.000,5.182,4.400,37.000
470.000,94.000,2.000,5.045,3.400,37.000
471.000,94.200,2.000,5.182,3.600,37.000
472.000,94.400,2.000,5.045,4.400,38.000
473.000,94.600,2.000,5.091,4.000,38.000
474.000,94.800,2.000,4.955,4.200,38.000
475.000,95.000,2.000,5.136,3.800,37.000
476.000,95.200,2.000,5.182,4.800,38.000
477.000,95.400,2.000,5.318,4.200,38.000
478.000,95.600,2.000,5.273,4.600,38.000
479.000,95.800,2.000,5.318,4.000,38.000
480.000,96.000,2.000,5.136,4.200,37.000
481.000,96.200,2.000,5.182,4.200,38.000
482.000,96.400,2.000,5.227,4.200,38.000
483.000,96.600,2.000,5.227,4.200,37.000
484.000,96.800,2.000,5.136,4.200,38.000
485.000,97.000,2.000,5.227,3.400,38.000
486.000,97.200,2.000,5.182,4.000,38.000
487.000,97.400,2.000,5.182,4.800,38.000
488.000,97.600,2.000,5.318,4.000,39.000
489.000,97.800,2.000,5.227,4.200,38.000
490.000,98.000,2.000,5.364,4.200,39.000
491.000,98.200,2.000,5.227,3.600,38.000
492.000,98.400,2.000,5.136,4.400,38.000
493.000,98.600,2.000,5.364,4.000,38.000
494.000,98.800,2.000,5.500,4.200,37.000
495.000,99.000,2.000,5.227,4.000,37.000
496.000,99.200,2.000,5.182,4.000,38.000
497.000,99.400,2.000,5.227,4.000,37.000
498.000,99.600,2.000,5.364,3.800,37.000
499.000,99.800,2.000,5.182,3.800,37.000
