_dir,dopant,concentration,rerank_de_post_anneal,anneal_dV_pct,eos_B0_GPa,eos_fit_quality_ok,elastic_E_young_GPa,elastic_B_hill_GPa,elastic_G_hill_GPa,elastic_poisson_nu,elastic_pugh_GoverB,sigma_300K_S_cm_NE,sigma_md_Ea_eV,wad_J_m2_mean,anneal_converged,combined_score,rank_combined
GaN_x020_s03,GaN,0.25,-0.4755383809395388,-4.972124589013401,21.96991354532992,True,53.42066442953903,29.81631698708153,22.23285318202775,0.2013902127668075,0.7456606123305082,,,,True,0.7000000000000001,1
GaN_x050_s03,GaN,0.25,-0.4891235583030737,-1.429976229932968,18.15770572340595,True,39.89080395492152,19.73764385298809,17.147629029176642,0.1631580053151206,0.8687779127487225,,,,True,0.7000000000000001,1
GaN_x100_s03,GaN,0.25,-0.4806661569711767,-4.045682659260764,17.62706308401366,True,32.65929491313191,22.862561697873645,12.940362647946042,0.2619157515773235,0.5660066802203347,,,,True,0.7000000000000001,1
Gd2O3_x020_cLi24gaS16e_s00,Gd2O3,0.25,-1.287645585617331,-4.146006751736795,18.644196466556583,True,45.32743517681836,25.92138408565228,18.752688881232693,0.2085582889977216,0.7234447365645292,,,,True,0.7907429372810378,1
Gd2O3_x050_cLi24gaS4a_s00,Gd2O3,0.25,-1.25367552682481,-4.363162418687392,17.403924361573477,True,45.55077394323908,24.24467769350849,19.18949358254937,0.1868675363236848,0.7914930371578981,,,,True,0.6198741184851093,1
Gd2O3_x100_cLi24gaS4a_s00,Gd2O3,0.25,-1.267018336906904,-4.685673573282877,25.91870147613069,True,33.96538554701176,18.2216957972818,14.279185809961886,0.1893320109090457,0.7836364940354218,,,,True,0.6838846278849797,1
GeO2_x020_cP4baS4a_s03,GeO2,0.25,-0.5153041629153754,-7.257538788578676,22.388697662119785,True,55.48228843267945,30.6697537312496,23.1466272507198,0.1984961746630731,0.7547053508661061,,,,True,0.6715974902875831,1
GeO2_x050_cP4baS4a_s03,GeO2,0.25,-0.520699095697081,-6.969061927903704,23.57407802240002,True,58.71567494685178,34.0872816325702,24.204364248927625,0.2129150417461014,0.7100702399747975,,,,True,0.6928048225830361,1
GeO2_x100_cP4baS4a_s03,GeO2,0.25,-0.5341252138760839,-3.239047831315069,23.908089492517263,True,54.42057990107061,28.87113816018812,22.945964188632686,0.1858420821564405,0.7947717218947068,,,,True,0.7345441119040481,1
GeS2_x020_cP4baS4a_s03,GeS2,0.25,-0.4440445071091949,-2.9303017464704606,23.57790790581556,True,54.729260415479374,29.113779201731237,23.05956496961764,0.1866932547857789,0.7920498678593543,,,,True,0.85,1
GeS2_x050_cP4baS16e_s03,GeS2,0.25,-0.4037285301004214,-3.402999050120229,20.93311806568083,True,55.966253560041054,31.793040088283867,23.191494767575712,0.2066116074218745,0.7294519398955518,,,,True,0.6441367181244315,1
GeS2_x100_cP4baS4a_s03,GeS2,0.25,-0.4529558422013555,-5.590338802145135,26.623476310229123,True,59.32919801016996,32.886054732121124,24.73452839762191,0.1993193695957861,0.7521281770982005,,,,True,0.8307310812493222,1
HfCl4_x020_cLi24gaCl4d_s00,HfCl4,0.25,-0.6773259409140686,-4.7791744616271234,15.817428995597984,True,50.59280815832344,26.694456163450063,21.36296655131509,0.1841241251957344,0.8002772718241465,,,,True,0.85,1
HfCl4_x050_cLi24gaCl4d_s00,HfCl4,0.25,-0.6400297839841742,-3.024636668034713,19.77051604016122,True,49.11053077931341,26.92252592386216,20.531566813077376,0.1959762064537846,0.7626166605296012,,,,True,0.7223801232508853,1
HfCl4_x100_cLi24gaCl4d_s00,HfCl4,0.25,-0.6825785776816726,-5.1037121837801305,19.306029502866146,True,51.82113862137916,27.306565050543888,21.889330827648973,0.1837076937025992,0.8016142194059295,,,,True,0.85,1
HfO2_x020_cLi24gaS4a_s01,HfO2,0.25,-0.7689430726980166,-3.867304178575823,18.782109558719565,True,46.986843911854734,25.53074498665772,19.68833156207233,0.1932662695088483,0.7711616551871633,,,,True,0.6019468023820107,1
HfO2_x050_cLi24gaS16e_s01,HfO2,0.25,-0.83255954731928,-2.594848240001752,17.59027095398498,True,46.60597041201388,22.23166345135925,20.2528341590896,0.1506036647986082,0.9109904980075316,,,,True,0.6843544270290425,1
HfO2_x100_cLi24gaS16e_s01,HfO2,0.25,-0.827618597637422,-6.576383014990922,20.16437320324409,True,47.19896390957573,26.468133130559444,19.62055548143551,0.202793772944763,0.7412897382921997,,,,True,0.55,1
In2O3_x020_cLi24gaS16e_s02,In2O3,0.25,-0.6678796775515075,-3.8912870483510495,14.276391851813075,True,45.3845632094466,25.52991450466243,18.851849809384262,0.203716443435026,0.7384219718378384,,,,True,0.55,1
In2O3_x050_cLi24gaS16e_s02,In2O3,0.25,-0.7056803432900893,-5.663859832788753,17.36330912424644,True,37.33311249903222,22.452866095515542,15.264448117363331,0.2228778994166758,0.6798440810374788,,,,True,0.85,1
In2O3_x100_cLi24gaS4a_s03,In2O3,0.25,-0.6200965596934718,-2.8925984752453413,16.730605554995105,True,42.97530047365169,24.34903516823028,17.819675885014846,0.2058384437225102,0.7318432028988688,,,,True,0.7058190057250288,1
La2O3_x020_cLi24gaS4a_s04,La2O3,0.25,-0.9280306391871536,-5.300213023216597,22.315428199348126,True,49.93755889873741,27.851449115673347,20.78709726621458,0.201167201442341,0.7463560398556311,,,,True,0.7923428494365087,1
La2O3_x050_cLi24gaS4a_s04,La2O3,0.25,-0.880915676676612,-2.7920888551783665,16.92361472323166,True,46.9485121687217,25.52746182862686,19.668794978648155,0.193477084378773,0.7704955201065579,,,,True,0.6067051779948152,1
La2O3_x100_cLi24gaS16e_s01,La2O3,0.25,-0.8848003218392155,-8.127786139119149,17.040465872963054,True,53.34248466843539,28.13874195998252,22.52542138808248,0.1840507609029077,0.8005127386333398,,,,True,0.6426454549855298,1
LaCl3_x020_cLi24gaS4a_s01,LaCl3,0.25,-0.5307558063532132,-3.667864462432888,,False,53.98777815805173,32.234273216115994,22.11060190506069,0.2208572699618587,0.6859345565764509,,,,True,0.78781889349053,1
LaCl3_x050_cLi24gaCl4d_s01,LaCl3,0.25,-0.6140974596183466,-5.943282336024425,19.66813989672735,True,54.11050079633549,35.370714863350045,21.730574360048877,0.2450315371280824,0.6143662757171292,,,,True,0.85,1
LaCl3_x100_cLi24gaCl4d_s04,LaCl3,0.25,-0.5541952474993015,-2.8044360800470245,18.66450353163397,True,53.04068907246489,29.351447418582108,22.12206931802581,0.1988184357881368,0.7536960274068308,,,,True,0.83074084344864,1
LaF3_x020_s00,LaF3,0.25,-0.7259751348722157,-5.882476564964327,19.60490391789872,True,43.852350328909566,25.18137747880225,18.12444966299689,0.2097567414264464,0.7197560847596245,,,,True,0.7000000000000001,1
LaF3_x050_s00,LaF3,0.25,-0.7321363951236819,-6.916493177869361,21.712433369384243,True,36.88829550035716,26.224245000873807,14.5739186231518,0.2655585794803751,0.5557421623641096,,,,True,0.7000000000000001,1
LaF3_x100_s00,LaF3,0.25,-0.7237321516833202,-8.007783908230255,,False,40.73460607234141,25.84688722981592,16.46063605139013,0.2373339020791149,0.6368517765807331,,,,True,0.7000000000000001,1
Li2O_x020_cLi24gaS4a_s04,Li2O,0.25,-0.4669071790103283,-4.31598126190002,23.645553519652225,True,51.18243129768632,27.032346304903925,21.606225731293467,0.1844371139647039,0.7992730445071982,,,,True,0.7807458466596052,1
Li2O_x050_cLi48haS16e_s00,Li2O,0.25,-0.530730103405757,-5.472431330058883,18.4833300603476,True,46.82075197810576,21.533434286972746,20.578524528976445,0.137611977772698,0.9556545535064048,,,,True,0.85,1
Li2O_x100_cLi24gaS4a_s03,Li2O,0.25,-0.510592083047777,-5.648104824286856,,False,47.78924895400516,22.918781190793307,20.73333256515071,0.152473892072974,0.904643767596136,,,,True,0.8181589902169953,1
Li2S_x020_cLi48haS4a_s04,Li2S,0.25,-0.474999394291046,-6.200899703272015,23.45105429920984,True,55.512332157830784,30.997807137047403,23.10077177481616,0.2015254879568316,0.7452389026321476,,,,True,0.85,1
Li2S_x050_cLi24gaS4a_s02,Li2S,0.25,-0.4726233815014038,-5.445092126276178,21.808473630941776,True,56.00953469612575,30.128261321872337,23.530242370658367,0.190160598727369,0.7810023326363019,,,,True,0.8410420864719722,1
Li2S_x100_cLi48haCl4d_s03,Li2S,0.25,-0.4863029646329311,-7.953207123446557,27.029632996022837,True,63.05789332257486,36.45290047620824,26.020586674085227,0.21169238250451,0.7138138895440739,,,,True,0.85,1
Li3N_x020_cLi24gaS16e_s02,Li3N,0.25,-0.4559415066833292,-1.7815913677239177,,False,44.73964743397329,24.68786371986988,18.673192050284754,0.1979646359737149,0.7563713192104081,,,,True,0.6805846145711244,1
Li3N_x050_cLi24gaS16e_s02,Li3N,0.25,-0.4862037232285914,-4.62220583752245,16.706210011991338,True,46.74810221894568,23.619693191617696,19.975545702690813,0.1701332948478212,0.8457157144522037,,,,True,0.7627898953258142,1
Li3N_x100_cLi24gaS16e_s04,Li3N,0.25,-0.4850489954332131,-5.394271899051232,20.29565409319994,True,46.35794816600621,23.501320096948,19.790136892888896,0.1712386937218157,0.8420861811698375,,,,True,0.85,1
LiBr_x020_cLi24gaCl4d_s03,LiBr,0.25,-0.4375907517401591,-3.65126227456887,21.942191842971173,True,56.75592574109367,32.97687846953328,23.39190893561669,0.2131529302996875,0.7093427280337657,,,,True,0.8387982803675498,1
LiBr_x050_cLi48haCl4d_s00,LiBr,0.25,-0.433256563423035,-3.169702447922797,23.33732119236797,True,53.65458519170241,26.17563608861929,23.159556392057347,0.158368154454449,0.8847753045484429,,,,True,0.8150295735712885,1
LiBr_x100_cLi48haCl4d_s00,LiBr,0.25,-0.4425841478350953,-4.297293132543432,20.037660274091344,True,54.434882582193474,30.914410863499263,22.558462635010077,0.206529085402126,0.7297070202830525,,,,True,0.85,1
LiCl_x020_cLi48haS4a_s00,LiCl,0.25,-0.3968773442244195,-3.186511717816908,16.64566103421247,True,46.61043588819596,25.287492883189778,19.5383015313166,0.1927965133890299,0.7726468425149795,,,,True,0.7943722927582747,1
LiCl_x050_cLi24gaCl4d_s02,LiCl,0.25,-0.4822088191938252,-4.448576265490402,19.74207419997795,True,54.63816491215011,27.99159145458526,23.25671305323816,0.1746751311562177,0.8308464022480048,,,,True,0.85,1
LiCl_x100_cLi24gaS4a_s00,LiCl,0.25,-0.431349492858081,-3.127057602969558,20.466784273749337,True,49.67737922094392,23.622324032829503,21.60820658813948,0.1495025979669063,0.9147366939048474,,,,True,0.82288244037801,1
LiF_x020_cLi24gaCl4d_s03,LiF,0.25,-0.5212911614185582,-7.700297481621761,23.67295432444696,True,62.19180642093455,36.28678219819988,25.60702459859742,0.2143505033447148,0.7056846335597026,,,,True,0.85,1
LiF_x050_cLi48haCl4d_s01,LiF,0.25,-0.5151381238274317,-6.776563954024674,17.978498765377104,True,59.96926398340427,35.503939669137935,24.608117554247382,0.2184854012340636,0.6931094910472196,,,,True,0.85,1
LiF_x100_cLi24gaCl4d_s01,LiF,0.25,-0.5199285952416974,-6.904397915144712,24.287891673303413,True,52.48174944238062,28.298288006154134,22.034462645458994,0.1909015047661351,0.7786500243642681,,,,True,0.85,1
LiI_x020_cLi48haCl4d_s01,LiI,0.25,-0.3872969130741177,-2.446824158239937,18.963631286777805,True,42.77693242515994,24.679365618517444,17.660138963230136,0.2111153970595884,0.7155831813593848,,,,True,0.8449561686814452,1
LiI_x050_cLi24gaCl4d_s04,LiI,0.25,-0.4640841172496812,-6.178930192993778,26.412352662058083,True,61.57385835831708,35.305198295786994,25.45792770387456,0.2093258154108487,0.7210815668159689,,,,True,0.85,1
LiI_x100_cLi24gaCl4d_s00,LiI,0.25,-0.413442235244621,-2.1687055854868715,,False,52.28148189528057,28.01992384759958,21.98507789678604,0.1890219843824959,0.784623042388085,,,,True,0.8158526417176085,1
Mg3N2_x020_s02,Mg3N2,0.25,-0.5985185521579881,-3.904755492332178,20.07563953876429,True,41.26731817748533,27.94623854009317,16.45573473469591,0.2538886547094043,0.5888354066357672,,,,True,0.7000000000000001,1
Mg3N2_x050_s02,Mg3N2,0.25,-0.5796219702357912,-2.2133557855070487,17.479514960255052,True,28.11039177228021,17.423132090872752,11.416770454925098,0.2311008565541241,0.6552651036208275,,,,True,0.7000000000000001,1
Mg3N2_x100_s02,Mg3N2,0.25,-0.5913408460833618,-6.510571014485141,17.16283509588838,True,49.91243297128686,24.14917050001543,21.597260759347208,0.1555269329626665,0.8943272299698,,,,True,0.7000000000000001,1
MgBr2_x020_cLi24gaS4a_s03,MgBr2,0.25,-0.3674055940750262,0.4672576644559371,18.86072786023451,True,40.41976956314647,25.28610398590143,16.383066250500853,0.2335837792852352,0.6479078888402668,,,,True,0.7625846746540137,1
MgBr2_x050_cLi24gaCl4d_s03,MgBr2,0.25,-0.4336214851796725,-4.929761185821306,21.378375784417138,True,48.60783095567967,26.57890812859511,20.334635845150625,0.1951979697554206,0.7650666365513134,,,,True,0.85,1
