E_minus_VBM,free_S,B_S,PS4_S,Cl,O
-7.0000,0.0000,0.0029,0.0071,0.0000,0.0041
-6.9800,0.0000,0.0030,0.0069,0.0000,0.0040
-6.9600,0.0000,0.0031,0.0068,0.0000,0.0039
-6.9400,0.0000,0.0033,0.0066,0.0000,0.0038
-6.9200,0.0000,0.0034,0.0064,0.0000,0.0037
-6.9000,0.0000,0.0035,0.0062,0.0000,0.0036
-6.8800,0.0000,0.0037,0.0061,0.0000,0.0035
-6.8600,0.0000,0.0038,0.0059,0.0000,0.0034
-6.8400,0.0000,0.0039,0.0057,0.0000,0.0033
-6.8200,0.0000,0.0041,0.0055,0.0000,0.0032
-6.8000,0.0000,0.0042,0.0053,0.0000,0.0031
-6.7800,0.0000,0.0043,0.0052,0.0001,0.0030
-6.7600,0.0000,0.0045,0.0050,0.0001,0.0029
-6.7400,0.0000,0.0046,0.0048,0.0001,0.0028
-6.7200,0.0000,0.0048,0.0046,0.0001,0.0027
-6.7000,0.0000,0.0049,0.0045,0.0001,0.0026
-6.6800,0.0000,0.0050,0.0043,0.0001,0.0025
-6.6600,0.0000,0.0052,0.0041,0.0001,0.0024
-6.6400,0.0000,0.0053,0.0039,0.0001,0.0023
-6.6200,0.0000,0.0054,0.0038,0.0001,0.0022
-6.6000,0.0000,0.0056,0.0036,0.0001,0.0021
-6.5800,0.0000,0.0057,0.0034,0.0001,0.0020
-6.5600,0.0000,0.0058,0.0032,0.0001,0.0019
-6.5400,0.0000,0.0060,0.0031,0.0001,0.0018
-6.5200,0.0000,0.0061,0.0029,0.0001,0.0017
-6.5000,0.0000,0.0062,0.0027,0.0001,0.0016
-6.4800,0.0000,0.0064,0.0025,0.0001,0.0015
-6.4600,0.0000,0.0065,0.0023,0.0001,0.0013
-6.4400,0.0000,0.0066,0.0022,0.0001,0.0012
-6.4200,0.0000,0.0068,0.0020,0.0001,0.0011
-6.4000,0.0000,0.0069,0.0018,0.0001,0.0010
-6.3800,0.0000,0.0071,0.0016,0.0001,0.0009
-6.3600,0.0000,0.0072,0.0015,0.0001,0.0008
-6.3400,0.0000,0.0074,0.0013,0.0001,0.0007
-6.3200,0.0000,0.0076,0.0011,0.0001,0.0006
-6.3000,0.0000,0.0080,0.0009,0.0001,0.0005
-6.2800,0.0000,0.0086,0.0008,0.0001,0.0004
-6.2600,0.0000,0.0097,0.0006,0.0001,0.0004
-6.2400,0.0000,0.0114,0.0005,0.0001,0.0003
-6.2200,0.0000,0.0139,0.0003,0.0001,0.0002
-6.2000,0.0000,0.0176,0.0002,0.0002,0.0001
-6.1800,0.0000,0.0225,0.0002,0.0002,0.0001
-6.1600,0.0000,0.0288,0.0001,0.0002,0.0001
-6.1400,0.0001,0.0365,0.0001,0.0003,0.0000
-6.1200,0.0001,0.0456,0.0000,0.0003,0.0000
-6.1000,0.0001,0.0562,0.0000,0.0004,0.0000
-6.0800,0.0001,0.0683,0.0000,0.0005,0.0000
-6.0600,0.0001,0.0819,0.0000,0.0005,0.0001
-6.0400,0.0001,0.0968,0.0000,0.0006,0.0001
-6.0200,0.0002,0.1131,0.0001,0.0007,0.0003
-6.0000,0.0002,0.1306,0.0001,0.0009,0.0005
-5.9800,0.0002,0.1491,0.0001,0.0010,0.0010
-5.9600,0.0002,0.1686,0.0002,0.0011,0.0018
-5.9400,0.0003,0.1891,0.0003,0.0012,0.0033
-5.9200,0.0003,0.2106,0.0004,0.0014,0.0059
-5.9000,0.0004,0.2332,0.0006,0.0015,0.0102
-5.8800,0.0004,0.2569,0.0009,0.0016,0.0172
-5.8600,0.0005,0.2820,0.0013,0.0018,0.0278
-5.8400,0.0005,0.3084,0.0019,0.0020,0.0435
-5.8200,0.0006,0.3359,0.0026,0.0022,0.0657
-5.8000,0.0007,0.3644,0.0037,0.0024,0.0965
-5.7800,0.0008,0.3930,0.0051,0.0026,0.1382
-5.7600,0.0009,0.4212,0.0071,0.0028,0.1939
-5.7400,0.0011,0.4479,0.0096,0.0030,0.2667
-5.7200,0.0012,0.4725,0.0129,0.0033,0.3590
-5.7000,0.0014,0.4940,0.0170,0.0035,0.4717
-5.6800,0.0016,0.5121,0.0219,0.0038,0.6035
-5.6600,0.0018,0.5261,0.0276,0.0041,0.7515
-5.6400,0.0020,0.5354,0.0342,0.0043,0.9111
-5.6200,0.0022,0.5395,0.0416,0.0046,1.0774
-5.6000,0.0024,0.5381,0.0497,0.0049,1.2455
-5.5800,0.0025,0.5312,0.0586,0.0051,1.4106
-5.5600,0.0026,0.5194,0.0682,0.0054,1.5678
-5.5400,0.0027,0.5037,0.0785,0.0056,1.7118
-5.5200,0.0028,0.4856,0.0895,0.0059,1.8366
-5.5000,0.0028,0.4665,0.1011,0.0062,1.9363
-5.4800,0.0028,0.4477,0.1132,0.0066,2.0063
-5.4600,0.0028,0.4301,0.1260,0.0069,2.0448
-5.4400,0.0028,0.4140,0.1396,0.0074,2.0533
-5.4200,0.0027,0.3996,0.1540,0.0078,2.0366
-5.4000,0.0026,0.3864,0.1694,0.0084,2.0017
-5.3800,0.0026,0.3743,0.1861,0.0090,1.9558
-5.3600,0.0025,0.3628,0.2043,0.0096,1.9052
-5.3400,0.0025,0.3515,0.2238,0.0103,1.8544
-5.3200,0.0025,0.3399,0.2448,0.0111,1.8055
-5.3000,0.0025,0.3276,0.2670,0.0119,1.7589
-5.2800,0.0025,0.3140,0.2902,0.0127,1.7140
-5.2600,0.0025,0.2986,0.3140,0.0136,1.6698
-5.2400,0.0026,0.2809,0.3382,0.0145,1.6255
-5.2200,0.0027,0.2608,0.3627,0.0154,1.5814
-5.2000,0.0027,0.2386,0.3872,0.0164,1.5389
-5.1800,0.0029,0.2149,0.4117,0.0174,1.5006
-5.1600,0.0030,0.1904,0.4361,0.0184,1.4702
-5.1400,0.0032,0.1661,0.4603,0.0196,1.4513
-5.1200,0.0034,0.1427,0.4842,0.0209,1.4470
-5.1000,0.0037,0.1210,0.5075,0.0223,1.4583
-5.0800,0.0041,0.1011,0.5300,0.0238,1.4843
-5.0600,0.0044,0.0834,0.5512,0.0255,1.5217
-5.0400,0.0048,0.0678,0.5708,0.0272,1.5658
-5.0200,0.0052,0.0545,0.5882,0.0289,1.6112
-5.0000,0.0057,0.0435,0.6030,0.0307,1.6528
-4.9800,0.0061,0.0346,0.6152,0.0324,1.6862
-4.9600,0.0065,0.0278,0.6249,0.0342,1.7077
-4.9400,0.0069,0.0229,0.6328,0.0360,1.7136
-4.9200,0.0073,0.0195,0.6396,0.0378,1.7003
-4.9000,0.0076,0.0173,0.6462,0.0397,1.6643
-4.8800,0.0080,0.0161,0.6535,0.0416,1.6032
-4.8600,0.0083,0.0158,0.6620,0.0436,1.5169
-4.8400,0.0086,0.0160,0.6723,0.0457,1.4078
-4.8200,0.0089,0.0168,0.6848,0.0479,1.2813
-4.8000,0.0092,0.0179,0.6999,0.0500,1.1444
-4.7800,0.0096,0.0193,0.7178,0.0521,1.0047
-4.7600,0.0100,0.0208,0.7388,0.0542,0.8688
-4.7400,0.0104,0.0224,0.7626,0.0561,0.7416
-4.7200,0.0109,0.0240,0.7886,0.0579,0.6258
-4.7000,0.0114,0.0257,0.8160,0.0594,0.5225
-4.6800,0.0120,0.0274,0.8434,0.0607,0.4319
-4.6600,0.0125,0.0291,0.8693,0.0617,0.3540
-4.6400,0.0131,0.0309,0.8924,0.0622,0.2882
-4.6200,0.0135,0.0328,0.9117,0.0623,0.2340
-4.6000,0.0139,0.0350,0.9261,0.0619,0.1903
-4.5800,0.0142,0.0376,0.9348,0.0612,0.1557
-4.5600,0.0144,0.0409,0.9371,0.0601,0.1284
-4.5400,0.0145,0.0452,0.9322,0.0587,0.1068
-4.5200,0.0143,0.0508,0.9192,0.0571,0.0895
-4.5000,0.0141,0.0581,0.8980,0.0553,0.0754
-4.4800,0.0137,0.0676,0.8687,0.0535,0.0637
-4.4600,0.0131,0.0799,0.8319,0.0516,0.0539
-4.4400,0.0125,0.0957,0.7885,0.0499,0.0456
-4.4200,0.0118,0.1158,0.7394,0.0484,0.0386
-4.4000,0.0111,0.1407,0.6856,0.0472,0.0325
-4.3800,0.0103,0.1707,0.6281,0.0465,0.0274
-4.3600,0.0096,0.2055,0.5679,0.0463,0.0229
-4.3400,0.0089,0.2443,0.5064,0.0468,0.0191
-4.3200,0.0083,0.2861,0.4452,0.0482,0.0159
-4.3000,0.0078,0.3297,0.3858,0.0507,0.0132
-4.2800,0.0075,0.3740,0.3297,0.0544,0.0109
-4.2600,0.0072,0.4179,0.2777,0.0597,0.0090
-4.2400,0.0071,0.4604,0.2305,0.0667,0.0074
-4.2200,0.0072,0.5004,0.1885,0.0759,0.0061
-4.2000,0.0074,0.5367,0.1516,0.0876,0.0051
-4.1800,0.0076,0.5682,0.1200,0.1023,0.0044
-4.1600,0.0080,0.5940,0.0936,0.1204,0.0038
-4.1400,0.0085,0.6140,0.0725,0.1419,0.0034
-4.1200,0.0091,0.6288,0.0561,0.1668,0.0032
-4.1000,0.0098,0.6398,0.0439,0.1948,0.0031
-4.0800,0.0106,0.6489,0.0351,0.2255,0.0032
-4.0600,0.0116,0.6582,0.0292,0.2585,0.0036
-4.0400,0.0128,0.6696,0.0253,0.2934,0.0042
-4.0200,0.0141,0.6842,0.0232,0.3301,0.0051
-4.0000,0.0156,0.7027,0.0224,0.3685,0.0065
-3.9800,0.0174,0.7253,0.0226,0.4087,0.0084
-3.9600,0.0193,0.7519,0.0237,0.4511,0.0110
-3.9400,0.0214,0.7820,0.0254,0.4962,0.0146
-3.9200,0.0237,0.8153,0.0278,0.5446,0.0192
-3.9000,0.0262,0.8510,0.0308,0.5973,0.0252
-3.8800,0.0289,0.8881,0.0343,0.6557,0.0326
-3.8600,0.0317,0.9253,0.0385,0.7216,0.0417
-3.8400,0.0346,0.9609,0.0435,0.7974,0.0527
-3.8200,0.0375,0.9931,0.0494,0.8854,0.0658
-3.8000,0.0405,1.0203,0.0563,0.9876,0.0811
-3.7800,0.0435,1.0414,0.0643,1.1047,0.0989
-3.7600,0.0464,1.0559,0.0734,1.2364,0.1191
-3.7400,0.0493,1.0635,0.0835,1.3806,0.1416
-3.7200,0.0520,1.0643,0.0944,1.5348,0.1663
-3.7000,0.0545,1.0583,0.1059,1.6959,0.1930
-3.6800,0.0569,1.0458,0.1180,1.8615,0.2217
-3.6600,0.0590,1.0271,0.1305,2.0293,0.2522
-3.6400,0.0610,1.0031,0.1432,2.1977,0.2844
-3.6200,0.0630,0.9748,0.1562,2.3653,0.3183
-3.6000,0.0650,0.9436,0.1694,2.5308,0.3537
-3.5800,0.0672,0.9109,0.1827,2.6932,0.3904
-3.5600,0.0697,0.8782,0.1959,2.8517,0.4286
-3.5400,0.0725,0.8463,0.2092,3.0059,0.4678
-3.5200,0.0757,0.8161,0.2223,3.1562,0.5080
-3.5000,0.0795,0.7885,0.2352,3.3033,0.5487
-3.4800,0.0837,0.7639,0.2479,3.4484,0.5897
-3.4600,0.0886,0.7432,0.2601,3.5926,0.6305
-3.4400,0.0939,0.7267,0.2718,3.7367,0.6709
-3.4200,0.0999,0.7146,0.2828,3.8809,0.7108
-3.4000,0.1064,0.7070,0.2932,4.0247,0.7505
-3.3800,0.1132,0.7032,0.3027,4.1668,0.7905
-3.3600,0.1204,0.7027,0.3112,4.3052,0.8313
-3.3400,0.1276,0.7047,0.3187,4.4376,0.8738
-3.3200,0.1348,0.7086,0.3250,4.5616,0.9184
-3.3000,0.1419,0.7139,0.3300,4.6751,0.9654
-3.2800,0.1487,0.7199,0.3337,4.7757,1.0148
-3.2600,0.1550,0.7263,0.3361,4.8609,1.0660
-3.2400,0.1607,0.7323,0.3371,4.9281,1.1184
-3.2200,0.1657,0.7375,0.3368,4.9743,1.1712
-3.2000,0.1698,0.7412,0.3352,4.9973,1.2237
-3.1800,0.1729,0.7432,0.3323,4.9959,1.2754
-3.1600,0.1750,0.7431,0.3284,4.9709,1.3259
-3.1400,0.1759,0.7405,0.3235,4.9245,1.3749
-3.1200,0.1756,0.7351,0.3181,4.8600,1.4224
-3.1000,0.1742,0.7266,0.3123,4.7808,1.4682
-3.0800,0.1715,0.7149,0.3063,4.6901,1.5123
-3.0600,0.1676,0.6997,0.3005,4.5904,1.5547
-3.0400,0.1626,0.6812,0.2948,4.4840,1.5955
-3.0200,0.1566,0.6598,0.2893,4.3731,1.6352
-3.0000,0.1497,0.6360,0.2840,4.2596,1.6741
-2.9800,0.1421,0.6102,0.2789,4.1452,1.7124
-2.9600,0.1340,0.5829,0.2740,4.0311,1.7503
-2.9400,0.1256,0.5544,0.2693,3.9175,1.7875
-2.9200,0.1169,0.5251,0.2647,3.8035,1.8232
-2.9000,0.1083,0.4952,0.2600,3.6872,1.8560
-2.8800,0.0997,0.4650,0.2552,3.5660,1.8844
-2.8600,0.0915,0.4349,0.2502,3.4369,1.9065
-2.8400,0.0839,0.4052,0.2449,3.2978,1.9211
-2.8200,0.0769,0.3761,0.2394,3.1474,1.9276
-2.8000,0.0708,0.3483,0.2340,2.9862,1.9266
-2.7800,0.0656,0.3222,0.2293,2.8160,1.9198
-2.7600,0.0615,0.2987,0.2259,2.6398,1.9095
-2.7400,0.0586,0.2784,0.2244,2.4607,1.8982
-2.7200,0.0571,0.2621,0.2256,2.2817,1.8881
-2.7000,0.0571,0.2499,0.2300,2.1054,1.8805
-2.6800,0.0585,0.2420,0.2379,1.9339,1.8760
-2.6600,0.0615,0.2378,0.2497,1.7692,1.8742
-2.6400,0.0658,0.2369,0.2655,1.6132,1.8745
-2.6200,0.0716,0.2385,0.2856,1.4679,1.8758
-2.6000,0.0788,0.2419,0.3103,1.3349,1.8770
-2.5800,0.0871,0.2465,0.3395,1.2151,1.8775
-2.5600,0.0966,0.2515,0.3732,1.1088,1.8762
-2.5400,0.1070,0.2560,0.4111,1.0153,1.8723
-2.5200,0.1180,0.2590,0.4528,0.9338,1.8650
-2.5000,0.1294,0.2595,0.4979,0.8633,1.8532
-2.4800,0.1409,0.2567,0.5462,0.8029,1.8360
-2.4600,0.1525,0.2505,0.5974,0.7520,1.8124
-2.4400,0.1642,0.2409,0.6512,0.7096,1.7815
-2.4200,0.1764,0.2289,0.7074,0.6749,1.7425
-2.4000,0.1893,0.2156,0.7658,0.6470,1.6944
-2.3800,0.2035,0.2022,0.8260,0.6250,1.6362
-2.3600,0.2192,0.1900,0.8879,0.6084,1.5673
-2.3400,0.2371,0.1801,0.9511,0.5964,1.4882
-2.3200,0.2575,0.1733,1.0154,0.5887,1.4006
-2.3000,0.2812,0.1702,1.0801,0.5847,1.3074
-2.2800,0.3087,0.1717,1.1447,0.5839,1.2124
-2.2600,0.3407,0.1783,1.2086,0.5858,1.1199
-2.2400,0.3777,0.1907,1.2711,0.5899,1.0335
-2.2200,0.4199,0.2089,1.3317,0.5960,0.9559
-2.2000,0.4668,0.2327,1.3899,0.6036,0.8888
-2.1800,0.5174,0.2612,1.4450,0.6121,0.8328
-2.1600,0.5706,0.2932,1.4967,0.6209,0.7884
-2.1400,0.6250,0.3278,1.5441,0.6295,0.7556
-2.1200,0.6794,0.3638,1.5869,0.6373,0.7342
-2.1000,0.7330,0.4006,1.6247,0.6441,0.7236
-2.0800,0.7855,0.4376,1.6573,0.6495,0.7221
-2.0600,0.8365,0.4744,1.6849,0.6535,0.7276
-2.0400,0.8863,0.5109,1.7077,0.6559,0.7371
-2.0200,0.9348,0.5469,1.7259,0.6569,0.7477
-2.0000,0.9822,0.5824,1.7396,0.6563,0.7568
-1.9800,1.0286,0.6174,1.7490,0.6541,0.7626
-1.9600,1.0738,0.6520,1.7542,0.6506,0.7641
-1.9400,1.1179,0.6864,1.7556,0.6459,0.7610
-1.9200,1.1607,0.7210,1.7533,0.6401,0.7533
-1.9000,1.2018,0.7562,1.7474,0.6335,0.7412
-1.8800,1.2411,0.7921,1.7382,0.6263,0.7252
-1.8600,1.2779,0.8291,1.7256,0.6185,0.7056
-1.8400,1.3116,0.8672,1.7097,0.6103,0.6834
-1.8200,1.3415,0.9064,1.6906,0.6016,0.6595
-1.8000,1.3663,0.9467,1.6683,0.5924,0.6351
-1.7800,1.3850,0.9880,1.6430,0.5828,0.6115
-1.7600,1.3969,1.0304,1.6146,0.5727,0.5898
-1.7400,1.4017,1.0741,1.5834,0.5621,0.5707
-1.7200,1.4000,1.1192,1.5499,0.5512,0.5545
-1.7000,1.3933,1.1661,1.5145,0.5401,0.5411
-1.6800,1.3836,1.2153,1.4783,0.5289,0.5304
-1.6600,1.3729,1.2670,1.4420,0.5180,0.5220
-1.6400,1.3631,1.3214,1.4063,0.5073,0.5157
-1.6200,1.3557,1.3780,1.3717,0.4970,0.5112
-1.6000,1.3514,1.4354,1.3385,0.4869,0.5084
-1.5800,1.3509,1.4917,1.3067,0.4770,0.5072
-1.5600,1.3543,1.5440,1.2764,0.4668,0.5073
-1.5400,1.3621,1.5896,1.2475,0.4561,0.5088
-1.5200,1.3746,1.6258,1.2200,0.4447,0.5116
-1.5000,1.3920,1.6510,1.1940,0.4324,0.5155
-1.4800,1.4151,1.6646,1.1700,0.4191,0.5203
-1.4600,1.4443,1.6668,1.1485,0.4048,0.5260
-1.4400,1.4806,1.6585,1.1301,0.3898,0.5322
-1.4200,1.5251,1.6406,1.1158,0.3741,0.5386
-1.4000,1.5786,1.6143,1.1063,0.3580,0.5449
-1.3800,1.6421,1.5812,1.1022,0.3417,0.5507
-1.3600,1.7160,1.5430,1.1039,0.3253,0.5555
-1.3400,1.8007,1.5025,1.1116,0.3093,0.5587
-1.3200,1.8965,1.4628,1.1254,0.2939,0.5597
-1.3000,2.0036,1.4269,1.1455,0.2797,0.5576
-1.2800,2.1220,1.3976,1.1719,0.2668,0.5519
-1.2600,2.2512,1.3765,1.2043,0.2556,0.5424
-1.2400,2.3897,1.3646,1.2419,0.2460,0.5292
-1.2200,2.5353,1.3615,1.2838,0.2380,0.5129
-1.2000,2.6849,1.3666,1.3284,0.2314,0.4945
-1.1800,2.8355,1.3791,1.3742,0.2260,0.4749
-1.1600,2.9842,1.3982,1.4198,0.2216,0.4548
-1.1400,3.1290,1.4233,1.4641,0.2181,0.4351
-1.1200,3.2685,1.4538,1.5063,0.2151,0.4161
-1.1000,3.4016,1.4890,1.5457,0.2125,0.3984
-1.0800,3.5276,1.5283,1.5815,0.2101,0.3821
-1.0600,3.6458,1.5712,1.6134,0.2077,0.3677
-1.0400,3.7560,1.6173,1.6407,0.2049,0.3553
-1.0200,3.8581,1.6663,1.6635,0.2018,0.3453
-1.0000,3.9525,1.7178,1.6820,0.1983,0.3376
-0.9800,4.0402,1.7713,1.6970,0.1944,0.3325
-0.9600,4.1225,1.8266,1.7094,0.1901,0.3300
-0.9400,4.2003,1.8830,1.7202,0.1857,0.3301
-0.9200,4.2743,1.9401,1.7304,0.1812,0.3328
-0.9000,4.3442,1.9968,1.7404,0.1766,0.3380
-0.8800,4.4087,2.0520,1.7505,0.1719,0.3454
-0.8600,4.4655,2.1037,1.7608,0.1672,0.3544
-0.8400,4.5114,2.1497,1.7712,0.1625,0.3642
-0.8200,4.5428,2.1875,1.7812,0.1578,0.3740
-0.8000,4.5563,2.2150,1.7906,0.1529,0.3832
-0.7800,4.5496,2.2304,1.7988,0.1480,0.3911
-0.7600,4.5214,2.2325,1.8051,0.1429,0.3972
-0.7400,4.4713,2.2206,1.8085,0.1377,0.4010
-0.7200,4.3995,2.1944,1.8079,0.1322,0.4020
-0.7000,4.3058,2.1535,1.8019,0.1264,0.3998
-0.6800,4.1906,2.0977,1.7894,0.1204,0.3940
-0.6600,4.0542,2.0278,1.7696,0.1141,0.3845
-0.6400,3.8979,1.9455,1.7422,0.1075,0.3714
-0.6200,3.7232,1.8539,1.7071,0.1007,0.3553
-0.6000,3.5325,1.7566,1.6644,0.0938,0.3366
-0.5800,3.3279,1.6576,1.6143,0.0868,0.3162
-0.5600,3.1115,1.5601,1.5570,0.0800,0.2947
-0.5400,2.8857,1.4667,1.4928,0.0733,0.2726
-0.5200,2.6531,1.3789,1.4223,0.0669,0.2506
-0.5000,2.4172,1.2975,1.3465,0.0607,0.2291
-0.4800,2.1819,1.2228,1.2663,0.0549,0.2090
-0.4600,1.9514,1.1552,1.1828,0.0494,0.1907
-0.4400,1.7294,1.0944,1.0972,0.0444,0.1747
-0.4200,1.5186,1.0402,1.0104,0.0398,0.1615
-0.4000,1.3213,0.9918,0.9235,0.0357,0.1510
-0.3800,1.1390,0.9480,0.8380,0.0320,0.1431
-0.3600,0.9730,0.9072,0.7554,0.0287,0.1373
-0.3400,0.8247,0.8680,0.6770,0.0259,0.1334
-0.3200,0.6950,0.8289,0.6041,0.0234,0.1310
-0.3000,0.5840,0.7892,0.5375,0.0213,0.1296
-0.2800,0.4908,0.7484,0.4773,0.0194,0.1288
-0.2600,0.4135,0.7063,0.4231,0.0178,0.1280
-0.2400,0.3495,0.6632,0.3741,0.0164,0.1267
-0.2200,0.2960,0.6193,0.3295,0.0150,0.1241
-0.2000,0.2510,0.5750,0.2887,0.0137,0.1198
-0.1800,0.2125,0.5305,0.2511,0.0124,0.1136
-0.1600,0.1794,0.4861,0.2165,0.0111,0.1054
-0.1400,0.1507,0.4423,0.1847,0.0097,0.0958
-0.1200,0.1257,0.3993,0.1556,0.0084,0.0852
-0.1000,0.1040,0.3577,0.1294,0.0072,0.0741
-0.0800,0.0851,0.3177,0.1060,0.0060,0.0632
-0.0600,0.0688,0.2796,0.0856,0.0050,0.0529
-0.0400,0.0549,0.2438,0.0680,0.0040,0.0434
-0.0200,0.0430,0.2103,0.0531,0.0032,0.0348
-0.0000,0.0331,0.1793,0.0406,0.0025,0.0272
0.0200,0.0249,0.1510,0.0304,0.0019,0.0207
0.0400,0.0183,0.1256,0.0221,0.0014,0.0153
0.0600,0.0131,0.1031,0.0157,0.0010,0.0110
0.0800,0.0091,0.0836,0.0108,0.0007,0.0077
0.1000,0.0062,0.0668,0.0073,0.0005,0.0052
0.1200,0.0042,0.0528,0.0049,0.0003,0.0035
0.1400,0.0028,0.0412,0.0032,0.0002,0.0023
0.1600,0.0018,0.0321,0.0021,0.0001,0.0015
0.1800,0.0012,0.0251,0.0014,0.0001,0.0009
0.2000,0.0008,0.0202,0.0010,0.0000,0.0006
0.2200,0.0005,0.0168,0.0008,0.0000,0.0004
0.2400,0.0004,0.0147,0.0007,0.0000,0.0002
0.2600,0.0003,0.0134,0.0007,0.0000,0.0002
0.2800,0.0002,0.0127,0.0007,0.0000,0.0001
0.3000,0.0002,0.0123,0.0008,0.0000,0.0001
0.3200,0.0002,0.0120,0.0009,0.0000,0.0001
0.3400,0.0002,0.0119,0.0010,0.0000,0.0001
0.3600,0.0002,0.0117,0.0011,0.0000,0.0001
0.3800,0.0002,0.0116,0.0012,0.0000,0.0001
0.4000,0.0002,0.0114,0.0013,0.0000,0.0001
0.4200,0.0002,0.0113,0.0014,0.0000,0.0001
0.4400,0.0002,0.0111,0.0015,0.0000,0.0001
0.4600,0.0002,0.0110,0.0016,0.0000,0.0001
0.4800,0.0002,0.0108,0.0017,0.0000,0.0001
0.5000,0.0002,0.0107,0.0018,0.0000,0.0001
0.5200,0.0002,0.0105,0.0020,0.0000,0.0001
0.5400,0.0002,0.0104,0.0021,0.0000,0.0001
0.5600,0.0002,0.0102,0.0022,0.0000,0.0001
0.5800,0.0002,0.0101,0.0023,0.0000,0.0001
0.6000,0.0002,0.0100,0.0024,0.0000,0.0001
0.6200,0.0002,0.0098,0.0025,0.0000,0.0001
0.6400,0.0002,0.0097,0.0026,0.0000,0.0001
0.6600,0.0002,0.0095,0.0027,0.0000,0.0001
0.6800,0.0002,0.0094,0.0028,0.0000,0.0001
0.7000,0.0002,0.0092,0.0029,0.0000,0.0001
0.7200,0.0002,0.0091,0.0030,0.0000,0.0001
0.7400,0.0002,0.0089,0.0031,0.0000,0.0001
0.7600,0.0002,0.0088,0.0032,0.0000,0.0001
0.7800,0.0002,0.0087,0.0033,0.0000,0.0001
0.8000,0.0002,0.0085,0.0034,0.0000,0.0001
0.8200,0.0002,0.0084,0.0035,0.0000,0.0001
0.8400,0.0002,0.0082,0.0036,0.0000,0.0001
0.8600,0.0002,0.0081,0.0037,0.0000,0.0001
0.8800,0.0002,0.0079,0.0038,0.0000,0.0001
0.9000,0.0002,0.0078,0.0039,0.0000,0.0001
0.9200,0.0002,0.0076,0.0040,0.0000,0.0001
0.9400,0.0002,0.0075,0.0041,0.0000,0.0001
0.9600,0.0002,0.0074,0.0043,0.0000,0.0001
0.9800,0.0002,0.0072,0.0044,0.0000,0.0001
1.0000,0.0002,0.0071,0.0045,0.0000,0.0001
