# ELF profile along each bond path — Origin-ready
# frac = 0 at first atom, 1 at second. 결합 길이는 열 이름에 (Å).
# ⚠ 판정은 **내부 최솟값**(frac 0.18~0.82)으로 — 핵 근처 스파이크 제외.
frac,ELF_P-S_2.05A,ELF_Cl-Li_2.56A,ELF_S(free)-Li_2.34A,ELF_P-O_1.56A,ELF_O-Li_1.95A
0.6533,0.89737,0.06576,0.19331,0.91397,0.07263
0.6583,0.89275,0.05650,0.17157,0.91263,0.07696
0.6633,0.88813,0.05140,0.15169,0.91119,0.08115
0.6683,0.88354,0.04683,0.13427,0.90966,0.08502
0.6734,0.87897,0.04278,0.11941,0.90803,0.08849
0.6784,0.87442,0.03925,0.10615,0.90599,0.09167
0.6834,0.86989,0.03623,0.09447,0.90297,0.09456
0.6884,0.86459,0.03373,0.08436,0.89975,0.13225
0.6935,0.85571,0.03405,0.07708,0.89631,0.17111
0.6985,0.84677,0.03537,0.07719,0.89266,0.20924
0.7035,0.83777,0.03791,0.07881,0.88878,0.24661
0.7085,0.82873,0.04116,0.08209,0.88467,0.28321
0.7136,0.81994,0.04513,0.08750,0.87971,0.31901
0.7186,0.81133,0.04984,0.09530,0.87432,0.35398
0.7236,0.80279,0.05565,0.10550,0.86859,0.39019
0.7286,0.78709,0.07095,0.11834,0.86250,0.45385
0.7337,0.76967,0.08878,0.13407,0.85604,0.51835
0.7387,0.75219,0.11252,0.15292,0.84920,0.58372
0.7437,0.73466,0.14280,0.17513,0.84196,0.64995
0.7487,0.71710,0.17805,0.20517,0.83433,0.71708
0.7538,0.69951,0.21833,0.25801,0.82628,0.78510
0.7588,0.68190,0.26805,0.32280,0.81528,0.85403
0.7638,0.65832,0.34410,0.38984,0.80353,0.91237
0.7688,0.62762,0.42646,0.45891,0.79106,0.92258
0.7739,0.59673,0.51513,0.52918,0.77783,0.93126
0.7789,0.56561,0.59873,0.59983,0.76382,0.94058
0.7839,0.53428,0.68066,0.67002,0.74901,0.95070
0.7889,0.50277,0.76176,0.73893,0.73338,0.96164
0.7940,0.47108,0.83031,0.80573,0.71539,0.97326
0.7990,0.43901,0.86933,0.86961,0.69370,0.98570
0.8040,0.40365,0.90391,0.91677,0.67114,0.99514
0.8090,0.36892,0.93405,0.94499,0.64774,0.99553
0.8141,0.33560,0.95823,0.96065,0.62353,0.99598
0.8191,0.30179,0.97237,0.96875,0.59852,0.99649
0.8241,0.26749,0.98492,0.97576,0.57275,0.99706
0.8291,0.23271,0.99219,0.98175,0.54623,0.99770
0.8342,0.19748,0.99407,0.98677,0.51899,0.99841
0.8392,0.17452,0.99571,0.99090,0.49106,0.99921
0.8442,0.15641,0.99709,0.99409,0.46245,0.99970
0.8492,0.13772,0.99823,0.99619,0.43320,0.99973
0.8543,0.11840,0.99899,0.99788,0.40332,0.99976
0.8593,0.09846,0.99947,0.99897,0.37284,0.99980
0.8643,0.07786,0.99970,0.99932,0.34179,0.99983
0.8693,0.05659,0.99976,0.99961,0.31018,0.99987
0.8744,0.04038,0.99982,0.99971,0.27805,0.99991
0.8794,0.03552,0.99987,0.99977,0.24541,0.99995
0.8844,0.03056,0.99991,0.99983,0.21229,0.99997
0.8894,0.02548,0.99995,0.99987,0.17872,0.99998
0.8945,0.02027,0.99997,0.99990,0.14471,0.99998
0.8995,0.01493,0.99998,0.99992,0.11660,0.99998
0.9045,0.00949,0.99998,0.99995,0.09156,0.99998
0.9095,0.00436,0.99999,0.99996,0.07216,0.99999
0.9146,0.00385,0.99999,0.99998,0.06028,0.99999
0.9196,0.00350,0.99999,0.99998,0.05388,1.00000
0.9246,0.00307,1.00000,0.99999,0.04875,1.00000
0.9296,0.00257,1.00000,0.99999,0.04396,1.00000
0.9347,0.00199,1.00000,0.99999,0.03951,1.00000
0.9397,0.00133,1.00000,1.00000,0.03537,1.00000
0.9447,0.00058,1.00000,1.00000,0.03155,1.00000
0.9497,0.00023,1.00000,1.00000,0.02804,1.00000
0.9548,0.00020,1.00000,1.00000,0.02482,1.00000
0.9598,0.00016,1.00000,1.00000,0.02189,1.00000
0.9648,0.00016,1.00000,1.00000,0.01924,1.00000
0.9698,0.00015,1.00000,1.00000,0.01686,1.00000
0.9749,0.00013,1.00000,1.00000,0.01475,1.00000
0.9799,0.00008,1.00000,1.00000,0.01288,1.00000
0.9849,0.00004,1.00000,1.00000,0.01126,1.00000
0.9899,0.00006,1.00000,1.00000,0.00988,1.00000
0.9950,0.00006,1.00000,1.00000,0.00872,1.00000
1.0000,0.00004,1.00000,1.00000,0.00778,1.00000
