# B2O3-doped LPSCl DFT equation of state (QE PBE) + Birch-Murnaghan 3rd-order fit
# B0=24.48 GPa  V0=2436.33 A3  B0'=4.24  E0=-2621.755437 Ry  fitRMS=0.04 meV  (5 pts; v1.06 excluded)
# reference: undoped modelC (DFT BM-EOS) B0=21.7 GPa  ->  B2O3 doping stiffens +2.8 GPa (+13%)
# kind: data = DFT-computed point ; fit = BM3 curve
kind,x_scale,volume_A3,volume_bohr3,E_Ry,E_minus_E0_meV
fit,,2391.977,16141.861,-2621.75075448,63.702
fit,,2393.064,16149.198,-2621.75098475,60.569
fit,,2394.151,16156.535,-2621.75120904,57.518
fit,,2395.239,16163.872,-2621.75142736,54.547
fit,,2396.326,16171.209,-2621.75163973,51.658
fit,,2397.413,16178.546,-2621.75184615,48.849
fit,,2398.5,16185.883,-2621.75204665,46.121
fit,,2399.588,16193.22,-2621.75224124,43.474
fit,,2400.675,16200.557,-2621.75242993,40.907
fit,,2401.762,16207.894,-2621.75261273,38.419
fit,,2402.849,16215.231,-2621.75278967,36.012
fit,,2403.937,16222.568,-2621.75296074,33.685
fit,,2405.024,16229.906,-2621.75312598,31.436
fit,,2406.111,16237.243,-2621.75328538,29.268
fit,,2407.198,16244.58,-2621.75343897,27.178
fit,,2408.286,16251.917,-2621.75358675,25.167
fit,,2409.373,16259.254,-2621.75372875,23.235
fit,,2410.46,16266.591,-2621.75386497,21.382
fit,,2411.547,16273.928,-2621.75399543,19.607
fit,,2412.634,16281.265,-2621.75412014,17.91
fit,,2413.722,16288.602,-2621.75423912,16.291
fit,,2414.809,16295.939,-2621.75435238,14.75
fit,,2415.896,16303.276,-2621.75445992,13.287
fit,,2416.983,16310.613,-2621.75456178,11.901
fit,,2418.071,16317.95,-2621.75465795,10.593
fit,,2419.158,16325.287,-2621.75474845,9.361
fit,,2420.245,16332.624,-2621.7548333,8.207
fit,,2421.332,16339.961,-2621.75491251,7.129
fit,,2422.42,16347.298,-2621.75498609,6.128
fit,,2423.507,16354.635,-2621.75505405,5.204
fit,,2424.594,16361.972,-2621.75511642,4.355
fit,,2425.681,16369.309,-2621.75517319,3.583
fit,,2426.769,16376.646,-2621.75522439,2.886
fit,,2427.856,16383.983,-2621.75527002,2.265
fit,,2428.943,16391.32,-2621.75531011,1.72
fit,,2430.03,16398.657,-2621.75534465,1.25
fit,,2431.118,16405.994,-2621.75537368,0.855
fit,,2432.205,16413.331,-2621.75539719,0.535
fit,,2433.292,16420.668,-2621.75541521,0.29
fit,,2434.379,16428.005,-2621.75542774,0.119
fit,,2435.466,16435.342,-2621.75543479,0.023
fit,,2436.554,16442.679,-2621.75543639,0.002
fit,,2437.641,16450.016,-2621.75543254,0.054
fit,,2438.728,16457.353,-2621.75542326,0.18
fit,,2439.815,16464.691,-2621.75540856,0.38
fit,,2440.903,16472.028,-2621.75538844,0.654
fit,,2441.99,16479.365,-2621.75536293,1.001
fit,,2443.077,16486.702,-2621.75533204,1.421
fit,,2444.164,16494.039,-2621.75529577,1.915
fit,,2445.252,16501.376,-2621.75525415,2.481
fit,,2446.339,16508.713,-2621.75520718,3.12
fit,,2447.426,16516.05,-2621.75515488,3.832
fit,,2448.513,16523.387,-2621.75509726,4.616
fit,,2449.601,16530.724,-2621.75503433,5.472
fit,,2450.688,16538.061,-2621.7549661,6.4
fit,,2451.775,16545.398,-2621.75489259,7.4
fit,,2452.862,16552.735,-2621.7548138,8.472
fit,,2453.949,16560.072,-2621.75472976,9.616
fit,,2455.037,16567.409,-2621.75464047,10.831
fit,,2456.124,16574.746,-2621.75454595,12.117
fit,,2457.211,16582.083,-2621.7544462,13.474
fit,,2458.298,16589.42,-2621.75434124,14.902
fit,,2459.386,16596.757,-2621.75423109,16.401
fit,,2460.473,16604.094,-2621.75411574,17.97
fit,,2461.56,16611.431,-2621.75399523,19.61
fit,,2462.647,16618.768,-2621.75386955,21.32
fit,,2463.735,16626.105,-2621.75373872,23.1
fit,,2464.822,16633.442,-2621.75360276,24.949
fit,,2465.909,16640.779,-2621.75346167,26.869
fit,,2466.996,16648.116,-2621.75331546,28.858
fit,,2468.084,16655.453,-2621.75316415,30.917
fit,,2469.171,16662.79,-2621.75300776,33.045
fit,,2470.258,16670.127,-2621.75284628,35.242
fit,,2471.345,16677.464,-2621.75267974,37.508
fit,,2472.432,16684.801,-2621.75250814,39.842
fit,,2473.52,16692.139,-2621.7523315,42.246
fit,,2474.607,16699.476,-2621.75214983,44.718
fit,,2475.694,16706.813,-2621.75196314,47.258
fit,,2476.781,16714.15,-2621.75177144,49.866
fit,,2477.869,16721.487,-2621.75157475,52.542
fit,,2478.956,16728.824,-2621.75137307,55.286
fit,,2480.043,16736.161,-2621.75116642,58.098
fit,,2481.13,16743.498,-2621.75095481,60.977
fit,,2482.218,16750.835,-2621.75073824,63.923
fit,,2483.305,16758.172,-2621.75051674,66.937
fit,,2484.392,16765.509,-2621.75029032,70.018
fit,,2485.479,16772.846,-2621.75005897,73.165
fit,,2486.567,16780.183,-2621.74982273,76.379
fit,,2487.654,16787.52,-2621.74958159,79.66
fit,,2488.741,16794.857,-2621.74933557,83.008
fit,,2489.828,16802.194,-2621.74908468,86.421
fit,,2490.915,16809.531,-2621.74882894,89.901
fit,,2492.003,16816.868,-2621.74856834,93.446
fit,,2493.09,16824.205,-2621.74830291,97.058
fit,,2494.177,16831.542,-2621.74803266,100.735
fit,,2495.264,16838.879,-2621.74775759,104.477
fit,,2496.352,16846.216,-2621.74747772,108.285
fit,,2497.439,16853.553,-2621.74719306,112.158
fit,,2498.526,16860.89,-2621.74690362,116.096
fit,,2499.613,16868.227,-2621.74660941,120.099
fit,,2500.701,16875.564,-2621.74631045,124.166
fit,,2501.788,16882.901,-2621.74600673,128.299
fit,,2502.875,16890.238,-2621.74569829,132.495
fit,,2503.962,16897.575,-2621.74538511,136.756
fit,,2505.05,16904.912,-2621.74506723,141.081
fit,,2506.137,16912.249,-2621.74474464,145.47
fit,,2507.224,16919.587,-2621.74441736,149.923
fit,,2508.311,16926.924,-2621.7440854,154.44
fit,,2509.398,16934.261,-2621.74374877,159.02
fit,,2510.486,16941.598,-2621.74340748,163.663
fit,,2511.573,16948.935,-2621.74306155,168.37
fit,,2512.66,16956.272,-2621.74271097,173.14
