fragment,basin_id,rep_label,site,fib,roll,anchor_mol_element,anchor_surface_element,anchor_distance_A,height_A,tilt_deg,n_members,role_in_c12
ptfe_c10,b28,ptfe_c10__Li_top__fib02__r000,Li_top,fib02,r000,F,Li,2.367,7.119,54.3,1,
ptfe_c10,b29,ptfe_c10__O_top__fib06__r180,O_top,fib06,r180,F,O,2.653,4.355,86.1,1,
ptfe_c10,b30,ptfe_c10__hollow__fib07__r000,hollow,fib07,r000,F,O,2.743,5.44,76.3,2,
ptfe_c10,b31,ptfe_c10__LiO_bridge__fib08__r270,LiO_bridge,fib08,r270,F,Li,2.771,5.822,65.6,1,
ptfe_c10,b32,ptfe_c10__Ni_top__fib04__r270,Ni_top,fib04,r270,F,Ni,2.47,5.386,75.1,1,
ptfe_c10,b33,ptfe_c10__Li_top__fib02__r180,Li_top,fib02,r180,F,Li,2.371,7.118,54.3,1,
ptfe_c10,b34,ptfe_c10__LiNi_bridge__fib07__r180,LiNi_bridge,fib07,r180,F,Li,2.826,5.399,76.5,2,
ptfe_c10,b35,ptfe_c10__LiO_bridge__fib07__r180,LiO_bridge,fib07,r180,F,Li,2.66,5.4,76.2,1,
ptfe_c10,b36,ptfe_c10__hollow__fib08__r270,hollow,fib08,r270,F,O,2.965,5.853,65.5,2,
ptfe_c10,b37,ptfe_c10__Li_top__fib00__r090,Li_top,fib00,r090,F,Li,2.36,8.793,24.1,1,
ptfe_c10,b38,ptfe_c10__Ni_top__fib07__r000,Ni_top,fib07,r000,F,Ni,2.464,5.395,76.1,1,
ptfe_c10,b39,ptfe_c10__Ni_top__fib07__r180,Ni_top,fib07,r180,F,Ni,2.465,5.395,76.0,1,
ptfe_c10,b40,ptfe_c10__Li_top__fib00__r180,Li_top,fib00,r180,F,Li,2.362,8.792,24.1,1,
ptfe_c10,b41,ptfe_c10__Li_top__fib00__r000,Li_top,fib00,r000,F,Li,2.359,8.792,24.1,1,
ptfe_c10,b42,ptfe_c10__NiO_bridge__fib07__r180,NiO_bridge,fib07,r180,F,Ni,2.69,5.43,76.4,1,
ptfe_c10,b43,ptfe_c10__LiNi_bridge__fib08__r090,LiNi_bridge,fib08,r090,F,O,2.935,5.81,65.6,1,
ptfe_c10,b44,ptfe_c10__Li_top__fib11__r000,Li_top,fib11,r000,F,Li,2.34,8.828,23.3,1,
ptfe_c10,b45,ptfe_c10__Li_top__fib11__r270,Li_top,fib11,r270,F,Li,2.344,8.827,23.3,1,
ptfe_c10,b46,ptfe_c10__Li_top__fib11__r180,Li_top,fib11,r180,F,Li,2.347,8.827,23.3,1,
ptfe_c10,b47,ptfe_c10__NiO_bridge__fib07__r000,NiO_bridge,fib07,r000,F,Ni,2.686,5.42,76.4,1,
ptfe_c10,b48,ptfe_c10__Li_top__fib11__r090,Li_top,fib11,r090,F,Li,2.345,8.827,23.3,1,
ptfe_c10,b49,ptfe_c10__O_top__fib07__r000,O_top,fib07,r000,F,O,2.673,5.46,76.8,1,
ptfe_c10,b50,ptfe_c10__Ni_top__fib09__r270,Ni_top,fib09,r270,F,Ni,2.549,6.669,55.2,1,
ptfe_c10,b51,ptfe_c10__hollow__fib08__r090,hollow,fib08,r090,F,O,2.852,5.867,65.7,2,
ptfe_c10,b52,ptfe_c10__O_top__fib04__r090,O_top,fib04,r090,F,O,2.676,5.46,75.9,1,sensitivity
ptfe_c10,b53,ptfe_c10__hollow__fib09__r000,hollow,fib09,r000,F,Ni,2.828,6.711,55.3,2,
ptfe_c10,b54,ptfe_c10__O_top__fib07__r180,O_top,fib07,r180,F,O,2.673,5.463,76.7,1,
ptfe_c10,b55,ptfe_c10__O_top__fib04__r270,O_top,fib04,r270,F,O,2.674,5.462,75.8,1,
ptfe_c10,b56,ptfe_c10__Ni_top__fib00__r000,Ni_top,fib00,r000,F,Ni,2.459,8.84,24.3,1,
ptfe_c10,b57,ptfe_c10__Ni_top__fib00__r270,Ni_top,fib00,r270,F,Ni,2.461,8.84,24.3,1,
ptfe_c10,b58,ptfe_c10__Ni_top__fib00__r090,Ni_top,fib00,r090,F,Ni,2.456,8.838,24.2,1,
ptfe_c10,b59,ptfe_c10__LiO_bridge__fib11__r270,LiO_bridge,fib11,r270,F,Li,2.612,8.884,23.7,1,
ptfe_c10,b60,ptfe_c10__NiO_bridge__fib08__r270,NiO_bridge,fib08,r270,F,O,2.798,5.837,65.3,1,
ptfe_c10,b61,ptfe_c10__Ni_top__fib02__r000,Ni_top,fib02,r000,F,Ni,2.467,7.156,54.4,1,
ptfe_c10,b62,ptfe_c10__LiO_bridge__fib02__r000,LiO_bridge,fib02,r000,F,Li,2.627,7.168,54.6,1,
ptfe_c10,b63,ptfe_c10__Ni_top__fib00__r180,Ni_top,fib00,r180,F,Ni,2.448,8.832,24.2,1,
ptfe_c10,b64,ptfe_c10__NiO_bridge__fib11__r090,NiO_bridge,fib11,r090,F,Ni,2.65,8.914,23.7,1,
ptfe_c10,b65,ptfe_c10__LiO_bridge__fib00__r090,LiO_bridge,fib00,r090,F,Li,2.617,8.854,24.5,1,
ptfe_c10,b66,ptfe_c10__LiO_bridge__fib04__r090,LiO_bridge,fib04,r090,F,Li,2.663,5.389,75.1,1,
ptfe_c10,b67,ptfe_c10__Ni_top__fib02__r180,Ni_top,fib02,r180,F,Ni,2.465,7.156,54.4,1,
ptfe_c10,b68,ptfe_c10__LiNi_bridge__fib09__r180,LiNi_bridge,fib09,r180,F,Li,2.793,6.658,55.2,2,
ptfe_c10,b69,ptfe_c10__LiNi_bridge__fib11__r000,LiNi_bridge,fib11,r000,F,O,2.81,8.873,23.6,2,
ptfe_c10,b70,ptfe_c10__hollow__fib11__r180,hollow,fib11,r180,F,O,2.84,8.923,23.6,2,
ptfe_c10,b71,ptfe_c10__hollow__fib00__r090,hollow,fib00,r090,F,O,2.813,8.889,24.4,2,
ptfe_c10,b72,ptfe_c10__LiO_bridge__fib11__r000,LiO_bridge,fib11,r000,F,Li,2.63,8.866,23.4,1,
ptfe_c10,b73,ptfe_c10__O_top__fib03__r090,O_top,fib03,r090,F,Li,2.674,5.711,66.6,1,
ptfe_c10,b74,ptfe_c10__NiO_bridge__fib00__r180,NiO_bridge,fib00,r180,F,Ni,2.643,8.875,24.5,1,
ptfe_c10,b75,ptfe_c10__LiO_bridge__fib00__r000,LiO_bridge,fib00,r000,F,Li,2.621,8.838,24.3,1,
ptfe_c10,b76,ptfe_c10__NiO_bridge__fib02__r180,NiO_bridge,fib02,r180,F,Ni,2.656,7.189,54.7,1,
ptfe_c10,b77,ptfe_c10__LiO_bridge__fib00__r270,LiO_bridge,fib00,r270,F,Li,2.623,8.834,24.1,1,
ptfe_c10,b78,ptfe_c10__LiO_bridge__fib00__r180,LiO_bridge,fib00,r180,F,Li,2.655,8.845,24.2,1,
ptfe_c10,b79,ptfe_c10__NiO_bridge__fib11__r180,NiO_bridge,fib11,r180,F,Ni,2.646,8.884,23.4,1,
ptfe_c10,b80,ptfe_c10__LiO_bridge__fib09__r180,LiO_bridge,fib09,r180,F,O,2.729,6.669,55.0,1,
ptfe_c10,b81,ptfe_c10__LiNi_bridge__fib00__r270,LiNi_bridge,fib00,r270,F,Ni,2.806,8.816,24.2,2,
ptfe_c10,b82,ptfe_c10__hollow__fib00__r000,hollow,fib00,r000,F,O,2.752,8.883,24.4,2,
ptfe_c10,b83,ptfe_c10__NiO_bridge__fib00__r090,NiO_bridge,fib00,r090,F,Ni,2.643,8.852,24.2,1,
ptfe_c10,b84,ptfe_c10__hollow__fib11__r270,hollow,fib11,r270,F,O,2.71,8.902,23.4,2,
ptfe_c10,b85,ptfe_c10__LiO_bridge__fib11__r090,LiO_bridge,fib11,r090,F,Li,2.633,8.867,23.3,1,
ptfe_c10,b86,ptfe_c10__LiNi_bridge__fib11__r090,LiNi_bridge,fib11,r090,F,Ni,2.803,8.848,23.3,2,
ptfe_c10,b87,ptfe_c10__LiNi_bridge__fib02__r000,LiNi_bridge,fib02,r000,F,Ni,2.825,7.142,54.4,2,
ptfe_c10,b88,ptfe_c10__O_top__fib02__r000,O_top,fib02,r000,F,O,2.643,7.233,55.0,1,
ptfe_c10,b89,ptfe_c10__O_top__fib11__r090,O_top,fib11,r090,F,O,2.634,8.942,23.7,1,
ptfe_c10,b90,ptfe_c10__NiO_bridge__fib11__r270,NiO_bridge,fib11,r270,F,Ni,2.658,8.886,23.3,1,
ptfe_c10,b91,ptfe_c10__O_top__fib11__r180,O_top,fib11,r180,F,O,2.637,8.943,23.7,1,
ptfe_c10,b92,ptfe_c10__O_top__fib11__r000,O_top,fib11,r000,F,O,2.635,8.943,23.7,1,
ptfe_c10,b93,ptfe_c10__O_top__fib11__r270,O_top,fib11,r270,F,O,2.638,8.944,23.7,1,
ptfe_c10,b94,ptfe_c10__O_top__fib00__r000,O_top,fib00,r000,F,O,2.633,8.909,24.5,1,
ptfe_c10,b95,ptfe_c10__O_top__fib00__r090,O_top,fib00,r090,F,O,2.63,8.909,24.5,1,
sdcp_neutral,b00,sdcp_neutral__O_top__fib08__r000,O_top,fib08,r000,H,O,1.827,5.072,85.5,1,primary
sdcp_neutral,b01,sdcp_neutral__LiO_bridge__fib08__r000,LiO_bridge,fib08,r000,H,O,1.848,5.051,86.0,1,
sdcp_neutral,b02,sdcp_neutral__O_top__fib08__r180,O_top,fib08,r180,H,O,1.871,5.106,85.4,1,
sdcp_neutral,b03,sdcp_neutral__hollow__fib08__r180,hollow,fib08,r180,H,O,1.836,5.079,84.9,1,
sdcp_neutral,b04,sdcp_neutral__NiO_bridge__fib08__r000,NiO_bridge,fib08,r000,H,O,1.999,5.072,85.2,1,
sdcp_neutral,b05,sdcp_neutral__NiO_bridge__fib08__r180,NiO_bridge,fib08,r180,H,O,1.915,5.106,86.0,1,
sdcp_neutral,b06,sdcp_neutral__hollow__fib08__r000,hollow,fib08,r000,H,O,2.055,5.137,86.0,1,
sdcp_neutral,b07,sdcp_neutral__LiO_bridge__fib11__r270,LiO_bridge,fib11,r270,H,O,1.871,5.025,58.3,1,
sdcp_neutral,b08,sdcp_neutral__LiO_bridge__fib08__r180,LiO_bridge,fib08,r180,H,O,2.294,5.166,85.7,1,
sdcp_neutral,b09,sdcp_neutral__LiNi_bridge__fib08__r000,LiNi_bridge,fib08,r000,H,O,2.645,5.272,86.3,1,
sdcp_neutral,b10,sdcp_neutral__NiO_bridge__fib04__r180,NiO_bridge,fib04,r180,H,O,2.531,4.553,81.9,1,
sdcp_neutral,b100,sdcp_neutral__Li_top__fib01__r270,Li_top,fib01,r270,H,Li,2.455,5.765,67.6,1,
sdcp_neutral,b11,sdcp_neutral__O_top__fib04__r180,O_top,fib04,r180,H,O,2.365,4.577,81.9,1,
sdcp_neutral,b12,sdcp_neutral__LiNi_bridge__fib11__r270,LiNi_bridge,fib11,r270,O,Li,2.407,5.137,58.0,1,stress_sensitivity
sdcp_neutral,b13,sdcp_neutral__Ni_top__fib04__r000,Ni_top,fib04,r000,H,Ni,2.444,4.545,82.0,1,
sdcp_neutral,b14,sdcp_neutral__LiO_bridge__fib04__r000,LiO_bridge,fib04,r000,H,Ni,2.492,4.55,82.0,1,
sdcp_neutral,b15,sdcp_neutral__Li_top__fib04__r180,Li_top,fib04,r180,H,O,2.462,4.516,82.0,1,
sdcp_neutral,b16,sdcp_neutral__O_top__fib10__r090,O_top,fib10,r090,H,O,2.34,5.952,64.0,1,
sdcp_neutral,b17,sdcp_neutral__O_top__fib07__r180,O_top,fib07,r180,H,O,2.333,5.511,58.1,1,
sdcp_neutral,b18,sdcp_neutral__Ni_top__fib04__r180,Ni_top,fib04,r180,H,Ni,2.441,4.542,81.9,1,
sdcp_neutral,b19,sdcp_neutral__LiNi_bridge__fib08__r180,LiNi_bridge,fib08,r180,H,O,2.663,5.266,86.2,1,
sdcp_neutral,b20,sdcp_neutral__hollow__fib04__r180,hollow,fib04,r180,H,O,2.557,4.573,82.0,2,
sdcp_neutral,b21,sdcp_neutral__NiO_bridge__fib11__r000,NiO_bridge,fib11,r000,H,O,2.494,5.139,58.3,1,
sdcp_neutral,b22,sdcp_neutral__LiO_bridge__fib11__r180,LiO_bridge,fib11,r180,O,Li,2.41,5.131,58.5,1,
sdcp_neutral,b23,sdcp_neutral__Li_top__fib04__r000,Li_top,fib04,r000,H,O,2.462,4.523,82.0,1,
sdcp_neutral,b24,sdcp_neutral__O_top__fib07__r000,O_top,fib07,r000,H,O,2.349,5.524,58.1,1,
sdcp_neutral,b25,sdcp_neutral__LiO_bridge__fib07__r180,LiO_bridge,fib07,r180,H,O,2.519,5.47,58.1,1,
sdcp_neutral,b26,sdcp_neutral__hollow__fib04__r000,hollow,fib04,r000,H,O,2.552,4.576,82.0,1,
sdcp_neutral,b27,sdcp_neutral__O_top__fib04__r000,O_top,fib04,r000,H,O,2.369,4.579,82.0,1,
sdcp_neutral,b28,sdcp_neutral__LiO_bridge__fib04__r180,LiO_bridge,fib04,r180,H,O,2.434,4.543,82.0,1,
sdcp_neutral,b29,sdcp_neutral__NiO_bridge__fib04__r000,NiO_bridge,fib04,r000,H,O,2.461,4.566,82.2,1,
sdcp_neutral,b30,sdcp_neutral__hollow__fib07__r180,hollow,fib07,r180,H,O,2.52,5.51,58.1,2,
sdcp_neutral,b31,sdcp_neutral__LiNi_bridge__fib11__r090,LiNi_bridge,fib11,r090,O,Ni,2.539,5.177,58.0,1,
sdcp_neutral,b32,sdcp_neutral__NiO_bridge__fib10__r090,NiO_bridge,fib10,r090,H,O,2.509,5.944,64.0,1,
sdcp_neutral,b33,sdcp_neutral__LiO_bridge__fib07__r000,LiO_bridge,fib07,r000,H,O,2.539,5.488,58.2,1,
sdcp_neutral,b34,sdcp_neutral__NiO_bridge__fib09__r270,NiO_bridge,fib09,r270,H,O,2.539,5.846,44.8,1,
sdcp_neutral,b35,sdcp_neutral__hollow__fib10__r090,hollow,fib10,r090,H,O,2.538,5.965,64.0,2,
sdcp_neutral,b36,sdcp_neutral__O_top__fib10__r270,O_top,fib10,r270,H,O,2.341,5.949,64.0,1,
sdcp_neutral,b37,sdcp_neutral__LiO_bridge__fib10__r090,LiO_bridge,fib10,r090,H,O,2.52,5.91,64.0,1,
sdcp_neutral,b38,sdcp_neutral__LiNi_bridge__fib04__r000,LiNi_bridge,fib04,r000,H,O,2.545,4.529,82.0,1,
sdcp_neutral,b39,sdcp_neutral__O_top__fib10__r000,O_top,fib10,r000,H,O,2.342,5.953,64.0,1,
sdcp_neutral,b40,sdcp_neutral__hollow__fib07__r000,hollow,fib07,r000,H,O,2.532,5.521,58.1,1,
sdcp_neutral,b41,sdcp_neutral__NiO_bridge__fib07__r180,NiO_bridge,fib07,r180,H,O,2.511,5.506,58.2,1,
sdcp_neutral,b42,sdcp_neutral__NiO_bridge__fib07__r000,NiO_bridge,fib07,r000,H,O,2.517,5.506,58.1,1,
sdcp_neutral,b43,sdcp_neutral__LiNi_bridge__fib07__r000,LiNi_bridge,fib07,r000,H,Ni,2.71,5.475,58.2,1,
sdcp_neutral,b44,sdcp_neutral__Li_top__fib08__r180,Li_top,fib08,r180,H,Li,2.696,5.264,86.5,1,
sdcp_neutral,b45,sdcp_neutral__O_top__fib10__r180,O_top,fib10,r180,H,O,2.34,5.949,64.0,1,
sdcp_neutral,b46,sdcp_neutral__LiO_bridge__fib09__r090,LiO_bridge,fib09,r090,H,O,2.545,5.819,44.7,1,
sdcp_neutral,b47,sdcp_neutral__LiO_bridge__fib10__r270,LiO_bridge,fib10,r270,H,O,2.531,5.921,64.0,1,
sdcp_neutral,b48,sdcp_neutral__Li_top__fib07__r000,Li_top,fib07,r000,H,Li,2.473,5.448,58.1,1,
sdcp_neutral,b49,sdcp_neutral__Ni_top__fib09__r270,Ni_top,fib09,r270,H,Ni,2.437,5.829,44.8,1,
sdcp_neutral,b50,sdcp_neutral__hollow__fib09__r090,hollow,fib09,r090,H,O,2.557,5.865,44.8,2,
sdcp_neutral,b51,sdcp_neutral__hollow__fib10__r000,hollow,fib10,r000,H,O,2.521,5.938,64.0,2,
sdcp_neutral,b52,sdcp_neutral__Li_top__fib07__r180,Li_top,fib07,r180,H,Li,2.474,5.457,58.1,1,
sdcp_neutral,b53,sdcp_neutral__hollow__fib10__r270,hollow,fib10,r270,H,O,2.529,5.949,64.0,2,
sdcp_neutral,b54,sdcp_neutral__O_top__fib09__r270,O_top,fib09,r270,H,O,2.4,5.864,44.9,1,
sdcp_neutral,b55,sdcp_neutral__Ni_top__fib09__r090,Ni_top,fib09,r090,H,Ni,2.443,5.839,45.0,1,
sdcp_neutral,b56,sdcp_neutral__LiO_bridge__fib10__r000,LiO_bridge,fib10,r000,H,O,2.529,5.908,63.9,1,
sdcp_neutral,b57,sdcp_neutral__NiO_bridge__fib10__r270,NiO_bridge,fib10,r270,H,O,2.503,5.933,64.1,1,
sdcp_neutral,b58,sdcp_neutral__Li_top__fib03__r270,Li_top,fib03,r270,O,Li,2.153,5.738,71.0,1,
sdcp_neutral,b59,sdcp_neutral__Li_top__fib08__r000,Li_top,fib08,r000,H,Li,2.645,5.294,86.5,1,
sdcp_neutral,b60,sdcp_neutral__hollow__fib10__r180,hollow,fib10,r180,H,O,2.544,5.947,64.0,2,
sdcp_neutral,b61,sdcp_neutral__Ni_top__fib07__r180,Ni_top,fib07,r180,H,Ni,2.425,5.488,58.2,1,
sdcp_neutral,b62,sdcp_neutral__NiO_bridge__fib10__r000,NiO_bridge,fib10,r000,H,O,2.539,5.941,64.1,1,
sdcp_neutral,b63,sdcp_neutral__LiNi_bridge__fib09__r270,LiNi_bridge,fib09,r270,H,O,2.736,5.814,45.0,1,
sdcp_neutral,b64,sdcp_neutral__O_top__fib09__r090,O_top,fib09,r090,H,O,2.395,5.866,44.9,1,
sdcp_neutral,b65,sdcp_neutral__Ni_top__fib07__r000,Ni_top,fib07,r000,H,Ni,2.425,5.49,58.2,1,
sdcp_neutral,b66,sdcp_neutral__Li_top__fib10__r090,Li_top,fib10,r090,H,Li,2.488,5.887,64.1,1,
sdcp_neutral,b67,sdcp_neutral__hollow__fib09__r270,hollow,fib09,r270,H,O,2.594,5.863,45.0,1,
sdcp_neutral,b68,sdcp_neutral__LiO_bridge__fib10__r180,LiO_bridge,fib10,r180,H,O,2.55,5.917,64.1,1,
sdcp_neutral,b69,sdcp_neutral__Ni_top__fib10__r270,Ni_top,fib10,r270,H,Ni,2.446,5.93,64.1,1,
sdcp_neutral,b70,sdcp_neutral__NiO_bridge__fib10__r180,NiO_bridge,fib10,r180,H,O,2.511,5.929,64.0,1,
sdcp_neutral,b71,sdcp_neutral__Ni_top__fib03__r270,Ni_top,fib03,r270,O,Ni,2.43,5.945,71.3,1,
sdcp_neutral,b72,sdcp_neutral__Ni_top__fib03__r090,Ni_top,fib03,r090,O,Ni,2.417,5.948,71.2,1,
sdcp_neutral,b73,sdcp_neutral__Ni_top__fib10__r090,Ni_top,fib10,r090,H,Ni,2.448,5.939,64.1,1,
sdcp_neutral,b74,sdcp_neutral__Li_top__fib09__r090,Li_top,fib09,r090,H,Li,2.458,5.79,44.8,1,
sdcp_neutral,b75,sdcp_neutral__NiO_bridge__fib09__r180,NiO_bridge,fib09,r180,H,O,2.544,5.853,45.0,1,
sdcp_neutral,b76,sdcp_neutral__LiNi_bridge__fib09__r180,LiNi_bridge,fib09,r180,H,O,2.717,5.805,44.9,1,
sdcp_neutral,b77,sdcp_neutral__O_top__fib09__r180,O_top,fib09,r180,H,O,2.393,5.872,44.9,1,
sdcp_neutral,b78,sdcp_neutral__LiO_bridge__fib09__r180,LiO_bridge,fib09,r180,H,O,2.575,5.828,44.7,1,
sdcp_neutral,b79,sdcp_neutral__Li_top__fib10__r270,Li_top,fib10,r270,H,Li,2.494,5.904,64.1,1,
sdcp_neutral,b80,sdcp_neutral__Ni_top__sulfonate_down__r000,Ni_top,sulfonate_down,r000,O,Ni,2.398,6.599,20.9,1,
sdcp_neutral,b81,sdcp_neutral__NiO_bridge__fib09__r090,NiO_bridge,fib09,r090,H,O,2.605,5.855,45.1,1,
sdcp_neutral,b82,sdcp_neutral__hollow__fib01__r180,hollow,fib01,r180,H,O,2.547,5.846,67.6,2,
sdcp_neutral,b83,sdcp_neutral__Li_top__fib09__r000,Li_top,fib09,r000,H,Li,2.46,5.791,44.8,1,
sdcp_neutral,b84,sdcp_neutral__LiO_bridge__fib09__r000,LiO_bridge,fib09,r000,H,O,2.56,5.835,44.8,1,
sdcp_neutral,b85,sdcp_neutral__Li_top__fib09__r180,Li_top,fib09,r180,H,Li,2.458,5.789,44.7,1,
sdcp_neutral,b86,sdcp_neutral__Li_top__fib09__r270,Li_top,fib09,r270,H,Li,2.461,5.81,44.8,1,
sdcp_neutral,b87,sdcp_neutral__O_top__fib01__r180,O_top,fib01,r180,H,O,2.386,5.842,67.6,1,
sdcp_neutral,b88,sdcp_neutral__hollow__fib09__r180,hollow,fib09,r180,H,O,2.601,5.862,44.9,1,
sdcp_neutral,b89,sdcp_neutral__Ni_top__fib10__r000,Ni_top,fib10,r000,H,Ni,2.449,5.933,64.1,1,
sdcp_neutral,b90,sdcp_neutral__LiO_bridge__fib01__r180,LiO_bridge,fib01,r180,H,O,2.542,5.81,67.6,1,
sdcp_neutral,b91,sdcp_neutral__Ni_top__fib09__r180,Ni_top,fib09,r180,H,Ni,2.44,5.832,44.8,1,
sdcp_neutral,b92,sdcp_neutral__NiO_bridge__fib01__r000,NiO_bridge,fib01,r000,H,O,2.528,5.83,67.6,1,
sdcp_neutral,b93,sdcp_neutral__Li_top__fib10__r000,Li_top,fib10,r000,H,Li,2.487,5.896,64.0,1,
sdcp_neutral,b94,sdcp_neutral__Ni_top__fib01__r180,Ni_top,fib01,r180,H,Ni,2.441,5.798,67.7,1,
sdcp_neutral,b95,sdcp_neutral__Ni_top__fib09__r000,Ni_top,fib09,r000,H,Ni,2.437,5.829,44.8,1,
sdcp_neutral,b96,sdcp_neutral__Li_top__fib10__r180,Li_top,fib10,r180,H,Li,2.491,5.885,64.1,1,
sdcp_neutral,b97,sdcp_neutral__NiO_bridge__fib01__r090,NiO_bridge,fib01,r090,H,O,2.556,5.821,67.6,1,
sdcp_neutral,b98,sdcp_neutral__Ni_top__fib01__r000,Ni_top,fib01,r000,H,Ni,2.439,5.815,67.7,1,
sdcp_neutral,b99,sdcp_neutral__O_top__fib01__r090,O_top,fib01,r090,H,O,2.399,5.849,67.6,1,
