frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
197.000,39.400,2.875,4.146,1.375,65.000,3.000,2.000
198.000,39.600,2.875,4.171,1.500,65.000,3.000,1.500
199.000,39.800,2.875,4.049,1.500,65.000,3.000,2.000
200.000,40.000,2.875,4.146,1.875,65.000,3.000,1.500
201.000,40.200,2.875,4.390,1.625,65.000,3.000,1.500
202.000,40.400,2.875,4.171,1.375,65.000,3.000,2.000
203.000,40.600,2.875,4.171,1.375,65.000,3.000,1.500
204.000,40.800,2.875,4.146,1.375,65.000,3.000,1.500
205.000,41.000,2.875,4.146,1.375,66.000,3.000,2.000
206.000,41.200,2.875,4.220,1.500,66.000,3.000,2.000
207.000,41.400,2.875,4.122,1.625,66.000,3.000,2.000
208.000,41.600,2.875,4.366,1.750,66.000,3.000,2.000
209.000,41.800,2.875,4.390,1.625,67.000,3.000,1.500
210.000,42.000,2.875,4.317,1.750,67.000,3.000,2.000
211.000,42.200,2.875,4.244,1.750,68.000,3.000,1.500
212.000,42.400,2.875,4.195,1.500,66.000,3.000,1.000
213.000,42.600,2.875,4.341,1.875,66.000,3.000,0.500
214.000,42.800,2.875,4.268,1.500,67.000,3.000,1.500
215.000,43.000,2.750,4.171,1.875,66.000,3.000,1.500
216.000,43.200,2.875,4.171,1.500,66.000,3.000,1.500
217.000,43.400,2.875,4.390,1.250,66.000,3.000,1.500
218.000,43.600,2.875,4.268,2.000,66.000,3.000,2.500
219.000,43.800,2.875,4.220,1.875,66.000,3.000,2.000
220.000,44.000,2.750,4.244,1.500,67.000,3.000,2.000
221.000,44.200,2.875,4.341,1.250,68.000,3.000,2.500
222.000,44.400,2.875,4.049,1.625,66.000,3.000,1.500
223.000,44.600,2.875,4.220,1.875,67.000,3.000,1.500
224.000,44.800,2.875,4.146,1.625,67.000,3.000,2.000
225.000,45.000,2.875,4.146,1.625,66.000,3.000,2.000
226.000,45.200,2.875,4.220,1.750,66.000,3.000,1.500
227.000,45.400,2.875,4.244,1.625,66.000,3.000,2.000
228.000,45.600,2.875,4.293,1.750,67.000,3.000,2.000
229.000,45.800,2.875,4.244,1.500,67.000,3.000,1.500
230.000,46.000,2.875,4.341,1.500,66.000,3.000,2.000
231.000,46.200,2.875,4.293,1.625,66.000,3.000,2.000
232.000,46.400,2.875,4.195,1.375,66.000,3.000,1.500
233.000,46.600,2.875,4.098,1.500,66.000,3.000,1.500
234.000,46.800,2.875,4.098,2.375,67.000,3.000,1.000
235.000,47.000,2.875,4.195,1.375,65.000,3.000,1.500
236.000,47.200,2.875,4.293,1.875,65.000,3.000,1.500
237.000,47.400,2.875,4.220,1.750,66.000,3.000,2.500
238.000,47.600,2.875,4.146,2.000,66.000,3.000,2.000
239.000,47.800,2.875,4.122,1.750,67.000,3.000,1.500
240.000,48.000,2.875,4.098,1.500,66.000,3.000,2.000
241.000,48.200,2.875,4.244,1.750,67.000,3.000,0.500
242.000,48.400,2.875,4.268,1.625,68.000,3.000,1.500
243.000,48.600,2.750,4.293,1.625,66.000,3.000,2.000
244.000,48.800,2.750,4.146,1.500,66.000,3.000,2.000
245.000,49.000,2.750,4.317,1.625,68.000,3.000,1.500
246.000,49.200,2.750,4.317,1.625,68.000,3.000,1.000
247.000,49.400,2.750,4.220,1.625,68.000,3.000,1.500
248.000,49.600,2.750,4.171,1.875,66.000,3.000,1.000
249.000,49.800,2.750,4.195,1.625,66.000,3.000,0.500
250.000,50.000,2.750,4.220,1.875,68.000,3.000,1.000
251.000,50.200,2.750,4.293,1.625,67.000,3.000,2.500
252.000,50.400,2.750,4.244,1.750,66.000,3.000,1.000
253.000,50.600,2.750,4.171,2.000,66.000,3.000,2.000
254.000,50.800,2.750,4.341,1.625,66.000,3.000,1.000
255.000,51.000,2.750,4.268,1.625,66.000,3.000,1.500
256.000,51.200,2.750,4.293,2.000,66.000,3.000,1.500
257.000,51.400,2.750,4.293,1.625,67.000,3.000,1.500
258.000,51.600,2.750,4.293,1.625,68.000,3.000,3.000
259.000,51.800,2.750,4.171,1.875,66.000,3.000,2.500
260.000,52.000,2.750,4.146,2.000,66.000,3.000,0.500
261.000,52.200,2.750,4.341,1.500,67.000,3.000,1.500
262.000,52.400,2.750,4.220,2.125,66.000,3.000,1.500
263.000,52.600,2.750,4.341,1.875,66.000,3.000,1.000
264.000,52.800,2.750,4.220,1.875,66.000,3.000,1.500
265.000,53.000,2.750,4.220,1.625,67.000,3.000,1.500
266.000,53.200,2.750,4.244,1.625,67.000,3.000,1.000
267.000,53.400,2.750,4.268,1.625,67.000,3.000,1.000
268.000,53.600,2.750,4.195,2.000,67.000,3.000,2.000
269.000,53.800,2.750,4.366,1.875,67.000,3.000,1.000
