E_minus_VBM,total_DOS
4.2000,24.4168
4.2200,23.6915
4.2400,22.8747
4.2600,21.9474
4.2800,20.9366
4.3000,19.9212
4.3200,19.0173
4.3400,18.3689
4.3600,18.1318
4.3800,18.4330
4.4000,19.3165
4.4200,20.7105
4.4400,22.4356
4.4600,24.2493
4.4800,25.9146
4.5000,27.2783
4.5200,28.3178
4.5400,29.1214
4.5600,29.7974
4.5800,30.3852
4.6000,30.8315
4.6200,31.0608
4.6400,31.0733
4.6600,30.9820
4.6800,30.9349
4.7000,30.9815
4.7200,31.0055
4.7400,30.7998
4.7600,30.2178
4.7800,29.2736
4.8000,28.1096
4.8200,26.8945
4.8400,25.7483
4.8600,24.7474
4.8800,23.9587
4.9000,23.4495
4.9200,23.2429
4.9400,23.2665
4.9600,23.3499
4.9800,23.2937
5.0000,22.9655
5.0200,22.3485
5.0400,21.5129
5.0600,20.5465
5.0800,19.5284
5.1000,18.5468
5.1200,17.7182
5.1400,17.1504
5.1600,16.8844
5.1800,16.8717
5.2000,17.0049
5.2200,17.1536
5.2400,17.1873
5.2600,17.0116
5.2800,16.6371
5.3000,16.2266
5.3200,16.0551
5.3400,16.3706
5.3600,17.2299
5.3800,18.4282
5.4000,19.5879
5.4200,20.3905
5.4400,20.7975
5.4600,21.0800
5.4800,21.6089
5.5000,22.5747
5.5200,23.8676
5.5400,25.1884
5.5600,26.2571
5.5800,26.9458
5.6000,27.2848
5.6200,27.3881
5.6400,27.3853
5.6600,27.3867
5.6800,27.4757
5.7000,27.6932
5.7200,28.0010
5.7400,28.2720
5.7600,28.3432
5.7800,28.1100
5.8000,27.5954
5.8200,26.9289
5.8400,26.2562
5.8600,25.6483
5.8800,25.0774
5.9000,24.4898
5.9200,23.9122
5.9400,23.4794
5.9600,23.3402
5.9800,23.5371
6.0000,23.9859
6.0200,24.5906
6.0400,25.3478
6.0600,26.3227
6.0800,27.5131
6.1000,28.7524
6.1200,29.7813
6.1400,30.4187
6.1600,30.6856
6.1800,30.7641
6.2000,30.8578
6.2200,31.0685
6.2400,31.3651
6.2600,31.6426
6.2800,31.8130
6.3000,31.8810
6.3200,31.9445
6.3400,32.1155
6.3600,32.4343
6.3800,32.8568
6.4000,33.3176
6.4200,33.7944
6.4400,34.3034
6.4600,34.8368
6.4800,35.3219
6.5000,35.6541
6.5200,35.7759
6.5400,35.7342
6.5600,35.6555
6.5800,35.6688
6.6000,35.8455
6.6200,36.1917
6.6400,36.6664
6.6600,37.2022
6.6800,37.7154
6.7000,38.1317
6.7200,38.4284
6.7400,38.6620
6.7600,38.9424
6.7800,39.3720
6.8000,39.9956
6.8200,40.7951
6.8400,41.7320
6.8600,42.7683
6.8800,43.8498
6.9000,44.8795
6.9200,45.7172
6.9400,46.2177
6.9600,46.2884
6.9800,45.9419
7.0000,45.3114
7.0200,44.6238
7.0400,44.1280
7.0600,43.9959
7.0800,44.2557
7.1000,44.7780
7.1200,45.3483
7.1400,45.7788
7.1600,45.9897
7.1800,46.0121
7.2000,45.9369
7.2200,45.8506
7.2400,45.7971
7.2600,45.7568
7.2800,45.6655
7.3000,45.4733
7.3200,45.2075
7.3400,44.9754
