E_minus_VBM,Li,P,S,Cl,B,O
2.5800,1.3770,2.6412,4.3294,0.1120,0.4394,0.0229
2.6000,1.4704,2.7658,4.5544,0.1210,0.5356,0.0239
2.6200,1.5653,2.8865,4.7786,0.1302,0.6426,0.0249
2.6400,1.6599,3.0013,4.9989,0.1393,0.7590,0.0259
2.6600,1.7525,3.1081,5.2118,0.1482,0.8833,0.0269
2.6800,1.8413,3.2055,5.4144,0.1566,1.0139,0.0279
2.7000,1.9250,3.2925,5.6046,0.1643,1.1491,0.0289
2.7200,2.0029,3.3690,5.7814,0.1713,1.2869,0.0299
2.7400,2.0743,3.4357,5.9447,0.1775,1.4251,0.0310
2.7600,2.1386,3.4941,6.0947,0.1828,1.5608,0.0320
2.7800,2.1956,3.5455,6.2319,0.1871,1.6910,0.0332
2.8000,2.2449,3.5911,6.3567,0.1905,1.8132,0.0344
2.8200,2.2863,3.6322,6.4695,0.1928,1.9252,0.0356
2.8400,2.3200,3.6699,6.5709,0.1942,2.0253,0.0370
2.8600,2.3466,3.7056,6.6618,0.1947,2.1124,0.0384
2.8800,2.3667,3.7405,6.7430,0.1943,2.1853,0.0398
2.9000,2.3810,3.7759,6.8152,0.1933,2.2427,0.0413
2.9200,2.3900,3.8124,6.8785,0.1918,2.2836,0.0429
2.9400,2.3941,3.8505,6.9327,0.1897,2.3074,0.0444
2.9600,2.3937,3.8896,6.9768,0.1873,2.3144,0.0459
2.9800,2.3890,3.9285,7.0093,0.1846,2.3054,0.0475
3.0000,2.3803,3.9655,7.0280,0.1817,2.2817,0.0489
3.0200,2.3680,3.9988,7.0307,0.1788,2.2445,0.0503
3.0400,2.3521,4.0266,7.0155,0.1761,2.1955,0.0516
3.0600,2.3333,4.0478,6.9817,0.1735,2.1367,0.0527
3.0800,2.3120,4.0616,6.9302,0.1711,2.0712,0.0537
3.1000,2.2894,4.0679,6.8633,0.1690,2.0029,0.0546
3.1200,2.2665,4.0666,6.7842,0.1673,1.9368,0.0553
3.1400,2.2445,4.0577,6.6965,0.1660,1.8777,0.0560
3.1600,2.2245,4.0413,6.6030,0.1651,1.8300,0.0565
3.1800,2.2070,4.0174,6.5055,0.1646,1.7961,0.0569
3.2000,2.1922,3.9865,6.4050,0.1645,1.7770,0.0571
3.2200,2.1799,3.9488,6.3015,0.1647,1.7716,0.0573
3.2400,2.1697,3.9051,6.1947,0.1650,1.7781,0.0573
3.2600,2.1612,3.8564,6.0840,0.1655,1.7943,0.0572
3.2800,2.1544,3.8039,5.9694,0.1659,1.8178,0.0569
3.3000,2.1501,3.7504,5.8520,0.1663,1.8461,0.0566
3.3200,2.1496,3.6997,5.7344,0.1669,1.8766,0.0562
3.3400,2.1553,3.6578,5.6209,0.1678,1.9060,0.0559
3.3600,2.1706,3.6322,5.5171,0.1693,1.9308,0.0556
3.3800,2.1992,3.6309,5.4294,0.1718,1.9473,0.0557
3.4000,2.2446,3.6616,5.3641,0.1755,1.9523,0.0561
3.4200,2.3100,3.7306,5.3267,0.1808,1.9434,0.0569
3.4400,2.3983,3.8425,5.3221,0.1879,1.9194,0.0583
3.4600,2.5121,4.0010,5.3551,0.1971,1.8802,0.0604
3.4800,2.6542,4.2094,5.4309,0.2086,1.8257,0.0633
3.5000,2.8274,4.4710,5.5545,0.2229,1.7563,0.0671
3.5200,3.0342,4.7876,5.7298,0.2402,1.6727,0.0719
3.5400,3.2752,5.1581,5.9575,0.2606,1.5759,0.0776
