"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
3.362,-0.4478,carried_forward,CaCl2
3.372,-0.3758,carried_forward,Na2S
3.376,-0.3372,carried_forward,CaCl2
3.377,-0.3372,carried_forward,CaCl2
3.377,-0.3372,carried_forward,CaCl2
3.390,-0.3702,carried_forward,LiBr
3.417,-0.3867,carried_forward,MgS
3.488,-0.3479,carried_forward,NaI
3.553,-0.8026,carried_forward,Cr2O3
3.572,-0.8026,carried_forward,Cr2O3
3.582,-0.3832,carried_forward,MgS
3.596,-0.8026,carried_forward,Cr2O3
3.606,-0.3703,carried_forward,LiI
3.645,-0.3765,carried_forward,YCl3
3.646,-0.3765,carried_forward,YCl3
3.646,-0.3765,carried_forward,YCl3
3.698,-0.3552,carried_forward,NaI
3.707,-0.6712,carried_forward,MoO3+Clrich
3.727,-0.4337,carried_forward,NdCl3
3.727,-0.4337,carried_forward,NdCl3
3.727,-0.4337,carried_forward,NdCl3
3.732,-0.7185,carried_forward,WO3+Clrich
3.738,-0.5464,carried_forward,YCl3
3.738,-0.5464,carried_forward,YCl3
3.738,-0.5464,carried_forward,YCl3
3.755,-0.5421,carried_forward,Al2S3
3.755,-0.5421,carried_forward,Al2S3
3.756,-0.5421,carried_forward,Al2S3
3.756,-0.5421,carried_forward,Al2S3
3.760,-0.3730,carried_forward,LiI
3.769,-0.5422,carried_forward,Al2S3
3.773,-0.5423,carried_forward,Al2S3
3.780,-0.3299,carried_forward,ZnO+Clrich
3.780,-0.3299,carried_forward,ZnO+Clrich
3.780,-0.3299,carried_forward,ZnO+Clrich
3.784,-0.6710,carried_forward,MoO3+Clrich
3.831,-0.7187,carried_forward,WO3+Clrich
3.835,-0.6709,carried_forward,MoO3+Clrich
3.836,-0.7187,carried_forward,WO3+Clrich
3.980,-0.8179,carried_forward,Sm2O3+Clrich
3.982,-0.8179,carried_forward,Sm2O3+Clrich
3.982,-0.8179,carried_forward,Sm2O3+Clrich
3.983,-0.5333,carried_forward,HfCl4
3.983,-0.5333,carried_forward,HfCl4
3.983,-0.5333,carried_forward,HfCl4
4.109,-0.6191,carried_forward,Al2O3+Clrich
4.109,-0.6191,carried_forward,Al2O3+Clrich
4.109,-0.6191,carried_forward,Al2O3+Clrich
4.199,-0.5528,carried_forward,CrCl3
4.200,-0.5528,carried_forward,CrCl3
4.201,-0.5528,carried_forward,CrCl3
4.267,-0.3899,carried_forward,MgS
4.321,-0.8891,carried_forward,Y2O3+Clrich
4.323,-0.8891,carried_forward,Y2O3+Clrich
4.323,-0.8891,carried_forward,Y2O3+Clrich
4.326,-0.3033,carried_forward,AlBr3
4.327,-0.3033,carried_forward,AlBr3
4.327,-0.3033,carried_forward,AlBr3
4.424,-0.4233,carried_forward,Ag2O
4.425,-0.4233,carried_forward,Ag2O
4.425,-0.4233,carried_forward,Ag2O
4.426,-0.4233,carried_forward,Ag2O
4.426,-0.4233,carried_forward,Ag2O
4.429,-0.4233,carried_forward,Ag2O
4.441,-0.4047,carried_forward,CaBr2
4.441,-0.4047,carried_forward,CaBr2
4.441,-0.4047,carried_forward,CaBr2
4.477,-0.4343,carried_forward,ZrBr4
4.477,-0.4343,carried_forward,ZrBr4
4.477,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.478,-0.4343,carried_forward,ZrBr4
4.480,-0.3502,carried_forward,NaI
4.490,-0.3540,carried_forward,NaI
4.496,-0.3601,carried_forward,NaI
4.555,-0.3602,carried_forward,NaI
4.581,-0.5125,carried_forward,SmCl3
4.581,-0.5125,carried_forward,SmCl3
4.582,-0.5125,carried_forward,SmCl3
4.662,-0.3610,carried_forward,NaI
