# Interpolated MEP from QE neb.x <case>.int (251 pts). E relative to initial image [eV].
# NOT cell-converged — see db/properties/sei_neb.json (citable=false, cell_convergence_status=untested).
reaction_coord,E_eV__li2s,E_eV__li3nd_ccc,E_eV__li3nd_ccb
0.812000,0.102832,0.136491,1.464684
0.816000,0.099166,0.132374,1.485629
0.820000,0.095536,0.128241,1.506342
0.824000,0.091943,0.124096,1.526826
0.828000,0.088391,0.119943,1.547083
0.832000,0.084881,0.115788,1.567114
0.836000,0.081414,0.111635,1.586921
0.840000,0.077992,0.107488,1.606506
0.844000,0.074618,0.103353,1.625871
0.848000,0.071293,0.099233,1.645018
0.852000,0.068020,0.095134,1.663949
0.856000,0.064799,0.091060,1.682664
0.860000,0.061633,0.087015,1.701168
0.864000,0.058524,0.083005,1.719460
0.868000,0.055474,0.079034,1.737544
0.872000,0.052484,0.075106,1.755415
0.876000,0.049556,0.071226,1.772964
0.880000,0.046693,0.067399,1.790137
0.884000,0.043896,0.063630,1.806924
0.888000,0.041167,0.059922,1.823312
0.892000,0.038508,0.056281,1.839289
0.896000,0.035921,0.052711,1.854843
0.900000,0.033408,0.049217,1.869963
0.904000,0.030970,0.045804,1.884635
0.908000,0.028609,0.042475,1.898849
0.912000,0.026328,0.039237,1.912593
0.916000,0.024128,0.036092,1.925854
0.920000,0.022011,0.033047,1.938620
0.924000,0.019979,0.030105,1.950880
0.928000,0.018034,0.027271,1.962622
0.932000,0.016177,0.024550,1.973833
0.936000,0.014411,0.021946,1.984503
0.940000,0.012738,0.019465,1.994618
0.944000,0.011159,0.017110,2.004167
0.948000,0.009676,0.014886,2.013138
0.952000,0.008291,0.012798,2.021519
0.956000,0.007006,0.010851,2.029298
0.960000,0.005824,0.009049,2.036463
0.964000,0.004744,0.007396,2.043003
0.968000,0.003771,0.005898,2.048905
0.972000,0.002905,0.004559,2.054157
0.976000,0.002148,0.003383,2.058748
0.980000,0.001503,0.002376,2.062665
0.984000,0.000970,0.001541,2.065896
0.988000,0.000553,0.000884,2.068431
0.992000,0.000253,0.000409,2.070256
0.996000,0.000071,0.000120,2.071360
1.000000,0.000010,0.000023,2.071730
