rank_overall,rank_in_tier,tier,tier_size,case_id,score,grade,n_axes,n_total,is_unit_cell,mode,am_se,wt_am,thickness,porosity,sigma_ionic,asr_ionic,Q_grav,Q_vol,base_case,cat_SE 네트워크 위상,cat_SE 네트워크 통계,cat_경로 효율 (Tortuosity),cat_계면 (Interface),cat_구조 (Structure),cat_기계적 안정성,cat_설계 정보 (Design info),cat_셀 단위 ASR,cat_수명 (Cycling),cat_안전성 (Safety),cat_에너지 밀도 (Energy density),cat_전기화학 활성도,cat_전도도 절대값,cat_전자 전도
20,6,6mAh,14,input_6mAh_real40_9,88.7,B+,50,54,False,bimodal,82:18,82.0,111.34299999999999,14.497492766928632,0.062612,177.8,155.8,572.3,input_6mAh_rveX_9,86.5,78.8,81.9,89.3,93.4,84.0,89.6,83.7,84.3,85.0,95.5,100,76.5,98.1
21,12,1mAh,35,input_1mAh_6_S2,88.7,B+,50,54,False,bimodal,80:20,80.0,19.0794,15.9976252841197,0.121511,15.7,152.0,541.4,input_1mAh_6_seedX,94.4,86.7,81.7,92.8,65.8,71.3,98.6,94.4,61.9,100,92.2,100,79.5,90.5
22,13,1mAh,35,input_1mAh_1,88.6,B+,50,54,False,bimodal,76:24,76.0,20.7,12.410777961850894,0.202259,10.2,144.4,522.1,input_1mAh_1,100,89.3,85.1,100,74.8,91.6,95.2,95.1,88.8,100,76.3,100,83.1,96.4
23,3,8mAh,18,input_8mAh_6,88.5,B+,50,54,False,bimodal,80:20,80.0,160.042,16.295648380418616,0.118518,135.0,152.0,539.5,input_8mAh_6,100,91.5,86.6,85.8,70.9,84.8,98.3,84.3,82.8,100,93.3,100,73.7,89.2
24,1,particulate,17,input_particulate_6,88.4,B+,47,54,False,standard,82:18,82.0,93.1133,16.069964075924325,0.091412,101.9,155.8,561.8,input_particulate_6,100,85.5,85.6,90.8,91.9,95.5,92.6,88.9,100,81.2,78.3,100,73.9,98.1
25,7,6mAh,14,input_6mAh_real_9,88.4,B+,50,54,False,bimodal,82:18,82.0,112.551,15.493629745634575,0.059519,189.1,155.8,565.6,input_6mAh_rveX_9,88.3,78.4,81.6,89.3,89.2,83.1,90.7,83.2,83.8,85.0,95.4,100,75.6,100
26,14,1mAh,35,input_1mAh_6_S4,88.3,B+,50,54,False,bimodal,80:20,80.0,19.579700000000003,18.145121518555296,0.092594,21.1,152.0,527.5,input_1mAh_6_seedX,94.8,86.0,79.7,90.8,60.1,73.2,96.5,94.0,75.7,100,92.0,100,72.0,94.5
27,4,8mAh,18,input_8mAh_5,88.1,B+,50,54,False,bimodal,80:20,80.0,160.266,16.609186355423734,0.113037,141.8,152.0,537.4,input_8mAh_5,100,88.4,86.0,86.4,69.8,91.4,98.0,83.6,88.1,100,88.5,100,73.5,91.6
28,15,1mAh,35,input_1mAh_5_AMS,88.1,B+,49,54,False,standard,80:20,80.0,19,16.33112028585981,0.098485,19.3,152.0,539.2,input_1mAh_5_AMS,94.7,83.8,79.4,92.3,64.7,96.8,90.9,94.1,100,90.4,78.5,100,76.4,100
29,16,1mAh,35,input_1mAh_100_1,88.0,B+,49,54,False,standard,77:23,77.0,18.968800000000005,14.091244711202522,0.171693,11.0,146.3,522.3,input_1mAh_100_1,100,86.1,81.0,94.6,72.4,98.3,92.7,94.8,100,90.8,74.0,100,81.0,98.1
30,5,8mAh,18,input_8mAh_8,87.9,B+,50,54,False,bimodal,85:15,85.0,140.74999999999997,16.770598661653313,0.06188,227.5,161.5,588.7,input_8mAh_8,95.0,83.1,82.2,81.8,75.7,86.2,97.8,80.5,93.8,84.5,91.6,100,71.5,98.1
31,17,1mAh,35,input_1mAh_3,87.9,B+,50,54,False,bimodal,76:24,76.0,21.65,15.170710330878146,0.174167,12.4,144.4,505.7,input_1mAh_3,100,90.0,83.6,100,70.3,70.9,98.6,94.9,69.7,93.8,87.9,100,81.1,86.5
32,2,particulate,17,input_particulate_9_E05,87.7,B+,47,54,False,standard,82:18,82.0,90.68769999999999,13.964960098059843,0.072552,125.0,155.8,575.8,input_particulate_9_E05,89.6,78.6,83.8,90.7,99.4,100,88.3,87.4,100,68.0,78.5,100,77.6,100
33,18,1mAh,35,input_1mAh_100_13,87.7,B+,50,54,False,bimodal,87:13,87.0,15.401,16.700503861317618,0.033053,46.6,165.3,610.8,input_1mAh_100_13,86.1,77.9,68.6,80.0,60.8,87.0,97.9,89.3,100,90.9,89.7,100,68.4,97.8
34,6,8mAh,18,input_8mAh_real40_9,87.4,B+,50,54,False,bimodal,82:18,82.0,146.123,14.317867156505336,0.055686,262.4,155.8,573.5,input_8mAh_rveX_9,89.4,78.5,81.4,89.3,82.4,83.2,89.6,79.4,85.1,83.3,94.5,100,76.0,98.0
35,19,1mAh,35,input_1mAh_100_6,87.3,B+,49,54,False,standard,82:18,82.0,17.712100000000007,18.445339506588255,0.071142,24.9,155.8,545.9,input_1mAh_100_6,91.5,79.9,73.8,85.4,58.0,97.5,91.5,93.5,100,82.0,79.5,100,75.0,100
36,3,particulate,17,input_particulate_8,87.1,B+,47,54,False,standard,72:28,72.0,110.499,10.427733891011204,0.293142,37.7,136.8,492.1,input_particulate_8,100,89.7,92.7,91.9,89.8,100,82.2,95.1,100,86.2,64.1,100,84.8,96.9
37,8,6mAh,14,input_6mAh_real_8,87.1,B+,50,54,False,bimodal,82:18,82.0,113.521,15.92734494983965,0.049434,229.6,155.8,562.7,input_6mAh_rveX_8,83.1,76.2,79.6,87.4,87.4,89.5,90.7,81.1,93.2,77.0,90.6,100,76.2,97.9
38,7,8mAh,18,input_8mAh_real40_2,87.1,B+,50,54,False,bimodal,82:18,82.0,155.351,17.53688345757628,0.082744,187.7,155.8,551.9,input_8mAh_rveX_2,100,84.3,84.2,81.0,69.0,95.2,97.0,81.1,100,92.7,83.4,100,72.4,96.6
39,8,8mAh,18,input_8mAh_4,86.8,B+,50,54,False,bimodal,80:20,80.0,162.376,17.80502720739997,0.103945,156.2,152.0,529.7,input_8mAh_4,100,87.0,85.6,83.9,65.9,94.6,96.8,82.5,93.9,100,81.4,100,73.0,96.2
40,20,1mAh,35,input_1mAh_9_S4,86.5,B+,50,54,False,bimodal,85:15,85.0,17.6251,20.13062166054701,0.033465,52.7,161.5,565.0,input_1mAh_9_seedX,88.6,80.5,72.2,82.0,53.1,73.2,94.8,88.8,89.3,100,95.4,100,66.3,94.3
41,21,1mAh,35,input_1mAh_9_S5,86.5,B+,50,54,False,bimodal,85:15,85.0,17.773299999999995,20.79542211509865,0.029146,61.0,161.5,560.3,input_1mAh_9_seedX,88.6,81.8,70.6,83.6,51.2,74.4,94.4,87.2,92.4,100,95.3,100,64.7,100
42,9,8mAh,18,input_8mAh_5_AMP,86.4,B+,49,54,False,standard,80:20,80.0,157.64800000000002,16.370200941471523,0.125666,125.5,152.0,539.0,input_8mAh_5_AMP,100,91.7,86.7,83.6,71.5,66.7,93.5,85.4,80.6,88.6,86.0,100,73.7,97.1
43,10,8mAh,18,input_8mAh_7,86.3,B+,50,54,False,bimodal,85:15,85.0,142.289,17.467977124922363,0.055567,256.1,161.5,583.8,input_8mAh_7,94.5,81.5,81.3,79.3,73.3,91.9,97.1,79.2,96.6,80.5,84.5,100,71.1,98.1
44,4,particulate,17,input_particulate_11,86.2,B+,47,54,False,standard,72:28,72.0,111.67499999999998,11.385566520640268,0.228342,48.9,136.8,486.8,input_particulate_11,100,85.1,91.1,87.8,92.8,100,81.3,93.5,100,81.0,64.0,100,84.3,97.0
45,22,1mAh,35,input_1mAh_5_AMP,86.1,B+,49,54,False,standard,80:20,80.0,18.7,14.435560086927367,0.117711,15.9,152.0,551.4,input_1mAh_5_AMP,94.3,87.2,81.7,95.5,70.9,52.5,92.9,94.4,58.2,100,84.9,100,80.0,100
46,5,particulate,17,input_particulate_9,86.0,B+,47,54,False,standard,82:18,82.0,94.0723,17.060389847861725,0.058955,159.6,155.8,555.1,input_particulate_9,87.8,78.8,82.5,85.0,88.8,100,88.6,84.6,100,71.5,78.2,100,74.3,100
47,9,6mAh,14,input_6mAh_real_1,86.0,B+,49,54,False,standard,82:18,82.0,116.81099999999999,18.898601340732355,0.068957,169.4,155.8,542.8,input_6mAh_rveX_1,100,81.5,82.3,80.7,78.0,97.4,87.8,83.2,100,80.4,80.8,100,72.1,97.4
48,23,1mAh,35,input_1mAh_100_14,86.0,B+,50,54,False,bimodal,87:13,87.0,15.709200000000003,18.18877456074994,0.028192,55.7,165.3,599.9,input_1mAh_100_14,87.3,79.3,68.1,79.5,57.1,80.5,96.4,87.6,89.0,100,93.7,100,65.7,87.0
49,24,1mAh,35,input_1mAh_9_S3,86.0,B+,50,54,False,bimodal,85:15,85.0,17.947999999999997,21.566373739596767,0.034791,51.6,161.5,554.8,input_1mAh_9_seedX,89.8,81.6,71.4,80.2,47.0,71.9,93.9,88.9,89.3,100,95.2,100,65.6,95.6
50,10,6mAh,14,input_6mAh_real_5,85.8,B+,49,54,False,standard,82:18,82.0,115.324,16.25434310549493,0.101776,113.3,155.8,560.5,input_6mAh_rveX_5,100,91.8,84.7,82.7,85.7,53.6,93.7,87.6,68.8,78.6,88.0,100,73.0,98.2
51,11,8mAh,18,input_8mAh_5_AMS,85.7,B+,49,54,False,standard,80:20,80.0,162.263,18.924038896806337,0.095924,169.2,152.0,522.5,input_8mAh_5_AMS,100,85.2,85.6,82.1,63.2,96.1,88.5,81.6,100,93.2,79.6,100,72.5,96.3
52,25,1mAh,35,input_1mAh_9_S1,85.5,B+,50,54,False,bimodal,85:15,85.0,18.1128,22.27884876591467,0.03212,56.4,161.5,549.8,input_1mAh_9_seedX,89.0,80.0,71.7,78.1,42.6,70.1,93.4,88.4,88.0,100,95.2,100,73.0,95.9
53,26,1mAh,35,input_1mAh_8,85.5,B+,50,54,False,bimodal,86:14,86.0,18.3,20.496533017542905,0.024818,73.7,163.4,572.6,input_1mAh_8,87.3,79.4,69.9,81.7,52.5,78.0,94.6,86.9,93.7,94.5,90.7,100,72.5,100
54,12,8mAh,18,input_8mAh_real_1,85.4,B+,49,54,False,standard,82:18,82.0,156.22500000000002,18.57069598224116,0.069169,225.9,155.8,545.0,input_8mAh_rveX_1,100,81.8,82.5,81.0,66.0,97.5,91.4,79.8,100,80.5,81.7,100,72.1,97.3
55,27,1mAh,35,input_1mAh_7,85.3,B+,50,54,False,bimodal,86:14,86.0,18.5,20.933754621035494,0.027892,66.3,163.4,569.5,input_1mAh_7,85.9,78.2,71.0,79.0,51.3,86.5,94.3,87.6,100,86.1,83.8,100,73.0,100
56,28,1mAh,35,input_1mAh_100_12,85.1,B+,50,54,False,bimodal,87:13,87.0,15.6751,18.303746616726457,0.024754,63.3,165.3,599.1,input_1mAh_100_12,81.9,76.2,65.9,77.4,56.8,92.3,96.3,87.5,100,81.6,81.8,100,67.7,100
57,6,particulate,17,input_particulate_9_E15,84.9,B,47,54,False,standard,82:18,82.0,97.12330000000001,19.665827992714323,0.055339,175.5,155.8,537.7,input_particulate_9_E15,89.8,78.2,82.3,78.9,82.0,100,85.8,82.6,100,74.7,77.8,100,72.6,98.1
58,13,8mAh,18,input_8mAh_2,84.9,B,50,54,False,bimodal,76:24,76.0,184.222,18.221250781452337,0.15643,117.8,144.4,487.5,input_8mAh_2,100,92.2,87.6,84.6,50.9,93.0,96.4,82.4,81.4,91.7,82.8,100,73.9,78.9
59,14,8mAh,18,input_8mAh_3,84.8,B,50,54,False,bimodal,75:25,75.0,182.524,17.963405353809016,0.166989,109.3,142.5,479.3,input_8mAh_3,100,92.5,87.5,84.2,51.6,88.0,96.6,82.2,78.6,88.1,86.4,100,74.0,74.9
60,29,1mAh,35,input_1mAh_9_S2,84.4,B,50,54,False,bimodal,85:15,85.0,18.482300000000002,23.8349242155634,0.034302,53.9,161.5,538.8,input_1mAh_9_seedX,90.3,81.5,71.2,74.5,37.6,67.1,92.2,87.2,85.2,100,95.0,100,64.0,92.1
61,2,S_series,3,input_S_2,84.2,B,47,54,False,standard,72:28,72.0,119.011,16.36490434637805,0.203258,58.6,136.8,459.5,input_S_2,100,92.4,89.0,93.8,83.9,95.2,92.3,88.9,91.1,93.7,63.4,100,75.7,84.5
62,7,particulate,17,input_particulate_5,84.0,B,47,54,False,standard,72:28,72.0,119.56500000000001,17.21856573369903,0.19642,60.9,136.8,454.8,input_particulate_5,100,92.0,88.6,93.5,81.2,96.5,91.2,88.5,90.8,96.7,63.4,100,75.6,84.3
63,30,1mAh,35,input_1mAh_9,84.0,B,50,54,False,bimodal,86:14,86.0,18.8,22.05953715234926,0.019565,96.1,163.4,561.4,input_1mAh_9,89.7,81.5,69.0,81.1,44.5,70.5,93.5,84.2,64.8,100,95.5,100,71.6,95.0
64,8,particulate,17,input_particulate_12_S2,83.9,B,47,54,False,standard,82:18,82.0,96.8287,19.439437286018514,0.044501,217.6,155.8,539.2,input_particulate_12_seedX,80.3,74.5,79.5,80.0,82.7,100,83.4,81.2,100,71.6,77.9,100,74.9,98.3
65,15,8mAh,18,input_8mAh_8_AMP,83.8,B,49,54,False,standard,85:15,85.0,142.24200000000002,17.680563359238157,0.060141,236.5,161.5,582.3,input_8mAh_8_AMP,93.3,85.5,79.9,77.0,72.8,57.8,92.2,79.8,73.4,72.2,88.9,100,70.1,100
66,16,8mAh,18,input_8mAh_8_AMS,83.8,B,49,54,False,standard,85:15,85.0,145.863,19.83065688353426,0.043035,338.9,161.5,567.1,input_8mAh_8_AMS,92.2,79.4,78.9,75.7,66.0,94.7,87.7,76.0,100,74.0,82.5,100,69.8,98.2
67,11,6mAh,14,input_6mAh_real_10,83.7,B,49,54,False,standard,82:18,82.0,115.236,16.209474289202895,0.073146,157.5,155.8,560.8,input_6mAh_rveX_10,100,82.6,84.2,85.2,85.8,54.1,85.8,83.6,56.0,73.9,88.0,100,72.6,100
68,12,6mAh,14,input_6mAh_real_7,83.6,B,50,54,False,bimodal,82:18,82.0,115.65899999999999,17.794372019646943,0.034485,335.4,155.8,550.2,input_6mAh_rveX_7,77.4,75.1,77.0,80.0,81.2,94.8,88.9,76.8,96.2,72.8,83.4,96.1,74.2,97.9
69,17,8mAh,18,input_8mAh_1,83.5,B,50,54,False,bimodal,75:25,75.0,184.20700000000002,18.85459706621169,0.152573,120.7,142.5,474.1,input_8mAh_1,100,92.0,87.3,83.9,49.2,95.2,95.9,80.5,89.7,95.3,74.5,100,73.7,81.8
70,31,1mAh,35,input_1mAh_8_AMS,83.5,B,49,54,False,standard,85:15,85.0,18.1,22.072302449878134,0.022392,80.8,161.5,551.2,input_1mAh_8_AMS,82.2,77.0,68.2,76.9,43.9,94.8,86.2,86.1,100,77.9,81.8,100,68.6,100
71,13,6mAh,14,input_6mAh_real40_7,83.4,B,50,54,False,bimodal,82:18,82.0,115.27,17.192344893899037,0.032058,359.6,155.8,554.2,input_6mAh_rveX_7,78.5,75.5,75.8,78.9,82.8,95.0,89.5,76.0,96.3,72.8,83.5,93.5,74.1,97.8
72,9,particulate,17,input_particulate_7,83.3,B,47,54,False,standard,62:38,62.0,136.11700000000002,6.612825671089462,0.667384,20.4,117.8,411.0,input_particulate_7,100,90.2,96.5,92.9,70.1,100,75.9,95.7,97.1,100,51.0,100,90.8,94.0
73,10,particulate,17,input_particulate_10,83.3,B,47,54,False,standard,62:38,62.0,134.71800000000002,5.6598741066753,0.663182,20.3,117.8,415.2,input_particulate_10,100,90.2,96.6,88.8,67.7,100,71.6,96.0,100,99.3,51.0,100,91.9,94.5
74,11,particulate,17,input_particulate_12,83.1,B,47,54,False,standard,82:18,82.0,97.6712,20.118260498590413,0.038432,254.1,155.8,534.7,input_particulate_12,77.4,74.0,79.4,79.5,80.7,100,82.7,79.5,100,72.0,77.8,100,73.7,100
75,12,particulate,17,input_particulate_12_S1,83.1,B,47,54,False,standard,82:18,82.0,97.2653,19.78490422391034,0.038519,252.5,155.8,536.9,input_particulate_12_seedX,78.5,75.1,79.1,78.8,81.7,100,83.0,79.6,100,69.5,77.8,100,73.5,98.3
76,13,particulate,17,input_particulate_12_S5,83.1,B,47,54,False,standard,82:18,82.0,96.2632,18.949865003551803,0.035561,270.7,155.8,542.5,input_particulate_12_seedX,78.9,74.5,77.6,80.3,84.2,100,83.9,78.4,100,70.5,77.9,100,74.1,98.1
77,18,8mAh,18,input_8mAh_real40_7,82.3,B,50,54,False,bimodal,82:18,82.0,151.304,17.141083789532274,0.031802,475.8,155.8,554.6,input_8mAh_rveX_7,77.7,75.2,77.0,79.8,71.3,95.2,89.5,72.2,96.2,72.1,82.5,92.3,73.8,98.0
78,14,particulate,17,input_particulate_12_S4,82.1,B,47,54,False,standard,82:18,82.0,97.6084,19.84156585124619,0.02983,327.2,155.8,536.5,input_particulate_12_seedX,78.6,74.5,76.1,78.6,81.5,100,83.0,76.3,100,70.4,77.8,100,73.1,98.1
79,32,1mAh,35,input_1mAh_100_11,80.7,B,49,54,False,standard,87:13,87.0,16.863099999999996,23.933158645970398,0.014485,116.4,165.3,557.8,input_1mAh_100_11,74.4,74.0,61.5,71.3,36.4,95.9,87.4,82.0,100,74.7,79.5,100,65.7,100
80,15,particulate,17,input_particulate_12_S3,80.2,B,47,54,False,standard,82:18,82.0,97.9075,20.439404697538656,0.019588,499.8,155.8,532.5,input_particulate_12_seedX,80.3,74.8,73.9,77.4,79.7,100,82.4,71.6,100,70.9,77.8,100,70.3,98.3
81,33,1mAh,35,input_1mAh_100_10,80.2,B,49,54,False,standard,82:18,82.0,20.2045,28.33529253043212,0.036389,55.5,155.8,479.7,input_1mAh_100_10,94.6,87.7,68.0,69.8,36.1,51.0,82.1,86.2,83.5,96.0,84.6,100,61.5,100
82,34,1mAh,35,input_1mAh_8_AMP,80.1,B,49,54,False,standard,85:15,85.0,18.85,24.497334329988362,0.020398,92.4,161.5,534.1,input_1mAh_8_AMP,87.5,83.0,67.6,75.3,37.5,47.6,87.0,84.5,81.3,89.3,87.8,100,70.7,100
83,16,particulate,17,input_particulate_1,77.1,B-,44,54,False,standard,62:38,62.0,91.64999999999999,16.823190745261396,0.22764867566839586,40.3,117.8,366.1,input_particulate_1,100,95.0,83.7,83.5,89.5,95.6,93.4,91.5,68.4,84.5,50.1,100,74.7,38.2
84,14,6mAh,14,input_6mAh_real_6,75.2,B-,49,54,False,standard,82:18,82.0,119.70599999999999,20.893570579949873,0.012472,959.8,155.8,529.5,input_6mAh_rveX_6,69.0,75.0,68.6,70.7,71.0,100,76.7,57.2,100,68.8,80.5,87.5,70.2,97.7
85,3,S_series,3,input_S_1,74.2,B-,44,54,False,standard,62:38,62.0,158.23300000000003,19.731598133134465,0.271741,58.2,117.8,353.3,input_S_1,100,94.7,89.1,89.0,62.1,95.1,88.6,90.1,15.4,78.5,49.8,100,75.0,12.3
86,17,particulate,17,input_particulate_4,72.8,B-,44,54,False,standard,62:38,62.0,161.06500000000003,21.226031881542774,0.260701,61.8,117.8,346.7,input_particulate_4,100,94.3,89.1,86.0,55.9,96.9,87.3,89.4,1.4,78.9,49.6,100,74.4,1.1
87,35,1mAh,35,input_1mAh_100_15,61.5,C,49,54,False,standard,87:13,87.0,19.1455,32.83834837743689,0.000881,2173.2,165.3,492.5,input_1mAh_100_15,91.1,85.0,40.0,66.6,32.5,47.5,81.4,27.9,80.1,100,84.7,100,34.5,100
