,model,force_softening,energy_softening,model,dataset
wbm-1-16938,grace,0.7903142595,-0.0023171222888890165,grace,mptrj
wbm-1-16983,grace,0.7459063349,-0.13464255137666684,grace,mptrj
wbm-1-17062,grace,0.8506571282000001,-0.10141950343222214,grace,mptrj
wbm-1-17125,grace,1.0196544258,-0.30144636699591837,grace,mptrj
wbm-1-17377,grace,0.8406248673000001,-0.015812384902000005,grace,mptrj
wbm-1-1791,grace,0.8829591724,-0.043519004007499994,grace,mptrj
wbm-1-1842,grace,1.0050445406,-0.36977591726000014,grace,mptrj
wbm-1-19025,grace,0.9669234011000001,-0.004739087779999984,grace,mptrj
wbm-1-19090,grace,0.8757527246,-0.16439626485000014,grace,mptrj
wbm-1-19173,grace,0.9663422555000001,-0.19256860758499988,grace,mptrj
wbm-1-19684,grace,1.0541154996,-0.027963052616666612,grace,mptrj
wbm-1-19969,grace,0.9171844309,-0.007994599668749913,grace,mptrj
wbm-1-20187,grace,0.8943525002,-0.0893990889216667,grace,mptrj
wbm-1-20692,grace,0.9970401398000001,-0.28083628592250004,grace,mptrj
wbm-1-2075,grace,0.836992434,-0.00985352220285703,grace,mptrj
wbm-1-21546,grace,0.65640011,0.00016448401500017694,grace,mptrj
wbm-1-21647,grace,0.7788082132,-0.06445235448000007,grace,mptrj
wbm-1-21918,grace,0.8187218638,-0.25094138749875,grace,mptrj
wbm-1-21974,grace,0.7990182743,-0.030070195760000057,grace,mptrj
wbm-1-22347,grace,1.0148403826,-0.05424641508400008,grace,mptrj
wbm-1-22912,grace,0.8673169637,-0.31023751907874997,grace,mptrj
wbm-1-23029,grace,0.7740460113000001,-0.09027003466166666,grace,mptrj
wbm-1-23533,grace,0.9728571187,-0.30727526398583316,grace,mptrj
wbm-1-23543,grace,1.0185822748,0.011838159495000023,grace,mptrj
wbm-1-23636,grace,0.8727886935,-0.0417288777375,grace,mptrj
wbm-1-24053,grace,0.9903462214000001,0.09202886838000005,grace,mptrj
wbm-1-24503,grace,0.9627773968000001,-0.07481003792749993,grace,mptrj
wbm-1-24761,grace,0.8894376757,-0.4074795480100001,grace,mptrj
wbm-1-25075,grace,1.0101335268,-0.282040750701,grace,mptrj
wbm-1-25396,grace,0.9553409373,-0.0037344656199998828,grace,mptrj
wbm-1-2557,grace,0.8475806199,-0.09732431461000006,grace,mptrj
wbm-1-25665,grace,0.93823356,-0.3602987013393751,grace,mptrj
wbm-1-25849,grace,0.9920113998000001,-0.394710772322,grace,mptrj
wbm-1-26263,grace,0.9970561055,-0.26572635194,grace,mptrj
wbm-1-26543,grace,0.604721896,0.1535937719475,grace,mptrj
wbm-1-26634,grace,1.0224611064,0.04491658286250004,grace,mptrj
wbm-1-2722,grace,0.8749214341,0.003014332346000046,grace,mptrj
wbm-1-27220,grace,1.0227762087,0.020946440750000052,grace,mptrj
wbm-1-27502,grace,1.0170808435,-0.02561478397750001,grace,mptrj
wbm-1-27566,grace,0.9665770436000001,-0.03198348488800004,grace,mptrj
wbm-1-28132,grace,1.0109790339,-0.17204902990499998,grace,mptrj
wbm-1-28162,grace,0.9558022401,-0.011888211214999878,grace,mptrj
wbm-1-28291,grace,0.9739384327,-0.009808539699999941,grace,mptrj
wbm-1-28599,grace,0.9671459562,-0.2659856223614286,grace,mptrj
wbm-1-29365,grace,0.7610029726,-0.0742519758300002,grace,mptrj
wbm-1-29807,grace,0.7307646835,-0.06978002863749974,grace,mptrj
wbm-1-30045,grace,0.9196026959,0.017628929005833172,grace,mptrj
wbm-1-30099,grace,0.9425541315,-0.10416219728666726,grace,mptrj
wbm-1-30230,grace,1.063778617,-0.22056295634499978,grace,mptrj
wbm-1-3078,grace,0.7836703217000001,-0.05127254937500005,grace,mptrj
wbm-1-30964,grace,0.7925255928,-0.2625558357850001,grace,mptrj
wbm-1-31348,grace,0.6247655267000001,-0.23858691751777789,grace,mptrj
wbm-1-31767,grace,0.8635775080000001,-0.33288820442666633,grace,mptrj
wbm-1-31797,grace,0.8180748994,-0.06199669141699985,grace,mptrj
wbm-1-31867,grace,0.6975914495000001,-0.15555974820178559,grace,mptrj
wbm-1-32076,grace,0.6861086357,-0.17142318060208325,grace,mptrj
wbm-1-32536,grace,1.0006596492,-0.2527579135662501,grace,mptrj
wbm-1-32556,grace,0.9661552976000001,-0.21124240066000005,grace,mptrj
wbm-1-32966,grace,4.7100768174,-0.32878230075999965,grace,mptrj
wbm-1-33026,grace,0.8669247297,0.003029578500000074,grace,mptrj
wbm-1-33224,grace,0.8162938433,-0.012035423730000005,grace,mptrj
wbm-1-34381,grace,0.912606487,-0.026620549499999858,grace,mptrj
wbm-1-34429,grace,1.0170719772,-0.19804422555666654,grace,mptrj
wbm-1-34519,grace,1.0071978253,-0.050315198878333335,grace,mptrj
wbm-1-34758,grace,0.9454087052000001,-0.03394416302833333,grace,mptrj
wbm-1-34857,grace,0.8675586150000001,-0.003959963762500162,grace,mptrj
wbm-1-35134,grace,0.8813854234,0.036025848896666685,grace,mptrj
wbm-1-3516,grace,0.7891443221000001,-0.001318172629166625,grace,mptrj
wbm-1-3535,grace,0.8664681428000001,-0.01956157456083325,grace,mptrj
wbm-1-35404,grace,0.9915328585000001,-0.04108868592428578,grace,mptrj
wbm-1-35738,grace,0.7263281963,-0.07670783451000016,grace,mptrj
wbm-1-36060,grace,0.8644402510000001,-0.06978316211124977,grace,mptrj
wbm-1-36191,grace,0.8245913652,-0.06853626352500006,grace,mptrj
wbm-1-36764,grace,0.9718750469,-0.3543768247987501,grace,mptrj
wbm-1-36839,grace,0.7618776639,-0.3799275379874999,grace,mptrj
wbm-1-36941,grace,0.9370910622,-0.9026439718069444,grace,mptrj
wbm-1-37204,grace,0.9781930189,-0.3480350735191666,grace,mptrj
wbm-1-37361,grace,1.0151804952,-0.3459754582575,grace,mptrj
wbm-1-37528,grace,0.842234617,-0.4515388557116668,grace,mptrj
wbm-1-37838,grace,0.9616998192,-0.4518521822133334,grace,mptrj
wbm-1-38418,grace,0.8326967593,-0.7972973292208336,grace,mptrj
wbm-1-38520,grace,0.8787266254,-0.4943858166400001,grace,mptrj
wbm-1-38808,grace,0.9482398660000001,-0.3500924952599999,grace,mptrj
wbm-1-39089,grace,1.0065466082,-0.7571816969337501,grace,mptrj
wbm-1-40024,grace,0.8623661641,-0.4442516549359998,grace,mptrj
wbm-1-40484,grace,0.9883606219000001,-0.4459516023966666,grace,mptrj
wbm-1-40953,grace,1.0715565263,-0.4067432840737501,grace,mptrj
wbm-1-41091,grace,0.9556858681,-0.840715225645,grace,mptrj
wbm-1-41383,grace,0.9226339610000001,-0.47829495807,grace,mptrj
wbm-1-41389,grace,0.8242291482,-0.45711152182545445,grace,mptrj
wbm-1-41515,grace,0.8918856220000001,-0.7708325406708334,grace,mptrj
wbm-1-41644,grace,0.9666292895,-0.3912914282301582,grace,mptrj
wbm-1-42383,grace,0.9657667073,-0.4254704403019997,grace,mptrj
wbm-1-42731,grace,0.9183973461,-0.42863636269222205,grace,mptrj
wbm-1-43066,grace,0.9917613213,-0.3934387320308333,grace,mptrj
wbm-1-43649,grace,0.9440414384,-0.4269153060024999,grace,mptrj
wbm-1-43796,grace,0.8482176837000001,-0.4099040450283333,grace,mptrj
wbm-1-44126,grace,1.0143029873,-0.33643769140299995,grace,mptrj
wbm-1-44340,grace,0.9339679641,-0.37781150416500003,grace,mptrj
wbm-1-44478,grace,1.0684640442,-0.6138542725711111,grace,mptrj
wbm-1-44580,grace,0.9736302686,-0.31332758023624996,grace,mptrj
wbm-1-44656,grace,0.8687060430000001,-0.4348208209124999,grace,mptrj
wbm-1-45122,grace,0.9526196636,-0.013861390175999943,grace,mptrj
wbm-1-45422,grace,0.7861289381000001,0.029374111162222032,grace,mptrj
wbm-1-45595,grace,1.1312931486,0.05511816051333357,grace,mptrj
wbm-1-45824,grace,0.7441424470000001,0.0022343850150003657,grace,mptrj
wbm-1-45844,grace,0.7575714237000001,0.007697389595238051,grace,mptrj
wbm-1-45939,grace,0.7335274378000001,-0.0631832966208331,grace,mptrj
wbm-1-45958,grace,0.8143257020000001,-0.023032294046666613,grace,mptrj
wbm-1-46061,grace,0.9180743211,-0.027481585456666482,grace,mptrj
wbm-1-46063,grace,0.9507805268,-0.04494618563916669,grace,mptrj
wbm-1-462,grace,0.8538254048,-0.012131020295000105,grace,mptrj
wbm-1-46216,grace,0.9130374914,-0.36989137087,grace,mptrj
wbm-1-4644,grace,0.9117987806000001,-0.033397448442727164,grace,mptrj
wbm-1-46479,grace,0.929562973,-0.04633206627916676,grace,mptrj
wbm-1-46897,grace,0.9382099475000001,-0.024548774095555437,grace,mptrj
wbm-1-47256,grace,0.8324715874,-0.06171789033999999,grace,mptrj
wbm-1-47271,grace,0.8288649827,0.02092230899249996,grace,mptrj
wbm-1-47332,grace,1.034691686,0.038269225282500006,grace,mptrj
wbm-1-47390,grace,1.0648782881,0.02133684373625,grace,mptrj
wbm-1-4748,grace,0.7877234535000001,-0.03921847559400021,grace,mptrj
wbm-1-47680,grace,0.9283003415000001,-0.018608421767999987,grace,mptrj
wbm-1-48045,grace,0.9662956964,-0.0022334777699999364,grace,mptrj
wbm-1-48387,grace,0.7590667554,-0.04949949329624985,grace,mptrj
wbm-1-48516,grace,0.7210180997000001,-0.05890631307500005,grace,mptrj
wbm-1-48844,grace,0.9431130280000001,-0.25119461942812504,grace,mptrj
wbm-1-48894,grace,1.009592542,-0.24388748067777785,grace,mptrj
wbm-1-48917,grace,0.9410633189000001,-0.25613587548750005,grace,mptrj
wbm-1-48956,grace,0.9858386413,-0.26694402997375005,grace,mptrj
wbm-1-4923,grace,0.9962749295000001,-0.20600706887000014,grace,mptrj
wbm-1-4926,grace,0.9450785268,-0.0455164569462501,grace,mptrj
wbm-1-49882,grace,0.9391626741,-0.31481275270444453,grace,mptrj
wbm-1-50042,grace,0.9534307883,-0.21073203202444427,grace,mptrj
wbm-1-5045,grace,0.7652683011,-0.11125037811333367,grace,mptrj
wbm-1-50475,grace,0.9910094102,-0.241490138576,grace,mptrj
wbm-1-5112,grace,0.9333698661000001,-0.10917572009799996,grace,mptrj
wbm-1-51210,grace,0.886789292,0.0016547950650001475,grace,mptrj
wbm-1-51562,grace,1.1199414403,-0.03043458803500023,grace,mptrj
wbm-1-51828,grace,0.8588765712,0.023753129597500068,grace,mptrj
wbm-1-51920,grace,0.9553559894,-0.030871767503333324,grace,mptrj
wbm-1-52323,grace,0.9053341808,-0.20892056624299996,grace,mptrj
wbm-1-5320,grace,0.8891417385,-0.00784243921249986,grace,mptrj
wbm-1-54021,grace,0.9244763854,0.002297897721999931,grace,mptrj
wbm-1-54211,grace,0.9799067903,-0.0012447739179999927,grace,mptrj
wbm-1-54223,grace,0.912324511,-0.015842383448000062,grace,mptrj
wbm-1-54845,grace,0.7963371602,0.07672111295714289,grace,mptrj
wbm-1-55055,grace,0.8198986999000001,-0.050590447716070894,grace,mptrj
wbm-1-55621,grace,0.8658172811,0.010322747723333235,grace,mptrj
wbm-1-55626,grace,0.9009965112,-0.021570387355000043,grace,mptrj
wbm-1-55839,grace,0.7870169314000001,0.03454400075370382,grace,mptrj
wbm-1-56095,grace,0.899251401,-0.03039788529499982,grace,mptrj
wbm-1-56442,grace,0.8931363871,-0.10748320102125,grace,mptrj
wbm-1-56596,grace,0.8176549934,-0.13313441914,grace,mptrj
wbm-1-56597,grace,1.0259297028,-0.016283967655000016,grace,mptrj
wbm-1-5673,grace,0.9318631942000001,-0.01287288046499988,grace,mptrj
wbm-1-5686,grace,0.7886699992,-0.14041638602199988,grace,mptrj
wbm-1-57622,grace,0.92888325,-0.1470518761233333,grace,mptrj
wbm-1-58300,grace,0.8846633461000001,-0.051310191216666766,grace,mptrj
wbm-1-58411,grace,1.0047836747,0.00275668137666667,grace,mptrj
wbm-1-58431,grace,0.8953067371000001,-0.042189131963333355,grace,mptrj
wbm-1-5891,grace,0.9703013742000001,-0.011844206945833028,grace,mptrj
wbm-1-59108,grace,0.7497497441000001,-0.07668489774249991,grace,mptrj
wbm-1-59510,grace,0.8828121702,-0.028372159262500318,grace,mptrj
wbm-1-59715,grace,0.9427979884000001,0.002403041107500048,grace,mptrj
wbm-1-59754,grace,0.9599281538000001,-0.2708129835290001,grace,mptrj
wbm-1-59925,grace,1.0426982433,-0.052314997159999994,grace,mptrj
wbm-1-60339,grace,0.9773104416,0.019248170384999996,grace,mptrj
wbm-1-60437,grace,0.8978545257,-0.025017116559999896,grace,mptrj
wbm-1-60536,grace,0.9274202483,-0.11655700904999998,grace,mptrj
wbm-1-61353,grace,0.9175303636000001,0.002670261152499953,grace,mptrj
wbm-1-61447,grace,0.8838355378,0.0042405030149999115,grace,mptrj
wbm-1-61492,grace,0.8592438851,-0.03028794733999991,grace,mptrj
wbm-1-61567,grace,0.8753164819,-0.03741384599250015,grace,mptrj
wbm-1-6677,grace,0.8557258435,-0.05549346047916733,grace,mptrj
wbm-1-6831,grace,1.0140291343,-0.5970563545072728,grace,mptrj
wbm-1-6877,grace,0.8075703993000001,-0.16131323472125025,grace,mptrj
wbm-1-7173,grace,0.7877480992,-0.2485449808899999,grace,mptrj
wbm-1-7275,grace,0.8246783631,-0.09225208432750005,grace,mptrj
wbm-1-7410,grace,0.6927129236,-0.26456055893333325,grace,mptrj
wbm-1-8359,grace,0.9254294452,-0.023994574924999946,grace,mptrj
wbm-1-8367,grace,0.9252518433,-0.03709314095166665,grace,mptrj
wbm-1-9075,grace,0.9418662339,-0.27936756210333347,grace,mptrj
wbm-1-9196,grace,0.9280496323,0.00431653396499998,grace,mptrj
wbm-1-9201,grace,0.8869622603,0.005754014807500018,grace,mptrj
wbm-1-987,grace,0.7396245487,-0.0323729149742856,grace,mptrj
wbm-1-9927,grace,0.9621172712,-0.372057550614,grace,mptrj
wbm-2-10245,grace,0.8936471770000001,-0.3727658871530001,grace,mptrj
wbm-2-10499,grace,0.9640687139,-0.4565103176822224,grace,mptrj
wbm-2-10810,grace,0.8333300464000001,-0.07312531803555564,grace,mptrj
wbm-2-10923,grace,0.8669519906,-0.03987579584999986,grace,mptrj
wbm-2-11068,grace,0.9728952381,-0.01707685705899998,grace,mptrj
wbm-2-11084,grace,0.8280430054,-0.05874919404599993,grace,mptrj
wbm-2-11128,grace,0.8628375762,-0.011729741473999838,grace,mptrj
wbm-2-11212,grace,0.8607224387,-0.012485415414545287,grace,mptrj
wbm-2-11382,grace,0.8530642468,-0.001623274598809843,grace,mptrj
wbm-2-1151,grace,0.8687809859000001,-0.007911060061666635,grace,mptrj
wbm-2-11618,grace,0.9378349218,-0.010380928033333308,grace,mptrj
wbm-2-11694,grace,0.9126321517,-0.029907120608750136,grace,mptrj
wbm-2-11991,grace,0.9538521044,-0.00506552152749995,grace,mptrj
wbm-2-12110,grace,0.9068139758,-0.16551188943333342,grace,mptrj
wbm-2-1217,grace,0.939763911,-0.07563899492500023,grace,mptrj
wbm-2-12245,grace,0.8877258123,-0.12265576294555558,grace,mptrj
wbm-2-12407,grace,0.7533170844,-0.10137440318000017,grace,mptrj
wbm-2-12899,grace,1.0083330471,-0.05068109653833333,grace,mptrj
wbm-2-13207,grace,0.8397248964,-0.014333407250000008,grace,mptrj
wbm-2-13474,grace,1.0058366746,-0.028770243687499964,grace,mptrj
wbm-2-13628,grace,1.0881849564,-0.05674481374166671,grace,mptrj
wbm-2-13632,grace,1.0345024834,-0.03438053596666671,grace,mptrj
wbm-2-13798,grace,0.9968740516000001,0.010175340843333202,grace,mptrj
wbm-2-13799,grace,0.8871742312,-0.03982439775208283,grace,mptrj
wbm-2-13911,grace,0.9473563481,-0.011931985780000164,grace,mptrj
wbm-2-14116,grace,0.9191314299000001,-0.026659799521666666,grace,mptrj
wbm-2-14733,grace,0.9428102455,-0.008922638299999975,grace,mptrj
wbm-2-14949,grace,0.8141782269000001,-0.039981322314166574,grace,mptrj
wbm-2-14980,grace,0.8571737149,-0.13634325972125003,grace,mptrj
wbm-2-15047,grace,1.1696155711,-0.309517979785,grace,mptrj
wbm-2-15398,grace,0.9227186220000001,-0.3402578894374999,grace,mptrj
wbm-2-15816,grace,1.0106432264,-0.2767730145340001,grace,mptrj
wbm-2-15882,grace,0.9560280326,-0.3273840143578123,grace,mptrj
wbm-2-16299,grace,0.8981378095,-0.3666015639625,grace,mptrj
wbm-2-16983,grace,0.8974622541,-0.03758888387199974,grace,mptrj
wbm-2-17344,grace,0.8436171193,-0.06780287319999986,grace,mptrj
wbm-2-1787,grace,0.8206003178,-0.03135141259285703,grace,mptrj
wbm-2-19108,grace,0.8838346654,-0.043381425896666735,grace,mptrj
wbm-2-19313,grace,0.8474196279,-0.003924248917777757,grace,mptrj
wbm-2-20028,grace,0.8510047401,-0.20279104446000012,grace,mptrj
wbm-2-20166,grace,0.9607812973000001,-0.027017050810909052,grace,mptrj
wbm-2-20256,grace,0.9877503288,-0.3036201210000002,grace,mptrj
wbm-2-20265,grace,0.3742029891,0.19349120621296292,grace,mptrj
wbm-2-20392,grace,1.0068890784,-0.06274745824749992,grace,mptrj
wbm-2-20448,grace,0.8829747673,0.01540642820374991,grace,mptrj
wbm-2-20797,grace,0.8422838236,-0.046438776366666684,grace,mptrj
wbm-2-21074,grace,0.8694254645,-0.009383398508000126,grace,mptrj
wbm-2-21198,grace,0.9320204064000001,-0.28404476119166666,grace,mptrj
wbm-2-21508,grace,0.8737050928000001,-0.14824739162874995,grace,mptrj
wbm-2-21597,grace,0.9182776252,-0.17747186660900002,grace,mptrj
wbm-2-21693,grace,0.8113750824,-0.16899609958416661,grace,mptrj
wbm-2-21990,grace,0.9208164918,-0.42886044700375,grace,mptrj
wbm-2-22192,grace,1.0348404205,-0.03162418749000011,grace,mptrj
wbm-2-2223,grace,0.9425239975,-0.006856648775000036,grace,mptrj
wbm-2-22928,grace,0.9188692317,-0.04957923980178558,grace,mptrj
wbm-2-22992,grace,0.8940948621,-0.21879861626428562,grace,mptrj
wbm-2-2316,grace,0.9007278925000001,-0.07325797529250012,grace,mptrj
wbm-2-23452,grace,0.9377992565000001,-0.25093191894750005,grace,mptrj
wbm-2-23794,grace,1.0266424911,-0.008187149838571628,grace,mptrj
wbm-2-23880,grace,1.0778340162,0.026390257787500194,grace,mptrj
wbm-2-23973,grace,0.9834032346,-0.31895235743083333,grace,mptrj
wbm-2-24003,grace,1.0212238063,-0.00867974557714294,grace,mptrj
wbm-2-24061,grace,0.9139710672,-0.24969166216666672,grace,mptrj
wbm-2-24501,grace,0.9848966225,-0.24247377927699998,grace,mptrj
wbm-2-24549,grace,1.0394575516,-0.05719161195249996,grace,mptrj
wbm-2-24887,grace,0.9263180201000001,-0.22880046421999997,grace,mptrj
wbm-2-25039,grace,0.8643957999999999,-9.293637000005183e-05,grace,mptrj
wbm-2-25087,grace,0.9670736222,-0.03414548467999987,grace,mptrj
wbm-2-25091,grace,0.8016809821,0.027937953604166548,grace,mptrj
wbm-2-25182,grace,0.9942915816000001,-0.02384877853624996,grace,mptrj
wbm-2-25748,grace,0.7490132269,-0.09586398613099988,grace,mptrj
wbm-2-25883,grace,0.9271176804000001,-0.030200739629999963,grace,mptrj
wbm-2-26027,grace,0.9207924566000001,-0.033274610553333396,grace,mptrj
wbm-2-26175,grace,0.8985620899000001,-3.0342189999998938e-05,grace,mptrj
wbm-2-26205,grace,0.6519498671,0.15062419742500027,grace,mptrj
wbm-2-26262,grace,0.8600089879,-0.0512592540419752,grace,mptrj
wbm-2-26500,grace,1.035250494,-0.008260828933333167,grace,mptrj
wbm-2-26676,grace,0.9840179919,-0.1986071285959999,grace,mptrj
wbm-2-2669,grace,0.841420248,0.012576093647222168,grace,mptrj
wbm-2-27233,grace,0.5820176516000001,0.05688792848666667,grace,mptrj
wbm-2-27460,grace,0.8503772682,-0.027574382455454582,grace,mptrj
wbm-2-27581,grace,0.7372366277,-0.02690285178000013,grace,mptrj
wbm-2-27803,grace,0.9517913018,0.011844136767777829,grace,mptrj
wbm-2-27955,grace,0.98206562,-0.007258732556944401,grace,mptrj
wbm-2-28151,grace,0.7692854102000001,-0.026340848037499764,grace,mptrj
wbm-2-28311,grace,0.7904483164,-0.06437645997685178,grace,mptrj
wbm-2-28628,grace,0.8852516574,-0.31073581454199994,grace,mptrj
wbm-2-28666,grace,0.8332147247,-0.05502006224300018,grace,mptrj
wbm-2-29064,grace,0.7376662276,-0.28858004633799983,grace,mptrj
wbm-2-29551,grace,0.6785010332,-0.004446199115000008,grace,mptrj
wbm-2-29590,grace,0.6101114259,-0.17372506501125,grace,mptrj
wbm-2-2973,grace,0.9138264978,-0.008367007788750058,grace,mptrj
wbm-2-30232,grace,0.9220204696000001,-0.03347336612875005,grace,mptrj
wbm-2-30753,grace,0.9011201383,0.06502911998333337,grace,mptrj
wbm-2-31075,grace,0.7887628342,-0.06547322045250006,grace,mptrj
wbm-2-31128,grace,0.8064443524,0.0005682796211110662,grace,mptrj
wbm-2-31420,grace,0.9950411443,-0.037077700850833395,grace,mptrj
wbm-2-31514,grace,0.8505759059,0.03017708562000001,grace,mptrj
wbm-2-31515,grace,0.9051486623,-0.03120482361444448,grace,mptrj
wbm-2-31561,grace,1.0053470983,0.001788925240000034,grace,mptrj
wbm-2-31795,grace,0.8900324951,-0.01917992560833331,grace,mptrj
wbm-2-32099,grace,0.9603966724,-0.008146297976666498,grace,mptrj
wbm-2-32354,grace,0.9063085209,-0.015093189531250006,grace,mptrj
wbm-2-32386,grace,0.894324361,-0.008306221507499956,grace,mptrj
wbm-2-32777,grace,0.9300489954000001,-0.03407960179166659,grace,mptrj
wbm-2-32910,grace,0.7744590443,0.007482187556666394,grace,mptrj
wbm-2-33373,grace,0.860935463,-0.21533678242555546,grace,mptrj
wbm-2-33421,grace,0.9582219068000001,-0.38794836204200017,grace,mptrj
wbm-2-34088,grace,1.1376051103,-0.7332329931339998,grace,mptrj
wbm-2-3424,grace,0.941029879,-0.00580706642166664,grace,mptrj
wbm-2-34474,grace,0.9092399546000001,-0.4000755735725,grace,mptrj
wbm-2-34818,grace,0.8607051912,-1.0001780095641666,grace,mptrj
wbm-2-34985,grace,0.8965745001000001,-1.1986527500191666,grace,mptrj
wbm-2-35177,grace,0.9282515133,-0.4274614701454546,grace,mptrj
wbm-2-35202,grace,0.9125141765,-0.7575359355606054,grace,mptrj
wbm-2-35598,grace,0.8525395801000001,-0.5468422777360002,grace,mptrj
wbm-2-35958,grace,0.9919859403000001,-0.40081625685699984,grace,mptrj
wbm-2-36105,grace,0.9700785761,-0.40732865080299996,grace,mptrj
wbm-2-36320,grace,1.0158085807,-0.4598361670554544,grace,mptrj
wbm-2-36499,grace,1.020046234,-0.4562063560254542,grace,mptrj
wbm-2-36606,grace,0.9637841553000001,-1.3584661081266665,grace,mptrj
wbm-2-37493,grace,0.7950245425,-0.4629979968966668,grace,mptrj
wbm-2-37746,grace,0.9262246077,-0.03504877317900011,grace,mptrj
wbm-2-38,grace,0.818910314,-0.13061305591666658,grace,mptrj
wbm-2-38123,grace,0.8908102572000001,-0.12561218568222227,grace,mptrj
wbm-2-38626,grace,1.0303822806,-0.10853519296999999,grace,mptrj
wbm-2-38768,grace,0.9036122756,-0.03209478470333344,grace,mptrj
wbm-2-38824,grace,1.0507774428,0.038841160709999954,grace,mptrj
wbm-2-39093,grace,0.7836364976,-0.20267318019500022,grace,mptrj
wbm-2-39277,grace,0.8473610245000001,-0.0653737249490739,grace,mptrj
wbm-2-39858,grace,0.9748520610000001,-0.008333599120833238,grace,mptrj
wbm-2-3987,grace,0.8608914084,-0.237184597874,grace,mptrj
wbm-2-40383,grace,0.7727705119,-0.11003672233800003,grace,mptrj
wbm-2-40651,grace,0.9152843287,-0.019654194374285693,grace,mptrj
wbm-2-40707,grace,0.913589151,0.0013209086590000396,grace,mptrj
wbm-2-4091,grace,0.7986037523,-0.013191096983333496,grace,mptrj
wbm-2-40954,grace,0.853589013,-0.021042742832500006,grace,mptrj
wbm-2-41053,grace,0.8756033204,-0.02733981436499988,grace,mptrj
wbm-2-4187,grace,0.8149693596,-0.08631207934285728,grace,mptrj
wbm-2-42127,grace,0.9039590545,-0.29038598273500005,grace,mptrj
wbm-2-42209,grace,0.9086711957,-0.35864564172749996,grace,mptrj
wbm-2-42382,grace,0.9747737449,-0.26431755748749985,grace,mptrj
wbm-2-44123,grace,0.9645800431,-0.03876787880333323,grace,mptrj
wbm-2-44195,grace,0.7687693785,-0.13798607447000003,grace,mptrj
wbm-2-44473,grace,0.9212785399000001,-0.02862556618625005,grace,mptrj
wbm-2-44832,grace,0.8061930468,-0.2520420580225,grace,mptrj
wbm-2-44888,grace,0.9369468985,-0.2806695267491667,grace,mptrj
wbm-2-45158,grace,0.9162345323000001,-0.13439394453749998,grace,mptrj
wbm-2-45183,grace,0.6366803456,-0.10042588584000024,grace,mptrj
wbm-2-45365,grace,0.6307815174,-0.07438443299999983,grace,mptrj
