formula,run_type,mp_anion_correction,mp_e_form_uncorrected,omat_e_form_uncorrected,mp_e_form_corrected,omat_e_form_corrected,omat_anion_correction,mp_ggau_correction,omat_ggau_correction,exp_energy,uncertainty
Au,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ba,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ba(HO)2,GGA,-0.27480000000000004,-1.7833905505000005,-1.7841806114999996,-2.0581905505,-2.0473806114999995,-0.2632,0.0,0.0,,
Ba(NO3)2,GGA,-0.45799999999999996,-1.132573211111111,-1.1358403186111115,-1.590573211111111,-1.574506985277778,-0.4386666666666667,0.0,0.0,,
Ba2SiO4,GGA,-0.3925714285714286,-2.9694071717857144,-2.971434062857143,-3.361978600357143,-3.347434062857143,-0.376,0.0,0.0,,
BaAl2O4,GGA,-0.3925714285714286,-3.055580091071429,-3.0641638039285715,-3.448151519642857,-3.440163803928571,-0.376,0.0,0.0,-3.4412336478692205,0.011696818612067311
BaBr2,GGA,-0.35600000000000004,-2.2247274016666667,-2.352634275,-2.5807274016666666,-2.5639676083333334,-0.21133333333333335,0.0,0.0,-2.6176690395166164,0.005873086138548565
BaCO3,GGA,-0.4122,-2.271420472,-2.279135717999999,-2.683620472,-2.6739357179999983,-0.39480000000000004,0.0,0.0,,
BaCl2,GGA,-0.4093333333333333,-2.558903613333334,-2.55732768,-2.9682369466666665,-2.955994346666667,-0.39866666666666667,0.0,0.0,-2.9661054210904947,
BaF2,GGA,-0.308,-3.8559760549999993,-3.866164655,-4.163976054999999,-4.156831321666666,-0.2906666666666667,0.0,0.0,-4.1759715299011555,
BaH2,GGA,-0.11933333333333333,-0.4870417291666668,-0.4831169741666663,-0.6063750625000003,-0.5984503074999997,-0.11533333333333333,0.0,0.0,-0.6466666666666666,
BaI2,GGA,-0.25266666666666665,-1.7980394158333333,-1.9039379116666666,-2.0507060824999996,-2.033271245,-0.12933333333333333,0.0,0.0,-2.091595985547509,
BaMoO4,GGA+U,-0.458,-1.6628874575000008,-1.7250937541666669,-2.6545541241666677,-2.6585937541666667,-0.4386666666666667,-0.5336666666666666,-0.4948333333333333,-2.6192236799650557,0.011573434449492761
BaO,GGA,-0.3435,-2.4801447624999997,-2.4801813824999996,-2.8236447624999994,-2.8091813824999994,-0.329,0.0,0.0,-2.840328099298649,0.010882483139075283
BaO2,GGA,-0.31,-1.8601940333333336,-1.862236928333333,-2.1701940333333334,-2.1509035949999995,-0.2886666666666667,0.0,0.0,-2.191352080989032,0.04042065165942248
BaS,GGA,-0.2515,-2.0785412015624996,-2.07714552171875,-2.3300412015624996,-2.3206455217187503,-0.2435,0.0,0.0,-2.402437706321572,0.017101044932832585
BaSO4,GGA,-0.5418333333333334,-2.2492712488541673,-2.2534397576562504,-2.7911045821875002,-2.7732730909895835,-0.5198333333333334,0.0,0.0,,
BaSiO3,GGA,-0.4122,-2.9697829794999997,-2.9741606774999996,-3.3819829794999996,-3.3689606774999987,-0.39480000000000004,0.0,0.0,,
BaV2O6,GGA+U,-0.4580000000000001,-1.8579248914814814,-1.8584707931481486,-2.693702669259259,-2.699359682037038,-0.4386666666666667,-0.37777777777777777,-0.4022222222222222,-2.6279181506211424,0.007715622966328507
Be,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Be(HO)2,GGA,-0.27480000000000004,-1.7249397830000006,-1.7265387685,-1.9997397830000003,-1.9897387684999999,-0.2632,0.0,0.0,,
Be2SiO4,GGA,-0.39257142857142857,-2.7840525011904758,-2.786156424523809,-3.1766239297619046,-3.16215642452381,-0.37600000000000006,0.0,0.0,,
Be3N2,GGA,-0.1444,-1.0736659265000008,-1.0727228082499998,-1.218065926500001,-1.1943228082499993,-0.1216,0.0,0.0,-1.2193977821378696,
BeAl2O4,GGA,-0.3925714285714286,-2.960346825357143,-2.9675589228571426,-3.3529182539285713,-3.343558922857142,-0.376,0.0,0.0,-3.4071796189986445,0.008735598710278118
BeAl6O10,GGA,-0.4041176470588236,-2.9910552499264713,-3.00101652382353,-3.395172896985295,-3.3880753473529417,-0.3870588235294118,0.0,0.0,-3.4288052337520054,0.0060966292095659845
BeBr2,GGA,-0.35600000000000004,-1.0433032750000002,-1.1740677991666668,-1.399303275,-1.3854011325000002,-0.21133333333333335,0.0,0.0,-1.2285114299222764,0.04352993255630113
BeCl2,GGA,-0.4093333333333333,-1.4281337333333333,-1.4263725458333332,-1.8374670666666664,-1.8250392125,-0.39866666666666667,0.0,0.0,-1.7142502011457637,0.01140069662188839
BeF2,GGA,-0.30800000000000005,-3.2442609677777785,-3.2463613152777784,-3.5522609677777783,-3.537027981944445,-0.2906666666666667,0.0,0.0,-3.5473440276833332,0.014509977518767044
BeH2,GGA,-0.11933333333333332,-0.04716493944444464,-0.04568844972222211,-0.16649827277777776,-0.16102178305555506,-0.11533333333333332,0.0,0.0,,
BeI2,GGA,-0.25266666666666665,-0.5769476916666667,-0.6824368525000001,-0.8296143583333336,-0.8117701858333334,-0.12933333333333333,0.0,0.0,,
BeO,GGA,-0.3435,-2.7593558025,-2.75682428875,-3.1028558024999997,-3.0858242887499996,-0.329,0.0,0.0,-3.1178780585585217,
BeS,GGA,-0.2515,-1.0567062240625003,-1.0595942954687496,-1.3082062240625003,-1.3030942954687497,-0.2435,0.0,0.0,-1.2141949187704262,
BeSO4,GGA,-0.5418333333333334,-1.8446629346875003,-1.8470113351562496,-2.3864962680208333,-2.3668446684895827,-0.5198333333333334,0.0,0.0,,
Bi,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Br,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
C,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ca,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ca(FeO2)2,GGA+U,-0.3925714285714286,-1.1337128807142858,-1.1431053428571434,-2.1708557378571425,-2.2116767714285723,-0.376,-0.6445714285714285,-0.6925714285714285,-2.1907859277885846,0.0
Ca(HO)2,GGA,-0.27480000000000004,-1.8908756200000005,-1.8921897539999997,-2.1656756200000005,-2.1553897539999993,-0.2632,0.0,0.0,,
Ca(NO3)2,GGA,-0.45799999999999996,-1.0649045655555558,-1.066778246666666,-1.5229045655555558,-1.5054449133333325,-0.4386666666666667,0.0,0.0,,
Ca2Fe2O5,GGA+U,-0.3816666666666667,-1.5731930836111114,-1.5383558627777782,-2.4561930836111117,-2.442578085000001,-0.3655555555555556,-0.5013333333333333,-0.5386666666666666,-2.4572531769480253,0.006218561793757304
Ca2P2O7,GGA,-0.43718181818181817,-2.7766086849242426,-2.780423986417749,-3.2137905031060607,-3.1991512591450215,-0.4187272727272727,0.0,0.0,,
Ca2SiO4,GGA,-0.3925714285714286,-3.084060556071429,-3.0894786321428573,-3.4766319846428573,-3.4654786321428572,-0.376,0.0,0.0,,
Ca2V2O7,GGA+U,-0.43718181818181817,-2.161803696363636,-2.1663043486363636,-2.9080764236363636,-2.9141225304545455,-0.4187272727272727,-0.3090909090909091,-0.3290909090909091,-2.9046336814840936,0.006312782426996052
Ca3(PO4)2,GGA,-0.42276923076923073,-2.9032220689102566,-2.910633819757326,-3.3259912996794876,-3.3155568966804023,-0.40492307692307694,0.0,0.0,,
Ca3Al2O6,GGA,-0.3747272727272728,-3.0234089510606066,-3.032019496098485,-3.39813622378788,-3.3909285870075756,-0.35890909090909096,0.0,0.0,-3.382049630104825,0.004334149128982363
Ca3N2,GGA,-0.1444,-0.7889944734999993,-0.7935985179999996,-0.9333944734999996,-0.9151985179999997,-0.1216,0.0,0.0,-0.8934,
Ca3Si2O7,GGA,-0.40075,-3.0615988833333336,-3.0674607425000002,-3.4623488833333336,-3.4512940758333333,-0.3838333333333333,0.0,0.0,-3.4051807955649367,0.010882483139075283
Ca3SiO5,GGA,-0.3816666666666667,-3.0369141448765427,-3.0430571056172835,-3.418580811543209,-3.4086126611728393,-0.3655555555555556,0.0,0.0,-3.372763663251184,0.009097525587163464
Ca3V2O8,GGA+U,-0.4227692307692308,-2.289392615384616,-2.2936711507692307,-2.9737003076923085,-2.977055766153846,-0.40492307692307694,-0.26153846153846155,-0.2784615384615385,-3.011777036958586,0.006696912700969405
Ca3WO6,GGA+U,-0.4122,-2.2004192295000005,-2.2184786764999997,-3.0564192295000003,-3.0482786765,-0.39480000000000004,-0.4438,-0.43499999999999994,-3.0398402901816954,0.016893759539707343
CaAl2O4,GGA,-0.39257142857142857,-3.061836531309523,-3.0712361408333324,-3.454407959880952,-3.447236140833333,-0.37600000000000006,0.0,0.0,-3.4437506847857415,0.0031092808968786524
CaAl4O7,GGA,-0.40075,-3.0632222058333336,-3.074049512916666,-3.463972205833333,-3.457882846249999,-0.3838333333333333,0.0,0.0,-3.4539792318631712,0.0028501741554720975
CaBr2,GGA,-0.35600000000000004,-2.0464107350000003,-2.1795906133333336,-2.402410735,-2.390923946666667,-0.21133333333333335,0.0,0.0,-2.3604520499440538,
CaCO3,GGA,-0.4122,-2.2761848470000006,-2.287677449999999,-2.6883848470000005,-2.682477449999998,-0.39480000000000004,0.0,0.0,,
CaCl2,GGA,-0.4093333333333333,-2.3940463983333338,-2.3960406366666667,-2.803379731666667,-2.794707303333334,-0.39866666666666667,0.0,0.0,-2.7479999999999998,
CaCr2O4,GGA+U,-0.3925714285714286,-1.7372396614285717,-1.7326866528571432,-2.7009539471428576,-2.6898295099999996,-0.376,-0.5711428571428572,-0.5811428571428571,-2.709072027151843,
CaF2,GGA,-0.308,-3.916281095,-3.9303878299999995,-4.224281094999999,-4.2210544966666665,-0.2906666666666667,0.0,0.0,-4.242333333333334,
CaGeO3,GGA,-0.41220000000000007,-2.337781945333334,-2.3401829673333334,-2.7499819453333343,-2.734982967333333,-0.39480000000000004,0.0,0.0,-2.6642391578387543,0.011193411228763148
CaH2,GGA,-0.11933333333333333,-0.5546799933333334,-0.5539119549999997,-0.6740133266666669,-0.669245288333333,-0.11533333333333333,0.0,0.0,-0.6,
CaI2,GGA,-0.25266666666666665,-1.641744593333333,-1.7478466166666669,-1.89441126,-1.8771799500000002,-0.12933333333333333,0.0,0.0,-1.8545375004563762,
CaMoO4,GGA+U,-0.458,-1.6479617808333344,-1.711531281666667,-2.6396284475000016,-2.645031281666667,-0.4386666666666667,-0.5336666666666666,-0.4948333333333333,-2.6705268147635532,0.005700348310944195
CaO,GGA,-0.3435,-2.9625156125,-2.967350675,-3.3060156124999995,-3.296350675,-0.329,0.0,0.0,-3.290137402380427,0.00414570786250487
CaS,GGA,-0.2515,-2.1484277215625,-2.1515671842187496,-2.3999277215625,-2.3950671842187496,-0.2435,0.0,0.0,-2.45218620067163,0.01969211234689813
CaSO4,GGA,-0.5418333333333334,-2.2110937080208335,-2.2163353555729164,-2.7529270413541664,-2.73616868890625,-0.5198333333333334,0.0,0.0,,
CaSe,GGA,-0.236,-2.0223177761718745,-2.02327659890625,-2.2583177761718742,-2.26027659890625,-0.237,0.0,0.0,-1.9080620437178661,0.1736015167423914
CaSi,GGA,0.0355,-0.5384676075000003,-0.5391161274999998,-0.5029676075000005,-0.5236161274999995,0.0155,0.0,0.0,-0.7804295051165416,0.047675640418805995
CaSiO3,GGA,-0.41220000000000007,-3.0358347406666675,-3.0414716455,-3.4480347406666683,-3.4362716454999997,-0.39480000000000004,0.0,0.0,,
CaV2O6,GGA+U,-0.45799999999999996,-1.8640590277777775,-1.8623382177777765,-2.699836805555556,-2.703227106666665,-0.4386666666666667,-0.37777777777777777,-0.40222222222222226,-2.6818123528337057,0.006218561793757304
CaWO4,GGA+U,-0.458,-1.5283959875000004,-1.5346331625000005,-2.726062654166667,-2.698299829166667,-0.4386666666666667,-0.7396666666666666,-0.725,,
Cd,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ce,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cl2,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Co,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Co2SiO4,GGA+U,-0.3925714285714286,-1.2758210967857144,-1.2798288746428566,-2.136392525357143,-2.2698288746428568,-0.376,-0.46799999999999997,-0.614,,
Co3O4,GGA+U,-0.3925714285714286,-0.12844263285714316,-0.2989383771428566,-1.2230140614285716,-1.5959383771428566,-0.376,-0.702,-0.921,-1.3473550553140825,0.006810805774115142
CoCO3,GGA+U,-0.4122,-0.931662437,-0.9427774879999994,-1.6714624369999995,-1.7673774879999988,-0.39480000000000004,-0.3276,-0.4298,,
CoF2,GGA+U,-0.308,-1.4976267083333337,-1.5085113316666667,-2.3516267083333333,-2.515511331666667,-0.2906666666666667,-0.5459999999999999,-0.7163333333333334,-2.319869024726683,0.031783760279203994
CoF3,GGA+U,-0.34650000000000003,-1.350656963125,-1.2783603399999999,-2.1066569631250003,-2.14261034,-0.327,-0.4095,-0.53725,-2.0478708592460144,
CoO,GGA+U,-0.3435,-0.08496561250000045,0.2442784025,-1.2474656125,-1.1592215975000002,-0.329,-0.819,-1.0745,-1.2317934486467592,0.003109280896878652
CoSO4,GGA+U,-0.5418333333333334,-1.0103966576041667,-0.8760907501562496,-1.8252299909375005,-1.7540907501562497,-0.5198333333333334,-0.27299999999999996,-0.3581666666666667,,
CoSeO3,GGA+U,-0.4122,-0.5758065530937501,-0.5692485848124995,-1.3156065530937497,-1.393848584812499,-0.39480000000000004,-0.3276,-0.4298,,
CoWO4,GGA+U,-0.458,-0.4518217983333332,-0.4657727491666665,-1.9224884649999996,-1.9876060825,-0.4386666666666667,-1.0126666666666666,-1.0831666666666666,,
Cr,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cr2(SO4)3,GGA+U,-0.5737058823529412,-1.2943292981985295,-1.296763399430147,-2.103211651139706,-2.086469281783088,-0.5504117647058824,-0.23517647058823532,-0.2392941176470588,,
Cr2CoO4,GGA+U,-0.3925714285714286,-0.9382820264285721,-0.9268739721428574,-2.135996312142858,-2.191016829285714,-0.376,-0.8051428571428572,-0.8881428571428571,-2.120745931584191,0.009921098828106467
Cr2CuO4,GGA+U,-0.3925714285714286,-0.9736526778571429,-0.9739872299999998,-1.937366963571429,-1.9311300871428563,-0.376,-0.5711428571428572,-0.5811428571428571,-1.9150682260283722,0.01110570764340276
Cr2FeO4,GGA+U,-0.3925714285714286,-0.8943891021428568,-0.8889343835714284,-2.180389102142857,-2.1923629549999992,-0.376,-0.8934285714285715,-0.9274285714285713,-2.1417727380557006,0.00740380509560184
Cr2NiO4,GGA+U,-0.3925714285714286,-0.7071753278571435,-0.6850770364285717,-2.033889613571429,-2.0106484650000005,-0.376,-0.9341428571428572,-0.9495714285714285,-2.0370829340038905,0.006219196280305547
Cr2O3,GGA+U,-0.4122,-1.1547877690000008,-1.1463169859999993,-2.366587769,-2.3547169859999997,-0.39480000000000004,-0.7996000000000001,-0.8135999999999999,-2.352067355792138,0.015546404484393261
CrF2,GGA+U,-0.308,-1.8501324916666662,-1.852361679999999,-2.8244658250000003,-2.8210283466666652,-0.2906666666666667,-0.6663333333333333,-0.6779999999999999,-2.6784727548333542,0.04042065165942248
CrF3,GGA+U,-0.34650000000000003,-2.195540496875,-2.1966458899999997,-3.0417904968750005,-3.0321458899999993,-0.327,-0.49975,-0.5085,-3.003047132901965,0.021764966278150565
CrO3,GGA+U,-0.51525,-0.4962073775000002,-0.5124038412499994,-1.5112073775,-1.5144038412499992,-0.49350000000000005,-0.49975,-0.5085,-1.520956572056474,0.028242634813314425
Cs,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cs2CO3,GGA,-0.34349999999999997,-1.724625125560345,-1.7331254658764366,-2.068125125560345,-2.062125465876436,-0.329,0.0,0.0,,
Cs2CrO4,GGA+U,-0.3925714285714286,-1.3928636376231534,-1.410475585036945,-2.0710064947660105,-2.077047013608373,-0.376,-0.2855714285714286,-0.29057142857142854,-2.1162358028136463,0.004886012837952167
Cs2MoO4,GGA+U,-0.3925714285714286,-1.3575140619088677,-1.413952466822659,-2.207514061908868,-2.214095323965516,-0.376,-0.4574285714285714,-0.4241428571428571,-2.2425318316249556,
Cs2O,GGA,-0.229,-0.9594128869540229,-0.9588347375862067,-1.1884128869540227,-1.17816807091954,-0.21933333333333335,0.0,0.0,-1.1966666666666665,
Cs2SO4,GGA,-0.46442857142857147,-1.8690358734267245,-1.8738958640994459,-2.3334644448552955,-2.3194672926708746,-0.44557142857142856,0.0,0.0,,
Cs2SiO3,GGA,-0.3435,-2.26615861125479,-2.2698136435153256,-2.60965861125479,-2.5988136435153257,-0.329,0.0,0.0,,
CsBr,GGA,-0.267,-1.7858959977155173,-1.8849659656896551,-2.0528959977155172,-2.043465965689655,-0.1585,0.0,0.0,-2.1008374593243424,0.00414570786250487
CsCl,GGA,-0.307,-1.9479501239655175,-1.9489882344396552,-2.2549501239655174,-2.247988234439655,-0.299,0.0,0.0,-2.294131088413632,0.002072853931252435
CsClO4,GGA,-0.458,-0.6481318675718395,-0.651816511479885,-1.1061318675718397,-1.0904831781465518,-0.4386666666666667,0.0,0.0,,
CsF,GGA,-0.231,-2.6115822852155173,-2.620140695689655,-2.842582285215517,-2.838140695689655,-0.218,0.0,0.0,-2.8743902715239544,
CsH,GGA,-0.0895,-0.1330880114655173,-0.13180629318965487,-0.22258801146551743,-0.2183062931896549,-0.0865,0.0,0.0,-0.2798352807190787,0.002072853931252435
CsI,GGA,-0.1895,-1.5459335264655174,-1.6274256031896552,-1.7354335264655176,-1.7244256031896552,-0.097,0.0,0.0,-1.7950915044646083,0.04352993255630113
CsNO2,GGA,-0.34349999999999997,-0.9278651057327588,-0.93231649617816,-1.2713651057327588,-1.2613164961781596,-0.329,0.0,0.0,,
CsNO3,GGA,-0.41220000000000007,-1.0052260289195412,-1.0099826204980837,-1.4174260289195406,-1.4047826204980842,-0.39480000000000004,0.0,0.0,,
CsO2,GGA,-0.10733333333333334,-0.8725140926436783,-0.8759984471264364,-0.9798474259770114,-0.9773317804597698,-0.10133333333333333,0.0,0.0,-0.9887513252074114,0.007254988759383522
Cu,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dy,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Er,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Eu,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
F2,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fe,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Fe2(SO4)3,GGA+U,-0.5737058823529412,-1.079877243786765,-1.0835380782536759,-1.9189948908455885,-1.9191263135477934,-0.5504117647058824,-0.26541176470588235,-0.2851764705882353,,
Fe2CoO4,GGA+U,-0.3925714285714286,-0.30494785785714285,-0.31742704500000024,-1.5760907149999994,-1.6929984735714296,-0.376,-0.8785714285714284,-0.9995714285714286,-1.6121045215163448,0.006811500687953692
Fe2O3,GGA+U,-0.4122,-0.392496457,-0.3181695480000002,-1.707096457,-1.6825695480000007,-0.39480000000000004,-0.9023999999999999,-0.9696,-1.7111471388106785,
Fe2SiO4,GGA+U,-0.3925714285714286,-1.264218653571429,-1.2473332200000005,-2.301361510714286,-2.3159046485714296,-0.376,-0.6445714285714285,-0.6925714285714285,,
Fe3O4,GGA+U,-0.3925714285714286,-0.2701598657142859,-0.23500455928571387,-1.629588437142857,-1.6498617021428572,-0.376,-0.9668571428571427,-1.038857142857143,-1.6596008878582442,
FeCO3,GGA+U,-0.4122,-0.9267851929999992,-0.7227929089999989,-1.7901851929999992,-1.6023929089999982,-0.39480000000000004,-0.45119999999999993,-0.4848,,
FeClO,GGA+U,-0.43366666666666664,-0.30729365499999933,-0.28289493416666645,-1.4929603216666656,-1.509561600833333,-0.4186666666666667,-0.7519999999999999,-0.8079999999999999,,
FeCuO2,GGA+U,-0.3435,-0.41361481624999996,-0.4089366174999993,-1.3211148162499997,-1.3439366174999998,-0.329,-0.564,-0.606,-1.3293532049153105,0.010883593490534707
FeF2,GGA+U,-0.308,-1.5321612033333334,-1.5360627583333333,-2.592161203333333,-2.6347294249999997,-0.2906666666666667,-0.7519999999999999,-0.8079999999999999,-2.4385088194819162,
FeF3,GGA+U,-0.34650000000000003,-1.7212233431250006,-1.7293900949999998,-2.6317233431250004,-2.6623900949999997,-0.327,-0.564,-0.606,-2.699425853321764,
FeMoO4,GGA+U,-0.458,-0.507519221666667,-0.570035841666666,-1.875185888333334,-1.9075358416666657,-0.4386666666666667,-0.9096666666666666,-0.8988333333333333,-1.8519807729990034,
FeSO4,GGA+U,-0.5418333333333334,-1.0242702946875006,-1.028299285572917,-1.9421036280208337,-1.9521326189062502,-0.5198333333333334,-0.37599999999999995,-0.40399999999999997,,
FeWO4,GGA+U,-0.458,-0.44903284333333343,-0.4657934800000009,-2.0226995100000003,-2.0334601466666675,-0.4386666666666667,-1.1156666666666666,-1.129,,
Ga,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ga2O3,GGA,-0.4122,-1.856796669,-1.8386020029999997,-2.268996668999999,-2.2334020029999997,-0.39480000000000004,0.0,0.0,-2.2614,
Ga2S3,GGA,-0.30179999999999996,-0.6624657478750002,-0.6560762960624998,-0.9642657478750003,-0.9482762960624995,-0.29219999999999996,0.0,0.0,-1.0702144847056319,0.026117959533780676
Ga2Se3,GGA,-0.2832,-0.5849470094062503,-0.5779339176874998,-0.8681470094062504,-0.8623339176875,-0.2844,0.0,0.0,-0.8473826870959954,0.026117959533780676
GaBr3,GGA,-0.4005,-0.8370509374999999,-0.973863169375,-1.2375509375,-1.211613169375,-0.23775000000000002,0.0,0.0,-1.001706662277739,0.006477668535163858
GaCl3,GGA,-0.4605,-1.107376575625,-1.0936605712499996,-1.5678765756250002,-1.5421605712499997,-0.4485,0.0,0.0,-1.3595330721601908,0.011918910104701499
GaF3,GGA,-0.34650000000000003,-2.5829436925,-2.573485333125,-2.9294436925,-2.900485333125,-0.327,0.0,0.0,-3.044625,
GaI3,GGA,-0.28425,-0.4998787225000001,-0.6131707243750002,-0.7841287225000002,-0.7586707243750004,-0.14550000000000002,0.0,0.0,-0.6200424321858846,0.03135191571019307
GaN,GGA,-0.1805,-0.4763168687499997,-0.462065836249999,-0.65681686875,-0.6140658362499991,-0.152,0.0,0.0,-0.5679619771631671,0.047675640418805995
GaS,GGA,-0.2515,-0.6517418890624995,-0.6411750504687497,-0.9032418890624996,-0.8846750504687497,-0.2435,0.0,0.0,-1.0841026060450234,0.09742413476886444
GaSb,GGA,-0.096,-0.15677407874999982,-0.14207933875000034,-0.2527740787499999,-0.23907933875000031,-0.097,0.0,0.0,-0.2274957189549547,0.008809629207822847
GaSe,GGA,-0.236,-0.591176344921875,-0.5791019664062502,-0.8271763449218748,-0.8161019664062499,-0.237,0.0,0.0,-0.8239594376728429,0.06529489883445169
GaTe,GGA,-0.211,-0.3640923537499998,-0.3550964183333334,-0.5750923537499997,-0.5640964183333335,-0.209,0.0,0.0,,
Gd,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ge,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ge3N4,GGA,-0.20628571428571427,-0.039824267142857854,-0.036782946428570336,-0.24610998142857252,-0.2104972321428562,-0.1737142857142857,0.0,0.0,-0.5882857142857143,
GeO2,GGA,-0.45799999999999996,-1.619072867222222,-1.6177818383333336,-2.0770728672222223,-2.0564485050000005,-0.4386666666666667,0.0,0.0,-1.9323333333333332,
