file,frame,n_atoms,formula,a,b,c,volume,energy_eV,free_energy_eV,step
1_LPSC_H-O_combined.xyz,58,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1206.23874342,-1206.23874342,500.0
1_LPSC_H-O_combined.xyz,59,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1195.44867333,-1195.44867333,3.5
1_LPSC_H-O_combined.xyz,60,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1197.50562925,-1197.50562925,4.0
1_LPSC_H-O_combined.xyz,61,280,Cl16H48Li96O24P16S80,19.8758,10.4685,31.0062,6451.454,-1197.4430679,-1197.4430679,
2_LPSnSC_H-O_combined.xyz,0,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1169.61453253,-1169.65749732,0.0
2_LPSnSC_H-O_combined.xyz,1,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.60802887,-1216.60802887,0.5
2_LPSnSC_H-O_combined.xyz,2,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.78075189,-1215.78075189,5.0
2_LPSnSC_H-O_combined.xyz,3,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1212.0999226,-1212.0999226,4.5
2_LPSnSC_H-O_combined.xyz,4,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.30940317,-1216.30940317,20.0
2_LPSnSC_H-O_combined.xyz,5,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.6990353,-1214.6990353,30.0
2_LPSnSC_H-O_combined.xyz,6,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.66040831,-1216.66040831,40.0
2_LPSnSC_H-O_combined.xyz,7,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.34950294,-1216.34950294,50.0
2_LPSnSC_H-O_combined.xyz,8,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.58444854,-1216.58444854,60.0
2_LPSnSC_H-O_combined.xyz,9,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.89839808,-1216.89839808,70.0
2_LPSnSC_H-O_combined.xyz,10,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.58284907,-1215.58284907,80.0
2_LPSnSC_H-O_combined.xyz,11,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.15736757,-1215.15736757,90.0
2_LPSnSC_H-O_combined.xyz,12,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1217.30399736,-1217.30399736,1.0
2_LPSnSC_H-O_combined.xyz,13,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.59162026,-1215.59162026,100.0
2_LPSnSC_H-O_combined.xyz,14,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.79488365,-1215.79488365,110.0
2_LPSnSC_H-O_combined.xyz,15,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.17627311,-1215.17627311,120.0
2_LPSnSC_H-O_combined.xyz,16,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.58959052,-1216.58959052,130.0
2_LPSnSC_H-O_combined.xyz,17,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.69186053,-1214.69186053,140.0
2_LPSnSC_H-O_combined.xyz,18,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.52443455,-1216.52443455,150.0
2_LPSnSC_H-O_combined.xyz,19,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.83080485,-1215.83080485,160.0
2_LPSnSC_H-O_combined.xyz,20,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.11713422,-1215.11713422,170.0
2_LPSnSC_H-O_combined.xyz,21,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.84336541,-1214.84336541,180.0
2_LPSnSC_H-O_combined.xyz,22,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.85467383,-1214.85467383,190.0
2_LPSnSC_H-O_combined.xyz,23,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.90725567,-1216.90725567,1.5
2_LPSnSC_H-O_combined.xyz,24,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.65380701,-1215.65380701,200.0
2_LPSnSC_H-O_combined.xyz,25,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.76861587,-1216.76861587,210.0
2_LPSnSC_H-O_combined.xyz,26,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.40713729,-1216.40713729,220.0
2_LPSnSC_H-O_combined.xyz,27,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.04356127,-1216.04356127,230.0
2_LPSnSC_H-O_combined.xyz,28,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.44211147,-1216.44211147,240.0
2_LPSnSC_H-O_combined.xyz,29,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.64779054,-1214.64779054,250.0
2_LPSnSC_H-O_combined.xyz,30,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.05323269,-1215.05323269,260.0
2_LPSnSC_H-O_combined.xyz,31,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.83592999,-1214.83592999,270.0
2_LPSnSC_H-O_combined.xyz,32,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.34764296,-1215.34764296,280.0
2_LPSnSC_H-O_combined.xyz,33,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1216.05835483,-1216.05835483,290.0
2_LPSnSC_H-O_combined.xyz,34,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1217.01306516,-1217.01306516,2.0
2_LPSnSC_H-O_combined.xyz,35,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.6863655,-1214.6863655,300.0
2_LPSnSC_H-O_combined.xyz,36,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.77367498,-1215.77367498,310.0
2_LPSnSC_H-O_combined.xyz,37,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1215.28745142,-1215.28745142,320.0
2_LPSnSC_H-O_combined.xyz,38,284,Cl16H48Li100O24P12S80Sn4,19.943,10.1366,31.2276,6312.791,-1214.68395887,-1214.68395887,330.0
