step_index,time_s,stepsize_s,raw_native_log_line
21,0.025,0.005,21       0.025       0.005 out   52   30   58     2     0      0  1.3e-10  6.3e-14
22,0.0275,0.0025,22      0.0275      0.0025 out   54   31   60     2     0      0  1.3e-10  1.5e-15
23,0.03,0.0025,23        0.03      0.0025 out   56   32   62     2     0      0  2.1e-10    6e-15
24,0.035,0.005,24       0.035       0.005 out   58   33   64     2     0      0  9.4e-11  5.3e-14
25,0.04,0.005,25        0.04       0.005 out   60   34   66     2     0      0    9e-11  4.5e-14
26,0.045,0.005,26       0.045       0.005 out   62   35   68     2     0      0  2.5e-11  7.3e-14
27,0.05,0.005,27        0.05       0.005 out   64   36   70     2     0      0  2.7e-10  5.7e-14
28,0.055,0.005,28       0.055       0.005 out   66   37   72     2     0      0  6.9e-10  5.4e-14
29,0.06,0.005,29        0.06       0.005 out   68   38   74     2     0      0  1.1e-10    5e-14
30,0.065,0.005,30       0.065       0.005 out   70   39   76     2     0      0    1e-10  4.6e-14
31,0.07,0.005,31        0.07       0.005 out   72   40   78     2     0      0  8.8e-11    3e-14
32,0.075,0.005,32       0.075       0.005 out   74   41   80     2     0      0    3e-10  2.9e-14
33,0.08,0.005,33        0.08       0.005 out   76   42   82     2     0      0  3.4e-10  2.6e-14
34,0.085,0.005,34       0.085       0.005 out   78   43   84     2     0      0  1.4e-10  2.4e-14
35,0.09,0.005,35        0.09       0.005 out   80   44   86     2     0      0  1.2e-10    2e-14
36,0.095,0.005,36       0.095       0.005 out   82   45   88     2     0      0  8.2e-11  1.5e-14
37,0.1,0.005,37         0.1       0.005 out   84   46   90     2     0      0  4.3e-10  1.3e-14
38,0.105,0.005,38       0.105       0.005 out   86   47   92     2     0      0    2e-10  1.2e-14
39,0.11,0.005,39        0.11       0.005 out   88   48   94     2     0      0  5.4e-11    1e-14
40,0.115,0.005,40       0.115       0.005 out   90   49   96     2     0      0  2.4e-10  7.3e-15
41,0.12,0.005,41        0.12       0.005 out   92   50   98     2     0      0    8e-10  6.5e-15
42,0.125,0.005,42       0.125       0.005 out   94   51  100     2     0      0  3.9e-10  6.5e-15
43,0.13,0.005,43        0.13       0.005 out   96   52  102     2     0      0  3.3e-10  5.3e-15
44,0.135,0.005,44       0.135       0.005 out   98   53  104     2     0      0  1.8e-10  3.9e-15
45,0.14,0.005,45        0.14       0.005 out  100   54  106     2     0      0  5.2e-11    6e-15
46,0.15,0.01,46        0.15        0.01 out  102   55  108     2     0      0  3.1e-11  7.3e-14
47,0.155,0.005,47       0.155       0.005 out  104   56  110     2     0      0  9.7e-12  1.9e-15
48,0.16,0.005,48        0.16       0.005 out  106   57  112     2     0      0  3.5e-10  5.9e-15
49,0.17,0.01,49        0.17        0.01 out  108   58  114     2     0      0    2e-10  4.4e-14
50,0.18,0.01,50        0.18        0.01 out  110   59  116     2     0      0  1.5e-10  3.3e-14
51,0.19,0.01,51        0.19        0.01 out  112   60  118     2     0      0  9.2e-11  4.6e-14
52,0.2,0.01,52         0.2        0.01 out  114   61  120     2     0      0  1.5e-10  4.2e-14
53,0.21,0.01,53        0.21        0.01 out  116   62  122     2     0      0    2e-10  3.7e-14
54,0.22,0.01,54        0.22        0.01 out  118   63  124     2     0      0  3.6e-11  2.4e-14
55,0.23,0.01,55        0.23        0.01 out  120   64  126     2     0      0  1.2e-10  2.1e-14
56,0.24,0.01,56        0.24        0.01 out  122   65  128     2     0      0  2.6e-10  1.9e-14
57,0.25,0.01,57        0.25        0.01 out  124   66  130     2     0      0  3.1e-10  1.2e-14
58,0.26,0.01,58        0.26        0.01 out  126   67  132     2     0      0  1.5e-10  1.1e-14
59,0.27,0.01,59        0.27        0.01 out  128   68  134     2     0      0  2.8e-10  9.4e-15
60,0.28,0.01,60        0.28        0.01 out  130   69  136     2     0      0  9.6e-11  5.7e-15
61,0.29,0.01,61        0.29        0.01 out  132   70  138     2     0      0    5e-11  5.5e-15
62,0.3,0.01,62         0.3        0.01 out  134   71  140     2     0      0  6.8e-10  5.2e-15
63,0.31,0.01,63        0.31        0.01 out  136   72  142     2     0      0  4.3e-11  3.2e-15
64,0.32,0.01,64        0.32        0.01 out  138   73  144     2     0      0  7.1e-11  3.5e-15
65,0.33,0.01,65        0.33        0.01 out  140   74  146     2     0      0    2e-10  2.8e-15
66,0.34,0.01,66        0.34        0.01 out  142   75  148     2     0      0  4.7e-10  2.1e-15
67,0.35,0.01,67        0.35        0.01 out  144   76  150     2     0      0  9.4e-11  2.4e-15
68,0.36,0.01,68        0.36        0.01 out  146   77  152     2     0      0  3.2e-10  1.9e-15
69,0.37,0.01,69        0.37        0.01 out  148   78  154     2     0      0  9.5e-11  1.6e-15
70,0.38,0.01,70        0.38        0.01 out  150   79  156     2     0      0  1.4e-10  9.1e-16
71,0.39,0.01,71        0.39        0.01 out  152   80  158     2     0      0  3.2e-10  7.7e-16
72,0.4,0.01,72         0.4        0.01 out  154   81  160     2     0      0  2.1e-10  6.8e-16
73,0.41,0.01,73        0.41        0.01 out  156   82  162     2     0      0  2.4e-10  8.7e-16
74,0.42,0.01,74        0.42        0.01 out  158   83  164     2     0      0    2e-10    5e-16
75,0.43,0.01,75        0.43        0.01 out  160   84  166     2     0      0  4.9e-10  1.3e-15
76,0.44,0.01,76        0.44        0.01 out  162   85  168     2     0      0  4.8e-10  9.1e-16
77,0.45,0.01,77        0.45        0.01 out  164   86  170     2     0      0  1.2e-10  4.4e-16
78,0.46,0.01,78        0.46        0.01 out  166   87  172     2     0      0  3.1e-10  6.3e-16
79,0.47,0.01,79        0.47        0.01 out  168   88  174     2     0      0    2e-10    1e-15
80,0.48,0.01,80        0.48        0.01 out  170   89  176     2     0      0  1.7e-10  9.2e-16
81,0.49,0.01,81        0.49        0.01 out  172   90  178     2     0      0    3e-10  4.4e-16
82,0.5,0.01,82         0.5        0.01 out  174   91  180     2     0      0  6.1e-11  1.1e-15
83,0.51,0.01,83        0.51        0.01 out  176   92  182     2     0      0  8.2e-11  9.8e-16
84,0.52,0.01,84        0.52        0.01 out  178   93  184     2     0      0  5.1e-11  2.2e-15
85,0.53,0.01,85        0.53        0.01 out  180   94  186     2     0      0  1.5e-10  6.9e-16
86,0.54,0.01,86        0.54        0.01 out  182   95  188     2     0      0  5.3e-12    6e-16
87,0.55,0.01,87        0.55        0.01 out  184   96  190     2     0      0    2e-10  4.8e-16
88,0.56,0.01,88        0.56        0.01 out  186   97  192     2     0      0  4.6e-12    5e-16
89,0.57,0.01,89        0.57        0.01 out  188   98  194     2     0      0  4.2e-12  5.1e-16
90,0.58,0.01,90        0.58        0.01 out  190   99  196     2     0      0  2.9e-10  7.6e-16
91,0.59,0.01,91        0.59        0.01 out  192  100  198     2     0      0  1.6e-10  6.2e-16
92,0.6,0.01,92         0.6        0.01 out  194  101  200     2     0      0    3e-10    1e-15
93,0.61,0.01,93        0.61        0.01 out  196  102  202     2     0      0    5e-10  7.8e-16
94,0.62,0.01,94        0.62        0.01 out  198  103  204     2     0      0  1.9e-10  8.6e-16
95,0.63,0.01,95        0.63        0.01 out  200  104  206     2     0      0  6.7e-11  7.2e-16
96,0.64,0.01,96        0.64        0.01 out  202  105  208     2     0      0  1.9e-10    1e-15
97,0.65,0.01,97        0.65        0.01 out  204  106  210     2     0      0    2e-10  5.1e-16
98,0.66,0.01,98        0.66        0.01 out  206  107  212     2     0      0    4e-10    9e-16
99,0.67,0.01,99        0.67        0.01 out  208  108  214     2     0      0  2.6e-10  5.2e-16
100,0.68,0.01,100        0.68        0.01 out  210  109  216     2     0      0  2.2e-10  5.7e-16
101,0.69,0.01,101        0.69        0.01 out  212  110  218     2     0      0    2e-10  6.7e-16
102,0.7,0.01,102         0.7        0.01 out  214  111  220     2     0      0  5.1e-11  5.2e-16
103,0.71,0.01,103        0.71        0.01 out  216  112  222     2     0      0  2.6e-10  5.3e-16
104,0.72,0.01,104        0.72        0.01 out  218  113  224     2     0      0  1.3e-10  1.2e-15
105,0.73,0.01,105        0.73        0.01 out  220  114  226     2     0      0  5.1e-10  6.9e-16
106,0.74,0.01,106        0.74        0.01 out  222  115  228     2     0      0  1.8e-10  7.1e-16
107,0.75,0.01,107        0.75        0.01 out  224  116  230     2     0      0  2.6e-10  1.1e-15
108,0.76,0.01,108        0.76        0.01 out  226  117  232     2     0      0  2.4e-10  6.4e-16
109,0.77,0.01,109        0.77        0.01 out  228  118  234     2     0      0  1.7e-10    1e-15
110,0.78,0.01,110        0.78        0.01 out  230  119  236     2     0      0  4.9e-10  9.5e-16
111,0.79,0.01,111        0.79        0.01 out  232  120  238     2     0      0    1e-10  8.4e-16
112,0.8,0.01,112         0.8        0.01 out  234  121  240     2     0      0    9e-11  7.1e-16
113,0.81,0.01,113        0.81        0.01 out  236  122  242     2     0      0  1.4e-11  5.6e-16
114,0.82,0.01,114        0.82        0.01 out  238  123  244     2     0      0  1.3e-10  4.9e-16
115,0.83,0.01,115        0.83        0.01 out  240  124  246     2     0      0  2.7e-10  4.2e-16
116,0.84,0.01,116        0.84        0.01 out  242  125  248     2     0      0  1.5e-10    7e-16
117,0.85,0.01,117        0.85        0.01 out  244  126  250     2     0      0  4.5e-10  1.3e-15
118,0.86,0.01,118        0.86        0.01 out  246  127  252     2     0      0  1.5e-10  9.2e-16
119,0.87,0.01,119        0.87        0.01 out  248  128  254     2     0      0  2.5e-12  5.6e-16
120,0.88,0.01,120        0.88        0.01 out  250  129  256     2     0      0    8e-11  3.5e-16
121,0.89,0.01,121        0.89        0.01 out  252  130  258     2     0      0  4.3e-11  7.6e-16
122,0.9,0.01,122         0.9        0.01 out  254  131  260     2     0      0  1.8e-10  4.5e-16
123,0.91,0.01,123        0.91        0.01 out  256  132  262     2     0      0  1.2e-10  1.6e-15
124,0.92,0.01,124        0.92        0.01 out  258  133  264     2     0      0  1.9e-10  6.6e-16
125,0.93,0.01,125        0.93        0.01 out  260  134  266     2     0      0  1.7e-11  5.1e-16
126,0.94,0.01,126        0.94        0.01 out  262  135  268     2     0      0  7.7e-12  5.1e-16
127,0.95,0.01,127        0.95        0.01 out  264  136  270     2     0      0  3.1e-10  1.5e-15
128,0.96,0.01,128        0.96        0.01 out  266  137  272     2     0      0  1.9e-11  1.4e-15
129,0.97,0.01,129        0.97        0.01 out  268  138  274     2     0      0  5.4e-12    9e-16
130,0.98,0.01,130        0.98        0.01 out  270  139  276     2     0      0  9.9e-12  4.8e-16
131,0.99,0.01,131        0.99        0.01 out  272  140  278     2     0      0  1.5e-10  5.7e-16
132,1.0,0.01,132           1        0.01 out  274  141  280     2     0      0    6e-11  5.7e-16
133,1.02,0.02,133        1.02        0.02 out  276  142  282     2     0      0  2.6e-11  4.5e-16
134,1.05,0.03,134        1.05        0.03 out  278  143  284     2     0      0  2.1e-10  4.9e-16
135,1.075,0.025,135       1.075       0.025 out  280  144  286     2     0      0  7.2e-10    4e-16
136,1.1,0.025,136         1.1       0.025 out  282  145  288     2     0      0    3e-10  5.6e-16
137,1.15,0.05,137        1.15        0.05 out  284  146  290     2     0      0  1.4e-10  9.3e-15
138,1.2,0.05,138         1.2        0.05 out  286  147  292     2     0      0  1.8e-11  8.5e-15
139,1.25,0.05,139        1.25        0.05 out  288  148  294     2     0      0  2.4e-10  1.3e-14
140,1.3,0.05,140         1.3        0.05 out  290  149  296     2     0      0  4.6e-11    1e-14
141,1.35,0.05,141        1.35        0.05 out  292  150  298     2     0      0  8.4e-11  9.7e-15
142,1.4,0.05,142         1.4        0.05 out  294  151  300     2     0      0    3e-10    9e-15
143,1.45,0.05,143        1.45        0.05 out  296  152  302     2     0      0  9.9e-12  5.9e-15
144,1.5,0.05,144         1.5        0.05 out  298  153  304     2     0      0  4.2e-10  5.1e-15
145,1.55,0.05,145        1.55        0.05 out  300  154  306     2     0      0  7.5e-11  4.5e-15
146,1.6,0.05,146         1.6        0.05 out  302  155  308     2     0      0  3.4e-10  3.6e-15
147,1.65,0.05,147        1.65        0.05 out  304  156  310     2     0      0  3.9e-11  2.8e-15
148,1.7,0.05,148         1.7        0.05 out  306  157  312     2     0      0  1.7e-11  2.6e-15
149,1.75,0.05,149        1.75        0.05 out  308  158  314     2     0      0  1.4e-10  2.4e-15
150,1.8,0.05,150         1.8        0.05 out  310  159  316     2     0      0  2.2e-10  2.2e-15
151,1.85,0.05,151        1.85        0.05 out  312  160  318     2     0      0  3.7e-10  1.9e-15
152,1.9,0.05,152         1.9        0.05 out  314  161  320     2     0      0  1.8e-10  1.9e-15
153,1.95,0.05,153        1.95        0.05 out  316  162  322     2     0      0  6.7e-11  1.4e-15
154,2.0,0.05,154           2        0.05 out  318  163  324     2     0      0  2.4e-10  1.4e-15
155,2.05,0.05,155        2.05        0.05 out  320  164  326     2     0      0  2.3e-10  1.2e-15
156,2.1,0.05,156         2.1        0.05 out  322  165  328     2     0      0  1.1e-11    1e-15
157,2.15,0.05,157        2.15        0.05 out  324  166  330     2     0      0  4.3e-10  9.1e-16
158,2.2,0.05,158         2.2        0.05 out  326  167  332     2     0      0    1e-10  7.9e-16
159,2.25,0.05,159        2.25        0.05 out  328  168  334     2     0      0  4.2e-10    1e-15
160,2.3,0.05,160         2.3        0.05 out  330  169  336     2     0      0  8.8e-11  8.4e-16
161,2.35,0.05,161        2.35        0.05 out  332  170  338     2     0      0  7.3e-11  8.1e-16
162,2.4,0.05,162         2.4        0.05 out  334  171  340     2     0      0  2.1e-10  6.3e-16
163,2.45,0.05,163        2.45        0.05 out  336  172  342     2     0      0  3.5e-10  3.8e-16
164,2.5,0.05,164         2.5        0.05 out  338  173  344     2     0      0  1.7e-10    3e-16
165,2.55,0.05,165        2.55        0.05 out  340  174  346     2     0      0  2.6e-10  5.4e-16
166,2.6,0.05,166         2.6        0.05 out  342  175  348     2     0      0  3.1e-10  6.9e-16
167,2.65,0.05,167        2.65        0.05 out  344  176  350     2     0      0  3.8e-10  4.5e-16
168,2.7,0.05,168         2.7        0.05 out  346  177  352     2     0      0    3e-10  3.4e-16
169,2.75,0.05,169        2.75        0.05 out  348  178  354     2     0      0  1.5e-10    4e-16
170,2.8,0.05,170         2.8        0.05 out  350  179  356     2     0      0  2.7e-10  4.5e-16
171,2.85,0.05,171        2.85        0.05 out  352  180  358     2     0      0  1.2e-10  4.5e-16
172,2.9,0.05,172         2.9        0.05 out  354  181  360     2     0      0  1.1e-10  4.9e-16
173,2.95,0.05,173        2.95        0.05 out  356  182  362     2     0      0  6.1e-11  2.8e-16
174,3.0,0.05,174           3        0.05 out  358  183  364     2     0      0  3.3e-10  4.6e-16
175,3.05,0.05,175        3.05        0.05 out  360  184  366     2     0      0    5e-11  5.4e-16
176,3.1,0.05,176         3.1        0.05 out  362  185  368     2     0      0  6.1e-11  2.8e-16
177,3.15,0.05,177        3.15        0.05 out  364  186  370     2     0      0  6.9e-12  3.6e-16
178,3.2,0.05,178         3.2        0.05 out  366  187  372     2     0      0  2.6e-10  3.3e-16
179,3.25,0.05,179        3.25        0.05 out  368  188  374     2     0      0  2.2e-10  2.8e-16
180,3.3,0.05,180         3.3        0.05 out  370  189  376     2     0      0  5.9e-10    3e-16
181,3.35,0.05,181        3.35        0.05 out  372  190  378     2     0      0  1.8e-10  7.5e-16
182,3.4,0.05,182         3.4        0.05 out  374  191  380     2     0      0  3.9e-11  2.4e-16
183,3.45,0.05,183        3.45        0.05 out  376  192  382     2     0      0  1.3e-10  2.8e-16
184,3.5,0.05,184         3.5        0.05 out  378  193  384     2     0      0  4.1e-10  3.7e-16
185,3.55,0.05,185        3.55        0.05 out  380  194  386     2     0      0  1.7e-10  3.9e-16
186,3.6,0.05,186         3.6        0.05 out  382  195  388     2     0      0  2.8e-11    4e-16
187,3.65,0.05,187        3.65        0.05 out  384  196  390     2     0      0  2.5e-11    4e-16
188,3.7,0.05,188         3.7        0.05 out  386  197  392     2     0      0  4.8e-10  2.7e-16
189,3.75,0.05,189        3.75        0.05 out  388  198  394     2     0      0  2.1e-10  3.8e-16
190,3.8,0.05,190         3.8        0.05 out  390  199  396     2     0      0  9.7e-11  6.8e-16
191,3.85,0.05,191        3.85        0.05 out  392  200  398     2     0      0  3.7e-10  5.5e-16
192,3.9,0.05,192         3.9        0.05 out  394  201  400     2     0      0  5.6e-11  8.9e-16
193,3.95,0.05,193        3.95        0.05 out  396  202  402     2     0      0  2.4e-10  3.7e-16
194,4.0,0.05,194           4        0.05 out  398  203  404     2     0      0  1.3e-10  4.1e-16
195,4.05,0.05,195        4.05        0.05 out  400  204  406     2     0      0  1.1e-10  6.7e-16
196,4.1,0.05,196         4.1        0.05 out  402  205  408     2     0      0  1.4e-10  2.6e-16
197,4.15,0.05,197        4.15        0.05 out  404  206  410     2     0      0  5.9e-10  2.6e-16
198,4.2,0.05,198         4.2        0.05 out  406  207  412     2     0      0  1.2e-10  3.1e-16
199,4.25,0.05,199        4.25        0.05 out  408  208  414     2     0      0  1.6e-10  4.8e-16
200,4.3,0.05,200         4.3        0.05 out  410  209  416     2     0      0    4e-11  3.3e-16
201,4.35,0.05,201        4.35        0.05 out  412  210  418     2     0      0  2.3e-10    4e-16
202,4.4,0.05,202         4.4        0.05 out  414  211  420     2     0      0    1e-10  3.6e-16
203,4.45,0.05,203        4.45        0.05 out  416  212  422     2     0      0  1.8e-10  3.3e-16
204,4.5,0.05,204         4.5        0.05 out  418  213  424     2     0      0  3.3e-11  3.3e-16
205,4.55,0.05,205        4.55        0.05 out  420  214  426     2     0      0  3.1e-10  2.9e-16
206,4.6,0.05,206         4.6        0.05 out  422  215  428     2     0      0  1.8e-10  5.1e-16
207,4.65,0.05,207        4.65        0.05 out  424  216  430     2     0      0  7.7e-11  3.2e-16
208,4.7,0.05,208         4.7        0.05 out  426  217  432     2     0      0  2.1e-11  3.7e-16
209,4.75,0.05,209        4.75        0.05 out  428  218  434     2     0      0  8.1e-11  7.3e-16
210,4.8,0.05,210         4.8        0.05 out  430  219  436     2     0      0  1.6e-11  4.5e-16
211,4.85,0.05,211        4.85        0.05 out  432  220  438     2     0      0  5.5e-11  3.2e-16
212,4.9,0.05,212         4.9        0.05 out  434  221  440     2     0      0  1.6e-10  2.8e-16
213,4.95,0.05,213        4.95        0.05 out  436  222  442     2     0      0  3.6e-10  4.8e-16
214,5.0,0.05,214           5        0.05 out  438  223  444     2     0      0  1.7e-10  3.6e-16
