step_index,time_s,stepsize_s,raw_native_log_line
119,0.66,0.01,119        0.66        0.01 out  248  128  254     2     0      0  2.6e-11  3.7e-16
120,0.67,0.01,120        0.67        0.01 out  250  129  256     2     0      0  3.3e-11  2.7e-16
121,0.68,0.01,121        0.68        0.01 out  252  130  258     2     0      0  6.1e-11  2.4e-16
122,0.69,0.01,122        0.69        0.01 out  254  131  260     2     0      0  5.3e-11  2.5e-16
123,0.7,0.01,123         0.7        0.01 out  256  132  262     2     0      0  2.1e-11  2.4e-16
124,0.71,0.01,124        0.71        0.01 out  258  133  264     2     0      0  7.6e-11  2.6e-16
125,0.72,0.01,125        0.72        0.01 out  260  134  266     2     0      0  1.3e-11  3.1e-16
126,0.73,0.01,126        0.73        0.01 out  262  135  268     2     0      0  1.7e-11  3.2e-16
127,0.74,0.01,127        0.74        0.01 out  264  136  270     2     0      0  3.1e-12  2.3e-16
128,0.75,0.01,128        0.75        0.01 out  266  137  272     2     0      0  1.2e-10  2.8e-16
129,0.76,0.01,129        0.76        0.01 out  268  138  274     2     0      0  5.6e-11  2.4e-16
130,0.77,0.01,130        0.77        0.01 out  270  139  276     2     0      0  3.2e-11  2.4e-16
131,0.78,0.01,131        0.78        0.01 out  272  140  278     2     0      0  1.1e-10  2.5e-16
132,0.79,0.01,132        0.79        0.01 out  274  141  280     2     0      0  5.5e-11  2.6e-16
133,0.8,0.01,133         0.8        0.01 out  276  142  282     2     0      0  1.1e-12    3e-16
134,0.81,0.01,134        0.81        0.01 out  278  143  284     2     0      0  4.4e-11  2.4e-16
135,0.82,0.01,135        0.82        0.01 out  280  144  286     2     0      0  5.8e-11  2.5e-16
136,0.83,0.01,136        0.83        0.01 out  282  145  288     2     0      0  1.4e-11  2.6e-16
137,0.84,0.01,137        0.84        0.01 out  284  146  290     2     0      0  3.8e-11  2.4e-16
138,0.85,0.01,138        0.85        0.01 out  286  147  292     2     0      0  1.4e-11  2.7e-16
139,0.86,0.01,139        0.86        0.01 out  288  148  294     2     0      0  1.7e-11  2.5e-16
140,0.87,0.01,140        0.87        0.01 out  290  149  296     2     0      0  8.4e-12  4.4e-16
141,0.88,0.01,141        0.88        0.01 out  292  150  298     2     0      0  4.5e-11  3.1e-16
142,0.89,0.01,142        0.89        0.01 out  294  151  300     2     0      0  6.3e-11  2.5e-16
143,0.9,0.01,143         0.9        0.01 out  296  152  302     2     0      0  5.1e-11  3.7e-16
144,0.91,0.01,144        0.91        0.01 out  298  153  304     2     0      0  1.6e-11  3.3e-16
145,0.92,0.01,145        0.92        0.01 out  300  154  306     2     0      0  3.3e-11  2.9e-16
146,0.93,0.01,146        0.93        0.01 out  302  155  308     2     0      0  3.8e-11  3.7e-16
147,0.94,0.01,147        0.94        0.01 out  304  156  310     2     0      0  1.5e-11  3.4e-16
148,0.95,0.01,148        0.95        0.01 out  306  157  312     2     0      0  6.9e-11  2.5e-16
149,0.96,0.01,149        0.96        0.01 out  308  158  314     2     0      0  1.2e-11  2.4e-16
150,0.97,0.01,150        0.97        0.01 out  310  159  316     2     0      0    1e-11  2.4e-16
151,0.98,0.01,151        0.98        0.01 out  312  160  318     2     0      0  6.6e-11  2.6e-16
152,0.99,0.01,152        0.99        0.01 out  314  161  320     2     0      0  9.6e-11  2.4e-16
153,1.0,0.01,153           1        0.01 out  316  162  322     2     0      0  6.8e-12  2.7e-16
154,1.02,0.02,154        1.02        0.02 out  318  163  324     2     0      0  4.8e-11  2.2e-16
155,1.05,0.03,155        1.05        0.03 out  320  164  326     2     0      0  8.7e-11  3.9e-16
156,1.1,0.05,156         1.1        0.05 out  322  165  328     2     0      0  1.8e-10  5.4e-15
157,1.15,0.05,157        1.15        0.05 out  324  166  330     2     0      0  3.1e-11  6.1e-15
