# Morse-fit smoothed binding curves from output/paper_figures_v1/binding_curves_v1_paper_figure.csv
# E_adh = D*(1-exp(-a*(d-d_eq)))^2 - D + offset, J/m^2
# Step 0.02 A, range matched to source CSV
gap_A,comp1,comp2,comp3,comp4,comp5
2.840,+0.112753,+0.106116,-0.219366,-0.173814,-0.187646
2.860,+0.113714,+0.106859,-0.218180,-0.173135,-0.186872
2.880,+0.114640,+0.107573,-0.217014,-0.172477,-0.186121
2.900,+0.115532,+0.108260,-0.215868,-0.171840,-0.185393
2.920,+0.116392,+0.108921,-0.214743,-0.171225,-0.184686
2.940,+0.117220,+0.109557,-0.213637,-0.170629,-0.184002
2.960,+0.118017,+0.110169,-0.212550,-0.170053,-0.183338
2.980,+0.118786,+0.110757,-0.211484,-0.169496,-0.182695
3.000,+0.119526,+0.111323,-0.210436,-0.168958,-0.182071
3.020,+0.120239,+0.111868,-0.209408,-0.168437,-0.181467
3.040,+0.120926,+0.112391,-0.208399,-0.167934,-0.180882
3.060,+0.121587,+0.112894,-0.207408,-0.167448,-0.180315
3.080,+0.122224,+0.113379,-0.206436,-0.166978,-0.179765
3.100,+0.122837,+0.113844,-0.205482,-0.166523,-0.179233
3.120,+0.123428,+0.114292,-0.204546,-0.166084,-0.178718
3.140,+0.123996,+0.114723,-0.203627,-0.165660,-0.178219
3.160,+0.124544,+0.115137,-0.202727,-0.165251,-0.177736
3.180,+0.125071,+0.115535,-0.201843,-0.164855,-0.177268
3.200,+0.125579,+0.115917,-0.200977,-0.164472,-0.176816
3.220,+0.126068,+0.116285,-0.200127,-0.164103,-0.176377
3.240,+0.126539,+0.116639,-0.199294,-0.163746,-0.175953
3.260,+0.126992,+0.116980,-0.198478,-0.163402,-0.175542
3.280,+0.127428,+0.117307,-0.197677,-0.163069,-0.175145
3.300,+0.127848,+0.117621,-0.196893,-0.162748,-0.174761
3.320,+0.128252,+0.117923,-0.196124,-0.162438,-0.174389
3.340,+0.128642,+0.118214,-0.195370,-0.162138,-0.174029
3.360,+0.129016,+0.118494,-0.194631,-0.161849,-0.173680
3.380,+0.129377,+0.118762,-0.193908,-0.161570,-0.173343
3.400,+0.129724,+0.119020,-0.193198,-0.161300,-0.173017
3.420,+0.130059,+0.119269,-0.192504,-0.161040,-0.172702
3.440,+0.130380,+0.119507,-0.191823,-0.160789,-0.172397
3.460,+0.130690,+0.119737,-0.191157,-0.160547,-0.172102
3.480,+0.130988,+0.119957,-0.190504,-0.160313,-0.171817
3.500,+0.131275,+0.120169,-0.189864,-0.160087,-0.171541
3.520,+0.131551,+0.120373,-0.189238,-0.159869,-0.171274
3.540,+0.131817,+0.120569,-0.188624,-0.159659,-0.171016
3.560,+0.132073,+0.120757,-0.188024,-0.159456,-0.170767
3.580,+0.132319,+0.120938,-0.187436,-0.159260,-0.170525
3.600,+0.132556,+0.121112,-0.186860,-0.159071,-0.170292
3.620,+0.132784,+0.121279,-0.186296,-0.158889,-0.170067
3.640,+0.133004,+0.121440,-0.185744,-0.158713,-0.169848
3.660,+0.133215,+0.121594,-0.185203,-0.158543,-0.169638
3.680,+0.133418,+0.121743,-0.184674,-0.158380,-0.169434
3.700,+0.133614,+0.121885,-0.184157,-0.158222,-0.169237
3.720,+0.133802,+0.122022,-0.183650,-0.158069,-0.169046
3.740,+0.133983,+0.122154,-0.183154,-0.157922,-0.168862
3.760,+0.134158,+0.122281,-0.182668,-0.157780,-0.168684
3.780,+0.134325,+0.122403,-0.182193,-0.157643,-0.168512
3.800,+0.134487,+0.122520,-0.181728,-0.157511,-0.168346
3.820,+0.134642,+0.122632,-0.181273,-0.157384,-0.168185
3.840,+0.134792,+0.122740,-0.180828,-0.157261,-0.168030
3.860,+0.134936,+0.122844,-0.180392,-0.157143,-0.167880
3.880,+0.135074,+0.122944,-0.179966,-0.157028,-0.167735
3.900,+0.135207,+0.123040,-0.179549,-0.156918,-0.167595
3.920,+0.135336,+0.123132,-0.179141,-0.156812,-0.167459
3.940,+0.135459,+0.123221,-0.178742,-0.156709,-0.167328
3.960,+0.135578,+0.123306,-0.178351,-0.156610,-0.167201
3.980,+0.135692,+0.123388,-0.177969,-0.156515,-0.167079
4.000,,,,,
