t_ps,b2o3_PS_remain_pct,b2o3_PS_std,mc2x_PS_remain_pct,mc2x_PS_std,b2o3_BS_remain_pct,b2o3_Li_ingress,mc2x_Li_ingress
17.2,91.03,1.81,88.03,1.21,100.00,4.0,1.7
17.4,91.03,1.81,88.03,1.21,100.00,4.3,2.3
17.6,91.03,1.81,88.03,1.21,100.00,4.7,2.7
17.8,91.03,1.81,88.03,1.21,100.00,4.7,2.7
18.0,91.03,1.81,88.03,1.21,100.00,3.7,3.0
18.2,91.03,1.81,88.03,1.21,100.00,4.0,2.7
18.4,91.03,1.81,88.03,1.21,100.00,4.7,2.7
18.6,91.03,1.81,88.03,1.21,100.00,4.7,3.0
18.8,91.03,1.81,87.18,2.09,100.00,4.3,3.0
19.0,91.03,1.81,87.18,2.09,100.00,3.0,3.0
19.2,91.03,1.81,87.18,2.09,100.00,3.7,3.0
19.4,91.03,1.81,87.18,2.09,100.00,4.0,3.3
19.6,91.03,1.81,87.18,2.09,100.00,4.7,3.3
19.8,91.03,1.81,87.18,2.09,100.00,4.7,3.7
20.0,91.03,1.81,87.18,2.09,100.00,4.3,3.0
20.2,91.03,1.81,87.18,2.09,100.00,4.0,3.0
20.4,91.03,1.81,87.18,2.09,100.00,4.0,3.0
20.6,91.03,1.81,87.18,2.09,100.00,3.7,3.3
20.8,91.03,1.81,87.18,2.09,100.00,3.7,4.0
21.0,91.03,1.81,87.18,2.09,100.00,3.3,4.3
21.2,91.03,1.81,87.18,2.09,100.00,4.3,4.3
21.4,91.03,1.81,87.18,2.09,100.00,4.7,4.3
21.6,91.03,1.81,87.18,2.09,100.00,4.0,4.0
21.8,91.03,1.81,87.18,2.09,100.00,3.3,4.0
22.0,91.03,1.81,87.18,2.09,100.00,3.3,3.3
22.2,91.03,1.81,87.18,2.09,100.00,3.0,3.0
22.4,91.03,1.81,87.18,2.09,100.00,3.7,2.7
22.6,91.03,1.81,86.32,1.21,100.00,3.0,3.3
22.8,91.03,1.81,87.18,2.09,100.00,3.7,3.3
23.0,91.03,1.81,86.32,1.21,100.00,5.0,3.3
23.2,91.03,1.81,86.32,1.21,100.00,4.7,3.3
23.4,91.03,1.81,86.32,1.21,100.00,4.0,3.3
23.6,91.03,1.81,85.47,2.42,100.00,4.0,3.7
23.8,89.74,1.81,85.47,2.42,100.00,4.0,4.0
24.0,89.74,1.81,85.47,2.42,100.00,3.7,3.7
24.2,89.74,1.81,85.47,2.42,100.00,3.3,3.7
24.4,89.74,1.81,85.47,2.42,100.00,2.7,3.7
24.6,89.74,1.81,85.47,2.42,100.00,4.3,4.0
24.8,89.74,1.81,85.47,2.42,100.00,3.7,3.7
25.0,89.74,1.81,85.47,2.42,100.00,4.7,3.7
25.2,89.74,1.81,85.47,2.42,100.00,4.7,3.7
25.4,89.74,1.81,85.47,2.42,100.00,4.3,4.0
25.6,89.74,1.81,84.62,2.09,100.00,5.3,4.3
25.8,89.74,1.81,85.47,2.42,100.00,5.3,4.3
26.0,89.74,1.81,85.47,2.42,100.00,5.0,4.3
26.2,89.74,1.81,85.47,2.42,100.00,5.3,4.0
26.4,89.74,1.81,85.47,2.42,100.00,4.7,3.7
26.6,89.74,1.81,84.62,3.63,100.00,3.0,3.7
26.8,89.74,1.81,84.62,3.63,100.00,3.0,3.3
27.0,89.74,1.81,84.62,3.63,100.00,4.0,3.3
27.2,89.74,1.81,83.76,3.20,100.00,3.7,4.3
27.4,89.74,1.81,83.76,3.20,100.00,3.7,4.3
27.6,89.74,1.81,83.76,3.20,100.00,3.3,4.7
27.8,89.74,1.81,83.76,3.20,100.00,2.7,4.3
28.0,89.74,1.81,83.76,3.20,100.00,2.7,3.7
28.2,89.74,1.81,83.76,3.20,100.00,3.0,4.3
28.4,89.74,1.81,83.76,3.20,100.00,3.7,4.0
28.6,89.74,1.81,83.76,3.20,100.00,3.7,4.7
28.8,89.74,1.81,83.76,3.20,100.00,3.3,4.0
29.0,89.74,1.81,83.76,3.20,100.00,3.7,5.0
29.2,89.74,1.81,83.76,3.20,100.00,3.3,5.0
29.4,89.74,1.81,83.76,3.20,100.00,3.3,5.3
29.6,89.74,1.81,83.76,3.20,100.00,3.3,5.3
29.8,89.74,1.81,83.76,3.20,100.00,3.7,5.0
30.0,89.74,1.81,83.76,3.20,100.00,3.7,5.3
30.2,89.74,1.81,83.76,3.20,100.00,3.7,5.3
30.4,89.74,1.81,83.76,3.20,100.00,3.0,5.0
30.6,89.74,1.81,83.76,3.20,100.00,3.0,5.0
30.8,89.74,1.81,83.76,3.20,100.00,4.7,4.0
31.0,89.74,1.81,83.76,3.20,100.00,5.0,4.0
31.2,89.74,1.81,83.76,3.20,100.00,3.3,4.0
31.4,89.74,1.81,83.76,3.20,100.00,4.0,4.3
31.6,89.74,1.81,83.76,3.20,100.00,3.3,4.0
31.8,89.74,1.81,83.76,3.20,100.00,3.3,4.3
32.0,89.74,1.81,83.76,3.20,100.00,3.0,3.7
32.2,89.74,1.81,82.91,4.36,100.00,3.3,3.7
32.4,88.46,0.00,83.76,3.20,100.00,3.3,3.7
32.6,88.46,0.00,83.76,3.20,100.00,3.0,4.0
32.8,88.46,0.00,83.76,3.20,100.00,3.0,4.0
33.0,88.46,0.00,83.76,3.20,100.00,3.7,4.3
33.2,88.46,0.00,83.76,3.20,100.00,4.0,4.3
33.4,88.46,0.00,83.76,3.20,100.00,4.0,4.0
33.6,88.46,0.00,83.76,3.20,100.00,3.3,4.0
33.8,88.46,0.00,83.76,3.20,100.00,3.7,3.3
34.0,88.46,0.00,83.76,3.20,100.00,3.3,3.7
34.2,88.46,0.00,83.76,3.20,100.00,3.7,4.0
34.4,88.46,0.00,83.76,3.20,100.00,3.3,4.7
34.6,88.46,0.00,83.76,3.20,100.00,3.7,4.0
34.8,88.46,0.00,83.76,3.20,100.00,3.7,4.0
35.0,88.46,0.00,83.76,3.20,100.00,4.3,4.7
35.2,88.46,0.00,83.76,3.20,100.00,4.0,4.7
35.4,88.46,0.00,83.76,3.20,100.00,4.0,4.0
35.6,88.46,0.00,83.76,3.20,100.00,3.7,3.3
35.8,88.46,0.00,83.76,3.20,100.00,4.0,3.3
36.0,88.46,0.00,83.76,3.20,100.00,4.0,3.7
36.2,88.46,0.00,83.76,3.20,100.00,3.7,3.3
36.4,88.46,0.00,83.76,3.20,100.00,4.0,3.3
36.6,88.46,0.00,83.76,3.20,100.00,4.7,3.7
36.8,88.46,0.00,83.76,3.20,100.00,4.7,3.3
37.0,88.46,0.00,82.91,2.42,100.00,5.0,3.7
37.2,88.46,0.00,83.76,3.20,100.00,4.7,4.0
37.4,88.46,0.00,83.76,3.20,100.00,4.0,3.7
37.6,88.46,0.00,83.76,3.20,100.00,4.3,4.3
37.8,88.46,0.00,83.76,3.20,100.00,4.3,4.7
38.0,88.46,0.00,83.76,3.20,100.00,4.7,4.3
38.2,88.46,0.00,83.76,3.20,100.00,4.7,4.7
38.4,88.46,0.00,83.76,3.20,100.00,4.7,4.3
38.6,88.46,0.00,82.91,4.36,100.00,4.3,4.0
38.8,87.18,1.81,83.76,3.20,100.00,5.0,4.0
39.0,87.18,1.81,83.76,3.20,100.00,4.7,4.0
39.2,87.18,1.81,83.76,3.20,100.00,4.7,3.7
39.4,87.18,1.81,83.76,3.20,100.00,4.7,4.0
39.6,87.18,1.81,83.76,3.20,100.00,4.0,3.7
39.8,87.18,1.81,83.76,3.20,100.00,3.7,4.0
40.0,87.18,1.81,82.91,4.36,100.00,4.7,4.0
40.2,87.18,1.81,82.91,4.36,100.00,4.7,4.0
40.4,87.18,1.81,82.91,4.36,100.00,4.7,4.0
40.6,87.18,1.81,82.91,4.36,100.00,5.0,4.0
40.8,87.18,1.81,82.91,4.36,100.00,5.0,4.3
41.0,87.18,1.81,82.91,4.36,100.00,5.7,5.0
41.2,87.18,1.81,82.91,4.36,100.00,5.3,5.0
41.4,87.18,1.81,82.91,4.36,100.00,5.3,4.3
41.6,87.18,1.81,82.91,4.36,100.00,6.0,5.0
41.8,87.18,1.81,82.91,4.36,100.00,6.7,4.7
42.0,85.90,1.81,82.91,4.36,100.00,7.0,4.0
42.2,85.90,1.81,82.91,4.36,100.00,7.3,4.3
42.4,87.18,1.81,82.91,4.36,100.00,6.7,4.7
42.6,85.90,1.81,82.91,4.36,100.00,6.7,4.7
42.8,85.90,1.81,82.91,4.36,100.00,7.0,4.3
43.0,84.62,0.00,82.91,4.36,100.00,6.7,4.0
43.2,85.90,1.81,82.91,4.36,100.00,6.7,4.7
43.4,85.90,1.81,82.05,3.63,100.00,6.3,4.7
43.6,85.90,1.81,82.05,3.63,100.00,6.3,5.0
43.8,85.90,1.81,82.05,3.63,100.00,6.3,5.0
44.0,84.62,0.00,82.05,3.63,100.00,7.0,5.3
44.2,85.90,1.81,82.05,3.63,100.00,7.3,4.3
44.4,85.90,1.81,82.05,3.63,100.00,6.3,5.0
44.6,85.90,1.81,82.05,3.63,100.00,6.7,5.7
44.8,85.90,1.81,82.05,3.63,100.00,6.0,5.0
45.0,85.90,1.81,82.05,3.63,100.00,6.0,5.7
45.2,85.90,1.81,82.05,3.63,100.00,5.0,5.3
45.4,85.90,1.81,82.05,3.63,100.00,5.0,4.7
45.6,85.90,1.81,82.05,3.63,100.00,6.0,5.3
45.8,85.90,1.81,82.05,3.63,100.00,6.7,4.3
46.0,85.90,1.81,82.05,3.63,100.00,5.7,4.3
46.2,85.90,1.81,82.05,3.63,100.00,5.0,4.3
46.4,85.90,1.81,82.05,3.63,100.00,5.3,5.0
46.6,85.90,1.81,82.05,3.63,100.00,5.3,5.7
46.8,85.90,1.81,82.05,3.63,100.00,5.7,5.0
47.0,85.90,1.81,82.05,3.63,100.00,4.7,4.3
47.2,85.90,1.81,82.05,3.63,100.00,4.7,4.0
47.4,85.90,1.81,82.05,3.63,100.00,5.7,5.3
47.6,84.62,3.14,82.05,3.63,100.00,6.0,5.3
47.8,84.62,3.14,82.05,3.63,100.00,6.3,5.0
48.0,84.62,3.14,82.05,3.63,100.00,6.0,4.7
48.2,84.62,3.14,82.05,3.63,100.00,6.3,5.0
48.4,84.62,3.14,82.05,3.63,100.00,6.7,4.7
48.6,83.33,1.81,82.05,3.63,100.00,6.0,5.0
48.8,83.33,1.81,82.05,3.63,100.00,6.3,5.0
49.0,83.33,1.81,82.05,3.63,100.00,7.3,5.0
49.2,83.33,1.81,82.05,3.63,100.00,7.3,5.3
49.4,83.33,1.81,82.05,3.63,100.00,6.7,5.0
49.6,83.33,1.81,82.05,3.63,100.00,5.3,5.0
49.8,83.33,1.81,82.05,3.63,100.00,6.0,4.7
50.0,83.33,1.81,82.05,3.63,100.00,7.0,5.0
50.2,83.33,1.81,82.05,3.63,100.00,6.0,5.3
50.4,83.33,1.81,82.05,3.63,100.00,5.7,4.7
50.6,83.33,1.81,82.05,3.63,100.00,5.3,4.7
50.8,83.33,1.81,82.05,3.63,100.00,5.3,5.0
51.0,83.33,1.81,82.05,3.63,100.00,5.3,4.7
51.2,83.33,1.81,82.05,3.63,100.00,5.3,4.7
51.4,83.33,1.81,82.05,3.63,100.00,6.0,4.7
51.6,83.33,1.81,82.05,3.63,100.00,6.3,4.7
51.8,83.33,1.81,82.05,3.63,100.00,5.3,4.7
52.0,83.33,1.81,81.20,3.20,100.00,5.7,4.7
52.2,83.33,1.81,81.20,3.20,100.00,6.0,4.7
52.4,83.33,1.81,81.20,3.20,100.00,5.7,4.7
52.6,83.33,1.81,81.20,3.20,100.00,5.7,4.7
52.8,83.33,1.81,81.20,3.20,100.00,5.7,4.7
53.0,83.33,1.81,81.20,3.20,100.00,6.3,5.0
53.2,83.33,1.81,81.20,3.20,100.00,5.7,5.0
53.4,83.33,1.81,81.20,3.20,100.00,6.0,5.0
53.6,83.33,1.81,81.20,3.20,100.00,6.0,5.0
53.8,83.33,1.81,81.20,3.20,100.00,6.0,5.0
54.0,83.33,1.81,81.20,3.20,100.00,5.7,5.0
54.2,83.33,1.81,81.20,3.20,100.00,5.7,5.0
54.4,83.33,1.81,81.20,3.20,100.00,5.7,5.0
54.6,83.33,1.81,81.20,3.20,100.00,6.0,5.0
54.8,83.33,1.81,81.20,3.20,100.00,5.7,5.0
55.0,83.33,1.81,81.20,3.20,100.00,6.3,5.0
55.2,83.33,1.81,81.20,3.20,100.00,6.3,5.0
55.4,83.33,1.81,81.20,3.20,100.00,6.0,5.3
55.6,83.33,1.81,81.20,3.20,100.00,6.3,5.0
55.8,83.33,1.81,81.20,3.20,100.00,6.0,5.0
56.0,83.33,1.81,81.20,3.20,100.00,6.0,5.0
56.2,83.33,1.81,81.20,3.20,100.00,6.0,5.0
56.4,83.33,1.81,81.20,3.20,100.00,6.3,5.0
56.6,83.33,1.81,81.20,3.20,100.00,6.3,5.0
56.8,83.33,1.81,81.20,3.20,100.00,6.0,5.3
57.0,83.33,1.81,81.20,3.20,100.00,5.7,5.7
57.2,83.33,1.81,81.20,3.20,100.00,5.7,5.7
57.4,83.33,1.81,81.20,3.20,100.00,5.7,5.7
57.6,83.33,1.81,81.20,3.20,100.00,5.7,5.3
57.8,83.33,1.81,81.20,3.20,100.00,6.0,5.7
58.0,83.33,1.81,81.20,3.20,100.00,6.0,6.0
58.2,83.33,1.81,81.20,3.20,100.00,6.0,5.7
58.4,83.33,1.81,81.20,3.20,100.00,6.0,5.7
58.6,83.33,1.81,81.20,3.20,100.00,6.0,5.3
58.8,83.33,1.81,81.20,3.20,100.00,6.0,6.0
59.0,83.33,1.81,80.34,2.42,100.00,6.0,5.7
59.2,83.33,1.81,80.34,2.42,100.00,6.3,6.0
59.4,83.33,1.81,80.34,2.42,100.00,6.3,5.7
59.6,83.33,1.81,80.34,2.42,100.00,6.3,6.0
59.8,83.33,1.81,80.34,2.42,100.00,6.3,5.7
60.0,83.33,1.81,80.34,2.42,100.00,5.7,6.0
60.2,83.33,1.81,80.34,2.42,100.00,6.0,6.0
60.4,83.33,1.81,80.34,2.42,100.00,6.0,6.3
60.6,83.33,1.81,79.49,2.09,100.00,6.0,6.3
60.8,83.33,1.81,79.49,2.09,100.00,6.0,6.0
61.0,83.33,1.81,79.49,2.09,100.00,5.3,6.3
61.2,82.05,1.81,79.49,2.09,100.00,5.0,6.3
61.4,83.33,1.81,79.49,2.09,100.00,4.7,6.3
61.6,83.33,1.81,79.49,2.09,100.00,6.0,6.0
61.8,83.33,1.81,78.63,1.21,100.00,5.3,6.3
62.0,83.33,1.81,78.63,1.21,100.00,5.3,7.3
62.2,82.05,3.63,78.63,1.21,100.00,6.3,6.7
62.4,82.05,3.63,78.63,1.21,100.00,5.7,6.7
62.6,82.05,3.63,77.78,1.21,100.00,5.7,6.7
62.8,82.05,3.63,77.78,1.21,100.00,6.3,6.3
63.0,82.05,3.63,77.78,1.21,100.00,6.7,6.3
63.2,82.05,3.63,77.78,1.21,100.00,6.7,6.3
63.4,82.05,3.63,77.78,1.21,100.00,6.7,6.3
63.6,82.05,3.63,77.78,1.21,100.00,6.7,6.3
63.8,82.05,3.63,77.78,1.21,100.00,6.7,6.3
64.0,82.05,3.63,77.78,1.21,100.00,6.7,6.0
64.2,82.05,3.63,77.78,1.21,100.00,5.3,6.7
64.4,82.05,3.63,77.78,1.21,100.00,5.0,6.3
64.6,82.05,3.63,77.78,1.21,100.00,5.7,6.3
64.8,82.05,3.63,77.78,1.21,100.00,5.3,6.7
65.0,82.05,3.63,77.78,1.21,100.00,6.0,6.3
65.2,82.05,3.63,77.78,1.21,100.00,5.7,6.7
65.4,82.05,3.63,77.78,1.21,100.00,6.3,6.3
65.6,82.05,3.63,77.78,1.21,100.00,6.7,6.0
65.8,82.05,3.63,77.78,1.21,100.00,6.3,6.0
66.0,82.05,3.63,77.78,1.21,100.00,6.7,5.7
66.2,82.05,3.63,77.78,1.21,100.00,6.7,6.0
66.4,82.05,3.63,77.78,1.21,100.00,6.7,5.0
66.6,82.05,3.63,77.78,1.21,100.00,6.7,6.0
66.8,82.05,3.63,77.78,1.21,100.00,6.7,6.3
67.0,82.05,3.63,76.92,2.09,100.00,6.7,6.3
67.2,82.05,3.63,76.92,2.09,100.00,6.7,6.3
67.4,82.05,3.63,76.92,2.09,100.00,7.0,7.0
67.6,82.05,3.63,76.92,2.09,100.00,6.7,7.3
67.8,82.05,3.63,76.92,2.09,100.00,6.7,7.0
68.0,82.05,3.63,76.92,2.09,100.00,6.7,7.0
68.2,82.05,3.63,76.92,2.09,100.00,7.0,7.0
68.4,82.05,3.63,76.92,2.09,100.00,7.0,7.3
68.6,82.05,3.63,76.92,2.09,100.00,7.0,7.7
68.8,82.05,3.63,76.92,2.09,100.00,7.0,7.3
69.0,82.05,3.63,76.92,2.09,100.00,7.0,7.3
69.2,82.05,3.63,76.92,2.09,100.00,7.0,7.3
69.4,82.05,3.63,76.92,2.09,100.00,6.7,7.3
69.6,82.05,3.63,76.92,2.09,100.00,7.0,7.3
69.8,82.05,3.63,76.92,2.09,100.00,6.7,7.3
70.0,82.05,3.63,76.92,2.09,100.00,6.7,7.7
70.2,82.05,3.63,76.92,2.09,100.00,7.0,7.7
70.4,82.05,3.63,76.92,2.09,100.00,7.0,8.0
70.6,82.05,3.63,76.92,2.09,100.00,7.0,8.0
70.8,82.05,3.63,76.92,2.09,100.00,6.0,7.3
71.0,82.05,3.63,76.92,2.09,100.00,6.0,7.7
71.2,82.05,3.63,76.92,2.09,100.00,6.3,7.7
71.4,82.05,3.63,76.92,2.09,100.00,6.7,7.7
71.6,80.77,3.14,76.92,2.09,100.00,6.0,7.3
71.8,82.05,3.63,76.92,2.09,100.00,6.7,7.3
72.0,82.05,3.63,76.92,2.09,100.00,6.3,7.7
72.2,82.05,3.63,76.92,2.09,100.00,6.7,7.7
72.4,82.05,3.63,76.92,2.09,100.00,6.3,7.3
72.6,82.05,3.63,76.92,2.09,100.00,5.7,7.7
72.8,82.05,3.63,76.92,2.09,100.00,6.7,7.7
73.0,82.05,3.63,76.92,2.09,100.00,6.0,7.7
73.2,82.05,3.63,76.92,2.09,100.00,6.0,8.3
73.4,82.05,3.63,76.92,2.09,100.00,6.0,8.0
73.6,82.05,3.63,76.92,2.09,100.00,6.0,8.0
73.8,82.05,3.63,76.92,2.09,100.00,6.0,8.0
74.0,82.05,3.63,76.07,1.21,100.00,6.3,7.7
74.2,82.05,3.63,76.07,1.21,100.00,7.0,7.3
74.4,82.05,3.63,76.07,1.21,100.00,6.0,7.7
74.6,82.05,3.63,76.07,1.21,100.00,6.0,7.7
74.8,82.05,3.63,76.07,1.21,100.00,6.0,7.7
75.0,82.05,3.63,76.07,1.21,100.00,6.3,7.7
75.2,82.05,3.63,76.07,1.21,100.00,5.7,7.7
75.4,82.05,3.63,76.07,1.21,100.00,6.0,7.7
75.6,82.05,3.63,76.07,1.21,100.00,6.0,7.7
75.8,82.05,3.63,76.07,1.21,100.00,6.7,7.7
76.0,82.05,3.63,76.07,1.21,100.00,6.3,7.7
76.2,82.05,3.63,76.07,1.21,100.00,6.3,7.7
76.4,82.05,3.63,75.21,1.21,100.00,6.3,7.7
76.6,82.05,3.63,76.07,1.21,100.00,6.0,7.3
76.8,82.05,3.63,75.21,1.21,100.00,5.7,7.0
77.0,82.05,3.63,75.21,1.21,100.00,5.3,7.3
77.2,82.05,3.63,75.21,1.21,100.00,4.7,7.7
77.4,82.05,3.63,75.21,1.21,100.00,5.3,7.0
77.6,82.05,3.63,75.21,1.21,100.00,6.0,7.3
77.8,80.77,5.44,75.21,1.21,100.00,6.0,7.0
78.0,80.77,5.44,75.21,1.21,100.00,6.7,7.7
78.2,80.77,5.44,75.21,1.21,100.00,5.7,7.3
78.4,80.77,5.44,75.21,1.21,100.00,6.0,7.0
78.6,80.77,5.44,75.21,1.21,100.00,5.7,6.7
78.8,80.77,5.44,75.21,1.21,100.00,6.3,7.0
79.0,80.77,5.44,75.21,1.21,100.00,5.7,7.3
79.2,80.77,5.44,75.21,1.21,100.00,6.0,7.7
79.4,80.77,5.44,75.21,1.21,100.00,5.3,7.3
79.6,80.77,5.44,75.21,1.21,100.00,5.0,6.7
79.8,80.77,5.44,75.21,1.21,100.00,5.7,7.0
80.0,80.77,5.44,75.21,1.21,100.00,5.7,6.7
80.2,80.77,5.44,75.21,1.21,100.00,5.7,6.3
80.4,80.77,5.44,75.21,1.21,100.00,5.3,7.0
80.6,80.77,5.44,74.36,0.00,100.00,5.7,6.7
80.8,80.77,5.44,74.36,0.00,100.00,6.0,7.0
81.0,80.77,5.44,74.36,0.00,100.00,6.0,7.3
81.2,80.77,5.44,74.36,0.00,100.00,5.7,7.7
81.4,80.77,5.44,74.36,0.00,100.00,5.7,8.0
81.6,80.77,5.44,74.36,0.00,100.00,5.7,8.3
81.8,80.77,5.44,74.36,0.00,100.00,5.7,8.3
82.0,79.49,4.80,74.36,0.00,100.00,6.0,8.7
82.2,80.77,5.44,74.36,0.00,100.00,5.7,8.7
82.4,80.77,5.44,74.36,0.00,100.00,5.7,8.7
82.6,80.77,5.44,74.36,0.00,100.00,5.7,8.7
82.8,80.77,5.44,74.36,0.00,100.00,5.7,8.7
83.0,80.77,5.44,74.36,0.00,100.00,5.7,8.7
83.2,80.77,5.44,74.36,0.00,100.00,5.7,9.0
83.4,80.77,5.44,74.36,0.00,100.00,5.0,8.3
83.6,80.77,5.44,74.36,0.00,100.00,5.3,9.0
83.8,80.77,5.44,74.36,0.00,100.00,5.7,8.3
84.0,80.77,5.44,74.36,0.00,100.00,6.0,8.7
84.2,80.77,5.44,74.36,0.00,100.00,5.3,8.7
84.4,80.77,5.44,74.36,0.00,100.00,6.0,7.3
84.6,80.77,5.44,74.36,0.00,100.00,6.3,7.0
84.8,80.77,5.44,74.36,0.00,100.00,6.0,7.0
85.0,80.77,5.44,74.36,0.00,100.00,7.3,7.3
85.2,80.77,5.44,74.36,0.00,100.00,6.3,7.0
85.4,80.77,5.44,74.36,0.00,100.00,6.7,7.3
85.6,80.77,5.44,74.36,0.00,100.00,6.3,7.7
85.8,79.49,7.25,74.36,0.00,100.00,6.0,7.0
86.0,79.49,7.25,74.36,0.00,100.00,6.3,7.7
