"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -6.000, S–S -0.110, Li–S -1.717, Li–Cl -2.103"
-11.4248,0.11843,0.04344,33.93642,-0.01318
-11.3747,0.11547,0.02700,33.96924,-0.01666
-11.3246,0.11022,0.01255,33.15016,-0.01897
-11.2745,0.09769,0.00390,29.71403,-0.01819
-11.2244,0.07468,0.00036,22.77810,-0.01415
-11.1743,0.04684,-0.00044,14.26577,-0.00879
-11.1242,0.02350,-0.00035,7.13648,-0.00432
-11.0741,0.00932,-0.00016,2.82176,-0.00168
-11.0240,0.00290,-0.00005,0.87719,-0.00051
-10.9739,0.00071,-0.00001,0.21416,-0.00012
-10.9238,0.00014,-0.00000,0.04093,-0.00002
-10.8736,0.00002,-0.00000,0.00571,-0.00000
-10.8235,0.00000,0.00000,0.00001,0.00000
-10.7734,0.00000,0.00000,0.00000,0.00000
-10.7233,0.00000,0.00000,0.00000,0.00000
-10.6732,0.00000,0.00000,0.00000,0.00000
-10.6231,0.00000,0.00000,0.00000,0.00000
-10.5730,0.00000,0.00000,0.00000,0.00000
-10.5229,0.00000,0.00000,0.00000,0.00000
-10.4728,0.00000,0.00000,0.00000,0.00000
-10.4227,0.00000,0.00000,0.00000,0.00000
-10.3726,0.00000,0.00000,0.00000,0.00000
-10.3224,0.00000,0.00000,0.00000,0.00000
-10.2723,0.00000,0.00000,0.00000,0.00000
-10.2222,0.00000,0.00000,0.00000,0.00000
-10.1721,0.00000,0.00000,0.00000,0.00000
-10.1220,0.00000,0.00000,0.00000,0.00000
-10.0719,0.00000,0.00000,0.00000,0.00000
-10.0218,0.00000,0.00000,0.00000,0.00000
-9.9717,0.00000,0.00000,0.00000,0.00000
-9.9216,0.00000,0.00000,0.00000,0.00000
-9.8715,0.00000,0.00000,0.00000,0.00000
-9.8214,0.00000,0.00000,0.00000,0.00000
-9.7712,0.00000,0.00000,0.00000,0.00000
-9.7211,0.00005,-0.00001,0.00008,-0.00000
-9.6710,0.00103,-0.00026,0.00160,-0.00001
-9.6209,0.00624,-0.00159,0.00975,-0.00007
-9.5708,0.02988,-0.00762,0.04664,-0.00032
-9.5207,0.11304,-0.02875,0.17635,-0.00120
-9.4706,0.33673,-0.08539,0.52493,-0.00355
-9.4205,0.79294,-0.19981,1.23414,-0.00830
-9.3704,1.48721,-0.36961,2.30674,-0.01528
-9.3203,2.26124,-0.54572,3.48226,-0.02240
-9.2701,2.89286,-0.65838,4.39456,-0.02673
-9.2200,3.31851,-0.68234,4.93355,-0.02756
-9.1699,3.68828,-0.66036,5.34818,-0.02750
-9.1198,4.18715,-0.64572,5.95283,-0.02945
-9.0697,4.95079,-0.63625,6.93344,-0.03247
-9.0196,6.22811,-0.57763,8.54935,-0.03135
-8.9695,8.43306,-0.42151,11.27288,-0.02081
-8.9194,11.78681,-0.17424,15.39972,-0.00040
-8.8693,15.83629,0.10419,20.42176,0.02465
-8.8192,19.43774,0.34303,24.92715,0.04685
-8.7691,21.37559,0.50558,27.33419,0.06001
-8.7189,21.13591,0.60164,26.91116,0.06105
-8.6689,19.20946,0.66617,24.24773,0.05079
-8.6187,16.65530,0.72622,20.74095,0.03371
-8.5686,14.27458,0.77763,17.50502,0.01566
-8.5185,12.12382,0.78441,14.68576,0.00141
-8.4684,9.78596,0.70685,11.77021,-0.00661
-8.4183,7.06589,0.54371,8.47171,-0.00857
-8.3682,4.33630,0.34558,5.19262,-0.00671
-8.3181,2.18666,0.17776,2.61709,-0.00383
-8.2680,0.88808,0.07307,1.06249,-0.00167
-8.2179,0.28746,0.02384,0.34379,-0.00056
-8.1678,0.07361,0.00614,0.08799,-0.00015
-8.1176,0.01482,0.00124,0.01770,-0.00003
-8.0675,0.00235,0.00020,0.00280,-0.00001
-8.0174,0.00009,0.00001,0.00011,-0.00000
-7.9673,0.00000,0.00000,0.00000,0.00000
-7.9172,0.00000,0.00000,0.00000,0.00000
-7.8671,0.00000,0.00000,0.00000,0.00000
-7.8170,0.00000,0.00000,0.00000,0.00000
-7.7669,0.00000,0.00000,0.00000,0.00000
-7.7168,0.00000,0.00000,0.00000,0.00000
-7.6667,0.00000,0.00000,0.00000,0.00000
-7.6166,0.00000,0.00000,0.00000,0.00000
-7.5664,0.00000,0.00000,0.00000,0.00000
-7.5163,0.00000,0.00000,0.00000,0.00000
-7.4662,0.00000,0.00000,0.00000,0.00000
-7.4161,0.00000,0.00000,0.00000,0.00000
-7.3660,0.00000,0.00000,0.00000,0.00000
-7.3159,0.00000,0.00000,0.00000,0.00000
-7.2658,0.00000,0.00000,0.00000,0.00000
-7.2157,0.00000,0.00000,0.00000,0.00000
-7.1656,0.00000,0.00000,0.00000,0.00000
-7.1155,0.00000,0.00000,0.00000,0.00000
-7.0654,0.00000,0.00000,0.00000,0.00000
-7.0152,0.00000,0.00000,0.00000,0.00000
-6.9651,0.00000,0.00000,0.00000,0.00000
-6.9150,0.00000,0.00000,0.00000,0.00000
-6.8649,0.00000,0.00000,0.00000,0.00000
-6.8148,0.00000,0.00000,0.00000,0.00000
-6.7647,0.00000,0.00000,0.00000,0.00000
-6.7146,0.00022,-0.00001,0.00015,0.00000
-6.6645,0.00221,-0.00010,0.00148,0.00003
-6.6144,0.01341,-0.00063,0.00898,0.00015
-6.5643,0.06283,-0.00298,0.04203,0.00067
-6.5142,0.23671,-0.01119,0.15809,0.00243
-6.4641,0.72339,-0.03413,0.48224,0.00707
-6.4139,1.81975,-0.08539,1.21045,0.01678
-6.3638,3.82137,-0.17731,2.53572,0.03306
-6.3137,6.81239,-0.30973,4.50910,0.05574
-6.2636,10.50239,-0.46243,6.93344,0.08340
-6.2135,14.28185,-0.60142,9.40015,0.11462
-6.1634,17.53301,-0.69892,11.49318,0.14853
-6.1133,20.03810,-0.75204,13.06422,0.18609
-6.0632,22.10441,-0.78164,14.32992,0.23323
-6.0131,24.11098,-0.80828,15.57736,0.30089
-5.9630,25.99866,-0.83095,16.80573,0.40277
-5.9128,27.56543,-0.83230,17.88858,0.55867
-5.8628,29.22738,-0.79489,19.05902,0.79777
-5.8126,31.91157,-0.70227,20.84024,1.14119
-5.7625,36.01526,-0.53963,23.37393,1.56892
-5.7124,40.86936,-0.31584,26.10786,2.00898
-5.6623,45.32320,-0.07413,28.24419,2.36953
-5.6122,48.59233,0.14236,29.32813,2.58917
-5.5621,50.55744,0.32748,29.41496,2.66359
-5.5120,51.38083,0.49615,28.79002,2.62823
-5.4619,50.81972,0.64133,27.52323,2.51817
-5.4118,48.12444,0.72666,25.34928,2.34898
-5.3617,42.85650,0.72144,22.06792,2.12712
-5.3116,35.54592,0.63073,17.92751,1.85567
-5.2614,27.29501,0.48931,13.48367,1.52850
-5.2113,19.11456,0.33714,9.25613,1.14892
-5.1612,11.86876,0.20402,5.65002,0.76620
-5.1111,6.32499,0.10643,2.97366,0.48815
-5.0610,2.82935,0.04781,1.32779,0.48353
-5.0109,1.09813,0.02137,0.54532,1.01995
-4.9608,0.50560,0.01664,0.33102,2.45149
-4.9107,0.49155,0.02472,0.43097,4.96817
-4.8606,0.70149,0.03922,0.67480,8.21539
-4.8105,0.93669,0.05734,0.95747,11.38883
-4.7603,1.11745,0.08442,1.26343,14.07132
-4.7102,1.26751,0.13702,1.69378,16.90088
-4.6601,1.44393,0.23630,2.40140,21.00967
-4.6100,1.64964,0.39142,3.44978,26.76142
-4.5599,1.82841,0.58495,4.72317,33.28292
-4.5098,1.93142,0.77793,5.98648,39.20344
-4.4597,1.95959,0.93642,7.06089,43.70324
-4.4096,1.94990,1.05516,7.95676,46.94786
-4.3595,1.94406,1.15187,8.81600,49.67611
-4.3094,1.96668,1.23855,9.70771,52.40609
-4.2593,2.01585,1.30111,10.49132,54.98477
-4.2092,2.06843,1.30982,10.90661,56.81277
-4.1590,2.09201,1.25162,10.80963,57.38338
-4.1089,2.04981,1.15093,10.30253,56.52639
-4.0588,1.90875,1.05237,9.60989,54.19861
-4.0087,1.66254,0.97858,8.83780,50.24367
-3.9586,1.34657,0.90923,7.89642,44.53598
-3.9085,1.01962,0.80664,6.67265,37.35193
-3.8584,0.72820,0.65860,5.22172,29.40443
-3.8083,0.48964,0.49617,3.76754,21.48400
-3.7582,0.30277,0.38306,2.59124,14.25410
-3.7081,0.16383,0.39994,1.96914,8.31204
-3.6580,0.06953,0.61963,2.12441,4.08207
-3.6078,0.01270,1.06437,3.12790,1.54547
-3.5577,-0.01781,1.68000,4.84436,0.24144
-3.5076,-0.03298,2.39108,7.09065,-0.41009
-3.4575,-0.04140,3.19948,9.88045,-0.82302
-3.4074,-0.04873,4.18782,13.39915,-1.19125
-3.3573,-0.05676,5.38793,17.64274,-1.57167
-3.3072,-0.06367,6.67799,22.18360,-1.96679
-3.2571,-0.06715,7.84516,26.40812,-2.35557
-3.2070,-0.06687,8.74141,29.96394,-2.69367
-3.1569,-0.06217,9.37990,32.96416,-2.92899
-3.1067,-0.04669,9.89493,35.79336,-3.03843
-3.0566,-0.00846,10.37276,38.61283,-3.04398
-3.0065,0.06057,10.68904,40.95298,-2.98387
-2.9564,0.15354,10.56460,41.94028,-2.88001
-2.9063,0.24890,9.83386,41.11168,-2.74685
-2.8562,0.32339,8.62305,38.94676,-2.61644
-2.8061,0.36520,7.23929,36.47267,-2.52850
-2.7560,0.37454,5.92840,34.33814,-2.49252
-2.7059,0.35414,4.76937,32.37675,-2.48348
-2.6558,0.30539,3.75250,30.12004,-2.48796
-2.6057,0.23607,2.88695,27.57797,-2.53639
-2.5556,0.16456,2.20910,25.27559,-2.66210
-2.5055,0.10957,1.72488,23.60025,-2.83671
-2.4553,0.07814,1.37673,22.38921,-2.96959
-2.4052,0.06749,1.06632,21.25214,-2.97676
-2.3551,0.07339,0.70302,20.16620,-2.84412
-2.3050,0.09097,0.24302,19.62458,-2.62470
-2.2549,0.10929,-0.29851,20.20594,-2.38353
-2.2048,0.11196,-0.86350,22.10422,-2.15912
-2.1547,0.08807,-1.38831,25.07326,-1.97477
-2.1046,0.04315,-1.84177,28.62138,-1.85478
-2.0545,-0.00411,-2.23780,32.15997,-1.81010
-2.0044,-0.03795,-2.61549,35.15195,-1.82847
-1.9543,-0.05785,-3.00236,37.28289,-1.89331
-1.9041,-0.07523,-3.38511,38.47185,-1.99134
-1.8540,-0.10004,-3.71527,38.73053,-2.08988
-1.8039,-0.13111,-3.95023,38.05183,-2.13000
-1.7538,-0.15853,-4.08387,36.38421,-2.06364
-1.7037,-0.17354,-4.13581,33.69852,-1.89373
-1.6536,-0.17482,-4.12868,30.12817,-1.66762
-1.6035,-0.16616,-4.07985,26.01430,-1.43295
-1.5534,-0.15084,-3.98711,21.73283,-1.20516
-1.5033,-0.13025,-3.81413,17.52072,-0.97534
-1.4532,-0.10636,-3.52175,13.55371,-0.74176
-1.4030,-0.08283,-3.11970,10.08280,-0.52474
-1.3529,-0.06248,-2.65959,7.32435,-0.34984
-1.3028,-0.04545,-2.18436,5.26444,-0.22542
-1.2527,-0.03074,-1.71351,3.70654,-0.14187
-1.2026,-0.01845,-1.26360,2.47887,-0.08575
-1.1525,-0.00949,-0.85778,1.52361,-0.04842
-1.1024,-0.00410,-0.52132,0.83704,-0.02495
-1.0523,-0.00148,-0.27459,0.40074,-0.01148
-1.0022,-0.00044,-0.12157,0.16316,-0.00460
-0.9521,-0.00011,-0.04417,0.05528,-0.00156
-0.9020,-0.00002,-0.01293,0.01527,-0.00044
-0.8518,-0.00000,-0.00301,0.00336,-0.00010
-0.8017,-0.00000,-0.00055,0.00059,-0.00002
-0.7516,0.00000,-0.00007,0.00007,-0.00000
-0.7015,0.00000,-0.00000,0.00000,-0.00000
-0.6514,0.00000,0.00000,0.00000,0.00000
-0.6013,0.00000,0.00000,0.00000,0.00000
-0.5512,0.00000,0.00000,0.00000,0.00000
-0.5011,0.00000,0.00000,0.00000,0.00000
-0.4510,0.00000,0.00000,0.00000,0.00000
-0.4009,0.00000,0.00000,0.00000,0.00000
-0.3508,0.00000,0.00000,0.00000,0.00000
-0.3006,0.00000,0.00000,0.00000,0.00000
-0.2505,0.00000,0.00000,0.00000,0.00000
-0.2004,0.00000,0.00000,0.00000,0.00000
-0.1503,0.00000,0.00000,0.00000,0.00000
-0.1002,0.00000,0.00000,0.00000,0.00000
-0.0501,0.00000,0.00000,0.00000,0.00000
0.0000,0.00000,0.00000,0.00000,0.00000
0.0501,0.00000,0.00000,0.00000,0.00000
0.1002,0.00000,0.00000,0.00000,0.00000
0.1503,0.00000,0.00000,0.00000,0.00000
0.2004,0.00000,0.00000,0.00000,0.00000
0.2505,0.00000,0.00000,0.00000,0.00000
0.3006,0.00000,0.00000,0.00000,0.00000
0.3508,0.00000,0.00000,0.00000,0.00000
0.4009,0.00000,0.00000,0.00000,0.00000
0.4510,-0.00000,0.00000,-0.00000,-0.00000
0.5011,-0.00077,0.00008,-0.00004,-0.00004
0.5512,-0.00625,0.00061,-0.00034,-0.00030
0.6013,-0.03370,0.00331,-0.00181,-0.00162
0.6514,-0.14297,0.01404,-0.00767,-0.00687
0.7015,-0.47789,0.04693,-0.02565,-0.02297
0.7516,-1.26021,0.12375,-0.06763,-0.06058
0.8017,-2.62438,0.25771,-0.14084,-0.12617
0.8518,-4.31998,0.42420,-0.23182,-0.20770
0.9020,-5.62597,0.55236,-0.30176,-0.27062
0.9521,-5.82230,0.57116,-0.31161,-0.28070
1.0022,-4.89539,0.47825,-0.25927,-0.23856
1.0523,-3.69683,0.35475,-0.18758,-0.18795
1.1024,-3.33706,0.30535,-0.15270,-0.18606
1.1525,-4.41491,0.38442,-0.18695,-0.26296
1.2026,-6.64335,0.56369,-0.28339,-0.39893
1.2527,-8.98641,0.75010,-0.40031,-0.53156
1.3028,-10.22709,0.84050,-0.47933,-0.59173
1.3529,-9.72279,0.78536,-0.47628,-0.54867
1.4030,-7.92512,0.62360,-0.39183,-0.43350
1.4532,-6.30158,0.46552,-0.27457,-0.32558
1.5033,-6.66357,0.43646,-0.18756,-0.31249
1.5534,-10.11750,0.60717,-0.16515,-0.44148
1.6035,-15.98885,0.93393,-0.19315,-0.67803
1.6536,-21.65970,1.25616,-0.22100,-0.90618
1.7037,-24.29682,1.40147,-0.19744,-1.00502
1.7538,-23.41568,1.33610,-0.10830,-0.95321
1.8039,-21.38314,1.19336,0.01259,-0.84553
1.8540,-21.07132,1.13512,0.10834,-0.79810
1.9041,-23.36281,1.20799,0.13862,-0.85271
1.9543,-26.85258,1.33495,0.10537,-0.96471
2.0044,-29.24788,1.40442,0.04975,-1.04958
2.0545,-28.94440,1.35092,0.02087,-1.03977
2.1046,-25.99814,1.18497,0.04096,-0.92934
2.1547,-22.12328,0.98099,0.09811,-0.78147
2.2048,-19.45115,0.82729,0.16447,-0.67967
2.2549,-18.77639,0.75819,0.21338,-0.65805
2.3050,-19.16578,0.73437,0.22963,-0.68727
2.3551,-19.55700,0.69985,0.21744,-0.73518
2.4052,-20.25248,0.63820,0.19077,-0.82243
2.4553,-22.32646,0.55085,0.14198,-1.00254
2.5055,-26.09109,0.40883,0.03254,-1.30532
2.5556,-30.78980,0.17572,-0.16016,-1.72293
2.6057,-35.35649,-0.12532,-0.39055,-2.25137
2.6558,-39.09552,-0.41184,-0.57278,-2.96115
2.7059,-42.22542,-0.62479,-0.68131,-4.03460
2.7560,-45.81874,-0.78431,-0.80071,-5.63227
2.8061,-50.29651,-0.94675,-1.04967,-7.61169
2.8562,-53.96431,-1.12252,-1.46149,-9.44379
2.9063,-54.10369,-1.25783,-1.95981,-10.58063
2.9564,-49.83339,-1.29917,-2.43650,-10.91855
3.0065,-43.22848,-1.25895,-2.80509,-10.76534
3.0566,-37.35785,-1.20949,-2.96755,-10.34063
3.1067,-33.85209,-1.22813,-2.80558,-9.51806
3.1569,-32.75935,-1.36366,-2.29629,-8.21477
3.2070,-33.83058,-1.63341,-1.62856,-6.85479
3.2571,-36.88522,-2.02023,-1.13000,-6.16659
3.3072,-41.21517,-2.46947,-1.04268,-6.52087
3.3573,-45.52439,-2.90350,-1.35569,-7.60317
3.4074,-48.64821,-3.25102,-1.83584,-8.72604
3.4575,-50.22204,-3.48176,-2.22262,-9.39463
3.5076,-50.62256,-3.61500,-2.39506,-9.56468
3.5577,-50.23333,-3.67399,-2.34239,-9.41161
3.6078,-48.84131,-3.63462,-2.05771,-8.99561
3.6580,-45.88669,-3.44627,-1.57426,-8.27084
3.7081,-41.27986,-3.10823,-1.07494,-7.36888
3.7582,-35.82246,-2.70387,-0.84687,-6.71168
3.8083,-30.75338,-2.34982,-1.13255,-6.82306
3.8584,-26.88944,-2.11644,-2.05466,-8.06930
3.9085,-24.20190,-1.99431,-3.59784,-10.49392
3.9586,-22.09085,-1.92143,-5.58747,-13.71919
4.0087,-19.97251,-1.84308,-7.80790,-17.03053
4.0588,-17.79068,-1.76803,-10.25082,-19.78771
4.1089,-16.02450,-1.75810,-13.05222,-21.78727
4.1590,-15.03961,-1.83592,-16.01945,-23.16853
4.2092,-14.54581,-1.93000,-18.55908,-24.19785
4.2593,-13.98035,-1.95671,-20.41708,-25.25827
4.3094,-13.19460,-1.92439,-22.17554,-26.62534
4.3595,-12.43411,-1.90476,-24.54275,-28.01172
4.4096,-11.85606,-1.93029,-27.37038,-28.71661
4.4597,-11.42145,-1.97409,-29.84244,-28.37526
4.5098,-11.11484,-2.01118,-31.56183,-27.22140
4.5599,-10.94059,-2.04445,-33.04604,-25.58324
4.6100,-10.72092,-2.06759,-35.04943,-23.48495
4.6601,-10.11705,-2.04081,-37.65255,-20.85159
4.7102,-8.94959,-1.92465,-40.21153,-17.90447
4.7603,-7.42580,-1.72666,-42.07091,-15.17529
4.8105,-5.99677,-1.50570,-43.12759,-13.15286
4.8606,-5.01048,-1.33242,-43.68399,-11.99644
4.9107,-4.52349,-1.24340,-43.90481,-11.56512
4.9608,-4.41422,-1.22605,-43.67310,-11.64619
5.0109,-4.59223,-1.24436,-43.06496,-12.10375
5.0610,-5.02268,-1.27329,-42.63387,-12.79627
5.1111,-5.58950,-1.30128,-42.90064,-13.44975
5.1612,-6.06264,-1.31139,-43.69634,-13.78119
5.2113,-6.24175,-1.28246,-44.23326,-13.74712
5.2614,-6.07756,-1.21112,-43.75059,-13.52892
5.3116,-5.66605,-1.11906,-42.10872,-13.30825
5.3617,-5.20282,-1.03746,-39.97576,-13.19770
5.4118,-4.91981,-0.98911,-38.38616,-13.30772
5.4619,-4.96127,-0.97736,-37.86385,-13.68744
5.5120,-5.27803,-0.98229,-37.92982,-14.19503
5.5621,-5.66722,-0.97173,-37.54098,-14.52947
5.6122,-5.93825,-0.92590,-36.01436,-14.43863
5.6623,-6.06347,-0.85543,-33.60834,-13.94865
5.7124,-6.18537,-0.79335,-31.32462,-13.40907
5.7625,-6.46450,-0.76669,-30.10382,-13.23009
5.8126,-6.90975,-0.77630,-30.13044,-13.52622
5.8628,-7.36489,-0.80355,-30.91298,-14.06501
5.9128,-7.65171,-0.83003,-31.90573,-14.54136
5.9630,-7.70477,-0.84483,-32.83825,-14.79012
6.0131,-7.59456,-0.84014,-33.57874,-14.76747
6.0632,-7.47304,-0.81277,-34.06224,-14.50034
6.1133,-7.47570,-0.77001,-34.37397,-14.08510
6.1634,-7.60267,-0.72552,-34.61272,-13.62078
6.2135,-7.68597,-0.68856,-34.65576,-13.12324
6.2636,-7.54337,-0.66265,-34.32832,-12.58664
6.3137,-7.18831,-0.65373,-33.81847,-12.11403
6.3638,-6.83906,-0.67177,-33.64448,-11.88752
6.4139,-6.71017,-0.72063,-34.16005,-12.00032
6.4641,-6.83661,-0.78957,-35.33491,-12.39815
6.5142,-7.08753,-0.85695,-36.96195,-12.96224
6.5643,-7.28586,-0.90204,-38.74744,-13.55492
6.6144,-7.30183,-0.91589,-40.19390,-13.99995
6.6645,-7.08843,-0.90434,-40.71595,-14.12787
6.7146,-6.68908,-0.88321,-40.08238,-13.90869
6.7647,-6.22946,-0.87185,-38.74514,-13.53101
6.8148,-5.86267,-0.88541,-37.59475,-13.28435
6.8649,-5.67005,-0.92454,-37.25850,-13.31337
6.9150,-5.60794,-0.97345,-37.68034,-13.51947
6.9651,-5.57089,-1.01476,-38.41582,-13.72692
7.0152,-5.50874,-1.04748,-39.16583,-13.88136
7.0654,-5.47181,-1.08606,-39.90722,-14.03964
7.1155,-5.54183,-1.14151,-40.68505,-14.23258
7.1656,-5.72180,-1.20801,-41.48539,-14.40174
7.2157,-5.89683,-1.26715,-42.23105,-14.43686
7.2658,-5.91373,-1.29846,-42.75330,-14.25669
7.3159,-5.70935,-1.28595,-42.82119,-13.89471
7.3660,-5.36512,-1.22497,-42.32593,-13.50966
7.4161,-5.03380,-1.12806,-41.39799,-13.26029
7.4662,-4.80977,-1.01968,-40.28499,-13.16781
7.5163,-4.67096,-0.92246,-39.20348,-13.14241
7.5664,-4.54594,-0.84832,-38.37408,-13.12813
7.6166,-4.41173,-0.79696,-37.97766,-13.13656
7.6667,-4.29278,-0.75649,-37.82168,-13.10297
7.7168,-4.18363,-0.70894,-37.22820,-12.83012
7.7669,-4.02932,-0.64304,-35.59139,-12.19447
7.8170,-3.78865,-0.56321,-32.99422,-11.32741
7.8671,-3.46637,-0.48268,-29.96684,-10.43105
7.9172,-3.06958,-0.40783,-26.66757,-9.45548
7.9673,-2.57493,-0.33301,-22.64141,-8.12120
8.0174,-1.97167,-0.25135,-17.53267,-6.28937
