"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–O -8.551, B–S -7.792, P–S -6.023, S–S -0.116, Li–S -1.680, Li–Cl -2.076"
-9.1253,0.94230,0.00179,9.63741,-0.87710,13.19519,-0.03562
-9.0752,1.53586,0.00306,13.53547,-0.92946,18.23927,-0.03230
-9.0251,2.42296,0.00486,17.97543,-0.91644,23.96701,-0.02082
-8.9749,3.64018,0.00703,22.49086,-0.79481,29.77385,-0.00149
-8.9248,5.13791,0.00961,26.38204,-0.53815,34.74345,0.02171
-8.8747,6.71138,0.01346,28.96155,-0.15692,37.95464,0.04306
-8.8245,7.96508,0.02016,30.00965,0.29681,39.07457,0.05842
-8.7744,8.42241,0.03031,29.78625,0.74096,38.41643,0.06710
-8.7242,7.79854,0.04158,28.41928,1.08036,36.20972,0.07029
-8.6741,6.23806,0.04926,25.55779,1.23213,32.15349,0.06849
-8.6240,4.26916,0.04965,20.95427,1.16584,26.07096,0.06130
-8.5738,2.48318,0.04284,15.21520,0.93077,18.76755,0.04940
-8.5237,1.22188,0.03203,9.63021,0.63157,11.80507,0.03535
-8.4735,0.50676,0.02090,5.28997,0.36620,6.45816,0.02226
-8.4234,0.17648,0.01185,2.52467,0.18214,3.07500,0.01221
-8.3733,0.05135,0.00575,1.04672,0.07773,1.27360,0.00576
-8.3231,0.01238,0.00235,0.37485,0.02833,0.45604,0.00229
-8.2730,0.00240,0.00079,0.11450,0.00873,0.13935,0.00076
-8.2228,0.00036,0.00022,0.02923,0.00224,0.03558,0.00021
-8.1727,0.00003,0.00005,0.00609,0.00047,0.00743,0.00005
-8.1226,0.00000,0.00001,0.00103,0.00008,0.00125,0.00001
-8.0724,0.00000,0.00000,0.00012,0.00001,0.00014,0.00000
-8.0223,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000
-7.9721,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.9220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.8719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.8217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.7716,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.7214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.6713,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.6212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.5710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.5209,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000
-7.4707,0.00000,0.00015,0.00000,0.00001,0.00012,0.00000
-7.4206,0.00000,0.00112,0.00000,0.00010,0.00092,0.00002
-7.3705,0.00000,0.00587,0.00000,0.00051,0.00485,0.00009
-7.3203,0.00000,0.02446,0.00001,0.00214,0.02023,0.00039
-7.2702,0.00002,0.08184,0.00003,0.00717,0.06768,0.00130
-7.2201,0.00004,0.22002,0.00008,0.01928,0.18195,0.00349
-7.1699,0.00009,0.47624,0.00021,0.04168,0.39375,0.00756
-7.1198,0.00016,0.83440,0.00058,0.07279,0.68922,0.01323
-7.0696,0.00025,1.20467,0.00168,0.10421,0.99168,0.01903
-7.0195,0.00035,1.51439,0.00484,0.12855,1.23251,0.02362
-6.9694,0.00085,1.88260,0.01256,0.15552,1.48833,0.02859
-6.9192,0.00403,2.67438,0.02817,0.21904,2.02389,0.03932
-6.8691,0.01969,4.23365,0.05621,0.35621,3.09260,0.06121
-6.8189,0.08414,6.41492,0.11174,0.56339,4.60212,0.09300
-6.7688,0.30027,8.41798,0.25013,0.77243,6.02406,0.12462
-6.7187,0.87746,9.32719,0.61149,0.89195,6.81392,0.14559
-6.6685,2.08585,8.97374,1.42694,0.89055,7.01979,0.15753
-6.6184,4.03270,8.16527,2.90853,0.83057,7.36397,0.17575
-6.5682,6.37099,7.92908,5.04268,0.80352,8.57699,0.21467
-6.5181,8.32383,8.54330,7.50415,0.83297,10.66167,0.27225
-6.4680,9.23785,9.32002,9.92510,0.84484,12.90669,0.33175
-6.4178,9.19031,9.28079,12.35952,0.73186,14.65586,0.38014
-6.3677,8.89027,8.05765,15.36193,0.45374,15.99198,0.42237
-6.3175,8.89570,6.18876,19.40225,0.08187,17.56162,0.47491
-6.2674,9.06890,4.55816,24.24545,-0.26167,19.78295,0.54792
-6.2173,8.90608,3.60208,29.12907,-0.51354,22.43356,0.64017
-6.1671,8.26914,3.09542,33.52099,-0.70656,25.02445,0.75035
-6.1170,7.63335,2.59535,37.44313,-0.89427,27.30876,0.88453
-6.0668,7.65093,1.92373,41.03673,-1.06145,29.28337,1.04736
-6.0167,8.53597,1.21716,44.06039,-1.13002,30.85254,1.22989
-5.9666,9.78598,0.67228,45.95929,-1.04003,31.69562,1.41197
-5.9164,10.45046,0.35956,46.47970,-0.80172,31.58838,1.58180
-5.8663,9.80842,0.23507,46.27979,-0.47450,30.87760,1.75379
-5.8162,7.91797,0.22738,46.81413,-0.11805,30.47937,1.95846
-5.7660,5.51634,0.28153,49.36619,0.23091,31.21665,2.20473
-5.7159,3.40682,0.36095,54.08545,0.54947,33.15255,2.45275
-5.6657,1.96992,0.44396,59.86227,0.81350,35.57290,2.62888
-5.6156,1.14842,0.52112,64.90921,0.99785,37.45941,2.66962
-5.5655,0.70935,0.59350,67.47233,1.08927,37.93625,2.55889
-5.5153,0.45818,0.68626,66.37753,1.09422,36.50963,2.33476
-5.4652,0.29554,0.87929,61.31873,1.03004,33.18079,2.06373
-5.4150,0.18450,1.31270,52.82339,0.90712,28.43594,1.80466
-5.3649,0.11058,2.12496,42.01446,0.72524,23.08016,1.59808
-5.3148,0.06404,3.35183,30.39805,0.49381,17.99456,1.48913
-5.2646,0.03658,4.86477,19.64053,0.25108,13.90440,1.55355
-5.2145,0.02142,6.38772,11.12854,0.05146,11.16619,1.91012
-5.1643,0.01336,7.58579,5.46638,-0.06894,9.65840,2.73913
-5.1142,0.00876,8.23299,2.36359,-0.11173,8.94759,4.28009
-5.0641,0.00548,8.40445,1.01848,-0.10809,8.66886,6.69162
-5.0139,0.00268,8.49565,0.61698,-0.09837,8.75579,9.77715
-4.9638,-0.00016,8.95855,0.59432,-0.11123,9.31587,12.93018
-4.9136,-0.00470,9.97761,0.65550,-0.14661,10.40010,15.67553
-4.8635,-0.01509,11.38890,0.71098,-0.17223,11.95966,18.46422
-4.8134,-0.03757,12.82647,0.79873,-0.14181,13.90411,22.74102
-4.7632,-0.07738,13.87884,0.99083,-0.02463,16.05772,29.90386
-4.7131,-0.13440,14.20982,1.30690,0.17663,18.10480,40.06790
-4.6630,-0.20141,13.70626,1.68804,0.43169,19.71788,51.79341
-4.6128,-0.26793,12.55394,2.04183,0.70330,20.77185,62.92849
-4.5627,-0.32635,11.13357,2.30922,0.96438,21.42232,71.88254
-4.5125,-0.37480,9.83839,2.49521,1.20296,22.01285,78.51375
-4.4624,-0.41507,8.93551,2.64473,1.41796,22.86791,83.97720
-4.4123,-0.45112,8.48016,2.79411,1.61136,24.05060,89.54140
-4.3621,-0.49194,8.32652,2.94744,1.78122,25.28899,95.42113
-4.3120,-0.55221,8.27650,3.09078,1.91854,26.18479,100.68593
-4.2618,-0.64256,8.23125,3.21128,2.00884,26.48114,104.03969
-4.2117,-0.75697,8.17909,3.29572,2.03771,26.12160,104.51750
-4.1616,-0.87588,8.08478,3.32672,1.99815,25.15085,101.72055
-4.1114,-0.98617,7.86441,3.29939,1.89626,23.65870,95.88312
-4.0613,-1.09588,7.46392,3.24273,1.75229,21.80190,87.93436
-4.0111,-1.22708,6.90789,3.21367,1.59329,19.79277,79.28368
-3.9610,-1.39625,6.25476,3.26066,1.43755,17.80258,71.14693
-3.9109,-1.59608,5.53109,3.38150,1.28310,15.86300,63.82394
-3.8607,-1.78579,4.72947,3.50387,1.11569,13.88925,56.60969
-3.8106,-1.90572,3.86634,3.51712,0.93388,11.85089,48.53425
-3.7605,-1.92617,3.03547,3.35977,0.76810,9.96010,39.34215
-3.7103,-1.88752,2.39915,3.09059,0.67680,8.67985,29.83235
-3.6602,-1.87156,2.10452,2.84844,0.72846,8.50582,21.26619
-3.6100,-1.92798,2.17603,2.72972,0.98922,9.72079,14.47263
-3.5599,-2.04569,2.46824,2.72376,1.51864,12.33688,9.50098
-3.5097,-2.18900,2.72513,2.76132,2.35776,16.17893,5.94302
-3.4596,-2.32667,2.71624,2.78224,3.50851,20.93630,3.37494
-3.4095,-2.41763,2.36541,2.74314,4.92460,26.19789,1.51538
-3.3593,-2.40939,1.78434,2.60814,6.52411,31.61294,0.17584
-3.3092,-2.28454,1.18605,2.37654,8.20772,37.10487,-0.79791
-3.2590,-2.09337,0.74969,2.10691,9.86078,42.84650,-1.53668
-3.2089,-1.91444,0.54300,1.88401,11.33997,48.93752,-2.13850
-3.1588,-1.79189,0.53741,1.76315,12.47871,55.13655,-2.66335
-3.1086,-1.72436,0.66341,1.75386,13.13747,60.93899,-3.13818
-3.0585,-1.69412,0.85007,1.83764,13.25874,65.85858,-3.56458
-3.0084,-1.68140,1.04436,1.97952,12.86824,69.65752,-3.92692
-2.9582,-1.66022,1.22056,2.13007,12.04758,72.42895,-4.21245
-2.9081,-1.60445,1.37139,2.23468,10.92954,74.41126,-4.43426
-2.8579,-1.50418,1.48587,2.24890,9.68613,75.57116,-4.62912
-2.8078,-1.37398,1.54406,2.15503,8.47126,75.45907,-4.83160
-2.7577,-1.24824,1.53575,1.97693,7.36748,73.66747,-5.05473
-2.7075,-1.16330,1.47486,1.77370,6.39125,70.39296,-5.28743
-2.6574,-1.13125,1.39276,1.60019,5.53261,66.42518,-5.49674
-2.6072,-1.12690,1.32085,1.46677,4.77936,62.60946,-5.63531
-2.5571,-1.10649,1.27475,1.34256,4.11434,59.37421,-5.66343
-2.5070,-1.04256,1.24710,1.19600,3.50188,56.72097,-5.57392
-2.4568,-0.94057,1.21441,1.02424,2.88410,54.57143,-5.39713
-2.4067,-0.82574,1.15491,0.84458,2.20310,53.12163,-5.18701
-2.3565,-0.71965,1.06472,0.67064,1.43947,52.94305,-5.00581
-2.3064,-0.63000,0.96111,0.50481,0.63089,54.72307,-4.90912
-2.2563,-0.55535,0.86963,0.34799,-0.14903,58.71885,-4.92272
-2.2061,-0.49305,0.80447,0.20765,-0.82879,64.32368,-5.02620
-2.1560,-0.44246,0.76127,0.09578,-1.36494,70.20711,-5.16485
-2.1059,-0.40513,0.72987,0.02217,-1.75314,74.97699,-5.27708
-2.0557,-0.38524,0.70999,-0.00963,-2.02633,77.83243,-5.31342
-2.0056,-0.39025,0.71022,-0.00213,-2.23312,78.80605,-5.25069
-1.9554,-0.42849,0.73387,0.03799,-2.40787,78.54984,-5.10486
-1.9053,-0.50107,0.77045,0.09984,-2.56471,77.80480,-4.92078
-1.8552,-0.59322,0.80077,0.16723,-2.71915,76.86746,-4.73474
-1.8050,-0.67587,0.80707,0.22129,-2.89902,75.44862,-4.54700
-1.7549,-0.72064,0.77840,0.24886,-3.11807,72.97592,-4.32933
-1.7047,-0.71536,0.71102,0.24881,-3.34150,68.95782,-4.04829
-1.6546,-0.66598,0.60797,0.22834,-3.49452,63.13344,-3.68101
-1.6045,-0.58812,0.48018,0.19454,-3.51714,55.55714,-3.22560
-1.5543,-0.49947,0.34653,0.15240,-3.40714,46.73199,-2.70883
-1.5042,-0.41631,0.22891,0.10969,-3.20226,37.56070,-2.17939
-1.4540,-0.35244,0.14356,0.08155,-2.92959,29.01682,-1.68744
-1.4039,-0.32088,0.09510,0.08857,-2.59118,21.83184,-1.27134
-1.3538,-0.33150,0.07692,0.14449,-2.19488,16.36426,-0.95647
-1.3036,-0.37740,0.07535,0.23772,-1.77285,12.51822,-0.74819
-1.2535,-0.42400,0.07554,0.32579,-1.36197,9.76068,-0.61880
-1.2033,-0.42521,0.06787,0.35906,-0.98548,7.44809,-0.51637
-1.1532,-0.36044,0.05175,0.31814,-0.66173,5.27590,-0.40100
-1.1031,-0.25219,0.03320,0.22751,-0.41231,3.37439,-0.27187
-1.0529,-0.14425,0.01837,0.13170,-0.24792,1.98475,-0.15550
-1.0028,-0.06720,0.00935,0.06181,-0.15418,1.14387,-0.07414
-0.9526,-0.02545,0.00479,0.02352,-0.10121,0.68253,-0.02962
-0.9025,-0.00783,0.00256,0.00726,-0.06515,0.40976,-0.01017
-0.8524,-0.00195,0.00133,0.00181,-0.03739,0.22673,-0.00314
-0.8022,-0.00039,0.00062,0.00036,-0.01802,0.10749,-0.00092
-0.7521,-0.00006,0.00024,0.00005,-0.00710,0.04204,-0.00026
-0.7019,-0.00000,0.00008,0.00000,-0.00226,0.01335,-0.00007
-0.6518,-0.00000,0.00002,-0.00000,-0.00058,0.00342,-0.00002
-0.6017,-0.00000,0.00000,-0.00000,-0.00012,0.00070,-0.00000
-0.5515,0.00000,0.00000,-0.00000,-0.00002,0.00011,-0.00000
-0.5014,0.00000,0.00000,-0.00000,-0.00000,0.00001,-0.00000
-0.4512,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000
-0.4011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.3510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.3008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.2507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.2006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.1504,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.1003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.0501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0501,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1504,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4011,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000
0.4512,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000
0.5014,-0.00000,-0.00000,-0.00004,0.00000,-0.00000,-0.00000
0.5515,-0.00000,-0.00000,-0.00057,0.00005,-0.00003,-0.00002
0.6017,-0.00000,-0.00001,-0.00379,0.00032,-0.00018,-0.00012
0.6518,-0.00003,-0.00005,-0.01896,0.00161,-0.00093,-0.00062
0.7019,-0.00011,-0.00020,-0.07587,0.00644,-0.00378,-0.00248
0.7521,-0.00041,-0.00063,-0.24565,0.02082,-0.01246,-0.00806
0.8022,-0.00125,-0.00158,-0.64727,0.05476,-0.03362,-0.02138
0.8524,-0.00315,-0.00319,-1.39437,0.11766,-0.07463,-0.04647
0.9025,-0.00658,-0.00518,-2.46860,0.20766,-0.13701,-0.08318
0.9526,-0.01140,-0.00678,-3.61198,0.30267,-0.20895,-0.12327
1.0028,-0.01636,-0.00721,-4.39697,0.36678,-0.26588,-0.15217
1.0529,-0.01968,-0.00645,-4.50777,0.37393,-0.28446,-0.15827
1.1031,-0.02073,-0.00563,-4.03247,0.33170,-0.26182,-0.14388
1.1532,-0.02126,-0.00670,-3.50299,0.28334,-0.22132,-0.12872
1.2033,-0.02421,-0.01166,-3.62248,0.28399,-0.19425,-0.14234
1.2535,-0.03092,-0.02145,-4.89486,0.36919,-0.19156,-0.21090
1.3036,-0.03975,-0.03550,-7.45821,0.54054,-0.19444,-0.34793
1.3538,-0.04825,-0.05418,-11.21236,0.77747,-0.17660,-0.55373
1.4039,-0.05639,-0.08563,-15.97568,1.05650,-0.13633,-0.81875
1.4540,-0.06639,-0.15262,-21.31978,1.34921,-0.10147,-1.12113
1.5042,-0.07899,-0.29007,-26.19881,1.59977,-0.09824,-1.41742
1.5543,-0.09067,-0.52854,-29.04453,1.72361,-0.11843,-1.64274
1.6045,-0.09657,-0.87625,-28.73650,1.65881,-0.12393,-1.73947
1.6546,-0.09757,-1.32109,-25.76255,1.43389,-0.08331,-1.70568
1.7047,-0.10466,-1.85095,-22.31460,1.17537,0.00395,-1.61842
1.7549,-0.13446,-2.47149,-20.98487,1.03150,0.12165,-1.59532
1.8050,-0.19546,-3.21056,-23.06160,1.07292,0.26734,-1.71524
1.8552,-0.27452,-4.08734,-27.67840,1.24781,0.45919,-1.95835
1.9053,-0.33972,-5.01587,-32.47407,1.42666,0.70847,-2.21201
1.9554,-0.36513,-5.72810,-35.53254,1.51207,0.98944,-2.35020
2.0056,-0.35564,-5.89126,-37.01947,1.52061,1.24531,-2.33356
2.0557,-0.34060,-5.37985,-38.51752,1.54001,1.42188,-2.22740
2.1059,-0.34081,-4.40465,-40.52301,1.59885,1.48759,-2.10688
2.1560,-0.35026,-3.36395,-41.36967,1.61336,1.43849,-1.97416
2.2061,-0.35450,-2.63128,-39.27627,1.48606,1.31829,-1.80483
2.2563,-0.35675,-2.46729,-34.79710,1.22460,1.22900,-1.64375
2.3064,-0.37526,-2.95477,-30.37267,0.92949,1.27223,-1.59169
2.3565,-0.41960,-3.86321,-27.85584,0.68508,1.45002,-1.69467
2.4067,-0.48003,-4.64568,-27.34821,0.49574,1.64338,-1.89872
2.4568,-0.54001,-4.77155,-28.25397,0.31474,1.71328,-2.13968
2.5070,-0.59528,-4.14858,-30.52502,0.10037,1.61414,-2.45178
2.5571,-0.66439,-3.15680,-34.56715,-0.15844,1.39550,-2.95928
2.6072,-0.78008,-2.25758,-40.41700,-0.44625,1.12024,-3.76413
2.6574,-0.95678,-1.64590,-47.40258,-0.73576,0.82427,-4.85229
2.7075,-1.15980,-1.26187,-54.49873,-1.00020,0.54733,-6.09814
2.7577,-1.32065,-0.99716,-60.80215,-1.21937,0.34024,-7.34615
2.8078,-1.39369,-0.81229,-65.67992,-1.38433,0.20285,-8.49112
2.8579,-1.38962,-0.71274,-68.60256,-1.50405,0.03815,-9.48877
2.9081,-1.35315,-0.69527,-69.05460,-1.60736,-0.29334,-10.31202
2.9582,-1.32788,-0.74299,-66.95741,-1.73552,-0.86526,-10.94815
3.0084,-1.34762,-0.85530,-63.32734,-1.92837,-1.63645,-11.47005
3.0585,-1.43851,-1.05638,-60.14876,-2.20675,-2.50439,-12.07888
3.1086,-1.61418,-1.35866,-59.17147,-2.55925,-3.39741,-13.02845
3.1588,-1.87523,-1.71972,-60.78422,-2.94722,-4.31776,-14.48366
3.2089,-2.21478,-2.04481,-64.04720,-3.32505,-5.30383,-16.41749
3.2590,-2.61880,-2.24475,-67.59361,-3.65713,-6.35435,-18.60019
3.3092,-3.06472,-2.30657,-70.45710,-3.92485,-7.39003,-20.69090
3.3593,-3.52680,-2.31621,-72.31378,-4.12712,-8.30080,-22.37967
3.4095,-3.97995,-2.40649,-73.16985,-4.27002,-9.05230,-23.46514
3.4596,-4.40327,-2.66885,-72.93750,-4.35020,-9.75981,-23.84467
3.5097,-4.80879,-3.09667,-71.45097,-4.35793,-10.65655,-23.54408
3.5599,-5.28431,-3.59672,-68.85542,-4.30221,-11.98077,-22.82720
3.6100,-5.96494,-4.04620,-65.63141,-4.21663,-13.85898,-22.19341
3.6602,-6.89011,-4.34448,-61.99096,-4.12387,-16.21349,-22.11789
3.7103,-7.87217,-4.44307,-57.44007,-4.00294,-18.72286,-22.72602
3.7605,-8.55564,-4.37321,-51.24468,-3.80970,-20.95062,-23.73965
3.8106,-8.65213,-4.25289,-43.37767,-3.53333,-22.66387,-24.77452
3.8607,-8.14300,-4.22623,-34.93717,-3.22736,-24.06103,-25.71758
3.9109,-7.28807,-4.37047,-27.63360,-2.98287,-25.61178,-26.83822
3.9610,-6.45348,-4.67117,-22.77699,-2.86335,-27.65098,-28.51263
4.0111,-5.89390,-5.06744,-20.54464,-2.85547,-30.15074,-30.80358
4.0613,-5.65171,-5.47155,-20.09180,-2.88622,-32.86104,-33.35642
4.1114,-5.63755,-5.75378,-20.33211,-2.89285,-35.64053,-35.76958
4.1616,-5.77619,-5.78819,-20.59414,-2.86885,-38.64592,-37.98941
4.2117,-6.05784,-5.55751,-20.65948,-2.84211,-42.15656,-40.21531
4.2618,-6.47689,-5.18063,-20.47447,-2.82943,-46.15469,-42.45504
4.3120,-6.95275,-4.81487,-19.99554,-2.82209,-50.10607,-44.31179
4.3621,-7.31645,-4.55678,-19.21095,-2.79974,-53.25235,-45.24784
4.4123,-7.39573,-4.43926,-18.17775,-2.74510,-55.19097,-45.00207
4.4624,-7.14632,-4.47024,-17.02638,-2.65373,-56.21565,-43.74387
4.5125,-6.69438,-4.63393,-15.94358,-2.54160,-57.14781,-41.90131
4.5627,-6.22459,-4.87425,-15.10687,-2.44002,-58.78317,-39.88282
4.6128,-5.82899,-5.11536,-14.56975,-2.37036,-61.27793,-37.88762
4.6630,-5.47415,-5.30111,-14.19529,-2.32036,-63.93455,-35.89805
4.7131,-5.09902,-5.39789,-13.75412,-2.25502,-65.74113,-33.85860
4.7632,-4.72326,-5.37753,-13.13176,-2.15563,-66.32175,-31.87073
4.8134,-4.45964,-5.24738,-12.42607,-2.04032,-66.32254,-30.17265
4.8635,-4.42666,-5.09972,-11.82313,-1.94177,-66.73871,-28.91411
4.9136,-4.64401,-5.06627,-11.40479,-1.87246,-67.90994,-27.99166
4.9638,-5.00929,-5.18600,-11.10516,-1.81946,-69.32044,-27.15184
5.0139,-5.37801,-5.35956,-10.82628,-1.76782,-70.32806,-26.27050
5.0641,-5.66274,-5.47261,-10.54646,-1.71836,-70.83522,-25.50612
5.1142,-5.85806,-5.52850,-10.31300,-1.68168,-71.18120,-25.15235
5.1643,-5.99637,-5.61301,-10.16706,-1.66309,-71.62614,-25.35664
5.2145,-6.10975,-5.75681,-10.09978,-1.65750,-72.14349,-26.00966
5.2646,-6.22858,-5.89562,-10.06535,-1.65507,-72.61379,-26.87468
5.3148,-6.37827,-5.97390,-10.00849,-1.64726,-73.01780,-27.75991
5.3649,-6.55044,-6.04029,-9.87813,-1.62921,-73.42760,-28.56758
5.4150,-6.68345,-6.20029,-9.64338,-1.60145,-73.91219,-29.24492
5.4652,-6.68820,-6.47990,-9.32241,-1.57130,-74.45876,-29.73812
5.5153,-6.50026,-6.77498,-8.99119,-1.55002,-74.93741,-29.99428
5.5655,-6.11371,-6.95158,-8.74428,-1.54585,-75.17814,-29.99693
5.6156,-5.58130,-6.96490,-8.63670,-1.55789,-75.11573,-29.79321
5.6657,-4.99457,-6.86286,-8.65024,-1.57459,-74.77561,-29.46131
5.7159,-4.45586,-6.72220,-8.69845,-1.57833,-74.07865,-29.02990
5.7660,-4.04375,-6.62247,-8.66989,-1.55510,-72.76936,-28.44297
5.8162,-3.77802,-6.63527,-8.48792,-1.50172,-70.57649,-27.60353
5.8663,-3.59913,-6.74300,-8.11834,-1.41975,-67.18277,-26.35512
5.9164,-3.37997,-6.73863,-7.50012,-1.29990,-61.83836,-24.34981
