"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -5.976, P–O -8.430, Li–S -1.647, Nd–S -0.436"
-14.4863,13.14362,1.63293,12.50702,0.15626
-14.4763,13.31189,1.65372,12.66130,0.15840
-14.4663,13.35129,1.65849,12.69287,0.15902
-14.4563,13.26063,1.64711,12.60079,0.15809
-14.4463,13.04257,1.61991,12.38775,0.15563
-14.4363,12.70338,1.57766,12.05990,0.15172
-14.4263,12.25274,1.52158,11.62657,0.14648
-14.4163,11.70321,1.45323,11.09983,0.14004
-14.4063,11.06966,1.37446,10.49391,0.13258
-14.3963,10.36863,1.28732,9.82461,0.12430
-14.3863,9.61758,1.19398,9.10857,0.11540
-14.3763,8.83423,1.09665,8.36261,0.10610
-14.3663,8.03580,0.99746,7.60309,0.09660
-14.3562,7.23847,0.89842,6.84535,0.08710
-14.3462,6.45689,0.80135,6.10320,0.07777
-14.3362,5.70371,0.70782,5.38861,0.06876
-14.3262,4.98941,0.61913,4.71144,0.06021
-14.3162,4.32214,0.53629,4.07931,0.05220
-14.3062,3.70772,0.46001,3.49766,0.04483
-14.2962,3.14973,0.39075,2.96978,0.03812
-14.2862,2.64970,0.32870,2.49706,0.03210
-14.2762,2.20739,0.27380,2.07917,0.02676
-14.2662,1.82104,0.22586,1.71439,0.02210
-14.2562,1.48771,0.18451,1.39987,0.01807
-14.2462,1.20358,0.14926,1.13193,0.01463
-14.2362,0.96425,0.11957,0.90638,0.01174
-14.2262,0.76500,0.09485,0.71872,0.00932
-14.2162,0.60103,0.07452,0.56437,0.00733
-14.2062,0.46761,0.05797,0.43886,0.00571
-14.1962,0.36027,0.04466,0.33795,0.00440
-14.1862,0.27488,0.03407,0.25771,0.00336
-14.1762,0.20768,0.02574,0.19461,0.00254
-14.1662,0.15540,0.01926,0.14554,0.00190
-14.1562,0.11519,0.01427,0.10784,0.00142
-14.1462,0.08469,0.01047,0.07929,0.00105
-14.1362,0.06194,0.00761,0.05809,0.00079
-14.1261,0.04531,0.00547,0.04270,0.00061
-14.1161,0.03347,0.00390,0.03191,0.00051
-14.1061,0.02544,0.00275,0.02486,0.00045
-14.0961,0.02058,0.00192,0.02105,0.00046
-14.0861,0.01849,0.00131,0.02018,0.00053
-14.0761,0.01899,0.00085,0.02219,0.00069
-14.0661,0.02222,0.00050,0.02736,0.00097
-14.0561,0.02866,0.00024,0.03632,0.00138
-14.0461,0.03897,0.00010,0.04999,0.00196
-14.0361,0.05391,0.00004,0.06945,0.00273
-14.0261,0.07441,0.00003,0.09601,0.00376
-14.0161,0.10179,0.00004,0.13141,0.00513
-14.0061,0.13789,0.00005,0.17805,0.00692
-13.9961,0.18509,0.00007,0.23898,0.00927
-13.9861,0.24627,0.00010,0.31795,0.01229
-13.9761,0.32493,0.00013,0.41945,0.01617
-13.9661,0.42521,0.00018,0.54878,0.02108
-13.9561,0.55186,0.00024,0.71207,0.02725
-13.9461,0.71017,0.00031,0.91607,0.03492
-13.9361,0.90591,0.00040,1.16812,0.04436
-13.9261,1.14546,0.00051,1.47632,0.05587
-13.9161,1.43578,0.00065,1.84950,0.06975
-13.9061,1.78423,0.00082,2.29702,0.08633
-13.8960,2.19844,0.00103,2.82848,0.10594
-13.8860,2.68616,0.00127,3.45358,0.12888
-13.8760,3.25499,0.00156,4.18177,0.15544
-13.8660,3.91195,0.00189,5.02174,0.18586
-13.8560,4.66328,0.00228,5.98108,0.22032
-13.8460,5.51429,0.00272,7.06617,0.25893
-13.8360,6.46920,0.00321,8.28181,0.30168
-13.8260,7.53081,0.00376,9.63095,0.34846
-13.8160,8.70022,0.00437,11.11427,0.39903
-13.8060,9.97665,0.00503,12.73003,0.45298
-13.7960,11.35755,0.00575,14.47410,0.50979
-13.7860,12.83857,0.00654,16.34002,0.56876
-13.7760,14.41361,0.00740,18.31902,0.62906
-13.7660,16.07478,0.00833,20.40001,0.68972
-13.7560,17.81285,0.00931,22.57014,0.74966
-13.7460,19.61786,0.01033,24.81553,0.80773
-13.7360,21.47949,0.01141,27.12186,0.86272
-13.7260,23.38725,0.01256,29.47458,0.91347
-13.7160,25.33079,0.01381,31.85932,0.95881
-13.7060,27.30020,0.01518,34.26225,0.99769
-13.6959,29.28642,0.01671,36.67066,1.02920
-13.6860,31.28154,0.01846,39.07326,1.05261
-13.6760,33.27881,0.02051,41.46014,1.06739
-13.6659,35.27225,0.02294,43.82246,1.07330
-13.6559,37.25654,0.02586,46.15230,1.07034
-13.6459,39.22717,0.02941,48.44277,1.05878
-13.6359,41.18040,0.03375,50.68793,1.03918
-13.6259,43.11298,0.03906,52.88237,1.01235
-13.6159,45.02178,0.04553,55.02085,0.97931
-13.6059,46.90352,0.05338,57.09800,0.94130
-13.5959,48.75464,0.06283,59.10821,0.89968
-13.5859,50.57164,0.07410,61.04589,0.85594
-13.5759,52.35130,0.08743,62.90558,0.81159
-13.5659,54.09077,0.10301,64.68215,0.76815
-13.5559,55.78772,0.12102,66.37102,0.72706
-13.5459,57.44060,0.14158,67.96846,0.68966
-13.5359,59.04879,0.16478,69.47179,0.65715
-13.5259,60.61278,0.19061,70.87961,0.63053
-13.5159,62.13410,0.21899,72.19184,0.61057
-13.5059,63.61508,0.24976,73.40959,0.59784
-13.4959,65.05852,0.28264,74.53491,0.59263
-13.4859,66.46747,0.31724,75.57061,0.59496
-13.4759,67.84479,0.35310,76.51983,0.60464
-13.4658,69.19243,0.38965,77.38547,0.62120
-13.4558,70.51066,0.42624,78.16954,0.64398
-13.4459,71.79750,0.46218,78.87263,0.67208
-13.4358,73.04840,0.49672,79.49364,0.70449
-13.4258,74.25612,0.52914,80.02963,0.74003
-13.4158,75.41059,0.55872,80.47581,0.77745
-13.4058,76.49908,0.58481,80.82564,0.81544
-13.3958,77.50656,0.60685,81.07119,0.85270
-13.3858,78.41653,0.62438,81.20390,0.88796
-13.3758,79.21201,0.63710,81.21550,0.92004
-13.3658,79.87658,0.64485,81.09886,0.94786
-13.3558,80.39529,0.64763,80.84872,0.97050
-13.3458,80.75568,0.64561,80.46250,0.98724
-13.3358,80.94864,0.63909,79.94084,0.99751
-13.3258,80.96904,0.62855,79.28799,1.00098
-13.3158,80.81623,0.61453,78.51209,0.99752
-13.3058,80.49436,0.59768,77.62519,0.98720
-13.2958,80.01215,0.57871,76.64281,0.97027
-13.2858,79.38213,0.55834,75.58307,0.94715
-13.2758,78.62002,0.53728,74.46586,0.91838
-13.2658,77.74420,0.51618,73.31231,0.88463
-13.2558,76.77508,0.49567,72.14416,0.84666
-13.2458,75.73420,0.47626,70.98291,0.80526
-13.2357,74.64306,0.45837,69.84879,0.76129
-13.2257,73.52198,0.44232,68.75980,0.71556
-13.2157,72.38970,0.42833,67.73154,0.66883
-13.2057,71.26316,0.41649,66.77728,0.62182
-13.1957,70.15735,0.40684,65.90780,0.57519
-13.1857,69.08543,0.39931,65.13186,0.52954
-13.1757,68.05928,0.39378,64.45686,0.48538
-13.1657,67.08988,0.39006,63.88929,0.44315
-13.1557,66.18761,0.38796,63.43518,0.40320
-13.1457,65.36273,0.38724,63.10054,0.36582
-13.1357,64.62593,0.38767,62.89207,0.33121
-13.1257,63.98897,0.38903,62.81750,0.29952
-13.1157,63.46490,0.39110,62.88567,0.27084
-13.1057,63.06791,0.39369,63.10619,0.24522
-13.0957,62.81317,0.39663,63.48925,0.22263
-13.0857,62.71647,0.39975,64.04519,0.20305
-13.0757,62.79360,0.40294,64.78381,0.18636
-13.0657,63.05960,0.40608,65.71355,0.17246
-13.0557,63.52792,0.40905,66.84063,0.16118
-13.0457,64.20917,0.41178,68.16792,0.15234
-13.0357,65.11002,0.41416,69.69391,0.14574
-13.0257,66.23226,0.41611,71.41190,0.14114
-13.0157,67.57207,0.41751,73.30956,0.13828
-13.0056,69.11948,0.41827,75.36857,0.13690
-12.9956,70.85798,0.41827,77.56446,0.13672
-12.9856,72.76421,0.41739,79.86664,0.13746
-12.9756,74.80822,0.41548,82.23881,0.13882
-12.9656,76.95402,0.41241,84.63978,0.14054
-12.9556,79.16042,0.40808,87.02449,0.14236
-12.9456,81.38175,0.40239,89.34485,0.14404
-12.9356,83.56893,0.39523,91.55076,0.14536
-12.9256,85.67091,0.38653,93.59171,0.14611
-12.9156,87.63638,0.37624,95.41843,0.14615
-12.9056,89.41515,0.36435,96.98432,0.14534
-12.8956,90.95947,0.35090,98.24661,0.14361
-12.8856,92.22515,0.33598,99.16733,0.14092
-12.8756,93.17274,0.31972,99.71432,0.13727
-12.8656,93.76868,0.30227,99.86228,0.13269
-12.8556,93.98635,0.28384,99.59366,0.12723
-12.8456,93.80648,0.26466,98.89874,0.12100
-12.8356,93.21699,0.24498,97.77526,0.11411
-12.8256,92.21303,0.22506,96.22829,0.10669
-12.8156,90.79725,0.20516,94.27021,0.09888
-12.8056,88.97978,0.18554,91.92059,0.09085
-12.7956,86.77801,0.16644,89.20559,0.08273
-12.7856,84.21593,0.14808,86.15722,0.07466
-12.7756,81.32327,0.13064,82.81226,0.06677
-12.7655,78.13455,0.11428,79.21136,0.05918
-12.7555,74.68859,0.09911,75.39826,0.05198
-12.7455,71.02791,0.08520,71.41917,0.04524
-12.7355,67.19821,0.07260,67.32217,0.03903
-12.7255,63.24746,0.06132,63.15637,0.03336
-12.7155,59.22488,0.05133,58.97091,0.02826
-12.7055,55.17995,0.04259,54.81412,0.02373
-12.6955,51.16163,0.03501,50.73279,0.01974
-12.6855,47.21739,0.02853,46.77144,0.01629
-12.6755,43.39213,0.02304,42.97153,0.01333
-12.6655,39.72741,0.01844,39.37091,0.01085
-12.6555,36.26076,0.01464,36.00311,0.00881
-12.6455,33.02525,0.01153,32.89659,0.00719
-12.6355,30.04879,0.00901,30.07422,0.00593
-12.6255,27.35352,0.00701,27.55336,0.00500
-12.6155,24.95552,0.00543,25.34596,0.00438
-12.6055,22.86492,0.00420,23.45848,0.00407
-12.5955,21.08613,0.00326,21.89196,0.00409
-12.5855,19.61789,0.00257,20.64220,0.00445
-12.5755,18.45331,0.00206,19.69997,0.00522
-12.5655,17.58043,0.00172,19.05155,0.00643
-12.5555,16.98288,0.00149,18.67961,0.00820
-12.5455,16.64064,0.00136,18.56404,0.01061
-12.5355,16.53059,0.00131,18.68265,0.01381
-12.5254,16.62723,0.00132,19.01195,0.01796
-12.5154,16.90325,0.00138,19.52789,0.02325
-12.5054,17.33011,0.00148,20.20643,0.02990
-12.4954,17.87848,0.00161,21.02398,0.03815
-12.4854,18.51890,0.00176,21.95805,0.04825
-12.4754,19.22260,0.00194,22.98791,0.06049
-12.4654,19.96187,0.00214,24.09481,0.07513
-12.4554,20.71018,0.00235,25.26165,0.09245
-12.4454,21.44254,0.00257,26.47300,0.11268
-12.4354,22.13605,0.00279,27.71502,0.13604
-12.4254,22.77056,0.00301,28.97557,0.16269
-12.4154,23.32915,0.00322,30.24407,0.19269
-12.4054,23.79827,0.00343,31.51088,0.22604
-12.3954,24.16777,0.00363,32.76675,0.26262
-12.3854,24.43109,0.00383,34.00237,0.30220
-12.3754,24.58518,0.00401,35.20791,0.34440
-12.3654,24.63026,0.00417,36.37243,0.38872
-12.3554,24.56973,0.00432,37.48385,0.43452
-12.3454,24.41001,0.00446,38.52880,0.48103
-12.3354,24.16003,0.00458,39.49263,0.52740
-12.3254,23.83048,0.00469,40.35925,0.57266
-12.3154,23.43280,0.00478,41.11120,0.61579
-12.3054,22.97856,0.00486,41.73011,0.65579
-12.2953,22.47897,0.00492,42.19741,0.69163
-12.2853,21.94433,0.00497,42.49510,0.72239
-12.2753,21.38342,0.00500,42.60641,0.74722
-12.2653,20.80311,0.00501,42.51670,0.76543
-12.2553,20.20818,0.00501,42.21451,0.77649
-12.2453,19.60130,0.00500,41.69250,0.78010
-12.2353,18.98325,0.00496,40.94764,0.77614
-12.2253,18.35312,0.00491,39.98125,0.76472
-12.2153,17.70875,0.00483,38.79966,0.74619
-12.2053,17.04725,0.00474,37.41508,0.72105
-12.1953,16.36550,0.00462,35.84543,0.69001
-12.1853,15.66070,0.00448,34.11350,0.65392
-12.1753,14.93086,0.00432,32.24630,0.61372
-12.1653,14.17519,0.00414,30.27429,0.57041
-12.1553,13.39438,0.00394,28.23058,0.52502
-12.1453,12.59073,0.00373,26.14994,0.47857
-12.1353,11.76820,0.00351,24.06786,0.43201
-12.1253,10.93222,0.00327,22.01956,0.38620
-12.1153,10.08951,0.00302,20.03910,0.34191
-12.1053,9.24772,0.00278,18.15869,0.29977
-12.0953,8.41513,0.00253,16.40804,0.26028
-12.0853,7.60024,0.00229,14.81398,0.22381
-12.0753,6.81131,0.00205,13.39999,0.19059
-12.0653,6.05601,0.00182,12.18602,0.16073
-12.0552,5.34103,0.00160,11.18821,0.13424
-12.0452,4.67186,0.00140,10.41885,0.11103
-12.0352,4.05265,0.00121,9.88639,0.09095
-12.0252,3.48628,0.00104,9.59553,0.07378
-12.0152,2.97430,0.00088,9.54714,0.05927
-12.0052,2.51690,0.00075,9.73797,0.04716
-11.9952,2.11299,0.00062,10.16051,0.03716
-11.9852,1.76038,0.00052,10.80288,0.02900
-11.9752,1.45602,0.00042,11.64882,0.02241
-11.9652,1.19634,0.00035,12.67766,0.01715
-11.9552,0.97751,0.00028,13.86447,0.01300
-11.9452,0.79560,0.00022,15.18015,0.00976
-11.9352,0.64643,0.00018,16.59147,0.00726
-11.9252,0.52566,0.00014,18.06152,0.00535
-11.9152,0.42899,0.00011,19.55066,0.00390
-11.9052,0.35249,0.00009,21.01754,0.00282
-11.8952,0.29267,0.00007,22.42037,0.00202
-11.8852,0.24642,0.00005,23.71806,0.00143
-11.8752,0.21104,0.00004,24.87163,0.00100
-11.8652,0.18418,0.00003,25.84554,0.00069
-11.8552,0.16385,0.00003,26.60908,0.00046
-11.8452,0.14839,0.00002,27.13792,0.00030
-11.8352,0.13642,0.00002,27.41520,0.00021
-11.8251,0.12686,0.00003,27.43186,0.00020
-11.8151,0.11892,0.00003,27.18643,0.00028
-11.8051,0.11202,0.00004,26.68507,0.00043
-11.7951,0.10568,0.00006,25.94159,0.00065
-11.7851,0.09951,0.00008,24.97716,0.00095
-11.7751,0.09333,0.00010,23.81934,0.00135
-11.7651,0.08717,0.00014,22.50083,0.00191
-11.7551,0.08109,0.00020,21.05775,0.00267
-11.7451,0.07514,0.00027,19.52813,0.00370
-11.7351,0.06933,0.00036,17.95066,0.00507
-11.7251,0.06369,0.00049,16.36335,0.00689
-11.7151,0.05830,0.00065,14.80247,0.00927
-11.7051,0.05329,0.00086,13.30159,0.01235
-11.6951,0.04877,0.00112,11.89095,0.01630
-11.6851,0.04490,0.00146,10.59694,0.02130
-11.6751,0.04181,0.00188,9.44204,0.02757
-11.6651,0.03961,0.00240,8.44494,0.03534
-11.6551,0.03842,0.00303,7.62059,0.04487
-11.6451,0.03833,0.00379,6.97978,0.05642
-11.6351,0.03941,0.00470,6.52935,0.07026
-11.6250,0.04175,0.00576,6.27323,0.08665
-11.6151,0.04539,0.00700,6.21324,0.10583
-11.6051,0.05038,0.00842,6.34891,0.12803
-11.5950,0.05673,0.01004,6.67737,0.15339
-11.5850,0.06444,0.01185,7.19341,0.18201
-11.5750,0.07349,0.01385,7.88955,0.21389
-11.5650,0.08380,0.01604,8.75601,0.24894
-11.5550,0.09530,0.01839,9.78068,0.28695
-11.5450,0.10786,0.02088,10.94907,0.32758
-11.5350,0.12131,0.02347,12.24434,0.37038
-11.5250,0.13547,0.02614,13.64747,0.41475
-11.5150,0.15012,0.02883,15.13745,0.45996
-11.5050,0.16499,0.03148,16.69176,0.50521
-11.4950,0.17982,0.03405,18.28685,0.54958
-11.4850,0.19434,0.03648,19.89881,0.59210
-11.4750,0.20825,0.03870,21.50411,0.63179
-11.4650,0.22129,0.04066,23.08036,0.66765
-11.4550,0.23319,0.04231,24.60701,0.69878
-11.4450,0.24372,0.04359,26.06598,0.72434
-11.4350,0.25271,0.04449,27.44219,0.74361
-11.4250,0.26001,0.04496,28.72435,0.75607
-11.4150,0.26553,0.04500,29.90516,0.76135
-11.4050,0.26922,0.04461,30.98049,0.75931
-11.3949,0.27112,0.04379,31.94840,0.75000
-11.3849,0.27126,0.04258,32.80895,0.73369
-11.3750,0.26977,0.04100,33.56389,0.71084
-11.3649,0.26677,0.03909,34.21582,0.68209
-11.3549,0.26243,0.03692,34.76712,0.64821
-11.3449,0.25694,0.03453,35.21903,0.61011
-11.3349,0.25046,0.03198,35.57103,0.56872
-11.3249,0.24319,0.02934,35.82036,0.52505
-11.3149,0.23527,0.02665,35.96190,0.48008
-11.3049,0.22688,0.02398,35.98835,0.43475
-11.2949,0.21811,0.02137,35.89062,0.38992
-11.2849,0.20908,0.01886,35.65861,0.34635
-11.2749,0.19985,0.01648,35.28211,0.30469
-11.2649,0.19049,0.01426,34.75179,0.26547
-11.2549,0.18102,0.01223,34.06035,0.22908
-11.2449,0.17147,0.01038,33.20346,0.19578
-11.2349,0.16186,0.00873,32.18065,0.16571
-11.2249,0.15221,0.00727,30.99588,0.13891
-11.2149,0.14253,0.00599,29.65790,0.11533
-11.2049,0.13284,0.00489,28.18024,0.09483
-11.1949,0.12319,0.00396,26.58094,0.07723
-11.1849,0.11361,0.00317,24.88191,0.06229
-11.1749,0.10415,0.00251,23.10811,0.04976
-11.1648,0.09487,0.00198,21.28653,0.03936
-11.1548,0.08583,0.00154,19.44509,0.03084
-11.1448,0.07711,0.00118,17.61147,0.02394
-11.1348,0.06875,0.00090,15.81206,0.01840
-11.1248,0.06083,0.00068,14.07097,0.01400
-11.1148,0.05340,0.00051,12.40930,0.01056
-11.1048,0.04648,0.00038,10.84449,0.00788
-11.0948,0.04012,0.00028,9.39006,0.00583
-11.0848,0.03433,0.00020,8.05544,0.00427
-11.0748,0.02912,0.00015,6.84606,0.00310
-11.0648,0.02448,0.00010,5.76363,0.00222
-11.0548,0.02040,0.00007,4.80654,0.00158
-11.0448,0.01684,0.00005,3.97029,0.00111
-11.0348,0.01377,0.00003,3.24812,0.00077
-11.0248,0.01115,0.00002,2.63160,0.00051
-11.0148,0.00894,0.00001,2.11130,0.00032
-11.0048,0.00710,0.00001,1.67736,0.00018
-10.9948,0.00559,0.00000,1.31975,0.00009
-10.9848,0.00435,0.00000,1.02851,0.00004
-10.9748,0.00336,0.00000,0.79402,0.00001
-10.9648,0.00257,0.00000,0.60721,0.00000
-10.9548,0.00195,-0.00000,0.45993,0.00000
-10.9448,0.00147,-0.00000,0.34500,0.00000
-10.9347,0.00109,-0.00000,0.25628,0.00000
-10.9247,0.00080,-0.00000,0.18852,0.00000
-10.9147,0.00059,-0.00000,0.13733,0.00000
-10.9047,0.00042,-0.00000,0.09906,0.00000
-10.8947,0.00030,-0.00000,0.07076,0.00000
-10.8847,0.00021,-0.00000,0.05005,0.00000
-10.8747,0.00015,-0.00000,0.03503,0.00000
-10.8647,0.00010,-0.00000,0.02412,0.00000
-10.8547,0.00007,-0.00000,0.01598,0.00000
-10.8447,0.00004,-0.00000,0.00964,0.00000
-10.8347,0.00002,-0.00000,0.00486,0.00000
-10.8247,0.00001,0.00000,0.00188,0.00000
-10.8147,0.00000,0.00000,0.00052,0.00000
-10.8047,0.00000,0.00000,0.00010,0.00000
-10.7947,0.00000,0.00000,0.00001,0.00000
-10.7847,0.00000,0.00000,0.00000,0.00000
-10.7747,0.00000,0.00000,0.00000,0.00000
-10.7647,0.00000,0.00000,0.00000,0.00000
-10.7547,0.00000,0.00000,0.00000,0.00000
-10.7447,0.00000,0.00000,0.00000,0.00000
-10.7347,0.00000,0.00000,0.00000,0.00000
-10.7247,0.00000,0.00000,0.00000,0.00000
-10.7147,0.00000,0.00000,0.00000,0.00000
-10.7047,0.00000,0.00000,0.00000,0.00000
-10.6946,0.00000,0.00000,0.00000,0.00000
-10.6846,0.00000,0.00000,0.00000,0.00000
-10.6746,0.00000,0.00000,0.00000,0.00000
-10.6646,0.00000,0.00000,0.00000,0.00000
-10.6546,0.00000,0.00000,0.00000,0.00000
-10.6446,0.00000,0.00000,0.00000,0.00000
-10.6346,0.00000,0.00000,0.00000,0.00000
-10.6246,0.00000,0.00000,0.00000,0.00000
-10.6146,0.00000,0.00000,0.00000,0.00000
-10.6046,0.00000,0.00000,0.00000,0.00000
-10.5946,0.00000,0.00000,0.00000,0.00000
-10.5846,0.00000,0.00000,0.00000,0.00000
-10.5746,0.00000,0.00000,0.00000,0.00000
-10.5646,0.00000,0.00000,0.00000,0.00000
-10.5546,0.00000,0.00000,0.00000,0.00000
-10.5446,0.00000,0.00000,0.00000,0.00000
-10.5346,0.00000,0.00000,0.00000,0.00000
-10.5246,0.00000,0.00000,0.00000,0.00000
-10.5146,0.00000,0.00000,0.00000,0.00000
-10.5046,0.00000,0.00000,0.00000,0.00000
-10.4946,0.00000,0.00000,0.00000,0.00000
-10.4846,0.00000,0.00000,0.00000,0.00000
-10.4746,0.00000,0.00000,0.00000,0.00000
-10.4645,0.00000,0.00000,0.00000,0.00000
-10.4545,0.00000,0.00000,0.00000,0.00000
-10.4445,0.00000,0.00000,0.00000,0.00000
-10.4345,0.00000,0.00000,0.00000,0.00000
-10.4245,0.00000,0.00000,0.00000,0.00000
-10.4145,0.00000,0.00000,0.00000,0.00000
-10.4045,0.00000,0.00000,0.00000,0.00000
-10.3945,0.00000,0.00000,0.00000,0.00000
-10.3845,0.00000,0.00000,0.00000,0.00000
-10.3745,0.00000,0.00000,0.00000,0.00000
-10.3645,0.00000,0.00000,0.00000,0.00000
-10.3545,0.00000,0.00000,0.00000,0.00000
-10.3445,0.00000,0.00000,0.00000,0.00000
-10.3345,0.00000,0.00000,0.00000,0.00000
-10.3245,0.00000,0.00000,0.00000,0.00000
-10.3145,0.00000,0.00000,0.00000,0.00000
-10.3045,0.00000,0.00000,0.00000,0.00000
-10.2945,0.00000,0.00000,0.00000,0.00000
-10.2845,0.00000,0.00000,0.00000,0.00000
-10.2745,0.00000,0.00000,0.00000,0.00000
-10.2645,0.00000,0.00000,0.00000,0.00000
-10.2545,0.00000,0.00000,0.00000,0.00000
-10.2445,0.00000,0.00000,0.00000,0.00000
-10.2345,0.00000,0.00000,0.00000,0.00000
-10.2244,0.00000,0.00000,0.00000,0.00000
-10.2144,0.00000,0.00000,0.00000,0.00000
-10.2044,0.00000,0.00000,0.00000,0.00000
-10.1944,0.00000,0.00000,0.00000,0.00000
-10.1844,0.00000,0.00000,0.00000,0.00000
-10.1744,0.00000,0.00000,0.00000,0.00000
-10.1644,0.00000,0.00000,0.00000,0.00000
-10.1544,0.00000,0.00000,0.00000,0.00000
-10.1444,0.00000,0.00000,0.00000,0.00000
-10.1344,0.00000,0.00000,0.00000,0.00000
-10.1244,0.00000,0.00000,0.00000,0.00000
-10.1144,0.00001,0.00000,0.00001,0.00000
-10.1044,0.00004,0.00002,0.00007,0.00000
-10.0944,0.00014,0.00007,0.00025,0.00000
-10.0844,0.00035,0.00017,0.00060,0.00001
-10.0744,0.00065,0.00031,0.00111,0.00001
-10.0644,0.00104,0.00050,0.00178,0.00002
-10.0544,0.00154,0.00074,0.00265,0.00002
-10.0444,0.00223,0.00107,0.00382,0.00004
-10.0344,0.00317,0.00152,0.00544,0.00005
-10.0244,0.00447,0.00214,0.00767,0.00007
-10.0144,0.00625,0.00299,0.01070,0.00010
-10.0044,0.00864,0.00414,0.01480,0.00014
-9.9944,0.01183,0.00566,0.02026,0.00019
-9.9843,0.01604,0.00768,0.02748,0.00026
-9.9743,0.02157,0.01032,0.03695,0.00035
-9.9643,0.02880,0.01377,0.04931,0.00048
-9.9543,0.03816,0.01826,0.06530,0.00065
-9.9443,0.05010,0.02399,0.08568,0.00087
-9.9343,0.06509,0.03122,0.11124,0.00115
-9.9243,0.08369,0.04022,0.14296,0.00150
-9.9143,0.10662,0.05138,0.18202,0.00195
-9.9043,0.13459,0.06512,0.22965,0.00250
-9.8943,0.16836,0.08184,0.28709,0.00319
-9.8843,0.20868,0.10192,0.35561,0.00403
-9.8743,0.25635,0.12576,0.43650,0.00507
-9.8643,0.31217,0.15386,0.53111,0.00632
-9.8543,0.37694,0.18675,0.64072,0.00783
-9.8443,0.45142,0.22498,0.76653,0.00965
-9.8343,0.53631,0.26913,0.90962,0.01182
-9.8243,0.63221,0.31976,1.07091,0.01440
-9.8143,0.73964,0.37749,1.25112,0.01744
-9.8043,0.85903,0.44296,1.45080,0.02101
-9.7943,0.99068,0.51683,1.67030,0.02519
-9.7843,1.13481,0.59982,1.90976,0.03004
-9.7743,1.29151,0.69272,2.16913,0.03564
-9.7643,1.46081,0.79633,2.44818,0.04207
-9.7542,1.64263,0.91155,2.74655,0.04940
-9.7442,1.83678,1.03931,3.06372,0.05771
-9.7342,2.04301,1.18053,3.39901,0.06704
-9.7242,2.26094,1.33617,3.75164,0.07745
